mout fu irie z	---|-|----⌫|
dit einsilontfait. eteinsi	--|----||--|---||-|----|
sen f oi rentdela terreeten	|--⌫-⌫--⌫---|-|-|----|-|-|
menerentles	-------|--|
yy enfa nz .de	-|----⌫-||-|
plus par lert antqueli	---|---⌫--|-⌫-----|-|
c on tesm i	-⌫--⌫--|||
ram a int. mais	---⌫-⌫--||---|
t antpuetl enbi e n	-⌫--|---|-⌫-|--⌫-⌫|
prouer par cest	-----|--|---|
co nte quenu snepe rt	--⌫--|--|--⌫|-|--⌫-|
ce que ilafait	-|--|-||---|
ue rtigier sfueslizaroi	--⌫-------⌫|-|----||--|
uosaic ontéetcild e	--|-|-⌫----|-|--|-⌫|
laterre lefiren t roi. et quan til	-|----|-|-----⌫|--||-|----⌫|-|
fusacre ́etsi resd oupais	-|-----⌫|-|--⌫--|-⌫-|---|
ciluindrent	--|-------|
aluiquile roi	|--|--|-|--|
moi neorentmort	---⌫-|----|---|
uerti gie rs	-----⌫---⌫-|
l esuitsin efistonque s	-⌫-|--|-|-⌫|---|-----⌫|
mai sle seust	---⌫|--⌫|---|
etcils emb a tir entsorli	-|--||---⌫-⌫---⌫--|--|-|
li reprocherent quep ar	-|-----------|--|-⌫-|
e stoiti lro iscar il	-⌫----|-⌫|--⌫-|--|-|
ocisleroimoine.e t qu ant	---|-|--|----||-⌫|--⌫--|
uertigiersoiqu ilauoientlor	---------|-|-|-|------|--|
seingnormort	-------|---|
silescomenda	-|--|------|
a prendreetdist uosmeismesuos	|------|-|---|--|------|--|
i es tesiugi é	-⌫--⌫--|----⌫-|
conois siez	------⌫---|
queuos auezocisuostreseing no r	--|--|---|---|-----|-----⌫--⌫|
uer s cui uos nepoiez	---⌫|--|--|-|----|
auoirnul droitde	----|--|----|-|
luiocirre.ansis	--|-----||----|
fe roiezuosde mo i s e	--⌫----|--|-|--⌫|-⌫|
pois s iez	----⌫-⌫--|
m aisieuos ensau raimoltbien	-⌫--|-|--|-|---⌫--|---|---|
gar der.et	---⌫--||-|
q uantcilloire nt	-⌫---|--||----⌫-|
sifurentmol tespoanté	-|-----|---⌫|--------|
dist rentsir enoslec uidoiens	----⌫---|---⌫|--|-|-⌫-------|
fa it poruostre preu	--⌫-|--|-----|---|
c equeno s	-⌫|--|--⌫|
cuidoiensque tunosen	--------|--|-|--|-|
amassesplus.et qua ntuertigi ersl	------|---||-|---⌫-|-------⌫--||
oisilordist i euos	-|-|--|---|-⌫|--|
mosterr ai biencomen tlen doit	-------⌫-|---|-----⌫|--|---|
amertielsh omes come u os	---|----|-⌫---|---|-⌫-|
lorslesf i stpr en dre	---|--|-⌫-⌫-|--⌫--⌫--|
fistlier a yycheuaus	---|---||-|------|
de traireettr ainerquep oienremest	--⌫-----|-|--⌫----|--|-⌫-|-|-----|
piece en semble. q uant	----|--⌫-----||-⌫---|
cilfurentm ortilauoient	--|-----|-⌫--|-|------|
m oltgr ant lingnaigequi uint	-⌫--|--⌫--|--------|--|---|
uertigier sili	--------|-|-|
d ist tu nos as	-⌫--|-|--|-|
faitm oltgra nth o nte qui n oz	---|-⌫--|---⌫-|-⌫-⌫--|--|-⌫-|
p aranz etn oz a mis nosase insis	-⌫----|-|-⌫-|-⌫--|--|-|-⌫----|
o cisetdes iui laine mort .nos	-⌫--|-|-|-⌫|--⌫----|---||--|
ne feronsiam ais debonairement	-|-----|---⌫--|------------|
seruice . quant	------||----|
uertig iersoiqu	------⌫---|-|-|
illem enacoientse nfumoltiriez	-|-|-⌫--------||-⌫|-|---|----|
etd istqueseil en parlo ient	-|-⌫--|--|-|-|-|-----⌫---|
plus au tel fero itilde ls.	---|--⌫--|----⌫-|-||-⌫-||
quant cil oire ntqu	----|--|----⌫-|-|
menac oient dautel mortfairemo r ir	-----⌫----||----|---|----|--⌫-⌫-|
senfurentmol tir i éet sen	|-|-----|---⌫|--⌫-⌫-|-||-|
a lerent a lo rparenz etal oramis	-⌫-----||--⌫|-----|-||-⌫-|---|
granzlingn aiges silor	----|-----⌫----|-|--|
conten t la paroleque	------⌫|-|-----|--|
uer tigiers	---⌫------|
lor otdi teetcom ent	--|-|--⌫-|-|---⌫--|
auoitrespondud elor amis.et	----|-------|-⌫|--|---||-|
q uant cil loi rent sen	-⌫---|--||--⌫---||-|
molti riéetdistrentque	---|-⌫---|-|-------|--|
seroitiasoufertq ue	-----|-|------|-⌫-|
les couenroit.ein si uin tla	--|--------||---⌫-|---⌫|-|
maleuoi llanceent reuse t	-------⌫-----|---⌫|--|-⌫|
maintes f oiz	------|-⌫--|
firentcist m ala	-----|---|-⌫-||
ue rtigier.	--⌫------||
uertigier s tintlater re	---------⌫|---|-|---⌫-|
etmainte sfoiz	-|------⌫|---|
secomba t i	-|-----⌫-⌫|
tant queil	----⌫--|-|
delaterre .e t	-|-|----||-⌫|
quantilfure nt	----|-|----⌫-|
sifu simalshomenuersso npue p les	-|-|-|---|--|-----|--⌫|---⌫-⌫--|
queli pueplesn	--|-|------||
soffri rsise	------⌫|-|-|
reu ela contrelui.et	---⌫--|-----|--||-|
qu antilsefureu elezsi	--⌫--|-|-|-|---⌫---|-|
grantpaorqueilnelgitassent	----|---|--|-|-||--------|
p ar sesmessai gesquerreles	-⌫-|--|------⌫--|-----|--|
distque ilferoitpais aels	---|--|-|-----|---||--|
et quantiloire ntque il	-|----|-|----⌫-|--|-|
de mandoi tl apais si	--⌫------⌫|-⌫|---|-|
sien i otunquiotnone ngiset	-|-||-|-|--|-|--|-⌫---|-|
fuplus sires	-|---|----|
desautres.	--|-----||
cile ngi ssi	--|-⌫---⌫|-|
serui longuement	----|---------|
uertigie rettantleserui	--------⌫|-|---|-|----|
au desusdesaguerre. etquan t	-|----|-|-|-----||-|----⌫|
g uerr efufineesipa rla	-⌫----⌫|-|----|-|--⌫--|
en gys alui et	--⌫--||--|-|
lidistque sonpueple	-|---|--|--|-----|
molt.tant fisten gis	---||---|---|--⌫--|
etta ntporchacama in teschoses	-|--⌫-|-------|--⌫--⌫--|-----|
uosdoiretraire	--|--|-------|
uos pui siebien	--|---⌫|-|---|
il pristtan tuers ue rtig ier	-|----|---⌫|---|--⌫----⌫--|
queuertigierpristun es ou e	--|--------|----|--⌫|-⌫--⌫|
etce sa ichen ttuitcil	-|-|--⌫-----⌫|---|--|
quice stc onte	--|--⌫-|-⌫---|
or ront quecefu	--⌫---|--|-|-|
pre mie r ementdis tencest	---⌫---⌫-⌫----|---⌫|-|---|
roiaume.iene uosdoiplus	------||-|-|--|--|---|
ret rairedengis	---⌫----||----|
autresafairesmais moltfurent	-----|------|---|---|-----|
i rié li c restie n quantil	-⌫---|-|-⌫------⌫|----|-|
uirent queilot	-----|--|-|-|
sa filleet distrentmain tesfoiz	-|----|-|-------|----⌫--|---|
tielsiotq uilauoit	----||-|-⌫|-|----|
laissié grantparti ede	-------|----|-----⌫|-|
porsafe mmequele necre oitp as	--|-|--⌫--|-|--|-|---⌫--|-⌫-|
laloi ihesucris t.aprestotces ot	-|--|----|----⌫||----|--|-|-⌫-|
uertigiers que ilnest oi t	---------|--|-||---⌫--⌫|
mieamezdeses home set	--|---|-|--|----⌫|-|
sau oitq ue	---⌫--|-⌫-|
lif il constansestoient	-|-⌫-|-------|-------|
alé en estrangeterreetq ueil	---|-|-------|----|-|-⌫-|-|
repair eroienta u plustostque	------⌫------|-⌫|---|---|--|
il porr oientetsisetbie n q ue	-|----⌫----|-|-|--|---⌫|-⌫-|
se ilr euienent que	-|-|-⌫-------|--|
sondamaigesiseporpe nsa	--|------|-|-|-----⌫--|
feroi tfaireu ne	-----⌫|----|-⌫-|
torsifor t	--|-|---⌫|
et si gr ant	-|-|--⌫--|
queilnauroit	--|-||-----|
g ardede n ulhom e . lorscomendala	-⌫---|-|-⌫-|---⌫||---|------|-|
pierre a atraireet a fair ele fornel	-----||------|-||----⌫|-|-----|
porchauzfai ree t aup lus	--|----|---⌫-|-⌫|-|-⌫--|
ilpotcomencaa ourereta	-|--|------||----|-||
faire sator.et quant il	----|-|--||-|----|-|
ouuréyyiorzouyy	-----|-|---|-|-|
sem ainesquant	---⌫----|----|
une nu itouauniors i	--|--⌫-|-||-|--|-⌫|
e teinsisliaui ntp ar	-⌫|-----|-|---⌫-|-⌫-|
maint esfoiz .e tquantiluit	-----⌫-|---||-⌫|----|-|--|
quesatorsnese uureneporroit	--|-|---|-||-⌫---|-|------|
t enirsifu	-⌫---|-|-|
molt ir iezet dist	---|--⌫--|-|---|
que iamesn	--|----||
auroit ioie s il	-----|---||-|
sauoitporquoi sa	-----|--|---|-|
tors chaoit.	---|-----||
lorsfistmand e rpartoutesa ter re	---|---|----⌫-⌫|--|----|-|---⌫-|
saige shomesquiisont	-----⌫|----|--||---|
et q uantilfuren t tuit	-|-⌫---|-|-----⌫|---|
assamblé silor dit c e ste	--------|-|--|--|-⌫-⌫--|
merueille que	--------|--|
einsi chaoitsator et quer ie ns	----|-----|-|--|-|--|-⌫--⌫-|
pooit durerqueilfeis tsilor	----|----|--|-|----⌫|-|--|
endemanda a tozcon soil. quant	-|------||--|---⌫---||----|
ciloir entcestemerueille	--|---⌫--|----|--------|
etiluirent	-|-|-----|
lourechaoiren	|---|-----|-|
placesisen merueilli erent	----|-||-|---------⌫----|
m olt etdistrentsire de cene	-⌫--|-|-------|---|-|-|-|
puet nushomsauoir	---|--|--|-----|
ce nosest au is porquoiceste	-|--|--|--⌫-|--|---|----|
euurechi etse il	----|---⌫-|-|-|
clers. mais clerc seuent m ai ntes	----||---|----|-----|-⌫--⌫---|
chosespa rforcede	-----|--⌫|----|-|
clerg iequenos	-----⌫-|--|--|
aut re sgenznesauonsmiee t	---⌫--⌫|---|-|-----|--|-⌫|
l eueu ssauoi r tu no u	-⌫|---⌫|-----⌫|-||-⌫|
puez sauoirse p arelsnon	---|-----|-|-⌫-|--|--|
conue ndra quetuen pa roles a	-----⌫---|--|-|-|--⌫----||
se tu leue lssauoi r.	-|-|-|--⌫-|-----⌫||
et lor sdist	-|---⌫|---|
uerti gi ersil m e samble	-----⌫--⌫--|-|-⌫|-----|
bien queuosditesuo ir. lors	---|--|--|----|--⌫-||---|
fis tmande rt outesaclergi e	---⌫|-----⌫|-⌫---|-|------⌫|
de pa rtoute s ater reet	-|--⌫|----|-⌫|---⌫-|-|
furent uenuet assamblési	-----|---|-|--------|-|
mostreetdist celemerue ille	-----|-|---|---|-----⌫---|
q uantil l orentoiet entendu	-⌫---|-||----|-|-|------|
sis enmerueillierentmoltetdist	-||-|-------------|---|-|---|
autre ceest	----|-|--|
moltgranzmerueil le. lors de mand a	---|----|-------⌫-||---|--⌫----⌫|
li rois lesp l us	-|---|--|-⌫-⌫-|
richesclerssiles	-----|----|-|--|
t rest au nepartsi	-⌫---||-⌫-|---|-|
sauroiezmeuosconse illie r par	-------|-|--|-----⌫-----⌫|--|
paraut ruiporq uoim ator chiet	--|---⌫--|--|-⌫--|-⌫|--|----|
qu arriens	--⌫-|----|
queieipui ss e fere	--|-||---⌫--⌫|---|
nipuetdurernetenirsi	||---|----|-|----|-|
uoudroiemoltproier que	-------|---|-----|--|
meissiezpoinec om ent ieseusse	-------|----|-⌫--⌫--|-|-----|
porq uoiele	--|-⌫--|--|
chiet quar lenm	----|---|--||
adit queie nou	|--|--|-||-|
puissa uoir	---|--⌫---|
seie nousaip aruos	-|-||-|--|-⌫-|--|
ou par lesclersquicisont.quant	-|--|--|----|--|-|---||----|
cilorentoi etentendu	--|----|-|-|------|
ce q ueliroisl o rrequeroit si	-|-⌫-|-|---|-⌫-⌫|--------|-|
distrentsirenosnensauons	-------|---|--||-|-----|
rienm esil pu etbienci auoir	---|-⌫-|-|--⌫-|---|-|----|
aucun dece sclers	----|-|--⌫|----|
q uibie n le	-⌫-|---⌫|-|
sauroient quar ceest	--------|---|-|--|
quianon astronomie	--||--|---------|
nenusclers	-|--|----|
sa nzc elartn ouporroit sauoir.	--⌫-|-⌫-|--||-|------|-----||
nosparlero ns acelsuolentiers	--|-------⌫-||---|---------|
que nos cu ido n squiensaiche nt	--|--|--⌫---⌫-⌫|--|-|------⌫-|
p rierons qu i l	-⌫------|-|-⌫|
uoscons ei l lent	--|----⌫--⌫-⌫---|
. etuos fai tes	|-|--|---⌫--|
tantuerselscomme ro is que	---|---|--|----|--⌫-|--|
ilu ose nsa ic he nt gre . e tlirois	-|-⌫-|-⌫|--⌫--⌫--⌫-|--||-⌫|-|---|
r espont il	-⌫-----|-|
d emanderontiacho sesei l	-⌫---------|-|---⌫-|-|-⌫|
seuentdireque iene lor	-----|---|--|-|-|--|
lorsse traientaunepart	---|-|------||--|---|
etdem an deli	-|---⌫--⌫-|-|
setnoiantdecel a rt.	--|-----|-|--|-⌫-||
iotyyq uise	|-|-|-⌫-|-|
trestrent au antetdi strentnos	--------|--⌫--|-|--⌫-----|--|
ensauonscecuidonsnos	-|-----|-|------|--|
t e lchose	-⌫-⌫|----|
sauoiret sa uonsci	-----|-|--⌫---|-|
autres cler s	-----|----⌫|
qu ie n seue n t.	--⌫|-⌫|----⌫-⌫||
e tliprodomedientquerezuoz	-⌫|-|------|----|-----|--|
compoignons et	----------|-|
uenezparler	----|-----|
anost uitensemb le .et	|--|-⌫--|------⌫-||-|
distrentuolentiers	-------|---------|
quistre nt	-------⌫-|
tantq ueilfur e ntyy	-----⌫-|-|---⌫-⌫-|-|
etdece s yy niot onques	-|-|--⌫|-|||-|-----|
n uldontliun snecuidast	-⌫-|---|-|--⌫|-|------|
estremestreal autre	----|-----|||----|
a menédeuant le roi etlir ois lor	-⌫----|-----|-|--|-|-|-⌫--|--|
demand e se il cuid entque	------⌫|-|-|----⌫--|--|
il saichen tdire por quo isator	-|-------⌫|---|--|---⌫|-|--|
chi et et il re sponnent	---⌫-|-|-|--⌫-------|
oilse cepuete str eparnul	--|-|-|---|-⌫---⌫|--|--|
roislorditseil	---|--|--|-|-|
l ordient q ueil lordonrac e	-⌫-|----|-⌫-|-|--|----|-⌫|
queil uouront.einsidepar ti	--|-|------||----|-----⌫-|
le conc ile de s es	-|----⌫--|-|-⌫-|
clergiez et	-------|-|
re mestrentaueclui sis	--⌫-------|---|--|-||
e n tremiren tmoltde sauo irpor quoi	-⌫-⌫--------⌫|---|-|----⌫-|--|---|
ce letorcha oit etcomentel e	--⌫-|--|---⌫--|-|-----|--⌫|
porroittenir .cil	------|----||--|
moltsa igedecela rt et	---|--⌫--|-|--|-⌫-|-|
auertu e rent lor sencha scuns	------⌫-⌫---|--|--|---⌫----|
so i.etcomplusse s u ertuoient	--⌫||-|--|---||-⌫-⌫-⌫--------|
s eule c hoseetcelesine	-⌫---|-⌫---|-|---|-|-|
teno itneant ce	----⌫-|----|-|
lur esto it	--|----⌫-|
al a tor .sifurentmo ltesp oante ́	|-⌫|--||-|-----|--⌫-|---⌫-----⌫|
etta ntqueli	-|--⌫----|-|
roisle shastasi	---|--⌫|----|-|
fi stmand erde uantlui etl or	--⌫-|----⌫-|--⌫---|--|-|-⌫-|
dema ndaque med itesuo sdema	----⌫--|--|-|-⌫---|--⌫|-|-|
ditesm o ice	----|-⌫-⌫|-|
que u os end euez	--|-⌫-|-|-⌫---|
ilrespon ne nt s ire	-|------⌫--⌫-|-⌫--|
cees tmolt	-|--⌫|---|
gra ntch osequetun os	---⌫-|--⌫--|--|-|-⌫-|
demande s.ilnos couient	-------⌫||-|--|------|
encor un re spitdey y iorz .et	----|-|--⌫---|-|-⌫|---||-|
re s pontle respit uoil	--⌫-⌫---|-|-----|---|
iebie nqueuos	-|---⌫|--|--|
queuosauchiefde yy io rz	--|--|-|----|-|-|--⌫-|
lemesach iezdi re	-|-|----⌫--|--⌫-|
.lo rss en	|--⌫-||-|
un conseilens e mbleet	-|------|---⌫-⌫---|-|
d eman deli unsa lautreque	-⌫----⌫-|-|--|||----|--|
ditesuosd e cestechose	----|--|-⌫|----|----|
que liro is nosd emandeeinsile	--|-|--⌫-|--|-⌫-----|----|-|
demandeliunsal	------|-|--|||
nenusdelsne	-|--||--|-|
uoltd irea	---|-⌫--||
cequilset.	-|-|-|--||
zz qui fuplussaige	-|--|-|---|----|
estescialé s	----|-|----⌫|
tui tf aites	---⌫|-⌫----|
lebien.d ites	-|---||-⌫---|
tuita conso illi uns	---||-----⌫-|-|--|
sanzlautr edece s tec ho sece	---||----⌫|-|--⌫-⌫-|-⌫--⌫-|-|
etienenen cus ere	-|-||-|--⌫---⌫--|
i a nu lse parl e congiedeu os	-⌫|--⌫|-|--|-⌫|-----|-|-⌫-|
noufais.et il	|-|---||-|-|
respon nentq u ei llos troient.	------⌫---|-⌫-⌫|-⌫||--⌫------||
einsi tr etcha scunaconsei l	----|--⌫-|---⌫---||------⌫|
sanz lautreaun epartet	---||----||--⌫|---|-|
lo rdemandequelor est	--⌫|------|--|--|--|
auisdecele	---|-|---|
tor. etcha scunsd e l s	--||-|---⌫----||-⌫-⌫|
liuns apresl autre li	-|--|----||----|-|
dis tautant li	---⌫|-----|-|
l iau tr e	-⌫|--⌫--⌫|
quei ldelator ne	--|-⌫|-|-|--|-|
sauoitriens neque il nen	-----|----|-|--|-||-|
pooientr ie ns ueoirmes il	------|-⌫--⌫-|----|--|-|
ueoientune	------|--|
autreme rueillequarilueoientzz	----|--⌫------|---|-|------|-|
enfant d eyy anz qui es toitnez	-----|-⌫|-|--|--|--⌫---|--|
pered ometerrienet conceuzenfenme.	---||--|------|-|------|-|----||
ice steparoleli	---⌫--|-----|-|
tuityye tquant	---|-|-⌫|----|
cons euz sidi streuenez tuit	----⌫--|-|--⌫-|------|---|
ensembledeua ntmoi	-------|----⌫-|--|
quant ilf urenttui t ensemble	----|-|-⌫----|---⌫|-------|
lor distu osm auez	--|---|-⌫-||---|
tuitu nec h osediteet	---|-⌫-|-⌫-⌫--|---|-|
une chos e	--|----⌫|
celee. e ti lr e sponnentor	----||-⌫|-⌫|-⌫-⌫-------|-|
di tesque nosuosauonsdit e	--⌫--|--|--|--|----|--||
quenos uosauons	--|--|--|----|
celé.etil	----||-|-|
resp ont uosmaue z dit	----⌫--|--||---⌫|--|
ch as cunsque	--⌫--⌫---|--|
uosnesauezriens	--|-|----|----|
decele torm aisuos u eez	-|---|--|-⌫--|--|-⌫--|
zzenfan tdeyya nzquiest ne z	-|-----⌫|-|-|-⌫-|--|--|--⌫|
sanzperedometerrien e tconceuz	---|---||--|------|-⌫|------|
enfenmene uosentre uos	-|----|-|--|----|--|
auezplus dit.eti e uos	---|---|--||-|-⌫|--|
tantplusqueieuoil	---|---|--|-|---|
creezquil nia	----|-|-||||
deuos tozque ilnait ueu	-|--|--|--|-||--|--|
doit pa r cel e nfantmorir	---|--⌫|--|-⌫----|----|
e tie mei mes	-⌫|-|---⌫--|
lai ueucertenement	|-|--|----------|
ainsi comnus de uos	----|--|--|-|--|
aut res.et ce	---⌫--||-|-|
est ceque uosm	--|-|--|--||
auezditetceléqueuos	---|--|-|----|--|--|
mauroieziadit	|------|-|--|
etsi leuo ie z	-|-|-|--⌫--⌫|
et celoi ezparuos.mesen	-|-----⌫-|--|--||--|-|
deuo nsnos bienm e streconseil	----⌫-|--|---|-⌫-⌫---|------|
desq u enos lesauonsdeuan t no z	----⌫-⌫|--|-|-----|-----⌫|--⌫|
m orz.l ordistse	-⌫--||-⌫-|---|-|
uosmeu oulez	--|-|-⌫----|
tuitcro ir enos garr ons	---|---⌫--⌫|--|----⌫--|
bienno z uies .est	---|--⌫|---||--|
uos ilauisque	--|-|---|--|
ieuo sai euoir ditet	-|--⌫|--⌫|---|--|-|
il re spon n e ntuos nosauezbien	-|--⌫----⌫-⌫-⌫-|--|--|---|---|
ditcer tenementceque	--|---⌫-------|-|--|
nosauonsueu.or uospr io n sque uos	--|----|--||-|--|--⌫--⌫-⌫|--|--|
me toiz c onsoila nozu ies.	--⌫---|-⌫-----||--|-⌫--||
et ilrespont bienseroitfol s	-|-|------|---|-----|---⌫|
quiores nel isauroitmestre .	--|---|-|||------|-----||
sauezuosquenos feronsnosnos	----|--|--|--|-----|--|--|
acorderonstuita uneparo l e	---------|---||--|----⌫-⌫|
etdir on s queceletorne	-|---⌫--⌫|--|---|--|-|
teni rneia	----⌫|-|-|
ou mortierdou	-|------|--|
fond eme nt	----⌫---⌫-|
to r mis dousan cdelanfant	--⌫|--|--|---⌫|-||-----|
porra dou sancauoir etmestre ou	----|--|---|----|-|-----|-|
fondementsit enralator	--------|-|-⌫---|-|--|
ser atoziorzmai sbonne	---⌫|--|---|---⌫|----|
eteinsi slediech ascunsp ar	-|-----⌫|-|--|--⌫-----|-⌫-|
siqueli rois	-|--|-|---|
nesape rcoiue	-||---⌫-----|
p asquen osau ionstelcho se	-⌫-|--|-⌫-|--⌫---|--|---⌫-|
ein sinos por ronsgar d erde la	---⌫-|--|---⌫---|---⌫-⌫-|-|-|
decelui que	-|----|--|
nosauons ue ue parcui	--|----|--⌫-|--|--|
nos de u onsm ori r.etfaison s	--|--⌫-⌫--|-⌫---⌫||-|------⌫|
bien le r oidesfand req uei lia ne le	---|-|-⌫-|-------⌫-|-⌫-|-⌫|-|-|-|
u oieneoi e	-⌫--|-|--⌫|
ma isci l qui letro uueron tl	--⌫-|--⌫|--|-|---⌫------⌫||
oui l ser a	-|-⌫|---⌫|
etson san cen apo rte n t. einsis	-|--|---⌫|-|---⌫---⌫-⌫||-----|
ontl e sparolesaco rdees.	--|-⌫-⌫|------|---⌫----||
etquantiluinre ntdeuantl er oi	-|----|-|-----⌫-|-----|-⌫|-⌫-|
distrent quil ne	-------|-|-|-|
diroientpas	-------|--|
sen toute nsemblemaischascuns	--|---|-⌫------|---|-------|
pars oisisaur oit liquiels	--|-⌫-|-|----⌫--|-|-----|
d iroitm iel z	-⌫----|-⌫---⌫|
f o nt sembl ant	-⌫-⌫-|-----⌫--|
qu e lunne	--⌫||-|-|
