f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
duncorti l delàle	|-|-----⌫|----|-|
decens .//.	-|---|---|
Et siliont	-|-|-|--|
laisié ci l	------|--⌫|
abbésetci lcouuanz/ .	-----|-|--⌫|------|||
me ses ouchampqui futmonsignorHuon	--⌫--|-|----|--|--|--------|---|
derr ie rslesteulleriesdou - Pont	----⌫--⌫-|--|---------|--||---|
Etcisde nier sde	-|--|--⌫----⌫|-|
cens de ua nt di zdo itrendrecispreuo z àceluiabbé	---|--⌫--⌫-|--⌫|--⌫-|-----|--|-----⌫|-|----|----|
etàce lui	-|-|--⌫--|
couuentchasquanàla	------|-----|-|-|-|
feste sai ntRemi	----|---⌫-|---|
àMeuremo nt .//.	-|-------⌫-|---|
Et siendoit rendredismecispreuoz det outes	-|-|-|---|-----|----|--|-----|-|-⌫----|
ces cho sesdeuantditesfors q ueli	--|---⌫--|-----|----|---|-⌫-|-|
meisdeuantdiz etas	---|-----|--|-|-|
usetascoustumesd ela-	-|-|-|--------|-⌫|-||
uille.// .	----|---⌫|
qu ese soitfer mechose	--⌫|-|---|---⌫-|----|
e test able	-⌫|---⌫---|
n oz auon ssaeleescesletr esàl a	-⌫-|----⌫|------|--|----⌫-|-|-⌫|
re questede lun epartieet	--⌫-----|-||--⌫|-----|-|
au trequifurent faitesen l	--⌫--|--|-----|-----|-||
limi llia ires	-|--⌫----⌫---|
cort parmildouzcenz et c inquantetroisou	---|--|--|---|---|-|-⌫-------|----|-|
mo isdefeurier .//.	--⌫-|-|------|---|
