Acesteestoiredi reme	|----|------|--⌫-|-|
P rincesneroistantaitgra nt	-⌫-----|-|---|---|--|---⌫-|
s eigno rie	-⌫-----⌫--|
Ced ist liuns	-|-⌫--|-|--|
Elpalais s ontli	-|-----|-⌫--|-|
prin ce etl imar c hi s	----⌫-|-|-⌫|---⌫-⌫--⌫|
Des fublesont l imantelu air	---⌫----|---|-⌫|-----|-⌫--|
Sozau s les	--|--⌫|--|
ploien tde seuresontassis	------⌫|--⌫----|---|----|
Entr e us ense nbleontmol t ioeet ris	---|-⌫-|----⌫---|--|---⌫|--|-|--|
euslap uceleaucleruis	--|-|-⌫----|-|---|--|
Ele enape le	--|-|---⌫-|
le scontes seig noris	--⌫|-----|----⌫----|
Seignordist eleenten dez mon aui s	------|---|--|-----⌫--|--|---⌫|
Pui sqa insi	---⌫||-⌫---|
es tqu elicon seil sestpris	--⌫|--⌫|-|---⌫----⌫|--|---|
CauoirmeueutlipreuzcuensAymeris	|----|-|---|-|----|----|------|
Foi que doiDeuq u ien	--|--|--|--|-⌫-⌫|-|
la croizfumi s	-|----|-|--⌫|
Seuosuolezos troierm on auis	-|--|----|--⌫-----|-⌫-|---|
Deuosi ron t a Nerboneli dis	-|--|-⌫---⌫||------|-|--|
To utmaintenantn	--⌫-|---------||
i a urater mequis	|-⌫--|---⌫-|---|
Etsidiro izAymeril e marchi s	-|-|----⌫-|-----|-⌫|------⌫|
Qui l uiengnequer resa fame e n	-|-⌫|------|----⌫-|-|---|-⌫|
ueutcel epor cuiuo sa tramis	---|---⌫|--|--|--⌫||-----|
Et s ilnel ueut pa r	-||-|--|---|--⌫|
lecorssaintDenis	-|---|----|----|
Iae naua ntne nse rame srequ i s	-|-⌫|---⌫-||-⌫|--⌫-|--⌫|----⌫-⌫|
Messiluient siame intses	--||-|----|-|---⌫--|--|
Et sicheuauchent etpar	-|-|----------|-|--|
nuitet pa r	---|-|--⌫|
cheualnesoien tplus t ar dis	-----|-|-----⌫|---|-⌫--⌫--|
S il ont cheualafolene maum is	|-|--|-----|----|-|----⌫-|
Por . i. roncinrendrai des trier	--|-⌫-|-----|------|---⌫----|
Etpor.i. mor ten re ndrai geii .uis	-|--|--|---⌫|-|--⌫----|-|--⌫|--|
Orenalezouli. xii.	-|-|---|-|-|-⌫---|
Etli.l.remandrontci	-|-|--|---------|-|
Dedanzmesc hanbresarmez	-----|--|-⌫------|----|
etferuestis	-|--------|
Sepor moiq uerre uenoiten ce st	-|--|--|-⌫----|-----|-|--⌫-|
Par auentureduc ouconteoumarc his	--|-------|--|-|----|-|----⌫--|
T antauri ont amonfreretramis	-⌫--|----⌫--||--|----|-----|
au oirseroi tmolttostsorp ri s	--⌫--|-----⌫|---|---|----⌫--⌫|
Me s c ilqueerentdedanz meschanbresmis	--⌫|-⌫-|--|----|-----|--|-------|--|
M esecorro ie n tasbrans	-⌫|-------⌫--⌫-⌫|-|----|
dacierforbis	|----|-----|
Seporter m e n uoloient	-|-----||-⌫|-------|
Seignor baro n	------|----⌫|
nobilecheua lie r	-----|-----⌫---⌫|
Dist Hermeniartl abeleaucors leg ier	---|---------|-⌫|---|-|---|---⌫--|
Alezi.x. lemesagenoncie r	---||--|-|-----|------⌫|
DedanzNe rbonea	-----|--⌫----||
Aymerile fier	-----|-|---|
Quil ui eg ne	-|-|--⌫--⌫-|
casanzpoint de de laier	-|---|----|-|--⌫----|
chail ledecheual espargnier	-----⌫-|-|-----|---------|
Qui pert ron cin ielirendraidestrier	--|---|---⌫--|-|-|------|-------|
Damefontil b ienfeta ostroier	---|---|-|-⌫--|--||-------|
Qui cerefusse il	--|-|------|-|
n euaut.i.denier	-⌫|---|--|-----|
Lesbon s mantia xlessier enttu it arrier	--|---⌫|------⌫|-------⌫--|--⌫-|-----|
La ou i l sistr en tqu	-|-|-⌫|-----⌫--⌫|-|
i lnesdengn ent b aillier	-⌫|--|-----⌫--|-⌫------|
Li .x mesaieseuontapa reil lier	-|-|-----|-|---|---⌫----⌫---|
Ci lquel endoita Nerb on e enuoie r	--⌫|--||-|---||----⌫--⌫|------⌫|
Un pou lesuontliautrecon uoie r	-|--|--|---|-|----|---⌫----⌫|
Tantquilsontfo rsd el	---|-|-|---|--⌫-|-⌫-|
grantpales p len i er	----|----|-⌫---⌫-⌫-|
Et l ap uceleseprist am erueill ier	-|-⌫|-⌫----|-|----||-⌫-------⌫--|
sontsi orgueillexe tfier	---|-|---------|-⌫|---|
Quelorm antiax le ssentsiestraier	--|--|-⌫-----|--⌫----|-|-------|
Malso itdecelqui.i.e ndeintbaillier	--|--⌫-|-|--|--|--|-⌫|----|-------|
M es lapucelequimolt f istaproisier	-⌫-|-|-----|--|---|-⌫--||-------|
En apelason senesc hal Garn i er	-|----|--|------⌫--|----⌫-⌫-|
Etaueclui .i.damois ell egier	-|---|--|--|------⌫-|-⌫----|
Et.ii .sergenz	-|---⌫|------|
et ifranc escuier	-||----|------|
Seign or fet eleportez sanzdelaier	-----⌫-|--|--|-----|---|------|
Ascheualie rs	-|--------⌫-|
lor mantiausqui	--|-------|--|
Quicilesontles sieztozes traier	--|-|--|--|---⌫---|--|--⌫-----|
Nesaipornos trichier ou	-|--|--|--|-------|-|
Damefont ilbienfetaostroier	---|---|-|---|--||-------|
Chascunsen	-------|-|
uait .xii.oux u.en chargier	---|----|-|-⌫-|--⌫-------|
Asbar onsu ont moltt ostsanz delai er	-|---⌫--|-⌫--|---|-⌫--|---|-----⌫-|
Qui iaisso ientfors	--|-|----⌫---|---|
delpalesple nier	--|----|---⌫---|
Porlesmes age squil uellentconuoier	--|--|---⌫---⌫|-|-|------|-------|
Q uia Ner boneendoiuent cheuauchie r	-⌫-||---⌫---|-|------|----------⌫|
L isenechaus	-⌫|--------|
lespristaaresn i er	--|----||-----⌫-⌫-|
Atende znosseignor	------⌫|--|------|
n obl eguerrier	-⌫---⌫|-------|
T ozuoz mantiaxquefe siez less ier	-⌫-|--|------|--|--⌫---|----⌫--|
u osf et ma damea pres	-⌫-|-⌫-|-|---|-⌫---|
uos enuoie r	--|------⌫|
Seignoru alletdist	------|-⌫----|---|
G ui z de Monpanci er	-⌫--⌫|-|--------⌫-|
Orsoie ntu o st re	-|----⌫-|-⌫-⌫--⌫-|
aurontmestie r	-----|------⌫|
Car nafiert	--||-----|
pasa nulfranccheu alier	--||--|----|----⌫----|
duc nacontequiterre	--|||----|--|----|
ai ta ba illier	--⌫||--⌫-----|
Que i l enportson si ege	--|-⌫|-----|--|--⌫--|
Sei gnorual letcedis t Guiz li	---⌫---|---⌫--|-|---⌫|---|-|
Ors oientuostrelimantel	-|-⌫----|-----|-|-----|
uair etgris	---|-|---|
D autresauonstotan ostre	|-----|----|--||-⌫----|
celuinenaitou.u.ousi s	----||-|--|-|--|-|--⌫|
N es tpas reson	|--⌫|--|----|
ence nos t re pais	-|-|---⌫-⌫-|---|
Quecu ensnedus ne	--|--⌫--|-|--|-|
princes nemarc his	------|-|----⌫--|
Enportlesieg esor c o i	-----|-|----⌫|--|-⌫-⌫|
Fontli uallet Seignor les	---|-|-----|------|--|
uozmerc is	--|----⌫-|
Damedexg art liro isdeparadis	------|-⌫--|-|--⌫-|-|------|
doneru osat eusdonsapris	----|-⌫-||-⌫--|---|----|
Simeist Dexquienla croizfu	-||---|--|--|-|-|----|-|
RoisBo niface q uenosseruonst ozdis	---|--⌫-----|-⌫-|--|------|-⌫-|--|
Nenos donapieca	-|--|---|----|
tantmantiaxgris	---|------|---|
Lonbart leuo ient tuit e nsontesbah is	------|-|--⌫---|---|-⌫|---|-----⌫-|
Lirois me ism esenfu	-|---|--⌫---⌫-|-|-|
f or mentpensis	-⌫--⌫---|-----|
Merue ille soi ou teus auo irs fupris	-----⌫---|--|-|---|---⌫--|-|---|
Que despa ndoient	--|-----⌫------|
cil princ eetcilmarchis	--|-----⌫|-|--|------|
En s oncoraielestie nt	-|-⌫-|-----|--|---⌫-|
Ca rilnapasteledes panseapris	--⌫|-|||--|---|---⌫----|----|
Mesqantl e	--|---|-⌫|
sotHermeniart au cleruis	--|---------|-|---|--|
Tre s toz li	---⌫-⌫--|-|
cu erslenest	--⌫--||-|--|
L orsenmo nterentlimesagiertu it	-⌫--|-|--⌫------|-|-------|--⌫-|
Suzlesmulezniotplus termequis	--|--|----|||-|---|----|---|
Tot mainten ant	--|-------⌫--|
sont a lauo iem is	---||-|--⌫-|-⌫-|
Etlil.remainnentelpais	-|-|-|---------|-|---|
d istlapucelegentis	-⌫--|-|-----|-----|
Etlimesage s enuonttuit ademis	-|-|-----||-|---|---|-----|
Orlesco nduie l i	-|--|--⌫----|-⌫|
Qainz qu eles uoie aNerboneAymeris	|---|--⌫|--|---||------|------|
Aura poort resto z li p lus hardi	---|---|-⌫-----⌫|-|-⌫--|----|
cuiuerz AlemanzSa uari s	------|------|--⌫----⌫|
Q uilenchaucierentainsicom ie uo sdis	-⌫|-|------------|----|--|-|--⌫|--|
Sestoi tpuis tantpor chaciez etporq uis	|-----⌫|---|---|---⌫------|-|----⌫--|
A un suenfrerequilauoit el pa is	|-|---|----|-|-|----|-|--⌫-|
homesferuestis	----|--------|
Dex gart l escontes	--|---|-⌫-|-----|
qui enlacroiz	--|-|-|----|
lo rcroist moltgrantpoine	--⌫|-----|---|----|----|
uon tsenl imesqui	---⌫||-|-⌫|--|--|
nesetargen tmie	-|-|------⌫|--|
Droitu ersNerboneont loruo ie	----|-⌫--|------|--|--|--⌫-|
.X.escuiersontenlor conpagnie	--|-------|--|-|--|--------|
Qande str em oinentlesdest riers	|-|--⌫---⌫|-⌫-----|--|----⌫----|
de Hongr ie	-|-----⌫-|
C has cunsot armeset espee for bie	-⌫---⌫---|-|----|-|----|---⌫--|
Qui grantm estierlor orent ainz	--|----|-⌫-----|--|----|---|
Serre cheuau c hentlanbleureserie	----|------⌫-⌫---||-------|----|
Dexlesconduiequitota enbaillie	--|--|------|--|--||-|------|
C arSauarisalabarbe florie	-⌫-|------||-|----|-----|
Napa ss ond uelencore	||--⌫|-⌫-|-⌫--|-----|
oub lie m ie	---⌫--|-⌫-|
ga i teaiornee etde mie	--⌫-⌫-||-----|-|--⌫--|
P or Herme niart labele dePauie	-⌫-|-----⌫----|-|---|-|----|
Dont tropau roitg rantdueletgrantenuie	---|---|--⌫---|-⌫---|---|-|----|----|
Seautreshomlauoit en	-|-----|--||----|-|
sa bailli e	-|------⌫|
.c.h omescuiDamedexmaudie	--|-⌫---|--|------|-----|
Fu enbuch iez	-|------⌫--|
lez uneuo iea ntie	--|--|--⌫-|-⌫---|
Etliba r o nquinesengarden tmie	-|-|--⌫-⌫-⌫|--|-||-|------⌫|--|
uontcelepartamesni eescherie	---|---|---||-----⌫|-------|
Hugues p arlaalachierehard ie	-----|-⌫---||-|-----|----⌫-|
De Bar g eloneauoit la	-|---⌫-⌫----|----|-|
seignor ie	-------⌫-|
Seign or dis tilceresenblefolie	-----⌫-|---⌫|-|-|-------|----|
Qantnemonto ns es	---|-|-----⌫-|-|
dest riersd e	----⌫----|-⌫|
E t sifermon s	-⌫|-|------⌫|
leshia umesde	--|---⌫---|-|
aillonsp a scomme	------|-⌫-⌫|----|
gent esbahie	---|------|
C a r cesteuoiemesenblemoltsout ie	-⌫-⌫|----|---|-|-----|---|----⌫-|
Tien gnecha sc uns p reslespeefo rbie	----⌫--|---⌫--⌫--|-⌫--||----|--⌫---|
gentqui nosfaceasaillie	---|--|--|---|-------|
Chascun sb iense desf ande	-------⌫|-⌫--|-|----⌫---|
SeignordistHuguesfranccheualier baron	------|---|-----|----|--------|----|
Se me ncreezsorlesd es tr iersmonton	-||-⌫|----|--|--|-⌫--⌫--⌫---|-----|
Et nozes pee s	-|--|--⌫---⌫|
pres denosbientenon	---|-|--|---|----|
S an nosassau tt resbien	|-|--|-----⌫|-⌫--|---|
nos d esf andon	--|-⌫---⌫----|
Etc ilrespo n entA	-|-⌫-|-----⌫-⌫--||
D eubeneicon	-⌫-|-------|
Chascunsdescentde l mul e tarragon	-------|------|--⌫|---⌫-⌫|------|
Es d estri e rsmontent sanz plus	-|-⌫-----⌫-⌫-|------|---|---|
darestoiso n	|---------⌫|
Puischeuauchierentfi erementa	---|-------------|--⌫------||
I usqal agu etou firentli	-⌫--|||---⌫-|-|-----|-|
Qant S auarisquiait	---|-⌫-----|--|--|
Chois ilescontessiioianzne	-----⌫|--|-----|-|-----|-|
D istaseshomes Anta nd ez mar e son	-⌫--||--|----|----⌫--⌫-|-|-⌫-⌫--|
M ienescient an cuigae ngneron	-⌫--|------|--⌫--|---⌫------|
Carcire perentli cheua lierbaro n	--|-|--⌫-----|-|-----⌫---|----⌫|
Quil autrierfirent	--||------|-----|
sigrant ocision	-|----|------|
Denostregentc ameneaui on	-|-----|---||----|---⌫-|
Mesnenia pa s a	--||-|||--⌫||
sigra n t foison	-|---⌫-⌫|-----|
Ce us qu iciuienentneprispas .i.b oton	--⌫-|--⌫|-|------|-|---|--|--|-⌫---|
en pre n ons an cuilaueniois on	-|---⌫-⌫--|--⌫--|-|-------⌫-|
Dec eus quilontocisparmesp rison	-|-⌫--|-|-|--|---|--|----⌫----|
Ia m e snulioren norene	--⌫-⌫-⌫|--|--|--⌫---|-|
Ca r par eus	--⌫|--|--|
sont m ortnostreconpagno n	---|-⌫--|-----|--------⌫|
Do nti aile cuer plaindegra ntma rrison	--⌫-||-|-|---|----|-|---⌫-|--⌫-----|
Di e ntsi home E tnos qu eatendon	--⌫-⌫-|-|---|-⌫|--|--⌫|------|
Iacontrenosna uro ntguier es foison	-|-----|--||-⌫---⌫-|-----⌫-|-----|
Aicestm ots esless ent	|----|-⌫-||------⌫--|
Et uers lescontesbrochen t	-|---|--|-----|-------⌫|
Qantc illes uoient molt	---|-⌫-|--|-----|---|
grant fric on	----|----⌫-|
Seignorc edis tHuguesligentish om	------|-⌫|---⌫|-----|-|-----|-⌫-|
Deboncon seil neuien t	-|--|---⌫---|-|----⌫|
ilsebien non	-|-|---|--|
Bie npoe z oreueoir a	---⌫|---⌫|--|----||
Queuo sdonaileal	--|--⌫|----|---|
conse iletbon	-----⌫-|-|--|
Car ci n o suein entpongnantde g rantrand on	--|-|-⌫-⌫|----⌫--|-------|-|-⌫---|----⌫-|
au isli A lementfelon	--⌫-|-|-⌫-----|----|
Que laut reiorde sconf itauion	--||---⌫-|--|--⌫-----⌫-|----|
Por amo rDe u	--|---⌫|--⌫|
seignor etporsonnon	------|-|--|--|--|
Orgard ez bien que cha scunssoit	-|----⌫-|---|--|---⌫----|---|
Et conbatant	-|--------|
comm elion	----⌫|---|
Sesomespoitant	-|----|--|---|
mie uz les requerron	---⌫-|--|--------|
uosueez bie nqu	--|---|---⌫|-|
e sc hapernepoon	-⌫--⌫----|-|---|
Nedautrepartnu l se cors	-||----|---|--⌫|--⌫---|
Nenulea idese de D amedeunon	-|---|-⌫--|-|-|-⌫-----|--|
Etbiens achiez se	-|---|-⌫-----|-|
nosdesco nforton	--|-----⌫------|
Ia encontr	-|------|
eusnauronspl u sdefois on	--||-----|--⌫-⌫|-|----⌫-|
N e quel aloecon tr el esmerillon	-⌫|--||---|---⌫--⌫||---------|
H e u eraiDexquelsou frete	-⌫|-⌫---|--|---|---⌫----|
Delbon uasalGirart d eRos illon	--|--|----|-----|-⌫|---⌫----|
DHernaut deMez	|------|-|--|
etdOrsde ualbeto n	-||--|-|-------⌫|
Gautierde lMansde G a rinde	------|--⌫|---|-|-⌫-⌫--|-|
EtdeGe ufroide	-|-|--⌫----|-|
H un autleBr eton	-⌫--⌫--|-|--⌫---|
DeI ocerantet	-|-⌫------|-|
del uasa lGuion	--|----⌫|----|
Etdes.l. quearriere sl esson	-|--|--|--|-------⌫|-⌫----|
fussen tc ilicheual ierbaron	------⌫|-⌫|-|------⌫--|----|
Petit durass entenue rsno s	----|------⌫--|----⌫-|--⌫|
Me spuis queu oiqueauoirnes poon	--⌫|---|--|-⌫-|--|----|--|---|
ParceSe igno r qui Longis	--|-|--⌫----⌫|--|-----|
fistpardon	---|-----|
Chier me cuit uendreaincoisque	----|-|---|-----|------|--|
p rissoion	-⌫--|----|
Neu osp uisf ereseign or	-|-⌫-|-⌫--|-⌫--|-----⌫-|
autres ermon	----|-⌫----|
ToznoscomantaDeu etason	--|--|-----||--|-||--|
ferrai quiq an poistn equinon	-----|--||-|----|-⌫|--|--|
Acemotbroche	|-|--|-----|
ledestrie r	-|-------⌫|
Et desploia leuermeil con fanon	-|-------|-|------|---⌫----|
Deuantse nuet	-----||-⌫|--|
l et reta u nb ouzon	-⌫|-⌫--||-⌫|-⌫----|
Delautrepartuint uers	-||----|---|---|---|
lui de randon	--|-|-----|
CilSaua risqui licrie ahaut ton	--|----⌫--|--|-|---||---|--|
Randezuost ostfizaputain	-----|--|-⌫--|--||-----|
N euos uaudroit la	-⌫|--|-------|-|
defanse. i.bou ton	------|-⌫-|---⌫--|
En Ale ma gneuosmenrai	-|---⌫--⌫--|--|-----|
Amonta l anten	|--|--⌫-⌫--|-|
prendraiuenioison	-------|--------|
Ets imeplest sen	-|-⌫|-|----||-|
aur a ira encon	---⌫-⌫|--⌫----|
Hugueslentant	-----||-----|
sidolanz nefu	-|-----|-|-|
Ledestr i erbroche	-|-----⌫-⌫-|-----|
nedistne o	-|---|-||
E tl Alementreuint	-⌫||------|-----|
So rsonesc ufiert leuasal Hugon	--⌫|--|---⌫|----|-|----|----|
Bris esal ances enuolent	----⌫|-|-⌫---||-|-----|
EtHugu e sfie rt letraitorfelon	-|----⌫-⌫|---⌫-|-|------|----|
D esuslatarge.i.t elcop	-⌫---|-|----|--|-⌫-|--|
Quene li uautlam onte dunb outon	--|-|-|---|-|-⌫---||-|-⌫----|
Et tre spe rc alehauberc	-|---⌫---⌫--⌫|-|------|
fremi llon	-----⌫---|
Mes l iporpoinzf udesozdauqueton	--|-⌫|-------|-⌫|----||-------|
Qui delamortgarantilegloton	--|-|-|---|------|-|-----|
Liber lenpaint pargra nt	-|--||------|--|---⌫-|
Ianbe sleuees	-----⌫|-----|
labat ielsa blon	|----⌫|-|--⌫---|
lespeequili pant	|----|--|-|---|
Sore licort i riez c omme	---|-|---|-⌫---|-⌫---|
Ialitranc hast le chi ef so z l eme nton	-|-|-----⌫---|-|---⌫-|--⌫|-⌫|--⌫---|
M es aurescorre uindren t	-⌫-|-|-------|-------⌫|
.c .conpangnon	--⌫|---------|
l encriem e felon	|-------⌫|----|
HaGodehelpeescri ent a	-|--------|-----⌫--||
Si lontenc losentor eten uiron	-||--|---⌫--|----|-|--⌫----|
Deto tesparzasa illentlebaron	-|--⌫--|---|---⌫-----|-|----|
en pense parson	-|----|--|--|
saintisme non	--------|--|
Ianaura mes	-||---|--|
secor s ne g ari son	-----⌫|-|-⌫---⌫--|
Carcillilanc ent lor es pieza	--|--|-|----⌫--|--|--⌫---||
Si liocient s onde strierarragon	-|-|-----|-⌫-|--⌫-----|------|
Sil emeten tparte rre	-|-⌫|-----⌫|--|--⌫--|
QantHugues u oitsoz lui	---|-----|-⌫--|--|--|
mortsondestrier	---|--|-------|
Sauoirpoeznoten	-----|---||-|-|
luicairier	--||-----|
Ilsaut enpiezaguised ommefier	-|---|-|---||----||---|---|
Quiliueistsonescu enbracier	--|-|----|--|---|--------|
Etesc remir delbrancforbid	-|---⌫----|--|----|----||
deu staloser	---⌫-|-----|
etpr oisier	-|--⌫-----|
Tantfier t	---|----⌫|
liberet deuant	-|--|-|-----|
Ma lsoitde celqui lo sas tapr oismier	--⌫|---|-|--|--||-⌫---⌫|---⌫------|
lancent lesr oizespiezd acie r	------|--|-⌫--|-----||----⌫|
Ocis le u sse ntsanzautrer ecourier	---||-⌫-⌫---⌫-|---|----|-⌫-------|
Qantiapongnent li nob ile guerrier	---||--------|-|---⌫--|-------|
Si conpangnon qui	-|---------|--|
esto ien t arrie r	----⌫---⌫|-----⌫|
E t a uecaustu itli	-⌫|-⌫--|--|--⌫-|-|
.x.es cuier	--|--⌫----|
Qui armefuren tsico mme cheualier	--|---|-----⌫|-|--⌫--|--------|
EntreAleme nzsefierentsanztargier	----|-----⌫-|-|------|---|------|
uirent lebaronchaploier	-----|-|----|--------|
Quimolt auoitdaidegrant mestier	--|---|----||---|----|------|
Ne rbonepristrenthauteme nt	--⌫----|--------|-------⌫-|
Chascunscelu i quilencontra premier	-------|----⌫|-|-|-------|------|
Fe t maint enanta	--⌫|-----⌫----||
terretrebuchier	----|---------|
Quilorsuei st Aleme nz	--|---|---⌫-|-----⌫-|
desr angier	----⌫-----|
Tot ela placelor ont	---⌫|-|----|--|--|
fet siu uidier	--|-|-⌫-----|
Quilnire mest fors Hugonleguerrier	-|-|||--⌫---|---|----|-|-------|
piefuelpong	--|-|-|---|
Do lenten furent lin oble	--⌫---|-|-----|-|-⌫---|
gar dents ontueuledes trier	---⌫---||--|--|-|---⌫----|
Dont Huguesfist Sau ari	---|-----|---|---⌫--|
trebu chier	-----⌫----|
Nauoite ncorloisir	|----|-⌫---|-----|
nerecou rie r	-|-----⌫---⌫|
Qu eilpeustmet r e	--⌫|-|----|---⌫-⌫|
pie enest r ier	--|-|---⌫-⌫--|
Monterfon tH u gu el ibarond roi turier	-----|---⌫|-⌫-⌫--⌫|-⌫|----|-⌫---⌫-----|
Isnele men tso rlaufer rant	------⌫---⌫|--⌫||-----⌫---|
Nau oitmei ll ordeciaMonpellier	|--⌫--|---⌫--⌫-|-|-||---------|
sol oit Sauarisauoirchi e r	---⌫--|------|----|---⌫-⌫|
do n ast por	--⌫-⌫--|--|
le s membr estranchier	--⌫|-----⌫-|--------|
Etd a utrepartli	-||-⌫---|---|-|
felonpautonier	----|--------|
FontSauarilorseign orredrecier	---|-----|--|-----⌫-|--------|
D ilec ou Huguesl auoi tfe t	|---|-|-----||----⌫|--⌫|
trebuchier	---------|
Silot ferutotlot	-||-|---|--||-|
fetesmaier	--|------|
Monter lefont	-----|-|---|
sor.i.autre destrier	--|--|----|-------|
Quedeuant aus trouerentestraier	--|-----|--|--------|-------|
Ilsone.i.grell ep orsa	-|---|--|-----⌫|-⌫-|-|
gent ralier	---|-----|
Totento rluilesafet r eperier	--|----⌫|--|--||--|-⌫------|
Qantillesuoitses	---|-|--|---|--|
pr entaaresnier	--⌫--||-------|
Sei gnor distil	---⌫---|---|-|
molt medoitennui er	---|-|---|-----⌫-|
Qantcil ua ssa l me font tel	---|--|--⌫---⌫|-|---|--|
des to rbier	---⌫--⌫----|
