telzco ustumance danferuient	---|--⌫--------||----|----|
gecroi to ut seq ueu ous	-|---|--⌫-|-|-⌫-|-⌫--|
detouzmausuoloi rs	-|---|---|-----⌫-|
soiezquites	----|-----|
ta nt aile cuerdou sdebonne re	--⌫-|-|-|---|---⌫|-------⌫-|
queg e ne saif or sque pais	--|-⌫|-|--|-⌫--⌫|--|---|
atantset aist et p lusn	----|-|-⌫---|-|-⌫--||
an soncuer sequel leoimist	-|--|---|-|-|--⌫-|-|---|
l i tans uintque al ers an	-⌫|---|---|--|--⌫-||-|
bi clar elaubois seresmut	--⌫----⌫-|-|---|-|-----|
sa fam emontpoatant i	-|---⌫|---|-|-----⌫|
alerlansa nti	---||-|--⌫--|
tou tbellemant lapourc ehu	---⌫|--------|||-----⌫--|
ousecret l auehu	-|-----|||---|
b ienuit ou	-⌫--|--|-|
il sarobeami sse	-|-|---||--⌫--|
bie n uitsamani ere etsaguisse	---⌫|--|-|----⌫--|-|-|-----|
sarobeprant et si	-|---|----|-|-|
mont sededuitmontsedeport e	---|-|-----|---|-|------⌫|
distdemarisuisd eseuree	---|-|---|---|-⌫------|
pou re streamunami l iuree	---⌫|-⌫---||--|--|-⌫----|
lors a sonam ifists auoir	---||--|--⌫|---|-⌫----|
queorpouoit	--|-|-----|
saioieauo ir	-|---|---⌫-|
m orsestoit	-⌫--|-----|
mesluiriendoutoit	--|--|---|------|
li che ual iers cui	-|---⌫---⌫---|--|
queoinetarda	--|-|-|----|
sa miequeil tant	|-⌫--|--|-|---|
b on greil lespousa	-⌫-|--|-||------|
etlonguemant	-|---------|
illa maintint	-|-|-------|
bicl arela	----⌫---||
sarobeuint	-|---|---|
quant natreuue ́cestesmeus	----|||------⌫||--|-----|
de soruoitquil estd ece u s	--⌫--|---|-|-|--|-⌫---⌫-⌫|
par s a fam e	--|-⌫|---⌫|
qui latrai	--|||---|
etlors o u bois	-|---|-⌫|---|
e tconm ebestesemaintint	-⌫|----⌫|----|-|-------|
aumiauxqueilpotsec o ntint	-|----|--|-|--|-|-⌫-⌫----|
d e lui uousless erai ester	-⌫|--|---|----⌫---|----|
anorroizconter	-|-----|-----|
d o u roiartus te	-⌫-⌫|--|----|-|
ueilretraire	---|-------|
qu atouzbonsiors siautfe ste fa ire	-||---|---|---|----|--⌫--|--⌫--|
pant hecos tetoz	----⌫-----⌫-|--|
dontilestoit	---|-|-----|
touz lesbaronsyassambloi t	---|--|-----||---------⌫|
dontanson cue r ilsemambroit	---|-|--|---⌫|-|-|-------|
dames escuiery ue noien t	----|------||--⌫-----⌫|
ettuitcil quide luitenoient	-|---|--|--|-|--|-------|
ansinq uessordonnancefu	------⌫--||---------|-|
aune panthe cou ste	|--|------⌫---⌫--|
queliroisuost alerchacier	--|-|---|---|---|------|
porsagrant	--|-|----|
festes olaci er	----|-⌫-----⌫-|
deuantcelioryyiorsouquatre	-----|--|--|-|---|-|-----|
tantpourchacier	---|---|------|
conpo uresb a t re	--|--⌫-|---⌫-⌫-⌫-|
etpourpanrelauenison	-|---|----|-|------|
porferesa grantgarnison	--|---|-|----|-------|
dechacier formantsepena	-|------|------|-|---|
etdeschiens as sez	-|--|-----|--⌫--|
oub oissefiere nt	-|-⌫--|-|-----⌫-|
s anzare st	-⌫--|---⌫-|
bic larel fuan laforest	---⌫----|-|-|-|-----|
conme besteorible etsauua ge	----|----|-----|-|-----⌫-|
lichienqu ifurent ou boquaige	-|----|--⌫|-----|-|-------|
quimontme ne rentgra nttampeste	--|---|--⌫--⌫---|---⌫-|-------|
o nt acuilliecellebeste	-⌫-|-------|----|----|
mont la suientag r an t effor s	---|-|-----||-⌫-⌫--⌫|-----⌫|
biclarelquifufieretfor s	-------|--|-|---|-|---⌫|
les chiensdene antnat andi	--|-----|-|--⌫--||--⌫---|
desonsan n estoitdes nuez	-|--|--||-----|---⌫---|
combienqua n bestefus tmue z	--------|-⌫|----|---⌫|---⌫|
r oi estuenusfuiant	-⌫-|--|----|-----|
etli chien ap resluisuiant	-|-|----|--⌫--|--|-----|
art us a nu int	---⌫-|-⌫|-⌫--|
et ile questouzcoiz	-|---⌫---|---|---|
chierelif istd	-----|-|-⌫--||
au roia nprintm o ntgr antpitie	-|--|-⌫|----|-⌫-⌫-|--⌫--|----|
quantil uitlabeste	----|-|--|-|----|
quialuiue noit	--||--|--⌫---|
e tdist besteagarantmetiens	-⌫|---|----||-----|-|----|
garderaides	-------|--|
chiens de luideuia	-----|-|--|----|
etades cilzsumi lia	-|---|---||---⌫--|
auroiartuspitieanprint	-|--|----|----|-|----|
sescheual iersapelerprin t	--|------⌫---|-----|----⌫|
agenouillons	|----------|
qu anumilite	-|-|------|
chascunsmont s anmereueilla	-------|---||-|---------|
plussorsf oiz	-------|-⌫--|
ch as cunsseseigna	--⌫--⌫---|-|-----|
et dir ent	-|---⌫--|
tuitanaudi ance	---|-|----⌫---|
queseestgrantsenef iance	--|-|--|----|-----⌫----|
ces tebeste a ra isonan li	---⌫-|----||--⌫---|-|-|
roi soraiezpitie del i	---⌫|-|---|----|-|-⌫|
nesouffrezquel lesoit o ccisse	-|-------|-|--⌫-|---|-⌫-----|
paru eneeursne parchie nsmalmi se	--|-⌫------|-|--|----⌫-|-----⌫-|
roisleuraotroie ́	---|---||------⌫|
at a nt lirois cestau oié	--⌫-⌫-|-|---||--|--⌫---|
ansa cit e	-|-|---⌫|
arriereuint	------|---|
labesteadeslez luisetint	-|----|---|--|--|-|---|
de lezson estriersemet oit	--⌫--|--|------|-|---⌫--|
um iliansadesestoit	--⌫-----|---|-----|
antozcheminsantoz santiers	-|--|------|-|--|-------|
liroi sl a	-|---⌫|-⌫|
ueoituo ul antiers	----|--⌫--⌫------|
etpoi ntilneladespisoit	-|---⌫-|-|-|-|--------|
al uis desachambre g isoit	||--|-|-|------|-⌫----|
liiors uintli	-|---|---|-|
cheualieruin dr ent	--------|---⌫--⌫--|
quimontnoblemantsecontind rent	--|---|--------|-|-------⌫---|
dam esy otetche ualiers	---⌫-||-|-|---⌫------|
plus de de uscenzetde usmilliers	---|-|--⌫-|---|-|--⌫-|-------|
biclarel ifeu	-------||--|
quideno uuel mariéfeu	--|-|--⌫---|-----|--|
quifu nob leethonoree	--|-|---⌫-|-|------|
de paille sdoree	-|------⌫|----|
montnoblemantsecontenoit	---|--------|-|--------|
an gr a ntestat quelle	-|--⌫-⌫-|----|-|---|
montyotgent	---||-|---|
deto utesgui ses	-|--⌫---|---⌫--|
es salesfurenttablesmise s	-|----|-----|-----|----⌫|
cha scuns cheualie r s s e seoit	---⌫----|--------⌫-⌫|-⌫|----|
etsafamelez	-|-|---|--|
labeste adesl e roi	-|----|---|-⌫|--|
et montformantl econioi	-|---|------|-⌫|-----|
lorslabe ste a ntr aoupala is	---|-|--⌫--|-⌫---⌫|-|----⌫-|
acoltanduagrant esla is	|--|----||----|----⌫-|
quiantrepl ussorsse ceoit	--|----|--⌫-----|-|----|
bienacesmeeetbienass ise	---|------|-|---|---⌫--|
parlest rec esl aa us d ans prisse	--|--|-⌫---⌫-|||-⌫-|-⌫--|-----|
grant col li fiertanmilaface	----|--|-|----|---|-|---|
u isneliefface	-⌫-|-|-|-----|
alaterre la	|-|----|||
ialieustmeriterandue	-|-|---|-----|-----|
qu a ntlicheualierli	--⌫-⌫-|-|--------|-|
me reu e illiéa nfurent	--⌫---⌫-⌫-----|-⌫|-----|
ialiussen tfaitgr antdesro y	-|-|-----⌫|---|--⌫--|-----⌫|
f us tporlamo urdou	-⌫--⌫|--||---⌫-|--|
q u an tliroys sef ait	-⌫-⌫--⌫|-|---|-|-⌫--|
grantme r eu e illeana	----|--⌫-⌫--⌫-⌫---|-||
et dists anzcaussenestc e mie	-|---|-⌫--|-----||--|-⌫|--|
quelabes te la anuaye	--|-|---⌫-|||-----|
orlessons ueo irquecera	-|------|---⌫-|--|---|
labes teancorfera	-|---⌫-|----|---|
qu iuerstouzsepor te humblaman t	--⌫|---|---|-|---⌫-|---------⌫|
forsuerscelitant	---|---|---|---|
seul lemant	----⌫-----|
cels oir tuit	--|-⌫--|---|
au souperreu i ndrent	-|-----|---⌫-⌫-----|
austables etausdoissetindrent	--|-----|-|--|---|-|-------|
mescelledamepa sni feu	--|----|---|--⌫|||--|
p ourcequetroppooureuse feu	-⌫--|-|--|---|--------|--|
card ela best ebiensauoit	--|-⌫|-|----⌫|---|-----|
iere et qu elcu erauoit	---|-|--⌫-|--⌫-|----|
forfaite an uers li	-------|--⌫---|-|
pource auue nirne	---|-|-|--⌫--|-|
liroisc onma nde	-|---|-⌫----⌫--|
alast au tourparmila feste	----|--⌫---|----|-|----|
poursauoir s	---|-----||
greue ro it	-----⌫--⌫-|
nes a ne luiannui feroit	-|||--⌫--|----|-----|
ans inc fucon	---⌫--|-|--|
liroisledist	-|---|-|---|
l a bestenul	-⌫|----|--|
samblantn efist	-------|-⌫|---|
tou zles ancline e t	---⌫|--|------|-⌫|
ca rfors a touz	--⌫|---||---|
bienneuost mie	---|-|---|--|
mesq uan tsafame na	--|-⌫---⌫|-|---|||
quid onnorlatout	--||----|||---|
siconma ncegrantdeul afai re	-|-----⌫--|----|---||---⌫-|
lorshorsdoupalaisse uatraire	---|---|--|-----|-|-|-----|
et si aualelesdegrez	-|-|----|--|-----|
en laui lle	-|-|--⌫--|
es t an trez	--⌫|--⌫---|
quibleciee stoi t	--|-----|-⌫----⌫|
sa uo it montbien	--⌫--⌫-|---|---|
d ecoic estoit	-⌫|--||-----|
congi e rouuéet quis	-----⌫|-----|-|---|
po urpe eurqu elleneus t pis	--⌫-|--⌫--|-|---||---⌫|--|
labestea ualele	-|----|-⌫---|-|
q uinamieancorfetson	-⌫-|||--|----|--|--|
tan tquist	---⌫|----|
qu ila celletrouué	-|-||----|------|
quisusuncheua l fu montee	--|--|-|-----⌫|-|-----|
po urceque aler s anuouloit	--⌫-|-|--|---||-|------|
sitostcon labeste la	-|---|--|-|----|-|
aupiz l ilanceausdanslaser re	-|--|-⌫|----|--|---|-|---⌫-|
doucheuallabat iusaterre	--|-----||---|--||----|
susli lan ceag rant	--|-|---⌫-||-⌫---|
iale ust m orteetdeuouree	-||-⌫--|-⌫---|-|-------|
qu antl agentliontrescu ye	--⌫--|-⌫|---|-|--|-----⌫-|
et ellequi cria h aye	-|---|--|---|-⌫--|
lab est esanrepair e	-|-⌫---⌫||-|------⌫|
qui conmance grantdeulafaire	--|-------|----|---||----|
e tcrie et braita gr a ntesl ais	-⌫|---|-|----||--⌫-⌫-|---⌫--|
siquei l n ot nuloupa lais	----|-⌫||-|--|-|--⌫---|
quinesansoit merueilliez	--|-||-|---|----------|
meimeli roissanest seig n i ez	----|-|---||-|--|----⌫-⌫-⌫-|
eti urequiluia ut sa u oir	-|-⌫--|-|-|---⌫-|--⌫-⌫--|
de celleau antureleuoir	-|----|--⌫-----|-|---|
ta ntostladame prandre	--⌫----|-|---|------|
eta ntresmauslianslami st	-|-⌫|---|---|----|-|--⌫-|
e tiure quilladestr uir a	-⌫|---|-|-|-|-----⌫---⌫|
oueleue ritedira	-|--|--⌫---|---|
quantcelleleroyantandi	----|----|-|--|------|
sauu esa u i e s erandi	----⌫|-|-⌫-⌫|-⌫|----|
t outelauer iteiay	-⌫---|-|---⌫--|--|
et conmantso nseigne u rtray	-|------|--⌫|------⌫-⌫|---|
par sa mansongeetparsalobe	--|-|-------|-|--|-|---|
etancorligardesa	-|----|-|----|-|
trestuitmont dese sesbair ent	-------|---|-|-||------⌫--|
quan t il sesparoles o irent	----⌫|-|--|------|-⌫----|
biclar elo ntla amene ́	------⌫-|-⌫-|-|-----⌫|
safameest sipené	-|---|--|-|----|
liroisfistqu ela robe uint	-|---|---|--⌫|-|---|---|
d edans sebouteet	-⌫----|-|----|-|
lorsatoutsonmesc h ief cont é	---||---|--|----⌫-⌫--|----⌫-|
conmantsafamel a	------|-|---|||
sirequiertqu	-|-------|-|
elle soit occisse	---|---|------|
etlors fuel leantremurs mise	-|---|-|--⌫-|----|---|---|
d ontonque s	-⌫--|-----⌫|
ceste auanturea ui n t	----|-------|-⌫--⌫-⌫|
dont uoiztuque	---|---|-|--|
folemantouure	-------|----|
q ui a safame sedescouure	-⌫-||-|---|-|--------|
do usecrequi faitaceler	--⌫|----|--|---||----|
sa to uzne leuiaut reueller	||--⌫-|-|-|----|-------|
bi auxamis et sus se	--⌫--|---|-|--|-|
c etuies bien quitesouffisse	-⌫|-|--|---|--|-|--------|
tuiesbienet priueema nt	-|--|---|-|--------⌫-|
q ui tonsecre te demant	-⌫-|--|----|-|-----|
nede s irre fameaauo ir	-|--⌫-⌫---|---||---⌫-|
dontpe rd es honneureta uoir	---|--⌫--⌫-|------|-|-⌫---|
miauxteuau tes trea n moien point	----|-|---⌫|--⌫--|-⌫|----|----|
ettune so iesanperilpoint	-|-|-|--⌫--|-|----|----|
anlongueuiee t as s eu r	-|-----|--|-⌫|--⌫-⌫--⌫|
plu sgra nt	---⌫|---⌫-|
estat an peeur	----|-|----|
nepueth on e streanboneur	-|---|-⌫-|-⌫---|-|--|--|
conbie nqu il a its il	------⌫--|-|-⌫-||-|
n est c e ur	|--|-⌫-⌫-|
miauxuaut doup ain	----|---|--|-⌫--|
etdoupotaige	-|--|------|
panreaseuran sonestai ge	----|----|-|--|-----⌫-|
couchie r leu erason uo u loir	-------⌫|---⌫-||--|--⌫-⌫---|
questre ansalese tluidoloir	-|----|-|----|-⌫|--|-----|
outr esgransdeuic esmangier	-|--⌫-|----|-----⌫-|------|
dontlanpeutuenira	---|--|---|----||
carquise moine	--|--|-|----|
bel lemant	---⌫-----|
moinesauielong uemant	----|-|--|----⌫-----|
nepancei a	-|----|-⌫|
aauoir fame	|----|---|
d onttup uisses auoirdifame	-⌫--|-|-⌫-----|----|-----|
cilzquitaut plusaise	---|--|---|---|---|
qu e s eusadieu	--⌫|-⌫--||---|
doitd esplesir	---|-⌫-------|
car si l isa iges honme mant	--|-|-⌫|--⌫---|----|---|
meilleu rp ainquiertque de	-------⌫|-⌫--|-----|--|-|
quierrep os seurteet ai sse	----|---⌫-|-----|-|--⌫--|
to u teautreric hecese taisse	--⌫-⌫-|----|---⌫---|-|-----|
d es e example teco nterai	-⌫|-⌫|------|-|--⌫-----|
ata ntge mentairoi	---⌫-|-||-|-----|
de deus suriz	-|---|----|
q uisantramoient	-⌫-||----------|
conmere slune laut reestoient	-------⌫||--||---⌫-|-------|
lune an unboisot	|--|-|-|---|-|
lamanoitan toutesaiso n	-|-----|-|----|-----⌫|
garnisonaunoit	-------|-----|
par sapoine a	--|-|----||
uie se menoit	--|-|-----|
de ble fetdenoizgarn ie	-|---⌫|-|-|---|----⌫-|
bienfu garniesaclotiere	---|-|-----|-|-------|
po uouloit aut regent ongier	-|------|---⌫-|---|-----|
ron d emant uiuoitsanzdongi er	---⌫-⌫----|-----|---|-----⌫-|
paour nauo it c on loce ist	----||---⌫-||-||---⌫--|
neque honsus	-|--|--|--|
li n ulmal meist	-|-⌫-|--|----|
tropgrantsociete nequis t	---|----|------|-|----⌫|
toutrondem a ntsauieaquist	---|------⌫-⌫-|-|--|-----|
nuitetiou rsanz paourestoit	---|-|---⌫|---|----|-----|
c eloncson po urchazdespando it	-⌫----|--|--⌫-----|--------⌫-|
dormoitreposoi t	------|-------⌫|
ades estoitan	---|-----|-|
nullefoizn iertseshuis	----|---||---|--|---|
porl ifa ire nullesdurte z	--|-⌫|--⌫--|-----|-----⌫|
la uill eyere	-|----⌫|---|
qu itroppa r f u nobleet fiere	--⌫|---|--⌫|-⌫|----|-|----|
eldemouroit ch i ezzz	-|--------|--⌫-⌫-|-|
bo urgeois	--⌫------|
asonchoi s	|--|----⌫|
trestout esgarnisonsmondaines	--------⌫-|--------|--------|
sa nziaandurernulles poines	--⌫-|-|------|-----|-----|
autresneq u etu m	-----|-|-⌫-⌫|-||
orras dire	----|---|
bien teconteraitirea tire	---|-|-------|---||---|
p ains uinscha rsfromagespesons	-⌫---|---|---⌫-|-------|-----|
ettrestoutes autres paisons	-|---------|-----|------|
d es q uelzquell euouloituse r	-⌫-|-⌫---|-|---⌫|------|---⌫|
onp ouoi t pan resanzm user	-|-⌫----⌫|---⌫-|---|-⌫---|
u n iourpot	-⌫|---|--|
a li montceoi r	|-|---|----⌫|
quala stsa conmere	-|---⌫-|-|------|
longuemantfuquelnotue hu e	---------|-|-|-||-|--⌫--⌫|
lorscestal auoieesmehue	---||--||-⌫|---|------|
chiessa c onmeresanal a	----|-|-⌫-----||-|--⌫|
etdeslui s deuantl	-|--||--⌫|-----||
celleiissihorssilasalue	----||---|---|-|-|----|
c onmerebie nsoi ez u enu e	-⌫-----|---⌫|---⌫-|-⌫---⌫|
ue nezueoir no stre mai so n	--⌫--|----|--⌫---|---⌫--⌫|
s auroiz denostregarnison	|-----|-|-----|-------|
tellecondieu	----|--|---|
lam ad on nee	-|||-⌫--⌫--|
l ors a saconmere m e nee	-⌫--||-|------|-⌫-⌫--|
q uelle otdeuan t	-⌫|---|-|-----⌫|
mesai nschi ere cellenanfist	--|--⌫-|---⌫--|----||-|---|
mes tout q uanque lleuoit des pise	--|---|-⌫----|-⌫--|---|---⌫---|
quen otpaste lzuiande	--||-|--|--⌫-|-----|
qu ellelifupou re etanmere	-|---|-|-|---⌫-|-|-----|
la richea sa c onmere	-|----||-|-⌫-----|
certe smontpou reuie	-----⌫|---|---⌫-|--|
conmant anuieu oustenez	------|-|--|-⌫--|----|
cert es yyioursne	----⌫-|-|----|-|
uiuroiemie	------|--|
seg e es toie	-|-⌫|--⌫---|
auostreuie	|-----|--|
telzuie doit e stre	---|--|---|-⌫---|
la maudite	-|------|
quanq uec iauez i e cl ai n quite	-----⌫-|-⌫|---|-⌫|--⌫--⌫|----|
ansin cuoussi	-----⌫|---|-|
ferezsauoir	----|-----|
ge uousdonraicent tempsdauoir	-|---|-----|---|----||----|
quiu ostres touzq uites	--|-⌫-----|---|-⌫----|
etquiriensneuouscouste r a	-|--|----|-|---|------⌫-⌫|
bie nu ousd o it	---⌫|-⌫--|-⌫-⌫-|
t elzp resanz ceoir	-⌫--|-⌫-----|----|
conmere uenez m oi ueoir	------|----|-⌫-|----|
mettraiai sse sa nzpoine	------|--⌫--|--⌫-|----|
c ellela cru tatant l	-⌫---|-|---⌫|----||
de se shonneurs	-|--⌫|-------|
seuau antant	-|-|-⌫-----|
etlautres euaguermantant	-||----|-⌫|-|----------|
et tantleursparole s maint ind rent	-|---|----|------⌫|-----⌫---⌫---|
quanmed eus c hi es	-|-----⌫--|-⌫--⌫-|
le borioisuin drent	-|------|---⌫----|
et main tenant et	-|----⌫-----|-|
sa n zta rdi er	--⌫-⌫|--⌫---⌫-|
cellelamenaou lardier	----|-|---|-|------|
uoizcibacon s	---|-|-----⌫|
uoiz ci fronmaiges degayn	---|-|---------|-|---|
charfresche et	---|------|-|
cia ndouilles	-|-⌫--------|
m aniuetantque tutedoilles	-⌫----|------|-|-|------|
ian ipar ra	-|||---⌫-|
etmilfussiens	-|--|-------|
et feissienspisquepeussie ns	-|--------|--|--|-------⌫-|
dou lardierou grenierla	--|------|-|------|-|
uoizcifronmantu oizcia uoine	---|-|-------|-⌫--|-|-⌫----|
etuo izci noiz	-|--⌫-|-|---|
dame ansuis deiors	---|-|---|-|---|
ta ntagr an s garnisonsceans	--⌫-||--⌫--⌫|--------|----|
ne lequerroi tnus	-|-|-------⌫|--|
honsuo ians	---|--⌫---|
distlapo uregeno n	---|-|--⌫--|-|--⌫|
ors uis u enue a bonne uoie	-|-⌫--|-⌫---||----|---|
car se pie sageleseu sse	--|-|---⌫-|-|-|---⌫--|
monpoureostell ess iéeusse	--|----|----|-⌫---⌫--|----|
lariche lauaadestrant	-|----|-|-|--------|
d e chambrean	-⌫|------|-|
chambre ua antrant	------|-|------|
ansi nccon par lea ns	----⌫-|--|--|---⌫-|
ri checesrega rdoient	--⌫-----|----⌫------|
d ontlapoure sesioyssoit	-⌫--|-|----||---------|
deplante s es bais soit	-|-----||--⌫----⌫---|
lo rso nt uehu	--⌫-|-⌫-|---|
frerethi eb ert	----|---⌫--⌫--|
qui fugrantet f ort	--|-|----|-|-⌫--|
qui susung renierpl ancheoit	--|--|-|-⌫-----|--⌫-------|
etb ientoutauto urli ueo it	-|-⌫--|---|----⌫-|-|---⌫-|
conmela pour e l	----|-|----⌫||
hideetpaouran	---|-|----|-|
si d ist conmereetquiie rt	-|-⌫--|------|-|--|--⌫-|
cil zgransmes tres	---⌫|----|---⌫---|
laet que quiert	-|-|--|-----|
distcel lenozgardians	---|---⌫-|--|-------|
cust odesd ecean s	----⌫---|-⌫|----⌫|
tostnou sferoi tnozf ins uenir	---|---⌫|-----⌫|--|-⌫--|----|
sanspat esno us pouoittenir	---|---⌫-|--⌫-|-----|----|
c e stc ilqu iiusqueamort fi ert	|-⌫-|-⌫-|--⌫|-----||---|--⌫--|
nulle autre rienforsnous n e quie rt	----|----|---|---|---|-⌫|----⌫-|
lo rs plusdeparoles ne	--⌫-|---|-|------|-|
