enl enornostre	-||---|-----|
e le ss erp ens sens maslaeissiil	|--⌫|-⌫---⌫--|---|----|----|-|
me ism esfiteng endrer	--⌫---⌫-|--|---⌫-----|
ehomaonuentra	|---|-|-----|
del auirgias a nz	-|-⌫|-----|-⌫-⌫-|
semencad omee cilqui	------||--||--|--|
fi tpremeirament ho me sa nz semenc ad	--⌫|-----------|--⌫-|--⌫-|------⌫||
autreleggierament poguit	----|-----------|-----|
f aire que lif ilz de lu ifustfaiz	-⌫---|--|-|-⌫--|-|--⌫|---|---|
homenasq uetd e	--||----⌫--|-⌫|
aiostamentdau traferra g uzdist	---------||--⌫--|-----⌫-⌫-|---|
benpuetestr aqui l	--|---|----⌫|-|-⌫|
nasqu etdelau irgia messi	-----⌫-|-|-|-⌫----|--|-|
fust filzde de ennengunen ep oguist	---|---|-|-|-|------|-⌫|-⌫-----|
encroiznaitrepo g uitmessi	-|----|-----|--⌫-⌫--|--|-|
fustfilzde de	---|---|-|-|
enn enguna	-|-⌫-----|
nepoguis t morirquardesne	-|------⌫|----|---|--|-|
tudizbiendist	-|--|---|---|
rol lan zq uartu dizqu il	---⌫---⌫|-⌫--|-|--|-|-|
poguitnaitred e la	-----|-----|-⌫|-|
uezteenquaumaniere	--|-|-|---|------|
comahoms il	---|--||-|
homdon c deu et	--|---⌫|---⌫-|
deuomcre ir elanat iuite	----|---⌫--⌫|-|---⌫----|
lombencreirelap assione la	--|--|-----|-|-⌫-----||-|
resurrectionfe rr aguz	-----------|--⌫--⌫---|
quaumaneir edetlomcreirel a	---|------⌫|--|--|-----|-⌫|
resurrect io nrol lanzdist	---------⌫--⌫|---⌫---|---|
ilnas quet mo rzecil	-|---⌫---|--⌫-||--|
q uifu morz auters	-⌫-|-|---|-|---|
fai z ui sli	---⌫|--⌫|-|
iaia nzquan til oi ti c ose	----⌫-|----⌫|-|--⌫|-⌫-⌫|-|
merueill a m o ltesidist	--------⌫|-⌫-⌫-||-|---|
roll antparquemediztutanta	----⌫--|--|--|-|--|-|----|
parola quirien ne	-----|--|---|-|
ualentqua r cone pu etes traque	-----|---⌫|-|-|--⌫-|--⌫--|--|
hommorzresorgiaauita	--|---|-------||---|
rollanzdistne resorcit pas	------|---|-|-------|--|
solement lifilz	-------|-|---|
dede mort mes	-|-|---|--|
tuitlih ome qu ifurent	---|-|-⌫--|--⌫|-----|
comenc e ment del	------⌫-⌫---|--|
mondetresque nla	----|-----|-⌫|-|
fin deue nt res ordre deuant lui	--|----⌫-|---⌫----|-----|--|
deuentchescunsreceure	-----|-------|------|
iuggiamentde sesmeriteseisi cumil	---------|-|--|------|---|--|-|
ontfeit lebene	--|---|-|--||
edieusqui fait	|----|--|---|
fro mentqui eramorz	---⌫---|--|--|---|
r euiura icilnosferato z	-⌫-----|---|--|---|--⌫|
resusciterdemorta uitaau	---------|-|---||---|-|
derr e ir io reprenc sen blancedau	----⌫-⌫-|--⌫||----|---⌫-----|--|
leo nq ua rsilileonzresusc ita	---⌫|-⌫--⌫|-|-|----|------⌫--|
sesleo nazqui	--|---⌫--|--|
sontmorta u tersior	---|---|-⌫|---|--|
queusmer ueil l aest	----|---⌫----⌫-⌫|--|
si desresuscita sonfilauters	-|--|--------|--|--|-|---|
iordemortoncest	--|-|---|--|--|
pas meruelliasi lifi lzde	--|--------|-|-|--⌫-|-|
resorcitquemaintautramor t	-------|--|----|----|---⌫|
resorcirentauantlasoa	----------|----|-|--|
r esurrectio no sihelies	-⌫----------⌫||-|-----|
oheliseusres ucitoentles	|-------|---⌫-------|--|
morzplusleggierament despoguit	---|---|-----------|--|-----|
re sus ci t e r sonfile	--⌫---⌫--⌫-⌫-⌫|--|--||
il quiplusors	-|--|------|
morzresucita	---|-------|
deuantl apassio nleggie rament	-----|-⌫|------⌫|------⌫-----|
resorssi dem ort adoncfe rra guz	-------|-|-⌫--|----|--⌫---⌫--|
d istassezconoisco q uetu	-⌫--|----|-----|-|-⌫-|-|
dizmesenq uaumaneire	--|--|-|-⌫--|------|
pog uito ur irlo cel s i	---⌫--|-⌫--⌫-|-|--|-⌫|
dizro llanzdist	--|--⌫----|---|
cilquidecen di	--|--|-----⌫-|
legg ieira m ent hipoguitpoier	----⌫-----⌫-⌫--|-|-----|----|
eobrireprenten	|----||----|-|
ess ample de	---⌫----|-|
maintes c hoses	------|-⌫----|
d au moli nqu aren tan t	-⌫-|----⌫|--⌫-|-|---⌫|
de baiseteen autete	-|------|-|-----|
a utret ant ba i sset	-⌫-----⌫--|--⌫-⌫---|
d auteteen	|-----|-|
baise teeeta ntcum	-----⌫-||---⌫-|--|
mont e en haut autreta nt	----⌫|-|---|-------⌫-|
decen tbas	-----⌫|--|
etumei smes qui	|-|---⌫---|--|
descendisparauen tura dun	--------|--|----⌫---||-|
puezben tor nerarreire eli	---|--|---⌫--|------||-|
sol e ilzqui	---⌫-⌫--|--|
cochiaenoccidente	-----|-|-------||
puis s orzde meima e nsementl i filz	---|-⌫--|-|----|-⌫------|-⌫|---|
laidonti l ueng uit	--|---|-⌫|----⌫--|
partaucoue nentme	--|--|----⌫---|-|
conbatraiot	--------|-|
teidistferraguzque silatoa	--|---|-------|--|-|-|--|
loizestuer aie	---|--|---⌫--|
si cum tudizie	-|--|-|--|-|
soieuencu za	---|-----⌫||
toz iorzecil q ui	--|---||--|-⌫-|
uentront siaian tl e	-------|-|----⌫|-⌫|
otroi f it r ollanz	----|-⌫-|-⌫-----|
fuo treié erra uement rollan z	-|-⌫-----|----⌫-----|------⌫|
assali le paianlorstrait li	-----|-|----|---|----|-|
sorrol lan tecuidalo	--|---⌫---⌫||----|-|
rollanzsaliarre iree	------|---|----⌫--||
r eti nt lo copsor sonbasto nli	-⌫---⌫-|-|--|--|--|-----⌫|-|
bastonz fu	------|-|
trench i eze l iiaianz	------⌫-⌫-||-⌫|-----|
saliauantsi	---|----|-|
pristrollan ta braz	----|------⌫||---|
silogitamoltleggieirament lores	-|-|---|---|------------|----|
conut ro lla nzquil ne	----|--⌫---⌫-|-|-|-|
l i po et mesesc haper	-⌫|--⌫-|--|---⌫----|
sila uertuz	-|-|-----|
de deneli aidot si	-|-|-|-|----|-|
anostraseignor xm crist	|-----|------|-|----|
lefilalabenoitaui rgia	-|--||-|------|--⌫---|
ma damea axmqu	-|---|-⌫|-|-|
maintenantg itale iaiant	---------|-⌫--|-|-----|
de sorluie	-|--|--||
mist maina lespea	---|---|||----|
ia iantepoinxit	--⌫---||------|
l o unpetit	-⌫|-|----|
onnombrile lorzs	-|------||---||
estortdelui e li	-----|-|--||-|
iaianzcomenca sondea	-----|------|--|-||
ap eler enautauoiz	--⌫---|-|---|---|
mahomet mah omet	------|---⌫---|
c oestadirelimensdes	-⌫|--||---|-|---|--|
sec or mo i qu arie	---⌫-|--⌫|--⌫-|-|
maintenantli	---------|-|
sarrazin corr urent	-------|----⌫----|
si lepristrent	-|-|--------|
sil enportare nt	-||---------⌫-|
entra lorzmai nzo nchasteu	----|---|---⌫-|-⌫|------|
r ollanzsenes toitiauenuz a	-⌫-----||-|--⌫---|-|----||
gentel i crestien	---||-⌫|-------|
sar merenttantostesi	|--⌫-----|------||-|
ent rerenton chasteuotles	---⌫-----|-|------|-|--|
sarra zins	-----⌫---|
quifer ragu	--|---⌫---|
en po rtoe nt to ta un	--⌫--⌫----⌫-|--⌫||-|
bruit e li	----||-|
chasteussi este it	-------|-|----⌫-|
desuslaciteeissi fuliiaianzocis	----|-|---|----|-|-|-----|---|
e li c hasteus pris	|-|-⌫------|---|
eli chiualier	|-|--------|
deliurédelachartre	-------|-|-|------|
aussarrezin soril les	--|--------⌫|-|-|--|
auoie nt mis	-----⌫-|--|
a pre scofu dist akarlequeacordes	-⌫---⌫|-|-|---||----|--||-----|
reisdesebille	---|-|------|
qui auetnomhebraum esiestot	--|---|--|------||-|----|
luilia uma ncorsqui	--|-|-⌫---⌫----|--|
batallia orai guolanzfuoci se	-------|-|--⌫------|-|---⌫||
silatendoent	-||--------|
laquarotlui	-|---|-|--|
seuoloentconba tre etote sles	-|------|-----⌫--||----⌫|--|
genzdau scitezlor	---|---⌫|----|--|
eriantuenu	-----|---|
enaielesci tez si ant	-|--|--|--⌫--|-|--|
granada desenti ua sebilla	------|-|-----⌫-|------|
deniaubedaab ula baezciaxms	----|----|--⌫--|------|-||
aparelia pa ralerenc o n t ra	-------|--⌫|---|---⌫-⌫-⌫-⌫-|
aléqu eilf upre s	---|--⌫|-|-⌫|---⌫|
dec ordesamto z	-|-⌫----|-|--⌫|
lorchiualiers	--|---------|
reieis s iren tco ntral ui	--|---⌫-⌫----⌫|--⌫---|-⌫-|
tuita rmé long dela cite e si	---|-⌫---|---|-|-|---||-|
est oien t	---⌫----⌫|
benl isa rrazinyy mire e li	--|-⌫|--⌫-----|-|---||-|
nostrae ntor yymirelor z	-----|-⌫---|-|---|---⌫|
f itxm deses	-⌫-|-|-|--|
genz tresbataliesenlap remiera	---|---|-------|-|-|-⌫------|
mistse smeli or s	---|--⌫|----⌫--⌫|
chiualiers	---------|
enlasegunda	-|-|------|
ceusapieen la	---||--|-|-|
terc ale sorpluse li	----⌫|-|------||-|
sa rrazinautre s i quan txmcomanda	--⌫-----|-----⌫-⌫|----⌫|-|------|
qu e nostra pre meir ebataille	--⌫|-----|---⌫----⌫|-------|
ch iuauc hastesi	--⌫-----⌫---||-|
ferissantaus	--------|--|
sarrazinsli s arrazin a pie	--------|-|-⌫------||--|
ui n drentauantsi	--⌫-⌫----|----|-|
o rent f aites	-⌫---|-⌫----|
unes barbotes cornu esqui	---|-------|-----⌫-|--|
s enblarent di ab lesesiteno ient	-⌫--------|--⌫--⌫--||-|----⌫---|
enlormainz canpanesqueil	-|--|----|-------|--|-|
s onoentmolt d urementquantli	-⌫-----|---|-⌫------|----|-|
chiualanostrescrestianz	-----||------|--------|
c oeuirent	-⌫||-----|
lesespaontamenz si	--|-----------|-|
orentsigrant	----|-|----|
p ao rq uil	-⌫--⌫|-⌫|-|
comencerent	----------|
afu irarreirec oma	|--⌫-|------|-⌫--|
deiuequecil	----|--|--|
quidesus e stoi ent ret enir	--|----|-⌫----⌫--|---⌫---|
pooentequantles	-----||----|--|
do esbataill es denoz	--⌫-|-------⌫-|-|--|
genzuirent	---|-----|
lapre meirafoirsiretornerent	-|---⌫----|---|-|----------|
lisarrazinaurent	-|-------|-----|
ioia silesseguerenttot	---|-|--|--------|--|
il a lerent tantqueil ue n guir enta	-|-⌫-----|------|-|--⌫-⌫----⌫--||
u na montagnieiluec sar estere nte	-⌫-|--------|----||--⌫------⌫-||
firent chas teu d eusmeimes e	-----|----⌫--||--|-----||
lesa tendir ent ala	--|-⌫------⌫--||-|
iluiren tco sir etorn aren t	-|-----⌫|-|-|-⌫-----⌫----⌫|
arr eirae xm loggia e nla	---⌫---||-|-----|-⌫|-|
iusq uel endemainaumatin pr ist	----⌫-||-------|-|----|--⌫--|
xmsonconseilesicomanda	-|--|------||-|------|
q uia uoien tleschi uaus quil	-⌫-|-⌫-----⌫|--|---⌫---|-|-|
courissantlesch epzdedraslinges e	---------|--|--⌫--|-|---|-----||
estop assant lo rlesoureillies	-----⌫-----|--⌫|--|---------|
que lisarrazi n faizoentcopar	--|-|-------⌫|-------|-|--|
moltgrantengiegde cose parpensa	---|----|-----|-|-|-|-------|
reisenostresgenz l efirente	---||------|---|-⌫|-----||
quantloreurentclo sles oilze	----|--|-----|---⌫|--|---||
es topees l es ourelie s s ialerenta	--⌫-----|-⌫-|-------⌫|-⌫|------||
l a bataliequarl ichi uau	-⌫|------|---|-⌫|---⌫--|
adonquespointde paor	-------|----|-|---|
i lassal ire nt	-⌫|-----⌫---⌫-|
lessarrazinse conbaterent	--|--------||----------|
lendemainiusqua me idie mo lt	|-------|----||--⌫--||--⌫-|
oscidrentoum idi se	--------|-|-⌫--|-|
traissirent	----------|
uersun es tandart que a uoientqueyy	---|-|--⌫------|--|-⌫-----|--|-|
bueft rainoent	---|-⌫-------|
estandartsiauoit un aensegni e	--------|-|----|--⌫|-------⌫|
totarogiecost umaesto it	---|----|----⌫--|----⌫-|
a donqu esque	-⌫-----⌫-|--|
iasarrazinsde bataille ne foist	-|--------|-|-------|-|----|
ta nt cumc elaense ignieestas t	--⌫-|--|-⌫--|----⌫----|-----⌫|
dreitequa nt x m les	-----|---⌫-|-⌫|--|
armezl eshelmeslazcees	----|-⌫-|-----|------|
plen zde lauertudau cel sise	----⌫|-|-|----|--|--|-|-|
misten tra l es sarrazinssi	---|--⌫--|-⌫-|--------|-|
feria destraeasenest r a	---||-----|||------⌫-⌫|
tantquiluintal	-----|-|---|||
enstandart esi	---------||-|
cop alaperch aqui so stenoitl	---⌫|-|-----⌫|--|--⌫------||
en se ignia eta ntostli sarra zin	--⌫--⌫----||--⌫----|-|-----⌫--|
cae l a lor si o t enl	-||-⌫|---⌫||-⌫|-||
egranz bruizesi	|----|----||-|
oc cesirent	--⌫-------|
nos tra cres tien yymire	---⌫--|----⌫---|-|---|
s arrazins e lir eis desebil la	-⌫-------||-|-⌫--|-|-----⌫-|
el amancor ss	||-------⌫||
en entraenl a cite	-|----|-|-⌫|---|
ot yy m ire sarraz insesila	-|-|-⌫--|------⌫--||-|-|
mes totesuoe s la	--|----|---⌫|-|
r endit le ndemain	-⌫----||-⌫------|
anostreemper eormes	|-----|-----⌫--|--|
partau c ouen tq ueil seroit	--|--|-⌫----⌫|-⌫-|-|-----|
crestiens eobedi roit as es	--------||-----⌫---||-⌫-|
comand emenz	------⌫----|
e te ndroit lacite	|--⌫-----|-|---|
deluiqu ant co	-|--|--⌫--|-|
fu tfaitsidepar tikarlemaines	--⌫|---|-|-----⌫-|----------|
lesterresepuissorz demeim a	--|-----||---|---|-|----⌫|
en sem ent li fi lzde	--⌫---⌫--|-|--⌫-|-|
il uenguit	-|------|
elescontreesdes pagnie	|--|-------||--⌫-----|
esilesdonaau schiualiers	|-|--|---|--⌫|---------|
quien laterra	--|-|-|----|
uoloentrem a nir	------|---⌫-⌫--|
terr aden au arraedebaclesdon a	----⌫|-|-⌫--⌫---||-|-----|---⌫|
ausbre tons	--|---⌫---|
late rrade caste la	-|--⌫--|-|-----⌫-|
fran ceis e nagese	----⌫---||----||
sa rraguoz ca	--⌫-------⌫-|
a c eusdegrecaeaceus dep ulia	|-⌫--|-|----|||---|-|-⌫---|
quie r iantenlost	--|-⌫-⌫---|-||--|
del a ndelufe lam arina	-|-⌫-⌫-----||-|-⌫----|
ausdanastierse	--|---------||
dausporz a u s	|------|-⌫-⌫|
daneiseauflemen x enlat erra de	-----||-|------⌫|-|-|-⌫---|-|
guascognie ne uogrentli franceis	---------|-|------|-|-------|
re manirparco	--⌫----|--|-|
quetr o pestet	--|--⌫-⌫|----|
s al uag ieapresco sent orn a	-⌫--⌫---⌫-|----|-||---⌫---⌫|
sisenala a	-||-|--||
sain tiasque	----⌫|-----|
quil t roua	-|-|-⌫---|
en ceupais	-|--|---|
sifitdeu enircrestiensmes	-|--|---⌫---|--------|--|
ceu squilsocqui	---⌫|-|-|--|--|
deauo ient	-|---⌫---|
o cire eles menaen	-⌫---||--|---|-|
franceenchaitiuerlors mistpar	-----|-|--------|---|---|--|
les c itez eue sques eprouoires	--|-⌫---|---⌫----||--------|
tintgrant concilaaco npo stela	---|----|------||--⌫---⌫----|
quartu itliprinceeli euesquede	---|--⌫-|-|-----||-|------|-|
sicoman da	-|-----⌫-|
eestablipor l amor	|------|--||---|
saintiasque quetuitli	----|-----|--|---|-|
princede la	-----|-|-|
terra crestianed	----|--------||
espagnie ed engalisce	-------|||--------|
estoien te cilqui uendroent	-------⌫||--|--|--------|
f ussantobeis santalarceu esque sa int	-⌫-----|-----⌫---|||-----⌫----|--⌫--|
iasqueayrmeneuocmie metreeuesque	-----||---|-|--|--|----|------|
quene lacontot	--|-|-|-----|
paspor cite	--|--|---|
m esi l uo c	-⌫-|-⌫-⌫--⌫|
quefusta clin éa	--|---|-⌫----⌫-||
co n post el le ed eso n arc euesq ue	--⌫-⌫----⌫--⌫-||-⌫|--⌫|---⌫-----⌫-|
gietu rpinsarceue squesdere ins	--|--⌫----|------⌫----|-|--⌫--|
s acraien celconcilalemostier	-⌫----|-|--|------|-|------|
sainti ak a	----|-⌫--⌫|
esi ot auocmoi yy	|-|-|---|--|-|
eues qu es	----⌫--⌫-|
e cofiieparlo	|-|-|-|--|-|
co man dement karleli sacramenzfut	--⌫---⌫-----|----|-|--------|--|
fei zentr anz les	---⌫|----⌫--|--|
elo rssomistli r eisal	|--⌫-|-----|-|-⌫--|||
igli setotalaterrad	----⌫-|---|-|----||
engualicesilal i	--------|-|-|-⌫|
donaendoeliza	---|-|------|
c omandaq u e	-⌫-----|-⌫-⌫|
dechascuna m ais o	-|-------|-⌫---⌫|
dengu a liceeustyyde niers	|----⌫-⌫---|---|-|--⌫----|
paraneparceusyy deniers	--|-||--|---|-|------|
seroent francdet otescostum es	------|----|-|-⌫---|------⌫-|
e s i estabblilienpereir es	|-⌫|-------|-|--------⌫-|
en cel concilaquel	-|--|------|--||
iglise saintiaka	-----|----|---|
fustapel e e	---|----⌫-⌫|
ma istosiorzseg es	--⌫-|--|---|---⌫-|
apostoliaus porce	----------|--|-|
que sainz iaquesli	--|----|-----|-|
rep osot e quieil ocfussantli	---⌫---|-⌫--||--⌫-|------|-|
con cile de tota esp agniee	---⌫---|-|---|---⌫----||
dengua li cefuss ant done estot e s	|-----⌫--⌫-|----⌫--|----⌫-|---⌫-⌫|
croz ces aus euesq ues	----⌫--|--|-----⌫--|
delapostre	-||------|
e silafoiz de	|-|-|---|-|
lacrestiantede faliot aus	-|---------|--⌫-----|--|
autres yg lise sci tez parl epechedau	-----|--⌫----⌫|--⌫--|--|-⌫|----|--|
puble nelicomandamenznostr e seignor	----|-|-|----------|-----⌫|------|
nefussantmie	-|------|--|
tenuiluecfussa nt	---|----|-----⌫-|
recon cilie ́ebendeuoit	-----⌫-----⌫||--|-----|
reconcil ie e en	--------⌫--⌫|-|
c elaygliseque	-⌫--|-----|--|
d euoentenor erquarsic om	-⌫-----|----⌫-|---|-|-⌫-|
par saintioaneuangliste l efreresaint	--|----|---|---------|-⌫|----|----|
ias que la foiz	---⌫--|-|---|
d e xmcrist	-⌫|-|----|
e li siegesapostol iausest	|-|-----|-------⌫---|--|
estab bli z	-----⌫---⌫|
enep hesequ iesten	-|--⌫---|--⌫|--|-|
ori ent aut reside t	---⌫--|---⌫---|--⌫|
e la es tre	-⌫-|--⌫--|
es tabblieparm on	--⌫------|--|-⌫-|
s eigno r sain t	-⌫-----⌫|----⌫|
ias qu een engualisce	---⌫--⌫|-|---------|
qui esten la	--|--|-|-|
p a rtiedoccident	-⌫-⌫---||-------|
d or ientd et	|--⌫---|-⌫-|
estrasanzd otesieges	----|---|-⌫--|-----|
apostoliaus ephese q ui est	----------|-----|-⌫-|--|
adest raregna	|----⌫-|----|
dambredeeconpos tela	-------||------⌫---|
quiest asenestra	--|--||-------|
e benlesdeuentcestdu ifr eire	|--|--|-----|---|--⌫|--⌫---|
auerque lu rmererequist	---|--|--⌫|---|------|
nostre seignorquis ainteestoit	-----|------|--|-⌫----|-----|
estoitadestra e liautra a	-----||-----||-|----||
senestratroisiegeapostoli au	-------|---|----|--------⌫-|
suntencrestiant ee e lm onda e	---|-|---------⌫||-⌫|-⌫---||
deuent estr ap lusenoré	-----|----⌫|-⌫--|-----|
quetuit li	--|---|-|
autreromagualizca	----|---|-------|
ep hes a q uar sicum	--⌫---⌫|-⌫--|-|--|
nos trasi res	---⌫--|--⌫--|
eslitsorto zl esautre s apostres	----|--|--⌫|-⌫-|-----⌫|-------|
saintpierra	----|-----|
sain tioa n euangel ista	----⌫|---⌫|-------⌫---|
pluslormostr a deses	---|--|-----⌫|-|--|
secrezsi cumlieuangelidient	-----|-|--|-|-------|----|
ausicomandailquep o reus	---|------|-|--|-⌫-⌫|--|
enco ra cisttroiditprinc i pal	----⌫-|---|---|--|-----⌫-⌫--|
quarsic ums i	---|-|-⌫-|-⌫|
treiapostre	---|------|
furent hautplusdeceus	-----|---|---|-|---|
autresautresidieuentil	-----|------|------|-|
liplusa utdeusautresor	-|---|-⌫-|---|-----|-|
ilpriechoente or il	-|---------||-|-|
seuelide tozceus deumo nda	-----|-|--|---|--|--⌫--|
par droitdet	--|----|--|
estrali sieg esd e	----|-|----⌫-|-⌫|
romapremi ersq uar	---|-----⌫--|-⌫--|
prin c esdaus	----⌫-⌫-|---|
apostrespar	-------|--|
s onpreechamenteparson propra	-⌫-|----------||--|--|-----|
san c eparsa	---⌫||--|-|
seuotura lesacr a	-------|-|----⌫|
con p ost elalisegunz quarsainz	---⌫-⌫---⌫--|-|-----|---|----|
