formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
reuerenc edeton	--------⌫|-|--|
per em es de teschose s quines ontpasb ien	---⌫|-⌫-|-|--|-----⌫|--|-|-⌫--|--|-⌫--|
Li emper ee urDioclicia n set Maximians dien t .	-|-----⌫--⌫-|---------⌫-⌫|-|--------|----⌫||
Il couientque	-|------|--|
tricherie soit proueeparapertesm ostrances	--------|---|-----|--|------|-⌫--------|
C ilmeismeempereeurdient.	-⌫-|-----|--------|----||
Setuauoies plusde.	-|-|-----|---|-||
anzquantt u quitas	--|----|-⌫|-----|
tonfre r etu nasnul po oir	--|---⌫-⌫|-||-|--|--⌫--|
de redem an derle	-|-----⌫--⌫--|-|
Me s sece fufet parlatr icheriesa fame	--⌫|-|-|-|--|--|-|--⌫------|-|---|
tu puez auo ir contreluiactiondetriche rie	-|---|---⌫-|-----|--|-----|-|------⌫--|
Lie mpereresCon stantin s dit.	-|-⌫-------|---⌫-------⌫|--||
Ilnoss emble que ce es t tresboe nechose que	-|--|-⌫----|--|-|--⌫|---|---⌫-|----|--|
action de tricher iepuisse estremeue	-----|-|-------⌫-|-----|----|---|
nemie tant	-|--|---|
seulementdesleiorque a ucu ns set que ele	--------|--|-|--|--|-⌫---⌫-|--|--|--|
aestéfete oudeden zlanmesde denz	|----|---|-|-----⌫||-|--|--⌫---|
deusanz quicomme ncent d esle	---|--|--|-----⌫----|-⌫-|-|
iorque l atri che rie e st	--|--|-⌫|---⌫---⌫--|-⌫-|
f ete soit ouloi ng	-⌫--|---|-|---⌫-|
oupresci lqui	-|---|--⌫|--|
se plai nt que	-|----⌫-|--|
eleliaestéfete.	--|-||----|---||
Mescongieznest p as donnez	--|------||--|-⌫-|-----|
de commen ci erl	-|------⌫--⌫-||
ac tionapréslesdeusanzne de	--⌫---|-----|--|---|--|-|-|
fi nerlap uisseeleestco mmencieededenz les d eus	--⌫--|-|-⌫--|-|--|--|--⌫-------|-----|--|-⌫--|
anzainzdoitestrecommencieeet finee	--|---|---|----|---------|-|----|
entantdetens	-|---|-|---|
Cisttytres parole de	---|-----|-----|-|
restitucion àce ls	----------|-|--⌫-|
qui ontmains de.	--|--|----|-||
Li emperer esA lixandresdit .	-|-------⌫-|-⌫--------|--||
L on do i t	|-|--⌫-⌫|
regar de rsauoirmon setuas	-----⌫--⌫|-----|--|-|-|-|
qu itéta quereleouparpa roleousanzparole	--⌫---|-|------|-|--|--⌫---|-|---|-----|
ce nemostr e pas qu e laide	-|-|-----⌫|--|--⌫||---|
d erest it ucion qu iest fe teàtelsqui	-⌫|----⌫--⌫----|--⌫|--|--⌫-|-|---|--|
s ont dede nzaage puisse	-⌫--|----⌫-|---|-----|
estrefete à tapersone.	----|---|-|-|------||
Ci lmeismesempereresdit	--⌫|------|--------|--|
Se ta suer dut	-|-|---|--|
re ceu oi rsa partie desbie ns sonper e qui	--⌫---⌫--⌫|-|-----|--|---⌫-|--|---⌫|--|
morut san zferetestamentelt ensqu eaagesli d euoit	----|---⌫|---|--------|-|-⌫--|--⌫|----|-|-⌫----|
edier ia soitce que eleait.	----|-|---|-|--|--|--||
f ilzporcenedoite le	-⌫--|--|-|-|---|-⌫-|
pas perdrel auantage	--|-----||-------|
del estab lissementce	-||-----⌫--------|-|
est à sauoi r quebeneficesderestit uc ion	--|-|-----⌫|--|--------|-|------⌫--⌫--|
li soitdonnezpa raage.	-|---|-----|--⌫|---||
Li em pereeurDioclic ians	-|--⌫------|-------⌫---|
etMax imians dient .	-|---⌫-----|----||
Setuauoiesprocure eur ettua uoiesmainsde .	-|-|-----|-------⌫--|-|-|-⌫----|----|-||
anz q ua nttuuendisteschoses ilne	--|-⌫--⌫-|-|-----|--|-----|-|-|
couie ntpasquetelsmarchiez soit tenuz quecil	-----⌫-|--|--|---|-------|---|----|--|--|
demai nsde.	-|---⌫-|-||
estpointdessemb lablesa ̀celui à quili	--|----|-------⌫-----|-⌫|----|-|--|-|
pre uolzdonneprocureeur et l idefent	---⌫---|----|---------|-|-⌫|-----|
queilnestrangeses bie ns.	--|-||-------|--|---⌫-||
Mes setuestoiessa n zprocureeurquantt ufeisle	--|-|-|------|--⌫-⌫|---------|----|-⌫|---|-|
marchié ilnetestpas	-------|-|-||--|--|
d emandere nterignerestitucion se	-⌫------|-⌫-------|----------|-|
litensquiest establi z nestpasse z .	-|---|--|--|-------⌫||--|-----⌫||
Ci l meismeempe reeur dient.	--⌫|-----|----⌫----|----||
Setumo stresquetu auoiesma insde .	-|-|--⌫----|--|-|-----|--⌫--|-||
anz quanttufeismarchié ettesauersaires	--|----|-|---|-------|-|--|---------|
nepuet prouerque li ten squi estestablizà	-|---|-----|--|-|---⌫|--|--|-------|-|
auoirrestitucion soitpassez l i preu ozde la	----|----------|---|-----|-⌫|----⌫-|-|-|
contreetedeuradon nerai dede nt erig ne	------|-|----|---⌫--|--⌫-||-⌫--⌫----⌫-|
restitucion.	----------||
Cilm e isme	--|-⌫-⌫---|
empereeurd ient.	--------|-⌫---||
]Enterignerestitucion	|--------|----------|
doit e stre	---|-⌫---|
feteàcels demains de	---|-|---|-|----|-|
anz deschosesen quoi ilpueent	--|--|-----|-|---|-|-----|
prouerque ilso nt	-----|--|-|--⌫-|
de ceuiasoit cequ elatr icherieà	--⌫--|-|---|-|--⌫|-|--⌫------|-|
lauersaire	|--------|
paspr o uee .	--|--⌫-⌫--||
[1]Eil estce rtains droiz qu e	||||-|--|--⌫-----|----|--⌫|
cilq ui s ontdedenzaag epueent a inz q u e li	--|-⌫-|-⌫--|-----|---⌫|-----|-⌫--|-⌫-⌫|-|
ansoient pass é	-|-----|----⌫-|
demanderenterign e restitu cio n	-------|--------⌫|-------⌫---⌫|
des chos es enquoii lquident	--|----⌫-|-|---|-⌫|------|
estredeceu.	----|----||
Cilmei s m eempereeurdie n t .	--|---⌫-⌫-⌫|--------|---⌫-⌫||
Se li plez	-|-|---|
d e nterignerestitucionfu	|-⌫-------|----------|-|
commenciezdedenz laageàcuil enseultsecorre	---------|-----||---|-|--||-|----|------|
quite ́lam or tà celui	-----⌫|-|-⌫--⌫|-|----|
contrequi tuau oie sceempetrén e tepuetn uire	-----|--|-|--⌫---⌫|-|-------|-⌫|-|---|-⌫---|
Cil mei smeemp ere eur dient.	--|---⌫--|---⌫---⌫--|----||
Seli tensq u iest es tabl iz n	-|-|---|-⌫-⌫|--|--⌫----⌫-||
estpasseztu puezbien em p ledi e r l esoirs tononcle	--|-----|-|---|---|--⌫-⌫----⌫-⌫|-⌫-|---|--|----|
denterignerest itucionpar ceque leur peresert tes	|--------|----⌫------|--|-|--|---|----|--|--|
def e nde rresàqui	---⌫-⌫---⌫---|-|--|
tu d onna sdeliur ancequant t es aages fuprouezfausement quer	-|-⌫----⌫|------⌫---|----|-⌫-|----|-|-----|--------|---|
li off icesdeldefendementetlapr ochaineté	-|---⌫---|--|----------|-|-|--⌫---------|
del l ignage mostreq ue ilned eustpas	--|-⌫-----|-----|-⌫-|-|-|-⌫---|--|
es t reque	--⌫-⌫-|--|
seust bientonaage .	----|---|--|---||
Liempereeur	-|--------|
Honoireset	-------|-|
Theodosesdient .	--------|----||
Ilestcertainechose qu elona mis	-|--|-------|----|--⌫||-||--|
conseilpar pluseurs	------|--|-------|
auctoritezencelsquisont	---------|-|---|--|---|
dedenzaagedesc hosesq ue	-----|---|--|-⌫----|-⌫-|
ilont trespassees oufetes parignor ance.	-|--|----------|-|----|--|-----⌫---||
LiempereresZenonsdi t	-|--------|-----|--⌫|
Iln apertpasq ue cil quiest	-||----|--|-⌫-|--|--|--|
dedenzaagesoit deceuz quiau sedecommu n	-----|---|---|-----|--|--⌫-|-|-----⌫|
Liemper eresGo rdiansd it.	-|-----⌫---|--⌫-----|-⌫-||
freresfuen	-----|-|-|
lapoostésonpere quant	-|------|--|---|----|
i lemprunta deniersetil fi stmarchiéno npaspar	-⌫|-------|------|-|-|--⌫-|-------|--⌫|--|--|
le com mandementdel peremescontrelesconse ulzdel	-|---⌫--------|--|---|--|-----|--|-----⌫--|--|
senatil p uetpo rledefaut desonaage	----|-|-⌫--|--⌫|-|-----|-|--|---|
demanderent eri gne restituc ioncontrecele	-------|---⌫---⌫--|--------⌫--|-----|---|
Cisttyt res pa role delfi lquiamain sde.	---|---⌫--|--⌫---|--|--⌫|--||----⌫|-||
Cil me ismes em perer esdi t .	--|--⌫----|--⌫-----⌫-|--⌫||
Se li filzquiau oitmains	-|-|---|--|--⌫--|----|
an z pleuiporun estrange ilneli	--⌫|----|--|-|-------|-|-|-|
estpasde uea ̀dema nderenterigner estitucion et seil	--|--|--⌫-|-⌫|----⌫---|--------|-⌫---------|-|-|-|
f u pleg esp ors on pere et ilnout	-⌫|----⌫-|-⌫-|-⌫-|---|-|-||--|
heritageapréss a mortil puetde ma nder en terignerestituc ion.	-------|-----|-⌫|---|-|---|--⌫--⌫---|--⌫------|--------⌫--||
Cisttytr esp ar ole des plegesàqui	---|----⌫-|-⌫--⌫--|--|-----|-|--|
celsquisontded enz	---|--|---|---⌫--|
LiempereeurSeu erinsetAntoines d ient.	-|--------|---⌫----|-|-------|-⌫---||
Puisquetu a s enter igne restituci onparle	---|--|-|-⌫|-----⌫---|---------⌫-|--|-|
benefi ceda age tun e spas contrainzd efere	------⌫-||-⌫--|-||-⌫|--|--------|-⌫|---|
eschange àceli quitu uendisaucune c h ose desbiens	-------|-|---|--|-|-----|-----|-⌫-⌫--|--|----|
tonpèremes celechosene	--|----|--|---|----|-|
puetp asesc useir le s p le ge sque tu imei s	---|-⌫-|---⌫----|--⌫|-⌫--⌫--⌫|--|-||---⌫|
seil p aient les deniersou ils ont	-|-|-⌫----|--|------|-|-|-⌫--|
conde mpnéil	-----⌫----|-|
teporrontbienempledi ersetun ese di ezde	-|------|---|-------⌫-|-|-||-|-⌫--⌫-|-|
cepa rl aideder es ti tucio n.	-|--⌫||---|-|-⌫--⌫--⌫-----⌫||
Li empere e urDiocliciansetMaximiansd ient.	-|------⌫-⌫-|----------|-|--------|-⌫---||
quit e uendi sesp ossesionspa rlauolenté	--|-⌫|----|--|-⌫--------|--⌫|-|-------|
alpre uo stestedie etan t seulement par l	-|---⌫--⌫-|--|----⌫|---⌫|--------|--||
aide daageilnestpas doteque li	---||---|-||--|--|---|--|-|
plege sque	-----⌫|--|
elemist n e soit obligieza lmarchié	--|---|-⌫|---|-------|-⌫|-------|
Messeilape rtqueli marchiezfust fe zpar	--|-|-|---⌫-|--|-|-------|---|--⌫|--|
tr icher ie ilestapert e chosequ el	--⌫-----⌫-|-|--|-----⌫|----|--⌫||
on do it metre conse ilenlapers one	-|--⌫-|----|-----⌫-|-|-|----⌫--|
àl unetà lau t r e	-||-|-|-||--⌫-⌫-⌫|
c eestà sauoi rdel auende r resseetdelplegé	-⌫|--|-|-----⌫|-|-⌫|-----⌫-⌫----|-|--|-----|
Cist t yt re sest selidefenderresouli	---|-⌫--⌫--⌫|--|-|-|----------|-|-|
procurerress ontàfer e	----------|-⌫--|-|---⌫|
cequel ianfantfont.	-|--|-⌫|-----|---||
Liempereres Antoi ne s	-|--------|-----⌫--⌫|
estieziaenlaageq ue	-----|-|-||---|-⌫-|
b ar beseulu enir	-⌫--⌫-|---|-⌫---|
qu antu o seustes	--⌫--|-⌫-⌫|-----|
l eritageuo st repereet	|------|--⌫--⌫-|---|-|
uosestes ore en	--|----|--|-|
tel aagequeuosdoiezau oirl	--|---|--|--|----|--⌫--||
aidede resti t ucionenterigne enceque	---|-|-----⌫-⌫----|--------|-|-|--|
uosne uosobli iastesl eritageuostrepererequerez	--|-|--|----⌫-----||------|-----|---|-------|
le preuostde lacontr ee	-|------|-|-|-----⌫-|
par uo zprocureeurs.	--|--⌫|----------||
Ese u os estesuenua ̀loialaageetli	|-|-⌫-|----|---|-⌫|----|---|-|-|
te nsestpassezenq uoipeussoi zauoir enterig nerestitucion e mpled iez	--⌫-|--|-----|-|-⌫--|-------⌫|----|-------⌫-|----------|-⌫-----⌫--|
u osprocureeu rs s olonc	-⌫-|---------⌫-|-⌫----|
lafo rmede droi tseuosna uez pas	-|--⌫--|-|----⌫|-|--||-⌫--|--|
en coreplediéen cont re	--⌫---|------|--⌫----⌫-|
Liempere resAlixandresdit .	-|------⌫--|---------|--||
I lno splest que	-⌫|--⌫|----|--|
cilqu iont mainsde .	--|--⌫|--|----|-||
an zpuissent	--⌫|-------|
auoi raide	----⌫|---|
denterig ne	|-------⌫-|
res tit ucion seil	---⌫---⌫----|-|-|
sont d e ceueschoseq ui	---|-⌫-⌫--|-|----|-⌫-|
sontfeteso uen iug ement o uhorsiugement	---|----|-⌫|-|---⌫----|-⌫|---|-------|
cequeleurde fendeeurfussent	-|--|---|--⌫-------|------|
enpresent.	-|------||
LiempereeurDioclicianset M axim iansdient .	-|--------|----------|-|-⌫----⌫---|----||
Ilnosplest que laidede restit ucion soit	-|--|----|--||---|-|------⌫----|---|
donn éà celsqui	----⌫-|-|---|--|
sontdedenza agees	---|-----|-⌫--|-|
chos esquelonpuetprouerque le urde fend eeurou	----⌫-|--||-|---|-----|--|--⌫-|--⌫----⌫---|-|
leurp rocu reeurfirent malementiasoitceque i l	---|-⌫----⌫----|-----|-------|-|---|-|--|-⌫|
puisse nt conquerreleur	------⌫-|--------|---|
droi turec ontreledefendeeur oucontre	----⌫---|-⌫----|-|---------|-|-----|
leprocureeurparpersonnelaction .	-|---------|--|--------|-----||
Ci lmeismee mpere eurd ient.	--⌫|-----|-⌫-----⌫--|-⌫---||
Se li cr e anciersneregar da pasàuostre persone	-|-|--⌫-⌫------|-|-----⌫-|--|-|-----|------|
mesa ̀cele	--|-⌫|---|
àuozp rocureeursetilfistma rchié o	-|--|-⌫---------|-|-|---|--⌫-----||
estapertechose	--|-----|----|
na en co ntre uo s nuleacti o n.	||--⌫--⌫---|--⌫|---|----⌫-⌫||
C ilme isme	-⌫-|--⌫---|
emper ee urdient.	-----⌫--⌫-|----||
Iln os plestque qu ant lidefendeeur	-|-⌫-|----|--|--⌫--|-|---------|
o u liprocu r eeur gas tent lesc hosesouilen fon t	-⌫|-|-----⌫-⌫---|---⌫---|--|-⌫----|-|-|-|---⌫|
marchi équecilqu i sont dedenz aageaientrestitucion	------⌫-|--|--|--⌫|---|-----|---|----|----------|
deleurch oseset puisse ntrecourer	-|---|--⌫---|-|------⌫-|-------|
leur damagessus les	---|------|--|--|
defendeeurso usus	----------|-⌫|--|
lespr ocu reeurs	--|--⌫---⌫-----|
neleurso itengendr ez	-|---|--⌫-|-------⌫-|
pareslection.	--|--------||
Ci sttytre sestse e nterig neres t ituci onpuet	--⌫-|-----⌫|--|-|-⌫------⌫-|---⌫-⌫-----⌫-|---|
estre dema nde een co mmunecau se	----|----⌫---⌫|-|--⌫----|---⌫-|
quisoitune meisme (eademéd	--|---|--|-----||----|--|
L i emperee u r Dioclic ians et M aximi a nsdient	-⌫|-------⌫-⌫|-------⌫---|-|-⌫-----⌫-⌫-|----|
Seu ost re s uerauoit plusde.	-|-⌫---⌫-|-⌫--|----|---|-||
anzelenepoutrien am enuisierd euostr edroiturese	--|--|-|---|---|--⌫-------|-⌫|-----⌫|-------|-|
uosnelico mmanda stesou	--|-|-|--⌫------⌫---|-|
e ustes est able etfermel at ran sactionqueele fist.	-⌫----|---⌫---|-|----|-⌫|-⌫---⌫------|--|--|---||
Ese uos uosassentistes	|-|--|--|----------|
a présce queuo seustes.	-⌫----|-|--|--⌫|-----||
anz à cequeelefist	--|-|-|--|--|---|
iasoitc equ eele quiert	-|---|-⌫|--⌫|--|-----|
dedenz aageporsa part ie nep o rquant sesaages	-----|---|--|-|----⌫-|---⌫-⌫-----|--|----|
puet pasedieràauoir	---|--|----|-|----|
parçonneriedecelben eficede	-----------|-|--|---⌫----|-|
res tit uci on .	---⌫---⌫---⌫-||
Liempe reresAlixandresd i t	-|----⌫----|---------|-⌫-⌫|
Se uo s au ez eueniuigemen tmainsqu e dr oituos	-|--⌫|--⌫-|-|-|--------⌫|----|--⌫|--⌫--|--|
po ezauoiractionporleremanan tentelmaniere	--⌫-|----|-----|--|-|-------⌫|-|--|------|
seuose stiezdedenza ag e	-|--|-⌫----|-----|-⌫--⌫|
e l ten sque liiugemenz fufez	-⌫|---⌫|--|-|-------|-|--|
et orestesen	-|-|----|-|
Messela sentence fudonneepuis queuos fu stes	--|-|-|-------|-|-----|---|--|--|--⌫---|
enaag e uos ne poez	-|---⌫|--|-|---|
pasder e chief comme ncier	--|---⌫-⌫----|-----⌫----|
action dec eles	-----|-|-⌫---|
meismeschoses	------|-----|
Li emperere sGordiansdit .	-|--------⌫|-------|--||
Q uanttes peres di soitquetu estoies ensa	-⌫---|--|----|--⌫---|--|-|------|-|-|
pooste ́ etquecequ e iltauoit	------⌫|-|--|-|--⌫|-||----|
mis horsde	--|---|-|
so n bailne	--⌫|---|-|
u al oitrien	-⌫--⌫--|---|
seliuisquensqui conoi s soit delac aus e	-|-|-------|--|-----⌫-⌫---|-|-|-⌫---⌫|
pronunça quetufusses sozmiseà la	--------|--|-|-----|------|-|-|
p oestéporce quetudeman das	-⌫-----|----|--|-|-----⌫--|
enterignere stit u cion contrec elesentenc e	--------|--⌫----⌫-⌫---|-----|-⌫--|-------⌫|
c ilqui gouernelacontree sen tre metra	-⌫-|--|------|-|------||--⌫---⌫----|
d econo istre delacho se seulonc les lois.	-⌫|----⌫----|-|-|---⌫-|------|--|---||
L iemper e res P helipesdit .	-⌫|-----⌫-⌫--|-⌫------|--||
Tune p uez pasdemanderpar deuantlep reuostde la	-|-|-⌫--|--|-------|---⌫-----|-|-⌫-----|-|-|
co ntreeaided	--⌫----|---||
enterigner estitucion contrelasent enceàceluiq ui	--------|-⌫---------|-----|-|----⌫---|-|----|-⌫-|
iuiaenleudel pr ince.	---|-|--|--|--⌫---||
Quer li princessanzpl uspuetfereenterig neresti t ucioncontre	---|-|------|---|--⌫-|---|---|-------⌫-|-----⌫-⌫----|-----|
la sentenc eceluiquiiugaen leude	-|-------⌫|----|--|---|-|--|-|
Cil m eismes	--|-⌫-----|
empere res dit.	------⌫--|--||
P or ce q ueu os affermez queuos este sde denz	-⌫--⌫-|-⌫-|-⌫-|-------|--|--|----⌫|--⌫---|
aageet sanzd ef endemen tli pre uoz de	---|-|---|-⌫--⌫-------⌫|-|---⌫--|-|
la co ntr eesentremetra par sa uctorité	-|--⌫---⌫-||---------|--||-⌫--------|
quen ustorzneuo ssoitfez.	--|-⌫-|---|-|--⌫|---|--||
Que rseauc une chose	---⌫|-|---⌫--|----|
fuestablie	-|-------|
tant comm e	---|----⌫|
uoseustesloialdefensededef endeeursou de	--|-----|----|------|-|---⌫-------|-|-|
procureeurs sachoi z quelaide d enterinere stitucion uos	----------|------⌫|--||---||-------|--⌫--------|--|
est nec essa ire.	--|---⌫----⌫--||
Ecemeismeuaillesel iplez a estédemenez	|-|-----|-----|-|-⌫|---||----|------|
paruostrep rocurateur quiful oi almen t establiz .	--|-----|-⌫---------|--|-|-⌫--⌫-----⌫|-------||
Cilmeismesempereresdit.	--|------|--------|--||
pre uolza donnése ntenceenla	---⌫---||-----|--⌫-----|-|-|
choseà celsqui son tdedenzaagec o ntre	----|-|---|--|---⌫|-----|---|-⌫-⌫---|
leurdefendeeurs oucon treleur procur eeu rsilestcertaine	---|----------|-|---⌫--|---|------⌫---⌫-|-|--|-------|
ch oseq ue cil q u i sontde denz	--⌫--|-⌫-|--|-⌫-⌫|---|--⌫---|
aag epueen tdemande renterigne re stitucionautresicom mese	---⌫|-----⌫|-------⌫|--------|--⌫--------|------|---⌫-|-|
la sentenc e	-|-------⌫|
eustesté donnécontreels .	---|----|-----|-----|--||
Secil quiest ded enz	-|--|--|--|---⌫--|
aage u eltau oir re stituciondecequeila uendu	---|-⌫--|--⌫--|--⌫--------|-|-|--|-||----|
Li e m pereresAli xa n dresdit .	-|-⌫-⌫------|---⌫--⌫-⌫---|--||
Setudonnas	-|-|-----|
captio nà celui qui	------⌫|-|----|--|
