COUS T UMES	----⌫-⌫---|
III.fame set enfansde ch ascunef ameet	---|----⌫|-|-----|-|--⌫-----|-⌫--|-|
après lip eremuert lienfantdela	-----|-|-⌫--|----|-|-----|-|-|
prem iere fam eenp ortent	----⌫---|---⌫|-|-⌫-----|
lamoitié d etous lesuilenages	-|------|-⌫|---|--|--------|
cequele ur mereenfu douee et	-|--|--⌫-|---|-|-|----|-|
dela seco nd efameenportentdela utre moitie ́	-|-|----⌫--⌫|---|-|------|-||-⌫---|------⌫|
l amoitiéces t	-⌫|------||--⌫|
ae nte nd releq uart de tout leri t agepour	|-⌫---⌫--⌫-|-|-⌫---|-|---||---⌫-⌫--|---|
cequede t antfu l eurmeredoueeetli	-|--|-|-⌫--|-|-⌫--|---|----|-|-|
lat ie rcefameenportentde	-|-⌫--⌫--|---|-|------|-|
lautrequartlamoit iéce st	|----|----|-|----⌫--||-⌫-|
a entendreluitism ede toutpo ur ceque	|-------||------⌫|-|---|--⌫-|-|--|
detant fuleur mere	-|---|-|---|---|
douee e tquant cespart ies sontfe tes	----|-⌫|----|--|----⌫--|---|--⌫--|
ildemeure en l	-|------|-||
eritag e .I. uitisme .	------⌫|--|------||
Ousil niaqueles enfa nsde	-||-||||--|--|----⌫-|-|
II. fameslipremi er enontportee	--|----|-|-----⌫-|-|--|-----|
lamoitiéet li se cont	-|------|-|-|--⌫---|
le quartildem eureen l	-|----|-|---⌫---|-||
er itage.I.quart	--⌫----|--|----|
a partir .	|-----||
Sidoit lensauoir	-|---||-|-----|
que liquars	--|-|----|
II. peres d enfa nsouluitismessil	--|----||----⌫-|-||-------||-|
iaenfa ns de .	||----⌫-|-||
III. fames	---|----|
se do itpartir egaumenten tre tousles	-|--⌫-|-----|-------|--⌫--|---|--|
enfa ns soientpremier ou	----⌫-|-----|------|-|
secontou tiersautant	-----|-|----|-----|
uncommea l	-|----|||
l a par tie du perequidemou ra	-⌫|---⌫--|-|---|--|-----⌫-|
sansestrec hargie ded ouairenus	---|----|-⌫-----|-|-⌫-----|--|
desenfan sn i a	--|-----⌫||||
aua ntagene	---⌫----|-|
ainsneec eenceus	--------⌫|-|---|
quis on ttenuen uil enagecarde s fiéspar leronsno us	--|-⌫--⌫|---|-|---⌫----|--|--⌫|----|---⌫-----|--⌫-|
ouchapi tre de	-|-----⌫--|-|
desce nd ementetd	-----⌫--⌫----|-||
esche oitecomme	-----⌫---|----|
il sedeuisent.	-|-|-------||
Tout soit il	---|---|-|
ainsi q uelesd amesparlac oustumede	----|-⌫-|--|-⌫---|--|-|-⌫------|-|
B eauuoisinsenportentlesf orte recese ndouaire	-⌫---------|-|------|--|-⌫----⌫----|-⌫|------|
nousl entendons de c elesforterecesquine	---||--------|-|-⌫---|---------|--|-|
so ntpaschastelliquel sontapelécha ste lpar	--⌫-|--|------|-----|---|-----|---⌫---⌫|--|
dec equilsontc hief	-|-⌫|-|-|---|-⌫---|
de laconte ési com me	-|-|-----⌫-|-|---⌫-|
Clermontou	-------|-|
Cree ilcarnus	----⌫-|--|--|
deceusnenseroitportésen	-|---||-|-----|------|-|
Nepourqua ntsitostcom me	---------⌫-|-|---|---⌫-|
lisire sdu chastelestmors	-|----⌫|-|------|--|---|
lad ame doitdemourerenlasaisinedu mano irdu	-|-⌫--|---|-------|-|-|------|-|----⌫-|-|
chasteldusquesatant que	------|------||---|--|
li o irsli ait f etmanoir soufis antseloncledouaire	-|-⌫--|-|--|-⌫-|-----|------⌫--|-----|-|------|
d e lat erreet o ulie ula	-⌫|-|-⌫---|-|-⌫|---⌫|-|
ou lidouairess iet tout	-|-|-------|-⌫--|---|
soitcequeladameait	---|-|--|-|---|--|
au tresmanoirsde soneritage	--⌫---|------|-|--|------|
Etce ueismesn ous iugie rpo urla	-|-|------|-⌫--|-----⌫|--⌫-|-|
Milli en lostel le roi.	----|-||----|-|--||
Ca rqua ntsessires	--⌫|---⌫-|--|----|
fumors sioir delapremiere	-|---|-|--|-|-|-------|
fam equi l	---⌫|-|-⌫|
oteuelade batiren tquelenedeuoitpas	-|--|-|--⌫-------⌫|-|--|-|-----|--|
auoir lechas tel de	----|-|----⌫--|-|
Milli endou airepour.	----|-|---⌫---|---||
I I.resons la premiereresons s iestpource	-⌫-|-----|-|-------|-----|-⌫|--|---|-|
quel eur mereenauoit	--|-⌫--|---|-|----|
estédouee	----|----|
laseco nde res onssi es tpourceque	-|----⌫--|---⌫--|-|--⌫|---|-|--|
c estoitc h astelerie.	|-----|-⌫-⌫--------||
pource sresons nede moura quelene	---|--⌫|-----|-|--⌫----|-|--|-|
lenpo rtastpa r iug ement	|-|--⌫----|--⌫|---⌫----|
ceapert ilencorebien	-|----|-|-----|---|
que lioirnesont p asahe rit é	--|-|--|-|---|-⌫-|---⌫---⌫-|
Beauuoisin sseloncles	----------⌫|-----|--|
douaires e seritagesq ui sonttenu	-------|-⌫|-------|-⌫-|---|---|
enfiefcar sile nfussentah erite ́	-|---|--||-|-⌫|------|--⌫-----⌫|
aussic omm eilsonten	----|-⌫---⌫|-|---|-|
France ell enieust pas	-----|---⌫|||---|--|
eudouairep ui sq ueli	-|------|-⌫--⌫|-⌫-|-|
M illieusteuaut re fameetenfa ns	-⌫---|---|-|---⌫-|---|-|----⌫-|
de ce lepremierefame ainçoisl eneus sent	-|--⌫-|-------|---|-------||-|---⌫---|
portélipremi er	-----|-|-----⌫-|
enfant pourle d ouaire leu rmere .	-----|---|-|-⌫-----|---⌫|---||
Toutsoit ilainsi	---|---|-|----|
que la s econ defame	--|-|-⌫----⌫-|---|
oulatierceen porteto ut	-|-|-----|-|----|--⌫-|
l emanoiren	-⌫|-----|-|
doua ire parla cous tumede	----⌫--|--|-|----⌫---|-|
Beauu oisins pour ce n es t ilpas ase senf ans	-----⌫-----|---|-||--⌫|-|--||--⌫|---⌫--|
adecelui pou r qui ele	|-|----|---⌫|--|--|
enporte l emanoire ndo uaireainçoisquant	-|----|-⌫|-----|-⌫|--⌫----|-------|----|
ele est mo rt er euient li ma noirsa	--|--|--⌫--⌫|-⌫-----|-|--⌫----||
lo irmasle d umor tains ne ́horspart des a utres	|-⌫-|----|-⌫|---⌫|----⌫--⌫|---|---|--|-⌫----|
Nousauons u eupluseursples	---|----|-⌫-|-------|---|
entre les dames	----|--|----|
ueues dunepartieet lese x ecuteursou	----||--|-----|-|--|-⌫-⌫-------|-|
lesoirsdumo rtdel autreseurce	--|---|-|--⌫-|-||----|---|-|
que quantladame renonçoi t asmuebl eset as	--|----|-|---|---------⌫|-|-----⌫-|-|-|
detessienuouloitele	----|-|-|------|--|
po rtersap lus bele	--⌫---|-|-⌫--|---|
robe ap ar eret sonpl usbeau	---||-⌫--⌫-|-|--|--⌫-|---|
l itfourni et	-⌫-|-----|-|
dechascu ne	-|------⌫-|
maniered eioiaus	------|-⌫|-----|
le plusbel si commeleplus beauhanap	-|---|--|-|----|-|---|---|----|
b elaneletle plus beauch apels i	-⌫-|---|-|-|---|---|--⌫---|-⌫|
queno us auo ns ueu e naucunslieus	--|--⌫-|---⌫-|--|-⌫|-----|----|
la o uil ae stés oufertpa r	-|-⌫|-||-⌫---|-⌫-----|--⌫|
debonai retéqueleenportoit	-------⌫----|-|--|-|------|
bienautant ouplus	---|-----|-|---|
d emuebles	-⌫|------|
comm eil demour oit	----⌫|-|------⌫--|
as oirsouasex ecuteurs	-|---|-|-|--⌫-------|
Eta uc une fo isauons nousueuqu e quant ele uouloit	-|-⌫--⌫--|--⌫-|----|---|--|--⌫|----|--|------|
part ir asmueblesetasdet essien	----⌫-|-|------|-|-|---⌫-|-|-|
uouloit eleporte rhor spart	------|--|-----⌫|---⌫|---|
cequiestditdessus.	-|--|--|--|-----||
Dieumercicisdebas est uenuspardeu antnouse n	---|----|--|----|--|----|--|---⌫--|---|-⌫|
iugemen t a	-------⌫||
Cl ermonteta estéiugie ́ quequ ant	--⌫-----|-||----|-----⌫|--|--⌫--|
li sires estmorssoitque	-|----|--|---|---|--|
la dameuueill epartirasmuebleset as	-|---|------⌫|-----|-|------|-|-|
detesou s oitqu	----|-|-⌫--|-|
elei renoncep o ur ce quelesdetes	--||------|-⌫-⌫-|-|--|--|----|
s ontgran setli mue blepetit e le	-⌫--|----⌫|-|-|---⌫--|----|-⌫-|
en portetantseu lementhorssapartsa	-|----|---|---⌫-----|---|-|---|-|
robedechascuniourla	---|-|------|---|-|
derr aine queleauoit aco ustumé au estir	----⌫---|-|--|----|---⌫------||-⌫----|
a chascuniou routans que sesbar ons acoucha	|------|---⌫|-|---|--|--|---⌫--|------|
maladesetson littelcommeele lauoit	------|-|--|--|--|----|--||----|
acous tumép lusc ommunement	-----⌫----|-⌫--|-⌫---------|
gesir etti ut	----|-|--⌫-|
aut remueble queus qu il	---⌫-|-----|----|-|-|
soie ntdoiuent uenir apart ies	----⌫-|------|----||----⌫-||
el epart ist	--⌫|----⌫--|
asmueblesetas detes .	-|------|-|-|----||
renonça to ut do itestre deliuré	-------|--⌫-|--⌫-|----|-------|
asex ecut eursqueli	-|--⌫----⌫---|--|-|
morse stabli ouasoirs ce	---|-⌫-----|-|-|---|-|
quidemeurea près letestamentpaié .	--|------|-⌫----|-|--------|----||
Etceliu gemententendo nsnous	-|--|--⌫-----|-------⌫-|---|
entre ceusde	----|---|-|
poos té qu i	----⌫--|--⌫|
sontdefranchecondicioncomme en trelesgentius	---|-|------|--------|----|--⌫--|--|------|
N usnedoitdouterquan tm ueble uien e nt enpartie entre	-⌫-|-|---|-----|----⌫|-⌫----|----⌫-⌫-|-|-----|----|
lesd ame s ueueset l esoirse t	--|-⌫---⌫|----|-|-⌫-|---|-⌫|
lesexecut eursdel eursei gne u rsetili	--|------⌫---|-|-⌫--|---⌫---⌫-⌫-|-|-||
seme ́ sou	----⌫-⌫|-|
tremoi souuig nesfetesdusquesa tant	------⌫|-|---⌫--|----|------||---|
quela ness a ncedel agr apei pert que teus	--|-|----⌫-⌫--|-|-⌫|--⌫--||---|--|---|
desp ueillesne uiegnenta	----⌫------|-|-------||
pa rtieaussi comme liautr e	--⌫---|----|----|-|----⌫|
mue blecar cesontmu eblepar	---⌫--|--|-|---|--⌫---|--|
lacoustume de	-|-------|-|
Beauuo isins.	------⌫----||
Etd es cou squi isont enc orea	-|-⌫-|---⌫|--||---|---⌫--||
metre auantque l en puist	----|----|--||-|----|
teusmuebl es	---|-----⌫-|
le uerchascu nepar tie i doitmet reselon c	--⌫--|------⌫-|---⌫--||---|---⌫-|-----⌫|
lapartiequilendo i tpo rter	-|-----|-|-|-|--⌫-⌫|--⌫---|
desmueb lescar ceneseroit pas	--|----⌫--|--|-|-|-----|--|
r esonsqueli exec uteur	-⌫----|--|-|----⌫----|
feis sen tsoierles ble s	----⌫---⌫|----|--|---⌫|
ouuendengierlesuignes ascou s de lexecucion des	-|---------|--|-----|-|---⌫|-||--------|--|
queu slada me en porteroi t sapart	----⌫|-|--⌫-|-|--------⌫|-|---|
etp o urce	-|-⌫-⌫-|-|
idoitchascuns metreson	|---|-------|----|--|
aue nant.Silauient	---⌫---|||-|-----|
q uelimorsm uire auant	-⌫-|-|---|-⌫---|----|
que ble ́soie ntsemé meslesterr es	--|---⌫|----⌫-|----|--|--|----⌫-|
roies ou aucunesdele urr oiesou	----|-|------|-|--⌫-|-⌫---|-|
le s uigne ssont fo uïesou tail liesoupr ouigni esmes les	--⌫|-----⌫|---|--⌫----|-|----⌫---|-|--⌫------⌫-|--|--|
g rapesn iaperentpasencore	-⌫----|||------|--|-----|
enteus cas neuiene ntpasles	-|---|--|-|-----⌫-|--|--|
despue i llesquipuis is on tm ises enpartiemes	------⌫-⌫---|--|---||-⌫--⌫|-⌫---|-|-----|--|
lilab our ages	-|---⌫---⌫---|
tantse ulementde	---|--⌫------|-|
tanspassésicomme selesi asch ieres sont	---|-----|-|----|-|--|-⌫----⌫----|---|
f etes auuiuant	-⌫---|-|-----|
d u se igneuretlidouairesa	-⌫|--⌫-----|-|-|-------||
lad ame liestassi s	-|-⌫--|-|--|----⌫|
en t e rresuuides selesia schieresfurent f etesdu	-|-⌫-⌫---|-----|-|--|--⌫-------|-----|-⌫---|-|
sien etdusonseign eurilestbienres on sque	---|-|-|--|-----⌫--|-|--|---|---⌫--⌫|--|
ceq uiifumis	-|-⌫-||-|--|
desa partie lisoi t re ndu de	-|-|-----|-|---⌫|--⌫--|-|
ceusqui en portentles iaschierestoutesfetes.	---|--|-|------|--|---------|-----|----||
uo ir estqu a nt ilconuien t que li do uaires	--⌫-|--|--⌫-⌫-|-|-------⌫|--|-|--⌫-----|
soitessieutés	---|---------|
del apartie asoirslacoustumeest tel	-|-⌫|-----|-|---|-|-------|--|--|
qu eladameq ui u eut auoir	--⌫|-|---|-⌫-|-⌫--|----|
ledouairefetlapartie et	-|------|--|-|-----|-|
quantel eal ap a rtief e te l	----|--⌫||-⌫|-⌫-⌫---|-⌫-⌫-||
oirsdumort	---|-|---|
prentlaquele partiequ	----|------|-----|-|
il liples t etpour c ees t	-|-|----⌫|-|---|-⌫|--⌫|
ladamese lemetles	-|---||-⌫-|--|--|
ter resuu ides	---⌫--|--⌫---|
dunepartet le spleinesd	|--|---|-|--⌫|------||
autr e quelefacer etenuequese	----⌫|-|--|---|-⌫-----|--|-|
l i oir ouli exe cut eur	-⌫|--|-|-|---⌫---⌫--|
prenen tlest erres pleinesquesap artie desmuebles li soit	------⌫---|-⌫----|------|--|-|-⌫----|--|------|-|---|
s auuee c arselelessoitcourre l apa rtie simplementsans	-⌫----|-⌫-||--|------|-----|-⌫|--⌫---|---------|---|
f ereretenueel enaur oi t nul resto rdes	-⌫--|------|--⌫||---⌫--⌫|--|-----⌫|--|
terrespleinespou rce q uilsemble roitq ueleauroit	-----|------|---⌫|-|-⌫|-|------⌫---|-⌫|--|-----|
toutaua l ué lun contrela utre .	---|---⌫-⌫--||-|-----||-⌫---||
Douairesestaquisa la	-------|--|----||-|
famesitos tcommeloiaus mariages	---|-|---⌫|----|-----|-------|
etcompaignie ch arneleestfeteentreli et	-|---------|--⌫-----|--|---|----|-|-|
son mariet autrementnon .	--|---|-|--------|--||
I cif inelichapitre sdes douaire s.	-⌫-|-⌫--|-|--------⌫|--|-------⌫||
C icommenceliquatorz ismeschapitresde cest	-⌫|-------|-|-------⌫----|--------|-|---|
liureliqueus p arole	----|------|-⌫----|
de desc endeme nt etdescheances dec osté et	-|----⌫------⌫-|-||---------|-|-⌫----|-|
de partiesderitag es	-|------||------⌫-|
etde raport e t desdonsqui	-|-|-----|-⌫|--|---|--|
n efontpas	-⌫|---|--|
asoufriret	|------|-|
def ereh omage	-|-⌫--|-⌫----|
asonseigneur.	|--|-------||
Mout de d iuerses	---|-|-⌫------|
coustumessonten p arties	--------|---|-|-⌫-----|
derit ages qui uien entendescend an tou	|----⌫---|--|----⌫--|-|-------⌫--⌫|-|
parescheoite	--|--------|
decosté par	-|-----|--|
leroiaum e et pour	-|------⌫|-|---|
c enousenparl er onsen cestch a pitreet dirons	-⌫|---|-|----⌫--⌫--|-|---|--⌫-⌫----|-|-----|
comm entpar t iesse do iu ent feree n fief eten	----⌫--|---⌫-⌫--|-|--⌫--⌫--|---|-⌫|---|-|-|
uil enageet sidi rons la disfere nc e	---⌫----|-|-|--⌫---|-|-------⌫--⌫|
quiestentre des cen dementetesc heoi tedec osté	--|--|----|---⌫---⌫-----|-|---⌫----⌫-|-|-⌫----|
parlero nsdes	-------⌫-|--|
raporsque cil	-----|--|--|
doiuentfere	------|---|
qu iuuelent	--⌫|------|
partiretco mmen t lidon outrageusne	-----|-|--⌫----⌫|-|--|--------|-|
doiuentpasestre	------|--|----|
soufertet comme nt li oir	------|-|-----⌫-|-|--|
doiuenttrere a	------|----||
leu r seigneur	---⌫|-------|
po urfereleurhomag es .	--⌫-|---|---|-----⌫-||
De sce ndemenssi est quanteritagesdescentde	--⌫---⌫------|-|--|----|-------|------|-|
pere asenfansou	---|-|-----|-|
daiolasen fansdeses	|---|-|--⌫---|-|--|
enfanssicommeila uient qu	-----|-|----|-|-⌫----|-|
unshons aenfansetcilont	--|---||-----|-|--|--|
enfanset lipremier enfantmuerent ai ns	-----|-|-|------|-----|------|--⌫-|
queleuraio l si queleritagesde scent	--|---|---⌫|-|--||-------|--⌫----|
delaiol asderrainsenfans ou quan teritages	-||---|-|-------|-----|-|----⌫|-------|
descentde par	------|-|--|
l amere ou depar l	-⌫|---|-|-|--||
Tous eri tag esquiainsi uienentle ndoit	---|---⌫---⌫-|--|----|------||-⌫|---|
dire quec es t descen demens.	---|--||--⌫|------⌫-----||
Escheoitesiestquant eritages descentdec o stépa r	--------|-|--|----|-------|------|-|-⌫-⌫---|--⌫|
la defaute deceq ue	-|------|-|-|-⌫-|
cilquimuertn	--|--|----||
anusenfan sne nul	|--|-----⌫|-|--|
qui de se s	--|-|--⌫|
enfansso itissu s	-----|--⌫-|----⌫|
siqu eseseritageseschiet	-|--⌫|--|-------|------|
as onplusproch ienpare ntsicomm ea ses	|-⌫-|---|-----⌫--|----⌫-|-|----⌫||--|
ases sereurs	|--|------|
sil n ianusfreres oua	|-||||--|-----|-||
seso nclessiln a ne freresne se reurs	--|-⌫----||-|||-|-----|-|--⌫----|
ouases ant ainssiln	-||--|---⌫---||-||
anefreresnesereurs neoncleso u	|-|-----|-|------|-|-----|-⌫|
a s escousinsgermains oua ses cousines	|-⌫-|------|-------|-||--|-------|
ger maines siln anul	---⌫-----||-|||--|
plus proch ien oua	---|-----⌫--|-||
sonplusprochien	--|---|-------|
par entdeden slequartdegréde lign age.	---⌫--|-----⌫|-|----|-----|-|----⌫--||
Quanteritage s uient en descendantsildescentasereurs	----|-------⌫|----|-|---------||-|------||------|
la ins neeenport e desfiés lechiefmanoir	|-⌫---⌫--|-|----⌫|--|----|-|----|-----|
etliremananssie stpartisi gaumenta ch a scune	-|-|-------|-|-⌫-|-----|-⌫------||--⌫-⌫----|
et ui enen t	-|--⌫----⌫|
les mainsneesenl ho magedelainsnee	--|--------|-||--⌫---|-||------|
se r eurdet elpartie commeelesenportentetl	--⌫-⌫--|-|-⌫-|-----|----|---|-|------|-||
ainsn eesu ers	-----⌫-|--⌫--|
uaa l homage	-|||-----|
dusei gneurde sapartiederitagequele en	-|---⌫----|-|-|-----||------|-|--|-|
porte etdeshomages desessereurs.	----|-|--|------|-|--|------||
Seerita gesdescent a	-|-----⌫--|------||
enfa ns ouilaitoirmaslel oir s maslesainsnés	----⌫-|-|-|--|--|----||---⌫|-----|-------|
enportele chiefmanoi rhorspartet après	-|----|-|----|-----⌫|---|---|-|-----|
II. parsdechascun fief	--|---|-|------|---|
et litie rsqui	-|-|---⌫-|--|
dem eured o itestredepar tisentre l es	---⌫---|-⌫-⌫-|----|-----⌫--|----|-⌫-|
mainsnés egau ment autant	--------|----⌫---|-----|
uncommea laut resoientfre resoientsereur s	-|----|||---⌫-|-----|---⌫-|-----|------⌫|
leu r par t iesiluienente nlho magedeleu r	---⌫|---⌫-⌫--|-|------|-⌫||--⌫---|-|---⌫|
frereainsn é .	----|-----⌫-||
Se ui lenages uient	-|--⌫------|----|
aenfansendes cen danto uenescheoit e il n	|-----|-|---⌫---⌫---|-⌫|-|--------⌫|-||
