LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
mené.Ledroitch eminon t il	-----|-|----|--⌫---|--⌫|-|
biendemandé Touteioruont	---|-------|----|--|---|
tantqui lfuauespré.	---|-|-⌫|-|--------|
Droit aMontrambl esontlan uitostelé.	----||---------⌫|---|-|-⌫--|-------|
Damm eld exlesconduieLi cu ens	----⌫---⌫-|--|------|-|--⌫--|
entraensa uoie	----|-|-|---|
Celle deRo mequeontient	----|-|--⌫-|--|-|----|
laplusdroite.Hautson tlipuiet	-|---|------|---|---⌫|-|--|-|
lesmo ntaing nesroides Liualsont	--|--⌫------⌫--|-----|-|--|---|
grief qui forme n tles	----|--|-----⌫-⌫|--|
guerroient.Moriri cuid entmoults ontengr ant desro ie .	----------|----||----⌫--|----|-⌫--|-|--⌫--|-----⌫--⌫|
AMongieu uinrent	|------|------|
tantost c omille	------|-⌫-|-|-|
uoientT roisio rs i	-----|-⌫---|--⌫-||
furent belementsiconroient	-----|-------|||--------|
Et a u quar tmon tent	-|-⌫|----⌫|---⌫---|
acoillentlor	--------|--|
uoieO r sont en Lombardie.Garins et	---|-⌫|---|-|---------|-----|-|
Haymmesfurentpr ou et sené.Lorseigno r	------|-----|--⌫-|-|-----|--|------⌫|
mainnentparl a r esne	-------|--|-⌫|-⌫---|
souef.ParMon b ardon	-----|--|---⌫-⌫----|
sen sontoutre passé.Nem	|-|---|----|------|-||
chautmaisdesiorneesconte rTan t	----|---|--|------|-----⌫|---⌫|
troi esploitiéet	---|---------|-|
esré De Romeui rentlesm urset	----|-|---|--⌫---|--|-⌫--|-|
le s piliers.Droit a	--⌫|-------|----||
MonioiedescentAmisliber	------|------|---|-|--|
Haymmonenuoie asonpa rrin	------|-----||--|--⌫---|
c ili uait	-⌫-||---|
quantillo t c onmandé.Ille	----|-||-⌫|-⌫--------|-|-|
trouua sa deforsa u	-----|-|-----|-⌫|
de gréI l lesaluec om	--⌫---|-⌫|-|----|-⌫-|
ia oïr porré z	-|---|------⌫|
Dexuozsa ult s irequi en	--|--|--⌫--|-⌫--|--|-|
croisfupenéz	----|-|-----|
uirgeenBethle ant	----|-|------⌫--|
f unés . Un s cue nsmala des m	-⌫|----⌫|--⌫|---⌫-|----⌫--||
enuoi ea uoz parlerAmisa	-----⌫||--|-----|---||
no nqui fudeClermontn és.	--⌫|--|-|-|-------|-⌫---|
P or De uuoz m ande que uozl erete nézMantel ou	-⌫-|--⌫|--|-⌫---|--|--|-⌫|----⌫---|-----|-|
coteou chape	---|-|----|
lid onnézNelelaissié z cest	-|-⌫-----|-|-|--------⌫|---|
yueresiale r.-D ex dist l i	---|------⌫-|--⌫-|---|-⌫|
pa p esqui	--⌫-⌫-|--|
fusné s Biaxdouz	--|---⌫|---|---|
so ie ́ z aour éz	--⌫--⌫-⌫|----⌫--|
unsde shomesdel a cr estienté SeDexmaït	--|--⌫|----|-|-⌫|--⌫--------|-|--||---|
que ie doimiexamer.	--|-|--|---|----|
Ilprenn entchasceset croise t	-|-----⌫--|------|-|----|-⌫|
encensersHa ymmesl es	--------|--⌫----|-⌫-|
mai nneiusqu aAmile	---⌫--|----||--|-|
m oultgr an t ioi e	-⌫---|--⌫--⌫|---⌫|
l on t mis	|--⌫|--|
en lac ité.OrfuAmi saRome.	-|-|-⌫----|-|-|---⌫||----|
Or fu Amisalacortson	-|-|---||-|---|--|
parrain Neli fautc hoseau	------|-|-|---|-⌫---|-|
ilnaitaumainM ais	-||--|-|---|-⌫--|
q uesantéz dontilest	-⌫-|------|---|-|--|
de sirra ns	--⌫-----⌫-|
Celleliu aitchascunio rapproch ant.Si	----|-|-⌫--|------|--⌫|-------⌫---|-|
s erfl eseruent	-⌫--|-⌫|------|
sont preu et uaill a nt Troisanstouz plain s moultfirent	---|---|-|-----⌫-⌫-|----|--|---|-----⌫|----|-----|
gaain g.Mor sest l ipapes	-----⌫-|---⌫|--|-⌫|----|
qu otle cuerfin	-|-|-|---|--|
chierstansuint qui empir aRomainsTrestuit senfuien t	-----|---|---|--|-----⌫|------|-------||-|-----⌫|
cheualieretseria nt. Amisnot	--------|-|-----⌫--|---||-|
d equoiuiure. .Li	-⌫|---|-----||-|
ge ntizcuen ssesdou zs ers	--⌫---|----⌫|--|---⌫|-⌫--|
enapelleSeignordist il q ue	-|-----|------|---|-|-⌫-|
porradenozies treMors estli	----|-|--|---⌫--|---|--|-|
apost oiles fait i auonz	-----⌫----|---||----|
g rant p er d e.Car	-⌫---|-⌫--⌫-⌫-|--|
m emené z	-⌫|-----⌫|
enA uuergne.Ieai	-|-⌫-------|-|-|
douzfre res cheua liers de	---|---⌫--|-----⌫----|-|
moniestreEtdouzserorsilaissai	--|-----|-|---|-----||------|
dammo iselle s	-----⌫------⌫|
Neme faud ron tporaperdrel estestes.Leserf	-|-|----⌫---⌫|--||-----|-⌫-|------|-|---|
ente ndentsiuontm aitr elor s ell es Etlor se ign ordant	----⌫----|-|---|-⌫----⌫|--|-⌫---⌫-|-|--|--⌫---⌫-|---|
monte rentP assentlesuill ese tles bors	-----⌫---|-⌫-----|--|----⌫-|-⌫|--|---|
etlest erres	-|--|-⌫----|
Iusqu aClermont	----||-------|
nefin entnene	-|---⌫--|-|-|
cessent.Ez leconteenla	-------|-|-|----|-|-|
uille. Orfu Amisa	-----|-|-|---||
C lermontlacité For s alaportea	-⌫------|-|----|---⌫||-|----||
sesfrerest rouuéz Qui	--|-----|-⌫------|--|
sesbanoient	|---------|
as tableset as	-|-----|-|-|
Son brasgietadesorHoed on lainsnéFreredist il	--|---|----|----|----⌫-||------|----|---|-|
meresg a rdéz. Ia	-|----⌫-⌫-----|-|
f u meznozd unseulpere	-⌫-⌫--|--||-|---|---|
engendréEt d	--------|-||
unnemere fumeznoz	---|---|----|--|
tuit troiné.	---|---|---|
auoirme faitez un	----|-|-----|-|
hostel Mante l	-----|-----⌫|
o u cote ou chapemedonn éz Ne	-⌫|---|-|----|-|----⌫--|-|
me laissiéz	-|--------|
cestyuer esialer .	---|---|-------⌫|
uos treenser a l aumos ne.Orp arla	---⌫--|-|---⌫||-----⌫--|-|-⌫---|
H oedeshéDe xtantmarl afait	-⌫----|--|--⌫|---|--|||---|
Siremal a des caruoz	---|---⌫-⌫--|--|--|
tenézenlai.Mal	-----|-|---|--|
dehais ait quiuozuit onques maisNe	-----|--|--|--|--|-----|---|-|
iam esfrer es	-|-⌫-|----⌫-|
neseré z seDe uplaist.Lors apella	-|-----⌫|-|--⌫|------|---|-----|
anirais Un	-|----|-|
cheual ieruiel et	------⌫--|---|-|
chenu etfrail. Amiconnut	----|-|-----|--|-----|
auuis etauh arnaisAntal e ntotmainten ant qu	-|--|-|-|-⌫-----|-|---⌫-⌫-|-|-------⌫--|-|
il lebaist	-|-|----|
E tenapréz et li c l erc	-⌫|-------|-|-|-⌫-⌫--|
etlilaiIalieü ssentmoult belechose	-|-|--|-|-|---⌫----|----|---|----|
f ai tEt tantdonnéia p ouresne	-⌫--⌫|-|---|-----|-|-⌫----|-|
fu st m aisS ene fuissen t	--⌫-|-⌫--|-⌫|-|-------⌫|
sifrere.Limainsnéz	-|-----|-|--------|
freressemist agenoillons Et ui ent	-----|-|---||---------|-|--⌫--|
aHoedeconte l uis araiso n	|----|----|-⌫-|-⌫|-----⌫|
En non Deu sire	-|--|--|---|
cestAmideClermon tQuinoz	|--|--|-|-------⌫|--|--|
cestebonne ma isonQua ntensoudee ssen	----|----|--⌫---|---⌫-|-|------⌫||-|
a la aCh arlon .	-⌫-||--⌫-----⌫|
Oru ois tsiuendelesh erminspelisonsEt si	-|-⌫---⌫|-|----|--|-⌫-----|-------|-|-|
d espande lor	-⌫------||-|
cuitet lesm angon s Qu il a	---|-|--|-⌫-----⌫|-|-||
conqu isauricheroi C harlon.	-----⌫-|-|----|--|-⌫------|
Nelretenéz	--|-------|
uozmie .Li	--|---⌫|-|
mainsnés freres se	--------|-----|-|
leuaenpie ́ssus.	---|-|---⌫-|---|
Ilseitt res	-|---|-⌫--|
bienquAmisestc on neüz.	---|-|---|--|-⌫--⌫-----|
Orm escoutéz liuiel	-||--------|-|---|
etli chenu. Ou uoi t	-|-|-----|-|---⌫|
Amisiliamenteü Si remalades	--|-|-||------|--⌫-|------|
moultestgrans	----|--|----|
uos tre murls.Seuozuoléz	---⌫--|-----|-|--|-----|
uoz lauréz ia	--||-----|-|
uenduS eissan te sols u ouzenrandraiet pl us.	----|-⌫------⌫-|---|-⌫--|-|------|-|--⌫--|
gran t pie cei aurézge ntdeduit.Ilpasseau a ntpar	----⌫|---⌫-||-----|--⌫-|------|-|----|--⌫-⌫-|--|
frainc prinstlemurl Iusquanlagoul eli	-----|-----|-|---|----|-|-|----⌫|-|
atoute mbatu.	|---|-⌫-----|
Limurs sesfroieetli cuensestcheüz	-|---||------|-|-|----|--|-----|
Queparlacharli	--|--|-|---|-|
estlisans sailluzEtpar	--|-|---|------|-|--|
labouch e etpar le	-|-----⌫|-|--|-|
né s is suz.	---⌫|--⌫---|
l eu oie ntchascu nsfuirascu z	-⌫|-⌫---⌫-|------⌫-|-|------⌫|
Cellepartcorren t	----|---|------⌫|
c ha scunsaprinsunfust Ia	-⌫--⌫----||----|-|---|-|
leseüssent parmile schi és	--|-------|----|--⌫|---⌫--|
Q u ant Amis crie Baronest éz	-⌫-⌫--|---|---|----|---⌫--|
ensuzLaissiéz	----|--------|
ce rtez nes euentmieuz.Damm elde x	--⌫---|-|-⌫----|-----|----⌫----⌫|
lor pardoingne. Garins	--|----------|-----|
furentpreuetgentil Lor	-----|---|-|-----|--|
seigno r ontdesor le	------⌫|--|----|-|
murlet misS ien retorn enttout	-----|--|-⌫|-|------⌫--|---|
lefer ré chemin Ades tre	-|---⌫--|-----||---⌫--|
laiss entle	-----⌫--|-|
pa laism auberin. Dexdistlicuensq u el part	--⌫---|-⌫-------|--|---|-|----|-⌫-⌫-|---|
porrai uertir	-----|-----|
Glo riouzPere s qui en	---⌫----|----⌫|--|-|
croisfu stezmis Or	----|--⌫---|--|-|
maisnusam is.De xcomtenrem entploreua	---|--|--⌫--|--⌫|--|------⌫--|----|-|
enAmisalachiere membreeLiauelicort	-|---||-|-----|------||---|-|---|
aual safac e	---|-|---⌫|
clere. Ouu oitsessersraiso nl oracont eeSeigno r	-----|-|-⌫--|--|---|-----⌫|-⌫-||----⌫-|------⌫|
distilbien des armesu os	---|-|---|--|----|-⌫-|
per esLes uosgransfois ontuos	---⌫-|--|--|----|---|--|--|
arm es sauuees.Ralézuozent enlauostrecontree	---⌫-|-------|-----|--|--|-|-|-----|------|
ch euauchierestlauoie remese To ute	--⌫--------|--|-|---|-----|--⌫--|
l a char sme st de s	-⌫|----⌫||-⌫-|--⌫|
cuisse s seur eeDesci as osn	------⌫|----⌫-|----|-|-||
en iapoint remese.-Sire	-|||----|------|----|
dis t Ha ymmesporquoi lau é z cele e Ie uoze üsse	---⌫|--⌫----|--|---||--⌫--⌫|----⌫|-|--|-⌫----|
co upeePorti ssienzuozparestra ngescontrees.Une	--⌫---|-----⌫-----|--|--|-----⌫---|--------|--|
char reteont	----⌫---|--|
liserfa c h ate eTroissolsendonnent	-|---|-⌫-⌫-⌫---⌫|----|---|-|------|
ontb ienatornee Et defre sche	--|-⌫--|------|-|-|---⌫---|
her bee tioinchieet com blee	---⌫-|-⌫|-------|-|---⌫---|
Etlorseignor dantAmii monterent A la	-|--|------|---|--||--------||-|
charretele murlet	-------|-|-----|
ateleren t.To utes l esge nsisont demainte nantalees	--------⌫-|--⌫---|-⌫-|--⌫-||---|-|------⌫---|----|
lireüssentbele ch ose d onne eD or etdargent	-|--------|---|--⌫--|-⌫----⌫||-|-||-----|
lac harret e	-|-⌫------⌫|
nefu iss ent lit roi desl oialfrere Que li	-|--⌫---⌫--|-|-⌫--|----⌫---|----|--|-|
Deumau di e Garin setHaymmesfurent prou etgenti l	--|---⌫--⌫|-----⌫|-|------|-----|---|-|-----⌫|
s e ignormai nnent parlesamp lespaïsIus qua	-⌫-⌫----|---⌫----|--|--|---⌫--|----|---⌫-||
Beorgespass ent	------|----⌫--|
lordro i t cheminEtd iluecdroitto rnerent	--|---⌫-⌫|-----|-||----|----|--⌫------|
e nB erri.	-⌫|-⌫----|
Moulttr esc hiertans trouuerent e lc he minTout despendirent	----|--⌫-|-⌫---|---|---------|-⌫|-⌫--⌫--|---|-----------|
etleuairet	-|-|---|-|
Etenaprézlemurletarrabi. Enmiloruoie treuuent	-|-------|-|-----|------|---|--|---|-------|
pe leri nQ u i moult	--⌫----⌫|-⌫-⌫|----|
bien les adresce.Garinse t	---|--|-------|-----|-⌫|
ape l len t le paumier Amis b iaxfrere	---⌫-⌫---⌫|-|------|---|-⌫--|----|
séz n oztuco ns eilli er	---|-⌫-|-|--⌫--⌫-----⌫-|
Dunn e telt erre outruisonz a	|---⌫|--|-⌫---|-|-------||
me ng ier -Oïlu oirsire ce	--⌫--⌫--|----|-⌫--|---|-|
re spo ntlip aumier s Maiselleestloi ng	--⌫---⌫-|-|-⌫------⌫|---|---|--|---⌫-|
q uier.T outeBretai ngneuozconuient costoi er Selonc la	-⌫----|-⌫---|------⌫---|--|-------|------⌫-|-----|-|
auMontSaintMichiel. Latrouueré z	-|---|----|-------|-|---------⌫|
unbontanssi	-|--|---|-|
ple nn i er Que quatrep ainsa onporun	---⌫--⌫-⌫-|--|-----|-⌫---||-|--|-|
de nier. Lis e rfl	--⌫----|-|-⌫-⌫-||
entendent i oiantensont	--------|-⌫----|-|---|
Alach arrete s	|-|--⌫-----||
ontpr insa	--|--⌫--||
charroierL unstrai tdeuan t lautresboute d e rrier.	--------||--|----⌫|-----⌫||-----|----|-⌫-⌫-----|
To uteBretaingneontprinsa	--⌫--|---------|--|----||
costoierToutelam er iusquau	-------|----|-|-⌫-|----|-|
Mont SaintMi chiel.Ilu e c	---|----|--⌫-----|---⌫-⌫|
tro uuarent lesfelons maronniers.	---⌫------|--|-----|----------|
charretes estli cu ens a puiiézI lenapelle	-------||--|-|--⌫--|-⌫------|-⌫|-|-----|
m ai stre maronnie rSeignor	-⌫--⌫---|--------⌫|------|
dist i lfaitezpaissimoi éz.	---|-⌫|-----|---|-||--⌫---|
Malades suisi	------|--|-|
aide bi enmestier. P or	-|-|--⌫-|-------|-⌫-|
Deudegloireuoz	--|-|-----|--|
uo ldroieproierQu	--⌫-----|-----|-|
o ultrecesteeuemef eïssiézna igier.	-⌫----|----|--|-|-⌫--------|--⌫-----|
Etrespondirent	-|-----------|
lifelonmaronnier Sestiiéz o ressains et	-|----|--------||-------|-⌫--|----|-|
pass eriézdunmoistrestoute ntier.	----⌫-----||-|---|-------|-⌫-----|
- GloutondistHa ymme s Dexco nfonde uoschiésCees tuns	-⌫------|---|--⌫----⌫|--|--⌫-----|--|-----|-|--⌫|--|
otiamil c heualiersN ozsommezsien	-|-|--|-⌫--------|-⌫-|-----|---|
despiés.Qu antceentendent	--|-----|--⌫--|-|--------|
lifelo nmaronnier	-|----⌫|--------|
charr etesonttre stuit apu iié.	-----⌫--|---|---⌫----|---⌫----|
uoi ent le	---⌫--|-|
contesilenonta rraisniéGentizh om	----|-||-|--|-⌫--------|-----|-⌫-|
sire unnozenuendissiézLicuens	---|-|--|-|----------|-|----|
loï tlesen scu ide	|---⌫|-|---⌫|--⌫--|
changier.Glou tondi stil Dex confondeuosch iés Par	--------|----⌫--|--⌫-|-|--|-------|--|--⌫---|--|
tout lemontmont	---|-|---||--|
charroiéEtsan seuls	--------|-|---⌫|---|
auroiei em estier.-SiredistHaymmessiferoizpar mon	-----|-⌫|-⌫------|----|---|------|-|-----|--|--|
chief Quedesac h osese doit onb ien	----|--|-|-|-⌫-⌫--|-|---|-|-⌫--|
aidierSe n doit	-----||-⌫|---|
onbienuendrëetengaigier. Mau gréleuoilAmi	-|---|------|-|---------|---⌫---|-|---|--|
amisti é S euendi Ha ym mesasfelonsmaronni ersCe nt	------⌫-|-⌫|----|--⌫--⌫--|-|-----|-------⌫--|--⌫-|
dargent ses	|-----|--|
en pri nstuo len t iersEt	-|---⌫--|--⌫---⌫-⌫---|-|
et poi ssons	-|---⌫----|
ameng ierEtsilesdoiuent	|----⌫--|-|-|--|------|
oultrelamer	-----|-|--|
nai gier. AAmi	---⌫----||--|
uiennent sanspo int dedelaier	-------|---|--⌫--|-|------|
E nze n samale	-⌫-|-⌫|-|---|
li ferment le s	-|------|--⌫|
deniersDe denslaneflefir e nt	------|--⌫---|-|--|-|---⌫-⌫-|
charroie rEtlidonnarent	--------⌫|-|-|--------|
aboiuree ta me ngier .Tendentlescordes les	|-----|-⌫||--⌫-----⌫|------|--|-----|--|
uoil esfont	----⌫-|---|
drescierLiuensl oruient quip aruigori fier t	-------|-|---|-⌫-|----|--|-⌫-|----||----⌫|
coml aloeespreuier. A t encie rprinrent	--||---|---------||-⌫-----⌫|-------|
m aro nnier Et	-⌫---⌫----|-|
dis t l imaistr es Miens sera limarchiésDe	---⌫|-⌫|------⌫-|----|---|-|--------|-|
c eluassalqui le cors	-⌫-|-----|--|-|---|
alegier. E tci lrespondentDe	|------|-⌫|--⌫|---------|-|
folie plaidiéz.Nozen se ronstrest u itcinc	----|---------|--|-|--⌫---|-----⌫-⌫-|---|
p arsonnier.	-⌫---------|
L im ai stres loitle s ens cu i dechang ier	-⌫|-⌫--⌫----||--|-|-⌫--|--⌫-⌫-|-----⌫--|
e n treprennentmaintenantsans	-⌫-⌫----------|---------|---|
targier Grans copssed onne ntde	------|----|---|-|-⌫----⌫-|-|
fuiset deleuiers. Li	---|-|-|-------|-|
duisontmo rtetlitroi son tnoié	--|---|--⌫-|-|-|---|---⌫|----|
S iqu en labargeremestAm is a	-⌫|-|-|-|----|-----|--⌫-||
h omeli du i	-⌫--|-|--⌫|
serfdroiturier.Il ne	---|----------|-|-|
seuent quef ai r e.	-----|--|-⌫--⌫-⌫-|
DexdistAm isquionques ne	--|---|--⌫-|--|-----|-|
men tizN esouffré zmieque	---⌫--|-⌫|--------⌫|--|--|
i e soiep e rizS aurai ueümon compaingnongenti l .-Sire	-⌫|---|-⌫-⌫--||----|---|--|----------|-----⌫-⌫|----|
distHaymmes ne uoz	---|------|-|--|
esmai ézsi.Autref oïefumez	-----⌫--|--|----|-⌫---|----|
iamalbai lli	-|------⌫--|
Dedensla merel	-----|-|--|-|
palagreetel fil.Garin si rale	------|-|-|---|-----⌫|-⌫-|-|
t enirEtie irai a la ui ronseïr. Si com	-⌫---|-|-|---|||-⌫--⌫--|-----|-|--|
onques ne mentiDelau tre	-----|-|----|-||--⌫--|
partfu rente nquinze dis .	---|--⌫---|-⌫|-----|---⌫|
Fors delanefont cha rroié	---|-|-|--|--|---⌫-----|
AmiGardes ordest r etres pa rmi un	--|----|-⌫-|----⌫-⌫|---|--⌫--|-|
la rris N e il nelsorentneil	--⌫---|-⌫|-|--|-----|-|-|
Ri uiers l ac it é s eingnorilCe est la	--⌫----|-⌫|-⌫--⌫-|-⌫--------|-|--|-|
uilleaucompaingnon	----|-|----------|
gentil. Li cuen sAmiles iertaumengierassiz	------|-|----⌫|-----|---|-|------|----|
apellesonsen esc halRemiGardéz que tuit	-----|--|---⌫---⌫--|---|------|--|---|
soienttresbien	-----|---|---|
serui.-Sire	-----|----|
distiltou t a uostre	---|-|---⌫||-----|
plaisir . Eza	-------⌫|-||
porteleuaillant	----|-|-------|
conte AmiSestarterellesco nm ensa a tenti r	----|--|--|----------|--⌫--⌫---||-----⌫|
Bienfaitdemandepor Deuquine	-------|------|--|--|--|-|
menti.Li cuens lenten t	-----|-|----||-----⌫|
meng ierouilsistLors	----⌫--|-|-|---|---|
ahuchié lesen eschal Rem iA	|------|-|---⌫-----|---⌫||
cel le po rteai unmalade oï.	---⌫-|--⌫--|-|-|-----|---|
uaseliporteetdou painetdou	-|-|-|----|-|--|---|-|--|
uinEtdelach ar	--|-|-|-|--⌫-|
porDeu quinementiQueD exm erande	--|--|--|-|----|--|-⌫-|-⌫|----|
moncompaingnonAmi O utexnou uellesm	--|----------|--|-⌫|--|---⌫-----||
en a preingneaoïr	-|-⌫-------||---|
Parquoiiesaiche s ilest	--|---|-|-----||-|--|
oum ors ou	-|-⌫--|-|
uis. Li seneschaus	---|-|---------|
pr ent lepainetle	--⌫--|-|---|-|-|
uinSienaualel es degréz mauberins	--|-|-|----|-⌫-|------|--------|
Au conteAmilepor te.	-|----|--|-|---⌫--|
LicuensAm is prentlep ainetlachar	-|----|--⌫-|----|-|-⌫--|-|-|---|
GarinsetHa ymmes	-----|-|--⌫----|
tendiren tle	--------⌫|-|
h an nap.Liseneschausqui n ul m alne pansaI	-⌫--⌫---|-|---------|--|-⌫-|-⌫-|-|----||
atostmis le uin queilporta	|---|--|-|--|--|-|----|
Touzen fuplainset	---|-|-|-----|-|
rase ́z de	----⌫-|-|
douzpar s.	---|---⌫-|
Liseneschau sbien ga rde	-|---------⌫|---|--⌫--|
sen donnaTouzle s	|-|----|---|--⌫|
degre ́z doupalaisenmo ntaA	-----⌫-|--|-----|-|--⌫--||
sonseign orle conte.uouz	--|-----⌫-|-|-----|---|
men uoiastezaup re udomme	|--⌫-------|-|-⌫--⌫-----|
mezelMalad esest il	----|-----⌫-|--|-|
ciel sibel.Unhannap a q ui	---|-|---|-|-----||-⌫-|
moul t faitaproisierS	----⌫|---||-------||
etl i uostres ierententrechangiéDexn e	-|-⌫|------|-----|------------|--|-⌫|
