silzliuresquestcien	---|-----|-|--|-|-|
si qu eto u t lo	-|--⌫|--⌫-⌫|-|
fa it chanc ele r	--⌫-|-----⌫---⌫|
li lyonsestchoize stor miz	-|----|--|----|-⌫----⌫--|
consilfu stendormiz	--||-|--⌫-|-------|
ta ndislicheuas debienf uire	--⌫---|-|-----|-|---|-⌫---|
panseporsaui e con dui re	----|--|-|--⌫|---⌫---⌫-|
lautresreuie nt de	|-----|-----⌫-|-|
netrouepais sauenois on	-|----|---|-|------⌫-|
qua n t ilseuitainsinc	---⌫-⌫|-|-|--|------|
partsesenemi s	---|--|-----⌫|
li a idou tou tuoidie	-|-⌫|--|---⌫|-----|
esba izestn esetq u anfac e	----⌫-|--|-⌫|--|-⌫|-|---⌫|
danzsoi acondampnerseprant	---|--||---------|-|----|
desafo lieserepant	-|-|--⌫--|-|-----|
lasfaitilpermafe loni e	--|---|-|--|-|--⌫----⌫|
ha icestepoinnedesse ruie	--⌫|----|-----|-----⌫---|
m ostroi eam istie	-⌫------⌫|--⌫----|
etiereplains demauaistie	-||--|-----|-|--------|
sus m ateste a bon droitre paire	--|-⌫|----||--|----|--⌫----|
latraisonque u uilli sf ai re	-|------|--|-⌫-----⌫|-⌫--⌫-|
neuuillesque rreautre sambl ance	-|------|---⌫--|----|-----⌫---|
quec eli qu e te	--|-⌫--|--⌫|-|
uanter de scien ce	-----|-|-----⌫-|
don tun as uehu l escr ipture	--|-||-|---||----⌫-----|
droit soff re onte	----|----⌫-|---|
qui uuet autruime nierea mble r	--|---|-----|--⌫----|-⌫----⌫|
doulo u neproignela u estur e	--|--⌫|-|------|-|-⌫-----⌫|
qui ne uuet	--|-|---|
lolo u resambler	-|--⌫|--------|
s autresquetu nees	|-----|--|-|-|-|
te mo stres	-|--⌫----|
c enestu paismais	-⌫||-|-|---|---|
un ualat pormoinnezzc heual	-|----|--------|-|-⌫----|
perlaciteyloucontreual	--|-|----|--|--------|
mou ts eporte orgoillousemant	---⌫|-⌫|----|--------------|
l ich euausp orso npareman t	-⌫|--⌫----|-⌫-|--⌫|-------⌫|
cont relosoloil reluisoient	----⌫-|-|-----|----------|
liparemantquido restoient	-|-------|--||-⌫|-------|
tientbienpo rhonorey	----|---|--⌫|------|
q uant seu oitdorey	-⌫---|-|-⌫--|----|
tandisquiluaiso resaillant	-------|-|--|--⌫---------|
zzas nemoutf ort trauaill ant	-|--⌫-|---|-⌫--|--------⌫--|
ui t qui en contrelu i uenoit	--⌫|--|--⌫-----|--⌫|-----|
siconseschemin s lomenoit	-|--|--|------⌫|-|-----|
l ig rantfais lauoient le ssey	-⌫|-⌫---|---||------|--⌫---|
or entlodosques sey	--⌫--|-|--|----⌫--|
alerne lolaissel acharge	---|-|-|-----|-⌫|-----|
nelichemins qua	-|-|------|-||
poudelarge	--|-|----|
ceere enuneestroite	-|--|-|--|-------|
lic he uaus	-|-⌫--⌫---|
pointn elosalu e	----|-⌫|-|----⌫|
maiscomancecrier	---|------|----|
folasnes ce ne dauez fa ire	--|----|-|-|----|--⌫--|
uoush onourporterme	---|-⌫----|-----|-|
e tuoste l despit	-⌫|--|--⌫|-----|
fait m a uez	---||-⌫--|
que tenezboich iela uo ie	--|----|-----⌫-|-|--⌫-|
porce queoutrenepassoie	--|-|--|----|-|------|
iaicomparri éscest outraige	--|--------⌫--|---|-------|
seien creoi e mon coraige	-||-|-----⌫|--|------|
m aisdemongrantcuer	-⌫--|-|--|----|---|
lafranchise	-|--------|
ne doigneuangie rlamespr ise	-|-----|------⌫|-|-----⌫--|
uersloche ualfort s	---|-|---⌫--|---||
liasn esetmerci licri e	-|---⌫-|-|----|-|---⌫|
outrepasseclinel aface	----|----|----|-⌫|---|
nestaut resamb lan t qu	|--|---⌫-|----⌫---⌫|-|
cheuaxcombatuz	-----|-------|
sestci lpuis	|--|--⌫|---|
que labouelelich iet	--|-|-----|-|--⌫--|
tant liont la pancederote	---|-|--|-|----|-----|
si qu ilne futplu scouenabl es	-|-|-|-|--|---⌫|--------⌫-|
porport erarmeshonorabl es	--|----⌫-|----|--------⌫-|
doreysanzrich eselle	----|---|----⌫|----|
lontpui sfait trairealabridele	|--|---⌫|---|-----||-|------|
magra celod osliaguise	-----⌫-|-|-⌫-|-|-----|
etlesespauleslirebuise	-|--|-------|-|------|
litra uailes chareuotee	-|---⌫---|--⌫---------|
sacropepomele e	-|----|------⌫|
lasnel o uoitploinsdeparesce	|---|-⌫|---|-----|-|------|
silomoquedesamagresce	-|-|----|-|-|-------|
fa it ilcheual uaillanz	--⌫-|-|-----|-------|
questoiessiso resaillanz	-|------|-|--⌫---------|
sell e ouest lanoblesce	----⌫|-|--|-|-------|
et d oufroindoreyl arich e sc e	-|-⌫-|----|----|-⌫|----⌫-⌫--⌫|
tuqu estoiessi bien	-|-|------|-|---|
por questusi descolorez	--|-|-|-|-|---------|
t esgranz orguil qu	-⌫-|----|-----|-|
estde uenuz	--|--⌫----|
que t u es	--|-⌫|-|
orsi uiz ten u z	-|-|--|---⌫-⌫|
ensincchietor guilpercostume	-----|----|--⌫---|--|------|
quant co n oissancene l alume	----|--⌫-⌫-------|-||----|
quant t esgranz parem anz auoies	----|-⌫-|----|-----⌫--|-----|
ne toin atrui necoignoissoies	-|--||----|-|------------|
ore stai abai ssié	---⌫||-|----⌫----|
sa menierec ommune	-|------|-⌫-----|
a nous t auolu yga l er	|---|||---|---⌫-⌫-|
siqu auuec to i poonsaler	-|-|----|--⌫|----|---|
mesporlorguilde tafo lie	--|--||-----|-|-|--⌫--|
ne nosplaitpointt acompaig nie	-|--|----|----|-⌫|-------⌫--|
hon ours et	---⌫---|-|
beau t ezetiue ne s ce	----⌫-⌫-|-|---⌫--⌫-⌫-|
durent t rop	-----|-⌫--|
pousifait proes ce	--|-|---|-----⌫-|
oruido ncencha itiue tey	-|-|--⌫-|-|---⌫-----⌫--|
si ten soigner aipouretey	-||--⌫-------⌫-|-------|
moiett esa utres compa ingno ns	--|-|-⌫-|-⌫----|-----⌫-----⌫-|
soff rirqu e detoinosplaign ons	----⌫--|--⌫|-|--|--|------⌫--|
ormepuis iebien	-|-|---|-|---|
detoi ri re	-|--|--⌫-|
q uin et osoie contre dire	-⌫-|-⌫||----|------⌫---|
esb iensdou	-|-⌫---|--|
m ondenetecroire	-⌫---|-|-|-----|
quarfortunenestonquesuo i re	---|------||--|-----|--⌫-⌫-|
ele estmuable ets	--|--|-----|-||
estd iuerse	--|-⌫-----|
e leest cruereet	-⌫-|--|-----|-|
sestperuer se	|--|------⌫-|
porcelapelelonfortune	--|-||----|--|------|
qu aleneset	-|--|-|--|
onq uesestre	---⌫--|----|
quantplusdegraceteprom est	----|---|-|----|-|----⌫--|
adon ques audeso z t eme st	----⌫---|-|----⌫|-⌫|--⌫-|
eleainonfolx estquisifie	--|-|--|---|--|--|||--|
quarnefait	---|-|---|
chose qu e ledie	----|-|-⌫-|--|
donc sepe rpuissance	---|-|--⌫|--------|
g ardes por cenefa cesgr ieue	-⌫----|--|-|-|--⌫--|--⌫---|
esautresque tu u oiz aub a s	-|-----|--|-|-⌫--|-|-⌫-⌫|
qua rde froin dortfai ttraireabas	---⌫|-|----||--|---⌫|-----||--|
tostfait ue nirdoutrotapas	---|---|--⌫--|--|---||--|
fortune net icroi repas	------|-|||----⌫-|--|
licheuauseso iseax fer marent	-|------|-|-⌫----|---⌫-----|
gue rr eenbataillesasambl a rent	---⌫--⌫|-|-------||------⌫-⌫---|
chescuns pens edoumiezfer ir	-------|----⌫|--|---|---⌫-|
porlop ris d	--|-|-⌫--||
armesaque rir	----|----⌫--|
uigue rousemantsecom ba tent	-----⌫--------|-|---⌫--⌫---|
moutdure m antsebate nt	---|----⌫-⌫--|-|----⌫-|
laui ctoirefutenbalance	-|--⌫-----|--|-|------|
nun sn anot	---⌫||-|-|
cer tainn e esperance	---⌫-----⌫|--------|
encelpoi n tlichaues eri z	-|--|---⌫-⌫|-|------⌫---⌫|
quia icor ssamblant a	--|-⌫|---⌫|-------||
toile etcolour noire	----|-|-----|----|
mostrequesa foi n est pasuoir e	-----|--|-|--||--|--|----⌫|
pord oneres ch euaxaye	--|-⌫---|-|--⌫---|--|
laissesaproprecom paignie	-----|-|-----|---⌫------|
esoi seaxfai tmout	-|--⌫---|---⌫|---|
decont raire	-|----⌫----|
porcequ epuissee scheuaspla ire	--|-|--⌫|-----|-⌫|-----|---⌫--|
l aigleuoi tqueses ostchancele	|----|---⌫|--|--|--|-------|
enhau teuoiz lesenapele	-|---⌫-|---|--|-|----|
encui auroizc este uictoire	----|-----|-⌫---|-------|
disteleu ostreenier tl agloire	---|--|-⌫----|-|---⌫|-⌫|-----|
li oiseax sontencora ig iez	-|-----|---|------⌫--⌫--|
ouchanpfi erentco ne nraigiez	-|----|--⌫----|--⌫|-⌫-------|
p rire ntadesconfire	-⌫----⌫-||---------|
lic heuaus chescunslodosuir e	-|-⌫-----|-------|-|--|---⌫|
porsauer lou ruiessa nfuent	--|----|---⌫|---||-⌫|----|
li autreen	-|----|-|
chacant mainsentu ent	------|----|-|--⌫--|
li ois eaxenpor tent lopris	-|---⌫--|-|---⌫---|-|---|
lich a ueserizi	-|--⌫-⌫------||
satra ison fubie nprouee	-|---⌫---|-|---⌫|-----|
lapoinnefuteletensee	-|-----|-|---|-----|
pl umes lo despoillerent	--⌫---|-|------------|
etro benoirelidonare nt	-|--⌫-|----|-|------⌫-|
e tlont bannientel	-⌫||--|----|-|--|
quei emaisneha ut	--|-⌫----|-|--⌫-|
e nlumiere	-⌫|------|
ches toié lontpe r batemant	----⌫----||--|--⌫|-------|
ensincsepart d ou i ugemant	-----|-|---|-⌫-|-⌫------|
doisad on cuaitoziou rs den uit	---|--⌫--⌫|--|--|---⌫-|-|-⌫--|
qu ar la clarte yd ou	--⌫-|-|------⌫|-⌫-|
laissier loupri ueyporl estrange	-------|--|---⌫--|--||-------|
nunsnedoitfai re telesch ange	---|-|---|---⌫-|--|----⌫---|
adousse ignors	|---|--⌫-----|
ne doi t seruir	-|---⌫|-----|
honsquiuu ethonour de sser uir	---|--|--⌫-|-----|--⌫----⌫--|
cil tra uaille esse zsanzriens faire	--|---⌫-----|----⌫|---|----|----|
qui adousseignourscuide	--||---|--------|----|
ros signol azioli	---⌫------⌫-|---|
sed eduitenzz chanp	-|-⌫----|-|-|----|
poliperdou cemelo die	---|--|---⌫-|----⌫--|
moutmeno itgrant	---|----⌫-|----|
enuoi serie	-----⌫----|
ce facoitporsoideporter	-|-----|--|--|-------|
etpor sespucins confo rte r	-|--|--|-----|-----⌫---⌫|
lioitours li	-|------|-|
troblesaioi e	-----|-|---⌫|
quidesespuci ns facoi tproie	--|-|--|----⌫-|-----⌫|----|
lamere doucemantli prie	-|---|--------|-|---|
que pord euse spucin sn ocie	--|--|-⌫-|--⌫|-----⌫||---|
cildit s e tu	--|--|-⌫|-|
uue zquei eface	---⌫|--|-⌫|---|
orandroitch osequit epla ce	--------|--⌫--|--|-⌫|---⌫-|
faimondou zchanzde	--|--|---⌫|----|-|
plai sant note	----⌫---|---|
ains incmepuez uoin cresanz dote	----⌫--|-|---|----⌫--|---|---|
chosedon tuf aces prie re	----|--|-|-⌫---|----⌫-|
n eferaienautre meniere	-⌫|----|-|----|------|
li rossignola zrenouele	-|----------⌫|-------|
sonchantpermeniereplus bele	--|----|--|------|---|---|
lioitou r sles c oute entaisa nt	-|-----⌫-⌫||--⌫-⌫---|-|-----⌫-|
quar lichan ser emo utpl aisa nt	---|-|----⌫|--⌫|--⌫-|--⌫----⌫-|
mal pert adouzc hantde la boche	--|---||---|-⌫---|-|-|----|
qui aucue rlitoiche	--|-|---⌫|-|-----|
chante doucemant	-----|--------|
licuersg emit ameremant	-|----|-⌫---|--------|
lioitoursl amoutesco utee	-|------|||---|----⌫---|
lamauaistiedesa pense e	-|--------|-|-|-----⌫|
nelilaisseachantconsent ir	-|-|-----||----|-------⌫-|
mais lifait s a fo ia mentir	---|-|---|-⌫|--⌫||-----|
t es chan sditilne mepu et	-⌫-|----⌫|--|-|-|-|--⌫-|
quanttun esezzzbea lpoint faire	----|-|-⌫|--|-|---⌫|----|----|
nesezcomantues	-|--|-----|--|
iecroiienferoi bien autant	-|---||-|----|---|-----|
prantde uantlamer e	----|--⌫---|-|---⌫|
morir lesfaitdemortamere	----|--|---|-|---|----|
qua nt c e u o it lamerechaitiue	---⌫-|-⌫|-⌫-⌫-|-|---|-------|
uiuantm u e rte t morantestuiue	-----|-⌫-⌫-⌫-|-⌫|-----|--|---|
locuerlip ercetel dolour	-|---|-|-⌫---|--|-----|
quilitresmue	--|-|------|
alu ned esfo iz pert	||-⌫-|-⌫-|--⌫-|---|
alautrede doloursepasme	||----|-|-----|-|----|
t antconcil saligniemort	-⌫--|--|--|-|-----|---|
tantlafiertdou	---|-|----|--|
glaiu edemort	-----⌫|-|---|
tant liestroint dou cuerles uoinnes	---|-|-------|--|---|--|------|
dolours quale	------|-|--|
respire a p oinnes	------||-⌫-----|
ai nsincmuertse nzmortu itsa n z uie	--⌫----|----|--⌫-|---|-⌫-|--⌫-⌫|--|
quan tuo it	----⌫|--⌫-|
ocirre sal i gnie	-----|-|-⌫-⌫---|
lipucinsfu ren tdeuo re y	-|-----|--⌫---⌫|----⌫--⌫|
mais neaipais moutdemorey	---|-|-|---|---|------|
qualoit oura uientgrantmeschief	-|||---⌫--|-⌫----|----|-------|
a gl uz f up risetenaschiez	|--⌫-|-⌫|-⌫--|-|--------|
ensinc fu morz	-----|-|---|
chaitiu em ant	-------⌫--⌫--|
cefubienperdroitiugemant	-|-|---|--|----|-------|
bien f ai ttra is ons onoffice	---|-⌫--⌫|---⌫--⌫-|-⌫-|-----|
qu aso n maistr erant	-||--⌫|------⌫|---|
boneuie fait	---|--|---|
b one uiea	-⌫--|--||
bonefin m oinne	---|--|-⌫----|
lamale a torm an t e t a p oinne	-|---||----⌫--⌫|-⌫||-⌫----|
qui bie nfaitabondr oitbi en troue	--|---⌫|---||--|--⌫--|--⌫-|----|
lifinslof ait dechescunpr oue	-|---|-|-⌫--|-|------|--⌫--|
lil ousui andeotporchac ie	-|-⌫--|--⌫---|-|-------⌫-|
sa maison enot biengarnie	-|-----|-|-|---|-----|
t an tco nsa uiande li	-⌫--⌫|--⌫|-|-----|-|
oisou sest d ourern e aicure	-----⌫|--||----|-⌫|-|---|
enuiousefutlau u lpille	-------|--|-|-⌫-⌫-----|
aul ou ui ent etlidist perguile	-|-⌫-|--⌫--|-|-|---|--|----|
deuuo ssa ut fre r ecedist ele	--|--⌫|--⌫-|---⌫-⌫|-|---|--|
lonc tensai de	---|---|-|-|
uos n oiz nouele	--||--|-----|
nulefoizn esuis	---|---|-⌫|---|
s anz memoire	-⌫--|------|
d euos se dexmed ointsa	-⌫|--|-|--|-|-⌫---|-|
silonc ten s naueze n m aison	-|---|---⌫||---|-⌫|-⌫----|
est eyne saiperquelrais o n	---⌫-|-|--|--|---|----⌫-⌫|
l i lousdistmout	-⌫|---|---|---|
agre me uient	|--|-|----|
ce quedem oitantte	-|--|-|-⌫-|---|-|
tu p our m es ioursmulti plier	-|-⌫--|-⌫-|----|-----⌫----|
necessesl e sdexdepri er	-|-----|-⌫-⌫|--|-|---⌫-|
moutesdebaratbiengarnie	---|-|-|----|---|-----|
bienu oitu me portesenuie	---|-⌫-|-|-|-----|----|
p arolesasbales et	-⌫-----|-|----|-|
ont lesoroi llesoint es	--|--|----⌫---|----⌫-|
m alua isema ntuuez en uahir	-⌫----⌫-----⌫-|---|--⌫----|
lomien porce m euue ztrah ir	-|---|--|-|-⌫|---⌫|----⌫-|
conoisce doizsauoir	-----|-|---|-----|
nepueztu rien sau oir	-|---|-|----⌫|--⌫--|
autruite couientresambler	-----|-|------|--------|
s etu meu uezlomien	-⌫|-|-|-⌫--|-|---|
lauulpille	-|-------|
pou r deprisie	---⌫|-------|
setientmoutenest co rrocie	-|----|---|-|--|--⌫-----|
doulous epartsanz samblant	--|--|-⌫|---|---|-------|
etsanretorn e	-||-|------⌫|
ensonrepair e	-|--|------⌫|
orpen se d eprandre	-|---⌫-|-⌫|------|
do ulouqu eli	--⌫|--|--⌫|-|
fa itteluitance	--⌫-|--|------|
a unp roudomeenestale e	|-|-⌫------|-|--|---⌫|
sa besoig nel i a i	-|------⌫-|-⌫|-⌫|
amisce distiem e trauaille	---|-|---|-|-⌫|--------|
poruosl o louauroizsanzfaille	--|--|-⌫|--|-----|---|-----|
semaintenant uolezuenir	-|---------|----|----|
ie lo uos ferairetenir	-|-|--|----|------|
i l est ensa fossetoutaise	-⌫|--|-|-|----|---|---|
ne lifaut choseque	-|-|---|----|--|
desagrantgarn isonmainiue	-|-|----|----⌫---|------|
se gursest	--⌫---|--|
lip roudon s l a p aroleo utroie	-|-⌫------⌫|-⌫|-⌫----|-⌫-----|
mestenla uoie	---|-|-|---|
danz lafosse t ozar mez	---|-|----|-⌫-|--⌫--|
lolo ufiert desespee ouuantre	-|--⌫|----|-||----|-|-----|
m orz est lauu lpil le estuangie	-⌫--|--|-|--⌫----⌫-|--|-----|
la maisondou	-|-----|--|
lou biengarnie	--|---|-----|
aialauul pilledonee	-||-|---⌫----|----|
lip roudonsce	-|-⌫------|-|
l imo u tagree	-⌫|--⌫-⌫|----|
enqui segietet se repose	----|-|---|-|-|-----|
tantque guesteefutlachose	------|------|--|-|----|
apresce fut	----|-|--|
mout futorm a ntee etmal	---|-|----⌫-⌫---|-|--|
elegemi t con despa ree	--|----⌫|--|-----⌫--|
bienmauie estfi nee	---|-|--|--|--⌫--|
sen zmerci mepunitdroi ture	---⌫|----|-|----|----⌫---|
po r ceq ualou aifaiten iure	--⌫|-|-⌫||--|-|---|--⌫---|
estp ais por	--|-⌫--|--|
sa bont ey	-|----⌫-|
ma mauleuolantey	-|----|-------|
lamortauoi tbiend es ser uie	-|---|----⌫|---|-⌫--⌫---⌫--|
mai ssusm oi re tor ne	---⌫|--|-⌫-|--⌫---⌫-|
etmenuie et	-||----|-|
ma t r aison	-|-⌫-⌫----|
ocislaiper grantmespri son	---||-|--|----|------⌫--|
nonpaisl o fai tmaisla	--|---|-⌫|---⌫|---|-|
p uni t en moimortdroit urier e	-⌫---⌫|-|--|---|-----⌫-----⌫|
ta ndisquelese	--⌫-----|--|-|
de sconfo r te	--⌫------⌫-⌫-|
engrantdolour de	-|----|-----|-|
cuer est morte	---|--|----|
quiuuet uiure de rob erie	--|---|----|-|---⌫---|
enr obantpert	-|-⌫----|---|
souantsauie	-----|-|--|
quirobeau tr uipersonou traig e	--|---|--⌫--⌫-|--|--|--⌫-----⌫|
s ouantrecoit datruidomaige	-⌫----|-----||----|------|
perdroitquiuuetuiure	--|----|--|---|----|
tro ue qui li trob lesaioie	---⌫-|--|-|----⌫-|-|---|
licerssoffrede soide stra ce	-|---|-----|-|--|--⌫----⌫-|
uers une fon ta in ne sadresc e	---|--|---⌫--⌫--⌫-||------⌫|
la fon tainn eest clere etbele	-|---⌫-----⌫|--|----|-|---|
d argent sambleestre lagrauele	|-----|-----|----|-|------|
quantlicersboitper grant de lit	----|-|---|---|--|----|--⌫--|
enl aiguesa sambla nc el it	-||----|-|------⌫--⌫|-⌫-|
ilser egarde etse	-|-|-⌫-----|-|-|
s escorne slo	-⌫-|-----⌫|-|
cuerlifontr ire	---|-|---|-⌫--|
longue sfurent	------⌫|-----|
et b ienr ame es	-|-⌫--|-⌫---⌫-|
mout l isamblentes trehonore es	---|-⌫|-------|--⌫--|------⌫-|
con plusrega rde enlafontainne	--|---|----⌫--|-|-|--------|
plussesiohitp ergloireuainne	---||------|-⌫-|-----|-----|
partlif ait gr an tdestrace	---|-|-⌫--|--⌫--⌫|-------|
quant desezpiez	----|-|--|---|
uoitlamagrece	---|-|------|
seschambes trop	--|------|---|
lidesplasoient	-|-----------|
qu ar noires et maigre s estoient	--⌫-|-----|-|------⌫|-------|
esbais chiens sor e uiegnent	-----|-----|---⌫-⌫-------|
uersl ui tout	---|-⌫-|---|
droitlatrace t iegnent	----|-|----|-⌫------|
q uantillesse n titabai er	-⌫---|-|--|--⌫-⌫--|----⌫-|
ils ampristfort	-||-|----|---|
ses p iezmaten	--|-⌫--|--|-|
oure porfuire	---|--|----|
qu ilten oit	-|-|---⌫--|
deuant enlaidur e	-----|-|------⌫|
deschambeslalegeretey	--|------|-|--------|
cel elo moinne	---⌫|-|-----|
a sauuete y	|-------⌫|
l essentfor zetignales	-⌫-|---|---⌫|-|------|
siles tient etbonesetbales	-|--|----|-|----|-|----|
ses corn es quilo tchier tenues	--|----⌫-|-|-|-⌫|----|-----|
qu erentsi gran t et si	-|----|-|----⌫|-|-|
uosistquefussentesraigies	-----|--|------|--------|
desatesteouerent fic hi es	-|-|----|-|----|---⌫--⌫-|
carmoutagran t henuit	--|---||----⌫|-----|
liuienen t	-|------⌫|
quant pe r l espesboi s lo	----|--⌫||----|---⌫|-|
