di reledoit	--⌫-|-|---|
chech antc ommigno s etiolis	--|--⌫--|-⌫-|-----⌫|-|----|
souspriss uidamourete ssous priss ousp ris	-------|-⌫-||--------⌫|----⌫---|-⌫----⌫--|
sitostqu ese ca nchon s	-|---|--⌫|-|--⌫-----⌫|
li roisseurdes tr erega rda	-|---|---|---⌫--⌫|----⌫--|
et uoitparmile fonsdu nu al	-|---|----|-|---||-⌫|-⌫-|
renartouuen oitacheual	-----|-|---⌫--||-----|
sidoi filolui cheuauchoient	-|--|--||--|------------|
quinouuel cheualie restoient	--|-----|--------⌫|-------|
perchehaie etroussiausandoi	---------|-|--------|----|
sitostquilperchurentle	-|---|-|-|---------|-|
sonten contrelui deschendu	---|--⌫-----|--|--------|
etqu antli	-|--⌫--|-|
roisach eu eu	---||--⌫|-⌫-|
enc ontreaus	---⌫----|--|
errrant desch end i	------|-----⌫---⌫|
etrenarssesg enousflec hi	-|-----|--|-⌫----|----⌫-|
co nt rele	--⌫--⌫-|-|
roi sel salua	--|-||----|
liroisamontl en	-|---|----||-|
a ndoi espal efroismonte ren t	-⌫---|-|---⌫-----|-----⌫---⌫|
et del parlant en a ler ent	-||-|------|-|-⌫---⌫--|
tantqueli roisdista r enart	------|-|---|---||-⌫----|
si r esedamediex	--⌫-⌫|-|-------|
quantliguerrefumoi etuous	----|-|-----|-|--|-|---|
moietmes genseu ssiés	--|-|--|---|--⌫-----|
seuausissiés ochi s e tmo rs	-|----------|----⌫|-⌫|--⌫-|
sages et pr e udonsde uocors	----|-|--⌫-⌫----|-|-|---|
esteset p o urc helebaillie	----|-|-⌫-⌫-|-⌫-|-|------|
uous doinsetmesen escauchie	---|----|-|-|---⌫--------|
dem eter reetde monostel	-|-⌫|---⌫-|-|-|--|----|
ca r enmon	--⌫|-|--|
courti lunostel	------⌫|-|-|--|
megeta ysengrinsli leus	-|---|--------|-|---|
queper dusen fumesosteus	--|---⌫--|-|-|--|-----|
m aisie proi	-⌫--|-|---|
qu elerecouurés	--⌫|-|---------|
etdel mien la rguem entdonnés	-|--|---|--⌫-----⌫--|------|
ysengrin retauchle baillie	-------|------|-|------|
en doinsles ignerie	-|----|-|-⌫------|
carysengrinstenoittropcourt	--|--------|-----|---|----|
lemien renars teni ruo eil	-|---|-----|----⌫|--⌫--|
apasqu esetu aurraiauoir	|-----⌫-|-|-⌫-----|----|
tousmestenans grant	---|--|-----|----|
despe ndrepour	-----⌫---|---|
aushonnerer	--|-------|
renarset siuousuoei lc onter	-----|-|-|---|----⌫|-⌫----|
conmentilmestiainpa ramours	------|-||--||--|--⌫|-----|
beledameencuimainthonn ou rs	---|---|-|--|----|----⌫--⌫-|
qui est e l e sedie us	--|--|-⌫-⌫|-|---⌫-|
uousg a rt	---|-⌫-⌫-|
cestfameha rdile l upart	|--|---|--⌫--|-|-⌫----|
che dist nobles	--|---|-----|
etre narsrist	-|--⌫---|---|
et ro isnoblesap r es li	-|--⌫-|-----|--⌫-⌫-|-|
sire re n arsconsilliés ment	---|--⌫-⌫--|----------||--|
card amourlaimtropcorelment	--||----||--|---|--------|
iour ma mis dep arler	---|||--|-|-⌫----|
anui t quanti ler t	----⌫|----|-⌫|--⌫|
quele seiou rneenc estp ais	-|--|-----⌫--|-|-⌫--|-⌫--|
pourmamouretlisiensmaris	---||----|-|-|----|----|
deme u reu erscoustantinoble	----⌫-⌫-|-⌫--|-------------|
et ladam een u ncastelnoble	-|-|---⌫|-|-⌫|-----|----|
conapeleroial roion	|-|----|----|----|
ade mouréc estesaiso n	|--⌫-----|-⌫---|-----⌫|
quetroi slieuesna dusques la	--|----⌫|-----|||------|-|
etrenar slueslide manda	-|-----⌫|---|-|--⌫----|
conmentirés	------|----|
u ou s t restousseus	-⌫--⌫|-⌫------|---|
s esuoloir sestteus	-⌫-|------⌫|--|---|
distparsaint remi	---|--|----|---|
naffiertaroi quiuois ten si	|------||--|-||----⌫|--⌫-|
seusparnuit pour	---|--|---|---|
mou t deperiex	---⌫|-|-----|
uousc onsilleraimiex	---|-⌫---------|---|
ouo usi raiseuousuolés	|--⌫-|-⌫--|-|---|-----|
e t liro is	-⌫|-|--⌫-|
dist meuolentes	---|-|-------|
es tb ien a	--⌫|-⌫--||
ch e ap ie irons	--⌫||-⌫-|----|
le cache co nmenc hons	-|----|--⌫-----⌫---|
as bissesas chiersetasdains	-|-----|-|-----|-|-|----|
leurcachefontneplusne	---|----|---|-|---|-|
prisentquilua urrentuenison	------|-|-|--⌫-----|------|
et puisrepairent enmaison	-|---|--------|-|-----|
cuiree n fonten	----|-⌫|---|-|
s en mengie renttantqu illeurplot	|-|------⌫---|-----|-|---|---|
silongementque duscannui t	-|--------|--|---|-----⌫|
ostel secouchenttuit	----|-|-------|---|
lirois nobles	-|---|-----|
ne souublia	-||------|
renarthuchaatant sen	-----|----|----||-|
an doisenu ont	--⌫--||-|-⌫--|
parmil e bos	----|-⌫|--|
lecoursl e	-|----|-⌫|
trotetleswalo s	---|-|--|----⌫|
necesserentsison tuenu	-|--------|-|---⌫|---|
uerslecastelqui aubos	---|-|-----|--|-|--|
ou da meharougemanoit	-|--⌫-|------|-----|
q ueli rois defincu eramoit	-⌫-|-|---|-|--|--⌫-|----|
quiatendoit	--|-------|
chele uen u e	----|---⌫-⌫|
ertde se ca mbrei ssue	--|-|-|--⌫---|-⌫---|
s estentre eenungar dign et	|--|-----⌫|-|-|---⌫----⌫-|
d ontliroisles cles duwike t	-⌫--|-|---|--|---|-|----⌫|
auoit etsili otdonnee	----|-|-|-|-|-----|
harouge et lia d it l entr ee	------|-|-||-⌫-||----⌫-|
deuerslebo setle	-----|-|--⌫|-|-|
liroisotcompaig non faitic	-|---|-|-------⌫--|-----|
ualeroiem pe skant	-|-|--|--⌫--⌫----|
settrestoutle	--|-------|-|
deleclef dont sepo urpensa	-|-|---|---|-|--⌫------|
conment leroid echeuera	------|-|--|-⌫-------|
coiementdistensepense e	-------|---|-|-|-----⌫|
et sest deplu s eursre cor de e	-||--|-|---⌫-⌫---|--⌫---⌫--⌫|
compain sn e st	-------⌫||-⌫-|
mie coicon	--|---|-|
quisen comp aignon necunkie	--|--|----⌫-----|-|-----|
ren arsdistsouauet auroi	---⌫--|---|------|-|--|
sirespar le foi	----|--|-|--|
que uousdoi	--|---|--|
naffiert a roisil	|------||--||-|
qu i luoitdebou gonescorne ́t	-|-⌫|---|-|---⌫--|-------⌫-|
en tellieuseuset	-|--|---|---|-|
r egardé s ise	-⌫-------⌫||-|
aussigrantcaupfiert unsuilai n s	----|----|---|----|--|-----⌫-⌫|
quoinsfait	-----|---|
ouuncastelain s	-|-|---------⌫|
mesdisans f us tseue	--------|-⌫--⌫|---|
li uo streu e nue	-|--⌫---|-⌫-⌫--|
poursefame il	---|-|---|-|
uousgreue roi t	---|-----⌫---⌫|
ie cro is eilonquespo oit	-|---⌫|-⌫|-|-----|--⌫--|
roislonguemen tnepuetd urer	---|---------⌫|-|---|-⌫---|
qui sansbon conseilueutouurer	--|---|--|------|---|-----|
li roisuoitbien	-|---|---|---|
quildistraison	-|-|---|-----|
aren artrespo nta	|---⌫--|-----⌫-||
uo conseilferaioren droit	-|------|----|----⌫----|
c onment uolésuous	-⌫-----|-----|---|
renarsli adit to utsouef	-----|-||--|--⌫-|----|
r oisorme baillie ́schele	-⌫--|-|-|-------⌫-|----|
queuousauésdechelw ik et	--|---|----|-|---|-⌫--⌫-|
etmat en de ́sun petitet	-||--⌫--⌫--⌫-|-|------|
chi endroittantost reuenr a i	--|------|------|------⌫-⌫|
et tout partout regarderai	-|---|--|---|---------|
senusi est pour uouswaitier	-|--||--|---|---|------|
quiuouspeust	--|---|----|
fair e encombrier	----⌫|---------|
petitsuisier ema insperchus	----|--||---⌫|--⌫--|------|
queu ous quiestesg ransetos sus	--|-⌫--|-|-----|-⌫---|-|--⌫--|
etma ins d edamageseroit	-|--⌫--|-⌫|-----|-----|
aure g nerois s on m ochioit	-|--⌫-⌫-|---||-||------|
tout est en d ieu u aillequeuail l e	---|--|-|-⌫--|-⌫----|--|----⌫-⌫|
liro is a r enartlecl ef baille	-|--⌫-||-⌫----|-|--⌫-|-----|
q u ip uissedisenrepentist	-⌫-⌫|-⌫------||-|--------|
moutuo lentie rs seil peuist	---|--⌫------⌫-|-|-|-----|
deffr eme alec le f	-----⌫--||-|-⌫--⌫|
e tpuissientre anst outsouef	-⌫|---|-|----|--|-⌫--|----|
e t la refremé	-⌫|||-------|
a uuere il	-⌫|----⌫-|
lil uparde oteusoumeil	-|-⌫-----|-|-|------|
sienestoittoute	-|-|-----|----|
d uroi ueoi r estoit	-⌫|--|----⌫|-----|
etpourdesirchecantcanta	-|---|----|--|---|----|
diex tropdemeure quantuenra	---|---|------|----|----|
sa demouree	-|-------|
renarstout belementse	-----|---|-------|-|
l es ledame t outcoi	-⌫-|-|---|-⌫--|--|
dal esliuintetsilacole	---⌫-|-|---|-|-||----|
etsi quoiementlaparole	-|-|--------||------|
capainesle po teleoir	||-----|-|--⌫|--|--|
c uicaut renarsfistsondesir	-⌫-|---|-----|---|--|----|
damee rrant aperchut e	---|-⌫----|--------⌫|
q ueren arslauoitdec hute	-⌫-|---⌫--||----|---⌫---|
dont m audistleur e	---|-⌫-----||---⌫|
mais renars	---|-----|
la reconfortee	||----------|
et di stq uantille	-|--⌫-|-⌫---|-|-|
uit pleurer	--|------|
mala direetpis	--||---|-|--|
a chel e r	|----⌫-⌫|
quim outestestoutetgaigna rs	--|-⌫--|--|-----|-|------⌫-|
seut leuenuer oinoblon	---|-|----|-⌫-|-----|
ilaprisetma ineenprison	|||---|-|--⌫--|-|-----|
queiluousard er a	--|-|---|---⌫--⌫|
roisnoblesle clef	---|-----|-|---|
garandiret ten ser	-------|-|---⌫--|
l euésuo ussusnauésqu ester	-⌫----|--⌫-|--||----|-|----|
u e rsunep etite pos terne	-⌫-⌫-|--|-⌫----|---⌫----|
toutsanslumie ree t sans lant ern e	---|---|-----⌫-|-⌫|---|----⌫---⌫|
senuont pu islontdesue roillié	|-|---|--⌫-||--|-----⌫-------|
enuait acuer irié	-|---||---|----|
s euleorenartparmile bo s	-⌫---||-----|----|-|--⌫|
nel en a miecuertansos	|--⌫|||--|---|---|-|
c ose demand er	|--|------⌫-|
que l p artuon t	---⌫|-⌫--|---⌫|
etrena rs enso u plusparf ont	-|----⌫-|--|-⌫|---|----⌫--|
dubosl enmaineet le	-|--||-|----|-|-|
de s u oie	--⌫-⌫-⌫--|
quilnetienen tchemin ne uoie	-|-|-|------⌫|-----|-|---|
tantont etsusetiusalé	---|--|-|--|-|--|---|
queforsdu bos	--|---|-|--|
sesontt r ouué	-|---|-⌫-⌫----|
ayy li uesde maupetruis	|-|--⌫--|-|---------|
toutrac on terie	---|---⌫--⌫--|-|
neuous puis	-|---|---|
con mentuint etconm entala	---⌫---|---|-|----⌫--|--|
tant fistren arsquil enmena	---|---|---⌫--|-|-|-|---|
en maupetruisdameharouge	-|---------|---|------|
quidelasseotlefache ro uge	--|-|----|-|-|----|--⌫--|
le portef e rmel e	-|----|-⌫-⌫--|-⌫|
p ontlieue	-⌫--|----|
lirois noblesde	-|---|-----|-|
duel secr ieu e	---|-|--⌫---⌫|
dechequerenar s	-|--|--|-----⌫|
et quel uisnelideffremoit	-|--||--|-|-|---------|
po urchequerenart	--⌫-|--|--|-----|
cuidelirois etdist	----|-|---|-|---|
a h aionmarenartochis	-⌫-⌫-|-|||-----|----|
chelui parcuiestamortmis	-----|--|--|--||---|--|
d iexconf onde encors e te name	-⌫--|----⌫---|-|---|-⌫|-⌫|--|
flamencs ot sicr ie	------|-⌫-|-|--⌫-|
necuit m ie dusq uen halape	-|---|-⌫-|----⌫|-|-----|
ait unh o nmequileua usist	--|-|-⌫-⌫--|--|-|--⌫----|
etcheli r ois bien	-|--|-|-⌫--|---|
yy foi sdist	-|---⌫|---|
tantque uintseurlaubecreuant	------|---|---||---|------|
l irois re to urnea cue r do lant	-⌫|---|--⌫--⌫---||---⌫|--⌫---|
p ourche qu ilne	-⌫--|--|-|-|-|
fustaperchus	---|-------|
neset conmentilestdech us	-|--|------|-|--|----⌫-|
uersorgill eus castelretourne	---|------⌫--|-----|-------|
a cuerd olantachiere mourne	|---|-⌫----||-----|-----|
bienyy iours fu	---|-|----|-|
ens o nost el	-|-⌫-⌫|---⌫-|
q uen luin	-⌫|-|--||
o t ioi enereuel	-⌫|---⌫|-|----|
p arlostel chascuns	-⌫-||----|-------|
enmurmur e	-|------⌫|
queliroisfaitchiere	--|-|---|---|-----|
tandis ren arsse pourpensa	-----|---⌫--|-|--------|
conment de harouge	------|-|------|
car ilenestoits aoulés	--|-|-|-----|-⌫------|
enpluseurssensest pourpensés	-|-------|---|--|----------|
etpourleroi	-|---|-|--|
queildoutoit	--|-|------|
sache conme ntauoit	----|-----⌫-|----|
uerslui our é tant pour pensa	---|--|---⌫-|---|----⌫----|
qu il dis t ca le	-|-|---⌫|||-|
cou rtenira	---⌫-|-|--|
aharougeuin t	|------|---⌫|
etdesc ueu re	-|----⌫---⌫-|
tra isont outeleuure	---⌫---|-⌫---||----|
co nment le dameauoit	--⌫----|-|---|----|
adont fu li dame esbahie	----|-|-|---|------|
illidistfaites	-|-|---|-----|
dechelerseuolé s	-|-----|-|-----⌫|
honneurdont respondi	------|---|-------|
qui de doleu rsoncu ere nfla me	--|-|-----⌫|--|--⌫-|-⌫----⌫-|
renartrenart tu m as ho nn ie	-----|-----|-||-|--⌫--⌫-|
sias faitegr a ntfelon nie	-|-|----|--⌫-⌫-|-----⌫--|
uersle roi e tgrant	---|-|--|-⌫|----|
dontsenuai t	---||-|---⌫|
uersroialroion	---|----|----|
toutsansco ngieprendreemmeli n e	---|---|--⌫---|------|------⌫-⌫|
famerenartd egr an trauine	---|-----|-⌫|--⌫--⌫|-----|
le sie utquantel el eut	-|---⌫-|----|--⌫||--|
dameh arouge	---|-⌫-----|
fist sep lainte	---|-|-⌫-----|
ale damesansrienscheler	|-|---|---|----|-----|
etp u is conmenchaa	-|-⌫-⌫-|--------||
quant da mee m ec heentendi	----|--⌫-|-⌫-⌫|-⌫-|------|
co ngie prentd e lis eparti	--⌫---|----|-⌫|-|-⌫|----|
de courouspresque fours enee	-|------|---|--|-----⌫---|
are nartui nt conmederuee	|--⌫---|--⌫-|----|-----|
siliconmenchehontea	-|-|--------|----||
plusconne uousp orro it	---||-|-|---|-⌫----⌫-|
ren arsses maris	---⌫--|--|----|
tantqu edame em e	------⌫|---|--⌫|
derenart laironsle parler	-|-----|------|-|-----|
de harougeuaur r aiconter	-|------|----⌫-⌫-|-----|
r oialroion	-⌫---|----|
si fist teleescu sa tion	-|---|---|----⌫--⌫---|
gens tousle srapaia	---|---|--⌫|-----|
mais l ueurem outb ien	---||----|-⌫--|-⌫--|
derena r tet le traison	-|----⌫-⌫|-|-|------|
ioiefo nt par	---|--⌫-|--|
roialroi on	----|---⌫-|
etrenars uint acourttous	-|-----|---||----|---|
tout ensemen tqueliclo s	---|-------⌫|--|-|---⌫|
quantli rois	----|-|---|
leuoit silacole	-|---|-||----|
nepo tuen irdune lieuee	-|--⌫|---⌫-||--|-----|
renars abien	-----||---|
lueurechelee	|----|-----|
de luietde haro uge auroi	-|--|-|-|----⌫--|-|--|
ensecre d istau roip ar foi	-|----|-⌫--|-|--|-⌫-|--|
harougeme mistenprison	------|-|---|-|-----|
care lecuida	--|-⌫-|----|
mes prison	---⌫-----|
fa iteeusseauous	--⌫--|----||---|
etquanteleparchutdemi	-|----|--|------|-|-|
conment etpo u rc oiie	------|-|--⌫-⌫|-⌫-|-|
tan to stsire	---⌫--⌫-||--|
mepa rdon n a	-|--⌫----⌫-⌫|
maisele est	---|--|--|
cou rechie	---⌫-----|
p ourch equeaués desploiie	-⌫--|--⌫|--|----|--------|
l ueureet laffairede	|----|-||------|-|
achemotfuli roishonteus	|--|--|-|-|---|------|
lorsatantesle	---|----|-|-|
mesharouge	--|------|
quia t aintduneboist erouge	--|-⌫-⌫---||--|-----⌫|----|
unesle ttres quierent closes	---|--⌫----|--|----|-----|
au ro iles baillam out de	-|--⌫|--|-----|-⌫--|-|
t rouuadeden setyy	-⌫----|-----⌫|-|-|
et trestoutchenemains nep lus	-|-------|--|-|----|-|-⌫--|
queren ar s otditetconté	--|---⌫--⌫|-|--|-|-----|
quen silauoit rena r sro uué	-|--⌫-||----|----⌫-⌫|--⌫---|
a haroug equ ant sen parti	|------⌫|--⌫--||-|----|
et q uantlirois	-|-⌫---|-|---|
cheentendi	--|------|
deioi erenartacola	-|---⌫|-----|----|
etunbonpal e froi donna	-|-|--|---⌫-⌫---|----|
lemesage quien	-|-----|--|-|
leroid echelec ourtoisie	-|--|-⌫|----|-⌫--------|
queliroisfistmaistre r enart	--|-|---|---|------|-⌫----|
deson ostel qui moutsot dart	-|--|----|--|---|--||--|
encorailparlepai s	----||-|--|-|---⌫|
yymilren arsi	-|--|---⌫--||
en suitousfis	-|--|---|--|
sise nfaitmout tresbongar der	-||-⌫|---|---|---|--|---⌫--|
carchascuncon uenraporter	--|------|---⌫----|-----|
sen fa isau iourd ui a renars	--|--⌫-|-|---||-||-----|
de ces t mond ebien	-|---⌫|----⌫|---|
les yy pars	--|-|---|
des l aiesgensetdu	--|-⌫---|---|-|-|
renar sapres toutgaa ign ie ́	-----⌫||---|---|---⌫---⌫--⌫|
don t c est	---⌫||--|
doleu rset gr an s	-----⌫-|-|--⌫--⌫|
que denouse strenarsa més	--|-|---|-⌫-|-----|-⌫---|
con ne seseten cui	|-|-|-|--|-|--|
toutuue l en tde	---|---⌫-⌫--⌫|-|
renart ouurer	-----|-----|
renars e stsi	-----|-⌫-|-|
plu sgrant	---⌫|----|
sontlipluscou rt	---|-|---|---⌫-|
deuertus licont e et liroi	-|-----|-|----⌫|-|-|--|
pres toutdecesteloi	---|---|-|----|--|
car renarses taleur consaus	--|-----|--⌫||---|------|
dont poien iauradesa us	---|--|-||---|-|--⌫-|
sesonsaintc onsei l	-|--|----|-⌫-----⌫|
quentre nou sdescendi des ch ieux	-|----|---⌫|-------|--|--⌫---|
esflansaleuierge	-|----||-|-----|
pou r amour lumaine lignie	---⌫|----||-----|-----|
morut lidoussires	----|-|---|----|
quiertdiex hometseur to usrois	--|--|---|--|-|---|--⌫-|---|
moutdeuonscheseg neuramer	---|-----|--|---⌫---|---|
samourrenartbouter	|----|-----|-----|
ensusde nous	----|-|---|
diexlenous doinst	---|-|---|-----|
et tousnospechi esnous pardoinst	-|---|--|-----⌫-|---|--------|
orreueno n s	-|------⌫-⌫|
aur oi noblo n	-|-⌫-|-----⌫|
arenartle rousa fai tdon	|-----|-|---||---⌫|--|
d es tresigneurde sesco nsaus	|--⌫--|------|-|--|--⌫----|
etsafaitqu iler tsene scau s	-|||---|-|-|--⌫|----⌫----⌫|
de s e terreet de son	-|-⌫|----|-|-|--|
de seterreenfistrech eue ur	-|-|----|-|---|----⌫---⌫-|
gra ntbailli euet det ous signeur	---⌫-|------⌫-|-|-|-⌫--|------|
deso nostele t	-|--⌫|----|-⌫|
de sonregne	-|--|----|
entous gransosteus r enarsregne	-|---|----|-----|-⌫----|----|
auio urduidont cest g r a ns doleurs	-|--⌫-||-|---||--|-⌫-⌫-⌫-|------|
quilregneen coursde	-|-|----|-|----|-|
granssigneurs	----|-------|
roisnobl es renart apela	---|----⌫-|-----|----|
e naudienc he ditli a	-⌫|-------⌫-|--|-||
quil uaurraalepentecous te	-|-|-----||-|---------⌫-|
tenirgrantcourt conmentquilcouste	----|----|----|--------|-|-----|
etuaurracouronne por t er	-|-----|-------|---⌫-⌫-|
etgrandesimes dons donner	-|----------|---|-----|
tantalapu islicoseetu in t	---|--|--⌫-|-|---|-|-⌫--⌫|
quei oursde pentecouste uint	--|-⌫---|-|----------|---|
maint princhedetres	----|------|-|---|
g ran tualour	-⌫---⌫|-----|
ueissiés etmaintgra ntsign our	--------|-|----|---⌫-|----⌫--|
alecourtui nrentcointement	|-|----|--⌫----|---------|
a inc maisa cou rt n ot sigrantgent	-⌫--|---||---⌫-||-|-|----|---|
caryylieuese nuiron	--|-|-----|-⌫-----|
ne ue istonse best es non	-|--⌫--|-|-|----⌫-|--|
uon tau moustier ourer	---⌫|-|-------|----|
sisefis t l iroiscour onner	-|-|---⌫|-⌫|---|----⌫----|
et sefame aussi auoe clu i	-|-|---|----|----⌫|--⌫|
ie ne uousauroie dit hui	-|-|---|-----|--|--|
leioie nele grantr iqueche	-|---|-|-|----|-⌫------|
quildemaine ntenlen obleche	-|-|-------⌫-|-|-|-⌫------|
leg ra ntm esse co uuin tcanter	-|-⌫--⌫-|-⌫---|--⌫----⌫|-----|
cheio urlar cheprestretymer	--|--⌫-||--⌫---------|----|
r oisnoblesr enart apela	-⌫--|-----|-⌫----|----|
enaudienche	-|--------|
quantonu aapourcession	----|-|-⌫||----------|
lespeeroial	|----|----|
de dieusont	-|---|---|
po rtedeuantlui	--⌫--|-----|--|
toute nueache	----|--||--|
hautiourdu i	---|---||-⌫|
e n seignequ il e st	-⌫|-----|-|-|-⌫-|
iustichiers	----------|
ius tesdesto rsfaisdroituriers	---⌫--|--|--⌫-|---|----------|
de sainteglise	-|-----|----|
renars tel seruiche mout prise	-----|--|-------|---|----|
quile n renta	-|-|-⌫|---||
genou s flechis	-----⌫|------|
au roinob le yycen smerchis	-|--|---⌫-|-|---⌫|------|
ap res messesontretourné	--⌫--|----|---|--------|
oupalais ouot	-|-----|-|-|
po ur assir y yes cueles	--⌫-|----|-⌫|--⌫-----|
ch i l menestr el sonn entuieles	--⌫-⌫|-------⌫-|----⌫--|-----|
trompes etc orssarrazi nois	------|-|-⌫--|-------⌫---|
li rois sassistau plus	-|---||-----|-|---|
ha utdo i s	--⌫-|--⌫-⌫|
entourlisis e ntmaint	-----|-|---⌫-⌫-|----|
etm ai ntprinc hedegran trenon	-|-⌫--⌫-|-----⌫-|-|----⌫|----|
anchoisque chascu nsfustassis	---------|------⌫-|---|----|
leuaparlesal e unsgrans	---|--|-|---⌫|--|----|
car belinsli moutons	--|-----|-|------|
germetese fille	------|-|----|
a uoitysengri n s et mourdrie	-⌫---|-------⌫-⌫|-|-------|
fist grantcrierie	---|----|------|
belinelifameau	-----|-|---|-|
enuaitbelantpar	-|---|-----|--|
l ema ison	-⌫|--⌫---|
atantescanteclerle	----|-|--------|-|
cauroienuint	|-|--|-|---|
criant coc coc	-----|--|--|
etsidisoi tue n gan cherois	-|-|-----⌫|--⌫-⌫---⌫--|---|
deduele stmes cuerssi	-|---|-⌫-|--|----|-|
dehubertqu	-|-----|-|
es tler e sprouués	--⌫|---⌫-⌫|-------|
quitous mespou c hinsatués	--|---|--|---⌫-⌫---||----|
