des criteau ons la	---⌫----|--⌫--|-|
quartide enmarzentrantd idisme	----|--|-|---|------|-⌫|----|
regnant fouqeilempereour	------|-----||--------|
elseco ndandesone nou r	-|----⌫-|-|-|--|-⌫---⌫|
sifut sisseintcors enterrez	-|--|--|----|---|-------|
tost a presq ilert	---|-⌫---||-|--|
enz en ligli se deseint piere	--|-||----⌫-|-|----|----|
alforein porcheizqui ere	-|-----|-------|--|--|
deuantluuielsac raire	-----|-|---|---⌫----|
ou plusorsco rsse inz	-|------|--⌫-|--⌫--|
f urent m is	-⌫----|-⌫-|
meismementlipapes leons	---------|-|----|----|
quitantertbons	--|---|--|---|
cl ers eseinzons	--⌫--||----|--|
simachedanz	-----||---|
etlisimple ss implicius	-|-|------⌫|-⌫--------|
qu i tozfuren t	--⌫|--|-----⌫|
p ap essacrez	-⌫--⌫-|-----|
odcesfu tgregoireenterrez	-|--|--⌫|-------|-------|
dignement odmolt grant enor	--------|-|---|----|---|
sotsisepitaphesla flor	|-|--|--------|-|---|
detre stotesles	-|---⌫-----|--|
escritures	---------|
escr it essuslessepult ur es	----⌫--⌫-|--|--|------⌫--⌫-|
cartals estdellat i nlititre	--|---|--|--|---⌫-⌫|-|----|
copoetentendre asezli	-|---|-------|---|-|
qui de s uslatombe estescrit	--|--⌫-⌫-|-|----|--|-----|
comlasiuante	--|-|------|
cis tepitafe	---⌫|------|
ensomla pier e	----|-|----⌫|
escritere itous is corsie re	-----|---⌫-|-|-⌫-|---|--⌫-|
fo urmezalettr edo rburnie	--⌫----||-----⌫||-⌫|-----|
esache ztotero mani e	|-----⌫|---|--⌫----⌫|
s e napercuttost enapres	|-⌫|------|---|-|----|
quelsertl i dolorousdeces	----|--|-⌫|-------|----|
d elpatronq	-⌫-|-----||
eleaueitperd u	--|----|----⌫|
carta ntostquantlifuttolu	--|--⌫----|----|-|--|---|
ne demourafor smoltbrefment	-|------|---⌫|---|-------|
quan t l anmeismes ou dem ent	----⌫||-|-----|-⌫--⌫---⌫--|
s orui n teinsi	-⌫----⌫-⌫|----|
qelagentmetoit am ourine	-|-|---|-----||-⌫-----|
sanznombrea	---|-----||
s itresgr an tdolour	-⌫|---|--⌫--⌫|-----|
qedelretrair eenai	-|--|-------⌫|-|-|
mais on qesue irementportant	---|--⌫--|--⌫------|--|---|
ertlama lice	--|-|--⌫---|
nelreqeno istr e n t lienui ous	-||------⌫----⌫-⌫-⌫|-|----⌫--|
a in caisdistre nttotest rous	-⌫--⌫---|------⌫-|--|---⌫---|
qegregoir es	-|-------⌫-|
ereitb oulieres	----|-⌫-------|
del co mmun tre sor destruieres	--|--⌫---|---⌫--|----------|
porqoemdutquanqil	---|--|--|----|-|
fist desfaire	---|-------|
eporcolorsli	|--|-|---|-|
q uantasoncorsne porentnuire	-⌫---||--|---|-|-----|----|
sesoeures prist rent ade str u ire	--|-----|-----⌫---||--⌫---⌫-⌫--|
iam olz de sesescriz	-|-⌫--|-|--|-----|
ars e destruize parhouniz	--||-------||--------|
quan t liain zdit diacre	----⌫|-|---⌫|--|-----|
quitantfam ilierluier e	--|---|---⌫----|-|---⌫|
ludi alogeain zdit	-|--⌫----|---⌫|--|
e ndesputant	-⌫|--------|
mistenescri t	---|-|-----⌫|
arestutatotso npoeir	------||--|--⌫|----|
esil ordist itant porueir	|-|-⌫-|---|----|--|---|
sent remis tre ntdenaient	|---⌫-----⌫---⌫-|-|-----|
car seussentis	--|-------|-|
qeiapo r ardeirs es	-|-|--⌫|-----|-⌫-|
meinsne s ereitsi snomscheri z	----|-|-⌫----|--⌫|---|-----⌫|
ne safame plusabatue	-|-|---|---|-----|
nesa memoiremeins tenue	-|-|------|----|----|
cartantpareroientsemez	--|---|--|------|----|
enessemp lairesrecitez	-|------⌫-----|------|
mundel oinge pres	----|-⌫---||---|
q e parnuleauen tur e me s	-⌫|--|---|----⌫---⌫|--⌫|
neseroie ntparabatuz	-|------⌫-|--------|
tantpare rentpartotqenuz	---|--|-⌫---|--|--|----|
daut repar todcolordiseit	|---⌫-|---⌫|-|-|--|-----|
qe ueirementmolt parse reit	-|--------|---|--|--⌫---|
icelelortresgrant enuie	----|--|---|----|----|
tenuea grant forsenerie	----||----|---------|
car g ra ntsacri legefeso ien t	--|-⌫--⌫-|-----⌫---|----⌫---⌫|
e telsescr i za rdoient	|---|----⌫-⌫|-⌫------|
lesq uelscil	--|-⌫---|--|
fist nomeement	---|--------|
sorluqu ichiefpersonaument	--|-|--⌫|----|-----------|
souentuit seint esp irtditant	-----|--|----|---⌫--|-----|
en semblanceduncoulonblanc	-|--------||-|-----|----|
q uiluiespirot emoustra	-⌫-|--|------||------|
quanq ilescrit eenseigna	----|-|-----||-------|
d icest tesmoin eer t	|----|-------⌫|--⌫|
li poep le quantl	-|----⌫-|----||
entant qe lesdizenuious	-|---|-|--|--|------|
c ontredis trenttot a estr ous	-⌫--------⌫----|--||----⌫--|
aconten z as	|------⌫|-|
es pee st raire	--⌫---⌫|-⌫----|
meimementporleditlibr aire	--------|--|-|--|----⌫---|
q uim is futadestruction	-⌫-|-⌫-|--||----------|
d oml or sparces teoccasion	-⌫-|-⌫--⌫|--|---⌫-|-------|
d anzp ierrel i diacrea inzdit	-⌫--|-⌫----|-⌫|-----|-⌫--|--|
tre stot lorconten z de p artit	---⌫---|--|------⌫|--⌫-⌫----|
e d istseingnorsm i frere	|-⌫--|--------|-⌫|----|
deuostrecont enz n	-|-----|----⌫--||
estmestier	--|------|
carsachezbien ueraiment	--|-----|---|--------|
p restsuiapro ueir	-⌫---|--||---⌫---|
er raument	--⌫------|
sanz delai	---|----|
esanznul respit	|---|--|-----|
quanqei aide	-----||-|-|
gregoiredit	-------|--|
sourseintes r eliqes iurrai	---|------|-⌫-----|-----|
demamein de streesimettra i	-|-|---|--⌫---||-|------⌫|
engagepareinsi	-|---|--|----|
eitdemalmemerci	--|-||---|----|
qecistapost oilesg regoi re	-|---|-----⌫----|-⌫-----⌫-|
deitestrede seintem emoire	---|----|-|-----|-⌫-----|
eentre lessei n z anu mb rez	|----|--|---⌫-⌫|---⌫--⌫--|
comcil qui dignesest prouez	--|--|--|-----|--|-----|
delacelestrecompaing nie	-|-|-------|--------⌫--|
iliaregneenlauie	-|-|----|-|-|--|
qui mesnefi niranul ior	--|--|-|--⌫---|--|--|
ascie ls od nost rec reat or	-|---⌫-|-|----⌫-|-⌫----⌫-|
e si iurraini sensement	|-|-----|--⌫|-------|
por se s e scrizdemeinem ent	--|--⌫|-⌫----|--------⌫--|
de iuentestreautor izez	--⌫----|----|-----⌫---|
partotlumont delonc en lez	--|--|-|---|-|---|-|--|
quisontseinzepar fiz	--|---|----||---⌫--|
enditezdel s e i nt	------|--|-⌫-⌫-⌫-|
pe rsonaumentmesoilz	--⌫---------|--|---|
senert itelslicouenanz	|-|--|----|-|-------|
ensomcolu queluos ferai	----|-|-|---|--|----|
en cele oure quantaurai	-|---|---|----|----|
luserrementparacompli	-|--------|---------|
auie ntparauen ture	----⌫-|--|----⌫---|
qeio mem oereenzenlaplace	-|-|-|-⌫---|--|-|-|----|
euostan tost	|--|---⌫---|
sanzplusdespace	---|---||-----|
cess erezdesliure sa rdeir	----⌫---|--|-----⌫|-⌫----|
si crer rez co q aiditporueir	-|----⌫--|-||-|--|--|---|
e siio soieuifs	|-|-|---|---|
apreslu sacre mentiuré	----|-|-----⌫---|----|
itantuos pramet	----|--|-----|
leiaumen t	--------⌫|
sor meismelusa crement	--|-----|-|--⌫------|
qeiom eismea	-|-|-⌫----||
uosaidrai desliuresardeir	--|-----|--|-----|-----|
se nseraipr inc ipal	|-⌫|----|--⌫---⌫---|
san z mal engeines anzpoor	---⌫|--|-----||-⌫--|---|
ardeirdemapropremain	-----|-|-|-----|---|
mais ueirementtotsui certa in	---|--------|--|--|-----⌫-|
esegu rsicomde lamort	|----⌫|-|--|-|-|---|
n emeferaialu tort	-⌫|-|---|-|-|---|
qenlaconfessionueraie	|-|-|---------|-----|
de sonnom asei	-|--|--||--|
aceste sentenceassent oient	|----|-------|------⌫----|
trestozcil	------|--|
quipresenzeroient	--|------|------|
iourese uiezpetiz	-----||---|----|
tantos t trestoz oanz	------⌫|------|---|
iurotsanzm ale arte	----|---|-⌫--|--||
sanz gu ile	---|--⌫--|
sor lu sienttexstde l	--|-|----|----|-||
trestot lesacrem enta inz	------|-|------⌫--|-⌫--|
u os ai descrit	-⌫-|-|------|
uoizapertem ent	---|-------⌫--|
mais itant uosdiuei r emen t	---|----|--|-|---⌫-⌫----⌫|
qapert miracle i ertmo st r é	|----|------||--|--⌫--⌫-⌫-|
qar oncp lust ostnelotiuré	--|--|-⌫--|-⌫--|-||-|----|
qu antue ianztozlespirtrendit	--⌫--|--⌫---|--||-----|-----|
si qoncdelamor t	-||--|-|-|---⌫|
nes ent i t	-|-⌫---⌫-⌫|
p einenang oisse	-⌫---||---⌫----|
domlorspa r utueir con fessor	--|---|--⌫-⌫-|---|---⌫-----|
eueirte smoinedeueirte	|---|--⌫-----|-|-----|
e sifut tant osten ter ré	|-|--|----⌫--|--⌫---⌫--|
enze nmeisme icelepl ace	--|-⌫|-----|----|--⌫--|
sen ipe rto nqoro rsl atrace	|-||--⌫-|-⌫-----⌫-|-⌫|----|
des on s epulcreo uiliura	-|-⌫-|-⌫------|-⌫|-|---|
p roe fde la	-⌫---⌫|-|-|
basse ouilpoia	----|-|-|---|
lesdegr e zal	--|----⌫-⌫|-|
sermentiure r	------|----⌫|
por cesttes mo ine	--|---|---⌫--⌫--|
conf ermer	----⌫----|
seutomdepeindreparcosto me	---|-|--------|--|-----⌫-|
pa rtote lacitederome	--⌫|---|-|---|-|---|
uncolumseintespirtnot ant	-|----|----|-----|---⌫--|
pa rd esusgregoire escriuant	--⌫|-⌫---|-------|--------|
por coqe lisiente sperit	--|-|-|-|----|-⌫-----|
lu esp irotquanqiles cr it	-|---⌫---|----|-|--⌫--⌫-|
s ache z p oritant fut perie	-⌫----⌫|-⌫-|----|--|----|
desli u res l a maire	--|--⌫-⌫--|-⌫|----|
c ar par larson fure ntperd uz	-⌫-|--||----|----⌫-|----⌫-|
q o mneseit q is sontdeuenuz	|-⌫|-|---||-|---|------|
neporquantlasommeen	---------|-|----|-|
en unescrit ounostrouons	-|-|-----|-|--|------|
qilmeismeescritai ohan	|-|-----|-----||-⌫---|
sonsozdeacr er au ennan	--|--------⌫|-⌫--⌫----|
care n icelliureest troué	--|-⌫|---|----|--|-----|
qunsis de cipl eendoctriné	|-|--|--⌫----⌫|----------|
quiape lez	--|---⌫--|
ert cl audion	--|--⌫-----|
lespr ouerbesdesalemon	--|--⌫------|-|------|
le sprophetese lu x xx	--⌫|--------||-|-⌫-|
les e pistre sca noniaus	--|-⌫------⌫|--⌫------|
parordr elessetprincipaus	--|----⌫|--|--|---------|
parsonsenotmisene scrit	--|--|--|-|--|-|-⌫----|
sico m il delui lesoit	-|--⌫|-|-|--|--|--|
mais ueireme nt	---|-------⌫-|
apresla rson	----||-⌫---|
sisfusse ntrecoure z ounon	|-|-----⌫-|-------⌫|-|--|
n eseitom pas certeinement	-⌫|---|-|--|-----------|
mais ceusqi sont presentement	---|---|-|---|-----------|
e nse intei glis e plususez	-⌫|--⌫---|-⌫----⌫|---|---|
partotlumond auctorizez	--|--|-|---|---------|
nom ez sonte ns oneu esc al	---⌫-|---|-⌫|-⌫-|--⌫---⌫-|
lidialogeelixxx	-|------||-|--|
lezechiellesomeli es	|-------|--|-----⌫-|
lipastorals	-|--------|
esquelz nozuies	-|----|--|---|
mireorsmirons	------|-----|
si seinementles e nte ndons	-|--------|--|-⌫---⌫----|
autresescrizrefistasez	-----|-----|-----|---|
quion cpuesne	--|--⌫|---|-|
f urent trouez	-⌫----|-----|
carparlarsonfuren t perduz	--|--||----|-----⌫|-----|
ain ceisqe ceusfussent seuz	---⌫-----|---|------|---|
seingnorsicifini stla ui e	--------|--|----⌫-|-|--⌫|
q uii ane n e rtel	-⌫-|-⌫|-||-⌫-|-|
c ielfinie	-⌫--|----|
delpapegloriousgregoire	--|---|-------|-------|
orpreionsdeu qea l agloire	-|------|--|-||-⌫|-----|
ou ilensemble od lu i ha bite	-|-|-------|-|--⌫|--⌫---|
uenirparsa merite	----|--|-|-----|
