SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
Dolanze stdesF rançois	-----|-⌫-|--|-⌫-------|
quea uant ierpr éites	--|-⌫---|--|--⌫-----|
Qua ntuosnesauez	---⌫-|--|--|---|
fa izdetrenchieretocire	--⌫-|----------|-|----|
-Filedit lamiraus	|---|--||------|
nesan esmaoitmie	-||-|------|--|
L emat in parson	-⌫|---⌫-|--|--|
lau bea niertfa ite iot ise.	|--⌫-|-⌫|---|--⌫--|---⌫--||
Maderam uosdonraicecheu ali ernobil e .	------|--|-----|-|----⌫---⌫-|-----⌫||
dit la pucelleien e uosan quiermie	--|-|------|-|-⌫|--|-|----|--|
Ilestf au s	-|--|-⌫--⌫|
crestïenssiaisa	---------|-|-|-|
loi guerpie.	--|------||
Qua ntlantantlamira us	---⌫-||-----||-----⌫-|
àpou n anragedire	-|--||-----||--|
Porfoimauleg uiscartemarlecontredéi tes.	--|--|----|-⌫-------|--|-|----------⌫--||
Parforcela nmenaianlaMahonmerie	--|----||-⌫-----|-|-|---------|
M adera nzlesposai à laloipaienie	-⌫-----⌫-||------|-|-|--|------|
Lai d esuisoup alais an son lesn oces riches.	--|-⌫----|-|-⌫----|-|--|--|-⌫---|-----||
Qu ant ceuit Maugalie àpoun anraiged ire	--⌫--|-|--|-------|-|--||------||--|
Ele mand eRichier	--|----⌫|------|
ansa abergerie.	-|-|--------||
Richiersiestuenu zuersla iantiz	-------||--|----⌫|---|-|-----|
Lapucell ele uoitsi lic omm anc eà	-|------⌫|-|---|-|-|-⌫---⌫---⌫|-|
Sornepansez Richiers fr anscheualiernobiles	|-|-|-----|-------|--⌫--|--------|------|
Desia ntis	--|--⌫---|
cheualiersqu ianlachartregisen t	---------|--⌫|-|-|------|-----⌫|
Lematinparson laubeaniert	-|----|--|--||---|-|---|
faiteiotise .	----|-----||
Lamirausmaido néeMaudar a n cetr aïte	|------||-|--⌫---|------⌫-⌫|-|--⌫----|
Orandroitmesposai anlaMahonmerie.	--------||------|-|-|---------||
Omoiuodrai	|--|-----|
gesiranque nuitbausdouzs ire	----|-----⌫---|---|---|-⌫--|
Por Deupansezantotfransc heualier nobil es.	--|--|-----|-|--|----|-⌫-------|-----⌫-||
-Da mecedit R ichiersneuosesmaiez	|--⌫-|-|--|-⌫------|-|--|------|
panseraimoutb ie n s elon laDeuaïe.	-------|---|-⌫--⌫|-⌫---|-|--|---||
Il cerchelesauberzleselmes d ePauie	-|-----|--|-----|--|----|-⌫|----|
AsFrançois lesbailaiquia n la	-|--------|--|-----|--|-⌫|-|
cha rtre gisent	---⌫---|-----|
Puis faitcrier l e	---|---|----|-⌫|
bancportresto telauile	---|--|------⌫-|-|---|
co mmandéli am iraus m essires	--⌫------|-|--⌫----|-⌫-|----|
Li cheuausquiert bonsquicorai	-|------|--|--|---|--|----|
à deliure	-|------|
Lamiraus de	|------|-|
Persie liandonra i. C.liures.	-----|-|-|-----⌫||||-----||
L esp luspri s iez cheuaus detrestotela	-⌫-|-⌫--|---⌫-⌫--|------|-|-------|-|
am ener . XXX.de	--⌫---||--||-|
desozuneoliue	----|--|----|
. pe rr onde mabrepor le s	|--⌫--⌫-|-|----|--|--⌫|
reneslestine nt	----|--|----⌫-|
Iaimonte ront	--|-----⌫---|
Françoisquian	--------|--|-|
lacha rtre gisent.	-|---⌫---|-----||
I luetentles au berzsiont	-⌫|-----|--|--⌫---|-|--|
lesarm es prises	--|---⌫-|-----|
Alor cou s l ore scu zfors de	|--|---⌫|-⌫-|-⌫---⌫|---|-|
l a chartreise nt .	-⌫|------|---⌫-||
s ont b iensaigniezde	-⌫--|-⌫--|-------|-|
Deuloufiz Ma r ie	--|--|--|--⌫-⌫-|
De ciqueàlachanbre	-|-|--|-|-|------|
necessen nenefinent	-|-----|-|-|-----|
Puisisentde lachanbreanzoupalai san	---|----|-|-|------|--|-|-----⌫|-|
Au meng ierse sao ient	-|----⌫--|-|---⌫---|
celleiantpaanie	----|---|-----|
Ilaur ontiai.I.	-|---⌫--|--||||
mes demoultfroi d e c usine.	--|-|----|----⌫-⌫|-⌫----||
Ioceranzua iauanttint l espée forbie	-------|--⌫|----|---||-----|-----|
S ian f ie rtIos u éleroide Piscenie	-⌫|-|-⌫--⌫-|---⌫-⌫-|-|--|-|-------|
Quetotlaiporfa ndu a ntrecique àloïe	--|--||-|-----⌫--|-⌫--------|-||---|
EtGui nem anzse s fizfierleroi deRos ie	-|---⌫---⌫--|--⌫|--|---|-|--|-|---⌫-|
Quilitrainchepar	-|-||-------|--|
mideci anla	-|-|-|-|-|
.I Itronconsenai faitanlesaule	|-⌫|-------|-|-|---|-|-|----|
E tAnm arrizd e	-⌫|---⌫----|-⌫|
Ch artres. I	--⌫-----|||
deHongri e	-|------⌫|
EtsesfreresMoranzGuimer deTabarie	-|--|-----|-----|-----|-|------|
Morzleso nta ba tuz	---|--|-⌫-|-⌫--⌫--|
poit nequiri e .	---|-|--|--⌫||
Angeliers fi ertPinel	--------|--⌫--|----|
testee naprise	----|-⌫||----|
EtRicharz liNormanz.I.	-|------|-|------||||
Quemo r tl aiabatu uéantp lusde.	--|--⌫-⌫||-|----|-----|-⌫--|-||
Flooua nsuient	------⌫-|----|
lachiere ardie	-|-----|----|
La ioù uitMaud aram sili commanceà	--⌫|--|--|----⌫---|-|-|-------|-|
Fizàputaincuuerzieuos	--|-|-----|-----|-|--|
chal o nsma uie.	----⌫-⌫-|-|--||
Te lcopliai donéde lespée forb ie	--⌫|--|-|-|----|-||-----|----⌫-|
Qu i litrenchele corsettote la	--⌫|-|------|-|---|-|---|-|
es flanz li ailespée	-|----|-|-||-----|
Et Richiers uint a prèsne sesséuremie	-|-------|---|-⌫----|-||-------|--|
Siaif eriMaudoi requela	-|-|-⌫--|------⌫-|--|-|
testean ai prise	----|-|-|----|
Françoiscrient Mon ioietrest o tàunehuie.	--------|-----|---⌫---|-----⌫-⌫|-|--|---||
Li amira us san futàpoure compenie	-|-----⌫-||-|--|-|----|-------|
Etsa gant d	-|-|---||
autreparttot lou palaiguerpisent.	----|---|--|--|----|---------||
Et Françoislesancha ucent	-|--------|--|-----⌫----|
es espéesforbies	-|------|------|
isirdoup alais grantdonma igelor	---|--|-⌫----|----|-----⌫--|--|
Plus de. C. Sarazi nslestes tes iperdirent	---|-||||------⌫-|--|---⌫--||--------|
auoitcosne fu t ou roisouduxoup rince s	----|--|-|--⌫|-|---|-|--|-|-⌫-----⌫|
Ahont e gisent morzsusoupalais	|----⌫|-----|---|--|-|-----|
re mestlabale Ma ugalie	--⌫---|-|---|--⌫-----|
OùquesR ichierslauitd itli	--|---|-⌫------|-|--|-⌫-|-|
porco rtoisie	--|--⌫------|
Damece dit Richiers uo sn i	---|-|--|-------|--⌫|||
remendroizmi e .	---------|--⌫||
prist por loupoinansanble	----|--|--|---|-------|
Et uien entaus cheuau sde	-|----⌫--|--|------⌫|-|
desouzles oliues	-----|--|-----|
Que Sa razinstenoi ent	--|--⌫-----|-----⌫--|
ile ques à	---⌫---|-|
Quilescudo i ent uandre	--|--|----⌫-⌫--|-----|
lamiraul dePersie.	|------|-|-----||
Ch acu nsai prislesuendescheualiersn o biles	--⌫---⌫-|-|---|-|---|--|---------|-⌫-⌫----|
S usmontentesdestri ezn i demorerentmie	-⌫-|------|-|------⌫-|||---------|--|
Sustotl epluxinel	--|--|-⌫|---|---|
monterentMaugalie.	--------|-------||
Por f orce	--|-⌫---|
s antor n er ent et	|-|---⌫-⌫--⌫--|-|
isentdelauile	----|-|-|---|
l ai g ued ou	|--⌫-⌫-|-⌫-|
R inn ec essentne nefine nt	-⌫-|-⌫|-⌫-----|-|-|----⌫-|
Et passerentl ou p ontde	-|--------|-⌫-|-⌫--|-|
lautrepar se tidrent	|----|--|-|------|
Pui s depiecentlou pon tetles planch es an lieuet	---⌫|--------|--|---⌫|-|--|------⌫-|-|-----|
Si les laisentfloterpor desusla	-|--|------|-----|--|----|-|
Dro i temant uers Beaufortont	---⌫-⌫-----|---|-------|--|
loruoieacolie	--|---|-----|
condueDex lif izSaingteMairie	-----|--|-|-⌫-|------|-----|
ORsanuont nos Franc ̧oistot	-||-|---|--|-----⌫---|--|
louferréche m in	--|-----|---⌫-⌫-|
S anpo rtent Maugalieaugantcorsesc heui.	|----⌫----|-------|-|---|---|---⌫---||
Atantui n t l amir ausàtot .M	----|--⌫-⌫||----⌫--|-|--|||
.Sar azins	|---⌫----|
Etse u uoitnos	-|--⌫-⌫---|--|
Franc ̧ois l ic uuersde p ut lin.	-----⌫---|-⌫|-⌫----|-|-⌫-|--||
Ata nte uos.I.ro iCorpion	---⌫-||--||||--⌫|------|
deuau g r is	-|---⌫-⌫-⌫-|
Il uint àlamiraulsi lai	-|---|-||------|-||-|
Am irausdePersiemo ut	--⌫----|-|-----|--⌫-|
po r es te shoniz	--⌫|--⌫--⌫|----|
Orsanu on t	-||-|-⌫--⌫|
liFrançois ioiant etesba udiz	-|--------|-----|-|----⌫---|
Sia npo rtenttaf ile	-|-⌫---⌫----|-|-⌫--|
Maugalieaufi eruis .	-------|-|--⌫-|--||
Carme faites	--|-|-----|
loudon aparesresian tiz	--|--|--------|---⌫--|
Puis oci raiFrançoi sà	---|---⌫--|--------⌫|-|
monespée fo r bi.	--|-----|--⌫-⌫-||
Et respontlam iraus Mo utpo r auezbien dit	-|------||--⌫----|--⌫-|--⌫|---|---|--|
Ieuos an fazledon	-|--|-|--|-|--|
masqueFransoisso intpris.	--|--|-------|--⌫--|---||
lirespondiSire u ostremerci .	-|-------|---|-⌫----|----||
Lo rsb roiche lec heuauldesperonsmar sis	--⌫-|-⌫-----|-|-⌫-----|--------|---⌫--|
Et trespase	-|-------|
lesterr eslesua uzetles	--|----⌫-|--|--⌫-|-|--|
Au m onte rdune angardenosF rançois	-|-⌫----⌫||--|------|--|-⌫-------|
Hauteman tlorescr ieNa nirez mie a nsi	--------⌫|--|----⌫-||-⌫|---|--|-⌫--|
Çai lair ezuosla filea ̀l amiraul	---|----⌫-|--|-|---|-⌫||------|
auezenble ́ene laporezgari r.	---|-----⌫-|-|-|----|----⌫||
Nosne loumetr ons mie	--|-|--|----⌫--|--|
an lachartreg esir	-|-|------|-⌫---|
Ainzuosferon stoz pandreetdetrair eàrr onci ns.	---|--|-----⌫|--|-----|-|-------⌫|-|--⌫----⌫-||
Quant Richiersl an tandineleprise	----|-------||--⌫----|-|-|----|
Illiaitrestourne ́ledestrié	-|-|-|----------⌫|-|-------|
uetfe rirlepaiendesoz so n e scubis	--|--⌫--|-|----|----|--⌫|-⌫--|--|
Desozlabocleà	----|-|----|-|
orliai fr a it e tmaumi s	-|-|-|--⌫-⌫-|-⌫|-----⌫|
Etle haubert dou dosde rotet dessa r tis	-|-|------|--|--|--⌫--|-|-----⌫-⌫--|
Oucors li mistle f erd e sonespi é	-|---|-|---|-|-⌫-|-⌫|--|----⌫-|
Tantc omhant elidure	---|-⌫-|----⌫|-|---|
lab atm ortestordi	|--⌫-|-⌫--|------|
pris le cheuaulporlesrenesd	---|-|------|--|--|----||
uenuze stàson pe re	----|-⌫-|-|--|--⌫-|
sil aià rai s o nmis	-||-|-|---⌫-⌫-⌫|--|
Pre ne zcelboncheuaulsire peresfait	---⌫--⌫|--|--|------|---|----|---|
mia udre s dou uostreielesa	---⌫----⌫|--|-----|-|-|-|
bi endefi.	--⌫-|-|-||
uosreue nezdeR o mesiestespenanaz	--|----⌫--|-|-⌫-⌫-|-|----|------|
Cistuo sauraimestie r	---|--⌫|----|------⌫|
sor m onmai treàParis	--|-⌫-|---⌫--|-|----|
cort Cloouisle	---|------|-|
roide Sain	--|-|---|
-Richiers ditIocera nzde D eu.	|-------|--|------⌫-|-|-⌫-||
L ors estmontezoufr oi s	-⌫--|--|-----|-|--⌫--⌫|
et laiseles lantiz .	-|----||--⌫-----||
ORsanu ontnozFrançoist otle cou té	-||-|-⌫--|--|--------|-⌫-|-|---⌫--|
Maugalier e ga rde laco urt oise	-------|-⌫-⌫--⌫--|-|--⌫---⌫---|
Etuoit ue nirpaienslapute iantauerse.	-|---|--⌫--|-----|-|---|---|-----||
Oùque uoit Floouantb elementl	--|--|---|-------|-⌫------||
ConsoiliezmoibiausireporDeu le	---------|--|---|---|--|--|-|
ro i celest r e	--⌫|------⌫-⌫|
Ie u oiuenirp aiens p lusde	-|-⌫-|----|-⌫----|-⌫--|-|
.X Xm.aselmes.	|-⌫-||-|----||
Lont sumes de Ba uforts isumes	---|----|-|--⌫----|-⌫|----|
M out presnosuonts uua ntlapute gant	-⌫--|---|--|---|-⌫---⌫-|-|---|---|
Bie n sai quesanb ataileaulerne	---⌫|--|--|--|-⌫-----|----|-|
p ouonsgaires	-⌫----|-----|
Semes p eresmeti entilmetodra l a teste	-|--|-⌫---|-|--⌫--|-|-|----|-⌫|----|
Ien e sar aifoïr	-|-⌫|---⌫-|----|
las equeporai fare	---⌫|--|----|---|
suiporpanse ́ed	--|--------⌫-||
u ne aua n t urebelle	-⌫-|---⌫-⌫-⌫--|----|
Iaaiiciundrasenma	-|-|--|-|---|-|-|
mange se nestre	----|--⌫-----|
Trestoz taliez àlazàRichierdurentestre	------|-----|-|--|-|------|-----|----|
Iel esue tiraiiai frans ch eu aliersone stes	-|-⌫-|--⌫----|--|----|--⌫--⌫-----|---⌫---|
Etp ui s simonte rai	-|-⌫--⌫|-|-----⌫--|
à droit en	-|----|-|
c estesale .	-⌫---|---||
Et respontFloouanz	-|------|-------|
Pansez a ndamo isele	-----|-⌫|----⌫----|
Si uos metrons	-|--|------|
à nom For q uer e de Tudale.	-|--|---⌫-⌫---⌫|-|-----||
Ap iéestd esçandu e lacortoise	|-⌫--|--|-⌫--------⌫|-|-------|
Rich ier s airecéueantre s esbraz	----⌫---⌫|-|------|----|-⌫-|---|
Puisuestiautres dras	---|----|-----|---|
pordesussagonnale	--|----|-|------|
Sicommecheualier satornelapucele .	-|----|--------||-----|-|-----||
MAUGALIElabaleest àpiédesc ̧andue	-------|-|---|--|-|---|----⌫-----|
Onques tr e stolouio r	-----|--⌫-⌫--|--|--⌫|
nemontaian	-|-----|-|
Ainçois ai prisu neerbesia n oint sa	-------|-|---|-⌫-|---|-|-⌫|---|-|
Soncors etsonuisage torn ee nau trefai t ure	--|---|-|--|-----|----⌫|-⌫|--⌫--|---⌫-⌫--|
Mou reresanb laibi en	---⌫-|------⌫--|--⌫-|
tant f utnoireet oscure .	---|-⌫-|----|-|-----||
Puisa ues tule s drasquilisont àmesure	---||---⌫-|--⌫|---|--|-|---|-|-----|
O udestrié	-⌫|-------|
estmon tée quitotuailanblau ̈r e	--|---⌫---|--|--|--||------⌫--⌫|
Moultb ien	----|-⌫--|
resanblaihomeà l agra ntfo rch au ̈re .	--------|---|-|-⌫|---⌫-|--⌫---⌫--⌫--||
LA pucelle iertmult prouzet	-|------|---|---|----|-|
sifut mou tuailant .	-|--|---⌫|------||
Blain cheche miseet	-----⌫--|---⌫---|-|
brai es auestume tenant	----⌫-||----|--⌫-----|
Quifurentà Richierlouardi combatant	--|-----|-|------|--|---|--------|
Etpar desure suet	-|--|------⌫|--|
un ecoteauen ant	--⌫|---|----⌫--|
Etp uis a près.I.porprequim oult	-|-⌫--|-⌫----||||-----|--|-⌫---|
est oit saa nz	---⌫--|---⌫-|
Pu ismontaienla	--⌫-|-----|-|-|
sale doudestrié au feran	---|--|-------|--⌫----|
Etai prisunelance et	-|-|---|--|----|-|
.I . escupesant.	|||---|-----||
Par deuantnos Françoiss en uaie speronant	---⌫-----|--|--------||-|--|-⌫--------|
Li esperons e spiezli furent	-|-------|-⌫|---|-|-----|
EtFloouansliditForquer es orauant	-|-------|-|--|-------⌫-|-|----|
auezuosprisnu lautre garnemaz	---|--|---|--⌫|----|-------|
Hau b ert et hiaumebon etbo nespi é	---⌫-⌫--|-|-----|--|-|--⌫|----⌫-|
- Sireditlapuce lleie	|---|--|-|----⌫--|-|
neanquierné ant	-|-|----|---⌫--|
Mesautres armesc a inesont miesi	--|-----|----||-⌫|-|---|--|-|
Mest iermauront ancoresàBiaufortç ai	----⌫--||-----|------|-|-------|--⌫-|
la fileest auricheroiFlo ran.	-|---|--|-|----|--|---⌫--||
Desco n t raïressiremedotiemout	--|--⌫-⌫-⌫------|---|-|--|-|---|
fo r man t	--⌫-⌫---⌫|
.I.sanb a dimatinman di tele	|||----⌫-⌫-|----||-|--⌫|--|
ia i t ant	--⌫|-⌫--|
Au No fCh ateloù ieiereuos	-|--⌫|--⌫---|--|-|---|--|
ouroiles oiiant	-------|-----|
Ieneuosise	-|-|-----|
nule r iens uiuant.	---|-⌫---|-----||
Mul tdur em e ntm an	---⌫|---⌫--⌫-⌫-||-|
pois ca roleai	---|--⌫|--|-|
le cors gan t	-|---|---⌫|
Etsiaiuarslesiau z	-|-|-|---|--|---⌫|
e tla boiche riant.	-⌫|-|-----|----||
S e uoslifaitessiremo i	-⌫|--|-|-----|---|--⌫|
. II.f oi zou.	|-||-⌫--⌫|-||
III. ou.I III	--||-||-⌫--|
pu is lasie zatant.	--⌫-|-----⌫|----||
Etiean iraibienloumarchi e ́porchaça nt	-|-|-|---|---|--|------⌫-⌫|---------⌫-|
-Sima ï t	|-||-⌫--⌫|
sireditli quesIoce ranz	---|--|-|---|----⌫---|
Cesteg antil pucelleest	----|-⌫----|------|--|
plenedegrant	----|-|----|
No saraiquenéue	-|----|-------|
homeuiuant	---|-----|
Gardonmeslatrèsb ie nquetoz i o rzsoit deuant	--------|-|----|-⌫--⌫|--|--|-⌫-⌫-|---|-----|
Nelalai sonsariés porpaiensmescré a nz	-|-|---⌫---|-----|--|-----|-------⌫-⌫-|
Ainz imoronstres tut quela	---||-----|----⌫--|--|-|
raien t paiens.	-----⌫|-----||
Rich iers lenaiguiées ise mottot	----⌫---||-|-|-----|-⌫|-|--|--|
Lecheuaulesperon e porlarene	-|------|-------⌫|--|-|---|
lo uprant.	--⌫|----||
n ost reFrançois Ies u lorso i taidanz	-⌫---⌫-|--------|---⌫|--|--⌫-⌫|-----|
Toziorzles	--|---|--|
suta prèsliamira usP ersanz.	--|-⌫----|-|-----⌫-|-⌫-----||
nos Fra nço isàBaufort	--|---⌫----⌫-|-|------|
lorch emi n.	--|--⌫---⌫||
ami ra us lessuitàtot. M. Sarazins	---⌫--⌫-|--|---|-|--||||-------|
Estes uos. I	----|--|||
.paienqui otnonE s torgi	|----|--|-|--|-⌫-⌫----|
. I.richeamir auble quiBabiloine tint	|||----|----⌫----|--|--------|---|
Etuintàlamir aulsil ai	-|---|-||----⌫--|-||-|
à raison m is	-|-----|-⌫-|
Sirer o is dePers iecom	---|-⌫-⌫-|-|----⌫-|--|
e ste se scharniz	-⌫---⌫|-⌫-------|
D esFrançoi s qu i anmainentuostrefile	-⌫-|--------⌫|--⌫|--------|-----|---|
aucleruis.	-|---|--||
Carm anfaiorl e	--||-|--|-|-⌫|
donanpereresgant is	--|--------|----⌫-|
Pu isoc iraiFrançoisà mon espié bruni	--⌫-|--⌫---|--------|-|--|-----|----|
Maugaliesiuo s	-------|-|--⌫|
uientà plaisir.	----|-|------||
lamirausParmonchiefie loutri	|------|--|--|----|-||----|
Ieuosanfaiz le do nu oian tto z	-|--|-|---|-|--⌫|-⌫----⌫|--⌫|
Sienf erezuosnoc es enMonmartreàParis	-|-|-⌫---|--|---⌫-|-|--------|-|----|
Liréaumesiertuostre quantuosla uro i zconquis.	-|-------|---|-----|----|--||-⌫---⌫-⌫|------||
Et respondiliglozSir e uostr e merci	-|-------|-|---|---⌫|-----⌫|----|
Lors broichele cheuauldesesperonsmarsiz	---|------|-|------|--|-------|-----|
Et trespase lesp uislesp lainz et les lariz	-|-------|--|-⌫--|--|-⌫----|-|--|----|
co ntrée les uausles	--⌫-----|--|---|--|
d u neangardenosFrançois	|-⌫-|------|--|--------|
Fiereman tlorescrieN	--------⌫|--|-----||
enirezmi eansit	-|---|--⌫|----|
putaincuuerstutestesm orzet pris.	-----|-----|--|----|-⌫--|-|---||
Çailairezuosla fileà lamiraur	---|-----|--|-|---|-||------|
uosreuanrez à Basme les	--|-------|-|----|--|
iu gema nsoïr	--⌫----⌫-|---|
AlamirauldeP ersequiuos feraimorir	||------|-|-⌫---|--|--|----|----|
E tdetraire	-⌫|-------|
à cheuaus et le smanbresto lir	-|------|-|--⌫|------|--⌫--|
f eraitozpandreardoiret	-⌫---|--|-----|-----|-|
De l apoudreferai	-|-⌫|-----|----|
doner asSarazins	----|-|-------|
E nbatail echanpaulensaron tplusardiz	-⌫|------⌫|-------|-|-----⌫|---|----|
QuantGuine man zlan ta nt	----|-----⌫---⌫||--⌫--⌫-|
prist onque s fin	----|-----⌫|--|
Il liaitrestornéloudestriéArrabi	-|-|-|---------|--|-------|-----|
pai en sorson escub runi	---⌫-|--|--|---|-⌫---|
Deso zlabocle d o r	----⌫|-|----||-⌫|
liaif raitet maumis	-|-|-⌫---|-|-----|
Le aubertdesondosd erote tdessarti	-|-----|-|--|--|-⌫---|-⌫|-------|
Oucorslimi t	-|---|-|--⌫|
d e son espiébruni	-⌫|--|-----|----|
Co ntre t errelabatdouc heuaul arabi.	--⌫---|-⌫---||---|--|-⌫-----|----||
Illainauré	-||-|-----|
à m ortmais nela i	-|-⌫--|---|-||-⌫|
Etai p ris	-|-|-⌫--|
lecheuaulpa rla renedorfin	-|------|--⌫|-|---||-|--|
Ap rèsses conpaignonssentornel orc hemi	--⌫---|--|----------||-|----|-⌫-|-⌫---|
A tant euospoignant la mirauldePersis	-⌫---||--|-------||-⌫-----|-|-----|
Trestotdeuant	------|-----|
lesaut resplusq uearz ne trasit	--|---⌫--|---|-⌫-|--|-|-----|
Aprèsluiu ient grant rote	-----|--|-⌫---|----|---|
d esf elon s Sarazins.	-⌫-|-⌫----⌫|-------||
Lipaienssedreçaiquigisoitou chemin	-|-----|-|------|--|-----|-|-----|
