Monsieurl arc euesquede	-------||---⌫------|-|
cepeuplebienmuédessiensnyne	-|-----|---|---||------|-|-|
se fusttrouuéhommede c eulx qui	-|---|------|----|-|-⌫---|--|
parauant auoyent estédeuersnous	-------|------|----|-----|---|
q uiplus eu st ose ́parler	-⌫-|---|--⌫-|---⌫|-----|
de lamarchan dise etaux	-|-|-------⌫---|-|--|
aucu nse nprin tmal	----⌫-|-⌫|----⌫|--|
Toutesfo isilne usade	--------⌫-|-|-|--|-|
nullecruaultéen	----|--------|-|
cestem atie ̀r e	----|-⌫----⌫--⌫|
maisaucunspe rdir en t leurs	---|-----|--⌫----⌫--⌫|----|
officesautreslesen uoyade mourerail leursque	------|-----|--|--⌫---|--⌫-----|---⌫----|--|
ie lu i repputeàlouengede	-|--⌫|------|-|------|-|
n a uoir uséd	|-⌫---|---||
autreu engenceca r	----|-⌫------|--⌫|
si ce quie stoit enc om mancéfus tue nu àeff ect	-|-|--|-⌫----|---⌫--⌫-----|---⌫|--⌫-|-|---⌫--|
le my eulxqu il	-|--⌫---|-|-|
lu ypouoit	--⌫|-----|
adue ni r cestoitde f uyr horsdur oyau lme	----⌫--⌫||-----|-|-⌫--|---|-|-⌫----⌫--|
Car plusieursfoismaditque	--|--------|---|||--|--|
eustp e uentrerà	---|-⌫-⌫|-----|-|
Paris e tqu illeust	----|-⌫|-|-||---|
trouuée muéequi lfust fuydeuersles	-------|----|-|-⌫|---|--|-----|--|
Suy ssesoudeuersle	---⌫---|-|-----|-|
Fra ncisquequil	---⌫------|-|-|
repputoit s on	--------|-⌫-|
grantamy etbien	----|--|-|---|
luymonstrapar les eco ursqu	--|------|--|-|-⌫---⌫--|-|
illuyenuoya que co ndu ysoitson fi lz aisné	-|--|-----|--|--⌫---⌫----|--|--⌫-|-----|
Gallea chedep uisducq ui estoit decinqcens	------⌫--|---⌫--|--|-⌫-|-----|-|---|---|
hommesd armesetde t roismi l	-----||----|-|-|-⌫---|--⌫|
hommesdepied etuindrentiusquesen	-----|-|---|-|-------|------|-|
Forestz et	------|-|
feirentguerreà	------|-----|-|
Bourbonmais à	------|---|-|
cause d elamort dud i ctduc	----|-⌫|-|---|---⌫-⌫-|--|
Francisque senr etournèrente tauss iparle conseil	---------||-|-⌫-----------|-⌫|----⌫|--|-|------|
qu il luy donnaentretenant lapa ixappelle ́ele	-|-|--|----|----------|-|--⌫-|-------⌫-|-|
traict éde	------⌫-|-|
Confla nsoù il luym and aquil nereff usast	------⌫-|--|-|--|-⌫---⌫|-|-|-|----⌫----|
nullechose q ue o n	----|----|-⌫-|-⌫|
luy de mandastpourseparer ceste co mpaign yemai sque seull ementses	--|--⌫------|---|------|----|--⌫------⌫-|---⌫|--|-----⌫----|--|
demouras sent A	--------⌫---||
monaduisnauionspoin testé	--|----||-----|----⌫|----|
plu sdetroisi ou rsdeuan t	---⌫|-|----|-⌫--⌫-|-----⌫|
Paris quantleroyy ent r a	----|----|-|--||---⌫-⌫|
Tant ostnouscomm enç alaguerre	----⌫--|---|----⌫----⌫|-|-----|
tre ̀s forte etpar	---⌫-|----|-|--|
espe cialsurno zfourraigeux car lone stoit cont rainc t	----⌫---|--|--⌫|----------|--||-|-⌫----|----⌫-----⌫|
d allerloingenf ourraige etfaill oit	|----|----|-|-⌫-------|-|-----⌫--|
bea ucoup gensà les g arde r	---⌫----|---|-|--|-⌫----⌫|
Et f aultbi en dir e qu eceste	-|-⌫---|--⌫-|---⌫|--⌫|----|
Franceest bien assiseet cesteuilled e	-----|--|---|-----|-|----|----|-⌫|
Parisde pouoir	----|-|-----|
four nir deuxsi puissansostz	----⌫--|---|-|-------|---|
Caria mais nousneus mesfaulte	--|--⌫---|---||---⌫--|-----|
deuiures etdedan s	-|-----|-|-----⌫|
Parisàgrandpeine sapper ceuoye ntilzq ui ly	----|-|----|----||-----⌫------⌫-|--|-⌫|-⌫||
eustho mme	---|--⌫--|
R iens neencher istqu e le paindunde ni er	-⌫---|-|------⌫--|--⌫|-|---||-|--⌫--⌫-|
se u le mentsurpain	--⌫-⌫--⌫---|--|---|
Carnousne occupionspoint les	--|---|-|--------|----|--|
riuières dau de ssusqui sonttroysc es t	--------||-|--⌫---|--|---|----||--⌫|
Yonn e e t	----⌫|-⌫|
Sein eetplusieur s	----⌫|-|--------⌫|
petitesriuièresquientrente n	------|--------|--|------|-⌫|
ce ulxlà A	--⌫--|--||
toutprendrecestec ité de	---|------|----|-⌫---|-|
P aris est lacit éque i a ma isie ueisse enuiro nnéede	-⌫---|--|-|---⌫-|--|-⌫-⌫--⌫-|-|-----|------⌫----|-|
meill eur paysetplus plantur euxet	-----⌫--|---|-|---|-------⌫--|-|
est c hosepresq ueincr ea bledesbiensqui y arriuent	--|-⌫---|-----⌫-|----⌫--⌫--|--|----|--||-------|
Ie y ay esté de puiscetemps la ̀	-||-|----|--⌫---|-|----|--⌫|
auecquesler oy	-------|-|-⌫-|
Loysdemya n	---|---|-⌫|
sansbouger logié	---|-----|-----|
Tournellesmengeantetcouchan tauecques luyordin air eme nt etdepu is	---------|-------|-|-------⌫|-------|--|-----⌫---⌫---⌫-|-|----⌫-|
sontr espas uingtmoys maulgre ́ moytenu	--|--⌫----|----|---|-------⌫|--|---|
prisonnier enson p alaisoù	---------|-|--|-⌫----|--|
ieueoye d emes fenestresarr iu erce	-|----|-⌫|--|--------|---⌫--⌫-|-|
quimontoit contremon t	--|------|---------⌫|
l ariu iè re de	-⌫|---⌫---⌫-|-|
Seinedu costéde	----|-|-----|-|
Dudessusenuient sansc o mp araisonplusq ue	-|-----|-|----|---|-⌫-⌫--⌫------|---|-⌫-|
neuss e iamaiscreu ce que ien ayueu	|----⌫|-----|---|-|--||-|-|--|
Ainsi don csailloitde	----|---⌫|-------|-|
Paris tou sles	----|---⌫|--|
ioursforce genset	----|----|---|-|
yestoientlesescarm ouchesgros ses	|-------|--|------⌫-----|----⌫--|
Nostreguetestoit de ci nquantelan ces qui	-----|---|-----|-|--⌫------|---⌫--|--|
setenoientuer s la	-|-------|---⌫|-|
Granc h edes	-----⌫-⌫|--|
Mercier se tauoyent descheuaucheurs	-------⌫|-⌫|------|--|-----------|
le plus pr ès de	-|---|--⌫--|-|
Parisqui lzpou oient	----|-|-⌫-|---⌫----|
sou ue nt estoie nt ra mené z	---⌫--⌫-|------⌫-|--⌫-----⌫|
iusqu esàeu lxetb ienso uuent fail loit	-----⌫-|-|--⌫-|-|-⌫--|--⌫----|----⌫---|
quilz re uinssent	-|--|--⌫-------|
surqueueiu sques a ̀ n os trec h arr o yse	--|----|--⌫----|-⌫|-⌫--⌫--|-⌫-⌫---⌫-⌫|-|
retirantlepasfu yzaucunes	-------|-|--|--⌫-|------|
foisl e t r ot	---|-⌫|-⌫-⌫-|
Et p uis onle urrenuoyoitdes g ens quitrès souuent	-|-⌫--|-|--⌫-|--------|--|-⌫--|--|----|------|
aussirenuoyoient lesautre s iusq ues	----|----------|--|-----⌫|----⌫--|
bienpre ̀s desportes de	---|---⌫-|--|-----|-|
Etcecyestoità toutes heurescar	-|---|-----|-|-----|-----|--|
enlauilley auoit pl us de d eux	-|-|----||----|--⌫-|-|-⌫--|
millecinqcenshommes dar mes de b o nne	----|---|---|-----||--⌫--|-|-⌫-⌫--|
e sto ffeet bienlo giégrantforce de	-⌫---⌫--|-|---|--⌫---|----|----|-|
Norma ndieetf rancs archiers	-----⌫---|-|-⌫----|-------|
Etp uisueoyentlesdames	-|-⌫--|------|--|----|
touslesio ursquileur	---|--|--⌫--|--|---|
donnoite nuie de semonstre r	------|-⌫---|-|-|-------⌫|
Denostrecostéy	-|-----|-----||
auoit ungtres grandnombrede gens	----|--|---|----|-----|-|---|
mais nonp oincttantde gens decheual c ar	---|--|-⌫----|---|-|---|-|-----|-⌫-|
ilnya uoitque les	-|||-⌫---|--|--|
Bourgu ygnons quiesto ien ten uyron quelque	------⌫-----|--|----⌫---⌫|--⌫----|------|
deuxmillelancesque bonsquemau uais	---|----|-----|--|---|--|---⌫---|
estoyentpointsibie n accoustr ézqueceul x	-------|----|-|---⌫|--------⌫--|--|----⌫|
deded an s pourlalonguepaix quilzauoienteue	-|---⌫--⌫|---|-|-----|---|-|--|------|--|
commeautresfoiziaydit	----|---------||-|--|
Enc oresdecenombre	---⌫---|-|-|-----|
Laignydeuxcensho mmes darme s et	-----|---|---|--⌫---||----⌫|-|
yestoit leducde	|-----|-|--|-|
De gensdepied auyo ns n ous gr andnombre et	-|---|-|---|----⌫-|-⌫--|--⌫--|-----|-|
de bonsLarméedes	-|---||-----|--|
Breton se stoit	------⌫|-⌫----|
Deny s qui faisoyen tla guerre	----⌫|--|--------⌫|-|-----|
ilzpo uoie ntetlesautr es seigneurses pa rs	--|--⌫----⌫-|-|--|----⌫-|--------|--⌫--⌫-|
pour lesuiures	---|--|-----|
y uindrentlesco ntes d	|-------|--|--⌫---||
Armignacduc d e	-------|--|-⌫|
Nemoursetlesei gneur d	------|-|-|---⌫----||
Leu rsg ens demourèrentloi ngpourc e qu ilznauoyent	---⌫-|-⌫--|-----------|---⌫-|---|-⌫|-|--||------|
pointdepayemen t et quilz	----|-|-------⌫|-|-|--|
eus se nt af fam é	---⌫--⌫-|--⌫---⌫-|
no stre ostsilz	--⌫---|--||--|
eussentprins sans	------|----|---|
Etsçaybien	-|----|---|
que le co ntede	--|-|--⌫--|-|
Charroloy sleurdon nadelargent iu squ esà cinq	---------⌫|---|---⌫-|-||-----|--⌫---⌫-|-|---|
ousixmillefrancsetfutad uisé	-|--|----|-----|-|--|--⌫----|
qu eleurs gensn e uie ndr oyentpoint plusauant	--⌫|----|---|-⌫|---⌫---⌫----|----|---|----|
Ilzestoient	--|-------|
bien six mil le	---|--|---⌫-|
cheualquifais oientmeru ei lleus e me nt	-----|--|----⌫----|----⌫--⌫-----⌫-⌫--⌫-|
u ei ll eusementdemaulx	-⌫--⌫--⌫-------|-|----|
Combatse tnégociations sous	------|-⌫|------------|---|
Retournantaux f aictzde	---------|--|-⌫----|-|
Parisnefaultdoubter q uenuliour nese pass oit	----|-|----|------|-⌫-|--|---|-|-|----⌫--|
sans pe rte ougaigne	---|--⌫--|-|-----|
qu ed uncostéqued	--⌫||-|-----|--||
degrosses cho sesn	-|------|---⌫--||
yaduintil rie nscar	|-----|-|---⌫-|--|
leroy ne uou loitsouffrirque	-|--|-|---⌫---|-------|--|
sesgen ss aill is sen t engrossesbend e snyne	--|---⌫|-⌫----⌫--⌫---⌫|-|------|----⌫-⌫|-|-|
u ouloit riensmectr e a uhazartdelabataille	-⌫-----|----|-----⌫|-⌫|-----|-|-|-------|
et desiroitpaix ets a ige mentd epartirceste	-|-------|---|-|-⌫-⌫---⌫---|-⌫------|----|
assemblée	---------|
Tou tesfoisungiou r bienmatinuindrentloger	---⌫------|--|---⌫|---|----|-------|----|
uis l ostelde	--||----|-|
Conflansa u	-------|-⌫|
long delariuièreet su r	---|-|-|-------|-|--⌫|
le finbo rtquatr e	-|--|--⌫-|-----⌫|
mil franc sarc hiersles noble s de	--|-----⌫|---⌫----|--|-----⌫|-|
Norma ndieetquelquepeudegensd a rm es	-----⌫---|-|------|--|-|---||-⌫--⌫-|
Etdautres gensd	-||-----|---||
ar mesd ordonnance demourèrent àungquartdelieue de	--⌫--||---------|-----------|-|--|----|-|----|-|
là en un g uillaige et	--|-|--⌫|-------|-|
depui sleursgens de pied iusque s	-----⌫|----|---|-|---|------⌫|
là ny auoitque	--|||----|--|
une bell e	--|----⌫|
L ariuière de	-⌫|-------|-|
Se ineestoit entre n ouseteulx	--⌫--|-----|----|-⌫--|-|---|
Et comma nc e ̀r ent ceulx	-|-----⌫--⌫-⌫--⌫--|----|
dur oy unetra nchée àle ndroit de	-|-⌫-|--|---⌫-----|-||-⌫-----|-|
Chare nton où	-----⌫---|--|
ilzfeire nt	--|-----⌫-|
ungboulleu art d eboyse tde terre	--|-------⌫--|-⌫|---|-⌫|-|----|
iusquesa ubout den ostre	------|-⌫|---|-|-⌫----|
ostet pass o itledit	--|-|----⌫-⌫-|----|
fossépard euant	-----|--|-⌫----|
Con flanslariuièreentre	---⌫----|-|-------|----|
deu xcom meditest etlà assortirentgrantnombre	---⌫|---⌫-|--|--|-|--|----------|----|-----|
darti lle riequ id e n tréechassatous les gensdu	|----⌫---⌫--|--⌫||-⌫-⌫----|-----|---|--|---|-|
Calab re horsdu	-----⌫-|---|-|
uillaigede	-------|-|
Charen tonetfaillut	------⌫--|-|------|
que à grant hasteilz uinsse ntl ogerauecquesnou s	--|-|----|----|--|------⌫-|-⌫---|-------|---⌫|
Ety eutdesg ens et	-||--|--|-⌫--|-|
de scheuaulxtue ́z	--⌫|-------|---⌫-|
E tlogealeduc	-⌫|----|-|--|
Ie hanenungpetitcorp s	--⌫--|-|--|----|----⌫|
toutdroitau deuantdecelluyde mondict	---|----|-|-----|-|-----|-|------|
seigneurde	-------|-|
Charroloyoppositedela	--------|-------|-|-|
ri u ière	--⌫-⌫----|
Ce s tear til l erieco mmença	--⌫-⌫-|--⌫---⌫-⌫---|--⌫------|
pr emie ̀rement àtirerpar nostre	--⌫----⌫------|-|----|--|-----|
ost etes p o uentafortlac omp aignie car	--|-|--⌫-⌫-⌫----|---|-|-⌫---⌫-----|--|
elle tuades gensd entr ée	---|--|--|---||----⌫--|
et tyradeux coupsparl a	-|---|---|----|--|-⌫|
chambre où lecontede	------|--|-|----|-|
Charr oloys estoit loge ́	-----⌫----|-----|----⌫|
comme ildisnoyt	----|-|------|
ettuaunetro mpette	-|--|--|---⌫-----|
en apport ant un gplat	-|------⌫--|--⌫|---|
deuiandesurl edegré	-|-----|--|-⌫|-----|
Apre ̀sle disner leditconte de	----⌫-|-|-----|----|----|-|
Cha rroloysdescenditenlestaigebaset	---⌫------|--------|-||------|--|-|
d e l ibera nenbou ge retla	-⌫-⌫-⌫----||-|---⌫--⌫|-|-|
feist tendreau my eulx quil	----|-----|-|--⌫---|-|-|
Le matin uindrentt ousles seigneurstenir	-|----|-------|-⌫--|--|--------|----|
consei letnese	------⌫|-|-|-|
te noitpointailleu r sque ch ezledict	--⌫---|----|------⌫-⌫|--|--⌫-|-----|
Char roloys ettousiou rs aprèsl econseil	----⌫-----|-|-------⌫-|-----|-⌫|------|
disnoyenttousensembleetsemect oientlesducsde	--------|---|-------|-|-|----⌫----|--|---|-|
Berry etde	----|-|-|
Bretaigneau banc lecon t ede	--------|-|---|-|---⌫-⌫|-|
Charrol oy set	-------⌫--⌫|-|
Cal labr ed euant	---⌫----⌫|-⌫----|
Siporto itledictconte	-|-----⌫-|-----|----|
àtou shonneurles	-|---⌫|------|--|
co nu yant àlassiette	--⌫--⌫---|-||-------|
Aussile deuo itbienfaire a ̀daucuns	----|-|----⌫-|---|----|-⌫||-----|
e tàtous puisquec	-⌫|-|---|------||
est oitche zluy	---⌫--|---⌫|--|
Fut aduiséqu e	--|------|--⌫|
to ute lar ti llerie delostseroit	--⌫--||--⌫--⌫-----|-||--|-----|
assortieencontre	-------|-------|
Leditseigneurde	----|-------|-|
Cha rroloysen a uoit	---⌫------|-|-⌫---|
très larg ement	----|----⌫----|
C alabre en auoi t d e belleetaussileducde	-⌫-----|-|----⌫|-⌫|----|-|----|-|--|-|
BretaigneLonfist degranstroux ès m uraill es qui	--------||-|---|-|----|----|--|-⌫------⌫-|--|
longdele riui ère derrière	---|-|-|----⌫---|--------|
ledictho st elde	-----|--⌫--⌫-|-|
Con flans ety a sso rtiton touteslesmeilleuresp ièces	---⌫----|-||-⌫---⌫---|-|-----|--|---------|-⌫-----|
exceptéles	-------|--|
bombar de se t autresgro sses piècesqu i netirèrentp oi nt	------⌫--⌫|-⌫|-----|---⌫---|------|--⌫|-|--------|-⌫--⌫-|
et ledemoura ntoù elles	-|-|-------⌫-|--|----|
pouoientseruir	-------|-----|
Ainsi enyeut du	----|-||--|-|
cesseigneursbeauco upp lus	--|--------|------⌫-|-⌫--|
quede c eluyduroy	--|-|-⌫---|-|--|
Latranchée q ueles	-|--------|-⌫-|--|
gensdu roya uoitfaicteestoit for t longue	---|-|--|-⌫---|-----|-----|---⌫|-----|
tyrantuers	-----|---|
P a ri s e ttousio ursla tyroientauantetgectoientlaterre	-⌫-⌫--⌫|-⌫|------⌫--|-|-------|----|-|--------|-|----|
de no stre	-|--⌫---|
costépours eta udirde l arti llerie	-----|---|-⌫|--⌫---|-||----⌫-----|
car touses toie ntcachéz dedansle	--|---|--⌫----⌫-|------|-----|-|
fossén ynulneusto zémons tr erla teste	-----|-⌫|--||---|-⌫--|----⌫--⌫-|-|----|
Ilzesto ienten unglieu	--|----⌫---|-|--|---|
plainco mmelamainetenbelle	----|--⌫--|-|---|-|-|----|
Ie na yi amaisueu	-||-⌫|-⌫----|--|
t ant tyr er pou rpeude i ours	-⌫--|---⌫-|---⌫|--|-|-⌫---|
cardenos trecos téonse actendoitdeles	--|-|---⌫--|---⌫--|-|-|--------|-|--|
chass eràfor ced	-----⌫-|-|---⌫-||
ar tiller ie	--⌫------⌫-|
A u x autres	-⌫-⌫|-----|
en ue no it de	-|--⌫--⌫-|-|
Paris tous	----|---|
les iours qui faisoient	--|----|--|--------|
bonnediligenc edel eurcostéet	----|--------⌫|-|-⌫--|-----|-|
nespargnoyentpointla poul dre	|-----------|----|-|----⌫--|
Grandquantitéd e	----|--------|-⌫|
ceu lx de nostr eost fei rent	---⌫-|-|-----⌫|--|---⌫---|
de s foss ésenterre à le n dro itde	--⌫|----⌫--|-|----|-||-⌫-⌫---⌫-|-|
l eurlo gisen cores daduantaige en y	-⌫--|--⌫--|--⌫----||---------|-||
auo itbeau couppour	---⌫-|----⌫---|---|
cequecestl ieu ou ̀on atiré de	-|--||--|-⌫--|--⌫|-||----|-|
Ainsi setaudi ssoitchascunets epassa trois ouquatre	----|-|-----⌫----|------|-|-⌫|----|----|-|-----|
Lacraincte	-|-------|
fu tplusgra ndequelapert edesdeux	--⌫|---|---⌫--|--|-|----⌫|--|---|
cos téz carilne	---⌫---|--|-|-|
seperd itnulhomme	-|----⌫-|--|----|
s eigneu r sue ir entqueceulxduroi	-⌫------⌫-⌫|--⌫--⌫--|--|----|-|--|
neseen nu yoientpointleursemblahonteetperilet	-|-|--⌫--⌫-----|----|---|-----|----|-|----|-|
donnercueur à c eulx	-----|----|-|-⌫---|
Pariscarpar	----|--|--|
quelq ueiourdetrefue	-----⌫-|---|-|-----|
ilui ntt ant depeuple	-|--⌫-|-⌫--|-|-----|
sembloitque riens nefustdemouréen	-------|--|----|-|---|-------|-|
Ilfut conclud en ungconseil que lonferoit	-|--|------|-|--|------|--||-|-----|
ungfortg rant pon tsu r	--|---|-⌫---|---⌫|--⌫|
g ransbateaulx etcoup peroit onlest roitdu batt eau	-⌫---|-------|-|----⌫-----|-||---⌫---|-|----⌫--|
et neseasserr o itle boysque	-|-|-|------⌫-⌫-|-|---|--|
sur lelar ge et	--|-|---⌫-|-|
au dernierc oup plet y auroitde	-|------|-⌫---⌫---||-----|-|
g r ansancrespourgecterent erre	-⌫-⌫--|-----|---|-----|-|-⌫---|
Aueccelafure nt amenézplusieu rs	---|---|----⌫-|------|-------⌫-|
grandzbateau lx	-----|------⌫-|
Seine q u ieussent	----|-⌫-⌫|------|
p eupasser grand no mbre	-⌫-|-----|----|--⌫---|
degensdepiedau c oup	-|---|-|---|-|-⌫--|
Etain si futa rrestéde	-|---⌫-|--|-⌫------|-|
pass er lariuiè re Amaistre	----⌫-|-|------⌫-||------|
Gi ra u ld ca nonnierfut donnéela	--⌫--⌫-⌫-|--⌫------|--|------|-|
chargedeces to uura igeauque lilsembl oitque p our l es	-----|-|---⌫|-⌫----⌫--|-----⌫|-|-----⌫--|--|-⌫--|-⌫-|
Bourguygnons estoi tgra ntaduentaigedece que	-----------|-----⌫|---⌫-|---------|-|-|--|
lesautres auoyentgecté les terres	--|-----|------|-----|--|-----|
denostrec o s tépourcequequant	-|-----|-⌫-⌫-⌫--|---|-|--|----|
i lzseroient oultre l a	-⌫-|-------|-----|-⌫|
riuièreceulx	-------|----|
duroitrou ueroient leur tranchéebeaucoup	-|--|----⌫-------|---|--------|-------|
