kicest secletrop	-|---|----|---|
segurssoitkeia	-----|---|-|-|
en frataltr e uenian ce	-|---|----⌫|------⌫-|
bienseuen tli sa int	---|-----⌫|-|--⌫--|
homm e queleestla deu	----⌫|----|--|-|--|
forfaitneuult d eusprendre	------|-|---|-⌫--|------|
cune amendise	|--|-------|
biense uentsenc estseclen en es t	---|--⌫---||-|-⌫--|----||-|--⌫|
d roi tureprise	-⌫---⌫---|----|
kel anrmeenierten latre a plus	-||----|-|---|-||---||---|
grantrais on m i se	----|----⌫-|-⌫-⌫-|
por soifaitala foizli	--|--|---||-|---|-|
sainzhom dur et roit	----|--|--|-|---|
celuiqu iforfaizestpor tientil en	----|--⌫|------|--|--|----|-|-|
des troi t	---⌫----⌫|
pargrantamur car b i enseit e tb ienuoit	--|----|---|--|-⌫-⌫-|---|-⌫|-⌫--|---|
kelapaineq ui lsofretli turnee nbon	-|-|----|-⌫|-⌫|-----|-|----|-⌫|--|
n osuosp oriens de cesilo ngement parleir	-⌫-|--|-⌫-----|-|-|-|--⌫------|------|
kesaintpasnuciomporienstropoblier	-|----|--------|------|---|-----|
bienpuetlomalafoiz	---|---||-||-|---|
f o rsde la	-⌫-⌫-|-|-|
uoieale i r	---|---⌫-⌫|
maiscils enl onget tropqui ni seit	---|--||---⌫----|---|--|||---|
ret urne ir	---⌫----⌫-|
returno ns dont arriere asaint pasnution	-------⌫-|---|------||----|--------|
mut uole ntie rs ietastladamede	--|----⌫----⌫-|-----|-|---|-|
biensau oitke	---|---⌫--|-|
so fertea uoitgrantpassion	--⌫----|-⌫---|----|------|
sauoitselee retancordel iureuno n	-----||--|-⌫--|----|---⌫---||--⌫|
bi en sau oit lis ainz h omquantmoysestua	--⌫-|---⌫--|-|-⌫---|-⌫-|----|-----|--|
tanthommepe cheorke c esignif ia	---|----|--⌫----|-|-⌫|------⌫-|
onkesparautrechoses ladamene nferma	----|--|----|-----|-|---||-⌫-----|
nes eparsonb i e n no m t antnela	-|-⌫|--|--|-⌫-⌫-⌫|--⌫|-⌫--|-|-|
m utauoitgrantdolordel malk e le	-⌫-|----|----|----|--|--||-⌫-|
etne q uedent soffr irgr ant p ai neli fai s oi t	-|--⌫-⌫-----|-----⌫-|--⌫--|-⌫--⌫-|-|---⌫-⌫--⌫|
cekele eretlaenz mut	-||--|---|----|--|
formentl i pe soit	------|-⌫|--⌫---|
maisil nesauoit miesancor	---|-|-|-----|--||----|
del iu re astoit	---⌫--⌫-|-----|
dontpensatquilkerroit	---|-----|-|-|------|
saint antoinelerm ite	----|------||---⌫--|
kimanoit el desertdela terred egipte	-|-----|-|-----|-|-|----||-----|
pooi tbiendire sela dame	----⌫|---|---|-|-|---|
eret qu ite	---|--⌫--|
ca rp lains eret	--⌫|-⌫----|---|
dedeu et delsain tesperit e	-|--|-|--|----⌫|-------⌫|
ce st uns omparc ui	|-⌫-|--|-|--|-⌫-|
deus tamainmiracl efist	---|-----|------⌫|---|
etparses bones	-|--|--|----|
ourestamaine	----|------|
anmeconquist	---|-------|
libonspasn uciuscel sain th o merequist	-|---|----⌫----|--|----⌫|-⌫-⌫-|------|
etcantqu il auo itfaitde	-|-----|-|---⌫-|---|-|
sain z antoinesfis t lors tozsesfreres	----⌫|-------|---⌫|---|--|--|-----|
et si le scommandatetiun eiret	-|-|--⌫|--------|-|---⌫--|-|
etmultsoniosement nostresani orproier	-|---|----------|-----|----⌫-|-----|
kece kil demandoit lorde nias t	-|-||-|--------|--|--⌫----⌫|
e ns eingnier	-⌫--⌫-------|
kepa rsa grantmercit	-|--⌫|-|----|-----|
loruolsistdemostreir	--|------|---------|
p o oitcel e damm e delapierreieteir	-⌫-⌫--|---⌫|----⌫|-|-|-----|-----|
ucumlonctens ancor	|--|---|---|----|
licoue nroit esteir	||----⌫----|-----|
anzqui l lau osi st	----|-⌫|-|-⌫---⌫-|
qui tedesespechiezclameir	---⌫-|-|--|------|------|
kineuultcorrecier deu	-|-|---|--------|--|
ki son seruisefa itetquisamur	-|--|------|--⌫-|-|--||---|
celuisue tdeusoir	----|---⌫|---|--|
etfaresaproiere	-|---|-|------|
esi ca ses de scipl espromistza en	--|||--|--⌫-----⌫-|------|-|-|
ases des ciplesq ui enm oiuult	|--|---⌫-----|-⌫-|-|-⌫-|---|
kiuultmesc omanzfa i r etot s olunc so npoo ir	-|---|--|-⌫----|--⌫-⌫-⌫|--|-⌫----|--⌫|---⌫-|
et urai ecreance	-|----⌫|------|
at b i enlo	-|-⌫-⌫-|-|
sach ie z paruoi r	----⌫--⌫|--|---⌫|
qanquilmoipro ierattotliferaiauoir	----|-|--|---⌫----|--|-|----|----|
b iense ue n t lis a int homme	-⌫--|--⌫--⌫-⌫|-|-⌫-⌫--|----|
dont il doientproier	---|-|-----|-----|
et bien seitnostre siresdontillordoit	-|---|---|-----|----|---|-|--|---|
quantildem ande t c hosebone etqui atm estier	----|-|---⌫----⌫|-⌫---|---|-|--|-|-⌫-----|
t oz estdeusapr esteiz etp res	-⌫-|--|---|---⌫-----|-|-⌫--|
delot roier	-||--⌫----|
kipor lodeuseruiseiur etnui t soitraualhe	-|--|-|--|------|--|-|---⌫|--|-------|
quineseuu lt	--|-|-|--⌫-|
partirdel uikikil	-----|-|-⌫-|-|-||
kipo rsamorconquerre adesestenbatalhe	-|--⌫||---|--------|---|--|-|------|
k ank iluult puetproie rde us lidonratsenfalle	-⌫--|-|---|---|-----⌫|--⌫-|-|-----|--|----|
mais nosquina uons	---|--|--||-⌫---|
curede malarele nquir	---|-|--||----⌫----|
kineuolons pordeu rienfaire	-|-|-----|--|--|---|----|
comementcuidons	-------|------|
k ildoit n oz proieresoir	|-|---|-⌫-|-------|--|
tantcumnosn eu o lons l u iameir ne	---|--|--|-⌫|-⌫-⌫---|-⌫-⌫|----|-|
porce di g e	--|-|-|-⌫|
quiuu l tqued eus sapriiere	--|--⌫-⌫|--|-⌫--|-|------|
promiersedo itp enei rke sam urli	------|-|--⌫-|-⌫----⌫|-||--⌫-|-|
quar si l estamis d eud equant quil a	---||-⌫|--|---|-⌫-|-⌫|-----⌫-|-||
mutuolen ti ers li	--|-----⌫--⌫--|-|
donetet pasneli anoie	----|-|--|-|-|----|
limoine saintant oinemeneuentsainte uie	-|----|----|---⌫---|-------|-----|--|
entreea zne reta uarisce	----|--⌫||-⌫--|-⌫------|
et orguez neenuie	-|-----|-|----|
c ekel i unsha oitna moitlialtresmi e	-⌫|-|-⌫|--|--⌫--||-⌫---|-|-----|--⌫|
deuscumsain te choseest	---|--|----⌫-|----|--|
des aintecompani e	-|-⌫----|-------⌫|
totcomu nalz	--|----⌫---|
choseeretquankelaenzauoit	----|---|-----|----|----|
alt e il aiweliunsquelialtres	---⌫-⌫-|---|-|--|--|-|-----|
me llorsherb e s	--⌫----|----⌫-⌫|
ne feueslu rm aistr es	-|----|--⌫|-⌫-----⌫-|
neman ioit	-|---⌫---|
neso r plus bele natelor	-|--⌫|---|---|---|--|
a be i zne gisoit	-⌫--⌫-⌫|-|-----|
d ed eu au oi ent pluskenule ri enchiere	-⌫|-⌫-|--⌫--⌫--|---|-|---|--⌫-|-----|
quantkedeudesplaisoit totmet oie ntarriere	------|--|----------|--|---⌫---⌫-|------|
po r ce fu tapresteizdefaire lorproiere	--⌫|-|--⌫|--------|-|----|--|------|
lipro ierentoiezen quel	-|---⌫-----|---|-|---|
lanuitcantil faisoient a d e u l uroris on	-|---|---|-|--------||-⌫-⌫|-⌫-|----⌫-|
l iuns des freresuitmu t gente	-⌫|--|--|-----|--|--⌫|----|
don toms otkala dam ea uoit	---⌫|-|-⌫-|||-|---⌫|-⌫---|
deusfa itpardon	---|--⌫-|-----|
etke deses fo rfaiznerendroit	-|-|-|--|--⌫----|-|-------|
maisraison	---|-----|
bons homast oitlifreres am is	---|--|---⌫--|-|-----|--⌫-|
d eufinset	-⌫-|---|-|
por ce limos tratd eus sa gloreet	--|-|-|---⌫---|-⌫--|-|----|-|
son palais	--|-----|
lauitta nt de delittantdebien	-|--|--⌫-|-|----|---|-|---|
d ela seluil eustnesedepartistma is	-⌫|-|-|--|-⌫---|-|-|--------|--⌫-|
deuslilaissatueoirunliusipreci ous	---|-|------|----|-|--|-|-----⌫--|
sibel sidelitablesigentsi	-|--|-|--------|-|---|-|
lasunt liam ideuetlibi eneuro us	-|---|-|--⌫|--|-|-|--⌫------⌫-|
ki suntdedeu seruiren	-|---|-|--|-----|-|
cestseclesongnious	---|----|--------|
enmi celbelpalais enmicelparadis	---|--|--|-----|---|--|------|
auoitdemutgenteoureungentilpail iem is	----|-|--|----|---|-|-----|----⌫-|-⌫-|
et p ar de sorauoitunroials iege a sis	-|-⌫-|--⌫--|----|-|----|-⌫---|-⌫--|
ainc roisneamazors not	---|---|-|------||-|
nul desigrant p ris	--|-|-|----|-⌫--|
l iorsetliargenz	-⌫|--|-|-|-----|
q uier et enla	-⌫-|--⌫-|-|-|
ren doit pluske	---⌫---|---|-|
solo zne lunede lumiere	----⌫|-|---|-|------|
cascuns des piezseoitenprec iosespierres	------|--|---|----|-|----⌫----|------|
ainc n uz neuitoure netantegemmec hiere	---|-⌫-|-|--|---|-|----|----|-⌫----|
lesestoilesdelcie lsigentner esplendoient	--|-------|--|---⌫|-|---|-|-⌫-----------|
neteil clarte	-|---|-----|
nefunt cumle sge mmes	-|---|--|--⌫|--⌫---|
trois ge nti z damoiseles qui mutbelesastoi e nt	----|--⌫---⌫|---------|--|--|----|-----⌫-⌫-|
manoie nt elpalais	------⌫-|-|-----|
quicel t r onegardoient	--|--|-⌫-⌫--|--------|
dicelegrantbealteitk elis ainzom	|----|----|-------|-⌫|-|-⌫---|-|
grant delit	----|----|
ioieet gran t	---|-|----⌫|
mer uelleauoit	---⌫----|----|
as seiz e n gardeir sa i esiernesoi	--⌫---|-⌫-⌫------|--⌫-⌫----|-|--|
kemai sn e s enpartis t forment lo	-|---⌫|-⌫||-|------⌫|------|-|
paulusot nomli f rerescui deu s	-----|-|--|-|-⌫----|--|---⌫|
ce ensengnia	-|--------|
quant iluitsig r antio iel i ezen	----|-|--|-|-⌫-⌫--|--⌫-|-⌫-⌫-|-|
futsiparla	--|-|----|
mesmaistressai nzan toinessorcest siege	--|-------|---⌫-|--⌫-----|--|---|----|
di gnese stde t eilglore	--⌫---|-⌫-|-|-⌫--|----|
nulzaltresne laura	---|-----|-||---|
nedemo ratgair es	-|----⌫--|----⌫-|
apres qui lot c edit	----|-|-⌫|-|-⌫|--|
de l plu shaltciel lasusuns angles	--⌫|---⌫|---|---|----|--|-----|
deschendit	---------|
n en potmie ueoirmais	|-|--|--|----|---|
di reli oit	--⌫-|-|--|
grantg loreauoit la dame dese ruit	----|-⌫---|----|-|---|----⌫---|
s a in z antoines faitil unal trel iu	-⌫-⌫--⌫|-------|---|-|-|--⌫--|-⌫-|
tantatfai t	---|-|---⌫|
enuer deu iane l obliera	----|--|-|-||------|
mai sthaisis la	---⌫|------|-|
d amecisoi	-⌫--|-|--|
siegese st	-----|-⌫-|
sienscarbien deseruit	----|--|---|-------|
lo matina tpau lus	-|----|-⌫|---⌫--|
asf reres reconteie	-|-⌫----|--------|
l agenteuisi onke	-⌫|----|----⌫-|-|
deu sliot mostreie	---⌫|-|-|-------|
e t mut enont	-⌫|--|-|--|
trestu itgra ntioiedemen eie	------⌫-|---⌫-|---|-----⌫--|
dece kelada meer etue rdeutote	-|-|-|-|--⌫-|--⌫-|--⌫|--|---|
futdemostreitparteile	--|---------|--|----|
ke deusliauoit	-|---|-|----|
fait deses pe chiezpardon	---|-|--|--⌫----|-----|
et bien deuoiteissi r d e sormaisde lbui ron	-|---|-----|-----⌫|-⌫-⌫|-|---|--⌫|---⌫--|
cuideusauoitdoneie e ncielteilmansion	--|---|----|-----|-⌫|---|---|------|
ne deuoiten lapi erred emor e ir des	-|-----|-|-|--⌫---|-⌫----⌫-⌫-|--|
cui deus ap arillie ́ta uoit	--|---|--⌫-------⌫-|-⌫---|
sibelpalais	-|--|-----|
droiz ere tke le	----|---⌫||-⌫-|
oren auantpais	-|-|----|---|
natnu l mestierelfou liors qui	|-|--⌫|------|-|--|-|--|--|
es t t oz urais	--⌫|-⌫-|----|
deceq u iloto i t grant ioiedemena	-|-|-⌫|-|-|-⌫-⌫|----|---|-----|
pasnucius e t lorsa sonliurepaira	--------|-⌫|---||--|--|------|
brisatlu i s del a	-----||-⌫-⌫|-|-⌫|
pi errelo sael	--⌫---|-|---|
une altree n	--|----|-⌫|
fustmut lie maisladamee npesa	---|--|--|---|-|---|-⌫|---|
kant ilentrat el	---|-|-----|-|
liuetil len uolt	--|-|-||-|---|
elelidistbea zsi re anco riuulhesteir	--|-|---|---⌫|--⌫-|----⌫||---|-----|
laissiezmeancorza en zse uo s plais tdemorer	-------|-|----|--⌫--⌫|-|--⌫|-----⌫|------|
plaiequi parfundeestpuet	----|--|-------|--|---|
hom troptostsaner	--|---|---|----|
granzpl ai es suietde	----|--⌫--⌫-|--|-|-|
pluisorsnauree	-------|-----|
petiten enestancorsaneie	-----||-|--|----|-----|
faitets igriefm auoientappressee	---|-|-⌫|----||------|--------|
ne c uitkeankor soie delme n ordeliureie	-|-⌫--|-|----|---|--|--⌫-⌫-|--------|
teilz estpla ins d enfertequi	----|--|---⌫--||------|--|
sante quid eauoi r	----|----⌫|----⌫|
etpetit emezi nenedenietre ci uoir	-|-----⌫|----⌫-|-|-----|--⌫--⌫---|
mais pui s coui entla plaie et	---|---⌫|----⌫--|-|----|-|
talhi er et ar doir	-----⌫-|-|--⌫---|
p oindanzpulre e tardanz herbessus asse o ir	-⌫------|----|-⌫|-----|-----|--|----⌫-⌫-|
desgran ztorme nzdenferuoso i	--|----⌫|-----⌫-||----|--|-⌫|
tantuos e n	---|--|-⌫|
oi direkenespuiso bl i eir	-|---|-||-|---|-⌫--⌫-⌫--|
miezmeuenroi tcentans	---|-|------⌫|---|--|
b uiron ester	-⌫----|----|
kuntot sol	|-|--|--|
petitiuer enenfe r dem orer	----|---|-|----⌫|---⌫---|
laissiez moisil	-------|--||-|
u os plaista moimimme s combatr e	-⌫-|-----||--|-----⌫|-------⌫|
cestechaitiuecharm e	----|-------|---|-⌫|
laissieza ncor batre	-------|-⌫---|----|
seie bie n enpoo it otlo runinabatre	-|-|---⌫|-|---⌫|-⌫-|-|----|-----|
bien uoldroizaenz estreankortrois	---|------|----|----|----|----|
ansuquatre	--||-----|
ke doncsili c ors	-|---|-|-|-⌫--|
gistoraladureterre	---|-||-|---|----|
ilsof re unpoidebatalleetdeg uere	-|---⌫-|-|--|-|------|-|-|-⌫---|
nuzn epuet	--|-⌫|---|
tr op grantpainee ncestse cle soffere	--⌫-|----|----|-⌫|---|--⌫--|------|
porlagrazededeuet	--|-|----|-|--|-|
porsamurconquerre	--||---|--------|
bel e suerdist lis iren	---⌫|---|---|-|-⌫--||
aieztrop gr ant cremor	---|---|--⌫--|-----|
ne de ueizpascui die r si dur n ostresanio r	-|--⌫---|--|---⌫---⌫|-|--|-⌫----|-----⌫|
pu ete strefiz etsegurs des	--⌫-|-⌫---|--|-|-----|-||
kid e toz sesf orfaiz	-|-⌫|--|--|-⌫-----|
ur ai edolor	--⌫--⌫|----|
nostressiresnest mie tropaspr esne tro p	------|----||--|--|---|----⌫-|-|---⌫|
leg iers est aploier	---⌫---|--||-----|
nestpas pi erre nem urs	|--|--|--⌫---|-|-⌫--|
kiuraisre p entanz est et cuilicu ersest	-|----|--⌫-⌫-----|--|-|--|-|--⌫--|--|
d el a me rc it	-⌫|-⌫|--⌫--⌫-|
de deupuet es t rebie ns egurs	-|--|---|--⌫-⌫-|---⌫|-⌫----|
deus uult bien keli	---|---|---|-|-|
hom uraim ent	--|-----⌫--|
se repente	-|------|
ilnedesi ret mi e ke om	-|-|----⌫--|--⌫|-|-|
t ropsetorm e nte	-⌫--|-|----⌫-⌫--|
d el racordeir fa itilu	-⌫-|--------|--⌫-|-||
cort eulonge atente	----⌫||----|-----|
solunccequil conoistdelco ragelen tent e	-----|-|-|-|------|--|--⌫---||--⌫----⌫|
tostsoipu etracord eir quide l malse	---|--|--⌫-|------⌫--|--|--⌫|--|-|
enlamurdeu s afiche	-||---|--||-----|
deus nemetp aslo n ctermea	---|-|--|-⌫-|--⌫-⌫|----||
son rac ordement	--|---⌫-------|
maintenantlipa rdonecant il	---------|-|--⌫----|---|-|
grantpechietf ist sai nz pierescantildeudenoia	----|------|-⌫--|---⌫-|-----|---|-|--|-----|
s auonsdefi ke deusli pardona	-⌫----|-|-|-|---|-|------|
bienauonsoitdirec amer ementplora	---|----|--|---||----⌫----|----|
an corescrit s alt rementl	--⌫--|-----||---⌫-----||
no strouomes lisant del sain tism elarr on	--⌫|-------|-----|--|----⌫----⌫|----⌫-|
kiihesumr econu t	-|-----|-⌫-----⌫|
plus de biennefistonkes	---|-|---|-|---|----|
etdeusli fistpar don	-|---|-|---|---⌫--|
etlors ue rsparadis en	-|---|--⌫-|------|-|
fistson co mpanion	---|--|--⌫------|
toziorsauo it esteit et ler res etmaluai s	--|---|---⌫-|-----|-|---⌫--|-|------⌫|
ma is porki lde u connut etrepentanz	--⌫-|--||-⌫|--⌫|-----|-|--------|
f utu r ais	-⌫-|-⌫-⌫--|
totm aintenan tent ratod	--|-⌫--------⌫|---⌫--|-|
lui en so npal ais	--|-|--⌫|---⌫--|
neso fritplus de paineneplus	-|--⌫---|---|-|----|-|---|
nenaura tmais	|-|----⌫|---|
deus uultbienke cas cunsuie nge	---|---|---|-|---⌫---|---⌫--|
ar econi ssance	|-⌫-----⌫-----|
lopechietfacet	-|------|----|
lapenitance	-|--------|
maissitre s g ra nt forceatl a uraie	---|-|---⌫|-⌫--⌫-|----|-|-⌫|----|
rep ent ance	---⌫---⌫---|
cuideu slauul t	--|---⌫|-|---⌫|
do n eirsazest senz redota nce	--⌫-⌫--|--|--|---|------⌫--|
iaid e sa int pierreet	|-|-⌫|--⌫--|-----|-|
n osatexempleetgrantconfo rt	-⌫-|-|------|-|----|-----⌫-|
sengrantto rment de cors s unt	--|----|--⌫----|-|---|-⌫--|
mainthome sa l ué	----|---|--⌫-⌫--|
ki furentenlauraie repenta nce t roué	-|-----|-|-|----|-------⌫--|-⌫----|
estes uraiementrepentie	----|--------|-------|
et uostrepenitanceaueizsiacom plie	-|-----|--------|----|-|----⌫---|
uosatsamur	--|-||---|
etsa graze otroie	-|-|----|-----|
esgardeiz sebi e nest uostrepaine em ploie	--------|-|--⌫-⌫|--|-----|----|--⌫----|
biensaikedeus	---|--|-|---|
uos at to tequit ec l a m eie	--|-|--⌫-|----⌫|-⌫-⌫-⌫-⌫--|
u osestesa	-⌫-|----||
finemen tacordeie	-------⌫|-------|
sire faitele auosme	---|---|--||--|-|
s uige commandeie	-⌫-|-|---------|
ge n ai cureu i ai lhe	-||-|---|||--⌫--|
mais soi esalueie	---|---⌫|------|
seuosuoleizzaenzto z ior s maisdemorr ai	-|--|-----|----|--⌫|---⌫|---|------⌫-|
com andeizmai ntena nten	---⌫-----|---⌫-----⌫-|-|
etlo bienetlomal uo lentierssofferrai	-|-|---|-|-|--|--⌫-------|--------|
deuo zco nmanzia net respasse rai	-|--⌫|--⌫----|-|-|-⌫--------⌫--|
seitnostr esirepuiske zaenzentrai	---|-----⌫|---|-----|----|-----|
de mes pechiez pl oreir nuleho renefi nai	-|--|------|--⌫----|---|--⌫-|-|--⌫--|
t ote smesmalesou resenmoncuer	-⌫---⌫|--|----|--⌫--|-|--|---|
ass em blai	---⌫--⌫---|
adeslesengardoiea i nc nesentrobliai	---|--|--------|-⌫-⌫-||-|---------|
detre stozmesforf aizfaisoiu neass embleie	-|---⌫---|--|----⌫--|-----|-⌫-|---⌫------|
ferlesten oiade senmapens seie	--|--|---⌫-|---⌫|-|-|----⌫---|
laueuedel cu ernenert	-|---|--|--⌫-||-|--|
unkesoste ie	----|----⌫-|
mutreisentrecessoitd e slarmeslaualeie	--|---|-----------|-⌫-⌫|-----||------|
b ele suerdist	-⌫--|---|---|
lisir es k i demalsoire trait	-|---⌫-|-⌫|-|--|--|--⌫----|
kidemandet mercit	-|-------|-----|
droizest kemercitait	----|--|-|-----|--|
etcu m plus estdolanz d ece k	-|--⌫|---|--|-----|-⌫|-||
ilatforfait	-|-|------|
tante stplustos tdeliur es et	---|-⌫-|---|---⌫|------⌫-|-|
deusmercitl i fait	---|-----|-⌫|---|
dont lostatdelaenz et	---||----|-|----|-|
can t il l	---⌫|-||
qui nze iorsal secle	---⌫--|---|-|----|
c u iele otbien	-⌫-⌫|--|-|---|
seruitbuendefi nlidona	-----|---|----⌫|-|---|
licorsremeist en terre l anrme	-|---|------|-|----||----|
adeu senala	|--||-|--|
li me ssageih esuets acheualerie	-|--⌫----|--⌫--|-|-⌫|---------|
l enporte rent	|-------⌫---|
l assusa mut grant sen iorie	-⌫----||--|----|---⌫----|
encontreui n t	-------|--⌫-⌫|
desangeleslasainte	--|------|-|-----|
