CO N STANTIN OPLE	--⌫-⌫-------⌫---|
pres kil peurentdes	---||-|------|--|
murssifisentli	---|-|-----|-|
Franchois leureng iensdr e chierl eu rcas leurcarcl oies	--------|---|---⌫---|--⌫-⌫----|-⌫--⌫|--|---|-----⌫---|
truis pourminer asmursetl i	----|---|----|-|---|-|-⌫|
uenici enmonterents eurles pons	------⌫-|--------|-⌫--|--|---|
deleurnes eta s sal irent	-|---|--|-|-⌫-⌫---⌫----|
durementasmu rsetl i	-------|-|--⌫-|-|-⌫|
Franch oisassalirent ensementpar leu r	------⌫--|---------|-------|--|---⌫|
e n g iens	-⌫-⌫-⌫---|
Qu an t li	--⌫--⌫|-|
Gr iuuirent	--⌫-|-----|
Franc hoislesass aloien tsisi	-----⌫---|--|---⌫------⌫|-|-|
destendent age tergr andesmequarria usseur	---------||--⌫--|--⌫------|-------⌫-|---|
c h ese ngiens	-⌫-⌫-|-⌫-----|
Fr anchoissigrans quetrop	--⌫------|-|----|--|---|
sicommenchent acrauenteret	-|----------||--------|-|
a despe chiere t	|-----⌫----|-⌫|
aes miertousch es	|--⌫---|---|--⌫-|
engiens si	------|-|
que onques nusn osa	--|-----|--||--|
de morerdeden s nedesousc hesengiensne	--⌫----|-----⌫|-|-----|-⌫--|------|-|
u eni cien dautre partne	-⌫---⌫---||----|---|-|
peurent auenirasmurs n eas tourssieren t	------|-----|-|---|-⌫|-|----|-|----⌫|
eles hautesneonquesch uiourli	---|-----|-|-----|--⌫|---|-|
ueni cienneli	----⌫---|-|-|
Franchoisriensnepeu rentforf aire neas	--------|----|-|---⌫---|----⌫---|-|-|
Q ua nt il	-⌫--⌫-|-|
uirentqu il	-----|-|-|
pe ur entnientforfa ire s i fu rent m oltdolen t	--⌫--⌫--|----|-----⌫--|-⌫|--⌫---|-⌫--|-----⌫|
si se traisentarriereq uantli	-|-|-------|------|-⌫---|-|
Griu les uirenttraireariere sis	---|--|-----|-----|-----|-||
acueil len tahuer e t aescrier si	------⌫---⌫||---|-⌫||------|-|
durement que trop etmo nterentseu rlesmurs	-------|--|---|-|--⌫------|---⌫|--|---|
etaualoient	-|--------|
leur braies e tmoustroient leu r	---|-----|-⌫|----------|---⌫|
Mor cho fle sui t quelipe lerinfurent	---⌫---⌫---⌫|--⌫|--|-|--⌫----|-----|
r etorn é si a keu t afairesonner sesbu isi nes	-⌫-----⌫-|-|-⌫---⌫||----|-----|--|--⌫---⌫--|
ettimbr es et a	-|-----⌫-|-||
fa ireunsigr antbeuba ntquet rop etmand ase	--⌫--|-|-|--⌫--|-----⌫-|--|-⌫--|-|----⌫|-|
gentet commench a a dire	---|-|--------⌫||---|
ueésseigneur suiieboins emperer es	----|-------|--|-|----|-------⌫-|
Onquesmaisneuste suo us	-----|---||-----⌫|--⌫-|
siboi n empereeur	-|---⌫|--------|
Ail e iou bien fai t	-|-⌫|--|---|---⌫|
Nous nauonsmaiswarde	---||----|---|----|
ie lesraitouspe n dre ettoushounir	-|--|--|---|--⌫-⌫--|-|---|-----|
Quant lipeler inuirentchousifurentmol tcorch ié et	----|-|-----⌫-|-----|---|-|-----|---⌫|-----⌫--|-|
molt dolent si	---|-----|-|
sen reuinrentariered autrepart d uport	|-|--------|-----||----|---|-⌫|---|
al eurherbeges	|-⌫--|-------|
Quantlibaronfurentreuenu et il	----|-|----|-----|-----|-|-|
furentdescendudesnessis asanlerent	-----|-------|--|--|-||---------|
etfurentmolta baubiet dis en tq uech est oit	-|-----|---|-⌫----|-|---⌫--⌫|-⌫-|-|---⌫--|
parpechiéquil riensne pooie nt faire	--|------|-|-|----|-|-----⌫-|----|
ne for fairea lechité tant	-|---⌫----||-|-----|---|
qu eliuesq ueet li	--⌫|-|----⌫-|-|-|
clercdelostparlerentensa nleet i ugie rentq uele	----|-||--|--------|----⌫--|-|-⌫----⌫---|-⌫-|-|
bata i llee stoit dro iturieree tqueles deuoi t	----⌫-⌫--|-⌫----|---⌫-------|-⌫|--|--|-----⌫|
bie nassalircaranch ienement	---⌫|------|--|----⌫-------|
auoi ent estéchil dele	----⌫--|----|---|-|-|
chite ́obedie ntaleloi	-----⌫|------⌫-||-|--|
Romeetore enestoientin obedie ntquant	---|-|--|-|-------|--⌫------⌫-|----|
ildi soientque liloisde	-|--⌫-----|--|-|---|-|
Romme neual oit	----|-|---⌫--|
nien tet disoien tquet outchil	----⌫|-|-------⌫|--|-⌫--|---|
quiic rooientestoientchien etd isentli	--||-⌫------|-------|----|-|-⌫----|-|
uesquequeparta nt	-----|--|--|--⌫-|
lesd euo i t	--|-⌫---⌫-⌫|
onbienassaliretquechenestoi tmi e	-|---|------|-|--|--||-----⌫|--⌫|
pechi ésa ins	-----⌫--|-⌫--|
estoitgran saumos nes	-----|----⌫|-----⌫--|
Adon tcriaon	----⌫|---|-|
parl ostquetotuenissent	--||--|--|--|--------|
uenicien etun etautre	-------|-|-|-|----|
l ediemenchepar matine til	-⌫|--------|--|----|-⌫|-|
si fi sent	-|--⌫---|
Adoncsarmonnerentliuesqueparlostli	----|-----------|-|-----|--||--|-|
Sessons liuesquesde	------|-|------|-|
T r o ieli ueskes de	-⌫-⌫-⌫-|-|-----|-|
Hanestaist m aistres	---------|-⌫------|
Faicet eet	------⌫|-|
Lo s etmou strerent a speleri ns que	--⌫|-|---⌫-------|-⌫|------⌫-|--|
lebatailleestoitdroituriere carilestoient	-|-------|-----|----------|--|-|-------|
traïteuretm ordris seeuret	--------|-|-⌫------⌫----|-|
estoientd esloialqu ant ilauoient leurseigneurdr oituriermordriet	-------|-⌫------|--⌫--|-|------|---|-------|--⌫-------|-----|-|
qu ilesto ientpieur que	-|-|----⌫---|----|--|
Et dis en tliu esqu equilassolo ientde par	-|---⌫--⌫|-|-⌫----⌫|-|-|------⌫---|-|--|
deparl ap ostoiletouschi ausquilesasaurroientet	-|--||--⌫------|---|---⌫--|--|--|----------|-|
quemanderent liuesqu e	-----------|-|-----⌫|
aspelerinsqu i lse confessa i sse ntetkemeniaisse nttoutmolt	-|-------|-|-⌫|-|--------⌫-⌫---⌫-|-|-----------⌫-|---|---|
biene tq uilnedoutaissentmi e	---|-⌫|-⌫|-|-|----------|--⌫|
aassalir les	|------|--|
Grie uscaril est oient enem i	----⌫-|--|-|---⌫----|----⌫|
Et q uemanda	-|-⌫------|
onqu eonque sistetqueon o stast t outesles	-|--⌫|-|---⌫---|-|--|-|-⌫----|-⌫----|--|
folesfemmesde loste tq ueonles	----|-----|-||--|-⌫|-⌫-|-|--|
enuoia st bienloinen sus del os t	------⌫-|---|---|-|--|-||--⌫|
et onsifistqueonlesmis ttoutesen	-|-|-|---|--|-|--|---⌫|-----|-|
unenefsilesenuoia on	--|--|-|--|-----|-|
bienloin sdelost	---|----⌫|-||--|
Apré s quantliuesque eur en tpre ech iéetm oustréas	-----⌫|----|-|-----|---⌫--⌫|---⌫---⌫--|-|-⌫------|-|
pelerinsquele batalleestoitdroit ur iere si	-------|--|-|------|-----|-----⌫--⌫---|-|
seconfesserentmolt bien toute tfurentkemenié	-|-----------|---|---|---|-⌫|-----|-------|
Quantche uin t	----|--|---⌫|
ledelunspa r matin sisatornerent	-|-----|--⌫|----|-||---------|
molt bientot	---|---|--|
l ipeler in ets	-⌫|-----⌫-|-||
armer entet	-----⌫--|-|
uenici en et refisent lesponsdeleurs	------⌫-|-|-------|--|---|-|----|
nes etleur uissi e rs	--|-|---|-----⌫-⌫-|
et le urgalies silesare ng ie rent	-|--⌫-|-----|-|--|---⌫--⌫--⌫---|
costeacos te etse	----||---⌫-|-|-|
misent al euoie	-----||-⌫|---|
assa l iretauoit	----⌫-⌫-|-|----|
linauies bie nunegran desmeli we	-|-----|---⌫|--|----⌫----|--⌫-|
d efront etquantil furent ariuéet	-⌫|----|-|----|-|-----|-----|-|
ilsefur enttraitauplus presqu i lpeurent	-|-|---⌫--|----|-|---|---|-|-⌫|------|
get er enta ncres	---⌫--⌫--|-⌫----|
Etquantilfu r entaancresi commench ie rent	-|----|-|--⌫-⌫--||----|-|--------⌫--⌫---|
du rement aa s sali r	--⌫-----||-⌫-⌫----⌫|
etatraireeta	-||-----|-||
lanch ie ret	-----⌫--⌫|-|
ag eterfu griioisas	|-⌫---|-|------|-|
t oursmaisn e	-⌫---|---|-⌫|
pooit pre nd re	----|---⌫--⌫-|
lifus pourles cuirsdonteles	-|--|---|--|----|---|---|
e rentco uue rtes	-⌫---|--⌫---⌫---|
Et dedensse desfendoient m olt dur ementetfaisoient	-|-----|-|-----------|-⌫--|---⌫----|-|--------|
bien geter	---|----|
so isante perriereset	--⌫-----|--------|-|
getoienta cascuncaupseu r l es	-------||-----|---|---⌫|-⌫-|
nesmaisles nesesto ient si bi e nc ouuert es	--|---|--|--|----⌫---|-|--⌫-⌫|-⌫------⌫-|
de mairienet des arment	-|------|-|-|-⌫-----|
de uing nekerne leurfais o ientmie grantmal et	-|----⌫-|--|-|---|----⌫-⌫---|--|----|--|-|
estoientlespierr es s igransqueunshons	-------|--|-----⌫-|-⌫|----|--|--|---|
n enpeustmie une	|-|----|--|--|
le uerdeset ere	--⌫--|-|-|-⌫--|
Morchofle sliem pe reresestoit en senmonchelsifai soitses	---------⌫|-|--⌫--⌫----|-----|-|--|------|-|---⌫---|--|
buisin es dar gentsonne re t ses timbreset fa isoit	------⌫-||--⌫---|-----⌫|-⌫|--|------|-|--⌫----|
moltgr antbeubantetrenh eud isso itse gentetdiso it	---|--⌫--|------|-|----⌫---⌫----⌫-|-|---|-|----⌫-|
Alésla alés c h a	----|-|----|-⌫-⌫|
r enuo ie la ouil	-⌫----⌫-|-|-|-|
ueoit qu elig raindes besoinsesto it	----|--⌫|-|-⌫------|------|----⌫-|
Etnauoitmie entout l enauieplus	-||----|--|-|---|-⌫|----|---|
hautdequatrenesoudec hi ncqu	---|-|-----|--|-|-|-⌫--⌫-|-|
il p eussentaueniras	-|-⌫------|-----|-|
tours sierent	----|-|----|
el es ha utesettout liestag edes toursde	--⌫-|--⌫---|-|---|-|-----⌫|--|----|-|
fu stquierent faites seurlestou r s	--⌫-|--|----|-----|---|--|---⌫-⌫|
de pierredontil iau oitbien chincou	-|-----|---|-||--⌫--|---|----|-|
sis o uset etestoienttoutesw arnies deserians	--|-⌫|--|-|-------|-----|-⌫-----|-|------|
quile storsdesfendoient	--|--⌫|---|-----------|
Et tantiassalir ent quele nef	-|---||-------⌫--|--|-|--|
le uesqued e	-|-----|-⌫|
Ses sons sahu rtaaunedechest orsp ar	---⌫---||---⌫--||--|-|---|-⌫--|-⌫-|
Dieusicommele me rs qui onq uesnest	---|-|----|-|--⌫-|--|---⌫--||--|
co ielepo rta et seurlepont	--⌫-|-|--⌫--|-|---|-|---|
de ch ele ne fau oitun	-|--⌫--|--⌫|--⌫--|-|
uenicie n et deuscheuali ersarm éssicomme	-------⌫|-|---|-------⌫--|---⌫--|-|----|
l enef se fuah ur teeachel etour s i	-⌫|--|-|-|--⌫--⌫--||----⌫|---|-⌫|
u eniciensapiéseta mainsaumiexq u	-⌫-------||----|-||----|-|---|-⌫|
fait tant quil	---|---|-|-|
Q ua nti l fuensetliseriant	-⌫--⌫-|-⌫|-|--|-|-|------|
qui estoi enten	--|-----⌫--|-|
c hele stage	-⌫--|-⌫----|
Griu squeil iauoi tsi war dents i	----⌫|--|-||----⌫|-|---⌫---|-⌫|
leuoientselikeur ent i lsusahaches	-|-----|-|-|----⌫--|-⌫|--||-----|
et asespeessi le	-|-|-----|-|-|
deca up erenttout	----⌫--⌫----|---|
Si comme lemer s reportaau antl en ef	-|----|-|---⌫|------|--⌫--|-⌫|-⌫-|
si serahurt a achele	-|-|------⌫||----|
toursicomme ele	---|-|----|--|
sifura hurteesi ne	||-|--⌫-----|-|-|
fa itmais elli	--⌫-|---|-|-|
unsdesdeuscheuali er s	--|--|---|-------⌫--⌫|
Andriex de	------|-|
Dureboiseauoita non	--------|----||--|
si se prenti l a	-|-|----|-⌫||
piéset asmains a chelebreteskeet	----|-|-|----||----|-------|-|
faitt ant qu i l	---|-⌫--|-|-⌫|
semis tens a	-|---⌫|--||
ge n oullons	--⌫-⌫------|
Qu ant ilf ulaiens	--⌫--|-|-⌫|-----|
agenoullonsetch illi keurentil susaha che s	|---------|-|--⌫-|-|------|-|--||--⌫---⌫|
ase speessile	-|-⌫----|-|-|
feri rentdurementmais qui l	----⌫---|-------|---|-|-⌫|
estoitarmé slagrace	-----|-----⌫|-|----|
Dieusin ele naurere ntmiesi comme	---|-|-⌫|-|-------⌫-|--|-|----|
Diexlewardoit	---|-|------|
quineuoloit mieconsentir	--|-|-----|--|--------|
q uil dura isse nt plus	-⌫|-|----⌫----⌫-|---|
ne quec hilimorust mie	-|--|-⌫--||-----|--|
Ains uoloit pourletr a ï son d	---|-----|---|-|--⌫-⌫--⌫--||
pourlemurdre que	---|-|-----|--|
Morchoflesa uo it fai tet p ourled esloiauté	---------|-⌫--⌫-|---⌫|-|-⌫--|-|-⌫---------|
d ausquele chités fust	|--|--|-|------|---|
priseetque ilf us s ent tothon niqueli	----|-|--|-|-⌫--⌫-⌫--|--|---⌫-|--|-|
cheu aliersfu	----⌫-----|-|
e n piésetquantilfue npie ́ssitraist	-⌫|----|-|----|-|-|-⌫|---⌫-|-|-----|
Quantchille ui rrenten	----|---|-|--⌫----|-|
piéssifu r entsiesba hiet si	----|-|--⌫-⌫--|-|----⌫-|-|-|
e ur entgrantpeur q u	-⌫--⌫--|----|---|-⌫|
ilsenfu irent enlau tre estagedesou s	-||-|--⌫----|-||--⌫--|-----|-----⌫|
Quantchildel autreesta ge	----|---|-||----|----⌫-|
u irentque	-⌫----|--|
chi ldedeseure	---⌫|-|------|
aus senafuioi ent	--||-|------⌫--|
si si rewi dierentcheluiesta gene onques	-|-|----⌫------|-----|----⌫-|-|-----|
nioserentdemourer etliautrescheualiersie ntra	||------|-------|-|-|-----|---------||-⌫---|
apréset si ie ntra assés gens	-----|-|-||-⌫---|-----|---|
Etquantilfuren t	-|----|-|-----⌫|
ens sipren e nt boines cordessilo ient molt	--|-|----⌫-⌫-|-----|-----|-|--⌫---|---|
bien chele ne f	---|----|--⌫|
etq ua ntil leu rentloiesi i	-|-⌫--⌫-|-||--⌫---|---|-||
e ntrer entassésgente t quant	-⌫-----⌫--|-----|---|-⌫|----|
lemersreportoit lenef ariere s i bran loitchele tors	-|---|--------|-|--|-----|-⌫|----⌫---|----|---|
sidurementqueilsanloit	-|-------|--|-|------|
bienquel enes ledeust t raireiussique	---|--|-⌫|--|-|----|-⌫----|--|-|--|
p ar forcheetparpeurleur	-⌫-|-----|-|--|---|---|
couuintlenef desloier	------|-|--|-------|
Etquantchildesautres	-|----|---|--|-----|
estagespa rd e sousu ire nt que le	------|--⌫|-⌫-⌫---|-⌫---⌫-|--|-|
torsemplo it sides	---|-----⌫-|-|--|
Franchoissieurentsigrantpeur	--------|-|-----|-|----|---|
queonqu es nusni	--|----⌫-|--|||
osademorer	--|------|
ainswid ieren ttou tele tour	---|---⌫-----⌫|---⌫-|-|---|
Morch oflesueo it	-----⌫----|---⌫-|
bientoutchou sirenheudisso it	---|---|---|-|-----------⌫-|
se gentet lesen uoi oit laou	-|---|-|--|--⌫---⌫--|-|-|
queligraindes	--|-|-------|
assausesto it	-----|----⌫-|
En tre ches ent refaites	--⌫--|---|---⌫-------|
quechele toursfupartele	--|----|----|-|--|---|
mirac l eprise	-----⌫-⌫|----|
si se rahurtele nesseigneu r	-|-|------|-|--|-------⌫|
Braichoelaune	--------||--|
autr etoretqua nd e le si	----⌫|--|-|---⌫-|-⌫-|||
fur ahurte esicommenchentchilqui	-|-⌫------⌫|-|----------|---|--|
estoientseurl e pontde	-------|---|-⌫|---|-|
le nefaas alirdureme nt achele tour	-|--||--⌫---|------⌫-||----|---|
ettant queparmiraclede	-|---|--|--|------|-|
Dieu que cheletors	---|--|----|---|
Quant c hesdeustors	----|-⌫--|---|---|
fure n tprise s et e le sfurent	----⌫-⌫|-----⌫|-|-⌫--⌫|-----|
war niesdenosgensetilfurentesto urs	---⌫---|-|--|---|-|-|-----|-|--⌫--|
nenesosoientmo uuoir	-|-||------|--⌫----|
pourle grantp lentédegent que	---|-|----|-⌫-----|-|---|--|
il ueoient seurlemur	-|------|---|-|--|
entouraus etdede ns	-----|--|-|----⌫-|
les au trestourset	--|--⌫---|----|-|
i us desmursque chesto it	-⌫-|--|---|--|-|----⌫-|
unefine merueil le tanten iauo itil	--|---|-------⌫-|---|-||---⌫-|-|
Quantmesires	----|------|
Amiens uitquechil qui estoi entestours nese	-----|--|--|---|--|-----⌫--|-|----|-|-|
mouuoie ntet il	-------⌫-|-|-|
uitleconuine des	--|-|------|--|
G riussi nef aitmaiselsi	-⌫---|-|-|-⌫--|---|-|-|
descentilatereapié ets egent aue c	------|-||---||---|-|-⌫|---|---⌫|
luienunpeudespace	--|-|-|--||-----|
deterequiestoit entrelemer et	-|---|--|-----|----|-|--|-|
furent des ce ndu	-----|---⌫--⌫--|
sig a rdent auantsiueo ien til	-|-⌫-⌫----|----|-|---⌫---⌫|-|
unefauseposterne dontli wis a uo ientes té o stési	--|----|-------|---|-|--|-⌫--⌫---|--⌫--|-⌫---|-|
estoitmure e de n ouuel s iuient	-----|----⌫|-|-⌫----|-⌫|----|
illa si auo it au ecluibien	-|-|-|---⌫-|--⌫-|--|---|
dis cheualie rsetbien soisante	--|--------⌫-|-|---|-------|
Siiauoi tunclerc	-||----⌫|-|----|
Al iaumed e	--⌫----|-⌫|
Clariauoitanonquisiest oitpreus en tous	----|----||--|--|-|---⌫--|----|-|---|
bes oins quechestoit	---⌫---|--|-|-----|
lip remiersatousles	-|-⌫------||---|--|
assausoui l estoite ta le torde	-----|-|-⌫|-----|-⌫||-|--|-|
Galathapre ndrefistchisclers plusdeproec hespar	------|---⌫---|---|---|----|---|-|-----⌫--|--|
senc ors unpour un	--|-⌫--|-|---|-|
quetoutchilde lost forsseigneur	--|---|---|-||--|---|-------|
Pierron de	------|-|
Braiech oel	-------⌫--|
Che fuchis quitous lesaut re s pa ssa	--|-|---|--|---|--|---⌫--⌫|--⌫--|
ethausetbas	-|---|-|--|
queiln enieut onqu e snu l qui t a nt	--|-||-||--|----⌫-⌫|--⌫|--|-⌫-⌫-|
ifesistdarmes	|-----||----|
ne de proechesdesencorscommefist	-|-|-------|-|--|---|----|---|
Pierr es de	-----⌫-|-|
Braiechoel	---------|
Quantilf urent uenuach eleposternesicommenc hier ent	----|-|-⌫----|---||--⌫--|-------|-|-------⌫----⌫--|
a pikiermoltdurement et q uar rel	|-----|---|-------|-|-⌫---⌫--|
u oloientsidru ett an tig et oitonde pierres	-⌫------|-|--|-|-⌫--⌫||-⌫--⌫--|-|-|------|
del assus de s murs queilsanlo it ena isesk	-|-⌫----|--⌫|---|--|-|-----⌫-|---⌫---||
ilyfus s enten foïespierrestant	-||---⌫-⌫--|--⌫---|-|------|---|
enigeto it	-||----⌫-|
o netchilde des ousauoien t	-⌫|-|---|-|---⌫--|------⌫|
escus ettarg esdontilcou uroientchiaus	----|-|----⌫-|---|-|---⌫------|-----|
qui pi c oie ntaleposterne	--|--⌫-⌫---⌫-||-|-------|
Etgetoiton l e urdelass us	-|-----|-|-⌫-⌫-|-|----⌫-|
posplainsdepoisboulieet fu	--|-----|-|---|-----|-|-|
griioisetgr andesme spierresq uech es toitmira clesde	------|-|--⌫-------⌫|------|-⌫-|-|--⌫---|----⌫---|-|
Dieuque onn ele s	---|--|-|-⌫|--⌫|
confondoitto uset tan t	---------|--⌫-|-|---⌫|
is o uff ri mesires	|-⌫-⌫---⌫-|------|
Pierresetse	------|-|-|
ge ntdahan setdegr ietésque tropettan t	--⌫-||----⌫|-|-|--⌫-----|--|---|-|---⌫|
pic h ierenta che leposterne	---⌫-⌫-----||---⌫-|-------|
deh asc heset de boi nes	-|-⌫---⌫--|-|-|---⌫--|
espees des d eb ousetdepis	-----||-|-⌫|-⌫--|-|-|--|
ifisentun grantpertruis	|-----|-|----|-------|
Etquantchelepos te rnefuperchie	-|----|----|---⌫--⌫--|-|------|
sieswardere ntpar mietuirentt antde	-|---------⌫-|--|-|-|-----|-⌫--|-|
gentet hautetb asquesa nloit que demis	---|-|---|-|-⌫-|--|--⌫----|--|----|
limondesi fusts iquil	-|-----||---|-⌫|-|-|
nes osoient	-||------|
