enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
bia uxdolz a mis	---⌫-|---|-⌫--|
iaestié s uou stantb eltant	-|------⌫|---⌫|---|-⌫-|---|
preuettantsa gene	---|-|---|--⌫-|-|
est nusquiuost repareil	--|--|--|----⌫-|-----|
po isttrouuer entoutlemonde.	--⌫--|------|-|---|-|----||
commen t o ntcesouffertli die u qui	------⌫|-⌫-|-|-------|-|---⌫|--|
montto lu le meilleur	|--|--⌫-|-|-------|
quegeeu sse certesgeu sere	--|-|--⌫--|-----|-|-⌫---|
desoreenauantto ute mauieen	--|--|-|----|--⌫--|-|--|-|
etenlermeset siuos uengerai se	-|-|-----|-|-|--|-------|-|
ge en puis	-|-|---|
uenirenp ointet	----|-|-⌫---|-|
i metre toutementente	|----|----||------|
lo nguementot ai nsi demenéet fet	--⌫-------|-|--⌫--|------|-|--|
duel silefistenbaumeretenseue lir	---|-|-|---|-------|-|------⌫--|
moltrichement.	---|--------||
d autrepart	|----|---|
re fistliroy sagamenon enseuelir	--⌫---|-|---⌫|-------|--------|
molthonora blementler oy	---|------⌫------|-|-⌫-|
prothesalauxet me rion.et ausi	-----------|-|--⌫---||-|---|
f iren tt uitli au trech ascun	-⌫----⌫|-⌫--|-|--⌫--|--⌫----|
deson amietnef inerentonques d e	-|--|--|-|-|-⌫------|-----|-⌫|
yy io rztouz entiers de	-|--⌫-|---|------|-|
cerchier de queriretdenseu elir	-------|-|-----|-||-----⌫---|
c ha scunsonami .dautrepar t	-⌫--⌫---|--|--|||----|---⌫|
litroyenenseuelirq uassi bilanzle	-|-----|--------|-⌫-----⌫-----|-|
fila uroy pr iante tle	--|-⌫|--|--⌫---|-⌫|-|
mistrent outem ple deuerneris et	-------|-|---⌫--|-|-------|-|
moltleplo rer ent	---|-|---⌫---⌫--|
grantdueltuitsifrere	----|---|---|-|----|
etlitro yen	-|-|---⌫--|
quar tropes toit	---|---|--⌫---|
preuzetuaillanzetame zde	----|-|-------|-|---⌫|-|
peree t de	---|-⌫|-|
to zletroyens.	--⌫|-|------||
etquantc assandrala filleau	-|----|-⌫-------|-|----|-|
priantoy le duelquelitroyen	-----|-|-|---|--|-|-----|
fe soientde lo ramiq uiauoient	--⌫-----|-|--⌫|--|-⌫-|------|
esté mor t en la ba taillesidist	----|---⌫|-|-|--⌫-----|-|---|
ahaut euoizhege nz	|----⌫|---|-|--⌫-|
hayed equo i	---|-⌫|---⌫|
faitesuos teldue l	-----|--|--|---⌫|
oru ientq ueuo sle deur oiz	-|-⌫---|-⌫-|--⌫|-|----⌫--|
fa ire qu eencoreuerroi z uos	--⌫--|--⌫|-----|------⌫|--|
yllions ettoutelacite	------|-|----|-|---|
s eraabatueet essillieeetsi	-⌫--|-----|-|--------|-|-|
ser ap rochien em ent . etmaleoi te	---⌫|-⌫-------⌫--⌫--||-|------⌫-|
s oit ladestinequeparis	-⌫--|-|------|--|----|
amenaon ques	----|--⌫---|
h el eneencest	-⌫--⌫--|-|---|
lui main tbon	--|----⌫|--|
cheualieren perdrontles uies et	--------|-|-------|--|---|-|
toutcepaisen	---|-|---|-|
seraessillie z.	---|--------⌫||
e t cedisoit ele	-⌫|-|-----|--|
s ouuenten audi ence	-⌫-----|-|----⌫---|
de toutes lesgenzete ncoreen	-|-----|--|---|-|-⌫----|-|
eleplusqui lieus tsouffer t	--|---|--|-|---⌫|-------⌫|
quan tliro ysprianz u it	----⌫|-|--⌫-|-----|-⌫-|
qu eele neseu oloi t refraindre ne	--⌫|--|-|-|-⌫----⌫|---------|-|
pora u t resila	--|-⌫-⌫-⌫-|-|-|
fistmestre	---|-----|
en unechambre et enserrer	-|--|------|-|-------|
loing n degent	-----⌫|-|---|
que ele nefeus toyedes	--|--|-|----⌫|--|--|
t r oye ns car	-⌫-⌫---⌫-|--|
moltlorfesoit	---|--|-----|
que lea l oit disant	-|-⌫-|-⌫-⌫--|-----|
griz oisorentens eu e li	----⌫--|----|---⌫--⌫-⌫-|
touzles morz	---|--|---|
delo rpartieet	-|--⌫|-----|-|
queli plus ors desn aurez	--|-|----⌫--|--|-⌫----|
fur entauqu e sgueri etsané	---⌫--|----⌫-⌫|----|-|----|
unparleme nt comm enteten	-|-------⌫-|----⌫--|-|-|
quel maniereil porroien t	---|------|-|--------⌫|
plus gre uerlo ranemis	---|---⌫--|--⌫|-----|
fire nt l es troiens .mesce	----⌫-|-⌫-|------||--|-|
moltapalam idesetneliestoit	---||-----⌫---|-|-|-|-----|
mi e b elqu eagamenonestoit	--⌫|-⌫-|--⌫|-------|-----|
etc onduisierre sde	-|-⌫-----------⌫|-|
l ostau g rizois.si	|--|-|-⌫-----||-|
auintquetriues	----|--|-----|
f a illirent sisarmerent e t	-⌫-⌫-------|-||-------|-⌫|
ap par eillierent chascun	--⌫---⌫---------|------|
m ielz quil potsi i ssi re ntles	-⌫---|-|-|--|-|-⌫---⌫--⌫-|--|
tr oyensdelacitetuit	--⌫----|-|-|---|---|
m ontéet ap pa r eilliéet bien	-⌫----|-|--⌫--⌫-⌫------|-|---|
orde n ezpor combatreet	----⌫-⌫-|--|-------|-|
agamenonet	-------|-|
lesgr izois	--|--⌫----|
ref irentautretel .	---⌫----|-------||
la ueissie zm aintesba nie res	-|-------⌫|-⌫-----|--⌫---⌫--|
etmaintesenseignesde splieesetau	-|------|--------|--⌫------|-|-|
uen tuentelerm ainzhauberzet	---⌫|-------|-⌫---|------|-|
maint hya ume	----|---⌫--|
flamboier e t	--------|-⌫|
cheua uxet d e striers q uimol t	-----⌫-|-|-⌫-⌫------|-⌫-|---⌫|
estoi e ntbiaxet bien	-----⌫-⌫-|---|-|---|
appareilliéetengrantd eco r re.	-----------|-|------|-⌫|--⌫-⌫-||
quehectorbrocha d esesperons	--|-----|-----|-⌫-|-------|
t ou tprem ier	-⌫--⌫|----⌫--|
c ontr e a c hilles	-⌫----⌫|-⌫-⌫-----|
e tl ateintetferide tel force	-⌫||-----|-|---|-|--|----|
quea terre lab ati mesil	--||----||--⌫--|--|-|
estoitpreuzuites et legiers	-----|----|----|-|------|
si f utostre montezetpuis	-|-⌫|---|--⌫-----|-|---|
sentre c orurents usm o ltasp re ment	|-----⌫-⌫------|-⌫-|-⌫-⌫-|---⌫--⌫---|
etlongue men tdural a bataille	-|------⌫---⌫|---|-⌫|-------|
ent rauxyy et molts	---⌫|--|-|-|---||
entreblecierent durme ntet sil	--------------|-----⌫-|-||-|
eusit ostsecorscommeil	-|-|-⌫--|-----|----|-|
lesyy ense mble	--|-|----⌫---|
eu ssenteste ́mortenla	--⌫----|----⌫|---|-|-|
meslesun s l essierentcor re	--|--|--⌫|-⌫--------|---⌫-|
cont reles	----⌫-|--|
autres t out outreementets	-----|-⌫--|---------|-||
asemb lerenttout peleetmelle	-----⌫-----|---|----------|
et feso itchascun	-|----⌫-|------|
doupisque ilpo uoit.	--|--|--|-|--⌫---||
dyomedes ettroylus s	-------|-|------||
entrabat irentliroysmenelau x	--------⌫----|-|---|-------⌫|
leferi mo ltdur ment mes	-|---|--⌫-|---⌫---|--|
paris qui molt	----|--|---|
esto itbon s	----⌫-|---⌫|
archiers leferid une	-------|-|---||--|
saesteparmi	-----|----|
le uisd on ti llenaura	-|--|-⌫--⌫|-⌫|-|----|
malement.apresferi si	-------||----|---|-|
achil les q ui	-----⌫--|-⌫-|
moltforsenez es toit	---|-------|--⌫---|
de lanaureureauroymenel a x	-|-|-------|-|--|-----⌫-⌫|
t r entefilzau roypriant	-⌫-⌫---|---|-|--|-----|
quia uoi tnon	--|-⌫---⌫|--|
dorcalusquem ort	-------|--|-⌫--|
abatiate r re do ntlitroyen	----||--⌫-⌫-|--⌫-|-|-----|
moltcorrocié.siab ati	---|--------||-|--⌫--|
prothe nor	------⌫--|
deboeceius	-|----|--|
doucheu alhectoret	--|----⌫-|-----|-|
uol tpa nreet	---⌫|--⌫--|-|
enmenerson	------|--|
galatheem eshecto r quia pie	-------|-⌫-|-----⌫|--||--|
estoitleferi	-----|-|---|
que aterre labati	--||----||----|
dontse fugrantd omageau grizoi s	---|-|-|----|-⌫----|-|------⌫|
quarmol t esto itbons	---|---⌫|----⌫-|---|
cheual iersetseurs.et pu is	------⌫---|-|----||-|--⌫-|
montahectorsorsoncheual	----|-----|--|--|-----|
enlabata illemoltiriez	-|-|----⌫---|---|----|
etocioitet abatoit	-|-----|-|------|
qu anc q uil	--⌫---⌫-⌫|-|
ateignoitauantlui . que	--------|----|--||--|
iroiegetant longuementcontant	----|-|---|---------|------|
iotmerueille u segran tocisio n	|-|---------⌫-⌫-|----⌫|------⌫|
d au t reetmolt	|--⌫-⌫-|-|---|
ifuren tmorzetafolezdeuaill a nz	|-----⌫|---|-|-----|-|-----⌫-⌫-|
cheualiers parlorproesces.	---------|--|--|-------||
m esligreignors meschies	-⌫-|-|--------|-------|
gr eignorper teenf uacele foi z au	--⌫-----|---⌫-|-|-⌫||---|---⌫|-|
g rizoissi seretr estent arriersalor	-⌫-----|-|-|----⌫-----|------||--|
ten tes etli	---⌫--|-|-|
l ac i te p or cequil	-⌫|-⌫-⌫-|-⌫-|-|-|-|
e stoit tart.	-⌫----|---||
quant l esgrizoisfu ren t	----|-⌫-|------|--⌫---⌫|
tentesilalerenttuitautref	-----|-|------|---|-|---|
agamenonliqu iexlor	-------|-|--⌫--|--|
biaxseignorssachi ezque noz	---|-------|-----⌫-|--|--|
a ncessors fure nt etpreuz	-⌫-------|----⌫-|-|----|
etuaillanz nonques ne firent	-|-------||-----|-|-----|
chosequi nos	----|--|--|
puisse est re to rnee	-----|---⌫-|--⌫---|
en reprochepor quoigeu os	-|-------|--|---|-|-⌫-|
ladignete etla	-|------|-|-|
quenozan cessorsont toziorz	--|--|--⌫------|--|--|---|
maint e nue nesoit mi eparnos	-----⌫-⌫--|-|---|--⌫|--|--|
abe ssi eecarsenosneue nons	---⌫---⌫-|--|-|--|-|--⌫---|
chiefdece stebesoigne que nos	----|-|--⌫--|-------|--|--|
entreprizeto utelone u rquen oz	---------|--⌫--||---⌫-⌫|--|-⌫-|
ancessorsont eue caenar r ie rs	--------|--|--|-|-|--⌫-⌫--⌫-|
p e r ieetnos	-⌫-⌫-⌫-|-|--|
etnostrepaisdiffamé	-|-----|---|-------|
etuer gondéet senos enpoons	-|---⌫-----|-|-|--|-|----|
uenir audesus cenos torner a a	----|-|----|-|--|------⌫||
moltgrant h o noracequenos	---|----|-⌫-⌫--||-|--|--|
sauons bienqu e ilsontd au tre	-----|---|--⌫|-|---||--⌫--|
partmoltg rantg ent	---|---|-⌫---|-⌫--|
quarcildesezille	---|--|-|------|
depu illecil de	-|--⌫---|--|-|
et uneparti e deroumeniecilde	-|--|-----⌫|-|-------|--|-|
ytalie cilde persecil	-----|--|-|----|--|
d efemeniecildemacedoin e et	-⌫|------|--|-|--------⌫|-|
maintautr epaisi sont	----|----⌫|---||---|
gra n zge nz a ssemblez .mes	---⌫-⌫|--⌫-|-⌫-------||--|
toutce n estr iens enuer s	---|-||--|-⌫---|-----⌫|
noset sorc equeu ossau ezbien	--|-|--|-⌫|--|-⌫-|---⌫-|---|
li d euinresp o nsnosont	-|-⌫---|----⌫-⌫-|--|--|
dit q ueno sl esdeuons	--|-⌫-|--⌫|-⌫-|-----|
u o incre e t	-⌫-⌫----|-⌫|
uenira chie f	----||----⌫|
decestebes oigne	-|----|---⌫----|
quinousest gra nt confort	--|---|--|---⌫-|------|
p renonsgarde com ment	-⌫-----|----|---⌫---|
nosp orrons	--|-⌫-----|
panreour etenirhector	----|-|-⌫-----|-----|
lefilauroypriant	-|--|-|--|-----|
carcestcelui	--||--|----|
quiplu s nos	--|---⌫|--|
greueetquiplus	----|-|--|---|
etseil pooi test re	-|-|-|----⌫|---⌫-|
morzo u retenuznosnaurionsmes	---|-⌫|------|--||------|--|
quefa irecaril seroient si esperdu	--|--⌫--|--|-|-------|-|------|
que il nosero ientistrehors	--|-||-----⌫---|----|---|
a batai lleet il distre nt queil	|-----⌫--|-|-|------⌫-|--|-|
disoituoir ets acorderent	-----|---|-||---------|
molt bie n acequeagamenonotdit .	---|---⌫||-|--|-------|-|--||
distchascuns queuolentie rsse	---|-------|--|--------⌫-|-|
p eneroitde lui	-⌫------|-|--|
retenirouocirr e. et	------|-|-----⌫||-|
li troyenfurent atroiefesanz	-|-----|-----||----|-----|
grant ioiedou dom ag equ	----|---|--|---⌫--⌫|-|
il auoient	-|------|
fetaugr izoisetgraces	--|-|--⌫----|-|-----|
et oblations e nrendirentausdex.	-|--------|-⌫|--------|--|--||
al andemainbie n mati n lesgrizoi s	||-------|---⌫|----⌫|--|------⌫|
l es troyens s	-⌫-|------||
apareillier ent	-----------⌫--|
etarme rentchascun doumi eulz	-|----⌫---|------|--|--⌫---|
quilpo tet quantilfure nt	-|-|--⌫|-|----|-|----⌫-|
tuit appareillie ́ ilissirent	---|-----------⌫|-|-------|
la batailleet	-|-------|-|
aut r e s.	---⌫-⌫-⌫||
siau intqu e	-|--⌫--|--⌫|
agamenon ethector s	-------|-|-----||
entrenc ont r e rentm olt	-------⌫---⌫-⌫-⌫---|-⌫--|
a sprem e nt sibriza	-⌫-----⌫-⌫-|-|----|
agam enons a	----⌫---|-⌫|
lance mesh ectorleferisi	----|--|-⌫----|-|---|-|
queill a bat i	--|-||-⌫---⌫|
eustsenefeust	---|-|-|----|
achyll esetli	------⌫-|-|-|
roysmenelauxet	---|-------|-|
ulixes etp olibeteset	-----|-|-⌫-------|-|
neptolemus	---------|
eth elenusetpalamides etliroy s	-|-⌫-----|-|--------|-|-|---⌫|
pol idariusli gras	---⌫------|-|---|
etquarlachus	-|---------|
etarchelauxet	-|--------|-|
thelamonius aiauxetliroys	----------|----|-|-|---|
menetes etliroys de	------|-|-|---|-|
quartageet l i	-------|-|-⌫|
roys erualus et	---|------|-|
li roysphilitoas et	-|---|--------|-|
etaue caux moltgrant compaign iede	-|---⌫|--|---|----|--------⌫-|-|
b ons cheu al i e rsquituit i	-⌫--|----⌫--⌫-⌫-⌫-|--|---||
sor uindrent.	---⌫-------||
etdautreparti	-||----|---||
soruindren tparisettuitsi	----------⌫|----|-|---|-|
et liroys pandra lusetliroys	-|-|---|------⌫--|-|-|---|
ha pe zetadrastusetli roys	--⌫--⌫|-|-------|-|-|---|
etmaintautre baro n dont	-|----|----|----⌫|---|
auroiea pie cenomél esnons et	-----||---⌫-|----|-⌫-|---|-|
otmolt g r an t compaignie	-|---|-⌫-⌫--⌫|---------|
soi . lor s	--||---⌫|
com mancaliestourzgrant	---⌫----|-|------|----|
etcruelsi poistlen u eoirtes tes	-|----|-|----|--|-⌫---|---⌫--|
etbraze t pi e zcopperet	-|---|-⌫|--⌫-⌫|-----|-|
homesetcheuaux	----|-|------|
ocirre .et	-----||-|
ta n t e niot	--⌫-⌫|-⌫||-|
dune partetdautreen	|--|---|-||----|-|
peti t doredemo rz etde naure z que	----⌫||--|-|--⌫-|-|-|-----⌫|--|
touz li champs enestoit couuerz	---|-|-----|-|-----|------|
nonques maissigrant ocisiond	|-----|---|-|----|------||
etdecheuaxe ntre	-|-|-----|-⌫---|
auo it es té	---⌫-|--⌫--|
q ui pasle s	-⌫-|--|--⌫|
nombrernece	------|-|-|
nestoi tforsfin e	|-----⌫|---|---⌫|
me ruei ll ear egardera l	--⌫----⌫--⌫||-⌫------|||
encommencement	-------------|
qued elabel e	--|-⌫|-|---⌫|
cheualeriequi	---------|--|
et moltfu letaueoirau departir	-|---|-|--||----|-|-------|
qu ar lichamp	--⌫-|-|----|
estoi enttuit	-----⌫--|---|
senglantetcouuert domeset	-------|-|------||---|-|
d e che uaux	-⌫|---⌫---|
mor zetocisla.	---⌫|-|---|-||
sentrencontrer ent	|-------------⌫--|
agameno n et	-------⌫|-|
pandralu setsentrepo r terent	--------⌫|-||-------⌫-⌫-----|
aterredescheu aux .et	|----|--|----⌫--||-|
ferisiparisqueillefist	---|-|----|--|-|-|---|
cheoirpardesusl a crope	-----|--|----|-⌫|----|
do nt paris ot m oltgranthon te	--⌫-|----|-|-⌫--|----|---⌫-|
por he lenequiestoit enha ult	--|--⌫---|--|-----|-|--⌫--|
aus mursdelacitequi	--|---|-|-|---|--|
bien connu t	---|-----⌫|
e tl unet l autre au sar mes	-⌫||-|-||----|--⌫|--⌫--|
il po rtoien t.et ul ixe sabati	-|--⌫------⌫||-|--⌫---⌫|----|
adrastuset enmenason	-------|-|-----|--|
cheual.palamidesportaaterre	-----||--------|----||----|
polida mas mes asseztostfure montez	------⌫--|--|----|---|-|--⌫-----|
quar preuze t leg iers	---|----|-⌫|---⌫---|
liro yst h elemusa ba ti	-|--⌫-|-⌫-⌫-----|-⌫--⌫-|
le roy calcasetmol tle naura.	-|--|-----|-|---⌫|-|----||
li roys philimenis trebucha a	-|---|---------|-------||
t e r releroy	-⌫-⌫-⌫-|-|--|
datheneset en mena	|------|-|--⌫---|
son cheualquar il	--|-----|---|-|
cheymolt nau rez.	---|---|---⌫--||
liroysmiceresabati etocist	-|---|------|----|-|----|
le roy dequart ag e philitoaset	-|--|-|-----⌫--⌫|--------|-|
sentrencontrerent detel	|---------------|-|--|
entreporterentater re.	-------------||---⌫-||
etli r o ys	-|-|-⌫-⌫-|
thiseus et li roys	------|-|-|---|
daresebrochieren tluncontre	|----|----------⌫||-|-----|
uerserent et	--------|-|
trebuchierent aterreli	------------||----|-|
lautre etfurent an du i	|----|-|-----|--⌫--⌫|
malementb le c iez.	-------|-⌫--⌫-⌫--||
li roys thelam onet	-|---|------⌫-|-|
liroyssarpedons	-|---|-------||
entrencon tre rent	---------⌫---⌫---|
de telf or cequ e li unsetliaut res	-|--|-⌫--⌫-|--⌫|-|--|-|-|---⌫--|
cheyrenta ter redet elayr	-------||---⌫-|-|-⌫-|--|
queil furen t longuementen la p lace	--|-|-----⌫|---------|-|-|-⌫---|
sanz auxmouuoiretc u ida lenbien	---|--|------|-|-⌫-⌫--|--|---|
quilfeussentmort etnaurez	-|-|-------|---|-|-----|
furentm olt malement.	-----|-⌫--|-------||
thoas etachillesquip arenz	----|-|-------|--|-⌫----|
estoientuirentet	-------|-----|-|
ape rc urenthec t or	---⌫--⌫----|---⌫-⌫-|
etbrochierent contre	-|----------|-----|
greueren tm oltmalement	--------⌫|-⌫--|-------|
ethectorqui preuz forz et	-|-----|--|----|---|-|
puissanze stoit	-------|-⌫----|
lor liuroit	--|------|
po inee tbataille mes	--⌫--|-⌫|-------|--|
ocisoupris	---|-|---|
eu stesté	--⌫-|----|
porla greuancequ	--|-|-------|-|
ilauoit touteioursouffer tquant	-|----|----|---|-------⌫|----|
lifilauroypri antno n	-|--|-|--|---⌫--|--⌫|
fame espou se	---|-----⌫-|
quibon cheualier	--|--|--------|
et preuzethardiz	-|----|-|-----|
estoienti s oruindrentq ui molt	-------||-⌫---------|-⌫-|---|
b ienseprouuerentaceleenpointe.	-⌫--|-|---------||---|-------||
laotthoasco ppéle nes et l	-|-|----|--⌫---|-|--|-||
e nmenadeiphe busquib ons	-⌫----|------⌫--|--|-⌫--|
cheu aliers	----⌫-----|
es toiten prisonen laciteli quiex	--⌫---|-|-----|-|-|---|-|----|
es toitu enuz alarescou sse	--⌫---|-⌫---||-|------⌫--|
auec les filzauroypriant	---|--|---|-|--|-----|
nonmie despo use.	--|--||----⌫--||
etquant achilles uit thoas	-|----|-------|--|----|
cousin si mal ator née t quelen le	-----|-|--|----⌫--|-⌫|--|--|-|
me noitenp risonen la	--⌫---|-|-⌫----|-|-|
fumolt dolenz etco rroci ez	-|---|-----|-|--⌫-----⌫-|
en po t plusfa i re ace lefoiz.	-|--⌫|---|--⌫-⌫-||--⌫-|---||
iroiege tant	----|-|---|
l onguementc ontantqu iconques	-⌫--------|-⌫-----|--⌫-------|
u oldroitdireet ramenteuoirtoutes	-⌫------|---|-|----------|-----|
le scheua leries quii furentd une	--⌫|-----⌫-----|--||-----||--|
partetdautreetquibienle	---|-||----|-|--|---|-|
fi st et quimal tro pporroit	--⌫-|-|--|--|---⌫|------|
ennuyera aucunsdoudire	------||-----|--|---|
escout ermesquetantiot	------⌫-|-----|---||-|
e tdesaf o le z	-⌫|--|--⌫-⌫--⌫|
autre qu ilnest nu squi	----|-|-||--|--⌫|--|
pois tnomb rer .	----⌫|----⌫--||
e tpluse ncor eenieusteu mesl i	-⌫|---|-⌫----⌫|-||---|-|--|-⌫|
iorzlor failli etlanuitle s	---|--|-----|-|-|---|--⌫|
sor prist sise retrestrent	---⌫----|-|-|----------|
tr oyensenlac iteetl es	--⌫----|-|-|-⌫--|-|-⌫-|
grizoisen lor tente s e t	------|-|--|-----⌫|-⌫|
co mpl ai ndrentetlesuns	--⌫---⌫--⌫-----|-|--|--|
autre s dou domagequil	-----⌫|--|-----|-|-|
au oien te uence leiorn ee .	--⌫----⌫|-⌫|-|--⌫-|----⌫-||
