en un iorgedepresseizde	-|-|--|-|---------|-|
uilainnominterocrin a es tno m eie e ncu i as toi t	-----|--|----------⌫|--⌫|--⌫-⌫--|-⌫|--⌫|--⌫---⌫|
uns h o mdemult	--|-⌫-⌫|-|---|
meruilho useuie se uerus par nomki astoit	--------⌫--|--|--⌫----|--|--|-|-----|
pr ouoi resde	--⌫----⌫--|-|
laglisela mere de ukiest	-|----|-|---|--⌫|-|--|
de bieneurou s em e moireet toztensuir gene .	-|---------⌫-⌫|-⌫-⌫----|-|--|---|---⌫---||
icestuiun speres d emaihniesquant ilastoit uenuz	------|--⌫|----|-⌫|-------|----|-|-----|----|
ald airainio rparenuoie z	-|-⌫-----|--⌫|--|------⌫|
messages tos troua t keil	-------|---⌫|----⌫|-|-|
multtost uenistasoietdesesor isonspr oiast	---|---|-----||--|-|-|--|--⌫----|--⌫----|
porsespechiezpar	--|--|------|--|
keilapresfait epeni tancedes esmalz des loiez de	-|-|----|----⌫|----⌫----|-|-⌫-|---|---⌫----|-|
culpeeisteroitdelc ors.	----|--------|--|-⌫--||
liqueizl oist asauoirp rouo iresauint	-|----|-⌫---||-----|-⌫----⌫---|----|
keild esquidiement astoit	-|-|-⌫-----------|-----|
occ upeizatalhier	---⌫----||------|
etsidis t aceaz qui uinrenta s oi	-|-|---⌫||---|--|------||-⌫-|
aleizdeuant e ll euosgeuo s	----|-----|-⌫--⌫---|-|--⌫|
e t quan til uitencele	-⌫|----⌫|-|--|-|---|
meismeoeurerem anoir a soipetitalcunechose	-----|----|---⌫----||--|----|-----|----|
sif is tu n poi	-|-⌫--⌫|-⌫|--|
d e mora nceparke ilparempliroitcelpetit d	-⌫-⌫----⌫--|--|-|-|-----------|--|----||
oeure kelui	----|-|--|
remanoitq uantil loutparemplitsicomenzat	-------|-⌫---|-||--|--------|-|-------|
al eir almalad e .	--⌫--|-|-----⌫||
maisa lui alant en la	---||--|----|-|-|
uoie encontre	---|-------|
coru rentcilkianzoisastoient uenutsifurentfa it	----⌫---|--|-|-----|-------|----|-|-----|--⌫-|
enco ntreluid isant	----⌫---|--|-⌫----|
pere sporcoi	----⌫|--|--|
astua targiét	-|-|-⌫-------|
netoilas s e mie car il	-|--|---⌫-⌫|--|--|-|
quantceo it icilsi	----|-|-⌫-|---|-|
tremblate tpargrandesu oizcomenzatacrier	-------|-⌫|--|------|-⌫--|-------||----|
soi estreocciseor dece lui	--|----|-------|-|--⌫--|
giere silplo ranz paru int al	-----⌫|-|---⌫---|----⌫--|-|
corsdel mort	---|--|---|
etsisoid onat	-|-|--|-⌫---|
enlarmes enterredeuantlolit	-|-----|-|----|-----|-|--|
ild urementplo reuetetso nchiefente rrefer oit	-|-⌫------|---⌫----|-|--⌫|----|-|--⌫--|---⌫--|
et s oicrieuetestre	-|-⌫-|------|----|
c ulpabledel am o rtdecelui dunkesmanes	-⌫------|-|-⌫|-⌫-⌫-|-|----|-----|----|
re ceut anrm ecil kia stoitmorz .	--⌫---|----⌫|--|-|-⌫----|---||
chosequantueoienticil ki en uiron	----|----|------|---|-|--⌫----|
parforsmisesuo izdam mirat ionco men cierentplusaplore ir	--|---|----|--⌫-||--⌫-----⌫--|--⌫---⌫------|---||-----⌫-|
etquan t luideman derentuilfut	-|----⌫|--|-----⌫-----||-|--|
u c oment ilrepaira t sidi st mu ltnoi r	|-⌫----|-|-------⌫|-|--⌫-|--⌫-|---⌫|
astoie nt lihomme	------⌫-|-|----|
k imoimenei rent de cui	-⌫|--|-----⌫---|-|--|
bocheet decuin ari nes	----|-|-|--|-⌫---⌫--|
e issoitfouscuigene pou	-⌫-----|---|--|-|-|--|
et quanti lmoi menerent	-|----|-⌫|--|-------|
parobscu rs	--|-----⌫-|
liussodainem entunsi ouenc eaz	---|--------⌫--|--|-⌫-----⌫--|
debeleueueauocaltresfut faizencontrenos	-|---|---|---|-----|--|---|-------|--|
alanzkidista	----|-|---||
ceazki mo itraoientremeneiz cel ui car seueirs li p restes	---|-|--⌫|-------|-------|---⌫-|--|------|-|-⌫-----|
pla intli sires	---⌫--|-|----|
lat doneitaseslarme s	|-|-----||--|-----⌫|
li queiz loist	-|----|----|
asau oirseueirs enhelementsoi leu atde la	|---⌫--|------|---------|--|---⌫-|-|-|
t err e et aluifa isantpeni tencedon a t	-⌫---⌫|-||--|--⌫----|----⌫----|---⌫-⌫|
aiuede saproiere .	---|-|-|------||
etq uantilparsetiors de scu lpescui	-|-⌫---|-|--|--|---|--⌫|--⌫---|--|
i lauoitfaitfaisoit pe niten cemalade s r etor neizauie	-⌫|----|---|------|--⌫-----⌫-|------⌫|-⌫----⌫---||--|
eloitismeiorliez	-|------|--|---|
eissitdelcors.	-----|--|---||
parpense proie geces tse ue irdontnos	-------|----|-|---⌫|--⌫--⌫-|---|--|
parlonscom	------|--|
ameitli s ires	----|-|-⌫---|
lo reg ardatcui	-|---⌫----|--|
ilne soffrit pasestre c ontri steit nes	-|-|------|--|----|-⌫-----⌫----|--|
aunp etitdetens.	|-|-⌫---|-|---||
multmeru il houses sontcezchose slesqueiz getr oeue	---|----⌫--⌫-----|---|--|-----⌫|--|----|-|--⌫---|
ioskesaor moiauoiratapit	-----||-|--|----|-----|
maisqueile	---|-----|
chosedison snosestr eketeil ho m me	----|-----⌫|--|----⌫|-|---|--⌫-⌫-|
ne puen t pasores tretroueit	-|----⌫|--|-|--⌫--|------|
gea esmepiere s pluisorsteizen cest	-|-⌫---|-----⌫|-------|---|-|---|
s ecleor nient d efalir.	-⌫---|-|----|-⌫-----||
quaretseilnefontpasteizenseng es	---|-|-|-|-|---|--|---|------⌫-|
nekedentso nt ilte il	-------|--⌫-|-|--⌫-|
quar laur a ieaesmancedela	---|-|--⌫-⌫-|-------|-|-|
u i eel eesten	-⌫-⌫|--⌫|--|-|
lauert utdes oeu resni enten lade mostr ance	-|----⌫-|--|---⌫--|--⌫--|-|-|--⌫-----⌫---|
des si gnes	--|--⌫---|
cari lsontlialcantkine fo nt pas	--|-⌫|---|-|-----|-|-|--⌫-|--|
signesn eked ent ne so nt	-----|-⌫----⌫--|-|--⌫-|
dissemblanta ceazkisignesfont.	----------||---|-|-----|---||
geto ip roid ont m o ipuet ceestredemostreit	-|--⌫|-⌫--|-⌫--|-⌫-⌫|---|-|----|---------|
ke soient l ialcan tki	-|-----|-⌫|-----⌫|-|
pass ignesetnek edentneso ntilpa s dissemblanta	--|-⌫----|-|---⌫----|-|--⌫-|-|--⌫|----------||
neseiztudunkeske	-|---|-|-----|-|
paulusliapostelesa	-----|-|--------||
pirronlo promierdes	-----|-|------|--|
apostelese stfrereselpri nzam e aposto lal	--------|-⌫-|-----|-|---⌫----⌫|------⌫--|
gelsaieng ueil mentetnestpas	-||--|---⌫----⌫---|-||--|--|
dotousec hosecaretiasoit il	------|-⌫---|--|-|-|---|-|
li plus petizde	-|---|----|-|
t o zlesa postele snekedent i l la burat	-⌫-⌫|--|-⌫-------⌫|-------|-⌫|--⌫----|
plusdetozlesaltres .	---|-|--|--|-----||
ketumeismesbienr ame nbres	-|-|------|---|-⌫---⌫----|
pieres ala tenl ameirdeses piezpau lus	-----|---⌫|-|-⌫|---|-|--|---|---⌫--|
soffrit enlameirbrisu redeneif .	------|-|-|---|-----⌫-|-|---||
enun meis meel e ment	-|-|----⌫-|--⌫-⌫---|
p a uluslanepotpas aleir	-⌫-⌫---|-|-|--|--|----|
aneifupirres fist	|---||-----|---|
uoi ede se sp iez.	---⌫|-|--⌫|-⌫--||
poruec esta t aouerte ment	-----|----⌫|-------⌫---|
ke ia soit ke	-|-|---|-|
lauertuzdelune t	-|-----|-||-|-⌫|
del al trefu tdissemb la nzel	-||--⌫--|--⌫|-------⌫--⌫-|-|
miracleneke den t	------|----⌫---⌫|
ladesertedelunet	-|------|-||-|-|
pasdissem bl anzel ciel .	--|------⌫--⌫--|-|---||
gelre g ehisdel t oten	-||--⌫-⌫---|--|-⌫-|-|
totmoiplaist ce	--|--|-----|-|
ke tudis .	-|-|--||
or conoiso uertementke lom	-|-----|-⌫--------|-|--|
doitquerre lau ieetni entless ig nes	---|-----|-|-⌫-|-|--⌫--|--|-⌫--⌫--|
maisnek ed entpar	---|---⌫--⌫--|--|
tantkemeismes	---|-|------|
lessigneskisontfaite sala	--|-----|-|---|-----⌫||-|
boneuieportenttesmoin gete proiketu encor	---|--|------|------|-|-|---|-|-|----|
racontes sialcun esch osessontpar	-------|-|-----⌫-|--⌫---|---|--|
ketumoifam ilhouspais sespar	-|-|--|---⌫-----|----⌫--|--|
lesexemplesdes bons.	--|-------|--|---||
geu olr oie atoi es	-|-⌫---⌫--||--|-|
loeng esdenostre	-----⌫-|-|-----|
rachateoralcuneschoses	--------|------|-----|
ra conte irdesm iraclesde	--⌫-----⌫-|--|-⌫------|-|
lhonorabl ebaron b enoitm aisa	|--------⌫|----|-⌫----|-⌫--||
cezchosesparemplir	--|-----|--------|
uoi ge lot ens	--|-|-|-⌫--|
dui nientpoo irsuffire.	|-|----|---⌫-|------||
gieresplus franchementparleron s	-----|---|----------|--------⌫|
n oscez chose s senosprendo ns unaltr ecomencement.	-⌫-|--|-----⌫|-|--|------⌫-|-|----⌫|----------||
