Carleslireisnos tre	-----|-|---|---⌫--|
se pasmeteangoiset	-|-----||-------|
Dedeu antlui	-----⌫--|--|
Bramimund e	---------⌫|
crie tmu ltforme nt	----⌫|--⌫-|-----⌫-|
Ensembl od liplus	------|-|-|---|
XX. m il humes	--|-⌫-|----|
Simaldi ent	-|-----⌫--|
Franc edulce	-----⌫|----|
Apolinencurent enunecrute	-----|-|-----|-|--|----|
Ten cent aluilaidem entledespersunentEma l uaisdeuspor	---⌫---||--|------⌫--|-|-----------||--⌫-⌫---|---|--|
quei nusfais tel	---|--|---|--|
Cestnostrer e iporquei lessascunfundre	---|-----|-⌫-⌫|--|---|-----|--------|
Kimultt eser t	-|---|-⌫|---⌫|
maluaisluerlen dun es	------|---||-|---⌫-|
Puissilitole ntsonsceptree sa	---|-|-|----⌫-|--|------||-|
Parl es mainsle pendent	--|-⌫-|----|-|------|
desurune culumbe	----|--|------|
En tre lur piezater ele tr esturne ntA	--⌫--|--|---||---⌫|-|--⌫-------⌫-||
gran z b as tu nsle	----⌫|-⌫--⌫--⌫-|-|
batentedefruisent E	-----||---------||
Teruaga n tolents unescarbu ncle E	-------⌫|-----|-⌫-|-------⌫---||
Mahumetenzenun	------|--|-|-|
fos s etbutent Epor cec he n	---⌫-⌫-|-----||---⌫||-⌫--⌫|
D epasme i sunsenest u enuz	-⌫|-----⌫-⌫---|-|--|-⌫---|
Faitseiporte r	---|--|-----⌫|
ensa cambreuol tice	-|-|-----|---⌫---|
Plu sursculursi adpei nzeescrites	---⌫---|-----||-|---⌫-||-------|
Bramimundelep lure t	---------|-|-⌫----⌫|
Traits es cheuel s si	----|-⌫-|------⌫|-|
se cleimetcaitiueAlaltremot mult	-|------|------|||----|--|---|
haltementses criet E	--------||--⌫----||
Sarragucecu miesor	--------|--⌫|--|-|
d esgu arnie	-⌫----⌫----|
Del ge ntilreiki	--|--⌫---|--|-|
taueitenbaill ie	|----|-|-----⌫-|
Lino stre deuiuntfait fel onie	-|--⌫---|--||--|---|---⌫---|
Kienbata ill ieoimatinlifa illire nt	-|-|----⌫---⌫-|-|----|-|--⌫------⌫-|
Li amiralz ife rat cua rdieSilne	-|------||--⌫--|---⌫---||-|-|
cumbata celegenthardie	-----||---|---|-----|
K isi sunt f iersnuntcurede luruies	-⌫|-|---|-⌫---||--|---|-|--|---|
Liemperere	-|-------|
odlabarbef lurie	-|-|----|-⌫----|
uasselag ea d emultgrante st ultieSi l	--------⌫|-⌫||---|----|-⌫--⌫----||-⌫|
a dbatailleilnes enfuirat mie	-⌫|-------|-|-||-|-----|--|
Mul test grant	---⌫|--|----|
doel quenenest	---|--||-|--|
ki loci et	-||---⌫-|
Liemperereparsagrantpo ëstet.	-|-------|--|-|----|--⌫-----||
uII.anz t uzplensade n	---|--|-⌫-|----|-|-⌫|
Espai gneest et	-----⌫--|---⌫-|
Prenti chastelse alqua ntescitez	----||-------||-----⌫---|----|
Marsiliesenpurcaceta s ez	-------||-|-------|-⌫-⌫-|
Alpremer anf ist	-|-----|-|-⌫--|
Babi l onie	----⌫-⌫---|
Bali gantad	----⌫---|-|
m andet Ç oest l a mira illle uield antiqui tet	-⌫----|--⌫|--||-⌫----⌫--|-|---||-------⌫--|
Tut surues quiete	--|------⌫----||
uirg ili ee	----⌫---⌫||
Sarragu cealtsucurreliberEsilnel	-------⌫-|--|------|-|--|||-|--|
faiti l guerpi r at sesde usEtuz	---|-⌫|------⌫-⌫-|--|--⌫-||--|
se syde les quëil s o eltadorer	--⌫|---⌫--|---|-|-⌫-⌫--|-----|
Sirece urat	-|----⌫---|
se intechrestientet A	--⌫---|-----------||
Charlemagneseu uldratacorderEcil	----------|-|-⌫-----|------||--|
e stlo in z	-⌫-|--⌫--⌫|
Man det sa gentde .	---⌫--|-|---|-||
XL.r egnez	--|-⌫----|
Sesgranz drodmunz enad faitapre ste r	--|----|-------|-|-|---|----⌫---⌫|
Eschiezeba r ge s egali es e	------||--⌫-⌫--⌫||----⌫-||
Alixandreadunportiustemer	--------|-|-|---|----|--|
Tutsunnauilieiad	--|--|------||-|
fait aprester	---|-------|
Ço e stenmaial	--|-⌫-|-|--|-|
prem er iurdested	----⌫-|--||----|
Tutessesoz adempeintes en mer	----|--|-|-|--------|-|--|
Granzsunt l esozdec elegentauerse	----|---|-⌫-|-|-|-⌫--|---|-----|
Sig lenta fortena gente guue rnent	---⌫---||---||--⌫---||----⌫----|
Ensumce zmaze	-|--|--⌫|--||
haltesuernes	-----|-----|
A sez iadcarbuncles	-⌫--||-|---------|
ela nt ernes	|--⌫--⌫----|
La susamuntpargetenttell uiserne	-|--|----|--------|--|-⌫------|
P ar lanoit l amer	-⌫-|-|---|-⌫|--|
e nestplusbel eE	-⌫|--|---|---⌫||
cumilui en ent en	--|-|--⌫--⌫--|-|
Espaignela tere	-------|-|---|
Tut l i païs en reluis tees clair et	--|-⌫|----|-|------⌫||--⌫-----⌫-|
Marsilie enparuuntles noueles	-------|-|------|--|------|
Gent paienorne uoelent cesserun kes	---|------|-|------|-----|--⌫--|
Issentde m eruenent asewes dulce s	-----|-|-⌫-|-----|-|---|-----⌫|
Marbriseesil ai sent	-------||-|-⌫--⌫---|
Se bre a munttutlurn aui riesturnent	--⌫--|-⌫---|--|--|-⌫---⌫---|------|
Asez iad lantern es eca rbuncles	---||-|-------⌫-||--⌫-------|
Tutela noit multgrantclartetlur dunent A	---|-|---|---|----|------|--|-----||
Sarrag uce	------⌫--|
C l ers est liiurzeliso leilz luisant	-⌫-⌫--|--|-|---||-|--⌫----|------|
Liamiralzes tissut delcalan	-|------|--⌫|----|--|----|
Esp anelizfors leu aitadest rant.	---⌫-----|---|-|-⌫--|-----⌫---||
XuII. r eisaprés leuuntsiwant	----|-⌫--|-----|-|---|-----|
C u ntesedu x i	-⌫-⌫---||--⌫||
adben ne sai quanz	-|--|-|--|----|
Su zunlorer ki esten mi uncamp	--⌫|-|----|-|--|-|-|-|---|
Sur lerbe uert egetentunpalie blancU faldestoed	--||---|----⌫|-----|-|----|----||---------|
iunt misdolifa n	|--|--||-----⌫|
Desu r s asi etli	----⌫||---⌫-|-|
Tuit lial t res un treme ́sen estant	---|-|--⌫-⌫-|-⌫--⌫|----⌫-|-|-----|
L is iredel s pre merparl atauant	-⌫|-⌫--||--⌫|---⌫--|----⌫-|----|
Oi ezoref ranc	--⌫-|--|-⌫---|
cheualer uaillan t	-------|-------⌫|
Carlesli reis	-----|-|---|
l e mper eredes	|-⌫----⌫--|--|
Nedeit manger seio ne	-|---|-----|-|-|-|
Espaignem atfait	-------||-|---|
gueremultgrant	----|---|----|
Francedulcele	-----|----|-|
uoeila lerque rant	----|-⌫--|---⌫---|
Nefineraientrestu tmu nuiuan t	-|------|-|------⌫|--⌫|-----⌫|
Iosquilseit mort u tutuif	----|-|---|---||--|--|
Sur s u ngenoi lle nfie rt sun	--|-⌫-⌫|-----⌫-|-⌫|---⌫-|--|
d estr egu ant	-⌫----⌫|--⌫--|
Pu isquilladdit	--⌫-|-|-||-|--|
mult se n est af ic h et	---||-⌫|--|--⌫--⌫-⌫-|
Quenelairat p urtut l or	--|-|-----|-⌫-|--||-|
Que i ln alt ad	--|-⌫||--|-|
C a rlessoelt plaid er	-⌫-⌫---|----|-----⌫-|
Sihumelilodentsili	-|---|-|-----|-|-|
unt cun seillet	--|---⌫------|
Puis apel at	---|----⌫-|
dousd esescheualer s Lun	---|-⌫|--|--------⌫||-|
C lari fanel a ltre	-⌫----⌫--|||-⌫---|
uosest es fil zal re i	--|---⌫-|---⌫|-|--⌫|
Maltraïen	---------|
Kimess agess ol eit faireuolenters	-|----⌫---|-⌫--⌫--|----|--------|
Iouoscumantquen	-|--|-----|-|-|
Sarragu cealgez	-------⌫-|----|
Ma rs ilïun de meiepa rtli	--⌫--⌫-----|-|---|--⌫-|-|
France islisuiuenuta ider	------⌫-|-|--|----|-⌫---|
Seiotruisomultgran t bataillei	-|-|----||---|----⌫|-------||
Si le n dunezcest guan t	-||-⌫|----|---|----⌫|
ador pleiet	-|-|-----|
Eldestrepo ignsi l ifaite sc h alcer	-|-----|--⌫--|-|-⌫|-----⌫|-⌫-⌫----|
Silipo rtez	-|-|--⌫---|
ce stbastunc eld o r	--⌫-|-------⌫-||-⌫|
m eiueng et purrec onoistre sun feu	-⌫-|----⌫-|--|---⌫-------|--|--|
Franceirai p ur	-----|---|-⌫-|
Ca rleguerr eierSen ma mercitnese	--⌫--|-----⌫---||-|-|-----|-|-|
cu l ztame spiezEn eg uer pissetlalei	--⌫-⌫-||--⌫|---||-⌫|-⌫---⌫-----|-|--|
dechrestïens	-|----------|
I oli to ld rai	-⌫|-|--⌫--⌫--|
la corunede lchef	-|-----|--⌫|---|
Paienrespundent	----|---------|
Siremultdi tes	---|---|--⌫--|
Carc heualche z	--|-⌫--------⌫|
b arunLun portle	-⌫---||-|---|-|
guantlialte	----|-|---|
le bastunEcilres p undent	-|-----||--|---⌫-⌫-----|
Chersiresi feru m	---|---|-|----⌫|
Tantcheualch erent queen	---|--------⌫----|--|-|
Sarraguces un t	--------|-⌫--⌫|
Passe nt.X.porte strauersent.	-----⌫-|--|-----⌫|---------||
III I. punz	---⌫-|---|
T utes lesruesu liburgeisestunt	-⌫---|--|---||-|------|-----|
apro isment enlacite t amunt	----⌫-----|-|-|----⌫|----|
uers lepaleis oïrent grantfremur	---|-|-----|------|----|-----|
As ezi ad decelegentpaienur	--⌫-||-|-|---|---|------|
Plure ntecrientdemeinentg ra nt dolor	-----⌫-||-----|--------|-⌫--⌫-|----|
Plei gnentlurdeus	----⌫----|--|---|
T eruagane	-⌫------||
A p ol lindun tilm ie	-⌫-⌫--⌫--|---⌫|-|-⌫-|
Ditcascunal alt re	--|-----|||---⌫-|
Caitifsque deuendrum	------|--|--------|
S ur nusestuenuemalec onfusi ̈un	-⌫-|--|--|----|---|-⌫------⌫--|
Perdutauum lerei	-----|---|-|--|
Ma rsil i ̈un	--⌫----⌫-⌫--|
Rolla nt litrenchatierledestrepoign	-----⌫-|-|-------|--|-|-----|----|
Nus na uum mie de	--||-⌫--|--|-|
Iurf aleule blun t	----⌫---|-|----⌫|
E s paigne ierthoien lurba ndun	-⌫-⌫-----|---|--|-|--|--⌫---|
Li dui messagedescendenta l	-|--|------|---------|-⌫|
Lurc he ua lslaisentdedesuz u noliue	--|-⌫--⌫--⌫-|------|------|-⌫|----|
Sarrazinpar lesre snes	-------|--|--|--⌫---|
lespristrent	--|--------|
Elimessage	|-|------|
parlesmantelssetindre nt	--|--|------|-|------⌫-|
P uissunt mu ntezsuse l	-⌫--|---|--⌫---|--|-⌫|
paleisaltisme	-----|------|
Cum ilentrerentenl ac ambreu oltice	--|-|--------|-|-⌫|-⌫----|-⌫-----|
Par belamu rm aluais sa luz	--|--|---⌫|-⌫-----|--⌫--|
M ahumetkinusaden	-⌫-----|-|--|-|-|
bail l ieE	----⌫-⌫-||
Apollinn ostresire	------|-⌫----|---|
Saluent lerei egu ardent la	------|-|--||--⌫-----|-|
Bra mimund e	---⌫------⌫|
Or oi multgra nt folie	-|-|---|---⌫-|----|
Cistno stredeu s unt enrecreantise	---|--⌫---|--|-⌫--|-|----------|
Rencesualmalua isesuer tu zfi rent	--------|-----⌫---|---⌫--⌫|--⌫---|
Noz che ualers	--|---⌫-----|
iuntle ssetocire	|--|--⌫---|----|
Cestmienseignur	---|---|------|
en bataillefai llirent	-|-------|---⌫------|
Ledes tr epoi g nadpe rdu tn e n admie	-|---⌫--⌫|---⌫-⌫|-|--⌫---⌫||-⌫|-|--|
Silit rench at	-|-|-⌫-----⌫-|
Rollantlirich es	------|-|----⌫-|
Tre stu te	---⌫---⌫-|
Espai gneaurat	-----⌫--|----|
Ca rle senba illie	--⌫---⌫|-|--⌫----|
Qu edeuendraiduluruse caitiueE lasse quenena i	--⌫|--------|-------|------||----|--|--|-⌫|
Dam enepa r lez mie it ant	---⌫|-|--⌫-⌫--|--|--⌫--|
Message s sume sal	-------⌫|----⌫|-|
Mars ilïun çoditse rat guarant	----⌫-----|--|--|--⌫--|------|
enueiets unbastunesung uant	------|-⌫-|-----||--|-⌫---|
Sebre a uum.	----|-⌫--||
IIII.milie cal an t	----|----|---⌫--⌫|
Es c hieze	--⌫-⌫---||
ba rges e galees curant	--⌫---||-----|-----|
Drodmunziadne	-------||-|-|
dire quanz	---|----|
Li amiralzest	-|------|--|
Franceirat	-----|---|
C ar lemagnequerant	-⌫--⌫------|------|
Rendrelequidetumortorecre ant	-----|-|-----||---||-----⌫--|
Bram im unde	----⌫--⌫---|
Mar enirat itant	--|-|---|----|
Plusprésdi cipurreztruuerle s	---|----||-⌫-|-----|-----|--⌫|
En ce s t etere ad estetia	-|--⌫-⌫-⌫|---|-|----|-|
Li emperere est	-|-------|--|
berecumba tant	--||-----⌫---|
Meilz uoelmurir	----|---|----|
que iafuietde camp	--|-|----|-|---|
Suzcielnad	--|---||-|
reiquilpristaun enfa nt	--|--||----||-|----⌫-|
Carles necreintnulsh om kiseit uiuant	-----|-|-----|---|-⌫-|-|---|-----|
Laissezço	------|--|
est erdist	---⌫-|---|
Mars ilie slireis	----⌫----⌫|-|---|
Distasmessages	---|-|-------|
Se i gn ursparlez a mei	--⌫-⌫--⌫--|-----||--|
Iauee zuos queamortsui	-|---⌫|--|--||---|--|
Iosinen aifilznefille ne heir	-|-|--|-|---|-|----|-|---|
Unen aueiecilfutocisher seir	-|-|----|--|--|---|--|---|
Munseignurdite squilme uiengeueeir	--|------|----⌫|-|-|-|-----|----|
Liamiraill aden	-|-------|-|-|
Espaignedreit	-------|----|
Quiteli cleimseillauoelt	----|-|----|-|-|-|----|
Puisladefendetencuntreli	---|-|-------|-------|-|
Carlemagnelid urrai bon conseill	---------|-|-⌫----|--|-------|
Cunq u i sla urat d	----⌫-⌫-⌫||-⌫---||
oicestiurenunmeis	-|---|--|-|-|---|
Sarragucelesc lefsli portereiz	--------|--|-⌫---|-|--------|
Puilidite sil	--|-|----⌫|-|
nenirat sil	|-|---||-|
Cilrespundent	--|---------|
Sireuusditesueir	---|--|----|---|
AOIÇodist	--|--|---|
Mort madmeshomes	---||-|--|----|
ma t eredeguas tee E	-|-⌫--|------⌫--||
mescite zfraite se uïo lees	--|----⌫|------⌫||----⌫---|
Iliutanuitsurcelewede	-|--|----|--|--|--|-|
cuntén iad m ais que .	-----|||-|-⌫--|--||
uII.liweesLamiraildites	---|-----||------|----|
quesunhost	--|--|---|
Paruoslimandbatailleiseit iustee	--|--|-|---|-------||---|-----|
Sa rr agucelesclefsli	--⌫--⌫----|--|----|-|
adl iure es	-|-⌫----⌫-|
Limessager	-|-------|
ambeduil enclinerent	------||----------|
Prenentcungeta ce lmot	------|-----||--⌫|--|
Liduimessageescheualssuntmuntet	-|--|------|-|------|---|-----|
Isn element issent delaci tet A lam irail l e n	---⌫------|-----|-|-|--⌫--|||--⌫-----⌫|-⌫|
uunte sfreet	---|-⌫-----|
Sarragu celi presententlescl és	-------⌫-|-|---------|--|--⌫--|
Que auezuo struuetU est	--|---|--⌫|-----||--|
Marsilieque	-------|--|
C larï en	-⌫-----⌫-|
Il estamort naf fret	-|--||---|---⌫---|
Liempererefut	-|-------|--|
ieras porzpasser	--|-|---|-----|
uulei ten dulce	-----⌫|-|----|
Fra n ce aler	---⌫-⌫-|---|
Pargr an t hon urse	--|--⌫--⌫|---⌫-|-|
fist rer eguarder	---|---⌫-------|
Roll antifutre méssisniésE	----⌫--||--|--⌫---|--|----||
Oliuere tuitli.	-----||---|-||
XX. milieadubez	--|----|-----|
Ma rsiliesicu mba ti t	--⌫-----|||--⌫---⌫--⌫|
Rollante l camp	------|-⌫|---|
f urentremés	-⌫----|-----|
Duren dallidu na t	-----⌫--|-|--⌫--⌫|
unc olptel	-|-⌫--|--|
Le destrepoign liaddel	-|-----|----|-|-|--|
corsseur e t	---|----⌫-⌫|
S unfilzadmortqu ilta nt suleit	-⌫-|---|-|---|-|-|--⌫-|-----|
a me rEli baron qu iliout	-⌫--⌫||-|----|-|-||--|
Fuiantse nuintquiln	-----||-⌫|---|-|-||
ipoutmes ester	|---|--|----|
Liempererelade nchacet	-|-------||-|-⌫------|
Lirei suosmandetqueuosle	-|---⌫|--|-----|--|--|-|
Quiteuoscleimet	----|--|------|
Espaignele r egn etE	-------|-|-⌫---⌫-||
Baligantcum enceta	-------|---⌫----||
Sig r antdoel adporpo iquil n es t	-|-⌫-⌫--|---|-|--|--⌫|-|-||--⌫|
Si re am ir alzdist	--⌫-|--⌫--⌫--|---|
Rencesualsunebataille	---------|--|-------|
Rollanteliquen s	------||-|----⌫|
XII .perque	---⌫|--|--|
Carlesaueittantche r	-----|----|---|---⌫|
Franceis iadm ort.	-------||-|-⌫--||
XX.millers	--|------|
Marsil ie lepoigndestreiperd ietE l	------⌫-|-|----|-----||----⌫--|||
emperereasezlad	-------|---||-|
enchal c et	------⌫-⌫-|
Ence stetere nes t r eméscheualer	-|--⌫--|---||--⌫|-⌫----|-------|
Neseitociso	-|---|---||
Se brene iet	--⌫--|--⌫--|
D e surla ri uesunt	-⌫-⌫--|-|--⌫-|---|
Francésherbergiez	-------|---------|
Ences t païsnussunttant	-|---⌫|----|--|---|---|
Seuosuolez li repaires ert grefs E	-|--|----|-|-------|--|----||
Bal igantlereg uartenadfi ers	---⌫----|-|---⌫---|-|-|--⌫--|
E n s un curage enestioüs	-⌫|-⌫-|-----|-|--|----|
Del faldestod seredre ceten	--|--------|-|-----⌫--|-|
Puisescriet	---|------|
Barun sneuost argez	-----⌫|-|--|-⌫----|
E is sezdesnef smuntezsi	-⌫--⌫--|--|---⌫|-----|-|
ceual ciezSo rnesenfuit	-----⌫---||-⌫|-||-|---|
Karl emagneliu eilz	----⌫-----|-|-⌫---|
Marsil ieenquiseratuenget	------⌫-|----|----|-----|
Pur sunpo ign de str elenliuerailechef	--|--|--⌫--|--⌫---⌫||-|------|-|---|
Arabedesnef s sesunt eissut	----|--|---⌫|-|---|-----|
Pu is suntm unteze scheualsees muls	--⌫-|---|-⌫----|-⌫|------||-|---|
Si cheu alc herentq uefer eientilplus	-|----⌫---⌫-----|-⌫-|---⌫----|-|---|
Liami ra lsk i	-|---⌫--⌫-|-⌫|
tre s tutlesesmut	---⌫-⌫--|--|----|
Sinapel et	--|----⌫-|
Gemalfinunsundr ut	-------|-|--|--⌫-|
Iotecumant detut esmes	-|-|-----|-|---⌫-|--|
Puisestmunted enunsundestr erbr un	---|--|-----|-|-|--|-----⌫-|--⌫-|
Ensembl od luiem mein et.	------|-|--|-|----⌫-||
IIII. d ux	----|-⌫-|
Tantcheualchatq uen	---|---------|-⌫|-|
Sa raguc e fut Aunper r onde ma r breest desc enduz	--⌫-----⌫|--||-|---⌫-⌫-|-|--⌫-⌫--|--|----⌫----|
Equatrecuntes	|-----|-----|
lestreu liunt	|-----|-|--|
Parlesdegrezelpaleismunt etsus E	--|--|-----|-|-----|----⌫-|--||
Bramidonie u ie ntc urantcuntre	---------|-⌫--⌫-|-⌫----|-----|
Sili addit	-|-|-|--|
D o lent e simarefu iAitelhunte	-⌫-⌫----⌫|-|---|--⌫||---|----|
siremonse ig no rai	---|--|--⌫--⌫--⌫|-|
Chetli aspiezli amiralz larec ̧ut	---|-|-|---|-|------|-|---⌫--|
Susenlachambre	--|-|-|------|
ad doel ensuntuenu t	-|---|-|---|----⌫|
Marsiliecumilueit	-------|--|-|---|
Du nc apelatdui	--⌫-|-----|--|
Sa rrazin espans	--⌫-----|-----|
Pernez m asbrazsimdre ce z en se ant	-----||-|---|--|---⌫--⌫|-|--⌫--|
A lpuign senestread	-⌫|----|-------|-|
pr is undeses guanzÇod is t	--⌫-|-|-|--|----|--|-⌫--⌫|
S i r erei sa m iral z	-⌫-⌫-⌫|---⌫|-⌫-⌫----⌫|
Teres tutes ici E	----|----|--||
S arraguceelonurquiapent	-⌫-------|||---|-||----|
pe rdutetutema gent	--⌫---||---|-|---|
E cilr esp u nt	|--|-⌫---⌫-⌫-|
i oplusdolent	-⌫|---|-----|
Nepois a uos tenir	-|---||--|----|
lungparle ment	---|-----⌫---|
Ios aia sezque	-|-⌫-|-⌫--|--|
Car les nema tentEnepurq uant deuos	---⌫--|-||-⌫---||------⌫---|-|--|
receifleguant	-----|-|----|
Al doel q ui l adsenestt ur netpluran t	-|---|-⌫|-⌫|-||-|--|-⌫--⌫--|------⌫|
Parlesdegrez	--|--|-----|
iusdelpalei s descent	--|--|-----⌫|------|
Muntetelceualuie nt a sag ent puignant	-----|-|----|---⌫-||-|-⌫--|-------|
Tantcheualchat qui lest p remers deuant D	---|---------|-|-⌫|--|-⌫-----|-----||
uresadaltre ssis euaitescriant	---|-|-----⌫|-|-⌫|---|-------|
ue nezpai encar iasenfuien tferant	--⌫--|---⌫-|--|-||-|-----⌫|-----|
Almati nq uant primes pertlialbe	-|----⌫|-⌫---|-----|---|-|---|
Esueillezest liempe r ere	--------|--|-|----⌫-⌫--|
Ga briel ki	--⌫----|-|
Deuleguarde	--|-|-----|
Leue tsamai ns urlui	----⌫|-|---⌫|-⌫-|--|
fait sunsignacle	---|--|-------|
Li reis des cent siadrendutses armes	-|---|---⌫---|-|-|-----|--|----|
Sisedes armentpar tute lostlialtr e	-|-|---⌫-----|--|---||--|-|----⌫|
Pu issunt muntet	--⌫-|---|-----|
par gra nt uertutcheualchent	--|---⌫-|-----|----------|
C ezu eiezlungesecezc heminsmultlarg es	-⌫-|-⌫---|-----||--|-⌫-----|---|----⌫-|
Siuuntuedei rle mer ue illu s d amag e	-|---|-----⌫|-|---⌫--⌫----⌫|-⌫----⌫|
Rencesualslaofutla	---------|-||--|-|
ba taill e	--⌫-----⌫|
Rences ualsenest	------⌫---|-|--|
Carles uenuz	-----|----|
Des morzquiltroe uetcumencetaplurer	--|---|-|-|----⌫--|-------||-----|
Segn u slep astenez	----⌫-⌫|-|-⌫-|----|
Kar meim eïsmeestoet a uantaler	--|--|-⌫-----|-----|-⌫---|---|
