quibonscountesuoet entendre	--|---|------|---|-------|
detu rneipar ti zsunt	-|--⌫---|---⌫--⌫|---|
mutunttostlurpuntmisaterre	--|--|---|--|---|--||----|
liduxdemand e delaguerre	-|--|------⌫|-|-|-----|
li que lun te sté	-|---⌫|--⌫|-⌫---|
lesplus pr uz	--|---|--⌫-|
equeus desuseque us desuz	|----|----||---⌫-|----|
k ecil dehorss untdescumfit	-⌫|--|-----|-⌫--|--------|
fet eissi rde nefs	--|-----⌫|-|---|
odceusdehorsten dent lur tref s	-|---|-----|---⌫---|--|----⌫|
oree st lurgent mu t	--|-⌫-|--|---|--⌫|
benest creue l ur mednee	--|--|----|-⌫-|-----|
lidux parmatin l eua	-|--|--|----|-⌫--|
oanttu zses	---|--⌫|--|
b arun siura	-⌫----⌫|---|
ke illapremere iuste aue reit	-|-|-|------|----|---⌫---|
uia iur heténeserreit	|-|--|----|-|------|
ipo medone st uen uz	---⌫----|-⌫-|---⌫-|
liiu rzaeit cler	-|--⌫-|---|---|
alchefdelfosse uers la	-|---|--|----|---|-|
ialuntueucil de sezile	-||--|--|--|-|-----|
ele gueites	|-|------|
cildelchastel s untialeué	--|--|------|-⌫--|-|----|
laf ierenest pasl a	-|-⌫---||--|--|-⌫|
mutade st é	--|-|-⌫--⌫-|
la nui tenpeine	-|---⌫|-|----|
deuantleiurun	-----|-|--|-|
ou tadubbé unuadlet	--⌫|------|-|-----|
iasonkiesteitsisc usins	----|-|-----|--|-⌫----|
odluibientrentemeschins	-|--|---|-----|-------|
lafi er e esga r deuers celual	-|--⌫--⌫|----⌫-⌫-|---|--|--|
euei til occelneir uassal	|---⌫|--⌫-|--|---|-----|
leneiresc ulaneire cele	-|---|---⌫|-|----|---|
lepenuncel neir ki uentel e	-|-------|---|-|------⌫|
lalanceneire keil ad el	-|----|----|-|-|-|-|
e ne ueita utrepres	|-|---|-⌫---|---|
poezsauermut	---|----|--|
estdolente	--|------|
suue ntseespe rtmutsemu t	----⌫-|-|----⌫-|--|-|--⌫|
editor emu niuruen u	|--|--⌫|--⌫|--|---⌫|
remises ui d rueseinzd ru	-----|-⌫-|-⌫--|----|-⌫-|
oresu i amésenzami	--|--⌫|---|---|--|
uncmes n e fut quersitrahi	--|--|-⌫|--|---|-|----|
ch ai tiue	--⌫--⌫---|
benestdreitki io	--|--|----|-|-|
mesneui ue	--|-|--⌫-|
kipar orguilautre	-|--|-----|----|
alde reine st	-|--⌫---|-⌫-|
preis épetit	-----⌫-|----|
kipensea utre gentde seiure	-|----|-⌫---|---|--⌫-----|
desmeismele hanap	--|-----|-|----|
d eit be i ure	-⌫--|--⌫-⌫--|
lidux de athene se s teiss u	-|--|-|------⌫|-⌫-⌫|----⌫|
a seshu mes	|--|--⌫--|
adde fe ndu	-|--⌫--⌫--|
keunsul ne l	-|-|--|-||
siwepas auant	---|--|----|
se ilneueien tbos oinggrant	-|-|-|-----⌫|---⌫---|----|
ipomedonueu	-------|--|
lid uxcele partmeu	-|-⌫-|---|---|--|
il pareit hard iza merueilles	-|-----|----⌫-||---------|
l escu e lasele elalance	|---||-|---||-|----|
e cotearmeure e cu nus san ce	|---|------||--⌫---⌫---⌫-|
imeineuentmut esbaie	-----|---|--|-----|
sa dame a hauteuo iz escrie	-|---||----|--⌫-|-----|
dameorn iad	---|-|||-|
fors deldrescer	---|--|------|
ueez lal euerme ilcheuale r	---|-|-⌫|-----⌫-|-------⌫|
uersle neirestsi presuenuz	---|-|---|--|-|---|----|
iaseentre ferent esescuz	-|-|-----⌫-----|-|----|
lafiere tute	-|----|---|
les oilz adcele part oue rt	--|---|-|---|---|---⌫-|
eueitle uermeil c h eualer	|---|-|------|-⌫-⌫-----|
ben quidekecil seitdeer	--|----|-|--|---||--|
un dessespr iuezualezprent	-|--|--|--⌫---|----|----|
silen u eie al turne ement	-||--⌫-⌫--|-|-----⌫----|
elluiiasun se rui r i	-|--|----|--⌫---⌫||
eci lsen tur neagrantespleit	|--⌫||-|---⌫-||----|------|
turn ei senest alez	----⌫-||-|--|---|
lanc es i porteods eiasez	----⌫-||----|-|-⌫-|---|
deipomed onu usuoildire	-|------⌫-|-⌫-|---|---|
led ucuei t partir	-|-⌫-|---⌫|-----|
p argrantire	-⌫-|----|--|
quant ilueitlesar mesuermeilles	----|-|---|--|--⌫--|---------|
mutsenesioiamer u eille s	--||-|----||---⌫-⌫-----⌫|
keoreadachesu nalessur	-|--|-|------⌫||-----|
d eseibencuuer irtu tle iur	-⌫|--|--|-----⌫-|--⌫|-|--|
l escu en brace	|---|--⌫----|
euers luiue nt	|---|--|--⌫-|
d uxuers lui pasnelcrent	-⌫-|---|--|--|-||----|
al esmoueirquitkela fiere	||-------|---|-|-|----|
muat su uentcul urechiere	---|--⌫---|---⌫-||-----|
n ule merueille nemese mbl e	-⌫--|--------|-|-|--⌫---⌫|
se liquersuolet tee	-|-|----|-----⌫-||
liduxlef ertenceles cu	-|--|-|-⌫--|-|--|--⌫-|
nelaueit abatu	-||----|----|
lesculia d d e l	|---|-|-⌫|-⌫-⌫|
colseueré	--|------|
poifautkeodle gleiue aceré	--|---|-|-|-|-----|-----|
neladferu parmile cor s	-||-|---|----|-|---⌫|
d es uz le	-⌫--⌫-|-|
gu enchi hors	--⌫----|---|
ipomed o nnef ailli mie	------⌫-⌫|-|-⌫----|--|
alesmoueruit bens a amie	||------|--|--|-⌫|---|
delmund ekeil plus	--|----⌫|-|-|---|
l escualducpurfen du	|---|-|--|------⌫-|
unp oilefertd esusl efl anc	-|-⌫-|-|---|-⌫---|-⌫|--⌫--|
s e duncfust feble lehaubercbl anc	-⌫|---|---|----|-|------|--⌫--|
parmile corsle eust f erru	----|-|---|-|---|-⌫---|
tut li estutguerpir lesc u	--|-|----|------||---⌫|
si adreuersé leuassal	-|-|-------|-|-----|
su rlacru pe desun cheual	--⌫|-|---⌫-|-|--|-----|
si sescuz alcollipendi	--⌫|----|-|--|-|----|
e lar ednedelfre in rum p i	|-|-⌫---|--|---⌫-|---⌫-⌫|
e licheu ausfu ten ueisé	|-|----⌫--|--⌫|--⌫-----|
es entilef reinalasché	|-⌫---|-|-⌫---|-------|
en celliu gu eresnesui urne	-|--|--|--⌫---|-|---⌫---|
uerslemurde l c hastel s	---|-|--|--⌫|-⌫-----||
ipomedonleg ra n te sles	-------|-|-⌫--⌫-⌫|-⌫---|
iree mentlesuitapres	----⌫---|-|---|----|
orees t lafieretropdolente	--|--⌫|-|----|---|------|
esu nquers e	|--⌫|---|-⌫|
a ng u iseeturmente	-⌫--⌫-⌫--||-------|
ben quidout co fusts unami	--|------|-|---|-⌫-|--|
m esn elalatpas	-⌫-|-⌫||---|--|
deltu tis si	--|--⌫|--⌫-|
l iduxmesteni rne se	-⌫|--|--|----⌫|-|-|
trebuchaquel tal entkeilout	-------|---|---⌫--|-|-|--|
nestpaslegerahumme	|--|--|----||----|
releuer quantestreuersé	------|----|--|-------|
delrecuue r ir nestmie giu s	--|------⌫-⌫-||--|--|---⌫|
quantiladperdulesestriu s	----|-|-|----|--|------⌫|
ipo medon alduc entent	---⌫----|-|--|-----|
esisuadlezl e ch eual pre nt	|--|-----|-⌫|--⌫---|---⌫-|
leduxnegist pasarep os	-|--|-|---|--||---⌫-|
treislipasseensunled os	----|-|----|-|--|-|-⌫-|
c i ld ereleuer se esu ertue	-⌫-⌫|-⌫|------|-|---⌫----|
od lepizdelch euallestrue	-|-|--|--|--⌫---||-----|
ke andeus lespa umesferaterre	-|-----|--|--⌫---|--||----|
li du xes tmutfort acunque rre	-|--⌫|--⌫|--|---||------⌫--|
sefust autr e ke ipomedon	-|---|----⌫|-|-------|
nenfeistpasdeltut sunbon	|-|----|--|--|--|--|--|
la ut refust r endu	|-⌫--⌫-|---|-⌫---|
sunsucurs li	--|-----|-|
fus tbenrendu	---⌫|--|----|
mescist ua ssausmutlehasta	--|---|--⌫----|--|-|----|
em ort el me ntle demena	|-⌫---⌫--⌫--⌫-|-|-----|
qui dezuus seignurs	---⌫--|--|-------|
ke lafiere	-|-|----|
n e feist duncmutmale chere	-⌫|----|---|--|---|----|
m utpar es tsisquers engrant peine	-⌫-|--|--⌫|--|----|-|----|----|
qua ntu eitkec ilsilidemeine	---⌫-|-⌫--|-|-⌫-|-|-|------|
ipomed on tan tmutlehasta	------⌫-|---⌫|--|-|----|
kese sp ee lipresenta	-||-⌫--⌫-|-|-------|
leb on ducpar fia nce	-|-⌫-|--|--|---⌫--|
epusuneparoledis t	|--|--|-----|---⌫|
beausamis si recheual ers	----|---|--⌫-|------⌫--|
ionaic uredeuo sdene rs	-||-|-⌫--|-|--⌫|----⌫-|
neiona icured e achesun	-|-||-⌫|---|-⌫|------|
d eauertrop	-⌫|---|---|
r icheranceu n	-⌫---|------⌫|
mes dirraiuus	--|-----|--|
keuusfr ez	-|--|--⌫-|
h uimesarmes neporter ez	-⌫-|--|----|-|------⌫-|
quantliduxla parol ee nt en t	----|-|--|-|-----⌫|-⌫--⌫--⌫|
liqu er nout	-|--⌫-||--|
un kestantdolent	--⌫--|---|-----|
fetilsireme rci	--|-|---|--⌫--|
lo intein paisc i	--⌫-----|---|-⌫|
purest rea	--|---⌫-||
cesttur neement	---|---⌫------|
ion e ren derai autre ment	-|-⌫|---⌫----|-----⌫---|
seuolezen g r ece uenir	-|----|-|-⌫-⌫--|----|
durraiuussenz de meiteni r	-----|--|---|-|--|----⌫|
terre smutgranze deus	-----⌫|--|----||---|
k imutsuntfors ebon se beaus	-⌫|--|---|---||---⌫||----|
lunestdu razeset surmer	|-|--|--⌫--||--|--|--|
k i l a tn estotguerredut e r	-⌫||-⌫||----|-----|---⌫-⌫|
elautreadanun	||----|-||--|
kiense ment	-|----⌫---|
ensetsurreine	-|--|--|----|
n equerkemen	-⌫|---|-||-|
facezseru ise	----|----⌫--|
ipomedon fistgr antf ranch ise	-------|---|--⌫--|-⌫-----⌫--|
amis quitesu us	---|-----|-⌫-|
mes sauezu u ske uu sfrez	--|----|-⌫-⌫|-|--⌫|---|
l es armesuerme illes ostez	-⌫-|----|-----⌫----|----|
autre pernezesiiustez	----|-----||-|-----|
es u us liuadlez delchastel	-|-⌫-|-|-----|--|------|
ipome donenfut mut	-----⌫--|-|--|--|
am isbeausauant ue nez	--⌫-|----|----|--⌫--|
e unela ncemedunez	|--|--⌫--|-|----|
borfuste lesire gaaigne e	--|---|-⌫-|---|-------⌫|
keenuusest mut	-|-|--|--|--|
ben enpleiee	--|-------|
ua dlets a uez keuusfrez	--⌫---|-⌫-⌫--|-|--|---|
de strer leinzmenez	--⌫----|----|----|
a lafierede meiep a rt	|-|----|-|---|-⌫-⌫-|
ditesluitropsuiuenu tart	----|--|---|--|---|---|
siioifus sede s auant er	-|-||---⌫-|--⌫|----|-|
n eust pasle bl anc ch eualer	|---|--|-|--⌫--|--⌫-----|
aut r euermeil e r ch oisi	---⌫-⌫|------|-⌫|--⌫---|
mesorepe rtben keiosuici	--|--|--⌫-|--|-|-|--|-|
si lidesf raimutsunc unte	-|-|----⌫--|--|--|-⌫---|
uermailren n amunte	------|--||-----|
nelauerapasen	-||----|--|-|
sa pris un	-|----⌫-|
ele ne li freitsiben nu n	--|-|-|----|-|--|--⌫|
laimedegrantamur	|---|-|----|---|
neluerratmes e ntut ces tiu r	-||-----|--|-⌫|--|---⌫|--⌫|
sauerapar mei	-----|--|--|
nel uerratmes a cest turnei	-||-----|--||---|-----|
e quant io	|----|-|
nen seira parti	|-|----|----|
omei enmenrai	|--|-|-----|
ententsa parole	-----|-|-----|
m ut futaprisde bon escole	-⌫-|--|----|-|--|-----|
diloc s e n	|---||-⌫|
tur necum sage	---⌫-|--|---|
ilne ubli apas	-|-|----⌫|--|
sunmessage	--|------|
e in zl at mutbiendita lafi ere	-⌫--⌫||-|--|---|--||-|--⌫--|
mutli e npeiraduncsachiere	--|-|-⌫-----|---|-|-----|
suu e nt malditsadestinee	---⌫-⌫-|-----|-|-------|
ureke eleunkesfust	--|-|--|----|---|
m ut detir e	-⌫-|-----⌫|
sac rin e bloie	-|-⌫---⌫|----|
e ditn euoltdeuskeeie ioie	|--|-⌫|---|---|-|--|---|
si ces tuermailc heua lerhaisse	-|---⌫|------|-⌫----⌫--|-----|
en ma prisuntostlatenisse	-|-|-----|---|-|------|
purcokelaimne	--|-|-||--|-|
lpuis aueir	|---|----|
deume hetmutco	--|-|--|--|-|
auanthe r en	----|--⌫|-|
oiun muttost	-|-|--|---|
l e pr ime rkefustpri senlost	-⌫|--⌫---⌫|-|---|---⌫|-||--|
cofutante nor	-|--|----⌫--|
d ux despaine	-⌫-||------|
dun t io aituz	---⌫|-|-|--|
iurz t enu engaai gne	---|-⌫--|------⌫--|
siiodeluieu sse cure	-|-|-|--|--⌫--|---|
ne leuss e sia dre iture	-||----⌫|-||---⌫----|
her merefutun presente ́	--|-|----|-|--------⌫|
kiioguer esne n	-|-|----⌫-|-||
cofust monesteusdeyrlande	-|---|--------|-|------|
tropestmischaitifquerenbrande	---|--|--|------|---|-|-----|
s eeus secestuide hui	-⌫|---⌫-|-----|-|--|
neeussepassifaill i	-|----|--|-|-----⌫|
merueile te nir	-------|--⌫--|
pi saueni r	--⌫|-----⌫|
kar iolai mutbenpurchacé	--|-||-|--|--|--------|
d euskaruu senprenge	-⌫--|--|--⌫|-|-----|
soue nt pasm e	----⌫-|----⌫|
muts off repeine	--|-⌫---⌫-|----|
en sac hambrela	-|-|-⌫-----|-|
porte ismeine	----|------|
ilocdemeine sa dolur	---|------|-|----|
ladehorscumence le	-|-----|------|-|
lep l usfortkeunkes	-|-⌫-⌫-|---|-|----|
guaigné iout ep e rdu	-------||--||-⌫-⌫--|
meint bon de st rer meint ar meure	----|--|--⌫--⌫--|----|--⌫----|
lamedleeeste fiereedu re	-|-----|--||----||--⌫-|
cildehorsle unt bena sez	--|-----|-|--|--|-⌫--|
ceu sdedenzun tmut	---⌫|-----|--⌫|--|
uerslachuce e les unt mis	---|-|-----⌫|--|--|--|
m eintiu nt	-⌫---||-⌫-|
abatu epris	----||---|
me int bon	--⌫--|--|
driasreturne ep rent	----|------||-⌫---|
labanereenterreficha	-|-----|-|----|----|
odlu ng a l eineuncornsuna	-|--⌫-|-⌫-⌫---|-|---|---|
sagentraileenuirunsai	-|---|----|------|--|
ere cumen celeturne i	|--⌫-----⌫-|-|-----⌫|
lafor ceaceusdehorsi rest	-|---⌫-||---|-----||---|
tuzlede rengentki l aplei st	--|-|--⌫------|-|-⌫|----⌫-|
ipomedon du	-------|-|
eunela nceen f eut re	|--|--⌫--|-|-⌫---⌫-|
ui loutfet un em ed lee	|-⌫|--|--|--⌫|-⌫--⌫--|
fors unpoidegentarmé	---|-|--|-|---|----|
minoslec untedebretaigne	----|-|-⌫---|-|--------|
outdes cumf it od sacumpaigne	--|---⌫----⌫-|-|-|--------|
u ersleturnei uentaespleit	-⌫--|-|-----|---||------|
isme ineal muru en ir le	----⌫--|-|--|-⌫--⌫-|-|
benueit ecunu stkeco e st ci st	--|---||----⌫-|-|-|-⌫-|--⌫-|
kele uerme ilche ualer prist	-|-|-----⌫-|---⌫----|----|
hui mesmiratgue resde ueie	--|--|----|---⌫--|-|---|
seelepotcane	-|--|--|-|-|
lakeele ne	-|-|--|-|
ipome donn estmie lenz	-----⌫--||--|--|---|
lenseign ecriasesdedenz	|-------⌫|--||--|-----|
uoizic orneec rie	---||-⌫---||-⌫--|
plusde tre is	---|-|---⌫-|
c enz a luire lie	-⌫--||--|--⌫--|
d uncr etu rnerentce usde d enz	-⌫--|-⌫---⌫------|--⌫-|--⌫-⌫--|
debenferrirnesontpas	-|--|-----|-|---|--|
eci ldehors	|--⌫|-----|
be nse defe n dent	--⌫|-|----⌫-⌫---|
e aspre estur edur	|----|----||--|
l ur rende nt	-⌫-|-----⌫-|
ipomedonlefist	-------|-|---|
de nul uers l uin	-|--|---|-⌫-||
ate interen	---⌫--||--|
unreisd esescoce	-|---|-⌫-|-----|
uerslui uen t	---|--|---⌫|
sespeeen senglanté tent	|----|--⌫---------|---|
armeso ut de	----|-⌫-|-|
riche facun	----|----|
ff etioutgrantperdi ci un	--⌫-||--|----|-----⌫--⌫-|
nisu so utnunepas	----⌫|-⌫-|--||--|
fferuzseest parmi lagrantpr esse	-----|-|--|----|-|----|--⌫---|
ip omedonadacosté	--⌫-----|-|------|
estran ge coupliad dun é	------⌫-|---|-|-|---⌫-|
encelheaumeunc ne recut	-|--|-----|--|-|----|
ke ilne li futmortel	-|-|-|-|--|-----|
leonguauket tettes enfundr a	-|---|-----⌫-----|-------⌫|
poifaillikeil ne	--|-----|-|-|-|
lechefun poi	-|---|-|--|
enclinpendi	-----|----|
returna ntseide irefr emi	-------⌫-|--|-|--|--⌫--|
apoike miene issihor s del	|--|-|--||-⌫---|---⌫|--|
nesuf frimietrop lung	-|---⌫--|--|---|---|
mutmorteguerdunli rent	--|----|------|-|---|
od lebonbrancke	-|-|--|----|-|
c l er re splent	-⌫-⌫-|--⌫-----|
ensu ncel h eaumeleferri	-|--⌫|--|-⌫----|-|----|
tutli purf entlecharpar mi	--|-|----⌫--|-|---|---⌫-|
suzlementun lebranc laca	--|-|-----|-|----|---|
tut elespal leliseuera	---⌫||-----⌫-|-|-----|
odtute lebraz	-|--||-|---|
e lepo ingdestre	|-|--⌫--|-----|
unc oreq uit	---⌫--|-⌫--|
ke iles ta	-|-|--⌫||
kiunk es pur	-|---⌫-|--|
celcoupue ist	--|---|--⌫--|
furbizsu n cur r epri st	-----|--⌫|--|-⌫----⌫-|
deuantl arcu nlicoups desce nt	-----||----⌫|-|----|-----⌫-|
lateste deld es trer enprent	-|----|--|-⌫--⌫---|-|----|
emort trebucheleuass al	|---|-------|-|----⌫-|
trebou ch e lecheual	------⌫--⌫|-|-----|
trestuitcil del turn eem ent	-------|--|--|----⌫---⌫--|
fableeaneent	----|||----|
dequanqes untferrueiusté	-|------|--|----||-----|
uerscelcoup	---|--|---|
kecistadduné	-|---|-|----|
ki lecoup neuirent	-|-|---|-|-----|
ffors sulke	----|--|-|
parleren oirent	-----|-|-----|
di ente ntre	--⌫--|-⌫---|
eus keunke ne futte l	--|-|---|-|--|--⌫|
dunéparm a in dehumme	----|--|-⌫-⌫-|-|----|
m u tsenesmaient cildehors	-⌫-⌫||-|-------|--|-----|
si uusdi kesulp a r sunc ors	-|--|-|-|--|-⌫-⌫|--|-⌫--|
cre mekedelui	---⌫-|-|-|--|
arereloinzreuersé sunt	----|----|-------|---|
parle co rsdun hume ki ualt	--|-|--⌫-||-|---|-|---|
suntmil ecincce nzf erebau t	---|--||---|--⌫-|-⌫-||---⌫|
ismeinele c ouptres bienuit	------|-|-⌫--|---|---|--|
chambreentrelapu cel e	------|----|-|--⌫---⌫|
uoizsadameape le	---|-|---|---⌫-|
ed itdamepuzked eufu	|-⌫-|---|--|-|-⌫-|-|
nefutmest elu assa l ueu	-|--|--|-⌫-|-⌫----⌫|--|
co pu sdirebenpurueir	-|--⌫|---|--|--|---|
c umli queusdam e cumli neir	-⌫-|-|----|---⌫|--|-|---|
cument u altilmeuzkeli	-----|-⌫--|-|---|-|-|
d ame cilpot estrep lusfran cs	-⌫--|--|--|----|-⌫--|----⌫-|
eplu s curteisemeulz a pris	|---⌫|------||----|-⌫---|
mes ciste n porte	--|---|-⌫|----|
reualt ilmeulz	-----|-|----|
ke li uermail	-|-|------|
cistnat nulparei	---||-|--|----|
meulz ua ltun c o upkiad duné	----|--⌫-|-|-⌫-⌫-|-|-|----|
ke quanke nuldece s deus fist	-|-----|--|-|--⌫|---|---|
sipr uzciluassal ne ir	-|--⌫-|--|-----|--⌫-|
dam epurde u	---⌫|--|--⌫|
uen ez ueir	---⌫-|---|
ci ld edenzfur entdecunf iz	--⌫|-⌫----|---⌫--|------⌫-|
suncorssuntresbaud i z	--|---|---|-------⌫-⌫|
tantlat b e n	---||-|-⌫-⌫|
enchanté isme ine	--------|----⌫--|
al mur de ske askerneauslameine	-|--|--⌫--|-|-------||-----|
lafie re esgardeacelt urnei	-|---⌫-|------||--|-⌫----|
ei smei nelim ustreal dei	|-⌫----⌫-|-|-⌫----|-|--|
u eez la le	-⌫--|-|-|
neirch e ualer	---|--⌫-⌫----|
lemundnatnulsi	-|---||-|--|-|
dame esgar dez	---|-----⌫--|
cum sed emein e	--|-|-⌫-----⌫|
sunc orspuruusasez i	--|-⌫--|--|--|---||
n auez miedeltut fai l l i	|---|--|--|--|---⌫-⌫-⌫|
sec estui auezaami	-|-⌫----|---||--|
seuersu usualtcheualerie	-|---|-⌫-|---|---------|
mestuiscistneuusperd era mie	|--|--|---|-|--|----⌫--|--|
certesismeine c o	-----|------|-⌫|
mescu m pu rra i	--|--⌫|--⌫---⌫|
m un qu ermo ueir	-⌫-|--⌫-|--⌫---|
dec elui ketantaméai	-|-⌫---|-|---|---|-|
coment b encertesnufrai	-----|-⌫-|-----|-|---|
dame fort est	---|---|--|
quantfere lestout	----|---||-----|
messi f era kime ulzne pot	--|-|-⌫--|-|--⌫--|-|--|
cil uus fuiaausi	--|--|-|-|---|
iamesnauerezsirichee schange	----||-----|-|----|-⌫------|
cestuisepernez	-----|-|-----|
si uussi fe rene l uulez	-|--|-|--⌫-|-||----|
dun cauezuus de	---⌫|---|--|-|
ter ree ce stui euostre	---⌫-||--⌫---||-----|
bonamiperdreestot	--|--|-----|----|
eaussibonreuerirpot	|----|--|------|--|
nestmiede ltutsenzami	|--|--|--⌫|--|---|--|
su uente stauenueissi	--⌫---|-⌫-|----|----|
mu tfe tkefous kit rop	--⌫|--⌫|-|---|-|-⌫--|
petitespleite	----|-------|
ffemenertia mes del	----||--|--⌫--|--|
nu stutesauum	--⌫|----|---|
kecertestuz iurzcuueitum	-|-----|--|---|-------|
cokenusauernepouum	-|-|--|---|-|----|
ne de cogueresni	-|-|-|-----|-|
ke n uspou umauertutpr est	-|-⌫-|---⌫-|---|--|--⌫--|
boneauent ureeitoreim eine	---|-----⌫--|--|--|--⌫---|
mut se purp ense eme t grantpeine	--|-|----⌫---||--⌫|----|----|
