cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
quant lilusleg a rdaeuit	----|-|--|-|-⌫-⌫--||--|
mutparli fuengra nt	--|--|-|-|-|---⌫-|
allas fetildolenz	----|--|-|-----|
que dedenz mei t esteies mis	--|-----|--||------|--|
liescarb oz	-|------⌫-|
adrespundu	-|-------|
c ertesfetilbi enestsceu	-⌫----|--|-|--⌫-|--|---|
qu eieo uailasez	--⌫|--|---|---|
quanttudemeinestelbuf fei	----|-|-------|--|---⌫--|
oreasemble	--|------|
tacu mpai nie	-|--⌫----⌫--|
e ceusquete s e runt	|---|--|-|-⌫-⌫---|
ei eo ase mb leraimes genz	|-⌫-|---⌫--⌫----|--|---|
e mesamisemes	|--|---||--|
demaint enumunebataille	-----|-⌫---|--|-------|
e nmicelchampseitsanzfail le	-⌫--|--|----|---|---|----⌫-|
purseseidanz ad	--|--|-----|-|
escarbozmandatlesees	-------|-----|--|--|
negros se musch ene cornet	-|----⌫-|-----⌫|-|-----|
ne bonewesp e	-|---|----⌫|
q ua nt ilde ueient	-⌫--⌫-|-|--⌫-----|
lilu uoltl e ssuensense ig ner	-|-|---|-⌫-⌫|----|----⌫--⌫--|
c un seil ce o ditlur estut	-⌫--⌫---|--⌫|--|--|----|
uerseus def endre	---|--|---⌫----|
chescuns estut g ar d ers acue	-------|----|-⌫--⌫-⌫-|-⌫|--|
uilirru nta maleuoue	|-|----⌫-||---|---|
licerfs lur distenus	-|----|--|---||--|
n usbendums	-⌫-|------|
decele p art nusestupums	-|---|-⌫--|--|-------|
qu i lnep uissentdelaentrer	-|-⌫|-|-⌫------|-|-|-----|
duncpurrumplus	---|-----|---|
issiluntfetcommuneme nt	---||--|--|---------⌫-|
bendésesu ntmut fe rmement	-----|-|--⌫-|--|--⌫------|
m es quant c eo uient a lasemb lee	-⌫-|----|-⌫-|----|||-----⌫--|
un ewespesestdrescee	--⌫|----||--|------|
si puint l ec erf	-|----|-⌫|-⌫--|
parl escoste z	--|-⌫-|-----⌫|
eilsaillitutesfre ez	|-|-----|--|-----⌫-|
qu il s e mesfistuileinement	-|-|-⌫|------|----------|
e lab ende desrump efent	|-|-⌫---|------||---|
luskiesteitpres	--|-|-----|---|
seignurspurdeu	-------|--|--|
ni es tei ummes	||--⌫---⌫-|--|
quant lilien sun trumpu	----|-|---|---⌫|----|
fui umnu senhastiu eme nt	---⌫-|--⌫|-|------⌫---⌫-|
si nusdemurumicine ient	-|--|------|--|--⌫---|
niauera ia	||----|-|
n ei tsuzla cuetrei s	|--⌫|--|-|--|----⌫|
cestessamplenusditdeceus	---|-------|--|--|-|---|
quedes pisentlesmenurs	--|---⌫-----|--|-----|
tantlesauil ent delu rdiz	---|--|----⌫--|-|--⌫|--|
que algrant	--|-|----|
b us uinsu nthoniz	-⌫--⌫--|--⌫-|----|
se sei uentc il ei der	-|---⌫---|-⌫-|--⌫--|
la uiluntgreinurmester	-||-|--|------|-----|
parueilleessamplerecunteici	--|-----|-------|------|--|
que tuitli	--|---|-|
l usuntenueilli	-⌫|---|-------|
en celepe luilsuntne ́	-|---|--⌫||-|---|--⌫|
laremainentt ut	-|--------|-⌫-|
kisu r lel umeistbonmestre	-|--⌫|-|-⌫|----|--|-----|
quildoctrinasta	-|-|---------||
estrepre stre	----|---⌫---|
sisereit il tutdis	-|-----|-|--|--|
f elee ngres leiz e hidus	-⌫-||-⌫----|---||----|
rec unt ed unostur	---⌫---⌫||-|----|
quesurlefust	--|--|-|---|
s asist un iur	|----|-|--|
u li ruissinol otsunni	|-|--------|-|--|-|
e ses oiselezb el nurri	|--|------|-⌫-|----|
aseilapristarapeler	|--|-|----||------|
c umanda a ch a nt er	-⌫-----||--⌫-⌫--⌫-|
sirefetilionepurreie	---|--|-|-|-|------|
tant cumsi pres	---|--|-|---|
demei uusueie	-|--|--|---|
pleseita remu er	------||----⌫-|
e surun a utrefust	|--|-|-⌫---|---|
ie o chantereiem utplusb e l	--⌫|---------|-⌫-|---|-⌫-⌫|
ceoseiuenttuitcistautre oisel	--|------|---|---|----|----|
autre s iuetde	-----⌫-⌫|--|-|
meinte gent	-----|---|
pa sseurem ent	--⌫|------⌫--|
lau ildutentbien parler	-||-|-----|---|-----|
si cu mla u	-|--⌫|-||
ne stutduter	|-⌫---|----|
d elcorbel cunteki trou a	-⌫-|-----|----|-|----⌫|
paruncheminui l	--|-|-----||-⌫|
plumes e pennes	-----||-----|
esguardatutenui run	-------|--|----⌫--|
plusu ilsetientque n u l	---|-⌫-|-|----|--|-⌫-⌫|
purceoqu ilnese uitsi bel	--|--|-|-|-|-|--|-|--|
tu tes ses	--⌫--|--|
plumes es raca	-----|--⌫---|
queunesule	--|--|---|
ni leiss a	||-----⌫|
despennesal	--|-----|-|
po uns aurne	--⌫-||----|
trestutsuncorsbelaturne	------|--|---|--|-----|
asemblaodlesp ouns	------|-|--|-⌫---|
ne semblotpaslur c umpai nuns	-|------|--|--|-⌫-----⌫---|
e le sl ebatirent	-⌫--⌫|-⌫|-------|
sipispurentpisli f irent	-|--|-----|--|-|-⌫----|
du ncr e uolt asc orps al e r	--⌫-|-⌫-⌫---|-|-⌫---|--⌫-⌫|
s icumeinzfistcorpresembler	-⌫|--|---|---|---|--------|
unttutdes cunu	--|--|---⌫---|
untoc is e	--|--⌫-||
ceopeotueerde plusurs	--|---|---|-|------|
kiaueiruntegranzhonurs	-|----|--||----|-----|
uncoreu o dre ient plus	-----|-⌫-⌫---⌫---|---|
ceo qu ilnepoent reteni r	--|-|-|-|----|------⌫|
ceoqu il coueit entn	--|-|-|------⌫--||
e le lurperdent	|-|--|------|
unliunfumutdesh e itez	-|---|-|--|----⌫-⌫---|
de ma ls uspr is	-|--⌫|-⌫----⌫-|
e em pe irez	|--⌫--⌫---|
tutesles bes tesial erent	----|--|---⌫--||--⌫----|
entreeusdistrente	----|--|-------||
queh umle de ust medicine r	--|-⌫-|-|--⌫--|--------⌫|
sinulsen s eustcunseil	-|---|-|-⌫---|------|
al gupil se tiendrentplusu	-|----|-|--------|----|
best e s setleretur	----⌫-⌫|--|-|----|
e asoiseusresetparler	|-|-----|----|-----|
mecineq uere	-----|-⌫---|
ede mande r	|--⌫-----⌫|
par mess agele	--|----⌫--|-|
fu nt somundre	--⌫-|-------|
g upile stut re spundre	-⌫---|-⌫---|--⌫------|
l ezla sales est eit m ucez	-⌫-|-|---||---⌫--|-⌫---|
k ar quointesert	-⌫-|-------|--|
lileun mut	-|---|--|
sec uruc a	-|-⌫----⌫|
lelusunpr ouos t ap ela	-|-|--|--⌫----⌫|--⌫--|
demand al uipurqueineui ent	------⌫|-⌫-|--|---|-|--⌫--|
lilusresp untrie nneldetien t	-|--|----⌫--|---⌫|-||------⌫|
forsl engrestede sun curage	---||-------|-|--|-----|
kar ie oli enu eiamun message	--|--⌫|-|---⌫--|--|------|
a menerlefraieprendre	-⌫----|-|---||------|
uuslefeites defeireupe ndre	--|-|-----|------||--⌫---|
sil c hastiezsif ieremen t	-||-⌫------|-|-⌫-------⌫|
qu e sample pr engent	-|-⌫-----|--⌫-----|
ligu pilotquilfu	-|--⌫--|-|-|-|-|
mutdurement sestesmaie z	--|-------||--|------⌫|
paspu r pa se st auant	--|--⌫|--⌫|-⌫-|----|
quedesbestes fu	--|--|-----|-|
bienue u z	---|--⌫-⌫|
uas este ́tan t	|-|----⌫|---⌫|
fe tlile uns	--⌫|-|--⌫--|
ecillidite n s un respuns	|--|-|--|-⌫|-⌫-|------|
deus beussire rei s	---|---|---|---⌫|
nesaiqueifesissea inceis	-|--|---|------|-⌫-----|
quemescineeussetrouee	--|------|----|-----|
puisaier ré mei nte iurnee	---|-|--⌫--|---⌫--|-----|
qu e oiuostrecomandement	--⌫|-|-----|----------|
en salernef uiue reiment	-|------|-⌫-|--⌫------|
siuu su nt li	-|--⌫|-⌫-|-|
mireman dé	---|---⌫--|
uostreenfermet e	-----|--------⌫|
que unluseit escorciétutuifs	--|-|-|---|--------|--|---|
siseitlisancenlapel mis	-|---|-|---|-|-|--|--|
suruostr epiz desque ademain	--|-----⌫|--|-----||-----|
deuostremaluusrendra sain	-|-----|--|--|-----|---|
le l upernent keileocfu	-|-⌫|------|-|----|-|
e scorce nttant lunttenu	-⌫------⌫-|---||--|---|
alliun unt	-|---|--|
cil senuet	--||-|--|
a granthasche	|----|-----|
alsole ilsesistpurgarisun	-|----⌫-|-|---|--|------|
lau ind rentmus cheseta un	-|-⌫---⌫---|---⌫---||--⌫-|
sil depuin stre ntmutmalement	-||------⌫----⌫-|--|-------|
ligupilziuient	-|-----||----|
tutquointement	--|----------|
silidemanda	-|-|------|
queila fesist	---|-|-----|
equesanz cha pel ileocs a sist	|--|---|---⌫--|----||-⌫---|
autrefeizseezchastiez	----|---|---|-------|
queautrene deizparmaltenir	--|----|-|---|--|--|----|
teideiuereuerti r	--|----|-------⌫|
telpurchacelemaldautru i	--|-------|-|--||-----⌫|
quecel meme	--|--|---|
reuientsurlui	------|--|--|
lus fist delgupil	--|---|--|----|
quiluoleitmettre en	-|-|-----|-----|-|
d ungu pilnus recunt ee d it	|-|--⌫--|--|------⌫||-⌫-|
ursetr ouaeuit	---|--⌫--||--|
formentlipre ia	------|-|---⌫-|
que ele suffrist que lifesi st	--|--|-------|--|-|----⌫-|
elema uueis	--|--⌫----|
mutparieschei tifseuilz	--|--|--|----⌫---||---|
feti ltelcu mieo	--|-⌫|--|--⌫|--|
feraies tretunuoil	----|--⌫--|--|---|
fuif etele leism e ester	--|-⌫-|--|---|-⌫|----|
si i eot en oimes parler	-|-⌫-||-|-|--|-----|
purraspurbricun	-----|--|-----|
ie ote bat er ai odmun ba stun	--⌫|-|---⌫--⌫-|-|--|--⌫---|
tantla li gup ilzenchacié	---|||-|---⌫--|--------|
quel urse sest	--||---||--|
mut curucié	--|-------|
apres cur utpurlui	----|---⌫-|--|--|
e il fuipurluitrahir	|-|--|--|--|-----|
ta ntquil mein eenun	--⌫-|--||----⌫|-|-|
e le s espine s	|--⌫|------⌫|
tutenuirun	--|------|
lunt entachéeen c umb ré	|--|-------||--⌫-⌫---⌫--|
pel l u ntdetiré	--||-⌫-|------|
sikenepo t auantal er	-|-|-|--⌫|----|--⌫-|
rien neretur ner	---|-|-----⌫--|
duncreuien t li gupilp a r	---|------⌫|-|----|-⌫-⌫|
surlisaillicume	--|-|-----|---|
tri c here	---⌫-⌫---|
l ursecumence	|---|------|
dun c acrier	---⌫||----|
puissi lipr ist	---|-|-|--⌫--|
mauueis gu p ilquei frastu	------|--⌫-⌫-|---|---|-|
ligupil zli	-|-----⌫|-|
adto st re s pundu	-|--⌫-|--⌫-⌫----|
ceo q ueto ifetil preié	--|-⌫-||-⌫|--|-|-----|
duntt um aueiesm anacié	---|-⌫||-----|-⌫------|
estereremaner	----||------|
quelipruzhumdira p ur uer	--|-|---|--|---|-⌫-|--|
asueziezestbien auis	-|-----|--|---|---|
quelurparoleeste ntelpr is	--|--|-----|--|-⌫|--|--⌫-|
cum lienginsde meint egent	--|-|-----|-|-----⌫|---|
queparcunseluenquents uuent	--|--|-----|-------|-⌫----|
fudemalgreuez	-|-|--|-----|
ses baruns	--|-----|
miresuole it que liquesissent	----|----⌫-|--|-|---------|
que des un malle	--|-|-⌫-|--|-|
guare sissent	-----⌫------|
tuz lidientia	--|-|----|-|
ne guarr a t	-|-----⌫-⌫|
siqueordecer fmangénenat	-|----|-|---⌫|-----||-|-|
dunc ass emblentlur	---|---⌫------|--|
parlem ent	------⌫--|
mand ezifuni uient	----⌫-||-|||----|
kar siparentesi	--|-|-----||-|
aueientdeuantgarni	------|-----|----|
un autre fezi fumandez	-|----|--||-|-----|
eil uient tut	|-|----|--|
dunc l id i stren t quil	---|-⌫|-⌫-⌫-----⌫|-|-|
sunqu eorauersilocir eient	--|--⌫--|---|-||----⌫----|
licerfsl oisis	-|----||-|-||
ag rant peinelureschapa	|-⌫---|----|--|------|
lat e rcef ezle	-|-⌫-⌫--|-⌫-|-|
remande rent	-------⌫---|
eil ui en tduncle	|-|--⌫--⌫|---|-|
ei nzq u ilpar fu stescorcez	--⌫-|-⌫|-|--|--⌫-|-------|
ses tligupilztant aprismez	|--⌫|-|-----|---|-------|
quilluraueitlequor	-|-|--|----|-|---|
sil ad mangé	-||-|-----|
quantiluoleientauant	----|-|-------|----|
sinelpor entmietrouer	-|-||---⌫--|--|-----|
entreustie nentm ut gran tp leit	---|--|---⌫---|-⌫-|----⌫|-⌫---|
sidemande ntki ceo adfei t	-|-------⌫-|-|--|-|---⌫|
kileq uorluraueitemblé	-|-|-⌫--|--|----|-----|
granthunteotfete	----|----|-|--||
lesbesteskies teien tpres	--|-----|-|--⌫-----⌫|---|
surentle gupil m utengres	-----|-|----|-⌫-|-----|
a felune amutue i zié	|----|||--|--⌫-⌫---|
dien tqu il ad	----⌫|-|-|-|
lequor mangié	-|---|------|
duncunt l egup ilapelé	---|--|-⌫|---⌫-|-----|
si liuntle quordem andé	-|-|--|-|---|---⌫----|
il lur iura	-|--|---|
parserment	--|------|
quil nel ot emblénent	-|-|-||-|-----|---|
se ignurs f et ilieoafier ai	--⌫-----|-⌫-|-|--|-----⌫-|
queuncleq uor	--|--|-|-⌫--|
ne m angai	-|-⌫----|
pires ereie dautrebes te	---|-⌫----||----|---⌫-|
humme deus ttrencherlateste	--|-|----⌫|-------|-|----|
siencuntrelemal	-|-------|-|--|
m unseignur	-⌫-|------|
e u ss efettelde shonu r	-⌫-⌫--⌫|--|--|--⌫-----⌫|
ore enirumdeuantlere i	--|-|---|-----|-|--⌫|
seeze nsemble	---|-⌫------|
ieomederaine r aibien	--|-|-------⌫-⌫-|---|
quenemem escrerra deri en	--|-|-|-⌫-------|-|--⌫-|
dunc uu ntd euantl eleun	---|--⌫-|-⌫----|-⌫|---|
si limustrentlar ais un	-|-|-------|-|-⌫---⌫-|
delquo rdient quiluntperdu	--|---⌫|----|-|-|--|----|
duncadli gupil	---|-|-|----|
sire fetilceomest	---|--|-|--||--|
ilueulent mett reence stpa is	-|------|----⌫-|-|--⌫-|--⌫-|
ceoque ianertne uncne fu	--|--|-||--|-|--|-|-|
ne quei amesn iert ueu	-|--|-⌫---|||--|--|
cerffuacurt mandé	---|-||---|-----|
e puroscire	|--|-----|
are isuné	---⌫-----|
agrantpe ines en	|----|--⌫--||-|
quan tterce	----⌫|----|
feiz r epeira	---|-⌫-----|
sacezqu i l naueit	----|-|-⌫||----|
p ointde quer	-⌫---|-|---|
karilniue ni s ta	--|-|||--⌫--⌫-⌫||
mutfere ieke	--|----⌫-|-|
tropse reiemauue ise faus	---|--⌫---|-----⌫-||---|
siieoenc untreuostresante	-|--|---⌫----|-----|----|
lureussele quorissiem blé	--|----|-|---|---|--⌫---|
li liunsresp unt que ueritedist	-|----|----⌫--|--|-----|---|
silqueoreustia niuenist	|-|----|---|-|||-----|
biendeuum legu pi l lesser	---|----|-|--⌫--⌫|-----|
quesei nssen	--|---⌫-||-|
pu issetrepe irer	--⌫----|----⌫---|
parmeme sces te rai s un	--|----⌫|---⌫-|---⌫-⌫-|
qu ant folsprentsagea cumpai nun	--⌫--|---|----|---||------⌫--|
sinule rien	-|---|---|
deiuen tpartir	------⌫|-----|
li sag esse setalmeuzte n i r	-|---⌫-|-|--|-|---|--⌫-⌫-⌫|
par parole l	--|-----||
autredeceit	----|-----|
sa mencunge puruerite	-|-------|--|-----|
delludited el	--|-|--||-⌫-|
que iadisfuren t c u mpa i nu n	--|----|-----⌫|-⌫-⌫---⌫-⌫--⌫|
lihiri cu ns deueitester	-|----⌫--⌫-|-----|----|
c hiensedest urber	-⌫----||----⌫----|
aluilesdeueit	|--|--|-----|
fere entendre	---|-------|
quantlilu s	----|-|--⌫|
ireit preie prendr e	----|----|------⌫|
unaignelprist	-|-----|----|
l i lus uniur	-⌫|--|-|--|
s i l escrierentlip astu r	-⌫||---------|-|-⌫----⌫|
les ch iens	--|--⌫---|
ap res huant	--⌫--|----|
uet alboisfuiant	--|-|---|-----|
li hericun leist entrepris	-|------|----|--------|
quantillapel eed itam is	----|-||----⌫||-⌫-|--⌫-|
puram urdeuuienm ei	--|--⌫-|--|---|-⌫-|
m ielesser	-⌫-|-----|
lilus r espunt aie	-|--|-⌫-----|--|
cunse il nauraspurmei	-----⌫-||----|--|--|
lihiricuns liadprié	-|-------|-|-|----|
baisezmeiparch erite	-----|--|--|--⌫----|
enfanz pu rras	-----|--⌫---|
ep arenseines remembrer	|-⌫-|-------|--------|
qu eore s un tpoures eorphe nin	--⌫|--|-⌫--⌫|-----||-----⌫--|
kemeile issastesel chemin	-|--|--⌫-------|-|-----|
lilus beisa lehy ricu n	-|--|----|-|--⌫----⌫|
eils aer ta sun mentun	|-||---⌫||--|-----|
a sesleures	|--|-----|
s es tat achez	|--⌫|--⌫----|
ferm afichez	---|------|
ui l uousist une	|-⌫|------||-|
alluestu t qui llapor tast	-|-|----⌫|-|-⌫||----⌫---|
quantel boisf u odluiuenu	----|-|---|-⌫|-|--|---|
li hyricun est descendu	-|------|--|-------|
sur un aut	--|-|--|
duncsestei t	---||-----⌫|
lil urecordé	-|-⌫|-------|
si lipriaquil desc endist	-|-|---|-|-|----⌫-----|
de u ant leschienssildefendist	--⌫-⌫--|--|-----|-||--------|
li hyricunsli r espunt tant	-|-------|-|-⌫-----|---|
a mi s fet ilua t	-⌫--⌫|--|-|-||
ioi s de tunai gnel	---⌫|-|--|--⌫---|
la char aiese lapel	-|---|---||-|--|
si tu tepuis des	-|-|-|---|--|
chiens garir	-----|----|
rie n p artir	---⌫|-⌫----|
sulmeeussezoreeinz	--|-|-----|--|---|
mes io tai bi ensurueizié	--|-||-|--⌫-|---------|
ceopeothumeu eerdelfe lun	--|---|---|-⌫--|--|--⌫--|
ke ueuttrahirsun cumpai nun	-|---|-----|--|------⌫--|
ilme mesestencu mbre z	-|--⌫--|--|----⌫----⌫|
lau li a utreestdeliuer ez	-||-|-⌫---|--|-------⌫-|
delui leined elaserp e nt	--|--⌫---||-⌫|-|----⌫-⌫-|
nuscunteicicumfeiteme nt	--|----|--|----------⌫-|
eurentensemb le cumpain ie	-----|------⌫-|-------⌫-|
e leautee feipleuie	|-----||--|-----|
al uileinpreia	-|-----|----|
epara murli	|--|-⌫--|-|
li aportastsu uent	-|-------|--⌫---|
d eusfe izleiur partelcouent	-⌫--|--⌫-|-|--|--|--|-----|
s enliens eig ne reit	-⌫-|-|---⌫---⌫--⌫---|
richehumele fereit	----|---|-|-----|
sili must rasun estre ufu	-|-|----⌫-|--|----||-|
eulung tensaueitie u	||---|---|----|--⌫|
de denz unepierecauee	--⌫---|--|----|----|
u ele sesteit areste e	|--||-----|------⌫|
liuileinnel ad	-|-----|-||-|
pa sublié	--⌫|-----|
quelinead laitap ort é	--|-|-|-|---|--⌫---⌫-|
elelidun a mutgrantor	--|-|---⌫|--|----|-|
silienseignauntres o r	-|-|-------|-|----⌫-⌫|
saterelifistbien	-|---|-|---|---|
si liense ignaaseme r	-|-|----⌫---||----⌫|
ta ntli duna	--⌫-|-|---|
quemerueille	--|--------|
fua lagent	-||-|---|
mesbien lidistquilleperdreit	--|---|-|---|-|-|-|-------|
dequ el hure k e li plareit	-|--⌫-|---|-⌫|-|------|
siderien li m esfeseit	-|-|---|-|-⌫-------|
kar b iene mal fer epoeit	--|-⌫--||--|---⌫|----|
liuil ei nquantuient	-|---⌫--⌫|----|----|
asafemmecuntela raisun	|-|----|----|-|-----|
de l a serpent	-|-⌫|------|
elelirespunthastiuemen t	--|-|------|----------⌫|
si lu oleitsun cunseilfeir e	|-⌫|-⌫----|--|------|----⌫|
qui lenpurreita bo n chef	-|-⌫|-|------||--⌫|---|
ocielasi fera mut bie n	---|-|-|---|--|---⌫|
puisn e la crendra de	---|-⌫|-|------|-|
nuleri e n	---|--⌫-⌫|
enduteenest oreens a	-|---|-|--|--|-|-⌫|
biensede itdeliuererde li	---|-|--⌫-|--------|-|-|
nauerad utedesunmesfet	|----|-⌫--|-|--|-----|
lebuketliporteple in de leit	-|----|-|----|---⌫-|-|---|
puissilas i seatere iu s	---|-||--⌫-⌫-||---|--⌫|
s i sentraieun poi	-⌫||-|----|-|--|
quantlase rpentuendraauant	----|-|--⌫----|-----|----|
sa hachetiengebien	-|----|-----|---|
s ilafiergesi durement	-⌫|-|-----|-|-------|
m esrecouremen t	-⌫-|----------⌫|
li uilein d it kesifera	-|-----|-⌫-|-|-|---|
le leit ad pris	-|---|-|---|
odtu ts enua	-|--⌫||-|-|
le buketmistd euant lapiere	-|----|---|-⌫----|-|----|
puis se traist unpoiariere	---|-|-----|-|--|-----|
l a serpent si uoleitbeiure	-⌫|------|-|-----|-----|
lecopoi ueniraneire	-|--|-|----|-|---|
pieresemetd eden z	----|-|--|-⌫----⌫|
eliui l eins	|-|--⌫-⌫---|
se nuado lenz	|-⌫|-|--⌫---|
ne demurra	-|------|
mesque al demein	--|--|-|-----|
tuz lesberbiz	--|--|-----|
aceluilein	|--|-----|
fure nt en	----⌫-|-|
lafaudetroue es	-|----|-----⌫-|
laserpentlesotacurees	-|------|--|-|------|
sunenfantocist e n	--|-----|----|-⌫|
s unbercel	-⌫-|-----|
duntliuileins	---|-|------|
otmutgrantdoel	-|--|----|---|
parmaltalentpardreite ire	--|--------|--|-----|--|
a safe mmecumencaadire	|-|--⌫--|------||---|
femm efetilcunseil lemei	----⌫|--|-|-------⌫-|--|
cist m almestuenupar	---|-⌫-||--|---|--|
tumedonascu nseilde mal	-|-|----|--⌫----|-|--|
fol e felunedesleal	--||----||------|
eleresp unta sun	--|----⌫--||--|
ieonesai c un seilnemes	--|-|--|-⌫--⌫---|-|--|
fo rs tantque tu u o ises	--⌫-|---|--|-|-⌫-⌫---|
