o rfaitespaixpourDie	-⌫|-----|---|---|--|
de l escuiusco pper Et	-||---|--|--⌫---|-|
enla terrefistles pee ungpieten trer.	-|-|----|---||--⌫--|--|---|--⌫----|
Oncque s n ulz homsnoÿd etelc opparlerSe	------⌫|-⌫--|---||--|-⌫|--|-⌫-|-----|-|
netou rna stlespee	-|---⌫---⌫-||----|
nenpeuïste s chapper . Mais	|-|------|-⌫-⌫-------⌫|---|
toudixestsa uuéz que	-----|--|--⌫----|--|
Dieu xueultsauue r	----⌫|----|-----⌫|
EtDieu x ama	-|----⌫|--|
forment Gari nlebac heller. E n maintlie u	------|----⌫|-|---⌫------|-⌫|----|---⌫|
prilleulxluia	--------|--||
uollumons tr erAinsy	----|----⌫--⌫-|----|
que uousporézoÿr etes coutter.Entr eGarrin	--|---|-----|---|-|--⌫-------|----⌫|-----|
uientle bra ntalet errecou llerEtil	----|-|---⌫-||-|-⌫---|---⌫---|-|-|
gaiantd urasacquier	-----|-⌫|---------|
pe ner Lorslefe ry Gar insan spo i ntde	--⌫--|---|-|--⌫-|---⌫-|---⌫|--⌫-⌫-|-|
l arres ter.En	|-----⌫---|-|
l asennestre	-⌫|--------|
cuisseleuasy	-----|-|-|-|
assennerParle u ert u de Dieu	-------|--|-|-⌫---⌫|-|---|
qui tout aa ssauluer	--|---|||-------|
Quilluifistunecuissetoutteius	-|-|--|---|--|-----|-----|--|
quil fistlegaya nt	-|-|---|-|----⌫-|
a la terretumer.DieuxdïentCris tïensuez	|-|----|-----|----|-----|----⌫-----|--|
labonbachel ler C a r	-|--|------⌫--|-⌫-⌫|
amour deDieunenp oroitadc hi euerL e	----|-|---||-|-⌫----|---⌫--⌫---|-⌫|
mort dechegai ant	---|-|--|---⌫--|
ilnyporoit durer Se	-|||-----|----|-|
deDieu n auoitgrace. Quantlegaiant	-|---||----|-----|----|-|-----|
c heÿmoultl aideme ntb reta.Garrinhardimentsur	-⌫---|----|-⌫------⌫-|-⌫--|-|-----|--------|--|
l egaiantmonta. Le	-⌫|-----|-----|-|
gaiantdelangoussemou ltso uuentsepals maEn	-----|-||-------|---⌫-|--⌫----|-|----⌫-|-|
terre laistl	----|----||
es peep o urlango ussequi l	--⌫--|-⌫-⌫-||----⌫---|-|-⌫|
a.EtGarrin fier t a luiquipoint	-|-|-----|----⌫||--|--|----|
l espareigna.Quantlegaiant reu ientsys e res uygura	|----------|----|-|-----|---⌫---|-|-⌫|---⌫-----|
Et unemaint	-|--|----|
qu il ot ap résGarrin	-|-|-|--⌫---|-----|
hap pa D eux tourspargra nt aÿ rentourlui le	---⌫-|-⌫--|----|--|---⌫-|---⌫|-----|--|-|
t ourn a Etpui s le lais t aller	-⌫----⌫|-|---⌫|-|----⌫|----|
apprés luileboutta.XXIIIIp ie ́s et	------|--|-|------|-----|-⌫--⌫-|-|
p lusdesoncorps	-⌫--|-|--|----|
leslonga .	|-------⌫|
Atelmeschiefqueÿqu	|--|-------|----|-|
apoy qu il ne	|--|-|-|-|
creua. Longte mpz fu alete r re q ue	-----|---|--⌫--|-||-|--⌫-⌫-|-⌫-|
nulmot nesonna.	--|--|-|-----|
Etqu a ntleroy	-|--⌫-⌫-|-|--|
leueyttout lesang lu i	-|---|---|-|---|--⌫|
muaEtla bell e Germain emoultg rantdeui l	--|-|-|----⌫|-------⌫|----|-⌫---|----⌫|
dem e na A nthi amesfudollan setGerinsoupp ira.	---⌫-⌫-|-⌫----⌫---|-|------⌫|-|----|-----⌫---|
Ellasebien	---|-|---|
seuissen t commentlachoseuaGarrinsfus t l eur frere	--------⌫|------|-|----|-|------|---⌫|-⌫--|----|
eulxyfustia. M aisde Garin ne	---||---|--|-⌫--|-|----|-|
sceuren tcom m ent lachoseua Etque	-------⌫|---⌫-⌫--|-|----|-|-|--|
cefust l eurfrere n uld	-|---|-⌫--|----|-⌫-||
eulxny pen sa.	---|||---⌫--|
Mai spour lannoyde	---⌫|---||----|-|
Garrin tre sf ormentl eur annoya.Gra ntdeuilen uontmenant	-----|---⌫|-⌫-----|-⌫--|------|---⌫-|----|-|---|-----|
ceulxqui furent	----|--|-----|
laE t pour	-|-⌫|---|
Garinprieren t chescun etchaetla.	----|-------⌫|------|-|--|-|--|
cu ident mort Garrin maisquant il	--⌫----|---|-----|---|----|-|
ser eleuaDont	-|-⌫----|---|
men erentgrant	---⌫----|----|
Quan tGarinsleuassaulx	----⌫|-----|-|-------|
fua piés leu ézsu sAd o ntuers legaiant	-||----|---⌫--|--⌫|--⌫-⌫-|---|-|-----|
b riefmentacc ourus .	-⌫-------|---⌫-----⌫|
Allexan dreappo igna dontle	-------⌫--|----⌫---|---|-|
bra ncestoitnuz.	---⌫-|-----|---|
Quant letien t ensamainoncque ssyliés ne	----|-|----⌫|-|-|---|------⌫|-|----|-|
Cristen loa	----|-|--|
etsesdignes	-|--|-----|
uertus.Etle gaiant adit uou s	------|-|-|-----||--|---⌫|
ensere ́zpendu s.Par	-|----⌫-|-----⌫-|--|
to ysuisaffollézdont	--⌫|---|--------|---|
iesuismou ltco nfus Qu ant detoy	-|---|---⌫-|--⌫---|--⌫--|-|--|
suiznaurés	---|------|
ascom batus .-	-|---⌫-----⌫||
Gar rincef aitle	---⌫--|-|-⌫--|-|
I hesus.Ilne uient pa sde m oyain s ui ent	-⌫-----|-|-|----|--⌫|-|-⌫-|---⌫|--⌫--|
deses uertus.	-|--|------|
bauptis ir sewyde m e sarg usAdo nt le	-------⌫-|-|---|-⌫-⌫|---⌫-|---⌫-|-|
faulxgaiansne syest	----|-----|-|||--|
atten dus. Il	-----⌫---|-|
se mist ag enoul xetsis estde ffendus.Et	-|---||-⌫-----⌫|-|-||--|--⌫-------|-|
le bon Garin	-|--|----|
s estdepierrespo urue üs.Au Sa rrazin giectatant	|--|-|------|--⌫----⌫---|-|--⌫-----|-----|---|
decailleu x cor nu s	-|-------⌫|---⌫--⌫|
Quil labbatyaterre .Legaiant	-|-||-----||-----⌫|-|-----|
estch eüsqu i m oultfulapid és	--|--⌫---|--⌫|-⌫---|-|-----⌫--|
L ecuisseauoit	-⌫|-----|----|
coupp e edubrancquifu let re ́s.E t Garinsauta	-----⌫-⌫|-|----|--|-|---⌫--⌫--|-⌫|----|---||
qui nesestar rest é s.	--|-||--|--⌫----⌫--⌫-|
DAllexand rel espee don tleachie r fuleés	|--------⌫-||----|---⌫|-|-----⌫|-|----|
LeferytellementGarin lu i ad ur e ́sQ uede	-|---|--------|----|--⌫|--⌫--⌫-⌫-|-⌫-|-|
son ch ief lui estleh aya me	--|--⌫--|--|--|-|-⌫---⌫-|
uolléz. Al	-------|||
ault r ec opluifiert	----⌫-⌫|-⌫-|--|----|
seluicoppale néz .	-|--|----|-|----⌫|
Surle g aiant	--|-|-⌫----|
f eryb ien XXXcopzpassézNepouo itde	-⌫--|-⌫--|--|---|------|-|----⌫-|-|
ferir adoitestrela sséz.	----|----|----|--⌫-----|
A dontl ochistG arindontmai ntiou rfuloé z	-⌫---||-----|-⌫---|---|---⌫-|---⌫|-|----⌫|
Et en mainteco ntreeen	-|-|-----|--⌫----|-|
furodoubtéz En	-|---------|-|
cité scristeaulxeten pallais pauéz Caron cques	-----⌫|---------|-|-|------|-----|--|--⌫----|
pl us beau f a itne	--⌫-|---|-⌫-⌫-|-|
fithomme ne ́z	--|----|--⌫-|
Com me fi s tGarinsa insyque uous	---⌫-|--⌫-⌫|-----|-⌫---|--|---|
oréz.Quant leroyAïmerquienssy estnommézuit	-----|----|-|--|-----|--|----|--|------|--|
lehaultep roes se	-|-----|-⌫----⌫-|
dontGar infu fondés Lesclocques fistson ner	---|---⌫-|-|------|--|-------|---|---⌫--|
q ueonloÿtde	-⌫-|-||---|-|
léz .LesSarrazinss en fuirentaloiges	----⌫|--|--------||-|------||-----|
etatrèsEt	-||----|-|
sauoientque leurroy futue ́s .uerslacité acc ourent	-------|--|---|--|-|---⌫--⌫|---|-|----|---⌫-----|
les hauberch	--|-------|
endosse ́z Et	-------⌫-|-|
Garri n seretrait qui mo ult	-----⌫|-|------|--|--⌫--|
estoitlassé z.A	-----|------⌫-||
trouuasesdeulxfreres c arnelz	-----|--|----|-----|-⌫-----|
Do nt ilfupar amour	--⌫-|-|-|--|----|
baisiéz et	-------|-|
accoll ézEtleroydist	------⌫--|-|-|--|---|
G arin tres bienditlauézPar	-⌫---|---|---|--||----|--|
monpayz auiour dehui	--|---|-|---|-|--|
deliure ́s.A tantesSarrazinsquiuiennent	-------⌫--||---|-|--------|--|-------|
tou sl éz.Leur seig ne ur	---⌫|-⌫---|---|----⌫--⌫-|
o nttro u uéqui estoitd esc ouppé Dont	-⌫-|---⌫-⌫--|--|-----|-⌫---⌫-----|---|
grantdeuildesSa rrazi n s mené E tpardeuers lostfu	----|----|--|--⌫-----⌫-⌫|----|-⌫|--------||--|-|
rap p ortés. ueoientlesCristïens	---⌫-⌫------|------|--|---------|
d e combatreappre stéz. Mauldis soit	-⌫|-------|-----⌫-----|------|---|
lep ai enqui	-|-⌫--⌫-|--|
uerseulxsoitallézAinsre tournent uer s	---|---|---|-----|---|--⌫-------|---⌫|
esbomi e ́z Et pleurentleurse igneurquia	------⌫-⌫-|-|-------|---|--⌫-----|--||
finestalléz.Et le ro yde	--|--|------|-|-|--⌫|-|
Sezill eest arriereretournéz Auecluy Gerin	------⌫|--|------|---------|---|--|----|
etAnt hiame	-|---⌫----|
dallé z. Sy	------⌫-|-|
enmainent Garin iusquau pa llaislistéz Laa	--------|----|----|-|--⌫----|------|-||
trouué Germ ain e	------|----⌫---⌫|
luifud esarméz. Garinse	--|-|-⌫--------|----|-|
distleroysauéz queuousferé s	---|-|--|-----|--|---|-----⌫|
Concquis a ué zungdon	-------|-⌫---⌫|--|--|
telquedem andere ́z Amon entierem ent t res bien	--|--|---⌫------⌫-||--|--------⌫--|-⌫--|---|
u ous auiséz. -Frerese	-⌫--|-------||----|-|
bell epuisqueung d o n lui donnéz	----⌫|---|--|--|-⌫-⌫|--|------|
Ieu ouspry quedemoyluisoit	-|-⌫--|--|--|-|--|--|---|
presen tdonne ́z .- Maseur	------⌫|-----⌫--⌫||-|---|
se dist le	-|---|-|
r oysi soit que	-⌫-|-|---|--|
u ousuolléz.-Sire	-⌫--|-------||---|
se distGermaine Dieuxensoit	-|---|-------|----|-|---|
i euousdonneungdonqu e mienert ue és	-⌫|---|----|--|--|--⌫|--||--|--⌫--|
Sauuéz lonneur	------||-----|
demyet garny	-|-|-|----|
en bontéz.- Damecedi s t	-|-------||---|-|--⌫-⌫|
Garinde cene uous	----|-|-|-|---|
d oubtés.D onnedem anderayd ontmes corpzsoit bl asmés.-	-⌫-------|-⌫-|-|---⌫------|-⌫--|--|----|---|--⌫------||
Ga ri nd ist	--⌫--⌫|-⌫--|
l a p ucelle soyéz bienau isézSe	-⌫|-⌫-----|-----|---|--⌫----|-|
neste sconse illiéz a moyconseil	|----⌫|-----⌫------||--|------|
prennéz. Bie nuou s co nsei ller ayse	--------|---⌫|---⌫|--⌫----⌫----⌫-|-|
croire me uollézSans f a ire u o	-----|-|------|---|-⌫-⌫--|-⌫|
dom maige. OraGarri n deuxdons q ue	---⌫-----|-||-----⌫|---|---|-⌫-|
onluia pro mis.Ilregarde	-|--||---⌫---|-|------|
A nthiaumequimoul t estoi tpe nsisE tson f rere	-⌫-------|--|----⌫|-----⌫|--⌫---|-⌫|--|-⌫---|
Gerin qu itant	----|--⌫|---|
fa itiz Etle royAïmer	--⌫---|-|-|--|-----|
r e ga rda ensouuis Et la	-⌫-⌫--⌫--|--|-|--|-|-|
fr anche puc hell e	--⌫----|---⌫----⌫|
blanche c omme	------|-⌫---|
fleur de lyz.EtDieuxsedistG arinsPere	----|-|---|-|----|-|---|-⌫----|---|
Parad ix Se ieu oloye iaestre un gpeufainti sIe	-----⌫-|-|-|-⌫----|-|----|--⌫|--|------⌫|-|
caril me stbienpr o mis.Mai s certes i en	--|-||-⌫-|---|--⌫-⌫---|---⌫|-----||-|
pardefinha ÿz	-------|--⌫--|
Carie suis pou resho ms	--|-|---|---⌫--|--⌫-|
etdep arenspe tis.Et quise	-|-|-⌫----|--⌫---|-|--|-|
desn atureen la	----⌫----|-|-|
f inest haÿz Cara	-⌫-|--|----|--||
peu doccasionuientla	--||-------|----|-|
bes oignea u	---⌫----|-⌫|
r engne saige mentquitientestatonnis.Tousiou rsmaidera	-⌫----|-----⌫---|--|----|----|-----|---|---⌫-||-----|
leSaintEspritC arquisert loyaulment	-|----|-----|-⌫-|--|---|---------|
DieuxlaïdetoudixCar	----||----|-----|--|
cert esde mal	----⌫-|-|--|
f ai renest nul zhoms remplisEtilf ait bo n	-⌫--⌫-||--|---⌫|---|------|-|-|-⌫--|--⌫|
concq uerre	-----⌫----|
aucunsbonsamis.Cestle amourdeDieuqui	-----|---|----||--|-|----|-|---|--|
enlaCroi xfumisC	-|-|----⌫|-|--||
e stle amo urdu	-⌫-|-|---⌫-|-|
roy cestlepourf fit	--||--|-|-----⌫--|
delis. Aice lluimetieng z	-|---||---⌫---|-|-----⌫|
ia nes er ayfain tis.Ains syco n ilp enssoitet	-|-|-⌫--⌫-|----⌫---|----⌫-|--⌫|-|-⌫------|-|
quil es t asoupp lis	-|-|--⌫|------⌫--|
Anthiame qui le uoit	-------|--|-|---|
qui estoitm oultpenssizLuiaditB eau x	--|-----|-⌫---|------|--||--|-⌫---⌫|
ami sseuousnauézauisDe demanderles	---⌫|-|---||----|---|-|-------|--|
donsqueonuousa cy	---|--|-|---||-|
promis Bien	-----|---|
uo usconseilleraysiluousui enta d eu is.-	--⌫-|-----------||-|---|--⌫--||-⌫--⌫--||
distGarrini esuis	---|-----|-⌫|---|
assézsou bstizDede manderauroyquiest	-----|---⌫----|-|--⌫-----|-|--|--|--|
m es amis. IeluidemanderayiesuizamaneuisEt	-⌫-|----|-|--|---------|-|---|-------|-|
syneserézia	-|-|-----|-|
u eu ̈zne oÿz.Qu antAnthiaumele oÿlesanc	-⌫--⌫-|-|----|--⌫--|--------|-|--|-|---|
luiestf r emiz.Aÿ	--|--|-⌫-⌫----|--|
dist il alui	---|-||--|
ac ecopsuizbien petis. Or	|-⌫|--|---|---|-----|-|
uoyb ien que G arrin es t	--|-⌫--|--|-⌫----|--⌫|
trop enorgeuilliz.Parl esien h ar diment	---|------------|--|-⌫|---|-⌫--⌫-----|
est mo nté en telpris	--|--⌫---|-|--|---|
I am mai sne	-⌫--⌫---⌫|-|
da ignera nul	--⌫-----|--|
hommequisoitu iz.Cari ay	----|--|---|-⌫--|--||-|
maintp aÿ z	----|-⌫---⌫|
ungpour es	--|----⌫-|
hom sdelin ai gepeti s	---⌫|-|---⌫--⌫-|----⌫|
uien t deb asaffaire etdepouresamis	----⌫|-|-⌫-|------|-|-|-----|---|
Quantil monteen	----|-|----|-|
auoiret il	----|-|-|
estenrichi zIlest	--|-------⌫|-|--|
entousesta sfellonsetdespisOrgeui lleulx	-|---|----⌫|------|-|-----|------⌫-----|
fellonscuidansetdeffis Quechilz quie stuenusde	------|------|-|-----|--|----|--|-⌫-|----|-|
garnis. Onneuoitoncquestantcomb atre	------|-|-|---|------|---|----⌫---|
les gentizCar leriches	--|-----|--|-|-----|
h omsqui desbonsestuenus Porte nt	-⌫--|--|--|---|--|----|-----⌫-|
honneur lun al	------||-|||
aultre.Ainsy	------|----|
cuidoitAn thiame qui	------|--⌫-----|--|
cuidot follement.	-----|---------|
EtGarrin ap arlétresbiene t	-|-----||-⌫----|---|---|-⌫|
saigement Distauroy	--------|---|-|--|
deS ezi llea lauo ix haul tementS ir e	-|-⌫---⌫--||-|--⌫-|----⌫-----|-⌫--⌫|
auézung d onamon	----|--|-⌫-||--|
t allentEti ele ueu i la uoi rsansnul	-⌫-----|-|-⌫|-|---⌫-⌫|-⌫---⌫|---|--|
arr estement.uostre seur iedemandeq uitanta	---⌫--------|-----|---|-|------|-⌫-|---||
lecorpz gen tNonpas	-|----|---⌫|--|--|
pour moyne pourmariement Etnedoye	---|--|-|---|--------|-|-|---|
faire a lui ains	----||--|---|
parf aiteme ntPour monsei gneur Ant hia u mequic y e st pr esen tFilz	----⌫------⌫-|---|--|---⌫----|---⌫---⌫-⌫-|--|-⌫|-⌫-|--⌫----⌫|---|
duc dAcquittaine ge ntil z	--||----------|--⌫----⌫|
homsfor ment	---|---⌫---|
Assenneelarézbi enet	-------||----|--⌫-|-|
noble ment. Etuous mado ulce	-----⌫----|-|---|-|--⌫---|
d ame ie diztoutenssement Queuous	-⌫--|-|--|---|--------|--|---|
obeïssiézparleuostresermentAespouser	----------|--|-|-----|------||-------|
Anth iameuousle m auéz	----⌫---|---|-||----|
conuent. Aultredon	-------|-----|--|
nedema ndene d ornedarg entCarie	-|----⌫--|-||-|-||---⌫--|--|-|
sc ̧ay bien	--⌫--|---|
q ue Anthiameuousai me	-⌫-|-------|---|--⌫-|
loyaulm ent.Or u ous	-------⌫---|-|-⌫--|
priequelesnopches	---|--|--|------|
fachi és lÿ ement .QuantAnthiaumeleo ÿ	-----⌫--|---⌫-----⌫|----|--------|-|-⌫-|
pa rle r syfait tement	--⌫---⌫|------⌫-----|
brachlac colleetbais e	----||--⌫----|-|----⌫|
doul cementEt	----⌫-----|-|
mie nenssientDe uous	---⌫|-------|-|---|
pluspreudomme	---|--------|
dessoubz le fiermament.A	-------|-|----------||
cecop uousay	-|--|---|-|
bien espr ouué urayementEt ie	---|----⌫----|--------|-|-|
Cel luiaq uile	---⌫--||-⌫-|-|
monde append	----|-----|
Desserui rlemelaistbiente mpr ement.Et le	--------⌫|-|-|----|---|--⌫---⌫-----|-|-|
Sezille qui tantotdesient	------|--|---|-||-----|
Enappella Garrinetlui	-|------|-----|-|--|
uis tement Garin soruoige	---⌫-----|-----⌫|-|--|-|
biencertainementQueam ispour ami s	---|-----------|--|--⌫-|---|---⌫|
ueille.-G arinsedist	------||-⌫---|-|---|
loyalhom me	----|---⌫-|
genti lQuantaault ruy	-----⌫|----||----⌫--|
as donnéce	-|-----|-|
quet asde sseruy.Seuru ous	--||-|--⌫------|---|-⌫--|
aue ́zAnthiamepuisqu il	---⌫-|-------|---|-|-|
estainsyTantost	--|----|------|
les pouserézsansfairenuldettry.Dollant e	|--⌫--------|---|----|--|------|-------⌫|
labelle q uantlap arol leoÿN o n pou rquant	-|----|-⌫---|-|-⌫----⌫-|--|-⌫-⌫-⌫---⌫-----|
consen ty.Anthi amedansell ey ssnellementpleuuy.	------⌫--|-----⌫--|-----|-⌫|-⌫----------|------|
Lendem ain auma tin	|-----⌫--|-|--⌫--|
Persant et ArabyLaisserent	------|-|----|---------|
legrantsiegeet syses ontpartyPour	-|----|----|-|-|-|-⌫--|----|---|
lefellonga iantq ui	-|-----|--⌫---|-⌫-|
parGari nestfiny.Po urtant	--|----⌫|--|----|--⌫-|---|
trest o use nffuïz Enlorpaÿzsen uont dol l antet	-----⌫-⌫-|-⌫------|-|--|----||-|---|---⌫-⌫--|-|
es bau bisPay ens	--⌫---⌫--|---⌫--|
Sarrazinsetfellons	--------|-|------|
Iuis.Anthiau me espousaladamepuisse dyEtenot	----|-------⌫-|------|-|---|------⌫-|-|-|-|
desenfans qu	--|-----|-|
e t chiery. LeroyYuondeGa scoi gned icelle	-⌫|------|-|--|---|-|--⌫----⌫--||-----|
damey s sy	---|-⌫-⌫-|
Et ClarissequiotleducRegnault amaryCellui	-|-------|--|-|-|--|-------||---|-----|
Mo ntaub anque Charles	--⌫-----⌫-|--|------|
t a ntha ÿ. Ensement f istGarin	-⌫-⌫-|--⌫--|-------|-⌫--|----|
qui ses freres	--|--|-----|
seruy. Anthiau me lapp ellase lui di st sans	-----|-------⌫-||---⌫---|-|--|--⌫-|---|
detrySires	----|----|
compa ins d istil pourlamo urdeDieu	-----⌫--|-⌫--|-|---||---⌫-|-|---|
mercy.ue uill iézno us	-----|--⌫----⌫---|--⌫-|
c onseillierca rtropso mmes ho n nyDe notayonque	-⌫---------|--⌫|---|--⌫---|--⌫-⌫-|-|-|----|--|
Tiery. I lti entlenostrepereq uinousengenry	-----|-⌫|--⌫--|-|-----|---|-⌫-|---|------|
amis enpris on	|--|-|----⌫-|
etlamalesbauby. Syen	-|||--|-------|-|-|
deuon s bien e stre co urrouchiéetma ry.	-----⌫|---|-⌫---|--⌫---------|-|--⌫--|
de uost reconseils iluous	-|----⌫-|------||-|---|
plaist arons	-----|----|
cyEt ferons	-|-|-----|
uollentier.	----------|
EtGar rin res po ndy. Seigneurssed istGarrin	-|---⌫--|---⌫--⌫---|--------|-|-⌫--|-----|
parlefoy que doy	--|-|--|--|--|
miuostretay on d euézbient enir	-|-----|---⌫-|-⌫----|---|-⌫---|
aa mi.Peresfu	|-⌫--|----|-|
uostremereque	-----|---|--|
souefuonou ry.Toudixayoÿdire	----|-|---⌫--|-----|-|--|---|
et po uruousleuou s	-|--⌫-|---|-|---⌫|
nich eses tlihoms et	----⌫-|--⌫|-|---|-|
dese nsmal	-|--⌫-|--|
garnyQu an tilbou tesondoi tentr e	----|--⌫--⌫|-|---⌫-|--|---⌫|----⌫|
