ocum es ri ches	|--|-|--⌫---|
ilen alesfistetparlat ouso ffrit	-|-|---|---|-|-----|-|--⌫----|
quilni laiatne sun	-|-|||----|--⌫|-|
t re spitit	-⌫--⌫|----|
m omentnen uneletreque nesoitplaine	-⌫----|--|--|----|--|-|---|-----|
de sacrement	-|--------|
etdesigneficha ncep lusa o uert ementtoteuoiesmistquatre iors	-|-|----------⌫--|-⌫--|-⌫-⌫----⌫----|--------|---|-----|---|
quiprochi en no ssuntenhonor etce stuicuinos	--|------⌫-|--⌫|---|-|----|-|--⌫---|--|--|
ce lebrons ces t lo	--⌫------||--⌫|-|
iord ela processionlo	--|-⌫|-|---------|-|
iordelapassio n	--|-|-|------⌫|
loiordelreposet loior	-|--|--|----|-|-|--|
de saresusrecc ion	-|-|---------⌫--|
el pr imierioru olt receourelumaine	-|--⌫----|--|-⌫--|-------||-----|
g loiree ts i uolt	-⌫----|-⌫|-⌫|---|
ent rer en iherusalem agr ant	---⌫--|-|---------||--⌫--|
ioie ne mies a	---|-|---||
acost umeitmaiss orun a s n eetceu si fut li	-----⌫----|---|-⌫-|-|-⌫-⌫-⌫|-|--|-|--|-|
aparill emenz	-------⌫----|
delapa ssio nc ar de ceufustplusenmeuteli	-|-|--⌫----⌫|-⌫-|-|--|---|---|------|-|
e nuied esprest es	-⌫---|-⌫-|-----⌫-|
omleistq u ilancunefieie	-|----|-⌫|-|-----|----|
sen fu it qu antles torbes	|-|--⌫-|--⌫--|--|-----|
deuoien tuenir por lui	-------⌫|----|--|--|
a panreetporfairede	|----|-|--|----|-|
lui roi mai s	--|--|---⌫|
oruintsens ceuquen laustquis por	-|---|---|--|-|-||---|---|--|
ceuquilreceu zfust	--|-|-|-----⌫|---|
sicum roisdisr aele t	-|--|---||---⌫--|-⌫|
loezet nen estmiedote	---|-|--|--|--|---|
quila cest	-|-||---|
los n enenmusis t lor cue rsc eumismes	--|-⌫-|-------⌫|--|---⌫-|-⌫-|-----|
puetomassi direde	---|-|---|---|-|
la passio n ilissitforsanc unefiei eets i s e	-|------⌫|-|----|---|---⌫--|----⌫|-|-⌫|-⌫|
reponutde dauant	------|-|-----|
lesg ens ne	--|-⌫--|-|
ne uoloi ti a i miesal er	-|-----⌫|-⌫-⌫|---|--⌫-|
aouertement per	----------|--|
geuerie carli	------|--|-|
g eulo qua roientpor o cir emaisquan tilsot	-⌫-|-|---⌫-----|--|-⌫---⌫|---|----⌫|-|--|
q ue son horefutuenuesis	-⌫-|--|---|--|----|-||
of frit ala passio ndeson	--⌫---||-|------⌫|-|--|
greitsicumcil qui	----|-|--|--|--|
auoit lapos teit il couen iuet quenostre	----|-|---⌫---|-|-----⌫---|--|-----|
euesquesfusttemptezent oteschosespor lasemblance	-------|---|------|-|-⌫---|-----|--|-|--------|
futsenspechi et qu il	--|---|-----⌫-|-|-|
sicumuraishome schuest	-|--|----|--|-⌫------|
quant mestier s	----|-------⌫|
fu st les pr osperitezetlesauers iteizdeshommesetreceust	--⌫-|--|--⌫--------|-|--|-----⌫----|--|-----|-|------|
quant mestiersfust	----|-------|---|
ensiq uildesuneschoseset	-----⌫|-|--|---|-----|-|
des altres	--|-----|
n os donas t enlui mismesessemple	-⌫-|-----⌫|-|--|-----|-------|
deuirtu ttot	-|-----⌫|--|
cum uertuzd	--|-----||
atempranceestfuirlo losdel peuleet la	---------|--|---|-|--|--|----|-|-|
pr osperiteitd el	--⌫---------|-⌫-|
mundeens i ap er tientila la fieie aiusti se	----|---⌫|--⌫--⌫----|-||-|----||-----⌫-|
ceschosesquantom lofaitpor ancunecerte	--|-----|----|-|-|---|--|-----|----|
di spensacion	--⌫---------|
car persec ucionettotesauersitez do itoma	--|------⌫----|-|----|--------|--⌫-|-||
lafieiefuir	-|----|---|
se loncceuque leu s enestettens	--⌫---|--|--|---⌫|-|--|-|---|
etuiguerosementles	-|------------|--|
om sostenirquantmesti ers estetences	-|-------|----|-----⌫--|--|-|-|--|
douschose scest	---|-----⌫||--|
en lap ro sper i tei t et enl auersiteitest toteli	-|-|-⌫--⌫----⌫-⌫---⌫|-|-||---------|--|---|-|
humain euie	------⌫|--|
mai sensaltres	---⌫|--|-----|
qua tre dar iensiorsest	---⌫--|---⌫---|---|--|
t otelipe rfeccionsdes	-⌫--|-|--⌫--------|--|
ui rtuzcarilcoueniuetc elui aamplir	--⌫---|--|-|--------|-⌫---|------|
totes les uirtuze nc ui	----|--|-----|-⌫|-⌫-|
totelipla ntezdesuirtuzhabite uetpor	---|-|---⌫---|--|-----|------⌫--|--|
ceuquetuit	--|--|---|
cumb iennostresiressaust	--|-⌫--|-----|----|----|
auoir h ab undance etsof frir besogne	----|-⌫--⌫------|-|---⌫---|------|
lisapie nce dedeu	-|-----⌫--|-|--|
nenestoit mies d eceos	--|-----|---|-⌫|---|
cuil o rprospe ritez	--|-⌫-⌫|------⌫----|
poistocir eneli uertuzd edeu nen	----|----⌫|-|-|-----|-⌫|--|--|
est o itmi es deceosc ui li	---⌫-⌫-|--⌫-|-|---|-⌫-|-|
aduersitezpois t	---------|----⌫|
brisieretl un et l a lt retrueu etom	------|-||-|-||-⌫--⌫-|-----⌫-|-|
escri tcest	-----⌫||--|
que liauersitezocietce os	--|-|--------|----|--⌫-|
qui sot sun t	--|--|---⌫|
m oltatempreiment receut toteuoiesnostresiresceste	-⌫--|-----------|-----|--------|-----|----|----|
glor e quant	----⌫|----|
il iuint ne mies s or c herra zousor	-||---|-|---|-⌫-|-⌫-----⌫|-|--|
cheua lsmais sorunasne	-----⌫-|---|--|-|---|
disoitilasdisciplesuos	-----|-|-|--------|--|
dist ancu nechose	---|----⌫-|----|
quelisire sataffairedecesbestes grant	--|-|----⌫|-|------|-|--|-----|----|
aff air een at	---⌫---⌫|-|-|
uoi rementet	---⌫-----|-|
oyuredes alueteitenat afairecariles toit	----|-|-⌫-------|-|-|-----|--|-|--⌫---|
salu erles hommeset	----⌫-|--|-----|-|
lesbestesmul tiplian z s amise ricor de	--|-----|---⌫-------⌫|-⌫|----⌫-----⌫-|
len comenc ement	|--⌫------⌫----|
de nostre con uersionnuristceste hu milit ezpo r	-|-----|---⌫------|-----|----|--⌫-----⌫-|--⌫|
ceuquenosprimie rs	--|--|--|------⌫-|
poien s enfant auoirde lan celedesliezest	-----⌫|-----|----|-||--⌫---|------|--|
alcomandement	-|----------|
nost resignorcilqui dauantestoitd etenuzouper	----⌫-|-----|--|--|-----|-----|-⌫-----|-|--|
nepooitfa irelo	-|----|--⌫--|-|
b ienouilneu oloitouplusfor zliiez	-⌫--|-|-|-|-⌫----|-|---|---⌫|----|
unet del altr eliienc	-|-|-||----⌫|----||
estquilneuoloitne	--|-|-|-|-----|-|
nese it encorp ureme nt auoir	-|--⌫-|----|-⌫-----⌫-|----|
ioieen nostre	---|-|-----|
sign orbiencudet	----⌫-|---|----|
queceu quilfait	--|--|-|-|---|
eten ceusesolace t qui ldeu	-|-|--|-|------⌫|-|-⌫|--|
son datourretraitanz	--|-----|---------|
souentque nostresiresatafaire	-----|--|-----|----|-|-----|
decezb este smais apresuarrita ce uperlo	-|--|-⌫----⌫|---|----|-----||--⌫|--|-|
lonc tensqui l	---|---|-|-⌫|
del sien datseritplus cuse nc enoset qu	--|---|--|----|---|----⌫--⌫---|-|-|
ildotteritq u il	-|-------|-⌫|-|
nongrezs a chanz	--|---|-⌫-⌫----|
ne soi tatrouezen contre	-|---⌫|------|--⌫-----|
tanzbene f icesdisan z	---|----⌫-⌫---|-----⌫|
a no str e signorqu ilseria nzsoit	|--⌫---⌫|-----|-|-|-----⌫-|---|
niantpro fetauleset	----|---⌫-------|-|
nulde sesbiens	--|-|--|----|
nen at besog ne cesteafeccions esturaie	--|-|-----⌫-|----|--------|--|----|
etf oyau leetcistes tlifilzdela	-|-⌫----⌫-|-|---|--⌫|-|---|-|-|
francheauoccuil i	------|---|--|-⌫|
filzdelancelene puet	---|-||-----|-|---|
mie es treherit iersensi estil	--|--⌫--|-----⌫---|---|--|-|
laprocession	-|---------|
maisdauantsapassionot	---|-----|-|------|-|
c usenceonlitres debona ressiresdedoner	-⌫-------|-|---|------⌫--|----|-|----|
a ma ingierasespr iuez aminseten	|--⌫-----||--|--⌫---|----|-|-|
ceu mi smes a parutli benignetez et	--|--⌫---|-⌫----|-|---------|-|
lihumani te zde	-|------⌫--⌫|-|
nos tre sal ue orqui	---⌫--|---⌫--⌫-|--|
enlafin amatceosqu	-|-|--|---|---|-|
amez et donslord is oit	---|-|---|--|-⌫--⌫--|
perdes ieraidesireita m aingierceste	--|---⌫--|-|-------||-⌫------|----|
p askee n sembleuosdauant mapassionet	-⌫---|-⌫-⌫-----|--|-----|-|------|-|
certesceu lo r	-----|--|--⌫|
auoitmoltgrant	----|---|----|
mestiermestiers lorestoitquillarefe cci on	------|-------|--|-----|-|-|-|----⌫---⌫-|
presisent da uantca r	--------|--⌫---|--⌫|
lieneminsauoitrequisqu illes	-|------|----|-----|-|-|--|
pe ustchue rsi	--⌫--|----⌫|-|
cum l ofroment	--|-⌫|------|
il repaut furent deffallirentil un	-|-----|-----|-----------|-|-|
etqua ussenti l donsfai t	-|-|-⌫-----|-⌫|---|---⌫|
fu sentporc eunerepa util	--⌫---|--|-⌫-|-|----⌫-|-|
mies soulement	---|--------|
lorcor s maisnes	--|---⌫|---|--|
lorc uers c ar espiritelstemptacions	--|-⌫---|-⌫-|---------|----------|
lesd euoitassallir	--|-⌫----|-------|
et nemiescorporels passions totensicum	-|-|---|--------|-------|--|---|--|
sacrefices potai die rtotperlui ensi fut	---------|--|--⌫---⌫|--|--|--|---|--|
ilsofesa nztot p er	-|------⌫-|--|-⌫-|
lu inenotmie smestier nostre sires	--⌫|-||-|---⌫|------|-----|----|
qu esain z	--⌫|----⌫|
p ieresetsainz	-⌫----|-|----|
iohans etsa inziaiquesmoris sentporlasalueteit	-----|-|--⌫--|------|-----⌫---|--|-|--------|
de lag ent	-|-|-⌫--|
ensembleluifurent	-------|--|-----|
toteuoies dui home	--------|--|---|
crucifiétmaisceu	---------|---|--|
f u r en tdu i	-⌫-⌫-⌫--⌫|--⌫|
lairon dontom	-----|---|-|
nepuist auoirnulesuspic ion	-|----|----|---|------⌫--|
lisacrificesquimoens aust	-|---------|--|----|---|
deforcefustperaampliz	-|----|---|---------|
doset de quel spainsrepau t	|-|-|-|----⌫|----|-----⌫|
il enlacenele sapos tles	-|-|-|---|--⌫|----⌫---|
de cinc painslesrepautsicummisemb letm es	-|---|----|--|-----|-|--|-|----⌫--|-⌫-|
maingiers est	--------|--|
distil queiu faicelauolunteitde	---|-|--|-|----|-|--------|-|
m onp erecertesmaingi ers	-⌫-|-⌫--|-----|------⌫--|
estuoirement	--|--------|
cistmaism aingiers	---|---|-⌫-------|
decuerqueischose	-|---|----|----|
confermet etenforc et s i	--------|-|------⌫-|-⌫|
locue rdel	-|---⌫|-||
ommeet queis chose	---|-|----|----|
confortetsien totes besog nesetsustien t	--------|-|-|----|-----⌫--|-|-------⌫|
cu mli aamplemenzdel a	--⌫|-|---------|-|-⌫|
uolun teitdedeuaualeie en	-----⌫---|-|--|------|-|
la cons cienc eq uie s t ausicumliuentr esde l	-|----⌫-----⌫|-⌫-|-⌫-⌫|---|--|-|-----⌫-|-||
ainrmepain su nt	-----|---|--⌫-|
assietpai n	---|-|---⌫|
quilo cu er sos tienentli parolle	--|-|--⌫-|---⌫------|-|------|
dedeuetli so laz	-|--|-|-|--⌫--|
de s es prome sseset leslarme s de ceos	-|-⌫-|-----⌫---|-|--|-----⌫|-|---|
quiourent mais decespains	--|-----|---|-|--|----|
nemain i at	-|----⌫-⌫-|
neseit quelsa u o u rilaien tcilc ui	-|---|---|--⌫-⌫-⌫-⌫|-|----⌫|--|-⌫-|
desech iezp er ceuquilsonpainat	------⌫--|-⌫-|--|-|-|--|---|-|
obli eitamaingier	----⌫--||-------|
sortotes chos ese st uraiementmaingie rs	--|----|----⌫-|-⌫-|--------|-------⌫-|
lich a rsnostresi g nore t	-|--⌫-⌫-|-----|--⌫-⌫--|-⌫|
maingiers deuiepa i nsuisquidessendit d e	--------|-|--|--⌫-⌫-|--|--|--------|-⌫|
cielnunsde	---|---|-|
c es pains	-⌫-|----|
nedeffallit enlasolem na lcenen ostr e	-|--------|-|-|-----⌫--⌫|---|-⌫----⌫|
sig nor ettoz les i	---⌫--|-|--|--||
situdiliantrement iprens warde	-|-|------------||----|----|
ensi cumli discip le seoientancor	---|--|-|------⌫-|------|----|
al maingiersi seleu at etsi se	-|-------|-|-|---⌫-|-|-|-|
porcinstnostr es iresd	-------|-----⌫|-⌫---||
unblanc drap	-|----|---|
et si mist	-|-|---|
del auueen	-||---|-|
un b acinet	-|-⌫---|-|
silauat lespiezde	-|----|--|---|-|
sesdecipl eset s es	--|------⌫-|-||-|
forbitc estenenest mieliuolentez	-----|-⌫---|--|--|--|-|-------|
charet de lsancanzest li	---|-|--⌫|---|--|--|-|
u ole n tezdelpe reetnostr esai ntifi emenz	-⌫---⌫-⌫--|--|--⌫-|-|-----⌫|---⌫-----⌫----|
siiunetel euedistil	-|-|-|-|-⌫--|---|-|
ap resa sa intpierequi	--⌫--||--⌫--|----|--|
sedeffendoit tu nenauerasmiepartie ensemble mi	-|---------|-|--|-----|--|-----|-------|-|
et nossau onsbienquic il	-|--|---⌫--|---|--|-⌫-|
es t quidistcelu iqui uient	--⌫|--|---|----⌫|--|----|
gitterai iu	-------|-|
mie sfuers c ariusui sdessenduzdeciel	---⌫|----|-⌫-|-|---⌫|--------|-|---|
miesporceuquei ufaicema	---|--|--|--|-⌫|----|-|
u o lun teitmaislauolunteitde	-⌫-⌫---⌫---|---|-|--------|-|
qui tramismatcer te s mol t couenaulement	--|-----||-|---⌫--⌫|---⌫|------------|
etseloncceu quil	-|-----|--|-|-|
acostumemista presl essa mpledel	|------|---|-⌫---||----⌫---|-||
ueu re lasemontedela	---⌫-|-|------|-|-|
parolleli sermonsfut moltgranzq u	------|-|------|--|---|----|-⌫|
illor fist	-|--|---|
etdedenzsaparolle lesuolt recreer etsol acier	-|-----|-|------|--|---|------|-|---⌫----|
d emaintes	-⌫|------|
promessesdesa	--------|-|-|
res urreccion etdelauenementd elsaint espi rit	---⌫--------|-|-||--------|-⌫-|----|----⌫--|
delo r confermementet	-|--⌫|-----------|-|
qu ilquan quessoitl es	-|-|----⌫---|---|-⌫-|
ensembl eluiet de tot ce ules solacieuet	-------⌫|--|-|-|--|--⌫|--|---------|
ilornommeimentp or	-|-|---------|-⌫-|
sa passionquep rochieneestoitne	-|------|--|-⌫-------|-----|-|
n ed emoratmie	-⌫|-⌫-----|--|
m oltapres quilsetorna t	-⌫--|----|-|-|-|-----⌫|
ao risonetpe rt ro i s	|-⌫----|-|--⌫|-⌫--⌫-⌫|
fieiesorat	-----|---|
mo ltestroite m ente n siq u il assi cum d etots oncors	--⌫-|--------⌫-⌫--|-⌫-⌫---⌫|-|---|--|-⌫|--|-⌫-|---|
etn emies desesoylz solement porceu	-|-⌫|---|-|--|---|-------|--|--|
quetozsesco r s	--|--|--|--⌫-⌫|
est saintee gli se	--|-----|-⌫---⌫-|
fustespurgiez per	---|--------|--|
leslar mes detotlo	--|---⌫--|-|--|-|
corsdel sacrement de son	---|--|--------|-|--|
co rse tde	--⌫-|-⌫|-|
sonsanc cestd esi	--|---||--|-⌫|-|
grant etdesi singulersosteneme ntseuentbien	----|-|-|-|-------|---------⌫-|-----|---|
ace lior futprimierementmi sauantet	|--⌫|--|--|-----------|--⌫|----|-|
coma nde z a frequenter	----⌫---⌫||---------|
apresceuuintli	----|--|---|-|
iorsdelap ass i onouil	---|-|-|-⌫---⌫-⌫-|-|-|
detotluifistsa crefice	-|--|--|---|--⌫------|
d esalueteit	-⌫|--------|
sicumil auoitfait	-|--|-|----|---|
salf totlommequant	---|--||---|----|
iltotson cor sabandonat atanztormenz	-|--|--|---⌫|--------||---|------|
et a tantesl aid uresetso n	-||-----|-⌫---⌫---|-|--⌫|
cueraune douleaf fecciondune	---||--|----|--⌫------||--|
tresh umaineconpassion dune	---|-⌫-----|---------||--|
partso r les saintesfem mes	---|--⌫|--|------|---⌫--|
quelpl or eue nt	--||--⌫--⌫---⌫-|
etdoloseuen tdal trep ar tsor ses	-|---------⌫||--⌫--|-⌫--⌫|--|--|
desciplesqui	--------|--|
estoient ausicumtuit d es pereite ncesquatre	-------|---|--|---|-⌫--⌫-----|-⌫|--|-----|
choses f ut	-----|-⌫-|
licroiznostresignoret totes ceschoses	-|----|-----|-----|-|----|--|-----|
so ff ritil	--⌫--⌫--|-|
pornos qui	--|--|--|
persi gr an tch ariteitotmarcit et pitiet	--|-|--⌫--⌫|--⌫------|-|-----|-|-----|
totesuoies fi nor entcel e sc h osesq uede	---------|--⌫|--⌫--|---⌫-⌫|-⌫-⌫---|-⌫-|-|
luies t oientsi cum il	--|--⌫-⌫----|-|--|-|
mismesdi stas femmes	-----|--⌫-|-|-----|
queldo loseuent et fintresisneleet	--||--⌫-------|-|--|---|-----|-|
tresc elebr auleprim iers	---|-⌫-----⌫---|----⌫---|
elreposdelsepulc reetapr esenla	-|----|--|------⌫-|-|---⌫-|-|-|
resurre cc ion nosm ismess ino s no s haston s	-------⌫--⌫--|--|-⌫----|-⌫|--⌫|--⌫|------⌫|
dentreren cel	|-----|-|--|
repossouignetnos queper	----|-------|--|--|--|
main testrib ulaci onsnosi couig net	----⌫--|----⌫-----⌫--|--||-----⌫--|
entrermaispr imiersn ossemblet	-----|---|--⌫-----|-⌫-|------|
estregra ntchose	----|---⌫-|----|
l a tribu lationsum mes de	-⌫|-----⌫-----|---⌫--|-|
tendre alrepos assicum	-----|-|----|---|--|
nosplus nedussiens maisnule	--|---|-|-------|---|---|
c h ose desi rercertes	-⌫-⌫--|----⌫--|-----|
neselrepos mismes	--|-|----|-----|
re pos de ldesier de	--⌫--|--⌫|-----|-|
laglorreet	-|-----|-|
d elar esurre ccionde so rmaisdisti ai	-⌫|-|-⌫------⌫----|--⌫--⌫----|---|-⌫-|
li espiriz qu i lsoienten rep osdelor	-|------|-|-⌫|-----|-|---⌫-|-|--|
donquesdeltrau alse reposent cil	------|--|----⌫-|-|-------|--|
quimuerentenno stre	--|------|-|--⌫---|
signo r mais ne s ereposenta ncor miesdehuchier	-----⌫|---|-|-⌫|-------|-⌫---|---|-|------|
desoz lo trone	----|-|----|
d eu cedi stsainziohanshuch entles ainr mesde	-⌫-|-|--⌫-|----|-----|----⌫--|--|----⌫--|-|
ceos quiocis	---|--|---|
suntc aran cornen a ientilnule	---|-⌫-|--⌫--|--|-⌫---|-|---|
chose quegreuancelorfacet	----|--|-------|--|----|
t oteuoie s nenauerunt il mies p lenierement	-⌫-------⌫|--|------|-|---|-⌫----------|
lor deleit deci	--|-----|-|-|
at antkeli resu rreccions serituenue	--⌫----|-|----⌫--------|----|----|
apresloreposetlipaiske	----|-|----|-|-|-----|
apresl o sabbat	----|-⌫|-----|
uelliezc hierfreire	------|-⌫---|-----|
decuerp orceuqu el i sacrement	-|---|-⌫-|--|--⌫|-⌫|--------|
cesttensnetr espass entenuo ssenfrut	---|---|-|--⌫------⌫--|-|--⌫|--|---|
moltli be neiceons	---|-|--⌫-------|
nos tresignor	---⌫--|-----|
donezliuasse l snazet asi	----|-|-----⌫-⌫|--|-||-|
gra nzdo nes de gracesapa rilliezcue rs	---⌫-|--⌫--|-|-----|---⌫------|---⌫-|
deuozetsens	----|-|---|
enuell iez affeccionssobres et	------⌫--|---------|-----|-|
pure scon sciences	----⌫|---⌫-------|
cert esde ceste	----⌫-|-|----|
cusen ceon nosse mo ntn emiessolementli es piritel sconuersa ci o ns	-----⌫---|--|--⌫--⌫-|-⌫|---|-------|-|--⌫-------⌫|--------⌫--⌫-⌫-|
dontuosau oiz f aitpr o fessionmais	---|--|--⌫--|-⌫--|--⌫-⌫------|---|
totelige ne ra ls	---|-|--⌫--⌫--⌫-|
etatempreit	-|--------|
plushumbleetplusmeursun t tuitcristii e nen	---|-----|-|---|---|---⌫|---|-------⌫-⌫|-|
cestesainte	----|-----|
semai nequen n ulaltre tens	-----⌫-|-|-|-⌫-|----|---|
pormostrerassicum enu ne	--|------|---|--|-|-⌫-|
maniere chierede compassionala passiondecrist qui	------|-----|-|---------||-|------|-|----|--|
nunssi sensre ligion quine	---|-|---|--⌫-----|--|-|
soitcompunzsi o rguillos	---|------|-|-⌫-------|
qui nesume licet	--|-||---⌫----|
sicorreceosquine	-|--------|--|-|
facetpa rdon si	----|--⌫---|-|
