carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
etuzses ydelesqueilso eltado rer	|--|--|-----|--|-|--⌫--|---⌫--|
sirece uratsaintec h rest i entet	-|----⌫---|-----|-⌫-⌫----⌫-⌫----|
ach arlemagne se	|--⌫--------|-|
u uldrat a corde r	-⌫-----|-⌫-----⌫|
ecil estlo inz	|--|--|--⌫--|
s iadmu lt demurét	-⌫|-|--⌫-|-------|
mandetsag ent de yy regnez	-----|-|-⌫--|-|-|-----|
sesgranzdrodmunzenadfa it aprest er	--|----|-------|-|-|--⌫-|------⌫-|
eschiezeb a rgesegalies	------||-⌫-⌫---||-----|
suzalixandreadun	--|--------|-|-|
p ortiustemer	-⌫--|----|--|
tut sunnauilie	--|--|------|
iad fait aprester	|-|---|-------|
coestenmaialpr emer iurd	-|--|-|--|-|--⌫---|--||
tutessesoz adempeint e se nm er	----|--|-|-|-------⌫-⌫|-⌫|-⌫-|
granzsuntles oz decelegentaue r se	----|---|--|-|-|---|---|---⌫-⌫-|
s iglent a forte nagent	-⌫-----||---||-----|
eguuernen t	|--------⌫|
en s umcezmazeenceza ltes	-|-⌫-|--|--||-|--|-⌫---|
aseziad c ar buncleselanternes	---||-|-⌫--⌫------||--------|
la susamuntpargetentte l	-|--|----|--------|--⌫|
p arlanoit	-⌫-|-|---|
l a mer enestplusbele	-⌫|--|-|--|---|---|
e cumi lu ienen t	|--|-⌫|-⌫-----⌫|
enespaigne	-|-------|
tut lipa isenreluist	--|-|--⌫-|-|------|
eescl ai ret	|----⌫--⌫--|
iesqu am arsiliee nparuuntlesno ueles	----||-⌫------|-⌫|------|--|--⌫----|
gentpa ie norneuoelent	---|--⌫--⌫--|-|------|
c es serunkes	-⌫--⌫--|----|
issentde me r uenent asewesdulces	-----|-|--⌫|-----|-|---|-----|
laisentmarbro se e sil ai sentmarbrise	------|------⌫-||-|-⌫--⌫---|-------|
parseb ream unt tutlu rnauir ies	--|---⌫-|--⌫--|--|--⌫|-----⌫--|
asez iad la nternesecar buncles	---||-|--⌫------||---⌫------|
tu te la noitmultgr antclartet	--⌫-|-|---|---|--⌫--|------|
lur dunent	--|-----|
uenent asar raguc e	-----||---⌫-----⌫|
clerse stliiu rz e l i	----|-⌫-|-|--⌫-||-⌫|
so leilzl uisant	--⌫----|-⌫-----|
lia miralzestissut delcalan	-|-⌫-----|--|----|--|----|
e spaneliz for s	-⌫-------|---⌫|
leuaita destrant	-|---|-⌫-------|
yy reis apres l e	-|---|----|-⌫|
uuntsiwant	---|-----|
c unt esedux i ad	-⌫---⌫-||--||-|
bennes ai quanz	--|-|-⌫-|----|
suz un lorerki est e nmi un cam p	--|-|----|-|--|-⌫--|-|---⌫|
sur le rbe	--||-⌫--|
uert ege tent un p ali ebl anc	----⌫|--⌫---|-|-⌫---⌫|--⌫--|
un faldestoed i unt misdolifan	-|---------||--|--||-----|
des ursasietlipai enb aligant	---⌫-||----|-|---⌫-|-⌫------|
tu itlialtre	--⌫-|-|----|
su n treme s e n estant	--⌫-⌫|----⌫|-⌫|-----|
d els p re mer	|--|-⌫--⌫--|
parlat aua nt	-----|---⌫-|
oiezorefran ccheualerua il lant	---|--|----⌫|-------|--⌫--⌫---|
carleslire i s lemper ere desfrancs	-----|-|--⌫-⌫||-----⌫--|--|-----|
nedeitmang er seio neli	-|---|----⌫-|-|-|-|-|
pa rtu t eespaig nematfaitguere mult g rant	--⌫|--⌫-⌫|------⌫-||-|---|----|---|-⌫---|
enfrance dul celi uoeil	-|-----|---⌫-|-|----|
a ler quera nt	-⌫--|-----⌫-|
nefinerai entrestutmun uiuant	-|------|-|------|--|-----|
seitmortu tutuifre creant	---|---||--|--|--⌫-----|
sursung enoillen fie rts undestreguant	--|--|-⌫-----|-|---⌫-|-⌫-|-----|----|
puisqui l lad dit	-----|-⌫||-|--|
mults enestafiche ́t	---||-|--|------⌫-|
lairatpurtutlor de suz	-----|--|--||-|--⌫--|
ai socarlessoeltpl aider	--⌫||-----|----|--⌫----|
sihumeli lo entsi liuntcunseillét	-|---|-|--⌫--|-|-|--|----------|
p uisapelatdousde ses cheua lers	-⌫--|-----|---|-|--|-----⌫---|
l u nclar if ane lal t reclarien	|-⌫|----⌫--⌫-|||--⌫-⌫-|------|
uosestesfilzal re i mal traien	--|----|---|-|--⌫|---⌫-----|
kime ssages	-|--⌫-----|
soleitfaire	-----|----|
i ouos cumant que n	-⌫|--|-----|-|-⌫|
s arraguce alg ez	-⌫-------|---⌫-|
marsiliunde	--------|-|
mei epartli nunciez	---⌫|---|-|------|
cun trefranc eisl isui	---⌫--|-----⌫--|-⌫|--|
uenutai der	----|--⌫--|
t ruisomult	-⌫---||---|
g rant batailleiert	-⌫---|-------||--|
dune zcest guant	----⌫|---|----|
ador pleiét	-|-|------|
eldest repoign silifaites	-|----⌫-|----|-|-|-----|
siliportezc estdor mer	-|-|-----|-⌫--||-|--|
meiue ngetpur reconoistre sun f eu	--|--⌫---|--|----------|--|-⌫-|
en fr anc eirai purc arles guerreier	-|--⌫---⌫|---|--|-⌫----|--------|
sen mam ercitnese	|-|-|-⌫----|-|-|
culztamespie z	----||--|---⌫|
enegue rpis set	|-|---⌫----⌫--|
lale idechrestiens	-|--⌫|-|---------|
iolitoldrail acorrun edelchef	-|-|------|-⌫|------⌫|--|---|
paienrespundentsir emultdites bi en	----|---------|---⌫|---|----|--⌫-|
dist baligan tcarcheualchezbarun	---|-------⌫|--|---------|----|
lunportlegu a ntli	|-|---|-|--⌫-⌫-|-|
altrel ebastun	----|-⌫|-----|
ecilrespundent	|--|---------|
c hers ire sif erum	-⌫--|-⌫--|-|-⌫---|
tantcheualcherent	---|------------|
quee nsarragucesunt	--|-⌫|--------|---|
pass en tyypo rt e st rauersentyypunz	----⌫--⌫|-|--⌫--⌫-⌫|-⌫--------|-|---|
t utesl esru esu	-⌫---|-⌫-|--⌫-||
l i burgeisestunt	-⌫|------|-----|
cum ilapro is mentenla citetamu nt	--|-|----⌫--⌫---|-|-|----|---⌫-|
uersle pale isoir ent	---|-|----⌫-|---⌫--|
grantfremur	----|-----|
addecelegent paienur	-|-|---|---|------|
p lurentecrientdemeinent grant do lor	-⌫-----||-----|--------|----|--⌫--|
pleignentlur deu s teruagane	--------|--|---⌫|-------||
eap ollindunt il m ien enunt	|--⌫----|---|-|-⌫-||-|--|
distcascunsal a ltrecaitifsque	---|------|||-⌫---|------|--|
deuen d rum	-----⌫-⌫--|
surn us es t u enuemaleconfusiun	--|-⌫-|--⌫|-⌫---|---|--------|
perdutauumle reimarsiliun	-----|---|-|--|--------|
li qu ensro lla ntlitrenchat	-|--⌫--|--⌫---⌫-|-|-------|
ierledestrepo ign	--|-|-----|--⌫--|
nus nauum miede	--||---|--|-|
iurfaleu leblunt	-------|-|----|
tre stutee spaigne ier t	---⌫----|-⌫------|---⌫|
lu rbandun	--⌫|-----|
liduimessaged escenden talperrun	-|--|------|-⌫--------⌫|-|-----|
lu rcheuals laisentdedesuz un ol iue	--⌫|------|------|------|-|--⌫--|
du i sar raz i n parles resneslespris trent	--⌫|---⌫---⌫-⌫|--|--|-----|--|----⌫----|
elime ssag e par	|-|--⌫----⌫|--|
le smantelssetindre nt	--⌫|------|-|------⌫-|
puissuntmuntez susel	---|---|-----|--|-|
paleisal tisme	-----|--⌫----|
c umi lentrentenl acam bre	-⌫-|-⌫|------|-|-⌫|---⌫--|
parbe lamu rmaluais saluzl ifirent	--|--⌫|---⌫|------|----|-⌫|-----|
cil mah um etkinusad enbaill ie	--|---⌫--⌫-|-|--|-|-|-----⌫-|
eter uag aneapoll innostre si re	|---⌫---⌫-||-----⌫-|-----|--⌫-|
saluentlerei eguardentlarein e	------|-|--||-------|-|----⌫|
dist bramimu nde o roi mul tgrantfolie	---|-------⌫--|-⌫|-|---⌫|----|----|
cistnostredeus unten recr e antise	---|-----|--|-⌫--|-|----⌫-⌫-----|
enr en cesual u ertuzfirent	-|-⌫--⌫-----|-⌫----|-----|
nozc heua lersiunt lessétocire	--|-⌫----⌫---||--|------|----|
cestmienseignur	---|---|------|
en bataille fai llirent	-|-------|---⌫------|
l e destre	-⌫|-----|
poig n a dperdutnenadmie	----⌫|-⌫|-----||-|-|--|
trenchatliq uens rollantl irich es	-------|-|-⌫---|------|-⌫|----⌫-|
trest uteespai gne auratcarl esenb aillie	-----⌫--|-----⌫--|----|----⌫-|-|-⌫-----|
quedeuendraid ulurusecaitiue	--|--------|-⌫------|------|
e la ssequ en en	|--⌫--|--⌫||-|
ai unhumeki m	-|-|---|-||
distclariendameneparlez m ie	---|------|---|-|-----|-⌫-|
messages sumes	-------|----|
mars ili un co ditserat guarant	----⌫---⌫-|-|--|----|------|
silenenueie tsun bastunesun guant	-||-|------⌫|--|-----||--|----|
au umyymilie calant	--⌫-|-|----|-----|
esc h iez eb argesegaleescurant	---⌫-⌫--||-⌫----||-----|-----|
drodmunz iad n e uos sa idireq uanz	-------||-|-⌫|--|--⌫|---|-⌫---|
lia mi ralzestri chesepuisant	-|-⌫--⌫---|--|--⌫---||------|
enfrancei ratc a rlemagne q uera nt	-|-----|-⌫--|-⌫-⌫-------|-⌫----⌫-|
rend r elequidetu mor to	----⌫-⌫|-|-----||---⌫||
d istbram imundemar	-⌫--|----⌫-----|--|
e niratitant	-⌫|---|----|
pluspresd icipurreztruuer	---|---||--|-----|-----|
le sfran cs	--⌫|----⌫-|
encesteteread es t é d iayy	-|----|---|-|--⌫-⌫--⌫|-|-|
liemperereest	-|-------|--|
berecumba tant	--||-----⌫---|
meilzuoelm urir quei a	----|---|-⌫---|--|-⌫|
fuietdecamp	----|-|---|
suz ci e lnadrei quil p rist	--|--⌫-⌫||-|--|-|-|-⌫---|
a un enfant	|-|-----|
ca rlesnecrein tnuls homkiseituiuan t	--⌫---|-|-----⌫|---|--|-|---|-----⌫|
laissez co es ter dis tmarsilieslireis	------|-|--⌫--|---⌫|--------|-|---|
messagesseignu rs	-------|------⌫-|
parlezamei	-----||--|
iaue ez uosqueamort sui	-|--⌫-|--|--||---|--|
iosinenai filznefi llene	-|-|--|-|---|-|--⌫--|-|
u nenaue ie	-⌫|-|---⌫-|
cilfut ocis herseir	--|--|---|--|---|
munseig nur ditesquilmeu iengeueeir	--|----⌫--|----|-|-|-|-⌫----|----|
liam ira illad	-|--⌫---⌫--|-|
enespaignedrei t	-|-------|----⌫|
quite li cleim s e	----|-|----|-⌫|
illauoelt aueir	-|-|----|----|
defend ete ncuntre lifranceis	------⌫-|-⌫------|-|-------|
uerscarle magneli durraibonconseill	---|-----⌫----|-|-----|--|-------|
c unqui sl auratdoicestiurenunme is	-⌫-----⌫||----||-|---|--|-|-|--⌫-|
des ar raguce le s clefs	-|-⌫--⌫-----|--⌫|----|
lipo rtereiz	-|--⌫------|
pu ili d ite s iln en	--⌫|-|-⌫---⌫|-||-|
cilrespundentsir euus	--|---------|---⌫|--|
dites ueir	----|---|
codist mar sili e ca rleslemperer e	-|---|---⌫----⌫|--⌫---||-------⌫|
m ortmadmes hommesmatere	-⌫--||-|--|-----|-|---|
degua stee	-----⌫---|
citezfrai tes euiolees	----|----⌫--||------|
il iuta nuitsur	-|--|-⌫---|--|
celewede sebre	--|--|-|----|
cunté niad	-----|||-|
maisqueyyliwes	---|--|-|----|
l amirail dites quesun hostiamein	|------|----|--|--|---||----|
par uoslimandbatailleiseit	--|--|-|---|-------||---|
desarr aguce	-|----⌫----|
lescle fsl iad liur ees	--|---⌫-|-⌫|-|----⌫--|
limessagerambeduilenclinerent	-|-------|------||----------|
prene ntacelmot s en turn eren t	-----⌫-||--|--||-|----⌫----⌫|
liduimessage escheualssu ntmuntét	-|--|------|-|------|--⌫-|------|
isnelementi ssent dela citet	---------|-⌫----|-|-|----|
al amiraillen	||-------|-|
u un tesfr eedem ent	-⌫--⌫|----⌫-----⌫--|
presententl escl es	---------|-⌫-|--⌫-|
distbal i gantqueauez u ostruuét	---|---⌫-⌫---|--|---|-⌫-|------|
uestmarsiliequo	|--|-------|--|
ioaueiemandét	-|----|------|
distcla rieni lest a m ortnasfrét	---|---⌫---|-⌫|--||-⌫--|-------|
liemperere	-|-------|
asporzpasser	-|---|-----|
sisenuuoltendulcefranc e	-||-|----|-|----|-----⌫|
par g r ant	--|-⌫-⌫--|
honurse f ist rereguarde r	----|-|-⌫--|----------⌫|
ro llant ifu t reme ssi s	--⌫----||--⌫|----⌫|--⌫|
tuitli yype r	---|-|-|--⌫|
d e celsde france	-⌫|---|-|-----|
yym ilieadubez	-|-⌫---|-----|
li reismarsiliesicumb atitlibers	-|---|-------|||----⌫---|-|---|
il erollantelcampfurent remes	-||------|-|---|-----|----|
dedurendal	-|-------|
u n c olptel	-⌫|-⌫--|--|
ledestrepoign li	-|-----|----|-|
ad del c orsseure ́t	-|--|-⌫--|-----⌫-|
admort quiltantsuleitam er	-|---|-|-|---|-----|--⌫-|
el ibar on	|-⌫|---⌫-|
quiliouta menét	-|-||--|-⌫-----|
en uintqui lni	-|---|-|-⌫|||
poutme sester	---|--⌫|----|
lie mperere l adenchacétas ez	-|-⌫------||-|--------|--⌫-|
li reisuos mande tqueu os le	-|---|--|-----⌫|--|-⌫-|-|
quite uuscl ei me tdespaigne	----|--|--⌫--⌫--⌫||-------|
eba lig ant cumen c et	|--⌫---⌫--|-----⌫-⌫-|
si gra nt d oelad	-|---⌫-|-⌫--|-|
por poiqui l nest desuét	--|--|-|-⌫||--|------|
sireamir alzdistclarie ns	---|----⌫--|---|------⌫-|
enrence sua lsun ebataille	-|-----⌫---⌫-|--⌫|-------|
morzest roll ant eliquensol iuer	---|--|----⌫--||-|----|--⌫---|
perqueca rlesau e it tant	--|--|--⌫---|--⌫-⌫-|---|
delurfra nceisiadm ort yymi llers	-|--|---⌫----||-|-⌫--|-|--⌫----|
lireismarsi l iele	-|---|-----⌫-⌫-|-|
destr ep oigni perdit	-----⌫|-⌫---||-----|
el emperere	||-------|
asezladench alcét	---||-|----⌫-----|
encesteter ene strem e scheualer	-|----|---⌫||-⌫-|---⌫-⌫|-------|
neseit ocis	-|---|---|
oensebreneiét	|-|----|-----|
d esu rl ariuesunt frances	-⌫---⌫|-⌫|---|---|------|
he rber giez	--⌫----⌫---|
encestpais n u ssunt tantaproeciez	-|---|---|-⌫-⌫|---|---|--------|
se uosuolezlirepaire s ertgrefs	-|--|----|-|-------⌫|--|----|
ebaliga nt	|------⌫-|
l e regu a rte n a df ie rs	-⌫|----⌫-⌫-|-⌫|-⌫|-⌫--⌫-|
ensun curageenest	-|--|-----|-|--|
iouselie t	---||---⌫|
delf a ldestodse redrecet e n piez	--|-⌫-⌫------|-|-------|-⌫|---|
puis escrietbarunsne	---|------|-----|-|
u os tar gez	-⌫-|---⌫--|
eissezde snefsmu ntezsi cheual ci ez	-----|--⌫|---|--⌫---|-|------⌫--⌫-|
ne s enfuit k ar lemag neli	-||-|---|-⌫--⌫-----⌫-|-|
li re is m arsilieenqui	-|--⌫-|-⌫------|----|
s eratuengét	-⌫---|------|
pursu npoig n de strelenliueraile	--|--⌫|----⌫|--⌫---||-|------|-|
a rabedesnefsse	-⌫---|--|---|-|
suntei ssut	---|--⌫---|
muntezesche ualse es muls	-----|-|---⌫---||-|---|
sic heua lcherentq uefere ientilplus	-|-⌫----⌫-------|-⌫-|----⌫---|-|---|
liamiralzkitrest uz le sesm u t	-|------|-|-----⌫-|--⌫|---⌫-⌫|
s i nape letgemalf inunsundrut	-⌫||---⌫--|------⌫-|-|--|---|
iotecumantde tutes	-|-|-----|-|----|
sundestrerbrun e st munté	--|------|---|-⌫-|-----|
ensembl od	------|-|
luiemme in etyydux	--|----⌫--⌫-|-|--|
t antcheualchat qu	-⌫--|---------|-|
ensaraguc e fut	-|-------⌫|--|
aunperrondemarbre est descenduz	|-|-----|-|-----|--|--------|
equatrecuntes l estreuliun tt enut	|-----|-----||-----|-|--⌫|-⌫---|
par lesdegrezelpaleism untet sus	--|--|-----|-|-----|-⌫----|--|
e bramidonieuient curantcu ntre	|---------|----|-----|--⌫---|
additdolentesi mare f ui	-|--|------|-|---|-⌫-|
aitel huntesire mon seignoraiperd ut	|---|----|---|--|------|-|----⌫-|
chet liaspiezli	---|-|-|---|-|
amiralzla recut	------|-|----|
s usenlacha mbr eaddoelensuntuenu t	-⌫-|-|-|---⌫---⌫|-|---|-|---|----⌫|
lireis mars i liecumilu eit	-|---|----⌫-⌫--|--|-|-⌫--|
dun capelatduisar razin espans	---⌫|-----|--|---⌫----|-----|
p e rnezmasbrazsime	-⌫-⌫---||-|---|-|-|
dre cezenseant	---⌫--|-|----|
al puignsenes tread pris u nde	-|----|-----⌫--|-|---|-⌫|-|
c odis tma rsil i e sirereis amiralz	-⌫|---⌫|--⌫----⌫-⌫|---|---|------|
t eres tutesici	-⌫---|----|--|
rengnes uosrend emas	------|--|----⌫---|
esarraguce e l	|--------|||
onurquiapent	---|-||----|
meiaiperdut etute magent	--|-|-----||---|-|---|
ecil respunttantsyio plus dolent	|--|------|---|-|-|---|-----|
nepo isa uos	-|--⌫-||--|
tenirlung parle ment	----|---|-----⌫---|
iosai a sez qu e	-|--|-⌫--|--⌫|
c arlesne matent	-⌫----|-||----|
ene purquant deuosreceif	|--⌫-------|-|--|-----|
al d oelquil	-|-⌫--|-|-|
adse nes tt urnét plurant	-||-⌫|--⌫|-⌫-----|------|
parles degrezius	--|--|-----|--|
delp ale isdesc ent	--|-⌫---⌫-|----⌫--|
muntetel ce ual uientas a gent p uignan t	-----|-|--⌫--|----||-⌫|---|-⌫------⌫|
tantcheualchatq u	---|---------|-⌫|
il e stpremersd euant	-|-⌫-|------|-⌫----|
deu nsadaltresseuai tescr iant	-|-⌫-|-|-----|-|---⌫|----⌫---|
uenezpaienca rias en fui ent	----|----|--⌫|-||-|---⌫--|
almatinquantprimes pertli albe	-|----|----|-----|---|-|---|
esu eillezestliempererecarles	---⌫-----|--|-|-------|-----|
se i ngabrielki	--⌫-⌫|------|-|
depa rt deu leguar de	-|--⌫-|--|-|----⌫-|
leuetsama i nsurlui	----|-|--⌫-⌫|--|--|
faitsunsignacle	---|--|-------|
lir eisdescents iadrenduts es armes	-|-⌫--|------|-⌫|-|-----|-⌫-|----|
si sedesarm entpartute	-|-|------⌫--|--|---|
l o s t lialtre	|-⌫-⌫|-|----|
puis suntmunt étpar	---|---|----⌫--|--|
gran tuertutche ua lchent	----⌫|-----|---⌫--⌫-----|
cezueiezlung ese cez chemins	--|----|----⌫-||--|------|
mu ltlar g es	--⌫-|---⌫-⌫-|
siu unt ueeirl emeruei llusdamage	-|-⌫--|----|-⌫|------⌫---|-----|
en rencesualslao futlabataill e	-|---------|-||--|-|-------⌫|
enrenc esualsenestcar les ue nuz	-|----⌫-----|-|--|---⌫--|--⌫--|
de s morzquil troeu etcumen cetaplurer	--⌫|---|-|-|-----⌫-|-----⌫--||-----|
di stafrance isse gnurs	--⌫-||------⌫-|--⌫----|
lepas tenez	-|--|----|
meismeestoeta uant	-----|-----|-⌫---|
p urmunque uuldrei e	-⌫-|--|--|-------⌫|
ae isestei e aunefestea noel	|-⌫-|-----⌫||--|----|-⌫---|
sisemi uaillantcheualer	-|-|-|-------|-------|
degra nzbatai lles de f oz	-|---⌫-|-----⌫---|-|-⌫-|
e s tu rspleners	-⌫-⌫--⌫-|------|
duner aisuno irollant	|--|-⌫----|-⌫|------|
iane ne murr eit	-|-|-|----⌫--|
en estrangeregnet	-|-------|-----|
netrespassa stses humeesespers	-|---------⌫-|--|---||--|---|
ue rslur pai s aureitsunchef tu rnét	--⌫-|--|---⌫|-----|--|---|--⌫----|
cunq u errantments ifinereit li	----⌫-⌫---------|-⌫|-------|-|
plusquennepoetunbast unce lieter	---|-|-|-|---|-|----⌫----⌫|----|
deuant les alt res es te nun puimuntét	-----|--|---⌫--|--⌫|-⌫|-|--|------|
quant lempereresu aitq uerre	----||--------|-⌫--|-⌫----|
sun ne uo l d	--|--⌫--⌫-⌫|
herbeselpr etruuatles	-----|-|--⌫|-----|--|
k i suntuerm eilzdel sancdeno zba rons	-⌫|---|----⌫---|--|---|-|--⌫|--⌫---|
pitetenadnepoet muern e np lurt	----|-|-|-|---|---||-⌫|-⌫---|
desuzdousar br e sparuenuz est lireis	----|---|--⌫--⌫-⌫|-------|--|-|---|
lescolpsroll antconutentreispe rru ns	--|----|----⌫--|----|-|----|--⌫---⌫-|
surlerbeuerteueitgesir	--||---|----|---|----|
sunneuu ld	--|----⌫-|
nen est merueill esekarle sad	--|--|--------⌫|-|-----⌫|-|
desce nta pied ale ́di	-----⌫-||---|---⌫-||
est pleins	--|-----|
entresesmains ansdouslepries t suus	----|--|----|------|-|-----⌫|---|
surl u ise pasmettantparest anguissus	--|-⌫-⌫|-|-----|---|--|--|--------|
liempereresdepasmeisun sreuint	-|--------|-|---------⌫|-----|
