Quenul senblant	--|--|-------|
Ieuo isuenir cescheua liers	-|--⌫-|----|--|-----⌫----|
Et leroietses soudoiers	-|-|--|-|--|--------|
uie nent contre nos	---⌫---|-----|--|
Deule ri c h eglorios	--|-|--⌫-⌫-⌫|------|
Seieuosmant aucunechose	-|-|--|---|-----|----|
Hastiuementou agran tp os e	----------|-||----⌫|-⌫--⌫|
Dam efait es mesu o lente z	---⌫|----⌫-|--|-⌫-⌫-----⌫|
Tristr an orm escoutez	------⌫-|-||-------|
Parcelefo ique ieuosdoi	--|---|--⌫|--|-|--|--|
S ec el anel	-⌫|-⌫-|---|
deuostre doi	-|-----|--|
Nemenuo iezsi queieluoie	-||----⌫--|-|--|--|---|
Rie nqui ldei ̈stgenec roir o ie	---⌫|-|-⌫|---⌫--|-|-|-⌫----⌫-⌫-|
Maisd es que re uerrai l anel	---|-⌫-|--|--⌫-----||---|
Ne tor nemurne fortchastel	-|--|-|--|-|---|------|
Nemet endraneface errant	-|-|-⌫----|-|---|-----|
Lemand ementde monam a nt	-|----⌫----|-|--|--⌫-⌫-|
Soloncm enoret	-----||---|-|
loiau t é	-----⌫-⌫-|
E tie sac e	-⌫|-|---⌫|
soituostreg r é	---|-----|-⌫-⌫-|
Damef a itil	---|-⌫-⌫-|-|
Dexgre ́te	--|---⌫|-|
latrait desbraz lenbrace	|-----|--|---||------|
Yseu t parla	----⌫|----|
quinertp asf ole	--||--|-⌫-|-⌫--|
Amis ente nta	---|----⌫-||
donc bien a	---|---||
Tumeconduizsime ue uzrendre	-|-|------|-|-|--⌫-|-----|
Auroiparl ec o nsel	-|--|--|-⌫|-⌫-⌫---|
OgrinL er mitequiaitb onef i n	----||--⌫---|--|--|-⌫--|-⌫-⌫|
Deu uospri beausdouz amis	--|--|--|----|---|---|
Quenepartezdece st païs	--|-|-----|-|--⌫-|----|
Tantqossaciezco nment	---|--|-----|--⌫----|
Ser auersmo iirie zouuoi rs	---⌫|---|--⌫|----⌫|-|---⌫-|
Gelpriéqui suitachiere drue	--|----|--|--|-|-----|---|
Qantlir oism	---|-|-⌫--||
aura re tenue	---|--⌫----|
forestier Tallesl anuit	--------||----|-⌫|---|
laherbergie r	-|---------⌫|
Pormoiseiorner	--|--|-------|
N osi geümesmaintenuit	-⌫-||------|-----|---|
l it qu e nosfist	-⌫-|--⌫|--|---|
q uinos quierent moleste	-⌫-|--|-------|------|
M altroueron t enla	-⌫-|--------⌫|-|-|
Licorsgiro ntel boissoui n	-|---|----⌫-|-|---|----⌫|
Beauchie r samis etgen	---|----⌫-⌫|---|-||-|
Enfero u r e quilestranglote	----|-⌫-⌫-⌫|--|--|--------|
Gesdotquar	--|--|---|
i lsontm otfelo n	-⌫|---|-⌫-|----⌫|
Elbuencel iersoz	-|---|---⌫--|--|
S erasentrezlimiens amis	-⌫---|-----|-|----|---|
Manderaitoipar	-------|--|--|
Lesnoue lesd elaroicort	--|----⌫--|-⌫|-|--|---|
Li miensamis	-|----|---|
Ne t ennuit pasla	-||-----|--|-|
herb ergie r	----⌫-----⌫|
Sou e ntuerrezmonm esagier	---⌫-⌫-|-----|--|-⌫------|
Mander aitoidecimon estre	------⌫-|--|-|-|--|----|
Parmonu asl etet	--|--|-⌫---⌫-|-|
a tonmestre	|--|-----|
Nonferailm a	--|---|-|-⌫|
chier e amie	-----⌫|---|
Quiuos reproue ra folie	--|--|-------⌫-|----|
Gartsoidemoicond	---|--|-|--|--||
Yseut gran tmer ci	----|----⌫|---⌫-|
Orsuiie mo tboneüree Ag rantfin m	-|--|-|--⌫|--------||-⌫---|--||
au ezas enee	--⌫-|--⌫---|
Tantsontale ́etciluenu	---|---|---⌫|-|--|---|
entredïentlor	----------|--|
Liroisue noit motfiere ment	-|---|--⌫---|--|-----⌫---|
Letraitd un arc	-|----||-|--|
g entO lui	-⌫--||--|
Dinasquide	----|--|-|
Par la reigne	--|-|-----|
Laroï nequi	-|----⌫-|--|
c ond ui oi t	-⌫---⌫--⌫--⌫|
Lasalua sicom il doit	-|----|-|--|-|---|
Roisge tere nt	---|-|-|--⌫-|
Yseutlagente	----|-|----|
Honne fi stmais	--|-|--⌫-|---|
Ciuoileshom esdetaterre	-|--|--|---⌫-|-|-|----|
Et oi ant e us	-|--⌫--|-⌫-|
teuuelre querre	-|---|--⌫-----|
sueffresaesligier	-------||-------|
Eten ta cortmoideraisnier C	-|-|-|---|--|---------||
onque soliénoidrüe rie	-----⌫||---||-|-----⌫--|
iordema uie	--|-|-|--|
Acro i re talen faitmençong e	----⌫-⌫-||||-|---|--------⌫|
Dexioieetbien	--|---|-|---|
Onqu esnefirent iugement	----⌫-|-|-----|-------|
C onbatre apié o uau tr ement	-⌫------||---|-⌫|--⌫--⌫----|
Dede nztaco rtsi remensoffre	----⌫-|-|--⌫-|--⌫-||-|-----|
Se sui dan nez sim a rtensoffre	-|--|---⌫--|-||-⌫-|-|-----|
Et se ie menp us fai re	-|-|-||-|-⌫-|---⌫-|
Qu ilniaitcheu elu ne	-|-|||--|----⌫--|-|
SimeretienouocquestoiO	-|-|-----|-------|--||
L irois a sonneuo parol e	-⌫|---||--|---|-----⌫|
Andrezquifunezde	-----|--|-|--|-|
Rois quarle retiens	---|---|-|------|
P lusens erasd oute z etcri ens	-⌫--|-|-⌫---|-⌫----⌫|-|---⌫--|
Lecuerf ormentl	-|---|-⌫-----||
e na souploieAun epartli rois	-⌫|-⌫-------||--⌫|---|-|---|
L a roi ̈ne ouo c	-⌫|---⌫--|---⌫|
Qui mot parert uoirsetloiaus	--|--|--|--|----|-|-----|
anorfaireconmunax Olar oï n e geueetgabe	---|----|-------||-|-⌫---⌫-⌫|---|-|---|
Ducol liaosté lachape	-|--|-||----|-|----|
Quie rtd escarlatemotriche	--|-⌫-||--------|--|----|
E leout uestu	-⌫-|--|----|
unetunique	--|------|
Desus ungrantbliaut d e s o ie	----|-|----|-----|-⌫|-⌫-⌫-|
Desonm antel	-|--|-⌫----|
queuosdiroie	--|--|-----|
Ainz lerm it equi	---||---⌫--⌫|--|
Leriche fuerne regreta	-|----|---|-|------|
Richeer tla robe etgentlecor s	----|--⌫|-|---|-|---|-|---⌫|
Les eulzout uersl esch eueuss ors	--|---|--|---|-⌫-|--⌫----|-⌫--|
Liseneschaus o	-|---------||
liésenuoise	---||------|
Astrois bar on sforment enpoise	-|----|---⌫--⌫|------|-|----|
Malaie ntiltr opso nteng r és	--|---⌫-|-|--⌫-|--⌫-|---⌫-⌫--|
I aset rairon t	-⌫|-|-⌫------⌫|
duro ipluspre s	-|--⌫|---|---⌫|
S irefont il	-⌫--|---|-|
anosenten t	|--|-----⌫|
Consel te doronbonement	-----|-|----|-------|
Laroïne a esté bl asmee	-|-----||----|--⌫----|
Etfoïhorsde	-|---|---|-|
ta contree	-|------|
Sea t acort resontensenble	-||-⌫|---|-----|-------|
Iadiralensiconnos senble	-|---||-|-|--|--|-----|
Queen co nsent	--|-|--⌫----|
lorf el oni e	--|-⌫--⌫---⌫|
qui cen e die	--|-|-⌫|--|
cortpartir	---|-----|
Et quant uendraiusquaunan	-|----|-----|----||-|-|
sera s aseür ez	----⌫|------⌫-|
tie ngeloiautez	---⌫--|-------|
Tristranquil uie ngeato i	-------|-|-|---⌫--||--⌫|
Ce teloon spar bonefoi	-|-|----⌫|--|---|--|
Li rois respont	-|---|------|
Quequenus die	--|--|--|--|
Deuos conselznis trai iemie	-|--|------||--⌫---|-|--|
Ar iereenuiene ntlibaron	--⌫---|-|-----⌫-|-|----|
Porler oiconte ntsa raison	--|-|-⌫-|-----⌫-|-|-----|
Tristr an oitnia	------⌫-|--||||
Queliroisueut	--|-|---|---|
quilse n esloigne	-|-||-⌫|-------|
De laroïnecongiépre ntLunl autre	-|-|-----|------|---⌫-||-||----|
esgard ebonemen t	------⌫|-------⌫|
Laroïne fu colo ree	-|-----|-|----⌫--|
uergoigne auoitporl as enblee	--------|----|--||--⌫-----|
enp a rtcemestauis	-|-⌫-⌫-|-||--|---|
Dextantcuerfis tle ior	--|---|---|---⌫|-|--|
Li roisdemandeoutornera	-|---|------|-|------|
iluo udra totli	-|--⌫---|--|-|
Mo tparli aabandonmis	--⌫|--|-|||-----|--|
Oretargent etuaire t	-|-|-----|-|---|-⌫|
Tristran dist	-------|---|
Cornoual le	--------⌫-|
Ienenprend r aimiemaalle	-||-|-----⌫-⌫-|--|-----|
A qantquepuis uoisa	|---|--|---|---||
grantioi e	----|---⌫|
Auroirichequelengerroie	-|--|----|--||-|------|
Tri stranrich econuoi	---⌫----|----⌫|-----|
D es bar o ns etde	-⌫-|---⌫-⌫-|-|-|
ue rs lamer uet	--⌫-|-|--|--|
Tristransauoie	-------|-|---|
lec on uoie	-|-⌫--⌫---|
Tantconde lu io tla ueüe	---|--|-|--⌫|-⌫|-|----|
Del aplacenese	-|-⌫|----|-|-|
Tristran s enue t retornésont	-------||-|--⌫|-------|---|
Cil quipo seconuoiélont	--|--|--⌫-|-------||--|
Dinas en corle conuoiou t	----|--⌫--|-|--------⌫|
So ue nt lebessee tliproiot	--⌫--⌫-|-|----|-⌫|-|-----|
Seüremen treu ie nge al ui	---------⌫|---⌫--⌫--||-⌫-|
Ent rafiéseson t il dui	---⌫-----|-|---⌫|-|--|
Dinasen tent	----|--⌫---|
unpoi am oi	-|--||-⌫-|
Decime npa rt	-|-||-⌫|--⌫-|
Se ie temant	-|-|-|---|
A ucun echose	-⌫----⌫|----|
b esoignal	-⌫-------|
Au anc elasi contudoiz	--⌫---⌫|-|-|--|-|---|
Baisiés e sontplus deset	------|-⌫|---|---|-|--|
pri eianeldo t	---⌫|-|--|--⌫|
buenilfera	---|-|---|
Di tmota bele deseu ree	--⌫|--||---|-----⌫--|
Mais s ors afoiaseür ee	---|-⌫-|-⌫|--|------⌫-|
Laret endraensenbleo soi	-|---⌫----|-------||--|
Nonferoi tcertesporle	--|-----⌫|-----|--|-|
Tristrandel uisen torne	-------|-|-⌫-||-|----|
Audepartir a n d ui sont morne	-|-------|-⌫-⌫-⌫-|---|----|
Dinassenuien taprés lero i	----||-|----⌫|-----|-|--⌫|
Quilatendoit a u nchaumoi	--||-------||-⌫|------|
O r echeuauche ntlibaron	-⌫-⌫|---------⌫-|-|----|
cité tot abandon	----|--||-----|
gentist de lauile	---|--|-|-|---|
quat remile	----⌫-|---|
Q u omesque	-⌫|---|--|
fem esquee nfanz	---⌫-|--|-⌫----|
Yse utque por	---⌫-|--|--|
Tris tranz	----⌫----|
M eruelloseioi emenoient	-⌫--------|---⌫|-------|
Lisaintparla ci té sonoient	-|----|--|-|--⌫--|-------|
Qantil oien t	---|-|----⌫|
Tristransen uetNiaunsolg rant	-------||-|--||||-|--|-⌫---|
du elnefetD	--⌫-|-|--||
Iseutgrant ioie demenoien t	----|----|---|---------⌫|
Deluiseruirmot	-|--|-----|--|
se pe noie nt	-|--⌫----⌫-|
Quar ces aciezain zni	---|-|-⌫----|---⌫|||
N e f ust depa ileport endue	-⌫|-⌫--|-|--⌫--|----⌫----|
mis tcortine	---⌫|------|
oua loitlaroi ̈ne	-|-⌫---|-|---⌫--|
Est la rue	--|-|--|
mot bien io nchie	--|---|--⌫----|
Totc ontremontparlachaucie	--|-⌫--------|--|-|------|
S i uontaumost ier	-⌫|---|-|----⌫--|
ettu it li	-|--⌫-|-|
Ensonttrestuitense nble	-|---|-------|----⌫---|
E uesque clercmoinee t ab é	-⌫-----|----|----|-⌫|--⌫-|
Encont reliésont tuit issuD au bes	------⌫-|---|---|---|---||--⌫--|
dechapesreue stu	-|-----|----⌫--|
Et la ro ïneest decendu e	-|-|--⌫---|--|-------⌫|
Dunepo rpre inde f u	|--|--⌫---|---|-⌫|
uestueLeuesquela	-----||------|||
parla mainprise	--|-|---|----|
Siladedenzlemost iermise	-|||-----|-|----⌫--|---|
Totdroitla	--|----|-|
m einental a uter	-⌫-----|||-⌫---|
Dina s lip reuzqui m otfube r	----⌫|-|-⌫---|--|-⌫-|-|--⌫|
Liapor taungarnement	-|----⌫-|-|--------|
Qui bienualo itcentmars	--|---|----⌫-|---|---|
Unri chepailefai t	-|--⌫--|----|---⌫|
d orfro is	|-----⌫-|
Onquesn out teln eqensn er ois	-----||--|--|-⌫|---|-⌫|-⌫--|
Etla roïne	-|-|-----|
Yseutlap ris	----|||-⌫--|
Et parbuen cuerso r	-|--|---|---|--⌫|
la ut elmis	|-⌫--⌫-|--|
Un echa s u blëenfuf aite	--⌫|---⌫-⌫-⌫---|-|-|-⌫---|
treso rniertho rs	-----⌫||---|--⌫-|
Seasgransfest e s anués	-|-|----|----⌫-⌫|-----|
Encoree st ele a	-----|-⌫-|--||
Cedïent cil	-|-----|--|
Atante stdumos tierissue	----|-⌫-|-|---⌫---|----|
lipr i nc e etlicon tor	-|--⌫-⌫--⌫|-|-|---⌫--|
Lenmeinen telpala is h auc ̧or	|-|------⌫|-|----⌫-|-⌫---⌫--|
Grant ioieio nt leiormenee	----|---||-⌫-|-|--|----|
O n qu esporteni fu ueee	-⌫-⌫--⌫-|----|||-|---|
Q uiuoute ntrer sipoutmengier	-⌫-|---|-⌫----|-|---|------|
nulni fist	--|||---|
on dangier	-|------|
Motlontleiortuithono ree	--||--|-|--|---|----⌫--|
Ainzle iorque fu esp osee	---|-|--|--|-|---⌫---|
Neli f ist homsigranthonor	-|-|-⌫--|--|-|----|----|
Conlonliafait	--||-|-||---|
Leiorfranchili roiscent sers	-|--|------|-|---|---|---|
Etdonn aa rmes ethaubers	-|----⌫|-⌫---|-|------|
danzeausq uila do uba	-------|-⌫|-|-⌫--⌫--|
Tristranf era	-------|-⌫--|
Tristransenpa rtfait	-------||-|--⌫-|---|
Letlecheminprent	--|-|-----|----|
Tan ta erréuoieet	---⌫||----|---|-|
Qualaherber ge auf ores tier	-||-|------⌫-|-|-⌫----⌫---|
Enest uenu celeement	-|--|---|--------|
Par l entree	--||-----|
priu ee ment	----⌫--⌫---|
Orriel bel celie r	---|-|--|-----⌫|
Totlitrouequantqot	--|-|----|----||-|
Orri s estoitmeruellesfrans	----⌫|-----|--------|----|
Senglerslehesprenet o	-------|----|-----||
Enseshaie sgrans	-|--|----⌫|----|
cer s et biches	---⌫|-|-----|
Dainset che ureus	----|-|---⌫----|
Ilnertpa schiches	-||--|--⌫|------|
Mo tendonetasesserianz	--⌫|-|----||--|------|
T ristra nert la seior nanz	-⌫------⌫|--|-|-----⌫---|
Priueementensouterrin	---------|-|--------|
Pe rinisli francmeschin	--⌫----|-|----|------|
Tris trann oues des amie	----⌫---|-⌫---|-||---|
O iezdes trois qu e	-⌫--|--|----|--⌫|
Tristran an es talez	-------|-|--⌫|---|
fumotliroismalez	-|--|-|---|----|
pasu n m ois	--|-⌫|-⌫--|
Etauoc luili t raïto r	-|---|--|-|-⌫------⌫|
Ores cout ezquefontcel io r	-|--⌫----⌫-|--|---|--|--⌫|
En unelandea une part	-|--|----||--|---|
Ourent arsl iuilainessart	-----|--|-⌫|-----|-----|
Li rois sestutel	-|---||----|-|
bruelle i ̈z	-------⌫-⌫-|
Desesbu e nschiensoï lescris	-|--|--⌫-⌫-|-----|--|--|---|
t roib aron	-⌫--|-⌫---|
Quiler oimistrentaraison	--|-|-⌫-|-------||-----|
Roisorentent nostrep a rol e	---|-|-----|-----|-⌫-⌫---⌫|
Se la roïne	-|-|-----|
aestéfole	|----|---|
Elnenfi st onques	-||-|--⌫-|-----|
escondi tS auilanieuosestdit	-------⌫|||------|--|--|--|
Et libaron de ton pai ̈sT en	-|-|----|-|--|---⌫-||-|
ontp ar m ainte foizre quis	--|-⌫-|-⌫----|---|--⌫---|
Qu iluuelent biensene sco ndie	-|-|------|---||-|-⌫---⌫---|
Tristr annots a dru ̈erie	------⌫-||-|-⌫|---⌫----|
Escondire sedoitc onment	--------|-|---||-|---|
en faitfaireiugement	-|---|----|-------|
Etene uoiesl en r equi er	-|---⌫----||-|-⌫----⌫-|
Priue ement atoncouchie rSelene	-----⌫----||--|-------⌫||--|-|
senueut escondire	|-|---|--------|
ena ler de	-|-⌫--|-|
Li roisrogiquiescouta	-|---|---|--|------|
Deu seignors	--|-------|
Cornotmota	-----|--||
Nefi nastesdeliéreter	-|--⌫-----|-|---|----|
Detelchose l oi	-|--|----||-|
Qui bienpeüstremaindrea t ant	--|---|-----|--------||-⌫--|
Ditesseuos ale zquer ant	----|-|--|---⌫|----⌫--|
Quelaroïne aute n	--|-|-----|--|-⌫|
Cha scun deuos	---⌫---|-|--|
quelidemande	--|-|------|
Tristranli	-------|-|
a defen dre	|-----⌫--|
Ainznenosastes	---||-|------|
armes pr e ndre	----|--⌫-⌫---|
Pa ruo sestil	--⌫|--⌫|--|-|
h orsdupaïs	-⌫--|-|----|
Or ma u ez uo s	-||-⌫-⌫-|--⌫|
dutot so rp ris	-|--|--⌫--⌫--|
Lu i ai chacié orchazmafeme	--⌫|-|------|-|---|-|---|
Cent dehez ait parmie ́lacane	---|----|--|--|---⌫|-|---|
Q uime r oua	-⌫-|-|-⌫--|
del ui partir	-|-⌫-|-----|
Estienelemar tir	------|-|---⌫--|
uos me sorquerezceme poise	--|-|--------|-|-|----|
Quelm eruel le	---|-⌫-----⌫-|
quelens i toi se Silsemesfist il	--||-|-⌫|---⌫-||-|-|------|-|
est en fortNau ezcu redemondeportO	--|-|---||--⌫-|--⌫-|-|--|-----||
puis p lusauoirp es	---|-⌫--|----|-⌫-|
Pa r saint	--⌫|----|
T re smo rde	-⌫--⌫---⌫|-|
G euos feraiungeu parti	-⌫|--|----|-|--|----|
Ainzneuer roizpassé	---|-|---⌫---|-----|
Huiest lundisil euerre z	--|--|----|-|-⌫|-----⌫|
Li roisles asiesfr e ez	-|---|--||-|----⌫-⌫-|
niael forsprengentfuie	|||-|---|-------|---|
Dex uos des truie	--|--|---⌫----|
alezquerantmahonte	---|------|-|----|
Pornoientcert e sneuos monte	--|-----|----⌫-⌫|-|--|----|
G e ferailebaronuen ir	-⌫|----|-|----|---⌫-|
Que uos auïez fait fui ̈r	--|--|-----|---|---⌫-|
Qantiluoi entlero imarri	---|-|---⌫--|-|--⌫|----|
Enla lan desozun	-|-|---⌫-|--|-|
Son tdecendutui t troia	---⌫|------|---⌫|---||
Li roislessentelcha np irié	-|---|------|-|---⌫-|----|
Entreeus dïen t	----|--|-----⌫|
Q u eporronfaire	-⌫-⌫|-----|----|
Marc esttrop	---|--|---|
Bi entost m andera sonneueu	--⌫-|---|-⌫-----|--|----|
ite n dra nef eineueu S il çare uie nt	|--⌫-⌫--|-|-⌫-|-|--||-|--|--⌫---⌫-|
de nos est	-|--|--|
Iaen f orestneench em i n	-|-|-⌫----|-|-|--⌫--⌫-⌫|
Net rou er anuld e	-|-⌫---⌫--⌫|--|-⌫|
Le sancnen traie du	-|---||-|----|-|
Dison leroior aura	----|-|--|-|---|
pes N en parleron	--||-|-------|
a luiia més	|--|--⌫---|
Enm ié l essart li rois	---⌫--||-----|-|---|
La sontuenutost les	-|---|---|---|--|
Delor parolenamescure	-|--|-----|||--|---|
L a l oi q uil tie nt	-⌫|-⌫-|-⌫|-|---⌫-|
Deue n iure	--|-⌫|---|
Totsouauet entre s es d enz	--|------|----|-⌫-|-⌫--|
M ar fuiostezcistpar lemenz	-⌫-|-|-----|---|---⌫-----|
Sileüstorlaf orceos oi	|-|----|-|-|-⌫---||-⌫-|
Lafus entprisc e	-|---⌫--|---|-⌫|
dittui ttro i	--|---⌫|---⌫|
Si refontilent en deznos	--⌫-|---|-|---⌫--⌫--|--|
Marrizesteset coro ços	-----|----|-|----⌫---|
Porceq ue nos	--|-|-⌫-|--|
disont anorLendeur oit	----||---||-|----⌫--|
par d roi tso nseignor	--|-⌫---⌫|--⌫|------|
Consel l ier tunossez mal	------⌫-⌫--|-|--|--|--|
Malaitq uant qua soz	--|--|-⌫---|-||--|
sonb au dré	--|-⌫--⌫---|
Iamaro toi s	-|--||--||
Cil q uitehet	--|-⌫-|-|--|
Cil sen ira	--||-|--|
M aisno squ i	-⌫--|--⌫|--⌫|
s omestife el	-⌫---|-|--⌫-|
Tedonions loia lcons el	-|------|----⌫|----⌫-|
Quant ne no s cro izfaitt on pla i s i r	----|-|--⌫|---⌫-|---|-⌫-|---⌫-⌫-⌫-⌫|
A sseznos en orras	-⌫---|--|-|----|
Icestmalta lentnos pardonne	----|--|--⌫---|--|-------|
Liroisescoute motnesone	-|---|------|--|-|---|
Sorsonarçons e st acoutez	--|--|-----||-⌫-|------|
Ne sest u ers	-||--|-⌫--|
eusnoienttorne z	--|-----|-----⌫|
Seignorsmot	-------|--|
a e ncorpeti t	|-⌫---|----⌫|
Que u osoïste slesc ondit	--|-⌫-|------⌫||---⌫----|
Que m esniésfistdem a mollier	--|-⌫-|----|---|-|-⌫|------|
Neuosiste sescubal lie r	-|-------⌫|---|---⌫---⌫|
Que rantaleza t er re pié	---⌫---|---||-⌫--⌫-|---|
Lamesle ed e sor	-|-----⌫|-⌫-⌫|-|
Orger pis ie ztote	-|---⌫---⌫--⌫|---|
A ndréqu elenuetquerre	-⌫----|--⌫||-|--|-----|
Outrela meriusqu een	----|-|--|-----⌫|-|
Mismenauezelcuerlaboce	--||-|---|-|---|-|---|
enis tr a iusquaunanGenai por	-|--⌫--⌫|----||-|-||-|-|--|
uoschacié	--|------|
Deu antluiuienent	---⌫--|--|------|
Godoïn e ̈et	-------⌫-⌫|-|
Danaalainquefumo tfeus	--------|--|-|--⌫|---|
aresni ée ntreeus	------⌫-|-⌫---|--|
Mai s nipo rent	---⌫|||--⌫---|
plaiencontr er	---|-------⌫-|
uetsenli rois sanz	--||-|-|---|---|
Ci lsenpartent du	--⌫||-|------|-|
roipar ma l	--|--|--⌫|
F orzchasteaus ont bi en closde pal	-⌫--|--------|--|--⌫-|---|-|--|
Soiant sor roch esorhaut	-----|--|----⌫|--|---|
puiAlor seignorferonte nn ui	--||--|------|-----|-⌫--⌫-|
Sela chos e n estamendee	-|-|----⌫||--|------|
pasfaitlonge	--|---|----|
esteeNaten dichien neuene or	----||----⌫-|----|-|----⌫-|
Tint aioldeuantsator	----⌫---|-----|-|--|
Estdec endu d edenzsenent re	--|---⌫---|-⌫----||-|---⌫-|
