Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
E tilm eïsmesiertasforchespeudus.	-⌫|-|-⌫------|---|-|------|------|
Desram ésuaparmilestor poignant	------⌫--|-|--|-||----|-------|
Sorlabrehai gnequis o slui uabruiant.	--|-|------⌫--|--|-⌫-⌫|--|-|-------|
ac ierual es nosociant	--⌫--|-|-⌫-|--|-----|
Contresou cop	-----|--|--|
nanulear megarant.	||---|--⌫-|------|
Tantenocistcomlu iuientatalant.	---|-|----|--|--⌫|----||------|
ba tailleuaGuillaume que rant	--⌫-----|-|--------|---⌫---|
De s aparole	-|-⌫|-----|
l aloit m oltlaidengant	|----|-⌫--|---------|
A hiGuill aumesPorquoi	-⌫-|-----⌫----|--|---|
alésfuiant	----|-----|
Queia maisu isn en is trés	--|-|---|-⌫-||-|--⌫----|
d e l A rcha nt	-⌫||-⌫----⌫-|
Hui tefer ai ua incu etrecreant.	--|-|---⌫-|--⌫---|-|--------|
Perduauésui uiën le uailla nt	----|----|--⌫----|-|------⌫-|
Desoscelarbre gi stmortsor	----|--|----|--⌫-|---|--|
A lafontainedo nt l i doi t sontbruiant.	|-|-------|--⌫-|-⌫|---⌫|---|-------|
CuuerttraïtresIalamiés	-----|--------|-||-----|
uoustan t.	---|---⌫-|
ui en si le uengeatonacerinbrant	--⌫-|-|-|----||--|-----|----|
Ie saide uoirtuteuasrepon an t.	-|--|-|---|-|-|--|-----⌫--⌫-|
puis q uil ua coa rdant	---|-⌫|-|-|---⌫----|
Li quensl oï	-|----||--|
quiueu oitapoigna nt	--|---⌫--|-------⌫-|
Si apa r le ́hauteme ntenoiant	-||--⌫-⌫--⌫|-------⌫-|-|----|
uoirdistGu illaume smoltmaue ́sfaitdolant.	---|---|--⌫-------⌫|---||---⌫-|---|------|
Mort mas meshomesormen	---|--|--|----|-||-|
uasrampo nant	--|-----⌫---|
Marl epensasfelc uuer t mesereant .	--|-⌫|-----|--|-⌫----⌫|---------⌫|
IesuiGuillaumes marlequerrés auant.	-|--|---------|--|-|-------|-----|
Seuel sbatail leuesmoi aparissaut	-|---⌫|------⌫-|--|--|---------|
Segetefai l tien moipo r	-|-|-|---⌫|---|--|--⌫|
r ecreant.	-⌫-------|
Desraméslot di reuaenprend ant	--------||-||-⌫-|-|-------⌫--|
Le d estrier brochesi entoisele	-|-⌫------|-----|-|------|-|
Et fiertGuillaume p a rmi lelmel uisant.	-|----|--------|-⌫-⌫|-||---|-⌫------|
Pierresetflorsenuaius crauentant	------|-|----|-|-|--|---------|
Qu anq uilconsuist	--⌫---⌫|-|-------|
uacont re ualrasan t	-|----⌫-|--|-----⌫|
Maisens elchief neltouchat antne	---|--|-|----|--|-----|-⌫--|-|
Caril auoit I he su C hr ist	--|-|----|-⌫--⌫-|-⌫--⌫--|
Le speetorneelpoigau mescre ant	|-⌫---|----|-|---|-|------⌫--|
Tot sonesculiu a eschantelant	--|--|---|-|-⌫|-----------|
Ce fuuertu dedeul ero iam ant	-|-|----|-|--|-⌫|--⌫---⌫--|
Qu ilne touchaneluine	-|-|-|-----|-|--|-|
l auferrant.	|---------|
Guillau mes cist cop	-------⌫--|---|--|
nest pasdenfant.	|--|--||------|
Orsu iiefox se pluste uoissofrant.	-|--⌫|-|--|-|---|-|---|-------|
IltintIoieuseaupontd	-|---|------|-|---||
orfi amboi ant	-|--⌫-----⌫--|
Par mison el m e li	--|-|--|--⌫-⌫|-|
reuadonergrant	---|----|----|
Que flo rs et pierresenuaiusa batant.	--|---⌫-|-|------|-|-|--|-⌫------|
Tranchelacoifede lab r oi gne tenant	------|-|----|-|-|-⌫-⌫--⌫--|-----|
Gr antplainepaume de la testelifant	--⌫--|-----|----|-|-|----|-|---|
oreilleualap iec ependa nt.	------|-|-|-⌫---⌫|-----⌫--|
torne siuaescolor iant	----|-|-|-------⌫---|
Etnequeda ntsilefendi	-|-------⌫-|-|-|----|
delb ran t	--|-⌫---⌫|
Qu ill abatidelcheual	-|-||----|--|-----|
auferrant.	---------|
Pristlaun a seldeluertel me luisant	----||-|-⌫-⌫--|--|---|--⌫-|------|
Ialitranchastlateste maintenant	-|-|--------|-|----|---------|
M ais au re scorrepoi gne nt.xx . m.Pe rsant	-⌫--|-|--⌫-----|---⌫---⌫-|---⌫-⌫-|--⌫----|
E tdautrepartFr ancois licombatant	-⌫||----|---|--⌫-----|-|--------|
EtAim eris ettot	-|---⌫---|-|--|
si.ui. enf ant	-|---|---⌫--|
Etsi neueuetsiap artenant.	-|-|----|-|-|--⌫--------|
Aubran t dacie r uo nt lapresserompant	-|----⌫||----⌫|--⌫-|-|-----|------|
S a nc etce ruele uont	-⌫-⌫-|-|--⌫----|---|
aterre e spa ndant.	|----|-⌫---⌫-----|
Ma istant i otdela	--⌫-|---||-|-|-|
gentmesereant	---|--------|
Qu en el puetdir enu s iuglerequichan t	--⌫|-⌫-|---|---⌫|--⌫|------|--|----⌫|
Desra méfon tmonte ren la uferrant.	-----⌫--|---⌫|-----⌫|-||-⌫--------|
Lorsrecommeneentlechap le molt	---|-----------|-|----⌫-|---|
Corsetbo isin es	---|-|--⌫----⌫-|
uont telnoise	---|--|----|
Qu ela m arin eenua totecr ollant	--⌫|-|-⌫----⌫|-|-|---|--⌫-----|
E t nes etbarges	-⌫|--|-|-----|
et trestosli	-|------|-|
A rcha nt.	-⌫----⌫--|
M olt otbon	-⌫--|-|--|
neu atrebuchant.	-|-⌫|----------|
Mais Rainouarsneuap a scoardant	---|--------|-|-|-⌫-⌫|-------|
De lestorc rien tqueilne	-||----|-⌫----⌫|--|-|-|
uois t faillant	----⌫|-------|
Etquepai e nnesen tornent	-|--|---⌫-⌫|-||-|------|
Par la batail lees uos poignan t Borrel.	--|-|------⌫-|-|--|-------⌫|------|
Olu i esto ie utsi	|--⌫|----⌫--⌫-|-|
.xi iii.caiel	---⌫---|----|
Tuit cheualier sadoubédenou e l	---|---------⌫|------|-|---⌫-⌫|
Noirsco mmemoremer ueil losf u rentbel.	----|--⌫--|---|---⌫----⌫--|-⌫-⌫---|---|
Niaceluin e	|||----|-⌫|
por tastunf lai e l	---⌫---|-|-⌫---⌫-⌫|
Tuit s ontdeco iur e bi e nouréa	---|-⌫--|-|--⌫---⌫|--⌫-⌫|----||
Onquesniorentlancesn e panoncel.	-----|||----|-----|-⌫|--------|
Borrelslor perep ortoitu ngrantmar tel	------|--|---|-⌫-----|-⌫|----|---⌫--|
a cier bie nouréaneel.	-⌫---|---⌫|----||----|
Nauest ubroignene h aubertneelauel	||----⌫|------|-|-⌫-----|-|-----|
Dungrantlu it onot endos séla	|-|----|--⌫--⌫-|-|-----⌫--|-|
Et siauoitensonch ief	-|-|----|-|--|--⌫--|
u nch ap el	-⌫|--⌫--⌫-|
Quies toit fais decui r deluitonel	--|--⌫---|---|-|---⌫|-|-------|
Ne crient cop darme uaillisant uncaud el.	-|-----|--||---|---------|-|----⌫--|
Denostrege nt fesoit molt gr a ut	-|-----|--⌫-|-----|---|--⌫-⌫-|
Cont reson copneualtar meunmautel.	----⌫-|--|--|-|---|--⌫-|-|------|
Oci snosaGuion de	---⌫|--||----|-|
Mon tab el	---⌫---⌫-|
Renier dePercheetGir artdeBorde l.	-----|-|-----|-|---⌫--|-|-----⌫-|
P arA l esehansfaitde sane telr uissel	-⌫-|-⌫-⌫------|---|-|---|--|-⌫-----|
ne npensequi s auuaDaniël	|-⌫|----|--|-⌫---|------|
Encuipe rdraGuilla umessonreuel.	----|--⌫---|------⌫---|--|-----|
R aino uarsuientcorant	-⌫----⌫---|----|-----|
Tint sontinelquimal sambl oit	---|--|----|--|--|-----⌫--|
Tellido n a der ri erel haterel	--|-|--⌫-⌫|---⌫--⌫-|-|------|
Que de la teste liespant	--|-|-|----|-|-----|
lece r uel.	-|--⌫-⌫---|
T otli desrontetcosture et capel	-⌫-|-|------|-|------|-|----|
M o rtletr ebuehe	-⌫-⌫-|-|--⌫-----|
d elésun sapinel.	-⌫----|-|-------|
DistR ainouarsAlésauantBorr ell	---|-⌫-------|----|----|----⌫--|
uousmeueïstesia m olt petit	---|-|-------|-|-⌫--|----|
C onutuosai comlileus fa it lagnel.	-⌫---|--|-|--|-|---|--⌫-||-----|
De montinel uo saifait	-|--|----|--⌫|-|---|
se gardent uofil	-|------|-|--|
de moncembel	-|--|-----|
Demon tinellor moustrerail	-|--|----|--|---------||
Queiefi sfaireau	--|-|--⌫|----|-|
feure Lionel	----|-----|
Ieneldorroie porl	-|--|------|--||
ordeMirabel	-|-|------|
Ains e n aurai espandumaiut ceruel	---|-⌫|----|------|----|-----|
De celegent quin aimentIsrae l.	-|---|---|--||-----|-----⌫-|
A uoissescri e	|---||-----⌫|
S ifet cops ontmolt	-⌫|--|--|-⌫--|---|
E nAleseh ansfula	-⌫|------⌫--|-|-|
ba taillefiere.	--⌫-----|-----|
i fistRainouars	|---|--------|
maintebiere.	-----|-----|
Asontine lfistde Turs tel li t iere	|--|----⌫|---|-|---|--|--⌫-⌫---|
terr e cuer tlisansa riuiere.	----⌫|----⌫|-|---||-------|
Pai e n le fuientetdeua ntet deriere.	---⌫-⌫|-|-----|-|----⌫-|-|-------|
Maistantio tdelagen t au ersier e	---|---||-⌫|-|-|---⌫|--⌫------⌫|
Unetrait iemeinent	--|-----⌫-|------|
nos gensarriere.	--|---|-------|
Synagonsuientparmiun ebruiere	-------|----|--|-|--⌫|------|
E n sa compaigne gent	-⌫|-|--------|---|
demaintemaniere	-|-----|------|
Cilde Pale rne sont tuit desa baniere.	--|-|----⌫--|---|---|-|-|-------|
Bie nfuarmésde sor Passeleuriere	---⌫|-|-----|--⌫--|------------|
(P lustostlemportet respar	--⌫--|---||-|----|-⌫--|--|
milaionchiere	-|-|--------|
Fauconsnechac elaloe menuiere.)	------|-|----⌫||---|---------|
Couu ertdunp a ilecolet	----⌫--|--|-⌫-⌫--|--|-|
chiefetcroupiere.	----|-|---------|
Bertranferideua n t alencontriere	------|---|----⌫-⌫|||----------|
Par mi le scu m ist	--|-||-⌫--|-⌫--|
lalancepl eniere	-|----|--⌫-----|
Q ue.c.desmaillesdelhauberclidessie re.	-⌫-|--|--|------|--|------|-|------⌫--|
Ens elcosté lia fait	--|-|-----|-||---|
telsaigniere	--|--------|
Que nefusainedune semaine ent i er e.	--|-|-|----||--|------|---⌫-⌫--⌫-|
S alance brisequinefu pas	-⌫|----|----|--|-|-|--|
d osi ere.	|---⌫---|
OnquesBertrans n	-----|-------||
enguerpi lestriuiere	-|-----||---------|
lefiertdeuantenmi la	-|----|-----|-|-|-|
Du brantdaci erquif u	-|----||---⌫-|--|-⌫|
faitaBauiere.	---||-------|
De la uenta ille lirompilaioiere	-|-|-----⌫---|-|----|-|-----|
Totela fa ce l ifen di par d errie r e .	---|-|--⌫-|-⌫|---⌫-|--|-⌫-----⌫-⌫-⌫|
Si lorleu ̈st	-|--|---⌫--|
bat ailleieüstfier e.	---⌫----||----|----⌫-|
Maistropiottorbi llonet p oudriere	---|---||-|-----⌫---|-|-⌫-------|
Lunneuitlautretan t	|-|-|--||----|---⌫|
fugrantlafumiere.	-|----|-|-------|
Dis tRai nouarsSainteMar ie	---⌫|---⌫-----|-----|---⌫-|
Tenéslest orta n tqueassé s ifiere	-----||---⌫-|--⌫-⌫|--|-----⌫||----|
En Ale schans fulie storsmor tés .	-|---⌫-----|-|-|-⌫----|---⌫----⌫|
Paien saliënt	----||------|
siontlorcor ssoun és.	-|--|--|---⌫|----⌫---|
Ordelbie nfaire	-|--|---⌫|----|
s eign o rdistDesramés	-⌫----⌫-⌫|---|--------|
Carp arno f o rcefuïrlesen	--|-⌫-|-|-⌫-⌫--|----|--|-|
Ni aFrancois q uinesoit	-||-------|-⌫-|-|---|
mol tg reués	---⌫|-⌫-----|
Et de eo mbatr e trauaillés	-|-|--⌫-----⌫|----------|
etpene ́ s	-|----⌫-⌫|
E t denos gen ses tmoltgr a nt laplent és.	-⌫|-|--|---⌫|--⌫|---|--⌫-⌫-|-|-----⌫---|
Contre undeslorenaurons.xx.	-----|-|--|--|-|-----|---|
Sebienlefaites uesl es	-|---|-|-----|--|-⌫-|
de sbaretés.	--⌫---------|
Di stBaudus Sireorneuos	--⌫-|-----|---|-|-|--|
desr otés	----⌫----|
Car parMahonl echan sierta fine ́s .	--|--|----|-⌫|----⌫|---|-⌫----⌫--⌫|
M ol t memerueilouest liua sausal és	-⌫--⌫|-|------|-|--|-|--⌫---|--⌫--|
Qu itantahui	--⌫|---||--|
denos gen safolés.	-|--|---⌫|-------|
M a is p ar Mahon	-⌫-⌫-|-⌫-|----|
acuiie suiuoës	|--|-|--|----|
o cirais ilp ue tes tre troués	-⌫----||-|-⌫--⌫|--⌫--|------|
Guillaumelemarchisaucor t	--------|-|------|-|---⌫|
leui el chenuba rbé.	-|--⌫-|----|--⌫----|
I ade Fra nc oisneniertnusesehapés.	-⌫|-|---⌫--⌫--||-|---|--|---------|
Bi axniésBaudusdistlir ois Desramés	--⌫-|----|-----|---|-|-⌫--|--------|
Molte stes forsceestla uerités.	---|-⌫---|---|-|--|-|--------|
M aisciluassaus estsidesm esurés	-⌫--|--|------|--|-|----⌫------|
cr ie n thome qui soitdemerenes	--⌫--⌫-⌫|---|--|---|-|---|--|
Car .xu.rois	--|---|---|
nos amortet	--||---|-|
I ade celmail rienneli	-⌫|-|--|---|---|-|-|
C ar plus lo nse stce sachiéss estinés.	-⌫-|---|--⌫-|-⌫-|-|-------|-⌫-|------|
Maissauiësun grant	---||-----|-|----|
maild ecesnes	---|-⌫|--|--|
Et ame sure	-||--⌫---|
fustunpoi recope ́s	---|-|--|------⌫-|
Mie nes c ië nt ado nt l econqu erre ́s.	---⌫|--⌫-⌫---⌫-|---⌫-|-⌫|-----⌫----⌫--|
Etdist Ba u dusAlésselmapo rtés	-|---|--⌫-⌫--|----|--||---⌫----|
.l. Turs i	--|---||
tramis tDesramés.	------⌫|---------|
Unmoltgrant maldesap	-|---|----|--|-|--|
fuapor té s	-|----⌫---⌫|
DeuantBaudus fumiset traï né s	-----|-----|-|--|-|-----⌫---⌫|
De uers le grail efu	--⌫---|-|-----⌫|-|
unpoi rec opé s	-|--|---⌫----⌫|
E tautenan tbe lementre on dé s	-⌫|-|-----⌫|--⌫-----|--⌫--⌫---⌫|
P ormielsf eri r fuenuironcirés.	-⌫-|----|-⌫---⌫|-|------|------|
Tan tpar est	---⌫|--|--|
gr ansce sachiés	--⌫--|-|-------|
Q uepa r.iiii. homesne fustia	-⌫-|--⌫|-----|----|-|---|-|
remue ̈s .	-----⌫--⌫|
Etcillep rent qui	-|--|-|-⌫---|--|
Nel ipesaq uun arb riselramés	-|-⌫|---|-⌫|-|---⌫----|-----|
B ienlemanoie etfet ses uol e nt és.	-⌫--|-|-----|-|--|--|---⌫-⌫--⌫---|
Oëscomiertli paien s	---|--|---|-|-----⌫|
figur és.	-----⌫---|
.x u.piésotmoltfu	--⌫-|----|-|---|-|
gr anse tquarré s	--⌫--|-⌫|-------⌫|
Ainssiforshonsne	---|-|---|---|-|
Noireotl a	----|-|-⌫|
c harpl u s quarrementtriblés	-⌫--|--⌫-⌫|-|-------|-------|
Lescheu oxotgrosetrecerce le ́s	--|----⌫-|-|---|-|-------⌫--⌫-|
iausrogesconch arbonsalu més.	---|----|--|--⌫-----|---⌫----|
Sontinel lieueenh au t sestescri e ̈s.	--|----|----|-|-⌫--⌫||--|-----⌫-⌫--|
EtdistBaudusOr s ui	-|---|-----|-|-⌫-|
tosap restés.	--|--⌫-------|
Desraméssireale ́ssi	--------|---|---⌫-|-|
uosse és.	--|--⌫---|
Alestandartbi axoncles	||--------|--⌫-|-----|
matendé s	|-------⌫|
Deces de Franceuosime nraiassés.	-|--|-|-----|--||--⌫---|------|
L iroisrema int Bauduss enesttor nés	-⌫|---|----⌫--|-----||-|--|---⌫---|
lestorqu is tRainouartassés.	|----|--⌫--⌫|--------|------|
Qu ant nele tro ue molten estaïr és	--⌫--|-|-|---⌫-|---|-|--|----⌫--|
De n ostr e	-|-⌫----⌫|
gent at antmortettuës	---||-⌫--|---|-|----|
Q uedelo rsans en	-⌫-|-|--⌫|---|-|
es t oitgransligue ́s.	--⌫-⌫--|----|-|---⌫--|
Esuospaiens deltotaseu ̈r e ́s	-|--|-----|--|--|----⌫--⌫-⌫-|
Moltontlesnos laidiset	---|--|--|--|-----|-|
Rainouarsestde la presse seurés	--------|--|-|-|-----|------|
Deforslesautres	-|---|--|-----|
.ii. arpans	---|-----|
Sorsontinels estunpoiacostés	--|--|----||--|-|--|-------|
Unpetitetsest	-|------||--|
liber sreposés.	-|---⌫|--------|
DeuerslArehant	-----||------|
auoitses euls	----|--|---|
u oit u nconroiuenirde Tursarmés	-⌫--|-⌫|-----|----|-|---|-----|
pr imesest oitissus desnes.	--⌫---|---⌫--|----|--|---|
De s Sar rasinsfumolt grantla plantés	--⌫|---⌫-----|-|---|----|-|-------|
Rois Hau cebiers lesade uan tg uiës .	---|---⌫------|--||--⌫---⌫|-⌫-----⌫|
Agrant me rueylle e stoitses	|----|--⌫------|-⌫----|--|
cors arm és	---|---⌫--|
Ensondosot . ii.ue rs elm esgemés	-|--|--|-|-⌫--|--⌫-|---⌫-|-----|
.ii.fors e scus bendés	---|---|-⌫---|------|
Ainsplusfers hom	---|---|---|--|
nefudemeren es.	-|-|-|---|-⌫--|
Est rangement demenoitgran sf iertés	---⌫--------|-------|----⌫|-⌫------|
Molt est oit	---|---⌫--|
feletde granscrueltés.	--|-|-|----|---------|
Rainouartuo it c elepartestalés .	--------|--⌫-|-⌫--|---|--|-----⌫|
Dis t Rainou arsSarasindontuene ́s	---⌫|------⌫--|------|---|----⌫-|
Estésilu e c	-----|---⌫-⌫|
D ites queuos	-⌫---|--|--|
Gegartl Archantlid onsmen	-|---||------|-|-⌫--||-|
estd on és.	--|-⌫--⌫---|
S iuelsbata illeiama r a uantirés.	-⌫|---|----⌫---|-|--⌫|-⌫---|-----|
Encontretoi ensuit os areste ́s	-------|--|-|--|-⌫-|------⌫-|
ui en tecomba trea	--⌫-|-|-----⌫--||
Di s tHaucebie rs Tes	--⌫-⌫|--------⌫-|--|
folsestrumelés	---|----------|
I a hom apié u	-⌫|--||---||
ert par moiade se ́s.	--|--|--|---⌫--⌫--|
Tuid ras neual ent .ii.deniersmoneés	--|-⌫--|-|---⌫--|---|------|------|
Ribalssemblésquie nces feus	-----|-------|--|-⌫|--|---|
Tanti a s sisq ue tosieseufumés	---||-⌫-⌫--|-⌫-|--|--|-------|
Biensemble ss ot	---|------⌫|-⌫-|
situestoiesres.	-|-|------|---|
Di st Rainoua rsOr ne mer amponés	--⌫-|-------⌫-|-|-|-|-⌫-------|
Auos qu entientseai	|--|-|-|----|-|-|
drasdespennés	---|---------|
Etsimes charsestnoyre	-|-|--|----|--|----|
ethurupés	-|-------|
Licu ersnest mieend ras enuelopés	-|--⌫--||--|--|-|-⌫--|---------|
Nenuairn en	|-|---||-|
en ermingolé s	-|----|-----⌫|
A insest ouuentre	-⌫--|--|-|-----|
dedensbi enrep osés.	-----|--⌫-|---⌫-----|
Folses tpordrasquitienthome enu iltés.	---|--⌫|--|---|--|----|---|-|-⌫------|
prodom qui	-----|--|
chietenpou re tés	----|-|---⌫--⌫---|
Riche smauué sne	-----⌫|------⌫|-|
uaut. ii . auspele ́ s	---|-⌫--⌫|--|----⌫-⌫|
Petit lep risdemoiest	----|-|-⌫--|-|--|--|
f ou sclamé s.	-⌫--⌫|------⌫-|
Seiesuipouredi ex mendo rraassés	-|-|--|----|--⌫-||-|--⌫--|-----|
Porlui cuitest reen core coronés	--|--|---|---⌫-|--⌫---|-------|
Detote Espai gneet	-|---|-----⌫--|-|
rois etauoës.	---|-|------|
Mahonferai des b ris ierlescostés	----|----|---⌫-⌫---⌫--|--|------|
Si fe ra ifaire	-|--⌫--⌫|----|
eglise s etautés	------⌫|-|-----|
au oi rqui	--⌫--⌫|--|
iestam ase ́s.	|--|--⌫---⌫--|
L aiertIhesus e sauciés et	-⌫|---|-----|-⌫-------|-|
Et lisu enscorsbenoïsetsacrés	-|-|--⌫--|---|------|-|------|
Molt nerthaucie sainte c hrestiëntés.	---||--|-----|-----|-⌫-------------|
DistHaucebiersuatauoie	---|---------|-|-|---|
Se tociroie	-||------|
--m ais ce	-|-⌫--|-|
se roituiltés.	--⌫---|-------|
Enseg ne moidantGuillau me	-----⌫-|--|---|-------⌫-|
aucort nes	-|---|--|
DistRainouarsOres fu mortgite ́s.	---|--------|---|-|---|----⌫--|
EnAl ischansl a occis	-|--⌫------|||----|
Agen te ́s .	----⌫--⌫--⌫|
Forment menpois e quemoltiertmespriués.	------||-|----⌫|--|---|---|--|-------|
Dist Haucebier Moltestgra ns	---|--------|---|--|---⌫-|
uostredes.	-----|---|
Porso n amor seras	--|--⌫|---|----|
De c est espié parmile corbote ́s.	-|-⌫--|-----|--|-|-|--|----⌫--|
DistRainouarsSedexplest	---|--------|-|--|----|
u osm entés	-⌫-|-⌫-----|
Neferésmi eis i	-|-----|--⌫|--⌫|
comdeuisés.	--|--------|
moiqueu osuee spe re ́s.	--|--|-⌫-|-|-⌫---⌫--⌫--|
Parsaint Denis Quant	--|----|----|----|
uosmeschaperés	--||----------|
Guillaumefo rm ent n en	--------|--⌫--⌫--||-|
fo rferés.	--⌫-------|
A icestmotestuersleTurcalé s.	|----|--|--|---|-|---|----⌫-|
a amontleué .	|----|-----⌫|
FiertHaucebier sor seselmesgemés .	----|--------|--|--|----|------⌫|
Chascuns ertf orsde	-------|--|-⌫--|-|
bon aciertemprés	--|----|-------|
Nesem pira.ii. deniers	--|--⌫---|---|------|
Encontremo nt	-------|--⌫-|
estl itin eusu o lés.	--|-⌫|---⌫--|-⌫-⌫----|
Dis t Rain ouarsOrsui bien asotés	---⌫|----⌫----|-|--|---|------|
N ames enmoi	||--|-|--|
ne bontés.	-|-------|
