o tzzempereeur	-⌫|-|--------|
etu indr e ntcele pa rtou	-|-⌫----⌫-⌫-|---|--⌫-|-|
fu enseignie ́	-|---------⌫|
le trouuer en taune	-|-------⌫--⌫||--|
ouilesto it melleza	-|-|----⌫-|-----||
compa igno nsquili	-----⌫----⌫-|--|-|
re p rochoientquil	--⌫-⌫--------|-|-|
nez sanzperelisa ge	--|---|---|-|--⌫-|
sarestere nt ilecet	|--------⌫-|---|-|
demanderent quiilestoit	----------|--|-|-----|
etconmen t	-|------⌫|
respondire ntqu ilauoit	----------⌫-|-|-|----|
ilecuintme intenant	---|---|--⌫-------|
preudomeaussages	-------|--|----|
quies toite sgar ezdun	--|--⌫---|-⌫----⌫-||-|
so nge quilauoi ts ongié	--⌫--|-|-|----⌫|-⌫-----|
ette no it	-|--⌫--⌫-|
zzbesant ensama in	-|-----|-|-|--⌫-|
me llinsliuintal	--⌫----|-|---|||
en contre sili dist	--⌫-----|-|-|---|
iesaibieno utu	-|--|---|-⌫|-|
uas e tquetudemandes	--|-⌫|--|-|-------|
tu aportesli sagel	-|------|-|---||
es couterent tuassongié	--⌫--------|-|-|------|
distm ellinsz zsonge	---|-⌫-----|-⌫|----|
do nt tues	--⌫-|-|-|
enuastuaromeau s	-|--|-||---|--⌫|
leurporteszz	---|-----|-|
ie let edirais i	-|-|-⌫|----|-⌫|
emporteras tonbe santtu	---------|--|--⌫---|-|
son gi éque	---⌫--⌫-|--|
enmiton foier	---|--|----|
aunefon tainneetq ue	|--|---⌫-----|-|-⌫-|
deton uig nezen	-|--|---⌫--|-|
e stoientseruiet abe uré	-⌫------|----|-|---⌫---|
la fontainne	-|--------|
senefiezzgran ttresor	------|-|----⌫|-----|
quiest desouz ton	--|--|-----|--|
fai foirsi	--|---|-|
e n seras richese t	-⌫|----|-----|-⌫|
toutesta ligniee	-----|-|------|
s e tol uz	-⌫|---⌫-|
preudonsr euinten	-------|-⌫----|-|
etli uall ez lipreudo ns	-|-|----⌫-|-|------⌫-|
mandaour i e rsetf is t	----|---⌫-⌫-⌫-|-|-⌫--⌫|
foir tantq u	---|-----⌫|
iltrouu erentle	-|-----⌫----|-|
silentrerentmoult	-||-|------|----|
ple nte lis ageem	---⌫--|-|-⌫--|-|
prirentaleuruolente	------||---|------|
enoffrirentmes iln	-|--------|--|-||
cur elisages	---⌫|-|---||
partir ent et enmenerent	------⌫--|-|-|-------|
ualletauec	-----|---|
eulsqua ntil	---|---⌫-|-|
hors delauilesi li	---|-|-|---|-|-|
demandere nt seil s auroit	---------⌫-|-|-|-⌫-----|
alempereeu r pourcoi	||--------⌫|---|--|
laueuelitroubloit	-|---|-|--------|
issirderom emell i ns	----|-|---⌫|----⌫-⌫-|
bienlors l	---|---||
en mene rent arome	-|----⌫---||---|
deuan t le n pereeurau	-----⌫||-⌫-⌫------|-|
termeque li i ourzfu	----|--|-|-⌫---|-|
r espo ndre	-⌫----⌫---|
l iunsdeulspar la	-⌫|--||---|---⌫-|
et dist sire nous	-|---|---|---|
uenuza nostre iourd e	----||-----|---|-⌫|
respondrepour	--------|---|
ueueu ous t r ouble	---|-⌫--|-⌫-⌫----|
quantuous uolezi ssir	----|---|----|-⌫---|
horsderome	---|-|---|
li emperieressirenous	-|---------|---|---|
au on same ne ́zzenfant	--⌫--⌫|---⌫--⌫|-|-----|
q u ipor nous	-⌫-⌫|--|---|
respondr aprenezuous	--------⌫|-----|---|
seur uous cequeil	---|---|-|--|-|
o ilor dieiel	-⌫-|-|--|-||
orraiuol entier s	----|---⌫------⌫|
sirefetmellins menez	---|--|------|----|
unechambreet	--|------|-|
parlera i auous uolentiers	-------⌫||---|---------|
d itli emperiereslor sl	-⌫-|-|---------|---⌫||
menaensach ambre et	---|-|-|--⌫----|-|
m e llinsliconmen caa	-⌫-⌫----|-|------⌫-||
entendez moi deso uz uo str e	-------|--|----⌫-|--⌫---⌫|
unechaudierequi	--|--------|--|
boust agranz	----||----|
si ia y yboil lonset	-|||-⌫|----⌫---|-|
tantco nme	---|--⌫--|
lesyy boillonsdurront	--|-|-------|------|
etconme ce lle chaudi ere	-|----|--⌫--|------⌫--|
ne poez iss ir	-|---|---⌫-|
romequeuouspuissiez	---|--|---|-------|
ch em in nesentie rconnestre	--⌫--⌫-|-|------⌫|--------|
etseuous oste z	-|-|---|----⌫|
ch audi ere	--⌫----⌫--|
sanzl esboillonsesteind r e	---|-⌫-|-------|-------⌫-⌫|
uou sauez perdue	---⌫|---|-----|
ueueatouti ourz	---||-----⌫---|
parfo ibiaxd ouzamis	--|--⌫|---|-⌫--|---|
em perieres il	--⌫-------|-|
que uous men	--|---||-|
consei lliezsireuo lentiers	------⌫----|---|--⌫-------|
fetesle li t oster si	----|-|--⌫|----|-|
faitesfouirli	-----|----|-|
enp e rieres	---⌫-⌫-----|
fi stle litoster apre s	--⌫-|-|--|----|----⌫|
ilfistfouirtantque	-|---|----|------|
la chaud ie re	-|-----⌫--⌫-|
fu trouueeli sagei	-|------|-|---||
fu rent etpl useurs genz	--⌫---|-|--⌫-----|---|
uiren t li	-----⌫|-|
em per i e resparla	--⌫---⌫-⌫-⌫--|----|
au ualletet li dist	-|-----|-|-|---|
fetil or sa iie	--|-|-|--⌫|-|
t uessages	-⌫|-|----|
orueiliedeso re	-|---|-|--|-⌫-|
ourerparton	----|--|--|
s ire d itilgranzm erciz	-⌫--|-⌫-|-|----|-⌫----|
or fet est oute s	-|---⌫-|-⌫----⌫|
genz tirerariereet	---|----|-----|-|
iss ir deceenzmeintenant	---⌫-|-|----|---------|
s enaleren t	|-|------⌫|
puislidistmellin s	---|-|---|------⌫|
sireueezuous cesyy	---|---|---|--|-|
cesenefiecesyy	-|------|--|-|
deablesque	------|--|
uou s auez	---⌫|---|
chascuniour	------|---|
au ost reconseilha	|-⌫---⌫-|------|-|
emp eriere sporroie	---⌫------⌫|------|
ieosterd entourmoi	-|----||-----|--|
certes oil bi endist	-----|--|--⌫-|---|
puis les ieueoir	---|--|-|----|
oirnetou c hier	--|-|---⌫-⌫---|
e tquiso nti lbiaus	-⌫|--|--⌫-|-⌫|----|
d ouz amisdit esle	-⌫--|---|---⌫-|-|
si reuolenti ersparfoi	--⌫-|-------⌫--|--|--|
cist yysagesqu euous	---|-|----|--⌫|---|
auez enuiro n uousil	---|------⌫|---|-|
deuo strete r repl u s	-|--⌫---|--⌫-⌫-|--⌫-⌫|
riche que uousnestes	----|--|---||----|
ontac oustuméune ma uuese	--|--⌫-------|--|--⌫----|
coust umedon tlat erre	-----⌫--|---⌫|-|-⌫---|
est perdue et ilen	--|-----|-|-|-|
sontrichecarsenus	---|----|--|-|--|
c heual ierso uborioissonge	-⌫-----⌫---|-⌫|------|----|
zzsongeilcouient	-|----|-|------|
af orceque il	|-⌫---|--|-|
auss ages e t aportzz	--|-⌫---|-⌫|----|-|
et leurdoingne pour	-|---|------|---|
espondre sonsongeet	-------|--|----|-|
il autrement	-|--------|
lefesoienti lcuide ro ient	-|-------|-⌫|-----⌫--⌫---|
estrehoni eins il eur	----|---|----⌫|-⌫--|
fet li sage ent endreet	--|-|---|---⌫----|-|
p ou rceque	-⌫--⌫|-|--|
cestemau uesecoustume	----|---⌫---|-------|
soufert euoustro uble	-------⌫|---|---⌫---|
al issirdec este	||----|-|-⌫---|
u illeorprenezleplus	-⌫---|-|-----|-|---|
s ages etli fetesla	-⌫---|-|-|----|-|
testecouper	----|-----|
desboil lons est eindra par	--|----⌫---|---⌫-----|--|
f oidistliemperieres	-⌫-|---|-|---------|
l efera i m ein tena nt fist	-⌫|----⌫|-⌫---⌫----⌫-|---|
amenerlep lusuiela	-----|-|-⌫--|---||
g entsil ifistla	-⌫--|-|-⌫|---|-|
testecouper ettan tost	----|-----|-|---⌫---|
le greigneur	-|--------|
des boillon s es t aintli	--|-------⌫|--⌫-⌫---|-|
emperieresalagardera	---------|--|-----||
lachaudiere	-|--------|
grantboillonpar mon	----|------|--|--|
chieffet ilmellin	----|--|-|-----|
oruouscr oiraige des	-|---|--⌫----|-|--|
oreenauant d e ceque	--|-|----|-⌫|-|--|
u ous mediroiz	-⌫--|-|-----|
lor sfistcouper la	---⌫|---|-----|-|
t este atouz lessages	-⌫---||---|--|----|
chaud iere esta intet	-----⌫---|----⌫--|-|
d euint to ute froid e	-⌫----|--⌫--|-----⌫|
p ar foisiref etmellin	-⌫-|--|---|-⌫-|-----|
or poezl achaudiere	-|---|-⌫|--------|
osters i l a uezuosmains	----|-⌫|-⌫-⌫--|--|----|
dedenzettoutuostre	-----|-|---|-----|
uolentiersd itli	---------|-⌫-|-|
emperieres	---------|
liemperieresfist	-|---------|---|
con mem ell insli conmanda	---⌫-|-⌫---⌫--|-|-------|
l achaudiere fuosteeet	-⌫|--------|-|----|-|
empl ieetli	----⌫-|-|-|
lizfur efez	--|-|-⌫---|
conmeil s eultsire	----|-|-⌫---|---|
distmelli ns	---|-----⌫-|
orpoezmon teret	-|---|---⌫--|-|
cheua uch ierparmonch ief	-----⌫---⌫--|--|--|--⌫--|
lie nper ieres	-|-⌫----⌫----|
ieiamesuous	-|-|--|---|
cheuaucheroiz	------------|
au ecm oi siredi st	--⌫-|-⌫-|---|--⌫-|
mellin s uolentie rs le s sele s	------⌫|--------⌫-|--⌫|----⌫|
emperiereset	---------|-|
me l l insmonterentetli	--⌫-⌫-⌫--|--------|-|-|
et li bo riois	-|-|--⌫----|
terre monterent apr espour	----|--------|---⌫-|---|
lagrantmerueille	-|----|--------|
auoityyanzpassezque	----|-|--|-----|--|
lie mperieres	-|-⌫--------|
nestoi tissuzde	|-----⌫|----|-|
quant uin talaporte	----|---⌫||-|----|
passe rmellin s	-----⌫|------⌫|
fudeio us teluisi	-|-|--⌫--⌫-|--|-|
lidist sireuousiroiz	-|---|---|---|----|
lo rshur tele cheualde s	--⌫-|---⌫-|-|-----|--⌫|
es peronssipass a	--⌫-----|-|----⌫|
onques ne litroubl ala	-----|-|-|------⌫|-|
ueu eq u ant liemperieres	---⌫|-⌫-⌫--|-|---------|
u itce si otmoult	-⌫-|-|-|-|----|
grant ioiel orsprist	----|---|-⌫--|----|
le comenca	-|------|
a b esier e taacoler	|-⌫----|-⌫||-----|
et leretintaueclui	-|-|-----|---|--|
ettuitliautre	-|---|-|----|
li fire ntgrant f este	-|----⌫-|----|-⌫---|
qua ntiluirentque	---⌫-|-|-----|--|
emperieresotsa	---------|-|-|
enteri nesiconme il	------⌫-|-|----|-|
sire auezuous oie ceste	---|---|---|--|----|
a uenturequiauinta	-⌫------|--|----||
dese syysage s	-|--⌫|-|----⌫|
l auo ient auugle ́	|---⌫---|------⌫|
leur guil e	---|----⌫|
etparleurbar atet	-|--|---|---⌫-|-|
pou rcequil les	---⌫|-|-|-|--|
creo it trop	----⌫-|---|
et se uouscree zles	-|-|---|----⌫|--|
uoz deu ousdestruireet	--|-|-⌫--|--------|-|
uo ust o lir	--⌫-|-⌫-⌫--|
l empir eausi	|-----⌫|---|
uousem puis sei l auen ir	---|-|----⌫-|-⌫|----⌫-|
c onmeilfist	-⌫---|-|---|
a herodeilnem en	|-----|-|-||-|
auendra pas	------|--|
ainsintcar	------|--|
crerai pas ta nt que	-----|--|--⌫--⌫--|
per deterre	---⌫-|----|
au ug lez lempereriz	--⌫--⌫--||--------|
dexuo usen g art	--|--⌫-|-|-⌫--|
atanttrespasserentc el e	----|------------|-⌫--⌫|
nuit tantq ueuintau	---|-----⌫-|---|-|
liemperieresse leuae t	-|---------|-|---|-⌫|
lemper erizles	|-----⌫---|--|
furen t ouuertes li	-----⌫|-------|-|
emperieresconm andaq u e len	---------|----⌫---|-⌫-⌫|--|
destruireson filatant	--------|--|--|----|
e suou s lautresag e	-⌫|---⌫||----|---⌫|
quiot noniosseet	--|-|--|----|-|
descend iaudegrede la	-------⌫|-|----|-|-|
palefroi assezfu	-------|----|-|
qui liti ntpuismonta	--|-|--⌫-|---|----|
contremont	---------|
et puissal u a l	-|---|---⌫-⌫||
emperie ree tlesautres	-------⌫-|-⌫|--|-----|
baronsapresdist	-----|----|---|
alempe r eeur si re mo ult	||----⌫-⌫---|--⌫-|--⌫--|
me m erueildeuous	-|-⌫-----|-|---|
qu isageshons	--⌫|----|---|
quant uous pourledit	----|---|---|-|--|
fame uo lezuostrefilz	---|--⌫--|-----|---|
destruiresanz i ugement	--------|---|-⌫------|
sachiezuosfetes la	------|--|----|-|
p lusg rantmer ueille que	-⌫--|-⌫---|---⌫-----|--|
siha uz hon s conme	-|--⌫-|---⌫|----|
estese tsachiezque	----|-⌫|------|--|
uous en es tes moult	---|-|--⌫--|----|
bla mez de uosb aronset	---⌫--|-|--|-⌫----|-|
cre e zlempereriz sachiez	---⌫-⌫||--------|------|
uost reenneurne uost re	----⌫-|-----|-|----⌫-|
bienquant eleai n sint	---|----|--|--⌫-⌫---|
uo stre filzueul tdestru ire	--⌫---|---|----⌫|------⌫--|
etoc i rresipria	-|--⌫-⌫--|-|--||
d ieuque aus iuous en	-⌫--|--|---⌫|---|-|
auiegneilco nmeil	------|-|--⌫--|-|
fistazzuisco nte	---||-|-----⌫--|
quim oru t	--|-⌫---⌫|
de dueldeceque il	-|---|-|-|--|-|
auoi t zzpou	----⌫|-|--|
blecieesafam e e l pouce	------|-|---⌫|-⌫|----|
d un coustelcomentf u	|-|------|-----|-⌫|
cebia us ir e	-|---⌫|-⌫--⌫|
moipar ami tie	--|--|---⌫--|
uolentiers	---------|
mesque lienfes	-----|-|----|
r espitiezdemort	-⌫-------|-|---|
liemper ieressise rail	-|-----⌫----|-|--⌫-|-|
car ce stes sa m pleuueil	--|--⌫-|--⌫--⌫-⌫--|----|
ie oiretre t eni r lors	-|--|-|--⌫-⌫---⌫|---|
distasesseria nz	---||--|-----⌫-|
ramen ezmoi	-----⌫-|--|
m onf ilz etc illon t	-⌫-|-⌫--|-|-⌫-||--⌫|
tan tostramenécariln	---⌫---|------|--|-||
a uoientp asgrant	-⌫-----|-⌫-|----|
delui de struire	-|--|--⌫------|
leurse igne urleur	---|--⌫----⌫-|---|
couue no itferel i	-----⌫--⌫-|---|-⌫|
furame nezli	-|----⌫--|-|
parl aet deuis aains int	----⌫|-|-----⌫|----⌫--|
entendezmoisire	-------|--|---|
e mperieresditlisages	-⌫--------|--|-|----|
otiad is zzuiconte e n	-|---⌫-|-|------|-⌫|
loherainne quiauoit	---------|--|----|
ilmoul tam oit etele	-|----⌫|--⌫--|-|--|
luiparsemblant	--|--|-------|
moult p l esoitaladame	----|-⌫-⌫----||-|---|
quanque li siresfesoit	------|-|----|-----|
moultplesoitauseigneur	----|------|-|-------|
quanqu ela dam efes oit	------⌫|-|---⌫|---⌫--|
ioura uintque	---|-⌫---|--|
lis ireste no iten sa	-|-⌫---|--⌫--⌫-|-|-|
mainzzcoustel	---|-|------|
qu i nouelemen tl iauoit	--⌫|---------⌫|-⌫|----|
estédonezd ontil	----|----|-⌫--|-|
d olerzzboudonladame	-⌫---|-|-----|-|---|
lancasa main celepart	----|-|---|---|---|
quepa r mesc heance auin t	--|--⌫|----⌫-----|----⌫|
q ueli coustiaxla	-⌫-|-|-------|-|
trenchazzpouel pouce	------|-|--|-|----|
siconme ncaaseignier	-|-----⌫--||-------|
etquant lisi res uit	-|----|-|--⌫--|--|
ce sienotsitres	-|-|-|-|-|---|
grantdu el	----|--⌫-|
quilenf ul	-|-|-|-⌫||
and emainmorzbie nsachiez	---⌫----|---|---⌫|------|
sapiencetropauoi tfeble	-------|---|----⌫|----|
qua nt pourtel chose	---⌫-|---|--|----|
morut licors fu	----|-|---|-|
apareilliez et	----------|-|
enseuel izsicon meil	-------⌫-|-|---⌫-|-|
porte rent	-----⌫---|
etla dameenfist	-|-|---|-|---|
merueil l eusdue llicors	-------⌫-⌫--|---⌫|-|---|
aumo ustierd ehorsla	-|--⌫-----|-⌫----|-|
cimetiere nouuel	--------|-----|
seruisef u	------|-⌫|
chantési le nterrer ent	------|-||-⌫-------⌫--|
leiourmeismes	-|---|------|
quilifup ortezla	-|-||-|-⌫----|-|
damesoupir eet pleure	---|------⌫|-|-----|
fo r ments us l a	--⌫-⌫---|-⌫-|-⌫|
ditqueiamesne	--|--|----|-|
dilecdescia	|---|----||
m ortcarpou r s amour	-⌫--|--|---⌫||----|
es ti lmor t	--⌫|-⌫|---⌫|
o rueultelemorir	-⌫|----|--|----|
luisesli gnag esuin ta	--|--|--⌫----⌫-|---⌫||
quimoult la blamerent	--|----|-|--------|
et laprir enta	-|-|----⌫--||
rec onf orte retli	---⌫---⌫----⌫|-|-|
direntpourd ieu damece	-----|---|-⌫--|---|-|
nefe roizuousmiec ar	-|--⌫---|---|--|-⌫-|
l ameniau roitia	|--|||--⌫---|-|
preu ain z enseroit	---|---⌫|-|-----|
t ropp ire	-⌫--|-⌫--|
etuous meesm es en	-|---|-----⌫-|-|
s eri ezuers	-⌫---⌫-|---|
die u trop	---⌫|---|
corrocieemes	--------|--|
prenezboncuercar uous	-----|--|---|--|---|
e ste s iuenedam eet	-⌫---⌫|----|---⌫|-|
etdegra ntlignagequi	-|-|---⌫-|------|--|
feradutoutauostre	---|-|---||-----|
uo lentepuis q ue cistest	--⌫----|----⌫-⌫-|---|--|
morznia nu l	---||||--⌫|
reco urierce	----⌫----|-|
seigneurs ce ditladame	--------|-|--|-|---|
parlezden een t	-----|-|-⌫---⌫|
sachiezquedeci ne	------|--|-|-|-|
mouurai pou r	------|---⌫|
ch os equi	--⌫--⌫|--|
auieg nedescila	-----⌫-|----|-|
morte carpo url	----|--|--⌫-||
fuil m orz	-|-|-⌫--|
or uu e iliemorirpour	-|--⌫-⌫-|-|----|---|
lu iqua nt ci l u irent	--⌫|---⌫-|--⌫|-⌫----|
queladamene se	--|-|---|-|-|
mouuroitpour proierene	-------|---|------|-|
pourc hose	---|-⌫---|
li deissents i	-|-------|-⌫|
la lessi erentileque stoute	-|-----⌫----|------⌫|----|
mesaincois lifirent	--|------|-|-----|
unelo geseurlu ibien	--|--⌫-|---|--⌫|---|
couuerte et	-------|-|
bienferm antatants en	---|----⌫--|----||-|
p artirentet la d ame	-⌫-------|-|-|-⌫--|
lenli aport abusch e	--|-|-----⌫|-----⌫|
d on telef istfe u a	-⌫--⌫|--|-⌫--|--⌫||
cel ui iourque	---⌫-|---|--|
cil uiscue nsfumorz	--|------⌫-|-|---|
a uoiten celpai s yy	-⌫---|-|--|---⌫|-|
c heu aliers qui	-⌫---⌫-----|--|
estoientrobeeuretlarron	-------|------|-|-----|
e t moult auoient l a	-⌫|----|------|-⌫|
la m archegas tee et	-|-⌫----|---⌫--|-|
e ssillieem es nepooi ent	-⌫-------|-⌫-|-|----⌫--|
e s tr en ep ris ne	-⌫-⌫--⌫|-⌫|-⌫--|-|
r etenu cel ui iourfurent	-⌫----|---⌫-|---|-----|
prispa rgrantes fortde	---|--⌫|----|--⌫---|-|
liezenfurentles	---|-|-----|--|
carmoultfesoient	--|----|-------|
demauslaiusti sedist	-|---|-|-----⌫-|---|
queiagardenen	--|-|----||-|
fe roitne em	--⌫---|-|-|
seroient mis	-------|--|
meintenant les menerent	---------|--|-------|
sifuren tpen duz	-|-----⌫|---⌫--|
cheuali erau oi t	-------⌫-|--⌫--⌫|
encest euilequi a uoit	-|----⌫|---|--|-⌫---|
meru eilleuseterreetmo ult	----⌫-------|----|-|--⌫--|
fesoitared outer carn	-----||---⌫----|--||
pendular ronnetraiteu r	----|---⌫--|-|-------⌫|
quilnelico uuenist	-|-|-|-|--⌫------|
la premiere	-|-------|
nuitgard er ausf ourches	---|----⌫-|--|-⌫------|
moult e stoitcilfiez	----|-⌫----|--|---|
p e r illeusmes	-⌫-⌫-⌫-----|--|
tenoit mo ultgrant	-----|--⌫--|----|
s ili c ouuintcele	-⌫|-|-⌫-----|---|
cestroislarrons au s	--|----|------|--⌫|
four chesmeintenants	----⌫---|---------||
et arma moultbienapr es	-|---|----|---|---⌫-|
montaseur sondestrier	----|---|--|-------|
droitementas fourch estou z	---------|-|------⌫-|---⌫|
seusilecs estut	---|---||----|
les t roislar rons	--|-⌫---|---⌫---|
penduzta n t fuilecque	-----|--⌫-⌫|-|---|--|
iliert bienm ienuiz i l	-|---|---|-⌫-----|-⌫|
fesoit moultgran tfroit	-----|----|----⌫|----|
carce fuenuiro nla	--|-|-|------⌫|-|
saintan dri euque il fet	----|--⌫---⌫-|--|-|--|
granty uer	----|-⌫--|
licheualiers	-|---------|
qu igardoitlestro is	--⌫|------|--|---⌫-|
regard a uerslecimetiere	------⌫|---|-|--------|
quigardoitsonseigneur	--|------|--|-------|
et uit la clarte du	-|--|-|-----|-|
ele auoitalumé	--|----|-----|
pourpensaqu il iroit	--------|-|-|----|
chauferoitse s	---------|--⌫|
fe u auecladamelor s	--⌫|---|-|---|---⌫|
hu rtacheual	--⌫--|-----|
desesperonsetuint	--|-------|-|---|
cele pa rtquant il fu	---|--⌫-|----|-|-|
al a loig e	|-⌫|----⌫|
sidescendie t atacha	-|-------|-⌫|-----|
so ncheualpardehors	--⌫|-----|--|-----|
puisdista la	---|---||-|
dame quelelelessas t	---|-|--|-|------⌫|
entrerleenzladamefu	-----|----|-|---|-|
esbahiesi li distque	------|-|-|---|--|
ilni ent erroit pas	-|||---⌫-----|--|
li cheual iers naie z	-|------⌫---||---⌫|
doutedemoi car ie ne	----|-|--|--|-|-|
feraichose	----|----|
quiuousdep lesen e ne	--|---|---⌫---|-⌫|-|
dir ai nule uilenieie	---⌫-|---|------|-|
licheualiersquigarde	-|---------|--|----|
lestroisla rronset	--|----|--⌫----|-|
uostreuoi sin	-----|---⌫--|
lada me do ntpoez	-|--⌫-|--⌫-|---|
