me laisié sporl	-|-------⌫|--||
i l consieut aco pn	-⌫|-------||--⌫||
ademorgar is on.Atant euou s	|-|--|---⌫--⌫--|----|----⌫|
A io lsa c oi(n)tedespe ron	-⌫--⌫-||-⌫------||----⌫--|
Moltse fubienar me ́s dedens	---|-|-|---|--⌫--⌫-|-----|
son pauell onEtsistsor	--|------⌫-|-|---|--|
Marchegaiqui	--------|--|
rand onEt Ioberset Ylairestout	----⌫-|-|-----|-|------|---|
.i ii.son t	--⌫--|---⌫|
c o npa ignonIlned eseueroi e ntportoutlor	-⌫-⌫---⌫----|-|-|-⌫--------⌫-⌫-|--|---||-|
ces[ t] montIasecoront leroi cui	----⌫-|---|-|-------|-|--|--|
poist necui	----|-|--|
CCuIA iolsuitsonsigno r	---|-⌫---|--|--|-----⌫|
lap re sse Quefelo n	-|-⌫--⌫--|--|----⌫|
Borgeng on moltdurement ap re s sent. Ilbroche Marchegai	-------⌫-|---|-------|--⌫--⌫-⌫----|-|-----|--------|
lasquelere sneEt uait feri rGerinen le	-----|-|--⌫--|-|---|----⌫|----|-|-|
targenouele	----|-----|
Deso rla boucleaorlifraint etescartele E t	----⌫|-|-----||-|-|-----|-|--------|-⌫|
labrongede l	-|-----|--⌫|
d oslidesmailleetdessere	-⌫-|-|--------|-|------|
E l co rs li metle spiel	-⌫|--⌫-|-|--||-⌫----|
.ii.m amelesTouteplainesalanc h e labatimort	---|-⌫-----|----|-----|-|----⌫-⌫||----|---|
erbePuis s aisi	---|---|-⌫---|
lede str ier par le	-|--⌫---⌫--|--|-|
doreeresneSon	----|----|--|
signorleren disi d esrompi lapr esseEt	-----|-|---⌫-|-|-⌫------|-|--⌫---|-|
lirois imon ta	-|---||---⌫-|
son es tri er senestre.A iceleparoleli	--|--⌫---⌫-|--------||----|-----|-|
au b el oresclaire	--⌫-⌫|-⌫-|-------|
Mirab eusla	-----⌫--|-|
pucele estremess een.i.	-----|--|------⌫|-|--|
Toute descauceenlanges	----|-------|-|-----|
es t oitlabe le Si	--⌫-⌫--|-|--⌫-|-|
comencelenuit quelesnoce s son t faites.Cele	--|-|---|---|--|--|----⌫|---⌫|------|---|
garda aualsi	----|---|-|
aueu lespertes	|--|--|-----|
uit lespuinsetlespiésetlescor se t	--|--|----|-|--|----|-|--|---⌫|-⌫|
testesD e s gen tischeualiersqui	-----|-⌫-⌫|---⌫--|---------|--|
g isentmort sor	-⌫----|---|--|
Da meldé reclamaleglorieu[s ]	--⌫-----|------|-|---------⌫|
celestreDame	-------|---|
sainte Marie	-----|----|
digneuier gep uceleSeieperc	----|----⌫-|-⌫----|-|-|---|
monsig norh uico m mencetel	--|---⌫--|-⌫-|--⌫-⌫----|--|
guere Quiiamaisnefauraence	----|--|-----|-|----|-|-|
siecl eterestre .CC uII	-----⌫|--------⌫|--⌫--|
c lerset liso lauslui s ans. Le nperer ede	-⌫---|-|-|--⌫---|---⌫-⌫---||-⌫------⌫|-|
F r ance fu moltgrainsetdolan sIl	-⌫-⌫---|-|---|-----|-|-----⌫|-|
uoitmorirses homesa deul	---|----|--|----||---|
torment.I lbroche	-------|-⌫|-----|
ledestrier quineuamielent	-|-------|--|-|-|--|---|
EtuaitferirMakaireenson escu deuantDesor	-|---|----|------|-|--|---|-----|----|
la bouclea or	-|-----||-|
l i peçoieetporfe ntLi	-⌫|------|-|-----⌫-|-|
aubersde sondosne	-----|-|--|--|-|
bessantDiab le legarirentqueilen	------|----⌫-|-|-------|--|-|-|
ca rnelprent	--⌫|--|----|
comanstel i durelabat i	--|----|-⌫|---||----⌫|
esraument .Liglous resautenpiés	---------⌫|-|----|-----|-|----|
to st etis ne lemen t Loe yss	--⌫-|-|--⌫--⌫-----⌫|---⌫-||
i areste traitlesp e e	|-----|----||---⌫-⌫|
tr anchantIa litranch astl atesteneustdemo rt	--⌫------|-|-|------⌫--|-⌫|----||---|-|--⌫-|
Quantlit oliGi rbe rsetGuisliAleman sDe	----|-|-⌫--|--⌫---⌫-|-|---|-|------⌫|-|
traientseli fisentg a rant. Porc houne	------|-|-|-----|-⌫-⌫----|--|-⌫--|-|
fui lmi e debataille	-|-⌫|--⌫|-|-------|
ta i san tAinsu a	--⌫-⌫---⌫|---|-⌫|
parmile srens a band oneementEttient	--|-|--⌫|---|-⌫----⌫-------|-|----|
nuelespeedontli bra nsesttranca ns	--||----|---|-|---⌫-|--|------⌫-|
Trenc hepiset costés	-----⌫-|--|-|------|
ettestesdaufera nsCui	-|-----||------⌫-|--|
ilc onsieutacopil n ade	-|-⌫------||--|-|||-|
garant.Asauois quilo thauteuait	------||-|---|-|-|-⌫|----|---|
souentescriant	-----|-------|
es alés Aiol	-|----|---|
fe lqui uer[s]souduians	--⌫|---⌫-----|--------|
Cuid esmetutolir	----⌫-|-|-|----|
issimesca semensAnqui	---|--|--⌫-----|----|
le comperasseDieuslemeconse nt	-|-------|-|----|-|-|-----⌫-|
Elielot celepa rt	---||-|---|--⌫-|
uint corant	---|-----|
SiaferiMakair e	-||---|------⌫|
e scudeuant	-⌫--|-----|
etleceualaba ten	-|-|----|---⌫|-|
mi lecampDesor	-|-|---|-|--|
ares tasi tra it toutn u le	----⌫-|-|---⌫-|---|-⌫|-|
bien ue n giés	---|--⌫-⌫----|
ensiantQuantlerescoust Girbe rsetG uil i	------|----|-|-------|-----⌫-|-|-⌫-|-⌫|
Alemans De l apresseletraie nt se	------|-|-⌫|-----|-|-----⌫-|-|
li r efon tgarant.	-|-⌫----⌫|------|
peusiésueir(e) labataillesigran tTant cheuali ermorire t	-------|------|-|-------|-|----⌫|---|-------⌫-|----|-⌫|
abatr esangla ntBo rge ng on ont	-----⌫|------⌫-|--⌫---⌫--⌫-|--|
gran tf o rchecar	----⌫|-⌫-⌫---|--|
poii ot de	--||-|-|
Frans. L enpere rede Franche	-----||------⌫-|-|------|
otmolt son ceur dolant	-|---|--|---|-----|
uersl ach ité	---|-⌫|--⌫---|
deLengress en	-|------||-|
uaes peronantMolt	-|--⌫-------|---|
ses homesco recie ́setd olans. A iol[s] lifieu s	--|----|--⌫-----⌫-|-|-⌫-----|-⌫-----|-|----⌫|
Elie e stremés	---|-⌫-|-----|
co mbatan tEtuont porasailliret	--⌫------⌫|-|---|--|-------|-|
der iereetdeu antLa	---⌫---|-|---⌫--|-|
f i ssent grantd ama ge alcheualier uaill antCarIo bert et	-⌫-⌫----|----|-⌫---⌫-|-|--------|-----⌫--|--|--⌫---|-|
Yla i reandeusses	---⌫-⌫-|-----|--|
iexuo iant Lion ta ba tumor s	--|--⌫---|-|--⌫|-⌫--⌫-|---⌫|
trésen milieu	----|-|-----|
EtG eralme le preu etAn tialm e lenfantDes	-|-⌫-----|-|---|-|--⌫-----⌫||-----|--|
.ii ii.fie us G eralme andeuslespl usuai llant.Aiols li	---⌫--|---⌫-|-⌫-----|-----|--|--⌫-|---⌫-----|----|-|
en e stt or nés	-|-⌫-|-⌫--⌫---|
atant.CCu IIIA iols s enest tornés	-----|---⌫--|-⌫---||-|--|------|
acoi(n)tedes peron Mirabia usladucoiseest	|-------||--⌫----|-------⌫-|-|------|--|
rem eseen .i.	---⌫--|-|--|
m ontBorgengo nlesaisirent	-⌫--|--------⌫|-|--------|
entoretenui ron	----|-|----⌫--|
Mak airele	---⌫---|-|
rend irentlequiuertle fe lonEtlafr ancheduco ise	----⌫----|-|------|-|--⌫--|-|-|--⌫----|----⌫--|
escriaahautton	-----||---|--|
Lairésm enuousmenerge[ n ]tiex	------||-|---|----|---⌫-⌫----|
ba ronRepro uie r enare ́sauo ui etou s	--⌫--|-----⌫---⌫|-|---⌫-||-|--⌫|---⌫|
iors Quant Aiols	---|----|----|
lentendi molteno tgrantdolor Etiu re	|------|---|-|-⌫|----|----|-|--⌫-|
D a meldélepere	-⌫-⌫-----|-|---|
creatorQu ilne lelairoitmi ep or tout	------|-|-|-|-|------|--⌫|-⌫-|---|
l orde cest mont	|-|-|---|---|
pass agedelguésne	----⌫--|--|----|-|
lor reface	--|-----|
untor. Ilbroche	-|---|-|-----|
Marche gaidestranchans	------⌫--|--|--------|
esperonsDeuant sorsonescuf eri	-------|-----|--|--|---|-⌫--|
Borgengon Quei l	--------|--|-⌫|
li peçoia desousl a boucle	-|------|-----|-⌫|-----|
amo nt Etl	---⌫-|-||
au ber cdesondoslidesmaille etde sront	--⌫---⌫|-|--|--|-|--------|-|--⌫----|
outrelecorsl i	----|-|---|-⌫|
met feret p ingonTou teplain e	--|--|-|-⌫----|---⌫-|-----⌫|
salanch e labat mo rtdel ar çon.	-|-----⌫||---|--⌫-|-||--⌫----|
Puis atraite lesp e e dont	---||-----||---⌫-⌫|---|
puin[s] S irefiert.i.Lonbart	------|-⌫|------|--|------|
parmi sonelme	--|-|--|---|
amontQui l	----|-|-⌫|
enaa batules pie resetlesflour s	-||-⌫---|--|---⌫--|-|--|-----⌫|
estortsoncaup m ort	-----|--|---|-⌫--|
la b a tel sabl on.Adontison tuenu.xl.	|-⌫-⌫-⌫|-|----⌫--|----||---⌫|---|---|
Borgen gon Apl us de.xx x .lan chesferirent sorAiolSon	------⌫--||--⌫-|-|---⌫-⌫|---⌫---|-------|------|--|
poitral et ses	------|-|--|
çainglese tses	--------|-⌫|--|
estriersontrous	-------|--|---|
abatirentu iluausist unon. Et	--------||-|------||---|-|
A iolss autenpi és trait le	-⌫---|-⌫--|-|--⌫--|----|-|
brancdecolorCu i i lcons ieutacop na	----|-|----|--⌫|-⌫|----⌫---||--|||
demortg ar ison.	-|---|-⌫--⌫----|
Maismoltgrant mesceanceli	---|---|----|--------|-|
celio rCar	--|--⌫|--|
briseetuoleen.ii.t ron chon sBorgengonl esaisire ntentor	----|-|---|-|---|-⌫---⌫----⌫|--------|-⌫|-------⌫-|----|
etenuiro n .Ata nt euosMakair eletraitor felonE ttien t	-|------⌫-⌫|---⌫-|---|------⌫|-|------|----|-⌫|----⌫|
nuelespeedontaor	--||----|---||-|
son t lip onIalitrenchas t lateste	---⌫|-|-⌫-|-|-|--------⌫|-|----|
n e neus traençonQ uantGui setAlerans	|-⌫|---⌫|-------|-⌫---|---⌫|-|------|
etGirbersl	-|------||
rescous Etl afr anceducoises	------|-|-⌫|--⌫---|------||
escriaa haut	-----||---|
Merc h isireMakai rep orDieu et porson nonComment	----⌫-⌫|---|-----⌫-|-⌫-|---|-|--|--|--|------|
moroit orete x honcomest AiolsPuis	-----|--|--⌫|--|--|--|----|---|
queprisnous aue ́ s	--|---|---|---⌫-⌫|
metésnosenprisonBie n auésaquitee de	-----|--|-|-----|---⌫|----|------|-|
Borgong elonor.	-------⌫||----|
Etrespontl itraitresPar mon	-|------|-⌫|-------|--|--|
ciefchouaimon	---|---|-|--|
Illesf ait	-|--|-⌫--|
deliurer.xl.Bor gengon[s] Parderiereles doslorf ait loier	-----------|---⌫--------|--|------|--|--|--|-⌫--|----|
lespoin sIssi e stroitement	--|----⌫|---|-⌫----------|
queliclerssansencort.	--|-|----|---|-|----|
CC I XMakaires pr is tAi olet luie t s a	--⌫-⌫|-------|--⌫--⌫|--⌫-|-|--|-⌫|-⌫|
mollierParderier e	------|--|------⌫|
lesdosl or fait	--|--|-⌫-|---|
les puin sl o ier Issiestroitem entque li	--|----⌫|-⌫-⌫--|---|---------⌫--|--|-|
san s encie t. Puis	---⌫|-|---⌫-|---|
toutlauo iret tors er etcar gi er	---||---⌫-|-|----⌫-|-|---⌫--⌫-|
Lestrésetlesc en dauset	--|----|-|--|-⌫--⌫---|-|
lespail es p loi és Etle	--|----⌫-|-⌫---⌫--|-|-|
u asalement quiestoitalmangier	-⌫--------|--|-----|-|------|
Isnelementlestorse desorlesforssomier[s]A	---------|--|----|----|--|---|--------||
s e metent sans plus dela ta rgier. N esai	-⌫|-----|---|---|-||-⌫--⌫-----|-⌫|--|
que uousd eusselor	--|---|-⌫----|--|
esto ireanonc ier Dile ucdusqu a Lossanen e	----⌫--|-----⌫--||---⌫-|----||------|-⌫|
se sont atargié	-|---|-------|
E n l achi te ́en trer ent	-⌫|-⌫|---⌫--⌫|--⌫----⌫--|
aceualet apié.	|----|-||----|
Ma kaire[s]litraitr es	--⌫-------|-|------⌫-|
cuiDieusdoinste ncombri e rTouslesdegre ́ sen monte	--|----|-----|-⌫-------⌫-⌫|---|--|-----⌫-⌫|-|----|
pal a i s plenie rAioli fi s tmen eretoluisa	---⌫-⌫-⌫|------⌫|---||--⌫-⌫|---⌫-|-||--|-|
mo ll ierLi	--⌫--⌫--|-|
unsregardel	--|------||
autre sipleurentd epitié.Makaires	----|-|-------|-⌫|------|-------|
s esmaistrescarteriersEns elfont	-⌫-|-------|---------|--|-|---|
desa cartreles afait	-|-|-----|--||---|
enuoierPuisiiur entilta nt adeul et	------|---||---⌫--|-|--⌫-||---|-|
apichiéQu	|------|-|
Aiolsot desa feme.ii. pet isire tiers	----|-|-|-|---|---|---⌫-|---⌫----|
Puis soufrirent	---|---------|
morteusencon brier s Ainsqu ilport aisent armes ne	------|-----⌫-----⌫|---|-|-|----⌫-----|----|-|
fuis entcheualier. Orcomme n ch ecanchonformenta	----⌫--|---------|-|-----⌫-⌫--⌫|------|------||
enfo rch ier	----⌫---⌫--|
Fai te deu reiee sto ir e fol[s]	---⌫-|-|-⌫---|-⌫---⌫--⌫|-----|
est quimillor quier t.	--|--|-----|-----⌫-|
Ma isdunecose furen t Borgengonengingi é	--⌫-||--|---|-----⌫|--------|-------⌫-|
QueleceualAiol	--|-|----|---|
ontarierelaissié. UnsL onbars	--|-----|--------|--|-⌫-----|
le saisise l	-|----|--⌫|
uautaplanoier	---|--------|
Liceuausaperço it	-|-----|-------⌫-|
queAiolsn e rt c he nient Le	--|----||-⌫-|-⌫-|----|-|
t uéaan be deussespi é s. uers	-⌫--||--⌫--⌫---|--|--⌫--⌫-|---|
Len gre[s]s enretornedurement	---⌫-----||-|------|-------|
eslaissi ésLa porte	--------⌫--|-|----|
liouriAs ses li BeruiersEt	-|---|--⌫--|-|-------|-|
Marc hega iientre ainsne fute xdestrie rsPlu s seut	----⌫----⌫||----|---|-|-|--⌫|-------⌫-|---⌫|---|
tansd eguere quema uaischeualiers.CCX	---|-⌫|----|--|--⌫---|----------|--|
A Lengresen	|------|-|
Borgongeiu tElieenson lit Q uimolt	-------|--⌫|---|-|--|--|-⌫-|---|
estoitmala deset	-----|----⌫--|-|
afeblisEncor (e)ne sot	------|-----⌫--|-|--|
ilmiede son fil qui estpris.	-|--|-|--|--|--|--|----|
Il a oil e noiseetlebrui tet le	-||-|-⌫|----|-|-|----⌫|-|-|
senescalape le	-------|---⌫-|
ualseri Gentiexhon dites moice stenoise	------|------|--|----|--|--⌫--|----|
Si rechedistGerars maluais enoise achi.	--⌫-|--|---|-----|-------⌫|----||---|
MakairesdeLosaneestfors dep risonmis	-------|-|-----|--|---|-|-⌫----|--|
Parle conselas	--|-|-----|-|
gard esquile	----⌫-|--|-|
t resor ont pris	-⌫----|--|---|
roiencescansd e s conf it	--|-|--|---|-⌫-⌫-⌫----⌫-|
Aio ltonfil en	---⌫|--|--|-|
mai(e)nenten batai lle	---------|-|-----⌫--|
p r is.Quantle ntendi Eliesa	-⌫-⌫--|----||-⌫-----|----||
poin esr a ge	--||---⌫-⌫-|
uis ..IIII.foissep asmalifrans	---⌫|-----|---|-|-⌫---|-|----|
hon porson	--|--|--|
L engresi u t	-⌫-----|-⌫-⌫|
Elies dolanseti ra scus.Molt	----|-----|-|-⌫--⌫----|---|
demainegran tdeuldesonfi lcaperdu( s) Genti e u s	------|----⌫|---|-|--|--⌫|||------⌫-|-----⌫-⌫-⌫|
boin airedis t l i	---|---|---⌫|-⌫|
f usMakairede Los ane tes	-⌫-|------|-|---⌫--|--|
corssoitconfondus Marche gaiboins	---|---|--------|------⌫--|----|
che uals por u os	---⌫---|--|-⌫-|
ira scusCarse i e	---⌫---|--|-|-⌫|
uosreussetousrefuisse se urs.-	--|-----|---|-------|--⌫---||
SirechedistGer arsi l	---|--|---|---⌫--|-⌫|
reuenusLibo ins	------|-|--⌫--|
destriersdeg ardeainques	--------|-|-⌫---|------|
m iedren efu[l. fu] Ia	-⌫----|-⌫|----|--|-|
.i. grant sestier u	--|----|------||
plus.Quantlentendi Elies	----|----||------|----|
onques siliés ne	-----|-|----|-|
fu. D am e lde ́enaourelepere	--|-⌫--⌫-⌫---⌫|-|----|-|---|
Sirep e re	---|-⌫-⌫-|
de gloireu os enren gesalu sLematinl eue rai	-|-----|-⌫-|-|--|-|----⌫|-|----|-⌫---⌫--|
quantertapar eusE tr ef erailaguere	----|--|----⌫--|-⌫|-⌫--⌫---|-|----|
Paricelsaintapostle	--|---|----|------|
por cuiD ex	--|--|-⌫-|
faitu ert uTeus sepeut	---|-⌫---⌫|---|-|---|
orefaire baus etli é[s]ets e ur[s]Qui en	--|----|---|-|--⌫----|-|-⌫-⌫----|--|-|
ser a encore parla	---⌫|-----|--|-|
goulependus.CCXII	----|------|----|
Moltdemaine	---|------|
grantdoellidusetsa	----|---|-|--|-|-|
molli erEtr egr e tent Aiol co r toi sementet	-----⌫-|-|-⌫---⌫-⌫---|---|--⌫-⌫---⌫-----|-|
tantma ri fustesnobile[s]cheualiers Ma ka irede Losane	---|--⌫||-----|--------|---------|--⌫--⌫--|-|-----|
t escorss oituer gong iésQui	-⌫-|---|-⌫--|---⌫----⌫---|--|
de partinous asdelm illor	--⌫----|---|-|--|-⌫----|
iretierQuionquesfustenFra nceenter re	------|--|-----|---|-|---⌫--|-|---⌫-|
nesous siel.	-|---|----|
-Damechedi s tli dus cegra nt	|---|--|--⌫-⌫|-|--|-|---⌫-|
d eulcarlaisi és Onque s	-⌫--|--|-----⌫--|-----⌫|
degrantdeulfairene uiriengaignier. Quant	-|----|---|----|-|-|---|--------|----|
Marchegai n endonro i[e]	--------||-|-----⌫---|
.i.deni er Le matinse D ieu	--|----⌫-|-|----|-|-⌫--|
plaistleuer ai	-----|-----⌫-|
to u[s]premi er[s].	--⌫---|-----⌫-----|
Sireprendrailaguerealfer et	-|---------|-|----|-|--|-|
ala chierTeus se	||-⌫----|---|-|
peutore fai rebaus	---|--|---⌫-|---|
etioianset liésQuien sera	-|-----|-|----|--|-|---|
corechousetiri ésCCXIIIUnsemedim atins	--------|-|---⌫--|-----|-|-----|-⌫---||
leuésSe smaistrescambr elense n	-----|--⌫|-------|-----⌫----|-⌫|
aa raisoné sA porteme	|-⌫--------⌫|-⌫------|
mesa rmes mescauces messole rs	--|-⌫---|--|-----|--|----⌫-|
Leu eraim oi del lit trop	---⌫---|-⌫-|--|--|---|
ai orest etMa lsoit	-|-|---⌫-|--⌫|---|
or(e)delmala gequi tan t	----|--|----⌫-|--|---⌫|
seiorner Etcilont r esponduSi	-------|-|--|--|-⌫------|-|
com uou sco mmandés.	--|---⌫|--⌫--------|
Sesdrasliapor terent	--|---|-|----⌫-----|
sans plusde	---|---|-|
demorerChemiseet	------|------|-|
braie[s] blanc he[s]liontfa i tendo s er	-------|-----⌫----|-|--|--⌫-⌫|----⌫-⌫-|
Unp eliçonherminli	-|-⌫------|-----|-|
onteldosiet éEtdesore	--|-|--|---⌫-|-|-----|
.i.bliau[t]afin	--|-------||--|
orpointuré.	-|---------|
mantel d escar la teafublé.Signorch e dist	-----||-----⌫--⌫-|-------|-----|--⌫|---|
Elie senuers	----⌫|-----|
m oie ntendésParl e	-⌫-|-⌫-------|--|-⌫|
uos tremerchi amangierm	---⌫--|-----||------||
apo rtés. Ianesisiou atable.xiiii.ansa	---⌫-----|-|-|--|--||----|------|--||
passés.Et	-------|-|
cil responde nt Siretouta u ouolenté. Ale	--|--------⌫-|---|---||-⌫|--------||-|
plus haute	---|----|
tableo ntEl iemene ́ Tout	----|-⌫-|--⌫-|----⌫|---|
aportent.ii.simbre s	-------|---|------⌫|
b ul ete ́sEt	-⌫--⌫---⌫-|-|
unegr antespaule d un	--|--⌫--|------||-|
parcr eusa nglerEt	-----⌫-|--⌫----|-|
menu soiselonsroistiset enpeurésEtuin assés	----⌫|-------|------|-|--------|-|--|-----|
encontre et	-------|-|
pumentetcla ré . Elies en	-----|-|---⌫---⌫|----|-|
m angali cortoi setlibe r	-⌫---|-|------⌫|-|-|--⌫|
soit de nul mor sel	---|-|--|---⌫--|
do ne ́Ainsma nga	--⌫--⌫|---|--⌫--|
dur ementpar	---⌫----|--|
uiuepoeste ́	---|------⌫|
beu.i.sestierde uinetdeclaré. Cil	--|--|------|-|--|-|-|------|--|
iouene cheualiersen	-----|--------||-|
prisentagaber	------||----|
Etdistliunsal	-|---|-|--|||
autrePorDie uor esgard e ́sTant aorcis uiés	----|--|---⌫|-|------⌫-⌫-|---||-|--|----|
honmangiéa	--|------||
sondisner .IIII.autrecheualier en eusent	--|-----|-----|----|--------|-|-----|
as sés Quant	--⌫---|----|
ElieslententlesensquidederuerSign or	----||-----|-|---|----|-----|----⌫-|
du smo lt gran ttor tenaués.S e ie mang u(e)	--⌫|--⌫-|----⌫|---⌫|-|-----|-⌫|-|----⌫---|
