mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
ausainthomedo lenzquinesen	-|----|---|--⌫---|--|-||-|
repairastioianzetli ez	--------|-----|-|--⌫-|
et quifucil qui a	-|--|-|--|--||
sai ntanthoi ne	---⌫-|------⌫-|
ue nist iriez	--⌫---|----|
et maltalentis	-|----------|
quin esenret ornast ioi anzkifu	--|-⌫||-|---⌫-----|---⌫--|-|-|
cilunques qui	--|-----|--|
saint home	----|---|
ueni s tdeconseil liezne des confortez	----⌫-⌫|---------⌫---|-|---⌫--------|
quin erepaira st co n silie z et	--|-⌫|-------⌫-|--⌫-⌫-----⌫|-|
co nforte zliement	--⌫------⌫|------|
dequelconques	-|----------|
b eigs oignece fustdema ladiesd	-⌫----⌫----|-|---|-|--⌫-----||
enfermetezdediablesc hacierfors del	---------|-|------|-⌫-----|---|--|
corsconseillo it	---|---------⌫-|
il etaidoi t	-|-|-----⌫|
et deliuro i tto z cels quialu ien	-|-------⌫-⌫|--⌫|---|--||--⌫|-|
ue noie nt	--⌫----⌫-|
qu e uos diroieieplus totes	--⌫|--|-----|-|---|----|
g enzuen oi entaluidediuerses	-⌫--|---⌫--⌫--||--|-|-------|
contrees n enus nes i plaignoit	-------|-⌫|--|-|||--------|
quilif ustuenuzen uainainz s	-|-||-⌫--|----|-|---|---||
enloo ienttui tensi	-|---⌫---|---⌫|---|
plain emen t	-----⌫----⌫|
siauoientd roitquaril l	-|------|-⌫---|---|-||
enmoientsortoterien porlo bien	-------|--|---|---|--|-|---|
etporl a do corquiltrouoient	-|--|-⌫|--⌫--|-|-|--------|
et ce fubienprouéqu ar	-|-|-|---|-----|--⌫-|
apr ess am ort	---⌫-|-⌫|-⌫--|
l oplainssent	-⌫|---------|
etplo r erentducement com melorbon	-|---⌫-⌫----|-------|---⌫-|--|--|
orestdroiz que iedela	-|--|----|--|-|-|-|
die etcommen tiltrespassa	--|-|------⌫|-|--------|
deceste ui euni or auintq ue li	-|----|--⌫|-|-⌫-|----|-⌫-|-|
hom ui ntauprimerain des ert	--|--⌫-|-|--------|---⌫--|
poruisetersesfreresqu ila	--|------|--|-----|--⌫|-|
habitoientsi	---------|-|
c omil lauo it	-⌫-|-||---⌫-|
acostume lasotil	|------|-|--|-|
parla uolen te	--|-|-----⌫-|
no streseignorlo	--⌫---|------|-|
iorde sa findo n t	--|-|-|--|--⌫-⌫|
pa rlailaelsetsilor	--⌫--|-||--|-|-|--|
filo ez et ent endez	--|-⌫-|-|---⌫----|
la darraienesen t ence de moiqui sui	-|--------|---⌫-⌫---|-|--|--|--|
uostreperesqu arien edot	-----|----|--⌫-|-|-⌫|--|
mie quequantiemepartiroideuos	--|--|----|-|-|-------|-|--|
quenosiam aisencest siecle	--|--|---⌫--|-|---|-----|
entreu eoir nosdoiomesmarmeme	------⌫---|--|------||---|-|
contraintque ie	--------|--|-|
trespass e	--------⌫|
deceste uiequar ie ai	-|----|--|---|-|-|
tres pass éyyanzetsisu i	----⌫----⌫-|-|--|-|-|--⌫|
enlan cisq uemeainsi	-||-|----⌫---|----|
parlasainzanthoi nes	----|----|------⌫--|
ases freresq ui	|--|-----|-⌫-|
multfurentdolent	---|-----|-----|
et tristes	-|------|
delapar ole	-|-|---⌫--|
etbi enen firentsemblant qu aril	-|--⌫-|-|-----|-------|--⌫-|-|
ploroient et demenoien tgrant	--------|-|---------⌫|----|
dueletsi l a c oloi entd e totesparz	---|-|-||-⌫-⌫----⌫--|-⌫|----|---|
ausicoms ildeustma intenant	---|--||-|----|--⌫-------|
moriretli sainzhomlo r	----|-|-|----|--|--⌫|
commandoitm ultli eme nt au si com s	---------|-⌫--|--⌫---⌫-|--⌫-|--||
d eu std eg uerpirestrangescontrees	-⌫--⌫-|-⌫--⌫-----|--------|-------|
etalerenlasoe proprecon tree qu	-|---|-|-|--|-----|---⌫---|-|
i lde guerpi ssent	-⌫|--⌫------⌫----|
lesmalues es	--|------⌫-|
penseessi comillorauoit	------|-|--|-|--|----|
f oizdi tporg arderlor amesne	-⌫--|--⌫|--|-⌫----|--|---|-|
eussentnul eenuie	------|---⌫|----|
forsdensiuir	---||------|
ouressico mlis ainzhomles	----|-|--⌫|-|-⌫---|--|--|
auoient faites nen	------|-----|-||
aproc h assent	-----⌫-⌫-----|
le smal uaishom esqu ilaloinostre	--⌫|---⌫---|---⌫-|--⌫|-|--|-----|
sei gnor des prisoie nt e t	---⌫---|---⌫-------⌫-|-⌫|
si lordis oitmi be lfil	-|--|---⌫--|-|--⌫|--|
garde z laloi nostresei gnor	-----⌫|-|--|-----|---⌫---|
et les faizetlesbonesoures	-|--|---|-|--|----|----|
anciens homes	------|----|
si co m les	-|--⌫|--|
escritu resl estestemo ig nen tet	-------⌫--|-⌫-|-------⌫--⌫---⌫|-|
meesmesce queie uosamoneste	------|-|--|-|--|-------|
etditdetantpetitdes cience	-|--|-|---|----|-|-⌫-----|
iauoiequant ilotiss ifi nee	|----|----|-|-|---⌫|--⌫--|
s aparo l eli	-⌫|----⌫-⌫|-|
f rerelaparloientet	-⌫---||---------|-|
detrioi ent tantcomil	-------⌫--|---|--|-|
pooie nt quarilcuidoie nt que	-----⌫-|---|-|-------⌫-|--|
sainzho mdeustiluec	----|--⌫|----|----|
i ll o rc ontredisoit ne	-⌫|-⌫-⌫|-⌫----------|-|
uoloi t mieporles	-----⌫|--|--|--|
c ostumesqui	-⌫------|--|
estoi e ntenegypte	-----⌫-⌫-|-|-----|
quarq u antaucuns	---|-⌫-⌫--|-----|
hauzhomimoro it hommartyrs	---|--||----⌫-|--|------|
donten uoloit honor etfestefai re	---|-|-----|----|-|----|---⌫-|
etausi de tozles aut r es	-|---|-|--|--|---⌫-⌫-|
q uesi am i	-⌫-|-|--⌫|
po oientsi	--⌫----|-|
enuelop oit enlorcors	-------⌫--|-|--|---|
drasnenel e nterroitlon mie	---|-|-||-⌫-------|--|--|
metoi tlenensorliz qui	-----⌫|--|----|--|--|
f aireestoien tator nez	-⌫---|-------⌫|----⌫--|
dedenzlesma iso ns si lesgai toient	-----|--|--⌫---⌫-|-|--|---⌫-----|
c ostu mesteno ien t il agranthonora	-⌫----⌫--|----⌫---⌫|-||----|----||
elsquantil	--|----|-|
enmo roitaucuns	-|--⌫---|-----|
deceproiamult saint anthoines	-|-|----|---|----|--------|
leseuesques quillopueple	--|-------|-|-|-|-----|
chatiassentdece etdeisse nt	----------|-|-|-|------⌫-|
cestecostume	----|------|
mieloi auxneadeu	--|---⌫--|-||--|
plaissantnebelle	--------|-|----|
propheteet lipatr iar c h eauoient	-------|-|-|----⌫---⌫-⌫-⌫|------|
est é mis el	---⌫-|--|-|
s epucre sic omil	-⌫-----|-|-⌫-|-|
biens auoiente tnostresirefu	---|-⌫------|-⌫|-----|---|-|
las epultu reiuquesautierz	-|-⌫------⌫-|-----|-|----|
ior qu ilsereleua et	--|-|-|-|-----|-|
grantuicesacels	----|----||---|
egy ptequilor morz n	---⌫--|--|--|---||
enseuelisso ien tmiema i ntenantqu e	-----------⌫---⌫|--|--⌫-⌫---------⌫|
enerentpartiparcesparolesfu	-|----|----|--|--|------|-|
os tez limauaisusages	--⌫--|-|-----|-----|
del acontree etcommencerent a	-|-⌫|------|-|-----------||
m etreles m orzen terre e tae nfoir	-⌫---|--|-⌫--|-|----|-⌫||-⌫----|
etapresrendirentgra ices et	-|----|--------|---⌫---|-|
loanges an ostreseignor	------||-⌫----|------|
sai nt anthoines	---⌫-|--------|
qui cre mi celes	--|---⌫-|----|
costumesetdota	-------|-|---|
qu ie nsine	-||-⌫--|-|
garda ssentdont ieu osa i	-----⌫----|---|-|-⌫-|-⌫|
co nté se	--⌫---|-|
p artide ses freres	-⌫---|-|--|-----|
quialu iesto ient uenu de totes	--||--⌫|----⌫---|---|-|----|
parz si s enralael	---|-||-|---|-|
par font d esert	---⌫---|-⌫----|
asonhabitacle apres ce	|--|--------|----|-|
unpetittens	-|----|---|
quant iluit	----|-|--|
quel agr an t	--|-⌫|--⌫--⌫|
u eillescelapesantiss oitet	-⌫-------||----------⌫--|-|
apre ssoi tsesmembres il	----⌫----⌫|--|------|-|
yysuensfr eres quiyyanzauoient	-|----|--⌫---|--|-|--|------|
arestépres de	------|---|-|
luiet mult	--|-|---|
uo lentiers	--⌫-------|
lau oientserui ensa	|--⌫----|----|-|-|
uiellescesi	--------|-|
bel frerenostre	--|----|-----|
sir e ma semon se tbien sachiez	---⌫|||-----⌫|-⌫|---|------|
que iec ouoitmult a auoir	--|-|-⌫----|---||----|
lesc elestiauxc hoseset	--|-⌫--------|-⌫----|-|
uo smi tres	--⌫|-|---|
chierenmigardezqu euosne	----|---|-----|--⌫|--|-|
perdez lo trauai l queuo sauez	-----|-|------⌫|--|--⌫|---|
soffertpars i lo nctens	------|--|-⌫|--⌫-|---|
quaren mult	---|-|---|
termelepoez	----|-|---|
uosperd reuos	--|----⌫-|--|
deu ezcuider	---⌫-|-----|
ded enzuozcuersqueuozl	---⌫--|--|----|--|--||
aiezprimescommencié asoff rir	---|-----|---------||----⌫--|
sicroistra la	-|-------|-|
forceauostre bone	----||-----|---|
uolent esi con uos l auez	------⌫|-|--|--||---|
c omenc iéuoscognois siezbienles	-⌫-----⌫--|--|-------⌫---|---|--|
mauuaiesagaisdelennemiet	-------|----|-||-----|-|
maint esfoiezauezueusesc rueuses	-----⌫-|----|---|--|--|-⌫------|
forcesetse sfelonnie snos tre	-----|-|--⌫|--------⌫|---⌫--|
seignor cr iez merci	------|--⌫--|----|
et lacreancede	-|-|------|-|
sonsaint isme nom	--|-----⌫---|--|
enfichiezen uospenseessineuos	--------|-|--|------|-|-|--|
p or ramalfaire li	-⌫--⌫-|--|----|-|
n egreua nce ets i	-⌫|-----⌫--|-|-⌫|
uossouienge	--|-------|
mesamonestem enzet	--|---------⌫--|-|
demespa roles	-|--|--⌫----|
ets i uossouiegnedece ste u iequi	-|-⌫|--|-------|-|--⌫--|-⌫-|--|
siestdeceuab le	-|--|-------⌫-|
sisachiezbie nque	-|------|---⌫|--|
l i ce lestel	-⌫|--⌫-----|
loi eruosen seron tdonéen uie	---⌫-|--|-|-----⌫|----|-|--|
parmen able eschiuezatotuo p ooirla	------⌫---|-------|---|-|-⌫---|-|
compaignie decelsqui	---------|-|---|--|
heentla loinostre	----|-|--|-----|
seignor siles	------|-|--|
haezausicomie a i fai tqua r	---|---|--|-|-⌫|---⌫|---⌫|
unquesnamailor secte porcequ	-----||---|--|----|--|-|-|
sunt ennemi	---|-----|
iesu cris tloseign orquitotfi st	---|----⌫|-|-----⌫-|--|--|--⌫-|
s oie ze n te n t ifdet ozuos	-⌫---⌫|-⌫-⌫--⌫-⌫-⌫-|-|-⌫-|--|
pooier sd egarderses	------⌫|-⌫|-----|--|
commendemenzsi	-----------|-|
quelisaint uosrecoiuent	--|-|----|--|--------|
enparmena blegloiresi com	-|-------⌫--|-----|-|--|
lor enmiset	--|----|-|
lor co gnoissablesquant	--|--⌫----------|----|
uozamesser ontdes corsissu esmi	--|---|---⌫--|--|---|----⌫-|-|
belfilde ceque	--|--|-|-|--|
dit o re etautrefoiz u os s euiegne	--|-⌫-|-|----|---|-⌫-|-⌫------|
et fermementlaiez	-|--------||---|
en uospen seesetle	-|--|---⌫---|-|-|
met ezaoure	---⌫-||---|
etse uos unques menmastes neuos	-|-|--|-----||-------|-|--|
u olezchose	-⌫---|----|
f aire que ie u osdie	-⌫---|--|-|-⌫-|--|
necommandeme ntie	-|----------⌫-|-|
uosm enfoezenterre	--||-----|-|----|
quant l enmesera	----||---|---|
demon cor s	-|--|---⌫|
partieets in e laissiezsauoir	-----|-|-⌫|-⌫|-------|-----|
sepultur e	--------⌫|
e tporce repaire ra iie auosquei e	-⌫|--|-|-------⌫--⌫|-||--|--|-⌫|
neuoilmie que	-|---|--|--|
pointdemon	----|-|--|
cors s o itportez enegyp tequilne	---|-⌫-⌫-|-----|-|----⌫-|-|-|-|
meg ardent selonclauaine	-|-⌫-----|-----|-|----|
cos tume que ielor ai	---⌫---|--|-|--|-|
tantblasmee	---|------|
me seruent	-|------|
par la mauaissehono r decests iecleie	--|-|-------|----⌫|-|---|-⌫----|-|
ai bien f ianceennos t re	-|---|-⌫----|-|---⌫-⌫-|
sei gnor quanioique	---⌫---|---||-|--|
deuraresuscite r	----|---------⌫|
resu sci tera san z	----⌫---⌫---|---⌫|
corruptionma	---------|-|
uesturedonrezu oslaougel	------|-----|-⌫-|-|-|-||
adeuise raianathasiele uesque	-------⌫--|--------||-⌫-----|
donrezu oslodra psorquege	-----|-⌫-|-|---⌫|--|--|-|
etunede mesafubleu res et	-|--|-|--|-------⌫--|-|
aiezlah aire sila	---|-|-⌫---|-|-|
etre tenez	-|--⌫----|
quantsainzan thoineso tsiparl é	----|----|--⌫------|-⌫|-|----⌫-|
etsa chosedeuis ee ilbai ssa	-|-|----|-----⌫-|-|---⌫--|
se sdeciples puis si	--⌫|-------|---|-|
estendises	------|--|
piezetregardamultliem ent la	---|-|------|---|----⌫--|-|
etl essainzangesqui por lui	-|-⌫-|----|----|--|--|--|
uenoientdontren di	-------|---|---⌫-|
lameen lu i et	|--|-|--⌫|-|
fuensemble lessainz	-|-------|--|----|
perese nparmenabl egloire	----|-⌫|---------⌫|-----|
sicomlesesc ritureslocontent	-|--|--|---⌫------|-|------|
dient sideci ple s	----|-|----⌫---⌫|
tinrentbiens escomm andem enzet	------|---|-⌫-|----⌫-----⌫--|-|
gar derent et	---⌫-----|-|
si enfoirentso n	-|--------|--⌫|
si comillauoientne	-|--|-||------|-|
unquesnu s	-----|--⌫|
hom neso t ou sescors iuttresqu	--|-|--⌫|-|--|---|--|-----|
hui cestior fo rssidui	--|---|--|--⌫-|-|--|
disciple ne	-------|-|
nesetenco re apre s	-|--|----⌫-|----⌫|
cequ e li c orssainzfu	-|--⌫|-|-⌫--|----|-|
misenterre	--|-|----|
liduidiscip ledonnerent	-|--|------⌫-|--------|
l e suestemenz sicom lisainzhom	-⌫-⌫|--------|-|--|-|----|--|
auoitcommande ́ayy euesques	----|--------⌫||-|-------|
q ui mult s enesioirentet por	-⌫-|---||-|--------|-|--|
enmor de saint anthoineles	----|-|----|-------|--|
gar derentengran tsaintee	---⌫-----|-|----⌫|------|
fi nasainzantho ineset	--⌫-|----|-----⌫---|-|
deceste uiem ortel	-|----|--|-⌫----|
comp aignie iesucristsicomcil	----⌫-----|---|----|-|--|--|
quidessanfancelocommencaa	--|--||------|-|-------||
des er uirettoz tensserui	---⌫--⌫--|-|--|---|----|
nostreseignorta nt comi l	-----|------|--⌫-|--|-⌫|
fuen ui een	-|-|--⌫|-|
