s eignoursoez chancon	-⌫-------|--|------|
ai nsanironsan fran ceabiauuaiz	--⌫-|-|----|-|----⌫-||-------|
senoust ro uons hugonbien iertgerred onné	-|---|-⌫--⌫---|----|---|---|------⌫----|
dir elicouanrait etpar	---⌫|-|--------|-|--|
uoira montrer	---||------|
por quoiti ent uostret er re et uosgransher itez	--|---|--⌫--|-----|-⌫--⌫-|-|--|----|---⌫---|
anl acorta ch arlo nli sera	-|-⌫|---||--⌫----⌫|-|---|
bie nmoutré	---⌫|------|
reconnestra uersmoianchanppriué	----------|---|--|-|----|-----|
silourandraiau	-|--|------|-|
ro icontrai torproué	--⌫|--|----⌫--|-----|
biau sfilzce d it	----⌫|---|-|-⌫-|
lipere sdexuous	-|----⌫|--|---|
cr oissebonte	--⌫----|----|
maisiamaisnanterra abiauuaiz lacite	---|-----||------||-------|-|---|
s ordeuoetotperdre	|-|----|--|-----|
et terre et her ite	-|----|-|---⌫--|
ta ntqueie aie estéou leuou dexfu	--⌫----|-|--|----|-|--|-|--|-|
etbasiélesepulc reouies usfupo sez	-|-----|-|------⌫-|-|---⌫-|-|--⌫--|
ieiraice dexp lai t car ien	-|---|-|--|-⌫---⌫|--|-||
iui gpor el	|--⌫|--|-|
ditforques li	--|------|-|
normansmoutaue zbienparlé	------|---|---⌫|---|-----|
irons ouous	----||---|
uolantierse t	---------|-⌫|
ca ntauron slesepulc re	--⌫-|-----⌫|-|------⌫-|
baisi éet	-----⌫-|-|
lat erreou i esucrisfunez	-|-⌫---|-|-⌫--|---|-|--|
parcaideuers	--|--|-----|
brandit uous feronsbiensigler	------|---|-----|---|-----|
puisa n iron s	---|-⌫|----⌫|
anfrance leregne	-|-----|-|----|
latrou erons hugo nle tr aitorproué	-|----⌫----|----⌫|-|--⌫----|-----|
moietcel zquei	--|-|---⌫|--||
seseroiti l par moi	-|-----|-⌫|--|--|
anu e rshu g onmontré	---⌫-⌫-|--⌫-⌫-|------|
queil uou sa ua ndupa r grantdesle aute	--|-|---⌫||--⌫--|--⌫|----|-----⌫---|
et quant milesl anta ntforcon aapel e ́	-|----|----||----⌫-|-----||----⌫-⌫|
e tlidu s debiauuaiz	-⌫|-|--⌫|-|-------|
a mout mercié	|---|------|
m ou tf u la i oiegransdouricheducorson	-⌫--⌫|-⌫|-|-⌫--|----|--|----|--|----|
quantbasi le sl e	----|----⌫--⌫|-⌫|
so uttei l io eno t	--⌫-|---⌫|--⌫||-⌫|
mout anfi tliechiereporamor	---|-|--⌫|--|-----|--|---|
lisonauoiretsonor	-|--|----|-|--|-|
de biauuaizoroezmarais on	-|-------|-|--|-|----⌫-|
milesmaaquitee mater re etmon	----|||------|-|---⌫-|-|--|
an randrap erlui le ger r andon	-|-----|-⌫-|--|-|---⌫-⌫----|
chargeraiuousmes ozet t res t ozmes	--------|---|--|-|-|-⌫---⌫-⌫-|--|
si aniront anfrance au	-|-|----|-|-----|-|
t rai to r hugon	-⌫---⌫--⌫|----|
etlitour o ntbiauuai zcui c	-|-|----⌫-⌫-|-------⌫|--||
anpoitn e qui non	-|---|-⌫|--|--|
si re c edit lidusiaine loupa nsero ns	--⌫-|-⌫|--|-|--|--|-|--|--⌫-----⌫-|
ieneueulriensmeffaresormon signo rcharlon	-|-|---|----|------|--|--|-----⌫|------|
bienc ui tdroitnousfera quant no usillecuanrons	---|-⌫--⌫|----|---|---|----|--⌫-|----|------|
tan tamis ou	---⌫|---|-|
paisan uiron	---|--⌫----|
que droi tnousfer a charles cedeuplaitetces	--|----⌫|---|---⌫|------|-|--|----|-|--|
ori raa usepu lcread eubeneison	-|-⌫-|-⌫|----⌫---||-⌫-|-------|
puisironsdroitan fr anceleplusdroitquepouron s	---|----|----|-|--⌫---|-|---|----|--|------⌫|
etbasileslorditetie u ousfai sun	-|------|--|--|-|-|-⌫--|---⌫|-|
t outa ba ndon	-⌫--||--⌫---|
tantlor fitgrans	---|--|--|----|
presansli ri chesrois	------|-|--⌫---|---|
o r etargentlorbail lent asextierset	-⌫|-|-----|--|----⌫---||-------|-|
et cil ourent la nefysorede cunibre s	-|--|-----|-|--|----|-|-------⌫|
etnormantifontmetreet	-|------||---|----|-|
lor painetl or	--|---|-|-⌫-|
lorescusetlora rmes lor espe ez	--|----|-|--|-⌫---|--|----⌫-|
lidusa ntre an lanefforques	-|--|-⌫---|-|-|--|------|
laue isiés	-|--⌫-----|
co nquesteilne	|-⌫----|---|-|
plorentcilde laterreet	------|--|-|-|----|-|
uauaso retpri nce	------⌫|-|---⌫--|
poramor demilonle	--|---|-|----|-|
d amoisiaulnobile	-⌫--------|-----|
q ui l ora	-⌫-|-⌫-||
tozlorfie zetlor	--|--|---⌫|-|--|
terresconquis ez	-----|-------⌫-|
ez uouscorant	-|---|-----|
uenir oria nt e	----|----⌫--⌫|
la filleau roibasillelabelle l	-|----|-|--|------|-|----||
ue n ueestau	--⌫-⌫-|--|-|
riu ageouli quinze meschines	---⌫--|-|-|-----|--------|
d eua nttoutes lesautr essapeliceacorcie	-⌫---⌫-|-----|--|----⌫-|-|-----|------|
i rieeetesch au feeetformentc oreci e	-⌫---|-|----⌫--⌫--|-|------|-⌫-----⌫|
o uelle uoi tmil on ahaute	-⌫|---|---⌫|---⌫-||----|
uoi zlicrie	---⌫|-|---|
con mentirois an uo usdamois iaus sire m iles	---⌫---|----|-|--⌫-|------⌫---|---|-⌫---|
lasiezarie rdolanteetesmarrie	-----|----⌫|------|-|-------|
mon pere moncouragen e die	--|---|--|------|-⌫|--|
iai uousaiiedo nné et mesmarset mes	--|---|-|-|--⌫---|-|--|---|-|--|
et mesrichesdon ionsetmes gran smenandies	-|--|-----|---⌫---|-|--|----⌫|--------|
san siuous aliésceser oit uilonnie	|--⌫-|---|-----|-|---⌫--|-------|
ieu ousdon nai mamourseiour	-|-⌫--|---⌫--||----|-|---|
que s ai uenistez	--|-⌫-|-------|
etc arme p le u issiezuo ant l abaronnie	-|-⌫-|-|-⌫--⌫-⌫-----|--⌫--|-⌫|-------|
quant uousaurois conquisu osmarche s etuosui l l es	----|---|-----|------|-⌫-|------⌫|-|--|--⌫-⌫-⌫-|
puisreuenezarieressim	---|------|------|-||
espouserezsire	---------|---|
uous cen e fates par deulefil	---|-|-⌫|----|--|--|-|--|
sampresme noerai dedans	------|-|-----|-----|
laingue do rbie	|-----||-⌫---|
b ellecea ditmilescene fer oisuous	-⌫---|-||--|----|-|-|---⌫--|---|
seuostre peresuiautetmes	-|-----|----|----|-|--|
ieuous pleu irai ia i uoant	-|---|----⌫---|--⌫|----|
labaronnie	-|-------|
milesce ditliroisoruous	----|-|--|-|---|-|---|
s oitotroie	-⌫--|-----|
biausfilzcedist	----|---|-|---|
lidus oruien sa sil otrie	-|--|-|---|-|-||----|
mileslamai ntena n tet iur eeetpleui e	----|||---⌫-----⌫-⌫|-|---⌫-|-|-----⌫|
l apa nraa fame sede xlidonneuie	-⌫|--⌫--||---|-|--⌫|-|----|--|
mi le suousanirezsaue zde	--⌫--⌫|---|-|---|----⌫|-|
quoiu ouspr ie	---|-⌫--|--⌫-|
seuousauezbes oigmandezmoimon aie	-|---|---|---⌫--|-----|--|--|--|
et ieuoustrametrai demes	-|-|---|--------|-|--|
homesui nt	----|--⌫-|
mi les an traan lanefdurement	--⌫--|--⌫--|-|-|--|-------|
puiss a npoignenta nmer	---||-⌫--------|-⌫|--|
terr egerpie	----⌫|-----|
orianteremetmout ioia n s et	------|----|---|----⌫-⌫|-|
et cilnagentanm erc oement a	-|--|-----|-|-⌫-|-⌫-----||
dro i t uers	---⌫-⌫|---|
i erusa l em ontl or uoeacolie	-⌫-----⌫-⌫-|--|-⌫-|--|-----|
orle scondue deisli fissaintemari e	-|--⌫|-----|---|-|--|-----|----⌫|
mai siusqua	---⌫|----||
pouor ez conm ent i l sep a rtirent	--|--⌫-|----⌫--|-⌫|-|-⌫-⌫------|
orrediraidugonetdesa conp aigni e	-|------||---|-|-|-|----⌫-----⌫|
qui remetab i auuaizsienoutlabalie	--|----||-⌫-⌫-----|-|-|--|-|----|
faitunefosseetl a	---|--|----|-|-⌫|
dameanfoie	---|-----|
por cequeilne	--|-|--|-|-|
puetdel iauoirbalie	---|-|-⌫|----|----|
p uteceadithu gue stant sauezdeboidie	-⌫--|-||--|--⌫---⌫|---|----|-|-----|
anchari ém au ezde	-------⌫-||--⌫-|-|
cenedotiemie	-|-|--|-|--|
mo rtee st ezpar mon	--⌫--|-⌫--⌫-|--|--|
chief nan port erez la uie	----||-|----⌫---|-|--|
respontqueme uiaus tu	------|--|-|----|-|
iaiestumes conperesdemona nfant	--|-|-|--|-------|-|--|-⌫----|
si iemuran tormant m arme	-|-|--|-|------||---|
iusqu au ceint anlaterreanf oie	----|-|----|-|-|----|---⌫--|
m ainiuen tmoi	-⌫-------⌫|--|
la sardres co le ureset uermines	--⌫------|--⌫--⌫---|-|-------|
onques mais nefudame	-----|---|-|-|---|
a te il hontebal ie	|--⌫-|----|---⌫-|
car me tra nchela testesiiertfais mesiuis es	--|-|---⌫---|-|----|-|---|---|--|----⌫-|
