p uisloradist qu	-⌫--|--||---|-|
e nsonanssentzzhonme estrange	-⌫|---------|-|----|-------|
quiest m essershons	--|--|-⌫-|---|---|
sansfiance	---|-----|
r euoise sanenson	-⌫-----||-|-|--|
autrefan mes oit maris	----|---⌫-|-⌫--|----|
et ie demouraiciparmi	-|-|-------|-|--|-|
s ansp echiedelesmonmari	-⌫--|-⌫----|----|--|---|
se fairepu et iecroiquila	-|----|--⌫-|-|---|-|-||
zzau t r efanme	-|--⌫-⌫-⌫|----|
m ieusua ut q ue le faceoccirre	-⌫---|--⌫-|-⌫-|-|---|------|
ces ui saigesqu il	--|--⌫-----|-|-|
a benignes	|-------|
se tuicon soilne mel oemies	--⌫--|---⌫---|-|-|-⌫-|---|
lanoblesce deso ncora ig e	-|-------|-|--⌫|----⌫--⌫|
la biautedelui moi enraige	-|-----|-|--|--|------|
sagraceotroiramonf olaige	-|----|------|--|-⌫-----|
roines uisbienlepuisfaire	----|-⌫--|---|-|---|----|
ar icheh onme laittre s tout fa ire	|-⌫---|-⌫---|---|---⌫-⌫---|--⌫--|
ieli donr ai	-|-|----⌫-|
gransdons anso is	----|---|----⌫-|
et lif iancerai	-|-|-⌫-------|
dieusplesgesend o nrai	----|------|-|-⌫-⌫---|
que mociss entcene le pai	--||-----⌫--|-|-|-|--|
qu edistuuadou testuriens	--⌫|--|-|-|---⌫--|-|----|
tesm aris ia	--|-⌫---|-|
n ans aurar iens	|-|-⌫---|-⌫---|
setc ilt anmanra	--|-⌫-||------|
ensonpai slasi seras	-|--|---⌫|-|-|----|
parlescitesorgueilmanr as	--|--|----|------|----⌫-|
etla gensdeti noncera	-|-|---|-|-|------|
fanme que i osep	----|--|-⌫---|
aamenee conio uuancel	|-----|--|--⌫------|
qu iest sansfan me bien puet	--⌫|--|---|---⌫-|---|---|
cedoit r auir quifait	-|---|-⌫---|--|---|
donc lai raiiema r oiaute	---|---⌫--|-|-|-⌫-----|
ue requemausestmes	--⌫-|--|---|--|--|
ete s tra ngese stmes pai s	-|-⌫-⌫---⌫---|-⌫-|--|---⌫|
etmesroiaume sest nians	-|--|-------⌫|--|----|
au regart desi	-|-----|-|-|
be l an fant	--⌫|--⌫---|
anmours estgrandededans	------|--|-----|-----|
po urcegrantcho se nelairaimi	--⌫-|-|----|---⌫-|-|-----|-|
etauecceieapanrai	-|---|-|-|------|
estrange etquenoi str erai	-------|-|------⌫---⌫---|
lesme stierslescultiu emens	--|--⌫-----|--|------⌫----|
lesmenie res de	--|-----⌫--|-|
i ueriegent	-⌫----|---|
qu iles chosesm ap o rter oit	--⌫|--|-----||--⌫-⌫----⌫--|
de toutlemo nteto tro iroi t	-|---|-|--⌫-|-|-⌫---⌫----⌫|
maisque nanmas selei ouuancel	------||-----⌫-|-|-⌫-------|
lebelanfantle	-|--|-----|-|
i euosdiroie	-⌫|--|-----|
toutu oscuit	---|-⌫-|---|
aie etai n selui	--|-|--⌫-⌫-|--|
dieusconorbi en marie e	----|--|-|--⌫-|-----⌫|
iu squese nc ielse raleuee	--⌫----|-⌫|-⌫--|--⌫-|----|
die usqua i	---⌫-|-|-⌫|
ie disti l manmanra	-|---|-⌫||------|
best es sauua igesenla uoie	----⌫-|-----⌫---|-|-|---|
d epiecent et deuorent	-⌫-------|-|-------|
nunsnan eschapesansdemore	---||-|------|---|-----|
n unspar aillours	-⌫--|--|-------|
nepuetpasser	-|---|-----|
qui weltenlor pais ale r	--|---|-|--|---|---⌫|
lesfai tbon	--|---⌫|--|
a elles seconuientconbatre	|----|-|-------|-------|
quineweltmoriren lapl ace	--|-|---|----|-|-|--⌫--|
fanmes uine a batillier	----|-⌫-|-||--------|
ien ai aprins	-||-|-----|
maisquafil er	-----||---⌫-|
maiss e ie	---|-⌫|-|
sui slesmonanmi	---⌫|--|--|---|
enson g irone tdelesli	-|--|-⌫---|-⌫|----|-|
parles perisie m an	--|--|----|-||-|
nul lechoseet nedoute rai	---⌫-|----|-|-|-----⌫--|
carlui enbraciéa uerai	--|--|--------|-⌫----|
doutesoulemant	----|--------|
de mon marile b elanfa nt	-|--|---|-|-⌫-|----⌫-|
io sep doutrai etauenant	--⌫--|------|-|------|
distque tesmarisse ra	---|--|--|----|--⌫-|
certes roine t rop d is	-----|----|-⌫--|-⌫-|
r egar deladesl oiaute	-⌫----⌫-|-|----⌫-----|
q uefair ewelset niset e	-⌫-|----⌫|---|-|-----⌫|
fuile pe chieainsquesoitfais	--|-|--⌫---|------|---|---|
an demantiersque ilte lait	--⌫------------|-|-|---|
ainsisadistdeuantses	-----||---|-----|--|
d roisetpitieschasteses	-⌫---|-|-----|------|-|
droituredistn	-------|---||
estmie d r ois	--|--|-⌫-⌫--|
anmoursli semontsi estuoi r	------|-|-----|-|--|---⌫|
disttu asmanti	---|-|-|----|
iaferoi tcontre so n m ari	-|-----⌫|-----|--⌫|-⌫--|
li ma usda nmo ur sia	-|--⌫-||-⌫---⌫--⌫|-|
lalaissoit	-|-------|
pour texchoses qu ellepansoit	---|--|-----|-|---|------|
quantz z i ou ru istle iouuan cel	----|-⌫|-⌫--⌫|-⌫--|-|------⌫--|
qui li appar u t tropplus bel	--|-|-----⌫-⌫|---|---|--|
plusqueanco rnelauoi t ueu	---|--|----⌫|-||----⌫|--|
qua ntenbrasaliest ins feus	---⌫-|------|-|---⌫--|---|
donc de s anour	---|-||----|
li re sou u int	-|--⌫---⌫-⌫--|
ettou t erougeen deuint	-|---⌫-⌫|----|-|-----|
d anmour toutes i embras eelle	|-----|----|-⌫|------⌫|---|
conla petite e stancelle	--|-|-----|-⌫--------|
quireponn ueesten	--|------⌫-|--|-|
suetra uiuer quantliuens	---|--⌫----|----|-|---|
etsauigourtanto strepanre	-|-|-----|-----⌫-|------|
eur edoufe u manre	---⌫|--|--⌫|----|
gransfe usquitrestoutart	----|--⌫-|--|-------|--|
p a rleuentqu iso uffléi a	-⌫-⌫|-|---|--⌫|--⌫-----|||
a i nsislqui fu pe tite	-⌫-⌫---||--|-|--⌫---|
qu i lainguissoitrauiuer ueisses	--⌫|-----------|------|------|
puisqu ell e	-----|---⌫|
uistlebela nf ant	---|-|--|-⌫--⌫--|
toute a mbrasede	----|-⌫-----|-|
soncors gent	--|---|---|
parauant u r ef uencel	--|-----⌫-⌫-⌫|-⌫|-|--|
plusbiaus lianfesde	---|----|-|----|-|
tupeussesbienace liourdi r e	-|------|---||--⌫|---|--⌫-⌫|
pou rniant nart	---⌫|----||--|
m ilaroine	-⌫|-|----|
etlipeu ssespardonner	-|-|---⌫---|--------|
so npechiepouriosep biaute	--⌫|-----|---|----|-----|
do nc l esgardaquant uoi t sonuis	--⌫-||------|----|---⌫|--|--|
en lui s a rest e etestarc ist	-|--||-⌫----⌫|-|------⌫--|
sonoilalanenela n muet	--|--||-|-|-||-⌫|---|
enq uelque leu que i osepm ue t	-|-⌫-----|--|--|-⌫---|-⌫--⌫|
bien li samble que	---|-|-----|--|
e lleuoice	-⌫--|----|
uisaige dedieu e tquenoisse	------|-|---|-⌫|--------|
son cue rsoncor sconfuer	--|---⌫|--|---⌫|--|---|
ne puet mouoirdou	-|---|-----|--|
le scheuox	--⌫|-----|
uoit desor son	---|----|--|
ne mi p ei gniésamblant	-|-|-⌫--⌫----|-------|
dieus fait el lec	----|---|--⌫-||
estient p eig n ié	------|-⌫---⌫-⌫--|
quelserientilet	---|------|-|-|
sesiex ueo it resplandissans	--|--|---⌫-|-------------|
pl usquestoille	--⌫-|-|-------|
e trelui sans	-⌫|-----⌫---|
etueoits a pet itebouche	-|----|-⌫|---⌫--|-----|
cui ne sousfeistsenelat ouche	--|-|--------|-|-||--⌫----|
et n elabai se etacole	-|-⌫|-|---⌫-|-|----|
sesdois sesbrasetses m ains lo e	--|---|--|---|-|--|-⌫---|--⌫|
aluidonques	|--|------|
enestuen ue	-|--|---⌫-|
so ncol lil as sedesam ainnue	--⌫|--|-|-⌫--⌫-|-|-|-⌫--|--|
dist b iausdosa nmis	---|-⌫---|--|-⌫---|
proique dorm ésoumi	---|--|----⌫--|-|-|
de uo streanmoura r	-|--⌫---|-----|-⌫|
etenr aige	-|---⌫---|
sec our résmoi	---⌫---⌫---|--|
si seréssaiges	-|-----|-----|
ieuosd onrai mult	-|--|-⌫----|---|
gra nt tresor	---⌫-|-----|
maisi aie de	---||--|-|
uosl anm our	--||---⌫--|
iamesm arismotn a nsaura	-|--|-⌫---|--||-⌫|----|
ne cheu aliersquanmacou rt	-|----⌫-----|-|-|-|---⌫-|
ied irai quemalade sui	-|-⌫---|--|-----|--|
li quexacorder	-|---|------|
ainsnewolt	---|-|---|
que ala dame plo ut	--||-|---|---⌫-|
et d i stmes	-|-⌫-⌫-|--|
sires aba illié	----||--⌫-----|
toutquanquilaet	---|-----|-||-|
etriensne sest de	-|----|-|---|-|
ensamaison	-|-|-----|
tou tmebai lla	---⌫|-|---⌫--|
e ttouta i en ma poeste	-⌫|---|-⌫|-|-|-----|
forsquetois afanmeaga rder	------|--|-⌫|----||--⌫---|
donquesconmant ce mal ferai	------|------|-|--|----|
encontredi euetpec herai	-------|--⌫-|-|---⌫----|
ainsi sla fa nmezz	-----⌫|-|--⌫--|-|
chacuniour	-----|---|
tantoi tlanfantque	------⌫||-----|--|
preistsanmour	-----||-----|
estmulttres	--|---|---|
iouuancelquant ilsant ante	--------|----|-||---⌫---|
ace que dist tostmet oit	|-|--|---|---|---⌫--|
lanfesadeslarefusoit	|----|---|-|-------|
et liadistdamero ine	-|-||---|---|--⌫--|
cequeditesne	-|--|----|-|
fer oiemie	---⌫--|--|
se n ousauoituostresma ris	-||-|-----|------|--⌫--|
so usauroit	|-⌫|------|
dieusde paradi s	----|-|------⌫|
q ue ienew eilmiecourrecier	-⌫-|-|-|-⌫--|--|---------|
ostés ostés uostre l oier	-----|-----|-----|-⌫---|
queiatelchos e neferai	--|-|--|----⌫|-|----|
mieus ain mori rian ou	----|--|----⌫|-||-|
uirgi niteaiaanmour	-----⌫---|-||-----|
ia netrahirai mon	-|-|-------|--|
etneferaiia puterie	-|-|----|-|------|
plaitt antconsoieenuie	----|-⌫--|--|---|-|--|
iourauintentra	---|----|----|
iosepe nmaison etfait a	----|-⌫|-----|-|---||
ouureque a	----|--||
luiapartint	--|-------|
tous seuls	---|----|
f ularoine i	-⌫|-|----||
qu ibiensauoitqu il luecques fu	--⌫|---|-----|-|--⌫-------|-|
souuant lespie carmult	------||----|--|---|
tout c oieme ntlaiansentr a	---|-⌫-----⌫-|-----|----⌫|
que nousout nun s	--||-|---|---⌫|
puislaraina	---||-----|
desar oube	-|-|-⌫---|
quetesambleies	--|-|-----|--|
pou rpancé s	---⌫-------⌫|
dorauecmo i	--|---|--⌫|
faiquese nés	--|--|--⌫---|
parlela se nco rl etenoi t	--|-|--⌫|-⌫---⌫|-⌫|-----⌫|
quantil l oitsi s	----|-||--|-||
li ma ntexen	-|--⌫---|-|
mai nslaroi ne	---⌫-|-|---⌫-|
demour aio seplesaintime	------⌫|--⌫--|-|-------|
on quesnelapout escouter	--⌫---|-|-|---|-------|
fuist forsde l ostel	----|---|-||----|
aueu lafame	|--|-|---|
laues teurene	-|---⌫----|-|
quasaflanme	-||-|-----|
ios e pne s	---⌫-⌫|-||
acordera mie	-------|--|
despitelanenierts	------|||-||---||
sia huchié	-||------|
azz g ra ntson	|-|-⌫--⌫-|--|
tous leshonmesde	---|--|-----|-|
eus enapert	--|-|----|
messire sac he tailser	--|----⌫|--⌫--⌫-|-|--|
qui estiuispour	--|--|---|---|
gesi st etfeistc esdelis	----⌫-|-|----|-⌫-|----|
a mo is en esticil	|--⌫||-|--|---|
p our cequ omoi feist cesi eu s	-⌫--|-|-||--|----|--|-⌫--⌫|
etsimedist or iestes soule	-|-|-|---|-|-----|----|
sousfrés damequeuosac ole	--------|---|--|--|--⌫--|
uostrea nmourtrest ous	-----|-⌫----|-----⌫--|
sousfr ésdame m ener mes gas	------⌫--|---|-⌫---|--|--|
quanttex mos lioi	----|--|--|-|-|
et telordur e	-|--|-----⌫|
amo iparle r	|--⌫|-----⌫|
etie me uisoule ou so i	-|-|-|-|----|-|--⌫|
et qua ncontreluin auroiepooir	-|-|-⌫------|--||-----|----|
sihuchai t ostaiueaiue	-|-----|-⌫--|---|---|
quan tilma uoisaentandue	----⌫|-|-|---||-------|
sis a nfuist e t	-||-⌫|----|-⌫|
i ouretin s	|-|-----⌫|
par lemante l etl e	--|-|-----⌫|-|-⌫|
maisleman tel deso i l ascha	---|-|---⌫--|-|--⌫|-⌫----|
partelbarast etmes chapa	--|--|-----|-||--⌫----|
l i mantiausmontrera gr antfoi	-⌫|-------|-------|--⌫--|--|
o umo i gesir uouloit	-⌫|--⌫|----|------|
qua nt messiresuenu ss e r a	---⌫-|--|----|----⌫|-⌫-⌫-⌫|
m oin o n ciélise ra	-⌫-|-⌫-⌫-⌫---|-|--⌫-|
si e nfera qua luiplaira	-|-⌫|---|-||--|-----|
pharaonsli	-------|-|
roissireuint	---|-|-----|
apreszz pouq uece	----|-|--|-⌫-|-|
cellequifuen fleeen cuer	----|--|-|--⌫---|-|---|
qu ants out	--⌫--|-⌫--|
leroiuenu defuer	-|--|---|-|---|
s anestconesgare e	|-|--|--|------⌫|
uenuetout e escheuelee	----|----⌫|---------|
etliadistrois nesaués	-|-||---|---|-|-----|
queta ntauésanmé	--|--⌫-|----|----|
aforcewoltou	|----|---|-|
et ma chaatemewo lt tolir	-|-|-----|-|--⌫-|----|
sir efai t el le	---⌫|---⌫|--⌫-|
e tieletins	-⌫|-|-|---|
ostaice mantelci	----|-|-----|-|
pourceque m	---|-|--||
anc reusiéssir e	-|-⌫-------|---⌫|
fair etel desuerie	----⌫|--|-------|
qua n tce sc hos esaoilirois	---⌫-⌫|--⌫|-⌫---⌫-||-|-|---|
qu itr o pasparoles creo it	--⌫|--⌫-⌫|-|------|----⌫-|
desafanmequeli disoit	-|-|----|--|-|-----|
sifu dou lanse tcourrecié s	-|-|---⌫---|-⌫|----------⌫|
apele rfaitsesser s	-----⌫|---|--|---⌫|
qua nt uenu sontil lo radist	---⌫-|---|---|-|--⌫||---|
ios e pquirésetmenésci	---⌫-⌫|------|-|-----|-|
