e nhaute scrieou	-⌫|---|-⌫----|-|
lortraireet	--|-----|-|
lorpasmesferir	--|-----|----|
moltredous	---|-----|
lasselemienperexm	----|-|---|---|-|
q uantuint ersoir	-⌫---|---|-----|
songedo ntforment mesbahis	----|--⌫-|------||------|
queieueoiemon singnorreuenir	--|-|----|--|------|------|
xm mes pereslotforment	-|--|----||-|------|
qu edeuant moia	--⌫|-----|--||
terre l abati	----||----|
fo rsde son cors les yyli	--⌫-|-|--|---|--|-|-|
etmoi meismesle senestre	-|--|------|-|-------|
puisuis c essa lesetcespalaisch air	---|--|-⌫-|--⌫--|-|--|-----|--⌫--|
ma intenant mesperi	--⌫-------||-----|
ceestbiensdame sesf isl i	-|--|----|---|--|-⌫-|-⌫|
r e spo ndi	-⌫-⌫---⌫--|
andemantiersqu ilparloie ntainsis	-------------|-|-------⌫-|-----|
uousgarnieret sauari	---|------|-|-----|
leslau illeotzzpriorepetit	--|-|-⌫---|-|-|-----|----|
que bierr eape llentoupais	--|-----⌫|---⌫----|-|---|
moin gn exmrecoilli	----⌫--⌫|-|-------|
le corslileuentdefroide i aue	-|---|-|-----|-|-----|-⌫--|
puisl ont cousuten grant toiled elin	---||--|-----|-|----|----|-⌫|--|
tot maintenantlonten	--|---------||--|-|
la bierre mis	-|-----|--|
etp ardesu szzmoltbiaupa ile bis	-|-⌫-|----⌫|-|---|---|--⌫--|--|
e tla contess e il	-⌫|-|-------⌫|-|
uient to t	----|--⌫|
etzz messaig edr oitanc ontreliuint	-|-|-------⌫|--⌫--|---⌫----|-|---|
damef aitil par dieuqui tot	---|-⌫--|-|--|---|--|--|
reuenus estg arniersetsauari s	------|--|-⌫------|-|------⌫|
etsia portentzzch eua llie rocis	-|-|-⌫------|-|--⌫---⌫----⌫|---|
ladam eloi t tosli mualiuis	-|---⌫||--⌫|--|-|--|-|--|
lasse di stellemesson ge	----|--⌫-|---|--|---⌫-|
est aue ris	--|---⌫--|
biens ai de u oir ce st xm mesamis	---|-⌫-|-|-⌫--||-⌫-|-|--|---|
laiantildamefu formanteffrae e	-|-----|---|-|------|------⌫|
sarobeaescorcieet	-|---||-------|-|
apriore san	|-----||-|
estmolt tostalee	--|---|---|---|
sau a ris uoitsili faitescriee	---⌫-⌫--|---|-|-|---|------|
ouest messiresd ontiesuiesposee	-|--|--|----|-⌫--|-|--|------|
distsauarisniamestier scel ee	---|------||||-------⌫|---⌫-|
u eéslecidameenla bi erre paree	-⌫---|-|-|---|-|-|--⌫---|----|
mortlaxm d ar ras	---|||-||--⌫--|
liuost reper e s	-|----⌫-|---⌫-⌫|
l ad amel oit parpoines t forcenee	-⌫|-⌫--||--|--|--||--⌫|-------|
labierrela cortine aleuee	-|-----|-|------||----|
ron tle suaires ala	---⌫|-|-----|||-|
plaieesgardee	----|-------|
freredist el lecia male colee	----|---|--⌫-|-||---|----|
uiellars b a rbe meslee	-------|-⌫-⌫--|-----|
s orne me ussede t acharengenree	|-|-||-⌫---|-|-⌫|---|-------|
g ra ntm alicon	-⌫--⌫-|-⌫-----|
te usse ia donee	|-⌫---|-|----|
de telsigno rmashui ce l io rseuree	-|--|-----⌫||-|--|--⌫|--⌫|-----|
pa r quoi i estoies erui eet	--⌫|---||-----|-⌫----⌫|-|
ha xmfr erefranshons	-|-|--⌫--|----|---|
chieremenb ree	-----|----⌫--|
la u ostreala inne	-|-⌫----|---⌫---|
ertsiben reuree	--|-|---⌫-----|
concel le fust tote enbauc emee	--||--⌫-|---|---|------⌫---|
aicet motchietaterrep asmee	|---|--|----||----|-⌫----|
et iuliien l ana susreleuee	-|------||-||--|------|
molt bell ementlen	---|----⌫----||-|
a arai sonne e	|----⌫-----⌫|
damed istilne soiéseffraee	---|-⌫--|-|-|-----|------|
carparceluiquifistcielet ro use e	--|--|----|--|---|---|-|--⌫---⌫|
ianeuerroi s l aquinsainnepassee	-|-|------⌫|-⌫|---------|-----|
lasoiemo rssera chierconparee	-|---|--⌫-|---|----|-------|
grans fuli duelsporl am ordexm	----|-|-|----|--||--⌫-|-|-|
pl eure ntilda mess eriantetcheuall ier	--⌫----⌫-|-|--⌫--|-⌫-----|-|-------⌫--|
cily yfil s	--|-⌫|---⌫|
sont nobi le che uallier	---|----⌫-|---⌫------|
ilnestnushons q ui lesp ui stesleescier	-||--|--|---|-⌫-|--|-⌫--⌫-|---------|
singnoruoirsest mentirneuousa nquier	------|----|--|-----|-|---|-⌫|----|
n ests igrans du els neconuaingnelaissier	|--|-⌫|----|--⌫--|-|---------|-------|
icelui soirontleconteuelliét	-----|---|--|-|----|-------|
ento rlabierrei	----⌫|-|-----||
otmai nt cheualli er	-|---⌫-|--------⌫-|
a umatine t qu a nt uin talesclari er	-⌫|------⌫|--⌫-⌫-|---⌫|||-------⌫-|
chante ntlamesseet font	------⌫-|-|----|-|---|
le dieumestier	-|---|------|
leco rsenterrentel clo istrede lmostier	-|--⌫-|--------|-|---⌫----|--⌫|------|
puisu o nt a ancresuselpal ais	---|-⌫-⌫-||----|--|-|---⌫--|
plaingnier	---------|
iorasainque n tinlesie	--||---|---⌫-⌫--|-|--|
liyyanfans nesisonta targ iés	-|-|-----|-|||---|-⌫----⌫---|
parmilorterresmandentmai ntcheuallier	----|--|-----|------|---⌫-|---------|
etdautre pa rtorentmaintsaudoier	-||----|--⌫-|----|----|-------|
seria nt et maint a ubalestrie r	-----⌫-|-|----|-⌫----------⌫|
anyy iorsplains cesai chiéssans tar gier	-|-|---|-----|-|---⌫-----|---|---⌫---|
quedunsquedautr es orentyymilliers	--||--|--||----⌫-|----|-|-------|
et laconte sse sen prista	-|-|-----⌫--||-|----||
meruillie r	---------⌫|
sesy y anfan senprist a araisn i er	--|-⌫|-----⌫|-|----||------⌫-⌫-|
singnordist elle oudeués	------|---|---|-|-----|
cheuauchier	----------|
droi tuers	----⌫|---|
arras distxm l ifier s	----|---|-|-⌫|----⌫|
monpereuers leuostre uaingier	--|---|---|-|-----|-------|
ladamel oitniotquecorrecier	-|---||--|||-|--|--------|
h ediex dist elleneme saiconcil li er	-⌫|---|---|---|-|-|--|------⌫--⌫-|
uuellentmonpere	-------|--|---|
uergoing nier	--------⌫---|
ci llesp uet	|-⌫|--|-⌫--|
panr enenson po oirbai llier	----⌫||-|--|--⌫--|---⌫----|
i lles fer a tousles menbres	-⌫|--|---⌫|---|--|------|
trainchier	---------|
di stiuliiensdameo rlesaichiés	--⌫-|-------|---|-⌫|-|--------|
seilmocitielan q uit lepichie	-|-||---|-||-|-⌫--|-|-----|
lors f it sa gent d	---|-⌫-|-|---||
errer aparillier	----|---------|
totleharnoismener	--|-|------|----|
etcha rroier	-|---⌫-----|
et son tmontésseri ans et e scuier	-|---⌫|------|----⌫--|-|-⌫-----|
dameala s esfis b aisier	---|--|-⌫-|--|-⌫-----|
etcillorproiepordieule dro iturier	-|--|--|----|--|---|-|---⌫------|
quec ilprenoientenchanp le	--||-|--------|-|----|-|
n e locié sn efaite sd etrai nchier	-⌫||-----⌫|-⌫|-----⌫|-⌫-----⌫-----|
anuo p risonl efai teslancier	-|-|-⌫----|-⌫|---⌫--|------|
na nisse mai s a	|-⌫|---|---⌫||
nulior desosciel	--|--|----|---|
illost rie rentquan qu e ll elorrequiert	-||---⌫---⌫---|----⌫-|-⌫--⌫|--|-------|
lorssentornerent et penc ent desp loit ier	---||-|--------|-|----⌫--||---⌫----⌫--|
de lor iourneesneuous	-|--|-------|-|---|
saipl usplaidier	--|--⌫-|-------|
dusquartoisn iuaurent	----|-----|||------|
mes tentlefeu lesuilles fontbrisier	---⌫---|-|--|--|-----|---|------|
pr ennentle s proie set font	--⌫-----|--⌫|-----⌫|-|---|
enlo st c hacier	-||-⌫-|-⌫-----|
enfuie tornentcisu illainscharr urier	-|---|------|--|-⌫------|-----⌫----|
asorxmlest	|--|-||--|
ona l é snoncier	-|-⌫-⌫--⌫|------|
d edensarrasen son pala is p laingni e r	-⌫----|----|-|--|----⌫-|-⌫-------⌫-⌫|
en nondieusireor	-|--|---|---|-|
uait a l enpirie r	---|||-------⌫|
car s or uo suientzzos molt	--|-⌫-|--⌫|----|-|-|---|
grantet fier	----|-|---|
silesconduientyy bache ler ligiers	-|--|--------|-|-----⌫--|------|
uos pr oies prenne ntuos	--|--⌫---|------⌫-|--|
uil lesfont brisier	---⌫--|---|------|
xmlententn iotque	-||-----|||-|--|
c o rrec ier	-⌫-⌫----⌫--|
b ien saiquisontpardi euledr oiturier	-⌫--|--|--|---|--|--⌫-|-|--⌫-------|
an doi sontfilaub on	--⌫--|---|--|-|-⌫-|
qu eieoci sauferdemonestrier	--⌫|-|---⌫|-|--|-|--|------|
lamort lorpereuienentuersm oiuaingier	-|---|--|---|------|---|-⌫-|-------|
ornelairoiepo rl or de m onpel li er	-|-|------|--⌫||-|-|-⌫-----⌫--⌫-|
qu e ne loruoise	--⌫|-|--|----|
ma terrechasla ingier	-|----|------⌫-----|
quiueist lemal	--|----|-|--|
uiellartdr ecier	-------|--⌫----|
lesda ns estraindre etlatestehaucier	--|--⌫-|---------|-|-|----|------|
auoi thome plusfier	----⌫|---|---|---|
parm i arrasafaitzz	----⌫|----||---|-|
banh uchier	--|-⌫-----|
que trestuitci l	--|-------|--⌫|
quarmepuisse baillier	-|---|-----|-------|
queilsadobe ntpor	--|-||-----⌫-|--|
lorsin gnoraidier	--|---⌫---|-----|
etils ifiren tnel o s erent lais sier	-|-|-⌫|-----⌫|-||-⌫-⌫----|----⌫---|
fontclaureportes	---|-----|-----|
les w ich esuerolli er	--|-⌫---⌫-|-------⌫-|
deuers can brailo res tuenusgautier	-----|---⌫---|--⌫|--⌫|----|------|
meis m ebienleuousos	----⌫-⌫|---|-|---|-|
l auoitmandét	|----|------|
ayyh omes li est uenu s	|-|-⌫---|-|--|----⌫|
i l descendi augran tpalaisplaingnier	-⌫|-------|-|----⌫|-----|---------|
xm leua itacoler et	-|-|--⌫-|-----|-|
biaxniers d is tiluosm au rés m estie r	---|----|-⌫--⌫|-|--||--⌫---|-⌫-----⌫|
cars ormoiuien tzz	--|-⌫-|--|----⌫|-|
osmeruel lefier	-|------⌫-|---|
siles condu ien t liyyanfans	-|--|-----⌫---⌫|-|-|-----|
queie ocisparmong rantdestor bier	--|-|---|--|--|-⌫---|------⌫---|
dist xmsirecertescefu	---|-|---|-----|-|-|
por uostrefill e	--|-----|----⌫|
ledeussiéslaissier	-|--------|-------|
q uelidonastes apereta	-⌫-|-|-------||--|-||
les yy enfans	--|-|-----|
deus siésa uoir chie r	----⌫----|-⌫---|----⌫|
nestpasmeruelle seilu osen meschiet	|--|--|-------|-|-|-⌫-|-|-------|
ne p uet autre	-|-⌫--|----|
estrecedis t xm li	----|-|---⌫|-|-|
contreiax uaura imon pais chaslaingie r	-----|--|-----⌫|--|---|-----------⌫|
acesparolesoie nt lesgensnoisier	|--|------|---⌫-|--|---|------|
car cild el	--|--|-⌫||
os toren ttant	--⌫|----⌫|---|
esplo itié	-----⌫----|
q ue as gra ns port es f eroie ntlipremier	-⌫-|-|---⌫-|----⌫-|-⌫-----⌫-|-|------|
li yya nfansf irentlesgensrai ngier	-|-|-⌫----|-⌫----|--|---|---⌫----|
tosts ont armésseriansetcheuallie r	---|-⌫--|-----|------|-|---------⌫|
sorlesch eua x furentia li	--|--|--⌫---⌫|-----|-|-|
alaf enestredelg rant palaisplai ngnier	|-|-⌫------|--|-⌫---|-----|----⌫-----|
s an uaitxm et	|-|---|-|-|
auuecluigautier	----|--|------|
etuoientlos tdela ui lle	-|-----||--⌫|-|-|--⌫--|
aproc hier	-----⌫---|
x mescrietropmesui at argiés	-⌫|-----|---|-|--|--⌫------|
q uantne lor uoi sma	-⌫---|-|--|---⌫|-|
terre x xx	----|-⌫-|
ainsqui lse puissen tdeuan tlesmurs logier	-----|-⌫|-|-------⌫|-----⌫|--|---|-----|
ceste uenueconparont il	----|----|--------|-|
moltch ier	---|--⌫--|
xm es crie a rmé suouscheuallier	-|--⌫---|-⌫----⌫|---|---------|
etzz etautr e	-|-|-|----⌫|
se rian se t escuier	--⌫----⌫|-⌫|------|
adontsar me re n tqui l	----||--⌫--⌫--⌫-⌫|-|-⌫|
nel o se nt	-||-⌫--⌫-|
aplains enissentetfurent yymillier	|----||-|-----|-|-----|-|------|
x m lesguiedeua n telch iefpremier	-⌫|--|---|----⌫-⌫|-|--⌫--|------|
n iotpla itpri s ne	||-|---⌫-|---⌫|-|
parle mentnoncié t	-----⌫---|-------⌫|
ui enen t eslaissié s	--⌫----⌫|----------⌫|
alas sanblerotmaintescus	||--⌫------|-|----|----|
etmainthaubers desrouset	-|----|------|------|-|
desma illiés	-----⌫------|
ap r esles ha nstestr aie ntles br ansd	--⌫-⌫-|--|--⌫----|--⌫---⌫-|--|--⌫--||
esteslesuous tournésauchasploier	----|--|---|-------|-|---------|
gran sfulano iselabata i lle	----⌫|-|-|--⌫--|-|----⌫-⌫--|
est fornie	--|-----|
d yy parsfieren tparaatie	|-|---|------⌫|--|----|
lisorxmtintl	-|--|-|---||
espee forbie	----|-----|
mainthiaumea frais maintesteste spe rcie	----|-----||----|------|-----⌫|--⌫---|
ataintmolt estcortesauie	-----|---|--|----|-|--|
etgauteles c esgranscops	-|-------|-⌫-|----|---|
e tiuliiensdautrepart	-⌫|-------||----|---|
ethen riesa lac hiere hardie	-|---⌫---||-|-⌫----|-----|
l esgens xms ont tornés as oti e	-⌫-|---|-|-⌫--|------||-⌫---⌫|
xmleu oit tous li sen sl ifremie	-|-|-⌫--|---|-|---⌫|-⌫|-----|
contreiax fera	-----|--|---|
cilpuelzzanuaie	|-|---|-|-----|
quant xm uoit iuliienet	----|-|---|------|-|
deso rceshiau mes	----⌫|--|----⌫--|
sid u rement f erir	-|-⌫-⌫-----|-⌫---|
t e l due len n ot	-⌫-⌫|---⌫|--⌫|-|
le sanccui demarrir	-|---|---⌫-|-----|
c iluoit so n leu ces	|-|---|--⌫|--||-|
uauraen uair	----|--⌫---|
laou ilto rne faittos	-|-|-|--⌫--|---|--|
les rens fremir	--|---|-----|
nier silfier tpargran tair	----⌫|-|----⌫|--|----⌫|--|
enlagrantpresseencontrasauari	-|-|----|-----|-------|-----|
sorliaumelec ercle	--||----|-|-⌫----|
afaitpartir	|---|-----|
forsfulamai l ledelb lanc	---|-|-|---⌫-⌫-|--|-⌫---|
ha uberc tresli	--⌫----|-----|
maisquedelcopl ailsiestordit	------|--|--|||-|-|-------|
qua cesyymains le conuienta	-||--|-|----|-|-------||
xm lico rtp arl iaume la saisit	-|-|--⌫-|-⌫-||----|||-----|
pardro it eforse li a	--|---⌫--⌫|----|-||
o stétanqui	-⌫----|----|
haucele brancce lfiert par tel	----|-|----|-||----|--|--|
dusqu eesdans lifaitlaciersentir	-----⌫|-|---|-|---||----|-----|
e st ort soncop sile conuint mo rir	-⌫--⌫--|--|--|-|-|------|--⌫--|
sen t ornediex	|-|-⌫---|---|
laitenparadis	|--|-|------|
gautie rsot mort sauarileu ail lant	------⌫-|-|---|-----|-|-⌫---⌫---|
il san t or nesescrie ha ut ement	-||-|-⌫--⌫-||-----|--⌫--⌫----|
yyxmen f ant	-|-|--⌫-⌫--|
ieloraimor tzz lorprochainparent	-|--|-|---⌫|-|--|-------|-----|
etdiaxmeisme ferai ieautretant	-||--|-----|----|-|--------|
oi tcellepa r tu intpoignant	--⌫|----|--⌫-⌫|-⌫--|-------|
dit ua s salse	--|--⌫-⌫--|-|
diex m xx x	---||--⌫|
se lauésmor t	-||----|---⌫|
ilm en poise form e nt	-||-|----|----⌫-⌫-|
or le uaingiés	-|-|--------|
distg autie r se r ranment	---|-⌫-----⌫-⌫|-⌫-⌫------|
tantcon iesu ideuant	---|--|-|--⌫|-----|
uousenpresan t	---|-|------⌫|
sifer ai iesediexlemecon se nt	-|---⌫-|-|-|---|-|-|---⌫--⌫-|
lorss et uienentfierement	---||-|------|--------|
granscops se do nentsorl es e s cusd euant	----|---|-|--⌫---|--|-⌫-|-⌫-⌫--|-⌫----|
de s os lesbo cl es	--⌫-⌫-|--|--⌫--⌫-|
lesuonttosporfendant	--|---|--|---------|
f orshaubers o r entquemaille n endesment	-⌫--|------|-⌫-⌫--|--|-----||-|------|
lorslances	---|-----|
bris entlitrousuol entauuant	----⌫--|-|----|---⌫--|-|---|
iu liientraitlebrancdacier tra inch ant	--⌫----|----|-|----||----|---⌫----⌫--|
et fiertgautiersorson elme luisant	-|----|------|--|--|---|------|
l e lmelitra inc he	|-⌫--|-|---⌫---⌫-|
etlac oiffe	-|-|-⌫----|
du squ a larconli	--⌫--|||----|-|
faitco lerle branc	---|--⌫--|-|----|
lecheualtrainchesanp ointd arestement	-|-----|-------|--|-⌫---||---------|
dusq ualaterreafait	----⌫||-|----||---|
colerlebra nc	----|-|---⌫-|
sain quenti n	---|------⌫|
crieb aronfe résauant	---|-⌫---|--⌫---|----|
lexmmo ltotlecue r	-|-|--⌫-|-|-|---⌫|
ilpri stzz	-|---⌫-|-|
corselsona dur ement	--|-||---|---⌫----|
sonretrait	--|------|
sonnesis an tornefuiant	----|-||-|----|-----|
senest torné satant	|-|--|------⌫|----|
qu antuoit xmxmestmors	--⌫--|---|-|-|--|---|
cil fu dolensnel	|-|-|-----|-||
estuetdemander	-----|-------|
l esporte sfaitetteni r et	-⌫-|-----⌫|---|-|----⌫|-|
p uiss is enest droita creniaxmont és	-⌫--|-⌫||-|--|----||------|----⌫--|
etagard éttotcontreual le pret	-||----⌫--|--|--------|-|---|
uoitiul iiencelp renta	---|---⌫---|-||-⌫---||
biax n iersdi stilmer citporl amorde	---|-⌫---|--⌫-|-|---⌫--|--||---|-|
aiesmercitdece laspariurét	---|-----|-|-|--|--------|
i oc i stonper enese	|--⌫-⌫|--|---⌫|-|-|
est la uerite	--|-|-----|
en tr ai so nnepuetestrece lé t	-|--⌫--⌫--⌫|-|---|----|--⌫---⌫|
or t erequ ierpor	-|-⌫|----⌫--|--|
di eudemai estes	--⌫-|-|---⌫----|
qua iesdemoi et	-|-⌫--|-|--|-|
mercitetpit es	-----|-|---⌫-|
iuliiensloit	-------||--|
e sth ausescriés	-⌫-|-⌫--|-------|
p ard ie u u i ellartpornoianten	-⌫-|-⌫--⌫|-⌫-⌫-----|--|-----|-|
iamaisuersmoi ne serés acordés	-----|---|--|-|-----|-------|
ces bar ons a	--|---⌫--||
hau tementescriés	---⌫-----|-------|
ortostb aron	-|---|-⌫---|
pordieu siasallés	--|---|-|-------|
etilsifi rentdebone uolente	-|-|-|--⌫---|-|---|------|
adontiont mainte pierre iet e ́	----||--|-----|-----|---⌫-⌫|
lorua ut zzdeniermoneét	--|--⌫-|-|-----|------|
car niforfirentua illantzz oefpelét	--|||--------|--⌫-----|-|--|-----|
foss etcrauanté	----⌫-|--------|
gransfulassautparuerte l leu o u s	----|-||-----|--|-----⌫|-|-⌫-⌫-⌫|
b iense deffentdarra sli sor	-⌫--|-|------||----⌫|-|--|
ruentilpie rrese t maintcaillox faitis	----|-|---⌫---|-⌫|----|------|-----|
enselfossetassezen	--|-|-----|----|-|
et iuliie nssis	-|------⌫-|-||
escrieacris	-----||---|
laissiés lassautpor	--------||-----|--|
lecorssaintfelis	-|---|----|----|
etlinu isuin tcon	-|-|--⌫-|---⌫||-|
nil pot plusueir	|-|--|---|---|
quantilfunuis	----|-|-|---|
p aru ertele uousdi	-⌫-|-⌫---|-|---|-|
xm delaciteiss i	-|-|-|---|---⌫|
sor soncheualsi alaen escil	--|--|-----|-|--|-|----|
maisonne setc ertesqueildeuint	---|-|-|--|-⌫----|--|-|-----|
hermitesfu ainsisconi	-------|-|-----|--||
ethenries ot ar raslacit	-|------|-|--⌫--|-|--|
etsifusires dearto isie	-|-|-|----|-|----⌫-|-|
et iuliiens	-|-------|
ralaasainq uentin	---||---|-⌫-----|
cuen s de sa ingileautresis	----⌫|-|--⌫-|---|-------|
doren auan tfa utl a	-----⌫----⌫|--⌫-|-⌫|
chanconici	------|--|
beneoi ss oit c isquilauousadit	------⌫|-⌫--|-⌫-|--|-|---||--|
e tuousa usisqui lauéscioit	-⌫|---|-⌫---|--||----|-|--|
