formElnondelperee t	---|-|--|--|---|-⌫|
misse sensambl e .	-----⌫|-------⌫||
Quant mai sonsestdontlasientli p iler	----|---⌫---|--|---|------|-|-⌫---|
maubre q ui isuntm ispuisqu e lit estame nz	-----|-⌫-||---|-⌫-|---|--⌫|-|-⌫------⌫-|
fufaizs unt àce lui àqui	-|---|-⌫--|-|--⌫--|-|--|
ele fulaiss ie.	--|-|-----⌫-||
Quantlichatelzestla is siéz	----|-|------|--|--⌫--⌫----|
seil c roistouapeti ce	-|-|-⌫----|-|-----⌫-|
tantconme c iluitquifis t	---|----|-⌫-|--|--|---⌫|
let estament lipreuse tlidamagezest	-|-⌫-------|-|----|-⌫|-|------|--|
àceluiàquilic hatexfu laissié z.	-|----|-|--|-|-⌫----|-|--------⌫||
Etse lise rsa aq uis aucune	-|-|-|--⌫-||--⌫--|-----|
choseaprés lamortàc elui quifistle	----|-----|-|---|-|-⌫---|--|---|-|
testame ntains	-------⌫-|---|
quelioirsait	--|-|---|--|
receu leritageIuliansd itque se	----||------|------|-⌫-|--|-|
lichateuzest laiss iézause rf	-|------|--|-----⌫---|-|--⌫-|
franchistotcequi es taquisai n squeli	-------|--|-|--|--⌫|----|--⌫-⌫|--|-|
oirs ai t receul	---|--⌫|----||
eritage doitestre àceluiàquil icha teuz	------|---|----|-|----|-|--|-⌫|---⌫---|
es tlaissi ézcar	--⌫|------⌫--|--|
litermezdezlaizcon mencedéslorsque li	-|-----|--|---|---⌫----|---|---|--|-|
oirsare ceu leritage.	---||--⌫--||------||
Mai s selichastiauza estéslessiésà	---⌫|-|-|--------||-----|-------|-|
chosesqui ontpuisesté aquisseznesu nt	-----|--|--|---|----|-------|-|--⌫-|
passeuesseli c onquestn estuenus	--|----|-|-|-⌫------||--|----|
des chosesdelcha tel m eisme.	--|-----|--|---⌫--|-⌫----||
Li chate lzquecilq uiestfranchis	-|-----⌫-|--|--|-⌫-|--|-------|
auoitnelie st pasdeus	----|-|-|-⌫-|--|---|
seilneliestla is siésia	-|-|-|-|--|--⌫--⌫----|-|
soit cequecil est uisquil efranchise	---|-|--|--|--|--|--|-⌫|------|-|
l isousfist bi enà	-⌫|-------|--⌫-|-|
retenirsonchatelque ilne	------|--|-----|--|-|-|
liest pa stolu zetainsis l	-|--|--⌫|----⌫|-|-----||
escris tre nt li saintem pereurSeu oir etAntonins	------⌫---⌫-|-|----|--⌫-----|---⌫--|-|-------|
Quantl ichatelzà	----|-⌫|------|-|
est laissiézil nape rt pasque c e	--|--------|-||---⌫-|--|--|-⌫|
l aissiéque ilpu issedemander les deniersque	-⌫------|--|-|--⌫---|-------|--|------|--|
ila despandus e nbeso ing	-||--------|-⌫|----⌫--|
sonseignor.	--|------||
rendu co nte à son	----|--⌫--|-|--|
seigno ret lisiresconmandequeilsoitf ranz et	------⌫|-|-|----|-------|--|-|---|-⌫---|-|
aitceque li remaint ilapert	--|-|--|-|------|-|----|
quesezc hatelzli soitlai ssiéz	--|--|-⌫-----|-|---|---⌫-----|
T outesch osespuentestr e	-⌫----|--⌫---|----|----⌫|
laissiesetcelesquisunt corporelz	-------|-|----|--|---|--------|
etcele squi	-|----⌫|--|
nesunt pas	-|---|--|
corpor elzet	------⌫--|-|
est de uaumortpuetes trelaissiéà	--|--⌫|-|---|---|--⌫--|-------|-|
au cunsi que lioirsdointse sactionz à	--⌫--|-|--|-|---|----|--⌫|------|-|
celuiàquilada itees t laissiesecilqui	----|-|--|-|--⌫--|--⌫|------|-|--|--|
fist lete stamen tn e le porchacee nsa ui ecar	---|-|--⌫------⌫|-⌫|-|-------|-⌫|-|--⌫|--|
encestcaze s tli lais	-|---|--|-⌫-⌫|-|---|
Mai stelz laisuautie	---⌫|---|---|---|-|
conmantquemes oi rssoittenus à	------|--|--|--⌫-|---|----|-|
refair elamaisonàceluiou aqu iterle	------⌫|-|-----|-|----|-|---⌫---|-|
dequa n queildoit .	-|---⌫-⌫--|-|---||
Etseun zsers	-|-|--⌫|---|
autrechose est laissié generalmentli choiz est	----|----|--|-------|----------|-|----|--|
a ̀celuià quiele	-⌫|----|-|--|--|
estl aissiese cilqui fistletestamen tn	--|-⌫-----|-|--|--|---|-|--------⌫||
aconma ndé autrecho se .	|-----⌫---|----|---⌫-||
Lesfaisachoisc e estqua nt cilquifist	--|---||----|-⌫|--|---⌫-|--|--|---|
le te stamen t co nm andequeaucuns	-|--⌫------⌫|--⌫--⌫---|--|-----|
ch ois issedesessersou	--⌫---⌫---|-|--|---|-|
des autreschoses aen lu i	--|-----|-----||-|--⌫|
condi ctionreposteet po rcesoloitil estr eque	-----⌫----|------|-|--⌫|-|-----|-|----⌫|--|
qu i li choisestoitainsi zlaiss iés ne chois isoit en	--⌫|-|----|-----|-----⌫|-----⌫---|-|-----⌫----|-|
sauies esoirs nauoit p asle	-|--|-⌫-|---||----|-⌫-|-|
laizapré slui.	---|-----⌫|--||
ae sté re form é à mill eurestatpar	|-⌫---|--⌫----⌫-|-|----⌫--|----|--|
no streestablissementetcongiéz est	--⌫---|-------------|-|-------|--|
doné s à l	-----⌫|-||
oiràceluiàcuili	--|-|----|-|--|-|
l aisfulaissi éz de	-⌫--|-|------⌫--|-|
chosirdessersoudesautresch osesi asoit	-----|--|---|-|--|-----|--⌫---|-⌫|---|
ce que ci là quili	-|--|--⌫|-|--|-|
choisf u laissiéznec hoisipasansa uie	----|-⌫|--------|-|-⌫----|--|-|-|--|
Etnozen au onz	-|--|-|--⌫--|
traitié p luzdili gement	-------|-⌫--|----⌫-----|
e tceaesté	-⌫|-||----|
aios te ́en nost re establissementq uese	----⌫--⌫|-|----⌫-|-------------|-⌫-|-|
pluseur suntà	------|---|-|
quilichois estla issié z etil se	--|-|----|--|--⌫------⌫|-|-|-|
d escordentauchoisir porcequeli	-⌫--------|-|------|----|--|-|
unsuuetchois ir	--|---|-----⌫-|
unechoseetli au tres au treq ue le lais ne	--|----|-|-|--⌫---|--⌫--|-⌫-|-|---|-|
con meplusorsa geuoloient sors soit	---⌫-|-----|--⌫-|-------|---|---|
iugesdecestc onstanssique	----|-|---|-⌫------|-|--|
lasentenseàceluisorquilisors	-|-------|-|----|--|--|-|---|
u and ra soi t	-⌫---⌫-|---⌫|
la pluzforteelchois .	-|---|----|-|----||
lais s ie r àceus	----⌫-⌫--⌫|-|---|
seusquiont	---|--|--|
droituredete st ament.	-------|-|--⌫--⌫----||
Il nestoitpas ot roié	-||-----|--|--⌫----|
iadi squelés f ussentlaissiés	----⌫|--|---|-⌫-----|--------|
asper sonnesqui ne	-|---⌫-----|--|-|
fussentn omees certainementcarneis che ual i ernepo oient riens	------|-⌫----|-----------|--|---|---⌫---⌫-⌫-|-|--⌫----|----|
laissieràpersonequinef ustcer tainne	-------|-|------|--|-|-⌫--|---⌫-----|
s ico nmeliem per eresAdrian sescrit.	-⌫|--⌫--|-|--⌫---⌫---|------⌫|-----||
Il sambloitque	-|-------|--|
lapersone nefustpas ce rta i nnedecoi	-|------|-|---|--|--⌫---⌫-⌫--|-|--|
cilquifaisoit l etestamant	--|--|------|-⌫|--------|
pansoitpar doutouseo pinion	------|--|-------|-⌫-----|
sico nmese aucuns di soit	-|--⌫--|-|-----|--⌫---|
quiconqu ezdonra à monfil	--------⌫-|----|-|--|--|
safille anmariagei e con mant que m esoirsli	-|----|-|------|-⌫|---⌫---|--|-⌫-|---|-|
doi ntce l ch amp.	---⌫-|--⌫|--⌫--||
Et ce quiesto itla is siéàcel z qui	-|-|--|----⌫-|--⌫--⌫---|-|---⌫|--|
estoientpremierem ant faitcon sil l ier aprés	-------|---------⌫--|---|---⌫---⌫-⌫--|-----|
ce q uelitestam e nzes toitescris	-|-⌫-|-|------⌫-⌫-|--⌫---|-----|
estoitautre si	-----|-----⌫-|
laissié aspersonnezqui n esto ientpas certa i nnez	-------|-|--------|--||----⌫---|--|-----⌫-⌫---|
et ass ésiade telz	-|---⌫--|||-|---|
Etils ambloitq ue franchis e nepeustpasestre laissie	-|-|-⌫------|-⌫-|--------⌫|-|----|--|----|------|
a ̀personequine fust certainnecar	-⌫|------|--|-|---|--------|--|
asmestresdedroitquel i serf	-|------|-|----|--|-⌫|---|
soient franch i p arnon	-----|------⌫|-⌫-|--|
Etlonla isoitp ar dr oitaucun ec hose	-||-|--⌫----|-⌫-|--⌫--|-----⌫|-⌫---|
àperson equi	-|------⌫|--|
pascertainn eparcerta indemons trementsi co nmesea ucuns	--|--------⌫|--|-----⌫-|------⌫------|-|--⌫--|-|-⌫----|
disoit seauc uns	-----|-|---⌫--|
demes co sin s q ui	-|--|--⌫---⌫|-⌫-|
prantmafilleàf ame	----|-|----|-|-⌫--|
ieco nmantquemesoirs	-|--⌫----|--|--|---|
lid ointcele	-|-⌫---|---|
Etile stoitcontenu essains establ isse menz	-|-|-⌫----|------|-|----|------⌫----⌫---|
l aiqui estoientlaissiéasperson esquin estoi entpa s	-⌫-|--|-------|-------|-|------⌫-|--||-----⌫--|--⌫|
ce rtai nneset lor	--⌫----⌫---|-|--|
estoientpaié	-------|----|
pare rreurnepeussentp as	--|-⌫----|-|-------|-⌫-|
estre d emandé arri e re.	----|-⌫------|----⌫-⌫-||
Lon ne p ooit riensla issiera ̀lenfant au	|-|-|-⌫---|----|--⌫-----|-⌫||-----|-|
serfqui est oitenco re ànaistre.	---|--|---⌫--|----⌫-|-|------||
Au truie nfesàn aistree st cil	--⌫---|-⌫---|-|-⌫-----|-⌫-|--|
entrel ezserset	----|-⌫-|---|-|
n estpasfaisoirsàc elui quifait	|--|--|---|---|-|-⌫---|--|---|
letestament.	-|--------||
Etpor celafa meaufil qui estfors	-|--|-|-|--⌫-|-|--|--|--|---|
de bailestgrossed	-|---|--|-----||
an fantlienfesque	--⌫---|-|----|--|
el eaeluentr eest	--⌫||-|-----⌫|--|
estran gesàson	------⌫--|-|--|
Mezces teespassenepotestred el totla issie	--|---⌫-|------|-|--|----|-⌫-|--|--⌫----|
sanzame ndementcarunsestabl issemenza estém is en nost re	---|---⌫------|--|--|------⌫-------||----|-⌫-|-|----⌫-|
codeparcoi no sm eterons	---|--|--|--⌫|-⌫------|
enceconseilnonpastantsol emantesheritages	-|-|------|--|--|---|---⌫----|-|--------|
l ai s et cilqu iliront cel establissemant	-⌫--⌫|-|--|--⌫|-----|--|-------------|
porront ceueoirapertemant .	------|-|----|---------||
Des fan deresquinesoitce rtainsnedoi tpas	---⌫---⌫----|--|-|---|--⌫-----|-|---⌫|--|
estre donn é s asorfelinzselonc lafo rme	----|----⌫--⌫|-|-------|-----|-|--⌫--|
denos t re e stablisseme nt caraucunsdoi tdireparcertaindemostre mant	-|---⌫-⌫-|-⌫-----------⌫-|--|-----|---⌫|---|--|------|--------⌫---|
quei l uuet	--|-⌫|---|
q ue ilsoitgardesdesesenf anz .	-⌫-|-|---|-----|-|--|---⌫--||
Se cil quifait	-|--|--|---|
letestamant	-|--------|
foloi eelnonou	-----⌫|-|--|-|
el sornonàcelu iàqui ilalaissiéz	-|-----|-|----⌫|-|--|-||--------|
leslaiz selonc	--|---|-----|
lace rtainetéde lape rsonep orceneremaintpas	-|--⌫--------|-|-|--⌫----|-⌫-|-|-|------|--|
que lilai sneuaille.	--|-|---⌫|-|-----||
Et cemeesmes es tgardé esoirspar	-|-|------|--⌫|-----|-|---|--|
droitcarli	----|--|-|
nonf ur ent	--|-⌫--⌫--|
t rouép orsenefie r les	-⌫----|-⌫-|-------⌫|--|
homeset seil suntconne u	----|-|-|-|---|-----⌫|
par aucuneautremeniereil	--|-----|----|------|-|
n epuent chaloirdel non.	-⌫|----|------|--|--||
Autruienf esquiest encoreànais tre	-----|---⌫-|--|--|-----|-|----⌫--|
puetbienestrefaisoirsetpooit	---|---|----|---|---|-|----|
ancien e mentseiln estelu en tre	------⌫-⌫---|-|-||--|-|-⌫--⌫--|
à celequ i ne puetpa rdroit	-|---|--⌫|-|---|--⌫|----|
estrefameson p ere.	----|---|--|-⌫--||
Ace es tprochiene celerieulede	|-|--⌫|--------|---|-----|-|
droit q uelésnest	----|-⌫-|---||--|
pasperisporfauzdemonstrements i c onmese	--|----|--|---|------------|-⌫|-⌫---|-|
aucunsl a iss eainsi ie	-----|-⌫-⌫---⌫|----|-|
laisà celuiStichmon s erf quifu	---|-|----|----|--|-⌫--|--|-|
ne ́se nmonosteldemaseru eiasoitce	--⌫-|-⌫|--|----|-|-|----⌫|-|---|-|
qu eilnefust	--⌫|-|-|---|
pasné senson ostelain ssoitac hetéz	--|---⌫|-|--|----|---⌫|---|--⌫-----|
Ne porquan tpuis	-|-------⌫|---|
queile stc ertai nne chose del	--|-|-⌫-|-⌫-----⌫--|----|--|
quelse rfilent enditli laizuaut.	---|--⌫-|-|---⌫----|-|---|---||
Etseil demostra a ins isl i la iz Stich queie	-|-|-|-------|-⌫---⌫-|-⌫|--⌫-|----|--|-|
achetai de Seyse	------|-|--|-|
il fuachetés	-|-|-------|
du n autreporcene r emai nt pazqueli	|-⌫|----|--|-|-|-⌫----⌫-|--|--|-|
la izneuailleseilestcerta ine c hosedequel	--⌫-|-|-----|-|-|--|-----⌫--|-⌫---|-|---|
se rfil entendi .	--⌫-|-|------||
P armultmilleurraison	-⌫-|---|------|-----|
nenuist pas fau ce cause àlaissi	-|----|--|---⌫-|----|-|---|-|
con mese aucunsdist ainsiie lais c estechose i	---⌫-|-|-----|---|----|-|---|-⌫---|----||
StichàSitc h	----|-|----⌫|
qui procu rrames besoin gn ezsanz	--|-----⌫--|--|------⌫--⌫-|---|
moiou i elaisàT ycem on serfpor	--|-|-⌫|---|-|-⌫--|-⌫-|---|--|
ie fu ideliurésparsai de de	-|--⌫|--------|--||--⌫-|-|
crimechapit a l cariasoit cequeStic h	----|------⌫-⌫|--|-|---|-|--|----⌫|
onques nu ledesbesoingnesàcelui	-----|--⌫-|--|---------|-|----|
qui fist letestame ntneil nefu	--|---|-|-------⌫-|-|-|-|-|
on ques d el iuréparlaideTyce	--⌫---|-⌫--⌫----|--||---|---|
nep orquantlilaisuaut.	-|-⌫------|-|---|---||
Mezsela c ause	--|-|-|-⌫---|
est nomee p arcon dicionilestautrement	--|----|-⌫-|---⌫-----|-|--|--------|
sico nmelon dit ainsi	-|--⌫--||-|--|----|
ielai sTy ce cel	-|---⌫|--⌫-|--|
champse ila	----|-|-||
proc urémes	----⌫---|--|
besoingnez.	---------||
Londe man de	|-|--⌫---⌫-|
sen oz laison sp ardroitausersnostr eoir	-|-⌫-|------⌫|-⌫-|----|-|---|-----⌫|--|
etilestcertainnechosequ e rienzne	-|-|--|--------|----|--⌫|----|-|
uautquili soitlaissiép urem ent nece ne	---|--|-|---|-------|-⌫----⌫--|-|-|-|
liuaut rienque	-|---|---|--|
il issidelapoesté	-|---|-|-|------|
à l oirel	-||--|-|
uiuantàcelui quifist	-----|-|----|--|---|
letest ament carlila isqu ine	-|----⌫----|--|-|--⌫-|--⌫|-|
uausistriens se	------|----|-|
cilqui fistletestamentfustmorsdésq ue	--|--|---|-|--------|---|---|---|-⌫-|
il lotf aitne	-||-|-⌫--|-|
c onmencepasa ̀	-⌫------|--|-⌫|
ualo irporce quei laues q u plus longueme nt	----⌫-|----|--|-⌫||---⌫-⌫|---|--------⌫-|
pardroit s ozcondicionqu e	--|----|-⌫-|--------|--⌫|
nozanqueronsse ilfuhors	--|--------|-|-|-|---|
dela poes téàloir	-|-|----⌫--|-||--|
que lacondicionsfuacomplie etquel ilaiz	--|-|---------|-|-------|-|--|-⌫|---|
lic onmença	-|-⌫-------|
à e stredeus .	-|-⌫---|---||
Encontrece se sers est faisoir slon	-------|-|-|---|--|---|---⌫||-|
nedote pas quelon	-|---|--|--||-|
nepuit bien laiss ier l ais	-|---|---|-----⌫--|-⌫--|
às onseignorca r se cil	-|-⌫-|------|--⌫|-|--|
quif istletesta ment muertma intenantap rés	--|-⌫--|-|-----⌫---|----|--⌫-------|--⌫---|
porcenentent	--|-||-----|
on pas q uel ilaissoit	-|--|-⌫-|-⌫|---|---|
à c el ui qu i estfaizoirscarliherit a g esest	-|-⌫--⌫-|--⌫|--|---|---|--|-|-----⌫-⌫-⌫-|--|
deseurésdes laizet	--------|--|---|-|
uns autresqu e cilàqui	--|-----|--⌫|--|-|--|
lilaisestlaissiéz puet	-|---|--|--------|---|
estrefaiso i rs parcelserfseil	----|---|-⌫-⌫-|--|--|---|-|-|
est mis enlapoeste ́	--|--|-|-|------⌫|
a utreainsqueil	-⌫---|---|--|-|
reçoiueleritage parle conmandementsonse ign eur	-------||------|--|-|-----------|--|--⌫---⌫--|
ouseil estfaiz oirs	-|-|-|--|---|---|
quant il sera	----|-|---|
franchis e ten	-------|-⌫|-|
cestcas uautlil aiz.	---|--|---|-|-⌫--||
Maisseil remainten	---|-|-|------|-|
le stat ouilest oi t quanti l	|-⌫---|-|-|---⌫--⌫|----|-⌫|
oirs etilre c ̧oit leritageparlecon ma nde m ent	---|-|-|--⌫-⌫---||------|--|-|---⌫--⌫---⌫-⌫--|
sonseigneur	--|-------|
àqui lilais f ulaissiéslilais	-|--|-|---|-⌫|--------|-|---|
neuautrien	-|---|---|
Laizqui suntfaitainsquelioirss o it	---|--|---|---|---|--|-|---|-⌫-⌫-|
establi sneualen tr ien s	-------⌫|-|-----⌫|-⌫---⌫|
selonclesancien z	-----|--|------⌫|
car lite stament	--|-|--⌫------|
reçoiuent for cepa r les tabli ssementdesoirsetpor c e	---------|---⌫-|--⌫||--⌫-----⌫------|--|---|-|--|-⌫|
ententl onqueliestabli seme nzdes	-----||-|--|-|-------⌫----⌫-|--|
oirs estausicon m echiézetfondemanzde tot	---|--|---|---⌫-⌫|-----|-|--------|-|--|
l etestamentetpar ceste	-⌫|--------|-|--|----|
meesmes ra isonnepooit	------|--⌫---|-|----|
pasf r anchis e estredon nee deuant lest ablissema nt	--|-⌫-⌫------⌫|----|---⌫--|-----||---⌫---------⌫-|
Maisp o rce queil	---|-⌫-⌫|-|--|-|
noz fuauizque il estoituilainnecho se	--|-|---|--|-|-----|-------|---⌫-|
que lon enseustlordre	--||-|------||----|
delecripture queliencien bl amoientet quela	-||--------|--|-|-----|--⌫------|-|--|-|
uolent ésa umort f udespitenozamendanmescestuice par	------⌫--|-⌫|---|-⌫|------|--|---------|---|---|--|
nos treest ablis sement	---⌫--|---⌫-----⌫-----|
siqu e i ll isse	-|--⌫|-⌫|-⌫---|
a ̀ celuiq uifait	-⌫|----|-⌫-|---|
so n tes tamentqueilleslaiz ains	--⌫|---⌫-----|--|-|--|---|---|
que ilestabli ses on	--|-|-------⌫-|-⌫-|
oir oupuiz queill a conmencié	--|-|---|--|-|||---------|
àestablirle	-|-------|-|
etmeismesfran chiseàq u ilonse	-|------|----⌫----|-|-⌫-⌫||-|-|
d oitpluzacli ner .	-⌫--|---|----⌫--||
Et autres is oloitil estre que lon n e	-|------⌫|-⌫----|-|----|--||-|-⌫|
po oitrienzlaissie r aprés	--⌫--|----|-------⌫|-----|
la mo rta ̀l	-|--⌫-|-⌫||
oirouà ce lui à qui .i.	--|-|-|--⌫--|-|--|--|
laizestoi tlaissié zsic onmeseaucuns	---|-----⌫|--------⌫|-|-⌫---|-|-----|
d eistquant m es oirsseramors ie	-⌫---|----|-⌫-|---|---|---|-|
lais àcelui ce	---|-|----|-|
ouce mais noz auonz autresi	-|-|---|--|----|------|
ce amendé	-|------|
donnéàcelz le nfremeté	-----|-|---||-⌫--------|
àla mani eredeschose ze ni o intessique	-|-|----⌫--|--|-----⌫|-⌫--⌫-⌫----|-|--|
la caus edes	-|----⌫|--|
laisnesoitpazpiree n cest	---|-|---|--|---|-⌫|---|
casqu e cel ed es chosesenioi ntes.	--|--⌫|---⌫|-⌫-|-----|-----⌫---||
Lai zq u i	---⌫|-⌫-⌫|
estoit fais pa rnon	-----|---|--⌫|--|
depain ne ouquiestoitsostraiz enrem uerne	-|----⌫-|-|--|-----|-------|-|---⌫--|-|
soloitri enzualo ir	-----|--⌫--|----⌫-|
Il a pertq uelaizestlaissiéz	-|-⌫---|-⌫-|---|--|--------|
parnondepainnequiest laissiéz por	--|--|-|-----|--|--|--------|--|
constra indrel	-------⌫----||
oirqueil faceaucunnechoseouque ilne	--|--|-|---|------|----|-|--|-|-|
la f ac epas siconmes e aucuns escrit	-|-⌫--⌫|--|-|----|-⌫|-----|-----|
mes oirs donnea ̀Tyce safilleparmariag ei e	--|---|----|-⌫|---|-|----|--|------⌫|-⌫|
