Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
Die ui euou sp ri	---⌫|-⌫|---⌫|-⌫-|
et req uierqueu o usaie ́z	-|---⌫---|--|-⌫-⌫-|---⌫-|
mercidec este nf a n t ci	----|-|-⌫--|-⌫--⌫-⌫-⌫|-|
Il ertmoutdestroiz etm out doler eus	-|--|---|-------|-|-⌫--|-----⌫--|
Moutagrantpiece que il notsa n té	---||----|----|--|-||-|--⌫-⌫--|
Dieu p ra ingn e uous deluipitiéc aruousli pouéz	---|-⌫--⌫----⌫|---|-|--|-----|-⌫-|---|-|-----|
biendon ner	---|---⌫--|
Lasainteuiergefistdeuant lui eue	-|-----|-----|---|-----|--|--|
aporter etquantel eifuapor te e silasei ngna	------|-|----|--⌫||-|----⌫--⌫|-|-|---⌫---|
et ensaingne	-|--------|
etcomm and e	-|----⌫---⌫|
que ilendoint boiurea l	--|-|-|----|-----|||
Dec eotl ipere s	-|-⌫|-|-⌫|----⌫|
moutgrantioies ili donnaceleeueaboiure	---|----|---|-⌫|-|----|---|--||-----|
e ttantostcomm eil ot beue il	-⌫|------|----⌫|-|-|---|-|
r eçut santéetfu	-⌫----|-----|-|-|
tout sainz	---|----|
Ladameuenoituniour d	-|---|-----|-|---||
IXnestou tpar	-|--|---⌫|--|
cont equipl ai nnes est oient de	----⌫|--|--⌫--⌫---|---⌫----|-|
Mesliuenzlestrau eilloitf orment	--|-|---|--|----⌫------|-⌫-----|
Il auoit au eclu iunedamea cui e l e auoit	-|----|--⌫-|--⌫|--|---||--|-⌫-⌫|----|
l ame sauu ee	|--|----⌫-|
etde li ur eed udeable pa r lauolent é de	-|--⌫--⌫--⌫-|-⌫|-----|--⌫|-|------⌫-|-|
L adamesenuenoi ta	-⌫|---||-|-----⌫||
P aris droitmesungrant tormentleuaqui li	-⌫---|----|--|-|----|------|---|--|-|
tormentatoutescesnes et emplis soien t	-------|-----|--|--|-|------⌫-----⌫|
agrante s p l oit	|----|-⌫-⌫-⌫-⌫--|
Qu antsain te	--⌫--|----⌫-|
Geneuieueuitqueseznesperissoient	--------|--|--|--|--|----------|
etemplissoi entmainzg ranz s ou spi rsissirentde soncuersi	-|---------⌫--|----|-⌫---|-⌫--⌫---⌫-|-------|-|--|---|-|
t e n dien	-⌫-⌫-⌫-|-|
IIsesmainsuersl ecielet dist	-|--|----|---|-⌫|---|-|---|
Glorieusrois	-------|---|
S iresq ui estestouz puissa nz	-⌫---|-⌫-|----|---|------⌫-|
Sire dep a rtézce st torme nt etsauuement nou smenéz	---|---⌫-⌫----|--⌫-|-----⌫-|-|--------|---⌫|-----|
Lauoir e stuostree t la uieetles n ez	|----|-⌫-|-----|-⌫|-|--|-|--|-⌫-|
ensem entson tuo z	-----⌫--|---⌫|--⌫|
Atantestreméz	----|--|-----|
li tormenzetsito stcomm ee le otfet e	-|------|-|-|--⌫-|----⌫|-⌫-|-|---⌫|
s or oi sonla tourmen te ie rtr etraitee tliuenz	|--⌫--⌫--|-|-------⌫-|--⌫-|-⌫------|-⌫|-|---|
sesontaso uagiéz	-|---|---⌫------|
entelemanierequilon t	-|---|------|-|-|--⌫|
puisnagié	---|-----|
toutsan z perilet sont uenuzdroitauport	---|---⌫|----|-|---|----|----|-|---|
Etquantlinotonnierontueu	-|----|-|--------|--|--|
Diexleur aeinsint	---|---||------|
aidie ́p ourlamou ralasain teuierge sien	-----⌫|-⌫--||----⌫||-|----⌫-|-----|-|-|
orentmout grantioie	----|---|----|---|
Ilauoitauoec eulzunprouoires	-|----|----|---|-|--------|
Bes usestoit apele ́z	---⌫-|-----|-----⌫-|
Ilotmout afoibloiee laparole etla	-|-|---|---------|-|-----|-|-|
couleurlifup aliee t tai nte pourlapaourqu	------|-|-|-⌫---|-⌫|---⌫--|---|-|----|-|
ilauoiteue	-|----|--|
M esauquesliestoitre uenue	-⌫-|-----|-|-----|--⌫----|
p orcequ eles ue n s	-⌫-|-|--⌫|--|--⌫-⌫|
es toientaso uagié z	--⌫-----|---⌫------⌫|
Illo ue renttuitensamble le	-|--⌫--⌫---|---|-------|-|
Esp e ritquid esigranz peril zl esa	---⌫-⌫--|--|-⌫|-|----|-----⌫|-⌫-||
E l eest oit uniour u enuea	-⌫-⌫|---⌫--|-|---|-⌫---||
To ute la menuegent uindrentcon tre	--⌫--|-|----|---|-------|---⌫--|
acouroien tdetou tesp arz	---------⌫|-|---⌫--|-⌫--|
carilmou r oie nt	--|-|---⌫-⌫---⌫-|
touzdefain	---|-|---|
Elefesoitpor eulsunl arrecindont	--|-----|--|---|-|-⌫------|---|
e ledeuoi tmou te strelouee car	-⌫-|-----⌫|---⌫|-⌫---|----|--|
ele a loitprendrele s	--|-⌫---|------|--⌫|
pain s e sfours etq u antelelesiauoit pri s	----⌫|-⌫|----|-|-⌫-⌫--|--|--||----|---⌫|
eleles metoi tesmains auspour es	--|--|-----⌫|-|----|--|----⌫-|
Dieu repest l e	---|-----|-⌫|
pourei lr e uest	----|-⌫|-⌫-⌫---|
Damedieudesame	-------|-||--|
Lesfames quimetoientles	--|----|--|-------|--|
p ainsesfours redoutoientlasai nteuiergepor	-⌫---|-|----|----------|-|---⌫--|-----|--|
cequ elelese mbloit e ttrahoithor sdes	-|-|--|--|-⌫-----|-⌫|------|---⌫|--|
fours enlarrecin s i qu	----|-|-------|-⌫|-|
ensauoie nt mot	-|------⌫-|--|
Eles es toienttou z iourse n	---|--⌫-----|---⌫|----|-⌫|
doutancequ e leneussent mie toutleurpain	-------|-|-⌫-||------|--|---|---|---|
Elesen tenoient	---|-|-------|
C hascune treoitsonpain	-⌫------|-----|--|---|
dufouretco n toi ents ouuente t remuoient	-|---|-|--⌫-⌫---⌫--|-⌫-----|-⌫|--------|
Leschanber ieres	--|-------⌫----|
Di eu me rci trou oie n ttoutleurcon te	--⌫-|--⌫--|----⌫---⌫-⌫|---|---|---⌫-|
del eur spain s	-|-⌫---⌫|----⌫|
Unmainsnen iot de	-|----||-||-|-|
tant co mmecel les en i auoientmi s	---|--⌫--|---⌫--|-||------|--⌫|
Eles firentdeluilagregneur i oie qu	---|-----|-|--|-|-------|-⌫--|-|
elesporentpour	---|-----|---|
lemiracleq u el lesuirent sienlouerent	-|------|-⌫|--⌫--|-----|-|-|-------|
et ahoreren t	-|--------⌫|
Dam edieu etle corurentconter	---⌫----|-|-|-------|-----|
a t o utle mondecom ment	|-⌫-⌫-|-|----|---⌫---|
illeurestoi t auen u	-|---|-----⌫|----⌫|
Lasainteauoi t p lus sesperanceen	-|-----|----⌫|-⌫--||--------|-|
Dam edieu quele nauoi ta um onde	---⌫----|-|--||----⌫|-⌫|-⌫---|
carqu e decezchoses	--|--⌫|-|--|-----|
qui a umon deestoient neuol t ele	--|-⌫|---⌫-|-------|-|---⌫|--|
au oirnulecou u oitise	--⌫--|---|---⌫-⌫-----|
Eleestoitdepitié	--|-----|-|-----|
si plainneetdecha ritéqueledonnoit	-|------|-|-|---⌫----|-|--|------|
auspo uresquan queleauoit	--|--⌫---|----⌫-|--|----|
E le fe s oitmesureetreson	-⌫-|--⌫-⌫--|-----|-|----|
daingna aquerrenemonte plier	------|------|-|-----⌫----|
autreus u re	----|--⌫-⌫-|
Couuoitisequ ifet pl ourer	---------|--⌫|--|--⌫----|
etq uilesengingneparses	-|-⌫-|--|-------|--|--|
darz nefuon ques	---|-|-|--⌫---|
uois ineacest e	----⌫--||----⌫|
Un s aint angesraui son esperitouciel	-|-⌫---|----|---|--|------|-|---|
siquele uitle	-|-|--|--|-|
leu ou liusurie rs estoientest ourmenzdontil	--|-|-|------⌫-|-------|-|-⌫------|---|-|
e rentto urmentéz	-⌫---|--⌫--------|
etsiuitq ue	-|-|--|-⌫-|
leur tr esor ualo ientporquoi	---|--⌫---|----⌫---|--|---|
ilestoients itourme nt éz	-|-------|-⌫|------⌫--⌫--|
Ele plou roit	--|----⌫---|
souuent porcea lermes	------|--|-||-----|
quelesauoitb ien	-|--|-----|-⌫--|
que litermesdelamor t u enoi tchasc unio ur	--|-|-----|-|-|---⌫|-⌫----⌫|-----⌫-|--⌫-|
sisedoutoit	-|-|------|
fort et c remoit	---|-|-⌫-----|
Biensachiézuraiement	---|-------|--------|
queencoresoientfait	--|-----|-----|---|
lisainta umonde	-|----|-⌫|----|
ilaientdeseruiela glorieuseuied es ciex nes	-|----|-------|-|--------|--|-⌫-|---|-||
o serontilfieroumond ecar si commesaint	-⌫-----|-|---|-|----⌫|--|-|----|----|
Geroimesdistet racontenous trou uo nsenescripture	-------|---|-|------|---|----⌫--⌫-|-|---------|
acriatureaumon dequi	|-------|-|---⌫-|--|
ta ntsoitpurene fine ne bie np arfaite d	--⌫-|---|---|-|---|-|---⌫|-⌫------||
enpeu stpasbien	-|---⌫-|--|---|
laplus petiteio iede	-|---|-----|--⌫-|-|
paradisdes eruir neparnu leriensuenir alui	------|---⌫----|-|--|--⌫-|----|----||--|
Diex qu i est plains	---|--⌫|--|-----|
depitiénousa	-|-----|---||
euurés esmains	-----|-⌫-|----|
Sami sericorde	-|--⌫--------|
estsigrantque lenous acorde	--|-|----|-|-⌫-|---|-----|
aluietatret	|--|-|----|
troublesetob scurs	-------|-|--⌫----|
Il monte ploieacentdouble sno z	-|-----⌫----||---|------⌫|--⌫|
nouz nousuoul ons alui acorder	---|---|----⌫--||--|------|
Tan t donnelarge ment	---⌫|----|-----⌫---|
Ilauintu nioura	-|----|-⌫|---||
P ari s q ueu nseria ntot m outmesprisuers	-⌫---⌫|-⌫-|-⌫|-----⌫-|-|-⌫--|------|---|
s ons eingne ur	-⌫-|-⌫------⌫-|
uous sa ipas r etrairenedirequel lacou r p e	---|--⌫|--|-⌫------|-|---|---|-|---⌫-⌫-⌫|
ne limef f ézfumes	-|-|---⌫-⌫--|-|--|
mo utl enbla smadurementd estrangemaniere	--⌫-||-|---⌫--|-------||-------|------|
Et l aben eo iteuiergeq ui	-|-⌫|---⌫--⌫--|-----|-⌫-|
enu setenc oustumed ubienha ucier	-|-⌫|-|-|-⌫------|-⌫|---|--⌫----|
etal eue rfuua pourchacier e t enquerre paroeuu resle	-|--⌫---⌫|-|-|----------|-⌫|-------|--|----⌫--|-|
preudommep orleuallet aquiil	--------|-⌫-|-|-----||--|-|
me to ituil ai nblas mes us	--⌫--⌫-|---⌫--⌫|----⌫-|-⌫-|
pr iamout etre quistqueil feistpes	--⌫-|---|-|--⌫----|--|-|----|--|
seriantets ine eust en uersluinuleha ine	------|-|-⌫|-|---|--⌫---|--|---|--⌫--|
Et cilli r esp ondi que	-|--|-|-⌫---⌫---|--|
que il e nferoitp es	--|-|-⌫|-----|-⌫-|
fust ilhoniznequan t	---|-|----|-|----⌫|
il iam ésfera a lui	-|---⌫--|---||--|
Lauiergelipriaet	-|-----|-|---|-|
requi std erechiefqueillessastl a	-----⌫-|-⌫|------|--|-|------|-⌫|
f ollieester etquepor	-⌫----|----|-|--|--|
Dieuen ait piti éz	---|-|--|----⌫--|
eti l r espontqueele se	-|-⌫|-⌫-----|--|--|-|
trauailloi ten ua in	----------⌫|-|--⌫-|
Dune ch o se	|--|--⌫-⌫-|
seureque iap orlui r iensn	----|--|-|-⌫-|--|-⌫---||
At ant lessaester	--⌫--|----|----|
laparolepuisquele nipot	-|-----|---|-|--|||--|
conq uester ri ens	----⌫-----|--⌫--|
silid ist bele mentaupartir	-|-|-⌫--|----⌫---|-|-----|
Amis porce setum as e n	---|--|-|-|-||-|-⌫|
de spitne medespiramie	--⌫---|-|-|------|--|
Ilertdignes depardonneret d	-|--|-----|-|--------|-||
so nuou loirce q ue li	--⌫|---⌫---|-|-⌫-|-|
uilain pechié desuoie nt	-----|------|-------⌫-|
Atant semistcil ala uoieen	----|-|---|--||-|---|-|
quinul e pitié	--|---⌫|-----|
s ene stens ames onent réz	|-|-⌫-|-|-⌫|---⌫-|---⌫---|
Ilsecouchalanuit ensonlit	-|-|-----|-|---|-|--|--|
ousesdeliz estoitmoutpo ures carune	-|--|----|-----|---|--⌫---|--|--|
fieuremoutfort	-----|---|---|
lepristqui	-|----|--|
to uz lesmembr e slidebrisa	--⌫-|--|-----⌫-⌫|-|------|
Ilot la nuit tant dangoiss eque	-|-|-|---|---||-------⌫|--|
p a rpou qu il nefu morz	-⌫-⌫|--|-|-|-|-|---|
M estantostcommeilaueüesclarcir	-⌫-|------|----|-||---|--------|
s iseleu asie rt	-⌫|-|---⌫|-|-⌫-|
uenuz asainte	----||-----|
Geneuieuesiot lageule baeeetsoufloi t	--------|-|-|-|----|---|-|-------⌫|
ausintcommehou rsqui escume	-----|----|---⌫-|--|-----|
Il uenoittou tausi laidementced istl escripturecome	-|-----|---⌫|---|--------|-|-⌫--||---------|---|
Ilfesoitmauuaisechiereet matesi	-|-----|-------|-----|-|---|-|
le ss oitcheoi r asespie ́z	--⌫--⌫--|-----⌫||--|---⌫-|
etlirequeroitmercie tpardon	-|-|--------|----|-⌫|-----|
Etcel e q uiestoi t plaine depitié	-|---⌫|-⌫-|-----⌫|-----|-|-----|
neledesdeingna pas	-|-|---------|--|
por son forfet	--|--|-----|
ainc ̧oishau sa sam ainsile se in gna	----⌫---|---⌫-|-|-⌫--|-|-|--⌫--⌫--|
ett an tos tcomme elelot	-|-⌫--⌫---⌫|----|--||-|
sein gniéilfu touzgariz	----⌫----|-|-|---|----|
Beneo izsoit	-----⌫-|---|
C ri s tq uiasamie	-⌫--⌫-⌫|-⌫-|||---|
fett ele henneur	--|-⌫--|------|
soi tbeneo i te eten nouree	---⌫|-----⌫-⌫-|-|--⌫-----|
quant eleladeserui e	----|--|||-------⌫|
Lauierg eue noi tu niour	-|-----⌫|--⌫---⌫|-⌫|---|
Orlien s ou eleauoitsouffer tmaintgrant torment	------⌫|-|--|----|-------⌫|----|----|------|
dede ns lariuiere de	----⌫-|-|------|-|
po uoit nuirenegreuertant	--⌫---|----|-|-----|---|
par estoitferme encr eance	--|-----|----|-|--⌫----|
E leot t a ntnagiéque elefuuenuea	-⌫-|-|-⌫-⌫-|-----|--|--|-|----||
Tou rset mainten ant queele fuis s uedela	---⌫-|-|-------⌫--|--|--|-|--⌫-⌫-|-|-|
mo u stier sitrouamerueille sd egenzquiesto ient	--⌫-⌫----|-|----|---------⌫|-⌫|---|--|----⌫---|
Chasc unsauoit	-----⌫--|----|
un deableq ue	-|-----|-⌫-|
nusn enpouoithors geter e t	--||-|-----|---|----|-⌫|
lesdeab les crioientpa rmile sbouchesdeceulzenqui	--|----⌫--|-------|--⌫--|--⌫|------|-|----|-|--|
corsilestoient e tdiso ient	---|-|-------|-⌫|----⌫---|
G eneuieuesainteu ierge tabonténous	-⌫-------|-----|-⌫----|-|-----|---|
Nous nep orrons	---|-|-⌫-----|
nullieu nousmorronspar	--|---|---|------|--|
Nouss omm e smatézet confonduzparuozb on té zet	---|-⌫---⌫-⌫|-----|-|--------|--|--|-⌫--⌫---⌫|-|
paruozprieres	--|--|------|
Geneuieuefont li deableuous	--------|---|-|-----|---|
estestropueritable	----|---|--------|
No us tauo nsfai ztouz lestourmenz et	--⌫-||---⌫-|---⌫|---|--|-------|-|
to utela desc ouu enue	--⌫--|-|----⌫---⌫---|
aseueen leue	-|--|-||--|
G eneuieueotentenduela uoiz desde ables	-⌫-------|-|-------|-|---|--|--⌫----|
sifistla croiz sorce uzdedenz qui	-|---|-|----|--|--⌫-|-----|--|
co rsilestoient ma in tenant	--⌫-|-|-------|--⌫--⌫-----|
Quantl auiergele s	----|-⌫|-----|--⌫|
o ts e ingnie ́ zilsede partirentd eulsque	-⌫|-⌫-⌫------⌫-⌫|-|-|--⌫--------||---|--|
porentdemourerAlendemain	-----|-------|||-------|
e stoit lasainte	-⌫----|-|-----|
uiergeen la	-----|-|-|
Mart in ouele feso itseso roiso nsetunshonsqui	----⌫-|-|--|----⌫-|--|-⌫-----⌫-|-|--|---|--|
iestoit forsenézcouroitsouuent	|-----|--------|------|------|
par deuantl u i	--|-----|-⌫-⌫|
L ideableq uidede nslu i	-⌫|-----|-⌫-|----⌫-|--⌫|
otmaumisto uz lesm embre s etdefr oisi éz	-|-----|--⌫-|--|-⌫-----⌫|-|----⌫----⌫--|
Illi a uoitt an t malfet quasséz li	-|-|-⌫---|-⌫--⌫|--|--|-|-----|-|
o t empiriee lacoulor	-⌫|-------|-|-----|
mout dol entesi	---|---⌫---|-|
adit alennemi	|--|||-----|
Orhorsm auuésesperitenuieu s	-|---|-⌫-----|------|------⌫|
uo us uous	--⌫-|---|
endepart iroizcarianiesplo iteroizriens	-|------⌫----|--|-|||-----⌫------|----|
uoeil qu euo usi demouroizplus	----|--⌫|--⌫-||--------|---|
bienquilen	---|-|||-|
es tuetdepart irsisen	--⌫---|------⌫-|-||-|
ueutissirparmil	---|----|----||
H a fe tla	-⌫|--⌫|-|
sai n teuierge mauuésesperitplusaualer	---⌫-⌫-|-----|------|------|---|-----|
u ouscouien t	-⌫--|------⌫|
Issiéz uousentostpar de rrierequepar	------|---|-|---|--|--⌫-----|--|--|
lalumierenenistroiz mie	-|------||-|------|--|
Li d eab le s	-|-⌫---⌫-||
i ssuzpardesouz commed esco nfizetmat éz	-⌫---|--|-----|----|-⌫----⌫---|-|---⌫--|
Damedieuala medel ommes auuee	-------|||-⌫-|-||---|-⌫----|
p arlap rierede lasai nte uierge	-⌫-|-|-⌫----|-|-|---⌫--|-----|
etso n corsr emisensante ́	-|--⌫|---|-⌫---|-|-----⌫|
Ilp e rt bie nquei l ert sesamis quan til	-|-⌫-⌫-|---⌫|--|-⌫|--|--|---|----⌫|-|
otpor luifet cestbi au mi rac l e	-|--|--|--|---|--⌫-|--⌫---⌫-⌫|
I ciaprés uous en	-⌫-|-----|---|-|
autr eretra iz	----⌫|-----⌫-|
Geneuieue estoi t	--------|-----⌫|
unior dedenzsacelle siuituenirune	-|--|-----|-|----|-|--|----|--|
mes chine que	---⌫----|--|
Di ex ate l	--⌫-||--⌫|
eur ia me noi t	--||-⌫--⌫---⌫|
Eletenoit ensa m ainuneampou lequi	--|-----|-|-|-⌫--|--|-----⌫-|--|
estoit plainnedeh uil le	-----|------|-|-⌫---⌫-|
Cilquil umai n lingna ge engingneetfoule quanqueil	--|--||----⌫|------⌫-|-------|-|----|------|-|
p uetestoit desusl enpoleassis	-⌫--|-----|----||-----|----|
C estnostre enci enanemisquitouziourz	|--|-----|----⌫-|-----|--|---|----|
entent a mestre ens esliens ceulzq ui doiuent	-----||-----|-|-⌫-|----|----|-⌫-|------|
auoir pa ra disquiestleurheritages	----|--⌫--⌫--|--|--|---|--------|
Por ce si ne	--|-|-|-|
fau draia senuie tantcommee nuies era	---⌫--|-||----|---|----|-⌫---|-⌫--|
Las ainte uiergeapelala	-|-⌫----|-----|----|-|
meschinequim outplusma uuaisemecineport o it	-------|--|-⌫--|---|--⌫-----|-----|----⌫-⌫-|
necuidoitcareleauoit en chargi émauuésuessel	-|------|--|--|----|--⌫------⌫-|------|-----|
desus la bouche	----|-|-----|
a lenp olle	||---⌫---|
fet lasai nte uierge	--|-|---⌫--|-----|
or medites	-|-|----|
queuo us portézet ne lemecelézmie	--|--⌫-|------|-|-|-|-|-----|--|
Celerespondi	---|-------|
p orthuillequ eieachetaio re aceport	-⌫--|-----|--⌫|-|------|-⌫-||-|---|
March eanz la m ont	-----⌫---|-||--|
Lasainteuierge saprochatan t	-|-----|-----||------|---⌫|
de lenpoll equ elesouff laius	-||------⌫|-|--|-----⌫-|--|
ledeableetabati ius a la terre et	-|-----|-|----|--||-|----|-|
tan t ostd	---⌫-⌫--||
i luecdepa rtizhonteul zetmaz	-⌫---|----⌫---|-------⌫|-|--|
siqu etuitcilq uiilu ecfure ntle	-|--⌫|---|--|-⌫-|---⌫-|----⌫-|-|
uir en tapertement	---⌫--⌫|---------|
igaain gnariens	|-----⌫--|----|
La sainteui erge saingna l	-|-----|--⌫---|------||
uilleetce le	----|-|--⌫-|
qui lotachatee len a po rteeen	--||-|------||-||--⌫---|-|
Lasainteuiergefesoi te nunaous tso ierblézque	-|-----|-----|-----⌫|-⌫|-|----⌫|--⌫--|----|--|
eleauoitelte rro u erd e	--|----|-|--⌫---⌫-⌫-|-⌫|
Alaueoirc ess oi eurs m es eleotla est émout	--|----|-⌫-|-⌫--⌫---|-⌫-|--|-|-|---⌫-|---|
peti t quantunsorages le uamou t	----⌫|----|--|-----|--⌫-|---⌫|
fo rtquiauso uu riers fistgranzan uiz	--⌫-|--|--|-⌫--⌫----|---|----|--⌫--|
Lapluie fugranzetli uenzausietli	-|----|-|----|-|-|---|---|-|-|
tou rmenzcommen ça	---⌫----|------⌫--|
s igranzquil necuidi erentmie	-⌫|----|-|-|-|-----⌫----|--|
uiureuneseule heure	----|--|----|----|
nous estmestier que	---|--|------|--|
secourié z	---------⌫|
Dieu aidiéznou s	---|------|---⌫|
