anceltans quelimostier	-|--|---|--|-|------|
etla plusdroite	-|-|---|-----|
balaam lirespondi senetan segnelo y nou u ellemant	-----|-|-------|-|-||--⌫----|--⌫|---⌫-⌫-------|
cont r ouee ainznosesta ncienemantbailli e	----⌫-⌫---|---|--|--|-⌫---------|------⌫|
et estaubliequarnostresires dis t azzr icheh ome	-|--------|---|-----|----|---⌫||-|-⌫---|-⌫--|
quilidem andoit	--|-|---⌫-----|
q uil f e ro itpor auoirui eparduraubleet	-⌫|-|-⌫-⌫--⌫-|--|----|--⌫|----------|-|
quise gl orifioitdece quilauoitgardees	--|-|--⌫-------|-|-|-|-|----|------|
toute s ce s chosesqui	-----⌫|--⌫|-----|--|
estientconmandeesan lafoi.	------|---------|-|-|--||
unechose cedi tno stresires tefaut	--|----|-|--⌫|--⌫---|----|-|---|
uahetsiuanquanque	--|-|-|--|------|
tuaset doneaspouretout	-|-|-|---|-|----|---|
etpuissi pranlacroiz	-|---|-|---|-|----|
et me suif.	-|-|---||
quantciloycelepa rollesi	----|--|-|---|--⌫----|-|
fu mont tristesq u ar il es t oit	-|---|------|-⌫-⌫-|-|--⌫-⌫--|
m ont ri chesho ns	-⌫--|--⌫---|--⌫-|
nostre sir esleu ittristes ili	-----|---⌫-|-|-⌫-|-----|-⌫|-|
d it hahaplusgrief chose	-⌫-|-|-|---|----|----|
esta cauxqui	--||---|--|
ontlesriches ces terriennesentreren para disq u il	--|--|------⌫--|---------|-----|-|----⌫--|-⌫|-|
neseroitg riefchoseantrerzz	-|-----|-⌫---|----|-----|-|
chamoilparlepertuisdunea guyll e.	------|--|-|------||--|-⌫-----⌫||
ilcelcommande mant	----|--------⌫---|
oirenttuitlisein t	-----|---|-|----⌫|
se departirent d e toteslorr ichescesterrienne set	-|----------|-⌫|----|--|-⌫-------|---------⌫|-|
lesdo nerent toutesa s pouresetp ristr e n t lacroix	--|--⌫-----|-----|-⌫|-----|-|-⌫-----⌫-⌫-⌫|-|----|
et ansint ui rre n t ihesu	-|-----|--⌫---⌫-⌫|----|
po rcened outer	--⌫|-|-|-⌫----|
miequecestconmandemanznesoitdeno stresegno rihesu	--|--|---|-----------|-|---|-|--⌫---|-----⌫|----|
cr istqui nosensegne a despi r e lesric h es cester rienes	--⌫--|--|--|------||-----⌫-⌫|--|---⌫-⌫--⌫--|---⌫-----|
etamer lesceles tia x.	-|---|--|-----⌫---⌫||
et iosaphatli dis t	-|-------|-|---⌫|
p uisqu ecistc onmandemanz est s ianciens porq uoine	-⌫-----⌫|---|-⌫----------|--|-⌫|------|--|-⌫--|-|
letien tdonquestouzli	-|----⌫|------|---|-|
b alaamlirespond i mont degentl on t tenuet	-⌫----|-|-------⌫|---|-|---||--⌫|---|-|
tienenta ncoreetnequedam sicomm ed it nostresires il	------|-⌫----|-|-------|-|----⌫|-⌫-|-----|----|-|
d egenzquiu oisientlestroiteuoi e	-⌫|---|--|-⌫------||-------|---⌫|
qui uon t lalarge qu ar	--|---⌫|-|----|--⌫-|
quiest une foiz	--|--|--|---|
a bandon ezala couoitised el mondene	-⌫------⌫-||-|--------|-⌫-|----|-|
esautr esdelizils en partmona	-|----⌫-|----|-||-|---|--||
mes puisque nos tresiresconmandepar ses prophetes	--|------|---⌫--|----|-------|--|--|--------|
a tenir sa loyse	|----|-|--|-|
nosn ela tenons	--|-⌫|-|-----|
por ce neuautele mienoauzqua ra nsint	--|-|-|---|--|--|----|---⌫|-⌫----|
comme lisoloix est antses rais p orenl u minerlemonde	----|-|-----|---⌫--|--|---|-⌫-|---⌫-⌫----|-|----|
ansintestantn os tresiresles commendemanz desa	-----|-----|-⌫--⌫--|----|--|-----------|-|-|
lo y por ensegn iertou tes	--⌫|--|------⌫--|---⌫--|
a uc unsclots esioulzquil neuoie le	-⌫--⌫--|---|-⌫-|----|-|-|-|---|-|
soleilne saclarteporcene	-----|-|-|-----|--|-|-|
doiue nt pasliau treleso leil	-----⌫-|--|-|--⌫--|-|--⌫---|
reprandrene desennorer	--------|-|---------|
einsendoitcheoirtouzles mauxs or	---|-|---|-----|---|--|---|-⌫-|
cexquisaclarte	--|--|-|-----|
ne uoillentesgarder	-|-------|-------|
et sifaitilquari l uonttastant les	-|-|---|-|---|-⌫|---|------|--|
pa ro izet	--⌫--⌫-|-|
si chi en tes	-|---⌫--⌫|-|
f osse s .	-⌫----⌫||
eta usin t commeli souloil zen lumin eceluqui	-|-⌫----⌫|----|-|-------⌫|--⌫-----⌫|---|--|
cl a rem antl eregarde aus idon e no stresire ihesu crit conmunemant	--⌫-⌫---⌫--|-⌫|------|---⌫|---⌫|--⌫---|---|----|---|----------|
charte desagracesi uoiltourirlesieulzencontre	-----|-|-|----|-|----|----|--|----|-------|
mesil haidon éachascun selo n	--|-|--|---⌫-||------|----⌫|
ce q uil hai	-|-⌫|-|--|
dessierréetc ouoiti équa rl i s eloizde iostise	---------|-|-⌫------⌫-|---⌫|-⌫|-⌫----|-|------|
ne def aut	-|---⌫--|
anel u iquiregarder le uoilleneilnanlumine	|---⌫-⌫|--|-------|-|-----|-|-||-------|
sonescian t laisse lalumiereetsepr entes	--|------⌫|-----|-|------|-||---⌫--|-|
q uardexa i donéa	-⌫--|--|-⌫|----||
chasc unfranciugeman t	-----⌫-|----|-------⌫|
po reslire	--⌫|-----|
lou q uelqu	--|-⌫--|-|
il uoiltou lumiereoute nebres tantcomme	-|----|-|------|-|--⌫-----|---|----|
ilestancests iecle .	-|--|-|---|-⌫----||
atant demandai iosaphat que e sto itfransiu gemant	----|-------|-------|--|-⌫---⌫-|----|--⌫-----|
etbalaamlirespondifranciugemantest uneueluntez	-|-----|-|-------|----|-------|--|--|-------|
dearme raisonauble q u isanzcont rouieman tdenel ui eslit	-|---|----------|-⌫-⌫|---|----⌫--------⌫|-|---⌫-|----|
le quelqu eleueiltoubienoumaul.	-|---|-|--|----|-|---|-|---||
etio saphatliditestil plus	-|--⌫-----|-|--|--|-|---|
de gensqui cescho sespreeschentq u e tu	-|---|--|--|---⌫--|---------|-⌫-⌫|-|
to uzseulz q uisi	--⌫-|----|-⌫-|-|
duremantenseignesahairla	-------|--------||---|-|
pres anteuie	----⌫---|--|
bala amlirespondi en cestroiaumen en	----⌫-|-|-------|-|---|------||-|
conoisgepluis	-----|-|----|
quarlicruauteztonperelesaitouzoccis	---|-|-------|--|---|--|-|---|----|
e tdestruzpo r cequi uoloit	-⌫|------|--⌫|-|-||-----|
que tun o isses ia cestecreanceremanbrer.	--|-||-⌫----|-|----|------|--------||
e t iosap hatli ditonquesmes peresnoy	-⌫|-----⌫--|-|--|-----|--|----||-|
det e ilc hoseparl e r	-|-⌫-⌫-|-⌫---|----⌫-⌫|
balaamr espondi iln oy onque s riens quiaprofist	-----|-⌫------|-||-|-----⌫|----|--||------|
litornast quaril ailesieulz	-|------|---|-|-|--|----|
del cuerclou ssi qu eil ne	--|---|----⌫|-|--⌫|-|-|
uoit lalumiere.	---|-|------||
e t iosaphatl idit	-⌫|-------|-⌫|--|
simaist dex ge uoudroi equ i l	-||---|--|-|-------⌫|-|-⌫|
eusttout es	---|----⌫-|
ceschosesbien aprises	--|-----|---|------|
etbalaam lidistsecui t	-|-----|-|---|-|---⌫|
bienqueancor esser aii lpartoi	---|--|-----⌫-|---⌫-|-⌫|--|--|
sausetquetuseras	---|-|--|-|----|
pe restonpereq uarioiiapar lerduin	--⌫--|--|---|-⌫--||-|-|---⌫--||--|
mon t biengouern oitsonreg neetqui montestoit	---⌫|---|------⌫--|--|---⌫-|-|--|---|-----|
prodo ns sene	-----⌫-|-|-|
fust cequil estoi t	---|-|-|-|-----⌫|
paiens etdelto ut ab andonezacultiuerl es yd oles.	-----|-|--|--⌫-|--⌫------||-------|-⌫-|--⌫---||
cil ro ysauoit	--|--⌫-|----|
zzconseil lier moutbon e t mout	-|-------⌫---|---|--|-⌫|---|
saige q uimoutestoitbienaornezdetoutes	----|-⌫-|---|-----|---|-----|-|-----|
lesm anieresdeuertuzq uia par tenoientadeune	--|-⌫------|-|-----|-⌫-|-⌫---⌫-------||--|-|
cilcon s ei llierses to it	--|---⌫-⌫--⌫-----|--⌫--⌫-|
montdolenz d e ce	---|-----|-⌫|-|
quecilroysmenoit	--|--|---|-----|
enteleerroret	-|---|----|-|
souant l enuoloitrep ra ndrem asilne	-----||-|-----|---⌫--⌫---|-⌫-|-|-|
par oissoit quar ilauoit	---⌫------|---|-|----|
paorquesel iroyss	---|--|-|-⌫|---||
encorroucoi t	-|---------⌫|
et quilettouzseslignaiges	-|-|-|-|---|--|--------|
n enfusthoniz.	|-|---|----||
po rcese pa nsaiqu	--⌫|-|-|--⌫---|-|
ilatendr oitet leuet	-|------⌫--|-|--|-|
ta nsquillan	--⌫-|-|-||-|
peustmet rearaison.	----|---⌫-||-----||
unioruintliroysalui	-|--|---|-|---||--|
si li distuienauec moietnosiro ns iouer	-|-|---|---|---|--|-|--|---⌫-|----|
parlacit e	--|-|---⌫|
en sintconmecilauloient siuiren t zzraide c larte	--⌫---|----|--|-------|-|-----⌫|-|--|-|-⌫----|
qui reluisoiz	--|--------|
par z z pe rtui s	--|-⌫|--⌫----⌫|
etilaul oie nt	-|-|---⌫---⌫-|
aupertui setu irentzz	-|------⌫|-|-⌫----|-|
seuz terrinouilauo ientzz peti thabitacle .	---|-----|-|-|---⌫---|-|----⌫|--------||
encel habitaclesiauo itzzho m e	-|--|--------|-|---⌫-|-|--⌫-⌫|
etsafammequi estoient si	-|-|----|--|-------|-|
po urequ iln e stoi t rien sen terre quil	--⌫--|-|-||-⌫----⌫|----⌫|-|----|-|-|
eussent mesilchantoie ntetmentoitlagregnorioieque	------|--|-|--------⌫-|-|------|-|------|---|--|
nulgenz peusen tmener.	--|---|------⌫|----||
tu itcilqu iauecleroyestoient regardoient	--⌫-|--|--⌫|---|-|--|-------|----------|
c es cho sesa	-⌫-|---⌫--||
m eruoillesdece que	-⌫--------|-|-|--|
cilmenoient siriche uie	--|-------|-|----|--|
quiestoient sipourequiln	--|-------|-|----|-|-||
auoie ntqueues tir .	-----⌫-|--|---⌫--||
lors dist liroysaso n consoillierha doulz	---|---|-|---||--⌫|----------|-|----|
amisorpouezueoir	---|-|----|----|
meruoilles .	---------||
nosq uitant auons etbien	--|-⌫-|---|----|-|---|
aiseencests iecleets i nenos ploust	---|-|---|-⌫----|-|-⌫|-|--|-----|
onquesta ntcomme a cauxplestcestpoure	-----|--⌫-|----||---|----|---|----|
uiequisi est aspreet	--|--|-|--|----|-|
ele lorsenbles ouefetliegi er.	--|--|-----|-⌫---|-|-----⌫-||
lorssout bienciletui t	---|---|---|--|-|--⌫|
quil estoitbienliusettansquil	-|-|-----|---|---|-|---|-|-|
me istleroi araisonde cedoni l	--⌫--|-|--||-----|-|-|--|-⌫|
au oitengrantdessierrier.	--⌫--|-|----|----------||
tesamble il de ces tegent	-|-----|-|-|---⌫-|---|
lirois l ir es pondiilme sembleque lal o r	-|---|-⌫|-⌫--⌫----|-|-|-----|--|-|-⌫-⌫|
uie soit la plus	--|---|-|---|
maleure e qu eg eomques maisu eis se .	-------⌫|--⌫|-⌫|-----|---|-⌫---⌫-||
etcilli res pond iroysbiensaiches q ue	-|--|-|---⌫----⌫|---|---|------|-⌫-|
encore lo rsemble la nost reuieyyta nz plus	-----|--⌫|-----|-|----⌫-|--|-|--⌫-|---|
m aleurousesquar	-⌫---------|---|
totes n osr i chescesde	----|-⌫-|-⌫-⌫------|-|
sont au si comme	---|--⌫-|----|
fiens a caux quiontessaiéla doucor dela	----||---|--|--|------|-|-----|-|-|
uiepard urauble eta usint comme	--|----⌫------|-|-⌫----|----|
il no s s e mblequil deussen testre	-|--⌫|-⌫-⌫---|-|-|-------⌫|----|
dolantporlorpourete del	-----|--|--|------|--|
cors encorelor	---|-----|--|
sanb leilassezp lusquen os	----⌫-|-|----|-⌫--|--|-⌫-|
deusenses tre	------|--⌫--|
dolan tpo rla pouretede	-----⌫|--⌫|-|------|-|
decesparo lesfuli rois toz esbaiz	-|--|----⌫--|-|-|---|--|-----|
etdist quimoined onc meillor	-|---|--|----|-⌫--|------|
uiedenosil respondit u itcilquid egerpissent	--|-|--|-|-------|-⌫-⌫-|--|--|-⌫----------|
leschos es tempore x	--|----⌫-|-------⌫|
porles chosesp ardur aub les .	--|--|-----|-⌫-----⌫---⌫--||
et qu ant liroys liout de man d é queestoit	-|--⌫--|-|---|-|--|--⌫---⌫-⌫-|--|-----|
uiepard urableilli resp o n dicest zz	--|----⌫-----|-|-|----⌫-⌫-⌫-||--|-|
regnes p ardurablesqui	-----|-⌫---------|--|
nepue tfaillir .	-|---⌫|------||
tu itcilquiise ront	--⌫-|--|--||--⌫---|
s ero ntsirichequilne	-⌫---⌫-|-|----|-|-|-|
douterontne maladie nepour eteeinzseront	--------|-|------|-|----⌫--|---|-----|
tozio rzenioiepardurauble.	--|--⌫-|-|---|----------||
etliroysli d is t	-|-|---|-|-⌫--⌫|
quisontcilqu iceste ioie	--|---|--|--⌫|----|---|
il li resp ondituitcilqui	-|-|----⌫---|---|--|--|
uontla droite	---|-|-----|
uoie qui a celeui e	---|--||---|--⌫|
moinedon la	----|--|-|
ui eestmont legierea caux qui	--⌫|--|---|------||---|--|
la dessirrent.	-|---------||
etli roysli dist et	-|-|---|-|---|-|
quexastlau oiequi iluec q ues	---|--|-|-⌫--|--|-----⌫-⌫--|
illi re spondilauoie quimo ine a lauie	-|-|--⌫-----|-|---|--|--⌫--||-|--|
pardurablesi estcroi r eet	---------|-|--|----⌫-⌫|-|
aorernostre	----|-----|
segnori hesucritetf ere lesconmandemaz.	-----|-⌫---|---|-|-⌫--|--|----------||
liroisli distcommant uace que tu	-|---|-|---|------|-|-|--|-|
nemasp iecaf eit	-||-|-⌫---|-⌫--|
sauoir ces choses quarilmesem bl e que	-----|--|-----|---|-|-|---⌫--⌫|--|
secesc hosessonueraie squen nel es doit	-|--|-⌫----|--|------⌫|-|-|-|-⌫-|---|
mie despireet s	--|------|-||
e l essontdo uteuseslanles	-⌫-⌫-|---|--⌫------|--|--|
doitta ntenque rrequelan ensac he l auerite	---|--⌫-|-----⌫--|--|--|-|---⌫-|-⌫|-----|
et cilr espondi	-|--|-⌫------|
roysnedouter m i equecenes oit	---|-|-----|-⌫-⌫|--|-|-|-⌫--|
uoirs etbiensaichesque gelesailes sie s a	----|-|---|------|--|-|--|-|---⌫---⌫||
direforspor cequegedoutoie	---|---|--|-|--|-|------|
quet uen fusescorrociez .	--|-⌫|-|----|--------||
lemeconmandesgetereman te urai souant pu isore en	-|-|--------|-|-|-----⌫--⌫---|-----|--⌫-|--|-|
li roisleresp ondiieuoil u oirementquetu	-|---|-|----⌫---|-|---|-⌫-------|--|-|
les meremantoiueset non	--|-|----------|-|--|
mies uelemantto z	--|-⌫-------|--⌫|
lesior smestotesle s hores	--|---⌫|--|----|--⌫|----|
deliorqueiln ecouient mie	--|--|--|-|-⌫|------|--|
at ex choseslaschemant	|-⌫-|-----|---------|
e n tendremesengran t est u de	-⌫-⌫-----|--|-|----⌫|---⌫-⌫-|
et en gra nt ardurede	-|-|---⌫-|-----|-|
puisfucilroys	---|-|--|---|
crest ieinset paruint a hautereligion.	-----⌫----|-|------||----|-------||
en sintpar	--⌫---|--|
auent ureauendrai ilencore	-----⌫--|-------|-|-----|
de tonpe requarseauscu n s li dis o itle	-|--|--⌫-|---|-|-----⌫-⌫|-|---⌫-⌫-|-|
bienparauantur eilantandroit etlaisse roitle	---|--|-------⌫|-|---------|-|------⌫---|-|
mauletsetendroita ub ien	---|-|-|-------|-⌫|-⌫--|
atant liditiosaphatdemonpere	----|-|--|-------|-|--|---|
facedexsonplaisir	---|--|--|------|
mesporceq ue ie aiaprispar	--|--|-|-⌫-|-|-|----|--|
t es seintes paroleslaua nitedes riche sces	-⌫-|------|------|-|--⌫---|--|-----⌫---|
terriennesleraigetout et userai	---------|----|-|---|-|-----|
a uectoilourame nant de mauiepo r ceque	-⌫--|--|--|----⌫---|-|-|--|--⌫|-|--|
ges oieauoctoi parceniersdela ioie	-|-⌫--|---|--|---------|-|-|---|
parduraub lequiianeprendra ifin	---------⌫-|--|-|-|-------⌫|--|
ditse tufai z	--|-|-|---⌫|
ce q uetudiz	-|-⌫-|-|--|
tuserassenblaublesazztr es s aigedamoi seaul	-|----|----------||-|--⌫-|-⌫---|-----⌫----|
don ioi parler quiestoitf i lz	--||-|-----|--|-----|-⌫-⌫-|
amonttres richegentetse s	|---|---|----|---|-|--⌫|
pereslouuoloit marier	----|--|-----|-----|
mon t beledamoi selefillea zzmont	---⌫|---|-----⌫---|----||-|---|
ge ntil homeetmo ntriche.	--⌫---|---|-|--⌫-|----||
lo r suintasonfil	--⌫-⌫|---||--|--|
etl iditcon mantillebai ot a ma r ier.	-|-⌫|--|---⌫---|-|-|---⌫-||--⌫-⌫--||
e t p orce queli anfespansoitquelimar iaig es	-⌫|-⌫-|-|--|-|----|------|--|-|---⌫----⌫-|
seroitmaluaisas on oes si deg erpison	-----|------||-⌫-|--|-|---⌫---|--|
pere ets en	---|-||-|
tornaien fue.	-----|-|--||
commeils en fuioit	----|-||--⌫-----|
siauint qu ilas egnapor auenture	-|----|-|-|--⌫---|--|-------|
al amais o nazzpourehomeuaillantetilec	|-⌫|----⌫-⌫||-|----|---|-------|-|---|
repo usaiporlecha u t	----⌫---|--|-|---⌫-⌫|
auotlassé .	---|-----||
unesuelefille quecil uellarz auoit s eoita	--|----|----|--|--|------|----|-⌫---||
la porteet	-|----|-|
ilecourotd esesmainsetl ouoitnostresegnor s ans	---|----|-⌫|--|----|-|-⌫----|-----|-----|-⌫--|
repose t li	----|-⌫|-|
ren doitgracesde mont	---⌫---|-----|-|---|
lien fesquices choseso uoitli	-|--⌫--|--|--|-----|-⌫---|-|
dist fammecommantest c eque tuqui es	---|----|------|--|-⌫|--|-|--|-|
si po ur eets isoufratouse re nza d eausi	-|--⌫--⌫|-|-⌫|----------|--⌫-||-⌫|---|
haut ementgracescommesi ltauoit	----⌫----|-----|----||-⌫||----|
auc uneg rantrichescedonee	---⌫--|-⌫---|-------|----|
la dam ois eleli respondiet	-|---⌫---⌫--|-|-------|-|
ditdonc nesez tuqu eune	--|---|-|--|-|--⌫|--|
pet itemedecinegari stlome	---⌫--|-------|----⌫-||--|
soua ntde grantdelor	----⌫-|-|----|----|
ansintso nlesgracesqu	-----|--⌫|--|-----|-|
enrentdeses petizdonsachoison demont	-|---|-|--|----|---|-------|-|---|
g rantbienapres	-⌫---|---|----|
s e suifille acel pour e homeet	-⌫|--|----||--|----⌫|---|-|
nequedant gerangrace setbeneis nostre se gnorde	--------|-|--|-----⌫|-|-----|-----|--⌫---|-|
tantpouconilnos aidonéquar ge sui	---|--|--|-|--|-|----|---|-|--|
tou te certain equecilquices	---⌫-|-------⌫|--|--|--|--|
petiz donznos ai don e zqueilnos	----|---|--|-|---⌫-⌫|--|-|--|
pourai bien	-----|---|
don er gre gn orsquanti lipla irai	---⌫-|---⌫--⌫--|----||-|---⌫---|
etse nelirangemiegraces	-|-|-|-|--|-|--|-----|
s eulemantdecespetizb ie nsqu etu	-⌫-------|-|--|----|-⌫--⌫-|--⌫|-|
meu oizauoi rp ar	-|-⌫--|----⌫|-⌫-|
deh orsquarno s tres i resn esmaim iedonez	---⌫--|---|--⌫-⌫--|-⌫-⌫--||-||-|-⌫-|----|
mesprestez	--|------|
lesrichescesterri ennes	--|--------|-----⌫----|
nesontpas a c auxq uilesont quar	-|---|--||-⌫--|-⌫-|--|--|---|
nostr es ire sne leslo rai q uepreste esse ul emant	-----⌫|-⌫---⌫|-|--|--⌫|-|-⌫-|------⌫-|--⌫--⌫----|
ci lq uiasseze n ontn i	--⌫|-⌫-|----|-⌫|--|||
ontmiegrantproune c ilqui pou e n	--|--|----|---|-|-⌫-|--|--|-⌫|
mie grantdomaige.	--|----|------||
a autelfin uiene nt lipo ure comme li	|----|--|-----⌫-|-|--⌫--|----|-|
riche touz lescouient a mo rir	----|---|--|------||--⌫--|
etlorsenpo r teautant	-|---|----⌫-⌫-|-----|
li p ouresde sapouretecommeli	-|-⌫----|-|-|------|----|-|
richesde s arichesce .	-----|-|-⌫|-------||
liautre s ne nporte ntqueunehai reo u	-|-----⌫||-⌫------⌫-|--|--|---⌫-|-⌫|
z zlincuel.	-⌫|------||
biensaic hes	---|----⌫--|
quegener anmiegrace s ano strese gnor p or	--|-|-|-⌫-|--|-----⌫||--⌫---|--⌫---|-⌫-|
