moutparfugente c reature	---|--|-|----|-⌫------|
mausauenus	---|-----|
que meshom me senai	--|--|---⌫--⌫|-|-|
mortsontmi hom me et	---|---|-|---⌫-|-|
feistes moutgranthon te	------|---|----|---⌫-|
quede m oncheualmabatist es	--|-|-⌫-|-----||-------⌫-|
m a miemet o ls istes	|-⌫--|-|-⌫-⌫--⌫----|
gaietequei ena menoie	-----|--||-|-⌫-----|
larien selmontqueplu sam oie	-|----⌫|-|---|--|---⌫|--⌫--|
pro celiasmo c i stmonfrere	---⌫-----||-⌫-⌫-⌫-|--|----|
ma ispa rla fo i quedoimo n pere	--⌫-|--⌫|-|--⌫|--|--|--⌫|---|
iamaisde pa inne mengerois	-----|-|--⌫-|-|--------|
tantquegaietemerendr ois	------|-----|-|-----⌫--|
qu eie l a urai	--⌫|-||-⌫---|
en mab aillie	-|-|-⌫-----|
ouuousperdré spourli lauie	-|---|-------⌫|---|-|-|--|
athisrespont m outco rroucous	----|------|-⌫--|--⌫-------|
sire faitilencontreuous	---|---|-|-------|---|
naioreri en semerci non	|-|--|--⌫-|-|----|--|
uous me tendro isentelpriso n	---|-|------⌫-|-|--|-----⌫|
co nuousplera c e mes t auis	--⌫|---|----|-⌫||--⌫|---|
carenuoslasm a ue ́s	--|-|--|--||-⌫--⌫-|
seuousuolés uous	-|---|-----|---|
etseuolésu o usme lairo is	-|-|-----|-⌫-⌫-|-|-----⌫-|
maispar ma mort nep arma uie	---|--|-|---|-|-⌫-|-|--|
degaietena urésuous mie	-|-----||-⌫----|---|--|
car elenest enmondes t roit	--|--||--|-|--|---⌫-⌫---|
nesi grantf aisnesofferroit	-|-|----|-⌫--|-|---------|
queledaign astpormoiuenir	-|--|-----⌫--|--|--|----|
lairoitaincoismorir	------|------|----|
tant ontnagiéet tantco uru	---|--|-----|-|---|--⌫--|
olebonuent q uilont	|-|--|---|-⌫|-|--|
qu elregnebilas a rriuerent	-|-|----|----|-⌫--------|
e tlor nes il ec	-⌫|--|--|--⌫-|
a a ncrere n t	-⌫-⌫------⌫-⌫|
lagentbilas contre luiu ait	-|---|----|-----|--|-⌫--|
demandeluiconliestait	------|--|--|-|-----|
ill orrespont mo ut aperdu	-|-⌫-|------|--⌫-||----|
en la terreder omme ou	-|-|----|-|-⌫---|-|
olesrommains	|--|-------|
mecomba ti	-|-----⌫-|
moutlor fi smaletplusperdi	---|--|--⌫|--|-|---|----|
porgai ete quealai querre	--|---⌫--|--|---|-----|
m ont desconfi t	|--|--------⌫|
enmi l orterre	---|-⌫-|----|
si la p er duoc euls	-|||-⌫--⌫-||-⌫---|
autrefois regaaig nera	----|---|-------⌫---|
entrése nestenlacite	------|-⌫|--|-|-|---|
l anui t iot gra ntduelmené	-⌫|---⌫||-|---⌫-|---|----|
o lui enamenéathis	|--|-||----|----|
entelprisonla bil asmis	-|--|-----|||---⌫-|--|
onquesmaishons	-----|---|---|
ne uitplusmale	-|--|---|---|
safrec he c oulord euin t pal e	-|----⌫-|-⌫----|-⌫----⌫|---⌫|
en g ransbuies et en	-|-⌫---|----|-|-|
licouend rasoffrir	-|------⌫-|------|
enmalgesireng eun er	-|--|----|-|-⌫---⌫-|
li couend ra lonc tens ester	-|------⌫-|---|---|----|
tantquedieuslienuoit secours	------|----|-|-----|------|
maismoutiustiché la amors	---|---|--------|||----|
degaiete et ducompaignon	-|-----|-|-|---------|
p luslangoisseque	-⌫--||-------|--|
il lesregretetoute iour	-|--|------|----|---|
athis soeffredou bledolo ur	----|------|---⌫--|----⌫-|
de l aprisonetd es	-|-⌫|-----|-|-⌫||
m out maine dole reuse uie	-⌫--|----|----⌫----|--|
pardiuga ietefaitathis	--|--|--⌫---|---|----|
poisequant	----|----|
oru ousai iedutou t per d ue	-|-⌫--|-|-|-|---⌫|---⌫-⌫-|
lauostreioie es tderomp ue	-|-----|---|--⌫|------⌫-|
orsomm esnous si de sseuré	-|----⌫-|---|-|--⌫------|
iamais nes erons	-----|-|-⌫----|
rass amblé	----⌫-----|
lir oisbi lasnousaparti s	-|-⌫--|--⌫--|---||-----⌫|
li rassemble rsierta enuis	-|---------⌫-|---||----|
i lmetientciente l pai ne	-⌫|-|----|-|-|--⌫|---⌫-|
qu emoutpresde la	--⌫|---|---|-|-|
mortmemaine	---|-|----|
maispis mefa itla	---|--|-|--⌫-|-|
uostre amor	-----|---|
q u emap rison ne madolour	-⌫-⌫|-|-⌫----|-|-|-----|
liunsmestmaus liaut resgries	-|--||--|---|-|---⌫--|----|
fa ut m eli	--⌫-|-⌫|-|
cuers deultme lichies	----|----|-|-|----|
icistchar chans moutme iu stise	----|----⌫----|---|-|--⌫----|
q ue toutlecors	-⌫-|---|-|---|
me torte tbrise	-|---|-⌫|----|
etces buiesmefont moutmal	-|--|----|-|---|---|--|
quisimepois ent contr eual	--|-|-|----⌫--|-----⌫---|
metrench entet lesos	-|------⌫--|-|--|-|
ne puisau oir	-|---|--⌫--|
pointde rep os	----|-|---⌫-|
belese fussiés	---|-|-------|
moutpris a ss e petit cestfes	---|----⌫-⌫--⌫|----|---|--|
an g oiss es	--⌫-⌫----⌫||
estpa smés	--|--⌫----|
desus l ema rbree str eleués	----|-⌫|--⌫---|-⌫-|-⌫------|
a hi faitil procelias	-⌫-|---|-|--------|
compainsia mais n e	-------|--⌫---|-⌫|
meue rra s	-|--⌫---⌫|
por toiaimoutl e cue rd ole nt	--|--|-|---|-⌫|---⌫|-⌫---⌫-|
ettu por moile	-|-|--|--|-|
tiensouue n t	---|-----⌫-⌫|
d e tro ischoses suien martire	-⌫|---⌫-|-----|--|-|------|
ettoutestroismefontdesfi re	-|-----|----|-|---|-----⌫-|
pormapri sonetpormamie	--|-|---⌫--|-|--||---|
ami s etporta comp ai gnie	---⌫|-|--|-|----⌫--⌫---|
d eces yysu isi	-⌫|--|-|--⌫|-|
q u enesen t	-⌫-⌫|-|---⌫|
m eplai se	-⌫|----⌫-|
tantsu i destrainsn esai	---|--⌫|--------|-⌫|--|
q ue fai re	-⌫-|---⌫-|
nensaianul	|-|--||--|
chieftraire	----|-----|
asses uoldroiemieusmorir	----|-------|----|----|
q uecest eang oiss e	-⌫-|----⌫|---⌫----⌫|
soust enir	-----⌫---|
ca rqui tost mu ert	--⌫|--|---|--⌫--|
il est garis	-|--|----|
pui s quetousb ien sliestfai llis	---⌫-⌫--|---|-⌫---⌫|-|--|---⌫---|
en cest e paine estoitathis	-|----⌫|----|-----|----|
en lap ri sonouilestmis	-|-|-⌫--⌫--|-|-|--|--|
pourluipleure souu entdesieuls	---|--|-----|----⌫--|--|----|
proceliasn	--------||
a gai re s mieuls	|---⌫--⌫|-----|
gemist e t p or	-----|-⌫|-⌫-|
por luitraue il leetporlui eure	--|--|-----⌫--⌫-|-|--|--|---|
estoi enten torment	-----⌫--|-|------|
i letsasuercommu nement	-⌫|-|-|---|-----⌫-----|
and uifaisoie ntsacref ise	---⌫-|-------⌫-|------⌫--|
e tmaintenoientleserui se	-⌫|-----------|-|-----⌫-|
metedeprison fors	---|-|-----|---|
etdemaldeffendeso n cors	-|-|--|-------|--⌫|---|
p roc eliasaconseil pr i s	-⌫---⌫----||------|--⌫-⌫|
asonp er eetase s amis	|--|-⌫--⌫|-||--⌫|---|
compaignon	---------|
qu ebil astienten sapri son	--⌫|---⌫-|----|-|-|---⌫--|
euas estoi tdegrant uaillance	---|-----⌫|-|----|--------|
et otenrommegrantpuissance	-|-|-|----|----|--------|
porladolourde s esenfans	--|-|-----|-|-⌫-|-----|
t rist es mornespens ans	-⌫----⌫-|-----|----⌫--|
etpor lem er ueillousseruis	-|--|-|-⌫--⌫-------|-----|
queporluiauoit	--|--|--|----|
faitat his	---|--⌫--|
quesonfil li	--|--|--|-|
garidemort	---|-|---|
lirendil eguer redon	-|----|-⌫|----⌫----|
sonfil apelesili di t	--|--|----|-|-|--⌫|
cequeliuint en g ran t delit	-|--|-|---|-|-⌫---⌫|----|
toutespa rsmandecheu aliers	-----|--⌫-|----|----⌫-----|
lesconu enans ionesle g ier s	--|----⌫----|----|--⌫-⌫---⌫|
troplordonra or	---|--|----|-|
sespaiera a lor talent	|-|-----||--|-----|
nelaisseraipor	-|--------|--|
queienaillebileas s eoir	--|-||----|---|--⌫-⌫---|
iemeismes mescorsira i	-|------|--|---|---⌫|
ia t e fistil	-|-⌫|---|-|
sigrants eruise	-|----|-⌫-----|
deta m oillier qu eil otprise	-|-|-⌫------|--⌫|-|-|----|
quilte donnapor gariso n	-|-|-|----|--|------⌫|
contreser uiceguerredon	-----|---⌫---|--------|
q uipren t s eruice seldoit	-⌫-|----⌫|-⌫-----|-||---|
doiti u gier ap endre	---|-⌫-⌫---||-⌫----|
fuliesp rocelias	-|---|-⌫-------|
grantmercis re nt	----|-----|--⌫-|
sonpere euas	--|---|---|
decequeditmo ut	-|-|--|--|--⌫-|
de soncorageet des	-|--|-----|-|-||
enuir on soile s siens manda	-----⌫-|--|--⌫|----|----|
etles cheu a liersassambla	-|--|----⌫-⌫----|-------|
tantquenotbien yy	-----|-|-|---|-|
qui irontauecluiabile	--|----|---|--||---|
tantqu il f urent	-----|-|-⌫----|
tuit assambl é	---|-------⌫-|
ether berg iéparla cite	-|---⌫----⌫--|--|-|---|
fis t m out	---⌫|-⌫--|
belprese nt	--|-----⌫-|
moutlordonnaor et	---|--|----|-|-|
ar m esnegarnem ens	--⌫-⌫-|-|------⌫--|
eua slor endo nna mout gens	---⌫|--|-|--⌫--|---|---|
pr oceliasa	--⌫------||
mo ut grantsens	--⌫-|----|---|
et moutpr isten s oig ra nt po rpen s	-|---|--⌫--|-|-⌫-|-⌫--⌫-|--⌫----⌫|
re membrede lsecors	--⌫-----|--⌫|-----|
fistlemp ereor	---||---⌫----|
qua nt cil d egipte o loreffors	---⌫-|--||-----||--|-----|
arriuerent aromme espors	---------||----|-|---|
etligasterentson pais	-|-|--------|--|---|
ho m mesetproieorenti a p ris	--⌫-⌫--|-|----|----|-⌫|-⌫--|
etlui con quiset re tenu	-|--|---⌫---|-|--⌫---|
etdesoncheualab atu	-|-|--|-----|--⌫--|
rendelegu erredon	----|-|--⌫------|
uiegneausecourss oncompaignon	-----|-|------|-⌫-|---------|
lorsuintal ui	---|---||-⌫-|
toutbe lement et toutenpais	---|--⌫-----|-|---|-|---|
ale mpereour a par lé	||-⌫-------||---⌫--|
si lia di tsauol ente	-|-||--⌫|-|---⌫---|
sireempereresr o mulus	---|--------|-⌫-⌫----|
ce distproceliaslidus	-|---|--------|-|--|
ieuienga uous	-|----||---|
agrantbesoing	|----|------|
carienenaidetargierso in g	--|-|--|-|-|------|--⌫--⌫|
mescom pains est	--|---⌫----|--|
enautreterre	-|----|----|
no st reanemi lontpris par guerre	--⌫--⌫-|----||--|---|--|-----|
r oisie uousp ri carialés	-⌫--|-|---|-⌫-|--||----|
et deuos hommesim enés	-|-|--|-----||-⌫----|
si uousmembre de celmest ier	-|---|-----|-|--|----⌫--|
quathis u o u sotsous	-|----|-⌫-⌫-⌫|-|---|
cel grauier	--|------|
quantcildegipte arriuéfurent	----|--||-----|------|-----|
etparuostre terrecoru rent	-|--|-----|----|----⌫---|
r o isuou si	-⌫-⌫-|---⌫||
fu stes aba tus	--⌫---|---⌫--|
ba taille retenus	--⌫-----|------|
lipr eus athisuouss ec orut	-|--⌫--|----|---|-⌫--⌫---|
ensambleo uo u sestut	-------||--⌫-⌫|----|
qu iluous deliurap ar sonbranc	-|-|---|------|-⌫-|--|----|
et remontaso rl	-|------|--⌫||
auferr ant	------⌫--|
tan t uousa idatant uous ualut	---⌫|---|-⌫--|---|---|----|
et auecuoustantiestut	-|---|---|---||----|
qu ecil fure nt desbar et é	--⌫|--|----⌫-|------⌫--⌫-|
etdelaco ntree gité	-|-|-|--⌫----|----|
etsenalerent tui tirié	-||-|------|---⌫|----|
etnousretornamestui tlie	-|---|---------|---⌫|--|
sor uousen membre	|-|---|-|-----|
empere res uost re merci	------⌫--|----⌫-|----|
poramordelui	--|---|-|--|
m o utestdesecoursbesoigno us	-⌫-⌫-|--|-|------|--------⌫-|
proce l ias cedist	-----⌫-⌫--|-|---|
athi sestmout preuset	----⌫|--|---|----|-|
enluiamout	-|--||---|
boncheual ier	--|------⌫--|
li sienssecoursm o ti amestier	-|----|------||-⌫|-⌫|------|
une choseuousdi raibien	--|----|---|--⌫--|---|
que ie ne lifaudr aiderien	--|-|-|-|-----⌫-|-|---|
iel secourr aiamonpooir	-||-------⌫-||--|----|
app areil liéssuidelmouuoi r	---⌫-----⌫----|--|--|------⌫|
tous ceulsmenraide monpais	---|----|-----|-|--|---|
etmand eraitous mes	-|----⌫---|---|--|
ieman d erai tousles	-|---⌫-⌫---|---|--|
etsemondrait ouslesp rocha ins	-|--------|-⌫--|--|-⌫-----⌫--|
tousmeshommesomoimenrai	---|--|-----||--|-----|
iaun tout soln eni	-|-|---|--||-||
qui e ncheualpuisse monter	--|-⌫|-----|-----|-----|
nequiarmespuisseporte r	-|--|----|-----|-----⌫|
et ci l quia uec moi ni ront	-|--⌫|--|-⌫--|--||-⌫---|
il etloroir serfen seront	-|-|--|--|---|-|-----|
ianeseraencele terre	-|-|---|-|---|----|
athi squeiene	----⌫|--|-|-|
laillequerre	|----|-----|
mo utp ar seraforsl a	--⌫-|-⌫-|---|---|-⌫|
se a force nel e n traions	-||----|-||-⌫|------|
silmotmestieriel rendrai	|-||-|------|-||------|
delguerredon aprestéssui	--|--------|--------|--|
procelia smercislenrent	--------⌫|-----||-|---|
sirefaitilhastiuement	---|---|-|----------|
nouscoue ndroitcests ecoursfaire	---|----⌫-----|---|-⌫-----|----|
ilnamestier	-|||------|
detarder ga ire	-|-----|--⌫--|
carc il quil e	--|-⌫-|--|-⌫|
tien tletormen te	----⌫|-|------⌫-|
amestie rd aten te	|------⌫||----⌫-|
liroisrespo nt i ensu igarnis	-|---|-----⌫-||-|--⌫|-----|
lorsen u o ia tousse se scris	---|--⌫-⌫-⌫-|---|--⌫|-⌫----|
par mai ntesparsisnelement	--|---⌫---|---|---------|
eta ssamb l atou tesagent	-|-⌫-----⌫-⌫|---⌫-|-|---|
quantilotsa gentassamble e	----|-|-|-|---|--------⌫|
des ousr omm e	---⌫--|-⌫---⌫|
enlacontree	-|-|------|
tendent lortentessorlamer	------|--|-----|--|-|--|
etfi ren tlor	-|--⌫---⌫|--|
nes ap reste r	--|--⌫-----⌫|
de quanquonquesmesti er	-|-----|-----|-----⌫-|
en mersenpai gnentde	-|--||-----⌫----|-|
lor uoiles	--|-----|
d recents orlesmars	-⌫-----|-⌫-|--|---|
bonegentot proceli as	---|---|-|-------⌫-|
b on uent o rent	-⌫-|---|-⌫---|
por merpasser	--|--|-----|
n etarde rent	-⌫|-----⌫---|
gairesenmer	-----|-|--|
quantilorent lamerpa ssee	----|-|----|-|--|--⌫---|
sarriuentune matinee	|-------|--|------|
en later re bila s le	-|-|---⌫-|----⌫|-|
quimout e s tplai ns	--|---|-⌫-⌫|----⌫-|
degrantdesroi	-|----|-----|
lortres t endentenuironbile	--|---|-⌫-----|------|---|
plu senitendent deyy mile	---⌫|-||------|-|-|---|
licourre o u ru ontpar	-|------⌫-⌫-⌫|-⌫--|--|
p oruitailleet poreu equerre	-⌫-|-------|-|--|--⌫|-----|
robentet proient etdestruient	-----|-|------|-|---------|
et liuilai n	-|-|-----⌫|
braientetfuient	------|-|-----|
mouts enreuie nnent	---||-|-----⌫----|
biengarnis	---|-----|
p arlaterr elieuentles cris	-⌫-|-|----⌫|------|--|---|
cilquif uientet	--|--|-⌫----|-|
per dusont	---⌫-|---|
auroibi lasdirel euont	-|--|--⌫--|---|-⌫|---|
saterresontarriué	-|----|---|------|
estrange gent	-------|---|
qui sontarmé	--|---|----|
bil asfumoutd e gran t corage	---⌫-|-|---|-⌫|----⌫|-----|
et sotdeguerretoutl	-|--|-|-----|---||
carsipa rent a utretelf urent	--|-|--⌫---|-⌫------|-⌫----|
onques gaire s enpaisnesturen t	-----|-----⌫|-|---||-------⌫|
pa r saterre les r ommai nsuit	--⌫|-|----|--|-⌫-----⌫-|--|
sa gentapele si l ordit	-|---|----|-|-⌫-|--|
se i g norfait ilor	--⌫-⌫-⌫--|---|-|-|
ueésr omma inset	----|-⌫----⌫--|-|
qui keurentparnostrepa is	--|------|--|-----|--⌫-|
etcuidentdel i urera this	-|------|---⌫-⌫---|-⌫---|
cuitdeffa ir e lorconte	---|-----⌫--⌫|--|----|
qu athisme	-|----|-|
fi stia si	--⌫-|-|-|
grant ho nte	----|--⌫--|
que de mon cheualmabati	--|-|--|-----||----|
e tma moillier	-⌫|-|-------|
me retol i	-|-----⌫|
queroiseuas mauoi tdonnee	--|---|---||----⌫|-----|
perdidemamesnee	----|-|-|-----|
rendraileguer redon	------|-|----⌫----|
queieltieng ci	--|-||----|-|
enmapr ison	-|-|--⌫---|
dontil iamai sforsne n istra	---|-|-----⌫|---|--⌫|----|
porlaue nianceci	--|-|--⌫-----|-|
iaplus i ssons	||---|-⌫----|
uengero nspargrantsen	-------⌫-|--|----|--|
issons la f orssi nousarmon	-----|-|-⌫--|-|---|----|
etnos esc hiel esdeuison	-|--|---⌫----⌫-|------|
a insqu el orgentse	-⌫-----⌫|-⌫-|---|-|
s oitl ogie	-⌫--|-⌫---|
etdebataille a ppareil lie	-|-|-------|-⌫-------⌫--|
lor porrions	--|-------|
faire grantdomag e	----|----|-----⌫|
or soionstui thardi et	-|-----|---⌫|----|-|
nentendonsmie	|--------|--|
a trop iouster	|---|------|
nipo rronsri ensconquester	||--⌫----|--⌫--|---------|
lirommainsontbon	-|------|---|--|
en bataille	-|-------|
fort etlegier	---|-|-----|
sel peuss i e ns p ar engingfaire	-||-----⌫-⌫-⌫-|-⌫-|-----|----|
qu edestente sles peussons traire	--⌫|--|-----⌫|--|-------|-----|
ainsquesoientliautre a riué	------|-----|-|----|-⌫----|
laurontli premiercompa ré	|-----|-|------|-----⌫--|
etpenssés	-|-------|
tuitde lbien	---|--⌫|---|
senous lespo ons	-|---|--|--⌫--|
fl atirles	--⌫---|--|
fer ion senm er	---⌫---⌫|-|-⌫-|
i cilmont e ren t	-⌫--|----⌫-⌫---⌫|
tuit erra nt	---|----⌫-|
quideferir sontdes i rrant	--|-|----|---|---⌫-⌫----|
ci ldebile so ntfors issu	--⌫|-|---|--⌫-|---|---|
bien furentyyescu	---|-----|-|---|
lor anemifuren tmortal	--|----|-----⌫|-----|
quienlor terr el or	--|-|--|----⌫|-⌫-|
m outuolentiers sen uenge roient	-⌫--|---------||-|-----⌫-----|
de ceus deromme s	-|---|-|----||
il pooie nt	-|-----⌫-|
forriersontassespris	-------|--|----|---|
qui en lo r	--|-|--⌫|
terr esesont mis	----⌫|-|---|--|
etde lortente sre muer	-|-|--|-----⌫|--⌫---|
quireuenoient t u it tr oussé	--|---------|-⌫-⌫-|--⌫-----|
ceuls enma inenten lacite	----|-|--⌫----|-|-|---|
yy bat ai lles establie s	-|---⌫--⌫---|--------⌫|
dec heualiers moutbien	-|-⌫--------|---|---|
hurte nta ceul squiselogiere nt	-----⌫-||----⌫|--|-|-------⌫-|
lor p aueillons fich ierent	--|-⌫--------|----⌫-----|
hardiemen tent reuls se m bat ent	---------⌫|---⌫|---||-⌫-⌫---⌫--|
mout en ocientet	---|-|-----|-|
tro piperdentliten deour	---⌫||------|-|---⌫----|
ius ques des uslempereou r	---⌫---|---⌫-||--------⌫|
lesmener ent tous desconfis	--|-----⌫--|---|--------|
quilles trouuerentdesg arnis	-|-|--|---------|----⌫----|
procelia setlemperere	--------⌫|-||-------|
canorlidusqui oe ulse r e	----|-|--|--||-⌫--|-⌫-⌫|
furentis nelement ar mé	-----|--⌫-------|--⌫--|
sont l ecordolifantsonné	|--|-⌫|--||------|-----|
assamblent etenseigne nt	---------|-|--------⌫-|
q uidefer irpasne	-⌫-|-|---⌫-|--|-|
se faig nent	-|----⌫---|
ordene esontl orbatailles	------⌫-|--|-⌫-|--------|
quantontlachieslor uentailles	----|--|------|--|---------|
e nc ontreceul sde bil e	-⌫--⌫----|----⌫|-|---⌫|
li bonuas s altuitioi ntset iennen t	-|--|---⌫-⌫-|---|---⌫-|-|-⌫------⌫|
biensencontrerentli premier	---||-----------|-|------|
laueissiéses c uspe rcier	-|--------|--⌫-⌫-|--⌫----|
haubers de rompre hiaumesfen dre	------|--⌫-----|------|---⌫--|
p armieschinesb ran s es tendre	-⌫---|-------|-⌫---⌫|--⌫-----|
