s eig nors preueire	-⌫---⌫---|-------|
au trui comentpr ofita ble saautruitaisezege	--⌫---|-----|--⌫-----⌫---⌫||-----|-----||-|
u osdiraique ceuqueli	-⌫-|----|--|--|--|-|
hompuete sparig nere sost raire	--|---|-⌫------⌫--||----⌫----|
de la bochequ ilou doint	-|-|----|-|-|-|----|
a ceus qui	|---|--|
ont apa reil léchascuns	--|---⌫----⌫--|-------|
s econt sarichece lipour es	-⌫----|-|------|-|----⌫-|
zzpetitdesapourete	-|----|-|-|------|
li ri che sdesar ic h ece quar	-|--⌫---⌫|-|-|-⌫--⌫-⌫--|---|
ieune s sanzaumosne	-----⌫|---|------|
fairepet ituautmeisment a cel ui	----|---⌫-|---|-------||---⌫-|
cu i dexen do n e	--⌫|--|-|--⌫-⌫|
laisementelo	|-------||-|
poeirorueaut	----|-|----|
donque s dameredex	------⌫|--------|
quecil quiieuneface	--|--|--|----|---|
aum os neaus	---⌫--⌫-|--|
pasde tr icheriene	--|-|--⌫------|-|
demaluaizgaigm as deceu	-|------|---|-⌫-|-|--|
qu il a c onquis de	-|-||-⌫-----|-|
feiedeleaute	--||-|-----|
qua r demaluaise	---⌫|-|-------|
ric hecesicum est	---⌫---|-|--|--|
laronci ns roberietoute	-------⌫-|------|----|
usurenepue tn engun shom bone	----|-|---⌫|-⌫-----⌫|--|---|
aumosnefai re	------|---⌫-|
nenul e our equip lace	-|---⌫|---⌫|--|-⌫---|
asi ap e le	|-|--⌫-⌫-|
usure dame rede x	----|----⌫----⌫|
quan tlihompres tesedenerssi l	----⌫|-|--|----⌫-|-|-----||-⌫|
plusque sonc h at auilapele	---|--|--|-⌫-⌫--⌫-|-|----|
usurequant onuent	----|----|-|---|
sonbleaterme qu esiuns	--|--||----|--⌫|-|--|
ses tersde ble ne uaut	---⌫---|-|--|-|---|
horequey ys oli l lo doneportantcum	---|--|-⌫|-⌫-|-⌫|-|---|--|---|--|
uendraiusqu a	-----|----||
la feste sai ntiohannestpascist	-|----|---⌫-|----||--|--|---|
g aig s leiau s	-⌫---⌫|-----⌫|
dontlomdeie aumos nefaire quar	---|--|---|-----⌫-|----|---|
qu antqueilenprent o utrece uq uiluaut	--⌫-----|-|-|----|-⌫---|--⌫|-⌫|-|---|
lobailleto testusure	-|-----|--⌫|--|----|
erapine en sement	|-----|--⌫-----|
e s tusure	-⌫-⌫|----|
deterres deuignesed e	-|-----|-|-----||-⌫|
poss e ssionsqu isunten	----⌫-⌫-----|--⌫|---|-|
gagesqu anthomenpren t outreso n chap t a u	----|--⌫--|--|-|----⌫|----|--⌫|----⌫-⌫-⌫|
donqu esdeitestrel	-----⌫-|---|----||
aumosnele aum entconquis e	------|--⌫---⌫--|-------⌫|
quiseradonee adameredequarilquia comandé	--|---|----||-------|---|-|--||-------|
le auterefus e totesles ouresqu i	--⌫---|-----⌫|----|--|----|--⌫|
suntde tricherie	---|-|--------|
ori azzautreieunequimo t	-|||-|----|----|--|--⌫|
agrantmes tera	|----|---⌫--||
hommeequim otplaist a	----||--|-⌫-|-----||
c estieunesde	|--|-----|-|
peche quar ausi cumlihomse tentd e	----|---|---|--|-|--|-|---|-⌫|
corpor auliautre membreset engentde mau	------⌫-|-|----|-----|-|-⌫-----|-|--|
ede pecherquar s ilaboc he	|-|-----|---|-⌫|-|---⌫-|
eliuentresog uissont	|-|------|--⌫------|
me spris sanzlesautre s menbre s biensenb la ste	--⌫----|---|--|-----⌫|------⌫|---|----⌫--⌫-||
fustraisons qui l ieunassen tsanz lesautres menbres	---|------|-|-⌫|---------⌫|---|--|-----|------|
o i lontmespris enueerlesiocsele sfoli es	-⌫-⌫|--|------|-|---|--|---||--⌫|----⌫-|
oreille senoi r lesmalesparol e slala ngue enm esdire	-------⌫|-|--⌫|--|----|-----⌫-⌫|-|--⌫---|-|-⌫-----|
een maluai zc onseildoner li	|-|------⌫|-⌫-----|----|-|
peaa lerlaouil	-||-⌫--|-|-|-|
deguissentlesmains enouresmalesourer or	---------|--|----|-|----|----|----|-|
donquesra isonsque lio il	------|--⌫----|--|-|-⌫-|
amendentlormeffaiz	-------|--|------|
porplorer les o re illesseien t	--|-----|--|-⌫--⌫----|-----⌫|
en tentiuesaoirla	--⌫-------||--|-|
parolelesmatines	-----|--|------|
l esm esses e lesautr esc hoses	-⌫-|-⌫----||--|----⌫-|-⌫----|
qui apartenentasonseruise la	--|---------||--|------|-|
leingue seitapareillee	------|---|---------|
ad irelespreeres	|-⌫--|--|------|
elesoreisonsa crierme rci	|--|-------||----|--⌫--|
pieseiente nsement e ntentis a ale r	--|-----|-⌫------|-⌫------||---⌫|
asainteiglese au isiterles mal a desatr aua illeren	|-----|-----||-⌫-----|--|---⌫-⌫--||--⌫---⌫----|-|
pelerinagepor l	---------|--||
amistede les main squiont	-----|-|--|----⌫|--|--|
le smalesouresfaitesse i entdonquese stendues	--⌫|----|----|-----|--⌫-⌫--|------|-⌫-------|
aumosnesdo ne rau s poures genzauspour esigleses	-------|--⌫--⌫|--⌫|-----|---|--|----⌫-|------|
auspouresclerzqui font lo s eruise	--|-----|----|--|---|-|-⌫-----|
da mere deen	--⌫----⌫-|-|
ceste m anere si nos	----|-⌫----|-|--|
dunep arti eunom delauiand e	|--|-⌫--|-⌫----|-|-|-----⌫|
corpora uedelautrepartieu nomde	-------⌫||-||----|---|---⌫--|-|
ma l faire	--⌫|----|
nostreieune splairaa dame redee	-----|-----⌫|-----||----⌫---||
r endra l o gairedonaugrantiorde	-⌫----|-⌫|-------|-|----|--|-|
lauaniance	-|-------|
quant chascunsreceurasegont ceuquil aura	----|-------|------|-----|--|-|-|---|
e quiissinel faitqui ieune dela	|--|---|-||---|--|----|-|-|
uiandecorpo rau	-----|-----⌫--|
es abandoneamaufaire	||-------||--|----|
ilnefai tpasreme nbrance	-|-|---⌫|--|----⌫------|
delapassion nenepo rte pa s la croizainz	-|-|------|-|-|--⌫--|--⌫|-|----|---|
porte lacroiz daulai ron quifutmis	----|-|----|--|---⌫--|--|--|--|
croiz i oste	----|-⌫---|
quarensementc umils offrit passi on	---|-------|-⌫-|-|-⌫-----|-----⌫-|
e peineen son corssanz fruite	|----|-|--|---|---|----||
sanzsalu de	---|---|-|
ensem entcilquine segardentde	-----⌫--|--|--|-|-|------|-|
pe cheedel au tr e	--⌫--||-||--⌫--⌫|
partsoff rent mesaiseenlorcorspar	---|----⌫---|------|-|--|---|--|
peineetra uai l sanzgairedo ne sanz profit	----||---⌫---⌫|---|-------⌫||---|-----|
a rmes qui donqu esne	-⌫---|--|-----⌫-|-|
fait lesbonesour es	---|--|----|---⌫-|
uantene dec reancene dalera	----|-|-|-⌫-----|-||---||
sai nte igles e	---⌫--|-----⌫|
nede ieun erqua r s il	-|-|----⌫-|---⌫||-|
creitdamer edeensement	----|-----⌫--|-------|
f aitlideable ss iluait au	-⌫--|-|------⌫||-|---|-|
mos ter el i deable es il	---⌫--||-⌫|-----|||-|
ieun e lideable snemenge ra iaorseprenge	----⌫|-|------⌫|-|-----⌫-|-|-|-|-----|
chascunsgarde bonscrestiens q u e	-------|----|---|--------|-⌫-⌫|
il i ssi face	-|-⌫--|---|
remenbranc edelamort	----------⌫|-|-|---|
q ueilissi	-⌫-|-|---|
c e stesaintequa rentein e queles bones uertuz	-⌫-⌫--|-----|---⌫-------⌫|--|--|----|-----|
bo nesour ess acordentausieunese	--⌫--|---⌫-||-------|--|-----||
alasaintetedau	|-|-------|--|
tempsqu ar segursen	----|--⌫-|-----|-|
puetestre chascunsquesil	---|----|-------|--||-|
ofa i tissiqueplace	|--⌫-⌫|---|--|----|
receur a l aioie	------⌫|-⌫|---|
quilhapromis	-|-|-|-----|
a sesfeausen	|--|----|-|
lautreuieenostre	|----|--||-----|
bon sireihes ucrizq u i	--|---|----⌫|---|-⌫-⌫|
estu eraisdex eueraisho m	--|-⌫----|--||-----|--⌫|
qui sof fritpeine	--|---⌫---|----|
e nforcee en	-⌫|----||-|
aiue de faireicelesoures	---|-|----|-----|----|
en cests ecle	-|---|-⌫---|
parq ue no s	--|-⌫-|--⌫|
puissomlaioieen lautre	------|-|---|-||----|
seclea uer	----|-⌫--|
seignorse da mes	-------||--⌫--|
quantl i uer a is dex	----|-⌫|---⌫-⌫-|--|
eret e nl acroiz	---|-⌫|-⌫|----|
dexqu isaueit	--|--⌫|-----|
toteschoses	----|-----|
quiesteienta estre equi deueient	--|-------||----||--|-------|
au en iril sidis t	--⌫--⌫-|-|-|---⌫|
laplusdoleros e parolequi poguist	-|---|-------⌫|-----|--|------|
est retroueeennuledi ui nee scripturefors	---⌫-|-----|-|---|--⌫--⌫-|-⌫--------|---|
tot e sole	---⌫|---|
e icelep aro leamoneste les clers	|----|-⌫---⌫-|-------|--|----|
cheualie rslesbor gois	--------⌫-|--|---⌫---|
leslaboro rsles hommesles	--|------⌫-|--|-----|--|
femmesquicel eparol e oirontepitenen	-----|--|---⌫|-----⌫|-----||---||-|
iadexdelasoearme	-|--|-|-|--|---|
pit enenaurabonesg en z	---⌫||-|---|----|-⌫--⌫|
quant lirei sdegloiree st oiten	----|-|---⌫|-|-----|-⌫--⌫--|-|
lauera iecroize stenduz	-|----⌫-|----|-⌫------|
fichezlesclosparmi ses	-----|--|---|----|--|
glorious pez eparmi	-------|--||----|
sesglorious e spa umes	--|--------⌫-⌫|--⌫---|
elifeloniuel iau eient	|-|----|--|-⌫|--⌫----|
faiteuneco ronedeionc	----|--|--⌫---|-|---|
m a rintant	-⌫-⌫--|---|
doleroseme nt	----------⌫-|
enp e i nte englo ri ouschepqueli sancsli	---⌫-⌫-⌫--|-|---⌫--⌫--|---|--|-|----|-|
decore i t	------⌫-⌫|
parlafacedetotes parz	--|-|---|-|----|---|
e nostresi resfuten	|-----|--⌫--|--|-|
icelegrantangoisse	----|----|-------|
eenicele grant dolorsiesga rda	|-|----|----|----|-|----⌫--|
unegra n ttorbe degentqui	--|---⌫-⌫|----|-|---|--|
p asserentpariquisi lor	-⌫-------|--|---|-|--|
dist ouosseig nors trest uitquitrespassez	---||--|----⌫---|-----⌫--|--|---------|
ueieatend ezeesgardez sio nque sf u tdolors	---|-----⌫-||-------|-|-⌫----⌫|-⌫-⌫|-----|
l ame ieesgardezentr e uos	-⌫|--⌫-|-------|----⌫|--|
sic harsdenengunhomme	-|-⌫---|-|-----|----|
sof fritsigrantdolo rne sig rantang oisse cum	---⌫---|-|----|----⌫|-|-|-⌫---|---⌫----|--|
cors demei	---|-|--|
a pecheeato rtbendeuompor	|----|||--⌫-|--|----|--|
noz ch arspenerqua ntilsi	--|--⌫--|----|---⌫-|-|-|
grant pei netraissit	----|---⌫-|-------|
pornosbendeuom nos t recharliurer	--|--|--|----|---⌫-⌫-|---|-----|
quantilissi fut torme ntezp or nosquen est	----|-|---|--|-----⌫---|-⌫-|--|--||--|
chardom meencest secle	---||--⌫-|-|---|----|
q uisigrantangois s e	-⌫-|-|----|------⌫-⌫|
poguistsoffrirbongairedonaurontcilqui tra iront	------|------|--|-------|-----|--|--|---⌫----|
malporluibongairedon	--|--|--|--|-------|
iconquistio s eph	|-------|--⌫-⌫--|
aba rima c ieenico demus e centurioqui d amerede	-|-⌫----⌫-⌫-||----⌫----||-------|--|-⌫------|
despendirentde lacr oiz ecumfist	-----------|-|-|--⌫--||--|---|
i celeglorious e	-⌫---|--------⌫|
pucel e quifilalisi ndoine	-----⌫|--|---|-|--⌫-----|
dontlacharsd e	---|-|----|-⌫|
futenuolopeequant elefu tdescendu e	--|--------|----|--|--⌫|--------⌫|
dela croiz	-|-|----|
t oteens angla nteebeau don	-⌫--|---⌫-----⌫---|---|--|
i conquis tl ilairequi	|-------⌫|-⌫|----|--|
penditioste luienla croizcuiil	-----|----|--|-|-|----|--|-|
p r omi s tlo	-⌫-⌫---⌫-⌫|-|
e stre ensenble ob lui	-⌫---|-------|-|--|
enp aradis orpreo m	-|-⌫-----|-|----⌫|
queiss i ueraie mentcumil e n lasainte ueraie	--|---⌫|------⌫---|--|-|-⌫|-|-----|-----|
son corsapoia sesbras ies tenditson preci o s	--|---|----|--|---||--⌫-----|--|-----⌫-⌫|
iespa n di tsiueraie mentcum ilacordala	|----⌫-⌫--⌫|-|------⌫---|--|-|-----|-|
quiesteit entrede e hommeent r e paradis	--|-----|----|-||----|---⌫-⌫|------|
eenferentreioie etr i stor entre	|----|----|---||--⌫-⌫---|----|
le ritag eelo	|-⌫-----⌫||-|
deseritementqu	-----------|-|
i lnos de s enconbre	-⌫|--|--⌫-⌫-------|
depec heen iceleo requedex di s t laseconde	-|---⌫-|-|----|-⌫-|--|--|--⌫-⌫|-|------|
e l adarrie re en	|-⌫|------⌫-|-|
pardestrecedemort aicele	--|-------|-|---||----|
oredeuintliiorz	--|-----|-|---|
nuizles aigues co ran z	---|--|-----|--⌫---⌫|
en laissere ntlorcorreli	-|--------⌫-|--|----|-|
pe issonlorno er les	--⌫----|--|--⌫-|--|
b estes m u eslor pest re l i enfa nt	-⌫----|-⌫-⌫-|--|----⌫-|-⌫|----⌫-|
l oralaiter toz limondess es paont ala terre tr e nbla	-⌫-|------|--|-|-----||--⌫-----⌫|-|----|--⌫-⌫---|
la peresepart itau	-|---|-|----⌫-|-|
sancdameredereceiure	---|-------|-------|
deablesfutuencuz pechez	------|--|-----|-----|
futpard onez uiedura ble	--|----⌫---|--|----⌫--|
futrendue morzfutleritagedeparadis	--|-----|---|--||------|-|------|
fut re courez	--|--⌫-----|
dex a sacreature fu t acordezpar	--||-|-------|--⌫|------|--|
icestegl orioseeschale dont dist libonsdictaire s	-----|--⌫-----|------|---|---|-|---|--------⌫|
ditecestebeneite parole	---|----|------|-----|
cestl eschaleparque dex	|--||------|--|--|--|
en br acetotle	--⌫--⌫--|--|-|
le tr aitenparadislaisus	-|--⌫--|-|------|-----|
apreslui ou	----|--|-|
noscond uiet parl asoepite	--|----⌫---|--|-⌫|--|---|
seig norsed amespar	----⌫---||-⌫---|--|
dezgarde edefe nderes	--|----||----⌫-----|
dese sa mics un	-|--⌫|-⌫---|-|
motmerueillo s	--|---------⌫|
d ese sfaizuos uoil	-⌫|--⌫|---|--|---|
conter qu il	-----|-|-|
fistp ornostre	---|-⌫-|-----|
ancesso rse par	-------⌫-||--|
celuizzplusmeruei llosdemostrer	----|-|---|------⌫---|--------|
qu ilfist or e pornos l i	-|-|---|--⌫|--|--|-⌫|
pople sdisrael	-----⌫||-----|
seruit mot longeme ntenegipteen chaitiu eison	-----|--|-------⌫-|-|-----|-|-------⌫----|
sozle rei pharaonq uimotlest rauaillot p arg rant	--|-|--|------|-⌫-|--|--|-⌫--------|-⌫-|-⌫---|
trau ailze par	----⌫---||--|
gr antpeines nelor	--⌫--|-----|-|--|
l ais sotpas	-⌫---⌫--|--|
sacrefie r	--------⌫|
a lorcreator	|--|------|
seg ontlacostumeque lorancessor	---⌫--|-|------|--|--|-------|
segont ceuqu il lora ueit	-----|--|-|-|--|-⌫---|
ense ignépar lesanciensp eressiauint parla	----⌫----|--|--|------|-⌫---|-|----|--|-|
uoluntededeque	------|-|-|--|
moyseslesaueitgitéde gipte	-----|--|----|----||-⌫----|
siles en menotonsd eserzpo r sacri fier	-|--|--⌫----|--|-⌫----|--⌫|-----⌫---|
a deeq uant	|-||-⌫---|
pharaon lire isd e gi pteaper ceguit	------|-|--⌫-||-⌫--⌫--|----⌫-----|
lorguer pissee nt	--|----⌫------⌫-|
sifi sta parillerses ozmoti gnelement	-|--⌫-|-⌫-------|--|-|--|-⌫--------|
si alaapresporeaus	-|--|----|--|---|
ocire masde x	----|--|--⌫|
pasquilm oris se ntpar lessoes mainsa nceis	--|-|-|-⌫----⌫--⌫-|--|--|---|----|-⌫----|
comandéa moyses lo	-------||-----|-|
p rophetequilesconoiss eit	-⌫------|--|--|-------⌫--|
que duneuerge quilportot	--||--|----|-|-|-----|
feristlarogemere	-----|-|---|--||
qu anti li uendre itelese	--⌫--|-⌫||------⌫-|--|-|
ourereitsilor	-------|-|--|
fere it ueie	----⌫-|---|
eissifutcum dexouaueit	|---|--|--|--|-|----|
ditmoysesuint ala	--|-----|---||-|
popled israele feritlamerde	----||-----||----|-|--|-|
eleparti silorfist ueiesi	--|----|-|--|---|---|-|
qu e to tli	--⌫|--⌫|-|
poples d israelpassaout refo rse	-----||-----|----|---⌫-|--⌫-||
sausli egiptien	---|-|-------|
uindrentaprespoignantsi uir entlagent	-------|----|-------|-|---⌫--|-|---|
par milamer euirent louer tsiseferirent	---⌫-|-|--||-----||----⌫|-|-|-------|
por eau s o cire	--|---⌫|-⌫---|
mesaa xxmquiseseitu enger sag em ent	--|-|--|--|-|---|-⌫----|---⌫--⌫--|
c ondu iss it bien outretozs esamicsef istrecloirela	-⌫----⌫---⌫-|---|----|--|-⌫-|----||-⌫--|-------|-|
mersurt o z les eg iptiensesor leroi	--|--|-⌫-⌫|--|--⌫------||--|-|--|
meisme quonques	-----|-|-----|
z ztrest oz	-⌫|-----⌫-|
sousnen e schapamot fistdex	---||-|-⌫-----|--|---|--|
g rantmer u eillepor	-⌫---|---⌫-⌫----|--|
nozanc essors mes	--|---⌫-----|--|
orent en de z	-|---⌫--⌫--⌫|
espiritaumentsiuosm ostrer aiqu emot maior s	------------|-|--|-⌫------⌫-|--⌫|--|-----⌫|
faiti l por nosmoy ses a cuiil	---|-⌫|--|--|---⌫--||--|-|
dona l alei por son	---|-⌫|--|--|--|
po pl eendoctri ner eenseigne r	--⌫--⌫|--------⌫--||--------⌫|
n os signifieihesu	-⌫-|-------|----|
cristlifilzdeq ui	----|-|---|-|-⌫-|
pa rl agracede	--⌫|-⌫|----|-|
sonpe re n os	--|--⌫-|-⌫-|
uintencestsecle sauu ere	---|-|---|----|----⌫-||
cons eiller l auergepar	----⌫-----|-⌫|----|--|
que moyse sfistlaueie	--|-----⌫|---|-|---|
paron tlipo ple s d israel	--|--⌫|-|--⌫---⌫||-----|
passa larogemer cefuticele	----|-|---|--|-|--|----|
uergebeneite	----|------|
lif ilzdenasquitporn os	-|-⌫--|-|------|--|-⌫-|
franc hir edeliurer dela	-----⌫--||-------|-|-|
subiectionaudeable litres pas de	---------|-|-----|-|----⌫--|-|
merquelipoplesdisrae lfist	--|--|-|-----||-----⌫|---|
porf aireonde sert	--|-⌫---|-|--⌫---|
sacrifise cestla	--------||--|-|
sainzhom mes quea axxm	----|---⌫--|--|-⌫|--|
i hesucrizenconduitensonregnedauantso n	-⌫---|---|-|------|-|--|----|-----|--⌫|
pereausacrifiementd eueraieiustisequimot	---|-|-----------|-⌫|-----|------|--|--|
plaistadequar adonc se r a	-----||-|---|----|--⌫-⌫|
li pr ophetes	-|--⌫------|
mot plaistli lose	--|-----|-|--||
lagloireque l essa intesar mes	-|-----|--|-⌫-|--⌫----|--⌫--|
rendentade apreslor	------||-|----|--|
mortcestl ii ustes sacrifiem enz	---||--|-⌫|-⌫----|---------⌫--|
m a s motnosen de storbaphara ons li reis	-⌫-⌫|--|--|-|--⌫-----|-----⌫--|-|---|
d egiptequiparl e sfilzisrae l ocirese	|-----|--|--|-⌫-⌫|---|-----⌫|----|-|
en lameric i st	-|-|--|--⌫-⌫-|
phar aon sig nif iedeable	----⌫--|---⌫---⌫-|-----|
lo pri nce	-|---⌫--|
q ui en ceste pech eres seuiene cessedenos	-⌫-|-|----|----⌫----⌫-|--|-|----|-|--|
amonesterd e mau fairee	--------|-⌫|--|----||
de nose nsegre por	-|--|-⌫-----|--|
armes per dree oci rema slibo nsmoy se s	----|---⌫--||---⌫-|--⌫|-|--⌫-|---⌫--⌫|
ihesu cristlifilzde par la	----|----|-|---|-|--|-|
soesainteg racenos	--|-----|-⌫---|--|
seitcondui zegarenzede fenderes	---|------⌫||-----||--⌫-------|
e destruiet	|--------|
phara o n e to z	-----⌫-⌫||--⌫|
lessons cestle dea b lele	--|---||--|-|---⌫-⌫-|-|
denferet oz s es mi nistres quilmalne	|----||-⌫-|-⌫-|--⌫------|-|-|--|-|
nospuissent	--|-------|
faireeihesuscr ist pa rlapreierenostre	----||-----|--⌫--|--⌫|-|------|-----|
