Quel par tque	---|---⌫|--|
Ensaterr euolt repairier	-|-|----⌫|---|--------|
Sunei re fistaparaillier	--|--⌫-|---|----------|
Deu escorde ment	--|-------⌫---|
li feïst demust rement	-|-----|------⌫-----|
Sesis repairesli pleiseit	-|--|-------|-|-------|
Karsunpl aisi r faire	--|--|--⌫----⌫|----|
Une uoiz diuineluidist	--|---|-----|--|---|
Laissast ce leirea ltre	-------|--⌫|---|-⌫---|
enpreïstL eired	-|------||---||
Englete rre la i ssast A lapostoilea	-------⌫--|--⌫-⌫----|||--------||
Rom ealast	---⌫|----|
Sespechieziluec	--|------|----|
Irei tod les b eneu ̈r ez	----⌫|-|--|-⌫----⌫--⌫-|
Breta ineauer	-----⌫--|---|
Bre tun nirecuuer eie nt	---⌫--|||-------⌫---⌫-|
Iesqual tens quel aprophecie	----|-|---|--|-⌫|--------|
Merlindis t	-----|---⌫|
sei tacump l ie	---⌫|-----⌫-⌫-|
estre ne pur reit	----|-|---⌫---|
que litens uendreit	--|-|---|-------|
Quelesreliqu e sde suncors	--|--|------⌫-⌫|-|--|---|
De sepulturetraitesf ors	-|--------|------|-⌫--|
Serrei en tde	------⌫--⌫|-|
Romeapo rtees	---|---⌫----|
Bretain e presente es	-------⌫|--------⌫-|
Kale wa dressemerueilla	----⌫--⌫---|-|--------|
Enmerueillantse contru bla	-|----------|-|------⌫--|
De celde uin	-|--|--⌫--|
anunce ment	------⌫---|
Quil o ï siape rtement	-|-|-⌫-|-|---⌫------|
Al ein su n bo nam i	--⌫--|--⌫|--⌫|--⌫|
Re cunt a çoqu iotoï	--⌫----⌫|--|-||-|--|
Aleinfis tourirlesalmairesE fistuen ircl ers	----|---⌫|----|--|-------||---|---⌫-|--⌫--|
b onsgra ma ires	-⌫--|---⌫--⌫---|
Lesh y stoiresfi st	--|-⌫-⌫------|--⌫-|
a po rte rEfistcerc hierefistpruuer	-⌫--⌫---⌫||---|----⌫---||---|-----|
Queç oque	--|--⌫|--|
Kal ewadres dit	---⌫------|--|
De lauisiun	-|-|-----|
Se c u nco rdotasdiz	-|-⌫-⌫---⌫---|-|--|
Aquilelebonde uinE a	-----|-|--|--⌫--|||
Sib illeescrist	---⌫---|------|
Kalewa dreselnefist	------⌫---|-|-|---|
Sunnauieesa g entgu erpi	--|----||-|-⌫--|--⌫---|
Yu orapelae	--⌫-|----||
Yuorfud sisf iz desuxor	---|--|--|-⌫-|-||---|
Yni si sniezfizsa sorur	--|--⌫|---|--|-|----|
Gualesdistil passerezE des	-----|---|-|-------||--|
Bretunsseign urs	------|-----⌫--|
Quepardefalte deseign ur	--|--|------|-|-----⌫-|
Br etunadesenur	--⌫---||------|
Cil firentçoquilcu man da E ilsun	--|-----|--|-|-|--⌫---⌫-||-|--|
eirea para illaAs aint	---|-⌫----⌫---||-⌫---|
Sergelepa pe ala	----|-|--⌫-|--|
Quilch eri	---|--⌫--|
multehonura	---||-----|
De sespechiezsefistcum fés Eprist	-|--|------|-|---|---⌫---||----|
sapenitence	-|--------|
aueit guairesa	----|------||
Rom e esté	---⌫|----|
Quant ilc h aïen	----|-|-⌫-⌫--|-|
Grant fudli mals murir	----|--|-|---|----|
Unzeiorz deuant mai murut	---|---|-----|--|----|
Ald isenuesme iord auril	-|-⌫-||-----|--||----|
Issi del terrïen	---|--|-------|
Se tc en zanzun meins puis	--⌫|-⌫--⌫|--|-|----|---|
Mar iecharpris t	---⌫-|---|----⌫|
Le corsfud	-|---|--|
mul t bel c unreezEentre	---⌫|--|-⌫-----||----|
lescorssa inzposezL	--|---|--⌫--|----||
alme munt a enparaïsUnusseiumod luiasis	---|----⌫|-|------||--|----|-|--|---|
Ynim erpasserent	--|-⌫-|--------|
Grantnauie eg r ant gentmener ent	----|----||-⌫-⌫--|---|-----⌫--|
Le sremasil lesdes	--⌫|-------⌫--|--|
Gu ale is oreapelums	--⌫---⌫-|--|------|
Kisuntdeuers septentrion	-|---|-----|----------|
Or e ntenlur	--⌫-⌫-|-|--|
subiection	---------|
Unc puisnefu rentdelpoeir	--|---|-|--⌫---|--|----|
Quilpeüssent	-|-|--------|
Logresaueir	-----|----|
Tuit sunt muéetuitchangié	---|---|---||---|-------|
Tuitsuntdi uerse forslignié	---|---|--⌫---||----------|
De noblesce donurde mursEdelauie	-|-------||---|-|---||-|-|--|
asan ceisurs	-|--⌫------|
G u al escest	-⌫-⌫--⌫-|---|
Guales uint	-----|---|
GualestintU	-----|---||
Ga l aeslar eïn eA	--⌫-⌫--|-|-⌫----⌫||
kilaterre fudacline	-|-|----|--|-----|
C ifalt lag ested es	-⌫|---|-|-⌫---|-⌫-|
B retuns Elaligneedesbaruns	-⌫-----||-|-----|--|-----|
Ki de l lignag e	-|--⌫|------⌫|
Brutiuindrent	----|-------|
Engleterre lunges tindrent	---------|-----|-------|
Deusincarn ati un	---|------⌫---⌫-|
P ristpur nostr e redemptiun	-⌫---|--|-----⌫|---------|
Mi l ecent	--⌫||---|
cinquanteecincanz	--------||---|--|
Fistmestre	---|-----|
Wace ce st rom anz	---|--⌫-|---⌫--|
