laiieperdue	|-|-|-----|
ainceissengeuealapelote	------||-|---||-|-----|
c onmepucele	-⌫---|-----|
etgieteagra ntdesordenance	-|----||---⌫-|-----------|
riche cehon euretreuerance	-----⌫-|---⌫--|-|--------|
dignetez etp ois san cesdo ne	-------|-|-⌫---⌫---⌫--|--⌫-|
ne neprentgar dea q uelp e rsone	-|-|----|---⌫-||-⌫--|-⌫-⌫----|
car s e s g r acesqua ntlesdesp ant	--|-⌫-⌫|-⌫-⌫---|---⌫-|--|----⌫--|
endespen dantsi	-|------⌫---|-|
les espant	--|-----|
quel lesgie teenl eude	-|-|--|---⌫-|-|-⌫-|-|
par puteauset parpraeri es	--|------|-|--|------⌫-|
quelneprise	-|-|-|----|
forsquegentillece sa	------|---------|-|
cousin e etproc hain echeance	------⌫|-|----⌫----⌫|------|
tan tlat ientfortuneenbalance	---⌫|-|-⌫---|------|-|------|
celeestiluo i rs sanzfai lle	---|--|-|--⌫-⌫-|---|---⌫--|
quefortunea nulnelab aille	--|------||--|-|-|-⌫----|
conmentqu il aut du retolir	--------|-|--|-|------|
s ilnesetsi s onqu eurpolir	|-|-|--|-|-⌫-|--⌫--|----|
quil soitcortaispreuzet	-|-|---|------|----|-|
car n uln est	--|-⌫-||--|
sibienbatai llanz	-|---|-----⌫----|
uileniesapresse	------||------|
que genti llecenelelesse	--|-----⌫----|-|-|----|
gentillece estn o bl eet si laim	---------|--|-⌫-⌫--⌫|-|-||--|
qu el nentrepasen queuruila in	-|-||----|--|-|----|----⌫-|
porce uosp rimont r eschierpere	--|-|--|-⌫-|--|-⌫-⌫-|----|---|
queuilen ieen	--|-----⌫-|-|
uos n apere	--||----|
nesa iez orgueil l eusne ch i c es	-|--⌫--|-------⌫-⌫--|-|--⌫-⌫-⌫-|
aiezporenseignierles	---|--|---------|--|
largequeure tcortaisetgent	----|----|-⌫|------|-|---|
etpiteusalapoure gent	-|-----||-|----|---|
ainsincledoit chascunsroisfe r e	------|-|---|-------|---|--⌫-⌫|
large cortaisetdeboner e	----|------|-|-------⌫|
ait lequeur et pleindepitie	--|-|----|-|----|-|----|
s il quiert dupueple lamitie	|-|-----|-|-----||-----|
sanzcu ir o is en nuleseson	---|--⌫|-⌫-⌫-|-|---|----|
ne peu t ne q uel sunssinpl eshon	-|---⌫|-|-⌫---⌫|--|-----⌫-|--|
ainsinclechastiai tphanie	------|-|--------⌫|-----|
m esf ols neu oiten safolie	-⌫-|-⌫--|-|-⌫--|-|-|----|
forsque senetresonens embl e	------|--|-|----|---⌫----⌫|
si conme ensonfolqueur	-|----|-|--|--|----|
cr esus quipo int	--⌫---|--|--⌫--|
nes umelie	-||-----|
touzp le i nsd o rg ueilletde folie	---|-⌫--⌫-⌫-||-⌫--⌫----|-|-|----|
entouz ses	-|---|--|
fezcuide es t resa ges	--|----|--⌫-⌫-|--⌫--|
conbi enquil feis t granz o utrages	-----⌫---|-|----⌫|----|-⌫------|
fillefetildecortaisie	----|--|-|-|--------|
nedesens ne mapre nez	-|-|---|-||----⌫--|
pl use nsaiqueu osnesauez	--⌫-|-⌫|--|--|-⌫-|-|----|
quisichastié	--|-|-------|
etqu ant par uostrefolrespons	-|--⌫--|--|-----|--|------|
mauez monsongeain sinc espons	|---|--|----|---⌫---|-----|
auezde gran z mencong es	---|-|----⌫|-------⌫-|
car sachie zquecist noblessonges	--|------⌫|--|---|-----|-----|
oufausegloseuo le zmetr e	-|----|----|--⌫--⌫|----⌫|
doit estreentenduzala	---|----|-------||-|
etiemeisme sli entens	-|-|------⌫|||-----|
si con nosle uer ronsentens	-|--|--|-|---⌫---|-|---|
o ncausinobleuision	-⌫-|---|----|-----|
notsiuilse xp osicion	|-|-|---|-⌫--⌫------|
li dieusac hieza	-|---|---⌫---||
moiuendront	--|-------|
e t lese ruis e	-⌫|-|--⌫----⌫|
me rendro nt	-|------⌫-|
qu i lm ont pa rcestsong etrami s	-|-⌫||--|--⌫|---|----⌫|-----⌫|
tan testcha scuns	---⌫|--|---⌫----|
d elsmesamis	|--|--|---|
aipie ceadeserui	-|---⌫-||------|
uaizco nfortun eleserui	---|--⌫|------⌫|-|----|
quilnesepot o nquesdeffe nd r e	-|-|-|-|--|-⌫----|-----⌫--⌫-⌫|
qu eln ouf eis t au gib et pendre	-|-||-|-⌫---⌫|-|---⌫-|-----|
nestce bie n	|--|-|---⌫|
donch o seprouabl e	--|--⌫-⌫-|-------⌫|
quesaroenestpas tenable	--|-|--||--|--|------|
quantnus nel apeut	----|--|-|-⌫|---|
tant sacheagrant	---|----||----|
estatu enir	----|-⌫---|
ri en s delogique	--⌫--⌫|-|------|
quibien ests cie nceautentique	--|---|--|-⌫---⌫--|---------|
puisq ue ligrants eign eu ri	-----⌫-|-|----|-⌫----⌫--⌫||
li petitenuains i	-|----|-|---|||
tra u ail lent	---⌫-⌫---⌫---|
etseles p rueuesriensnepris es	-|-|--|-⌫-----|----|-|----⌫-|
estoires prises	-------|-----|
tul es asdeton tensno u eles	-|-⌫-|-|-|--|---|--⌫-⌫---|
debataill esfreschesetbeles	-|-------⌫-|-------|-|----|
d et elbiautece doiz sauoir	-⌫|-⌫-|-----|-|---|-----|
c onmeilpeutenbatailleau oir	-⌫---|-|---|-|-------|--⌫--|
cestdemainf ra ir oi de	|--|-|-----⌫--⌫|-⌫-|-|
quipar force tint et	--|--|----|---|-|
lonctensem pezt o ute laterre	---|---|-|--|-⌫-⌫--|-|----|
quantlibons charleslimut guerre	----|-|---|------|-|--|-----|
contesdan iouetde pr ou ance	-----||--⌫--|-|-|--⌫--⌫---|
quip ar de uineporueance	--|-⌫-|--⌫---|--------|
estoredes e cilerais	--|--|-|-⌫-⌫---|---|
quainsi ncle u eutdexle	-|-----⌫-|-|-⌫--|--|-|
quitouriorzse s tte n uz	--|-------||-⌫-⌫|--⌫-⌫-|
cist b onsraischallesle n toli	---|-⌫--|---|------||-⌫|---|
nonpassanzplus la seigneurie	--|--|---|---|-|---------|
ainsli to li du	---|-|--⌫-|-|
cors lauie	---|-|--|
quan talespee qui bientaille	----⌫|||----|--|---|-----|
en laprum eraine bataille	-|-|----⌫-----|-------|
las sailliporlui desconfire	|--⌫-----|--|--|---------|
esch ecetmatli a ladire	----⌫-|-|--|-|-⌫-|---|
desuss ond estrier	----|-⌫-|-⌫------|
auffer ran t	------⌫---⌫|
paoneter ra nt	-----|--⌫--⌫-|
oumileudes on	-|----|-|-⌫-|
eschequier	---------|
decorradin parlerne quier	-|-------|-----|-|----|
sonneueu donlexanple estprest e	--|----|--||------|--|-----⌫|
donli r aischalles prist l ates te	--|-|-⌫--|------|----|-⌫|---⌫-|
ma ugrelesp rinces	--⌫---|--|-⌫-----|
d alem aigne	|----⌫----|
henrifrereleraidespaigne	----|----|-|--||-------|
p leindorgueillet	-⌫---||-------|-|
misti lmori r en sa prison	---|-⌫|----⌫|-|-|-----|
co nmefolsgarc onez	--⌫--|---|----⌫---|
et ros e t	-|--|-⌫|
fol set paonez	---⌫|-|-----|
etcheualie rs	-|--------⌫-|
au geuperdirent	-|--|--------|
le schequi ers aillire nt	|-⌫-------⌫-|-⌫-------⌫-|
tel poo r orent	--|---⌫|----|
de stre pris	|-⌫---|---|
aug euquilor ententrepris	-|-⌫-|-|-|--⌫--|--------|
car quila uer ite	--|--|-|---⌫--|
dest rematn	|---⌫-|--||
auoie ntil	-----⌫-|-|
puis qu esanzrais econba to ient	----⌫--⌫|---|--|-⌫|-----⌫--⌫---|
eschecetmatriensne	-----|-|--|----|-|
necilhauernelespoait	-|--|----|-|--|----|
qui co ntre elsaus	--|--⌫---|--|--|
e schesioait	-⌫----|----|
fusta pie fustsus ses	---||--|---|--|--|
carl en neha uepa sgarcons	--|-⌫-|-|--⌫-|--⌫|------|
f os cheualier s	-⌫-|---------⌫|
fiertesneros	------|-|--|
car seuerite conteros	--|-|-----|-----|-|
sinen quieri e	-||-|----|-⌫|
nului flater	----|-----|
ausinc conme iluadumater	-----|----|-|-|-|----|
pui sque desesches	---⌫---|--|-----|
mesou ient	-|---⌫---|
setu riensens e zilcouient	-|-|----|-|-⌫-⌫|-|------|
soitroisquele nfet haue	---|---|--|--⌫|--|---|
quant tu itsi homesunteschaue	----|--⌫-|-|---|---|------|
si quilseuoit se ul	-|-|-|-|---|--⌫-|
enlapla ce	-|-|---⌫-|
uoit chosequili p lace	---|----|--|-|-⌫---|
a inzs enfui tpo rsesanemis	-⌫--||-----⌫|--⌫|--|-----|
q ui lontentel pourete mis	-⌫-||--|-|--|------|--|
lennepe ut au tre home	--|-|--⌫-|--⌫--|---|
tuit largeet auer	---|----|-|---|
c ar au sinc leu eutata lus	-⌫-|--⌫---|-|-⌫--|---⌫--|
qui deses chesco nt roua lus	--|--|--⌫---|--⌫--⌫---||-|
quantiltracto it d aris me tique	----|-|------⌫-||----⌫--⌫----|
e tuerrasan xxx	-⌫|-----|-|--|
anflechidelamatire	-------|-|-|-----|
quedesno mbresd euoitescrire	--|--|--⌫----|-⌫----|------|
oucestbi a ugeuiolif	-|---|--⌫-⌫|--|----|
quepardemons trai so nproua	--|--|------⌫----⌫--⌫|----|
porcesemist renti le n fuie	--|-|-|----⌫---|-⌫|-⌫|---|
po rlaprise quileurennuie	--⌫|-|----|--|---|-----|
iedit porprisee sc heuer	-|--|--|----|-⌫--⌫----|
mes po rlamort qui plus	--|--⌫|-|---|--|---|
l orpeustetqui pisualoit	-⌫-|----|-|--|--|-----|
carli geusmalementaloit	--|-|---|-------|----|
aumeinsp ardeuersle urpartie	-|----|-⌫-|-----|--⌫-|-----|
quide dieusi eredepartie	--|-|---||-⌫--|-------|
et la bataill eauoitemprise	-|-|-------⌫|----|------|
con t r el afai	---⌫-⌫-⌫|-⌫|--|
etqui l eschecdit leure ust	-|--||-----|--|---|-⌫--|
niertilquic ourirle	|---|-|--|-⌫----|-|
fierteauoitest é pri se	-----|----|---⌫-|---⌫-|
augeudelaprumier eas sise	-|--|-|-|-------⌫|--⌫---|
ouliraisperdi conmefos	-|-|---|----|----|--|
ro scheu ali ers	--⌫|----⌫---⌫--|
paons efos	----||--|
si niertellepas la	-||---|---|--|-|
meslachetiuela dol ente	--|-|------|-|---⌫---|
n epo tfoir	-⌫|--⌫|---|
nesaideffendre	-|--|--------|
puisque len li	------|--|-|
o tfetentendr e	-⌫|--|-------⌫|
etmorzgisoitmainfroiz	-|---|-----|--------|
parchiefparpiez	--|----|--|---|
etpar mainzfraiz	-|--|----|----|
et puisquecil	-|------|--|
bon sraisoi	---⌫|---|-|
q uilsen iere ntainsi fo i	-⌫|-||-|----⌫-|----|--⌫|
les prinst	--|-----|
ilfuituis ambedeus	-|------|-------|
etpuisfistsau olente d eus	-|---|---|-|-⌫-----||--|
et demainzautres prisoniers	-|-|----|-----|---------|
de leu rfo lieparconiers	-|---⌫|--⌫--|---------|
c il uaillantraisdonie te conte	-⌫-|-------|---|--|-|-|----|
quelensoloit apele rc onte	--|--|-----|-----⌫|-⌫---|
cuinuiz e t iorze tmainset	--|---|-⌫|---|-⌫|----|-|
l ameetle corset touzses	|--|-|-|---|-|---|--|
etdeffende et conseille	-|-------|-|--------|
cil dontalorgueildemarsaille	--|----||------|-|--------|
etprist de s plu sgranzde	-|----|--⌫|---⌫|----|-|
leste stes	--|--⌫---|
ainz quedesecile	----⌫--|-|-----|
lifustlireaumesdonez	-|---|-|------|----|
domil es t orrais coro nez	--|-|--⌫|-|---|----⌫--|
et uic aires d etoutlen pire	-|---⌫----|-⌫|---||--⌫---|
mes neueill orde li plusdi re	--|-|----|-|-|-|---|--⌫-|
carquises fezuodroitret re re	--|--|--|--|------|---⌫--⌫-|
ungrantliure e nco nue ndroi tfere	-|----|----|-⌫|--⌫---⌫-----⌫|---|
uoizcig enzqui	---|-|-⌫--|--|
gra nzhonorstindren t	---⌫-|-----|-------⌫|
ors eza quel	-|-⌫-||---|
chie fil enuindrent	----⌫|-|-|-------|
n est don c bi enfortu ne seu re	|--|---⌫|--⌫-|-----⌫-|---⌫-|
n estbien fo lsquis i	|--|---|--⌫-|--|||
quant cels quil ueutpar deu an toi nd re	----|---|-|-|---|--|---⌫--⌫|--⌫--⌫-|
s eustainsinc par	-⌫---|------|--|
d eriere spoindre	-⌫------⌫|------|
et tuquil arose besas	-|-|--|-⌫|---|----|
dedeul si gra nt fesas	-|---|-|---⌫-|--|-|
quet uneten	--|-⌫|-||-|
s ozapesier	-⌫-|------|
cu idoietutouriorzbesier	--⌫----|-|-------|-----|
tourio rzauoires eet delices	------⌫-|----|--⌫|-|------|
parmon chi eftu esfolsetnices	--|--|---⌫-|-|-|---|-|----|
mesq uecistd explusnetetiegne	--|-⌫-|---|-⌫-|---|-|-|-----|
dema infrai welquiltesouiegn e	-|--⌫-----|--|-|-|-|-------⌫|
deh enri et	-|-⌫---|-|
decorr adin	-|----⌫---|
qui f irent	--|-⌫----|
p isque sarradin	-⌫-|--|-------|
deconmencier batailleam ere	-|---------|-------|--⌫--|
contre saint eig lis e leur mer e	-----|-----⌫|--⌫---⌫|---|---⌫|
etdufetde smarsillien s	-|-|--|--⌫|----------⌫|
e tdesgran zhomesanciens	-⌫|--|----⌫|----|------|
conme n eron	----|-⌫---|
conmecresus	----|-----|
quifort une tenirne	--|----⌫--|----|-|
granzpoai rsqu il ore nt	----|----⌫-|-|-|---⌫-|
par quoi franshomqui ta nt	--|---|----|--|--|--⌫-|
quisorgue illis tp ar safranch i se	-|||-----⌫-----⌫|-⌫-|-|------⌫-⌫-|
pas enquel a ag e	--|-|---|-⌫--⌫|
cresuslirois	-----|-|---|
uintens eru age	---|-|-⌫---⌫--|
n edeh ecubamienes cia nt	-⌫|-|-⌫----|---|--⌫---⌫-|
leroi priant	-|--|-----|
ne tient i lpasen	-|----|-⌫|--|-|
s ame moi re	-⌫|--⌫---⌫-|
nedesisicambrisles toire	-|-|----------||--⌫----|
mere d airele	---|-⌫---|-|
cuifortune fusiperu er se	--|------|-|-|----⌫--⌫-|
que franchise	--|--------|
etrea umes	-|---⌫---|
etseruesenla fin deuindrent	-|-----|-|-|--|---------|
d autrepartietien	|----|---|-|---|
agrant honte	|----|----|
pu is qu e tusez	--⌫--⌫--⌫|-|--|
quelestremonte	--|-----|----|
et quea estudier couient	-|--||-------|------|
quan tildomernetesouient	----⌫|-||---|-|-|------|
p uisquetulasestudié	-⌫-----|-||-|-------|
mestu l as	--|-||-|
ce sembl eoblié	-|-----⌫|-----|
etnestcepaineu aineetwide	-||--|-|----|-⌫---|-|---|
tumezen liurestonestuide	-|--|-|-----|--|------|
ettou tpar	-|---⌫|--|
negl ige nceoblies	----⌫---⌫--|-----|
queuaut quanque	--|---|------|
tuestudie s	-|-------⌫|
quantli s ens au beso igt e	----|-|-⌫--|-|----⌫-|-⌫|
etseulem en tp artondefaut	-|------⌫--⌫|-⌫-|--|-----|
certestouri orzenrem enbrance	-----|-----⌫--|-|---⌫-------|
deussesauoirsasentanc e	------|----|-|-------⌫|
side uroien ttuithomesage	-|--⌫------⌫|---|---|---|
et sifichier e n leur	-|-|------|-⌫|---|
queiames neleur esc hapast	--|----|-|---|---⌫-----|
t a ntque la mort	-⌫-⌫----|-|---|
lesatrapast	--|-------|
carqui lasen tencesauroit	--|--|-|---⌫----|------|
etto uri orze n sonqueurl auroit	-|--⌫---⌫--|-⌫|--|----||-----|
etl aseus tbiensoupeser	-|-⌫|----⌫|---|-------|
porrait peser	------|----|
dechosequili	-|----|--|-|
qu e t o ur i or zfersnese tenist	--⌫|-⌫-⌫--⌫-⌫--⌫|---|-|-|-----|
encontretoutesauentures	-------|-----|--------|
bonesmal esmoles	----|---⌫-|----|
sires teleuo ir siconmun e	-|---⌫|--|--⌫-|-|------⌫|
s elon c leseuures d ef ortune	-⌫----⌫|--|-----|-⌫|-⌫-----|
quechascunschascunior lauoit	--|-------|------|--|-|---|
se bonentendement auoit	-|--|----------|----|
me rueille est	--⌫------|--|
quebien ne lant enz	--|---|-||---⌫--|
cur e as mi seta ntenz	---⌫|-|--⌫-|--⌫-|--|
mestula sautrepartt or nee	--|-||-⌫|----|---|-⌫--⌫--|
parcesta mord esordene e	--|---|-⌫--|-⌫--------⌫|
te ueil l orram antoiur e	-|----⌫|-|---⌫-------⌫|
p or t oi fere mieuzaperc oiure	-⌫-|-⌫-|---|----|-----⌫----|
iupiterento uteseson	------|-|--⌫--|----|
s eull desames on	-⌫---|-|-|---⌫-|
cedithomersyy pl eins touneaus	-|--|-----|-|--⌫---|-------|
sinest uieuz homne	-||--|----|--|-|
garconeaus	---------|
nilne stdamenedamoisele	|-||-⌫-|---|-|--------|
soituielleouienn eou	---|-----|-|----⌫|-|
ledeoubele	---|-|---|
qui uie en	--|--|-|
cestmond e recoiue	---|----⌫|------|
quidecesyyt ouneausneboiue	--|-|--|-|-⌫------|-|----|
cest unetaue rnepleiniere	|--|--|----⌫--|--------|
donf ortunelat auernie re	--|-⌫-----|-|-⌫-------⌫-|
tretal uisne etpi ment ensoupes	---|--⌫----|-|--⌫---|-|-----|
porfereat out le mondesoupes	--|---||-⌫--|-|----|-----|
touzles enaboi urea	---|--|-|----⌫--||
sesmei n s	--|---⌫-⌫|
meslesuns pl us	--|--|--|--⌫-|
les autres mein s	--|-----|----⌫|
nus quichascun ior ne pinte	--|--|------|--|-|----|
dec estoneaus	-|-⌫-|------|
ou quarteoupinte	-|-----|-|----|
oumu i ou setierou	-|--⌫|-|-----|-|
plest ala mes chin e	----||-|---⌫----⌫|
ou pleine paumeou	-|-----|----|-|
quel qu egou te	----⌫--⌫|---⌫-|
quefortune oubec liagoute	--|------|-|--|-|-----|
carbie netmalachascun	--|---⌫|-|--||------|
siconeleestdouceet peruerse	-|--|--|--|----|-|-------|
ne ianussi lieznesera	-|-|--|-|---|-|---|
qua ntilbien sepo rpensera	---⌫-|-|---|-|--⌫-------|
netruisseens a	-|------|-|-⌫|
greigneur ese	--------|--|
quelque chosequilid esplese	------|----|--|-|-⌫------|
ne iat ant d e m eschiefnau ra	-|-|-⌫--|-⌫|-⌫------||--⌫-|
quantb ienpo rpenserse	----|-⌫--|--⌫------|-|
qui lne tru isseensondesconfort	-|-⌫|-|---⌫---|-|--|---------|
quelquechosequi le confort	------|----|--|-|------|
s oitchosefeteo u cho seafer e	-⌫--|----|---|-⌫|---⌫-||---⌫|
s ilpensoit bie na n sonaffere	|-|------|---⌫|-⌫|--|-----|
s il nechieten dese sperance	|-|-|----|-|----⌫-------|
qui lesp ec heor s desauance	--|--|-⌫--⌫----⌫|--------|
ni peut conseillme tre	||---|-------|--⌫--|
tantparfont enletre	---|------|-|----|
queciuaut donle corrocier	--|-|---|--|-|--------|
lel erm oierne	-|-⌫---⌫---|-|
l egrocier	-⌫|------|
mes pre n bonq ueu r e tsit	--|---⌫|--|-⌫---⌫|-⌫|-||
de receuoiren paciance	-|-------|-|-------|
tout quan qu e fort une	---|----⌫--⌫|----⌫--|
so itbeleou lede ou maleo ubone	--⌫-|---|-|---|-|---|-⌫|---|
d efor tune l as emi lleuse	-⌫|---⌫---|-⌫|-⌫---⌫-----|
et desa roeper illeuse	-|-|-|--|---⌫------|
touzle stourzconter neporra ie	---|--⌫|----|-----|-|-----⌫-|
le geude boute en corraie	-|--|-|----|-|------|
que fortun eset	--|------⌫|--|
sip a rtir	-|-⌫-⌫---|
quen u sdeuantaud epar tir	--|-⌫-⌫|-----|-|-⌫----⌫--|
n enpeutauoir	|-|---|----|
sc ienceaperte	--⌫----|-----|
sili prend r ag aaignou pert e	|-||-----⌫-⌫|-⌫----|-|----⌫|
mesatant delui	--|----|-|--|
fors tantconcorm	---|----|----||
ire trerai	|--⌫-----|
u npe tite t p o r mesrequestes	-⌫|--⌫----⌫|-⌫-⌫|--|--------|
donietefaizyymozhonestes	--|-|-|---|-|--|-------|
car u olentiers recordeboi che	--|-⌫--------|------|---⌫--|
pr es duqu eur li	--⌫-|-|--⌫--|-|
ets etulesue uzrefuser	-|-⌫|-|--|--⌫-|------|
riensquite	----|--|-|
puisse es cuser	-----|--⌫----|
q uetropnefacesablasmer	-⌫-|---|-|----||------|
cestque t u me ueullesa mer	|--|--|-⌫|-|------|-⌫--|
etque ledieud	-|--|-|---||
amors despises	----|-------|
etque fortun e r ien sne	-|--|------⌫|-⌫---⌫|-|
et se tu tro pfoible te	-|-|-|---⌫|-----|-|
asou tenirce treblefes	|---⌫----|-|-----|--|
ielesuiprest edalegier	-|-|--|-----⌫||------|
po rporterleplusdelegier	--⌫|-----|-|---|-|-----|
prenlaprumiere	---|-|-------|
etse tu mentenz	-|-|-||-----|
seinem ent	------⌫--|
tuserasd esautres deliures	-|----|-⌫-|-----|-------|
c arse t u	-⌫-|-|-⌫|
n iesoufols	|--|-|---|
sauoirdoizet bienlerecorde	-----|---|-|---|-|------|
quequiconque	--|--------|
aresonsaco rde	|----||---⌫--|
