puisquececi feniauons	------|---|---|----|
un egrant partied e sire	--⌫|----|-----|-⌫||--|
p or mirear drafetil li	-⌫-||--|--⌫--|--|-|-|
iuquen enferen plus bas	---|-|----|-|---|--|
quila terredeuorera	--|-|----|-------|
e tceu quinessentisera	-⌫|--|--|------||---|
lasenten c edec etuiuers	-|------⌫-⌫|-|-⌫---|---|
ma uues lesperu ers	--⌫---|--|----⌫--|
desq u iex la	--|-⌫-⌫--|-|
po yne sicomence	--⌫--|-|------|
qui durrasen znullefinence	--|----|---⌫|----|------|
feux laterre gaste	---|-|----|----|
ett otsonger mesenz demore	-|-⌫-|--|---⌫-|---|-----|
ce stquantluxure le corsront	|-⌫-|----|-----|-|---|---|
et sabo ne	-|-|--⌫-|
ouurelicorront	----|-|------|
encetuichantmeismesdit	-|----|----|------|--|
cissire squenus nede sd it	--|----⌫|--|--|-|--⌫--⌫-|
g o cirreetuiure fer e	|-⌫----|-|----|---⌫|
etsiferree tsigarr e	-|-|----|-⌫|-|----⌫|
ilditqueilest ociens	-|--|--|-|--|-----|
apresest uiuifiens	----|--|--------|
ilfi ertet done garison	-|--⌫--|-|---|------|
desoncopnest oci s nusho n	-|--|--||--|---⌫|--|--⌫|
se s glaiues fet telenuaye	--⌫|------|--|--|-----|
qu ilfiert lacharalafeye	-|-|----|-|---||-|---|
etna fre mas tantaualu	-|--⌫--|--|---||---|
sescosqui lnous d onesalu	--|--|-|-⌫|---|-⌫--|---|
quant ilfiertlachar ets a chez	----|-|----|-|---|-|-⌫-⌫---|
quarlor sociti llespechiez	---|---⌫|---|-⌫|--|------|
lespensee sedifiens	--|------⌫|-------|
etle suertuz uiuifi ens	-|--⌫|-----|------⌫--|
mesglaiues f et il tantfera	--|------|-⌫-|-|---|---|
queil les c harsde uorera	--|-|--|-⌫---|--⌫-----|
etli sueniugements ont tel	-|-|---|-------|-⌫--|--|
que serontou f eul ic harnel	--|-----|-|-⌫-|-⌫|-⌫-----|
q uarloy defeuest dite	-⌫--|--|-|--|--|---|
selonles escri za sadestre	----|--|-----⌫||-|-----|
ladestre notele sbiennez	-|-----|---|--⌫|---|--|
etlasenestr e les dampnez	-|-|-------⌫|--|------|
et do nquese n doitmontbien	-|--⌫----|-⌫|---|---|---|
la loydef e umiseasadestre	-|--|-|-⌫-⌫|---||-|-----|
quar tote slessainctes pensees	---|----⌫|--|-------|------|
sontenlamo rdedieu s encees	---|-||---⌫|-|---|-⌫-----|
dec estc h ant me i smes zz rains	-|-⌫--|-⌫-⌫--|--⌫-⌫---|-|----|
doi testrequefersa rains	---⌫|----|--|---|-⌫----|
chaucementedelui	----------|-|--|
quar sicom essainzescri z lui	---|-|--|-|----|-----⌫|--|
li m est re q uipor conforter	-|-⌫---⌫-|-⌫-|--|--------|
lesam es s ontprestde porter	--|--⌫-|-⌫--|----|-|-----|
lesparollesde lescript ure	--|-------|-||-------⌫--|
s ontsenefien ceet	-⌫--|--------⌫-|-|
delachaucementede s	-|-|----------|--⌫|
auroyqui fucrucifiez	-|--|--|-|--------|
parlef erqu i estdursetfors	--|-|-⌫-|--⌫|--|---|-|---|
e stsenefiezli esfors	-⌫-|-------|-|-----|
par qu oysepuentauaincier	--|--⌫-|-|----|--------|
limestretantquetresperci er	-|-----|------|---------⌫-|
puentlacontrariete	----|-|----------|
alas ainctediuinite	|-|-⌫-----|-------|
estsignifiee	--|--------|
p ense ee ntotbienproposee	-⌫----⌫|-⌫|--|---|-------|
quidureetnefaut	--|---|-|-|---|
en louurecommencee	-||----|--------|
tu necuir as miebelfrere	-|-|----⌫-|--|--|----|
lebochetoulait de samere	-|-----|-|---|-|-|---|
oulait estfiguree etpr ise	-|---|--|------|-|--⌫--|
lacor repcions	-|---⌫-------|
del iglise	-||-----|
quantel estso euementfait e	----|-|--|--⌫------|----⌫|
etcelui l i	-|----|-⌫|
boche zretraite	-----⌫|-------|
qu idit etporteenuer ssamer e	--⌫|--|-|----|-----⌫|-|---⌫|
paro llecruelleamere	----⌫--|------|----|
dom nusneli	--|--|-|-|
doit senzdoutence	---|---|-------|
charg i erlegier epenitence	-----⌫-⌫-|------⌫|--------|
tunay esendespitporrien	-||--⌫-|-|-----|--|---|
legaigneuregipt ien	-|-------|-----⌫--|
estrange fus te nuz	-------|--|--⌫--|
quant e nlaterre fusuen uz	----|-⌫|-|----|--|---⌫-|
tuq u ibien ueaus	-|-⌫-⌫|---|----|
foir egipte	---|-----|
nefuicelu iq ui yha bite	-|--|----⌫|-⌫-||--⌫---|
q u ens it l	-⌫|---⌫-||
ens eignemoy ses	---⌫----|---⌫--|
ces t adir ea	|--⌫||---⌫||
t otf uiestu lemontforment	-⌫-|-⌫---|-|-|---|------|
ne stu miepurspurement	|-⌫|-|--|---|-------|
ciaprescecommant	-|----|-|------|
pas enzzsacyyfe s	--|-|-|--|-|--⌫|
geporssu smoncors doublechar ge	-|---|--⌫|--|---|-----|----⌫-|
sip or semblentpec h ie ten cha rge	-|-⌫-|-------|---⌫-⌫-||-|---⌫--|
gra ntfesp arsi q uegeamoy	---⌫-|--|-⌫-|-|-⌫-|-||--|
len c harg emenorqueato y	|-|-⌫----⌫|----|--||--⌫|
enlaboyche en tesmoygnage	-|-|-----|-|----------|
de trois q uisont	-|----|-⌫-|---|
seratoteparol ees tabl e	---|---|-----⌫|--⌫----⌫|
etproueeetconfe r mable	-|-----|-|-----⌫-⌫----|
ett otpuiss e lonsimplemen t	-|-⌫-|-----⌫|--|---------⌫|
acomplircestco mm end ement	-------|---|--⌫--⌫---⌫----|
totes uoyeslaygeu ehu	----|----||-|-|-⌫--|
contreles bougresentendu	-----|--|------|------|
liduitesmoinso ntplainem ent	-|--|------|--⌫-|-------⌫--|
ape lélidui	---⌫--|-|--|
testa ment	-----⌫---|
q uarchascunsde cesyyconfont	-⌫--|-------|-|--|-|------|
lafauceteque bougr e	-|------|--|-----⌫|
lesparollesdeseuangil l es	--|-------|--|-------⌫-⌫-|
qui sont c ertoynesetsenz	--|---|-⌫-------|-|---|
apres lesuo iz despr ophecies	----|--|--⌫-|--|--⌫-------|
quiparuoyres sontanun cies	--|--|-----|---|----⌫---|
etl esep istresdesaintpol	-|-⌫-|--⌫-----|-|----|--|
p orten tp as po	-⌫-----⌫|-⌫-|-|
cesontlitroytesmoinse nzf able	-|---|-|---|------|--⌫-|-⌫---|
par quoynostre l o y est e stable	--|---|-----|-⌫-⌫|--|-⌫-----|
ap res uousc om enzquen usnaille	--⌫--|---|-⌫--⌫--|--|-⌫-||----|
desgarnizne	--------|-|
nuz enba taill e	--|-|--⌫-----⌫|
cis quies tpahereusdec our	--|--|--⌫|-------|-|-⌫--|
nepeute xerc ieranulfeur	-|---|-⌫----⌫--||--|---|
les f ez delacheuallerie	--|-⌫-|-|-|----------|
dedi euned e	-|--⌫-|-|-⌫|
sainctema rie	------|--⌫--|
c estcis qui tiedementfera	|--|--|--|--------|---|
lesbiens queencommencie zha	--|----|--|-----------⌫|-|
tu nestoper as an ulhore	-||-------⌫-||-⌫-|---|
doubouf q u i labore	--|---|-⌫-⌫|-----|
libeux quilab ore ettra u aille	-|---|--|---⌫--|-|---⌫-⌫----|
estli sages mestres	--|-|----|------|
senzfail le	---|----⌫-|
qu i le ss a inctesparoles seime	--⌫|--⌫|-⌫-⌫-----|------|----|
quisont profetables	--|---|----------|
la boicheaubouf la boran t	-|-----|-|---|--⌫-----⌫|
q u iuiendeatelmes trenie	-⌫-⌫|-----||--|---⌫--|--|
quarsain z	---|----⌫|
po lle iugeetcom mende	--⌫|-|---|-|---⌫----|
tiex honsestdignesd euiende	---|---|--|-----|-⌫|-----|
siaucunsfet	-|-----|--|
e ns aigne	-⌫--⌫----|
auecuoustel uiendepreigne	---|---|--|-----|------|
commeuous porrez p or ceuoir	----|---|-----|-⌫--⌫-----|
quarilest dignes delauoir	---|-|--|-----|-||----|
quant tuenlat erreenteras	----|-|-|-|-⌫---|------|
outu l aitetmieltroueras	-|-|-⌫--|-|---|-------|
poynetoyde t es anem i s	----|--|-|-⌫-|----⌫-⌫|
com alespee seantm is	--|||----|----|-⌫-|
roys que il ont	---|--|-|--|
qui lormestreetlorseignor son t	--|--|-----|-|--|------|---⌫|
c est asauoiramorreus	|--||-----|-------|
ge rs eus et can an eus	--⌫--⌫--|-|---⌫--⌫--|
heueusetferr ezeu s	-----|-|----⌫----⌫|
et heus et	--⌫---|-|
liyypechiemortel	-|-|-----|-----|
quisontsigriefet si	--|---|-|----|-|-|
delor racine	-|--|-----|
tote me nier e	---|--⌫----⌫|
demalgerme	-|--|----|
ue a uxquicistyysont	--⌫-⌫-|--|---|-|---|
etlal ign ieq ueil on t	-|-|-⌫---⌫-|-⌫-|-|--⌫|
quantle s escriptures auras	----|--⌫|----------|----|
cerch ees a donclessauras	-----⌫--|-⌫---|--|-----|
foyrles doi z	---|--|---⌫|
t otetauie	-⌫--|-|--|
ceestorgeauxire enuie	-|--|------|--|----|
auariceetyurece	------|-|-----|
acc idedetozbiensparece	---⌫--|-|--|----|-----|
etladesraineestluxu re	-|-|-------|--|----⌫-|
sineuuilorem etre cure	-|-|---|--|-⌫---|---|
en lo r ligne esdeuiser	-|--⌫|-----⌫-|------|
esli urest	-|--⌫---||
en puezauiser	-|---|-----|
cesyyporra s seuremont er	--|-|-----⌫|---------⌫-|
et uaincreet occirree t denter	-|------|-|------|-⌫|-----|
que diexasaincte	--|---||------|
ceestdesapar oles ain cte	-|--|-|-|---⌫--|-⌫---⌫--|
oulesarmesdedroyture	-|--|----|-|-------|
porras auoy r	-----|----⌫|
uictoyrepure	-------|---|
bat ai llet esmis	---⌫--⌫--||-|--|
co ntre tesmor tiexanemis	--⌫---|--|---⌫---|-----|
si tutantpuez	-|-|---|---|
fereetualoyr	---|-|-----|
queui ctoyrepuissesauoir	--|--⌫-----|------|----|
e t t u puiss esencelleguerre	-⌫|-⌫|-----⌫-|-|----|-----|
un ebele fame	--⌫|---|---|
si tulau iauxato y	-|-|-|-⌫---||--⌫|
etprendreafamefe la	-|------||---|-|-|
tozsescheuiox etp uislid oiz	--|--|------|-|-⌫--|-|-⌫--|
rere lesong lesde ses doiz	---|--|---⌫--|-|--|---|
etlorsdoiz	-|---|---|
yyiors atendre	-|---|------|
etpuislap uez	-|---|-|-⌫--|
af ameprendr e	|-⌫--|------⌫|
sachesquecestebellefame	-----|--|----|----|---|
senefie e tfigurelame	------|-⌫|-----||--|
f orma et nobleet bele	-⌫---|-|----|-|---|
et senztaiche froyscheetnouelle	-|---|-----|-------|-|------|
ce tefam eueaux	--⌫-|---⌫|----|
ioindreatoy	------||--|
et sesongleslitrancheras	-|--|-----|-|---------|
cheuoixpuisl ireras	------|---|-⌫|----|
li cheuiol	-|------|
et lio ngle s ont	-|-|-⌫---|-⌫--|
t elquesuper fluite f ont	-⌫-|--|-----⌫-----|-⌫--|
lesqui exsoulent etdoiuentrere	--|---⌫-|------|-|------|---|
lesparolesdedieulepere	--|------|-|---|-|---|
aprenst i ex ames	-----|-⌫-⌫-|---|
qui sont folles	--|---|-----|
q uelles guerpissen t lesydoles	-⌫|----|----------⌫|--|-----|
etque lisainzesperizs oit	-|--|-|----|------|-⌫--|
quidetozblasmesl es	--|-|--|------|-⌫-|
enssitle s	-----|--⌫|
po rrass enzdesdit	--⌫---|-⌫--|-----|
conioindreau smembres	---------|--⌫|------|
enssit la porrasdignerendre	-----|-|-----|----|-----|
queafamelapuisses prendre	--||---|-|------|------|
troispersoyn esendeite	----|-------⌫-|-|----|
etdizcommendemenzco nté	-|--|-----------|--⌫---|
sontparfectement	---|-----------|
en yylo ys	-|-|--⌫-|
sont pa rdiz foiztroys	---|--⌫|--|---|----|
y ychoses aorn ee	-⌫|-----|----⌫-|
es tlame adieuio incte	--⌫||--||---|--⌫----|
laloyenco mmendement	-|--|-|--⌫---------|
honsqui sab ando ne	---|--||--⌫----⌫-|
parsafollieagrantmesfait	--|-|-----||----|------|
calamesurede son fait	||-|-----|-|--|---|
sel onccequilaurame spri s	---⌫--|-|-|-|---|--⌫----⌫|
souffretormen tpary yfoizdis	------|------⌫|--|-⌫|---|--|
etquioreseracorp ables	-|--|--|---|----⌫----|
sostiegnepoygnesconuenab les	--------|------|--------⌫--|
selonclemal et	-----|-|--|-|
lemes fait	-|---⌫---|
queilaura totauantfait	--|-|---|--|----|---|
i u catant q ue	-⌫-⌫||---|-⌫-|
la poygneefface	-|-----|-----|
dou m esfaitligna ge	--|-⌫-----|-----⌫-|
et q ueils oit toz esp urgiez	-|-⌫-|-|-⌫--|--|---⌫-----|
de sesmesfa izdes espechiez	-|--|-----⌫-|-|-⌫-|------|
deuantle iugequi uiendra	-----|-|---|--|------|
loursloy ers	----|---⌫--|
chascu nsa sesmesf aiz	------⌫-||--|----⌫--|
etsisecontiegne etsegart	-|-|-|--------|-|-|---|
liconuiegnee n durer	-|--------|-⌫-⌫----|
toziorsdoi tdurer	--|---|---⌫|----|
apresmoysesla	----|-----|-|
mes tr ise	---⌫--⌫--|
hai osue doupo uplep rise	-|-⌫---|--|--⌫---|-⌫---|
cis sotala	--|--||-|
t errea sener	-⌫---|-⌫----|
que moy ses	--|---⌫--|
nepotdo n er	-|--|--⌫-⌫-|
c esenefi e	-⌫|------⌫|
c apreslalo ylagrasceuin t	|----|-|--⌫|-|-----|---⌫|
quelicom mende ment	--|-|---⌫-----⌫---|
de loy n e plainement	-|--|-⌫|---------|
ce estla ioyequ ifinna	-|--|-|---|--⌫|--|||
la gr acesollemen tdo una	-|--⌫--|--------⌫|--⌫--|
quanti o sue	----|-⌫-⌫--|
lames trise	-|---⌫----|
auplu sto stqueilonquespot	-|---⌫|--⌫-|--|-|-----|--|
enuoyayydeses mes ages	-----|-|-|--|---⌫---|
quon tenoit apreuz	-|-|-----||----|
enunecit e gr antetle e	-|--|---⌫|--⌫--|-|--⌫|
qui iericoertap elee	--|-----|--|--⌫---|
porespieretporsauoyr	--|-----|-|--|-----|
quel forc eelp o oit	---|----⌫|-|-⌫-⌫--|
quar montuoluntie rstant feist	---|---|--------⌫-|---|----|
c aupeupledieulac onq ueist	|-|-----|---|-|-⌫---⌫----|
c esyy li latinsnomé a	-⌫-|-|-|-----|----||
cecroycalephetpinea	-|---|-----|-|----|
cistchem i nerente rreren t	---|----⌫-⌫-----|-⌫------⌫|
tant quen lacites	----⌫-|-|-|---||
en entrere n t	-|-------⌫-⌫|
encerchi erent parzzior	--------⌫----|--|-|--|
lacitetotesenz seior	-|---|---|---|----|
citelont ue u	---||--|--⌫|
sicesont bi enap arceu	-|-|---|--⌫-|--⌫----|
si ontditen treuxqueceestaint	-|--|--|--⌫-|--|--|-|------|
poruoir gentqui les	--|---|---|--|--|
s iquequantu intal an uitier	-⌫|--|----|-⌫--|||--⌫-----|
lidui qu ido stel ontmestier	-|--|--⌫||-⌫---|--|------|
etqui tra uaill iétant	-|--|---⌫-----⌫--|---|
quel a s sé bie n	--|-⌫-⌫-⌫--|---⌫|
estredeuo int	----|----⌫--|
parlauill e	--|-|----⌫|
tanterre ́ont	---|----⌫|--|
qu alostelraabuenu sont	-|||----|---|---|---|
qui delauilea uchiefma noit	--|-|-|---|-⌫|----|--⌫---|
ce rtunef ame quiauoit	|-⌫-|--|-⌫--|--|----|
fetd esoncors	--|-⌫|--|---|
sa uolunte	-|------|
illecqueso ntprisl oroste	--------|-⌫-|---|-⌫-|---|
li dui quita nterréau aint	-|--|--|--⌫-|----|--⌫---|
ior quelasséestaint	--|--|-----|------|
li citoyenq uiseulont	-|------|-⌫-|--||--|
a lostelr aabuenu sont	||----|-⌫--|---|---|
et demendentou sontalé	-|--------|-|---|---|
leenz sontostelé	----|---|------|
etraabcomsage	-|---|--|---|
et di tque	-|--⌫|--|
mai ntenentsen uont	---⌫------||-|---|
bienpoen testreo u sont	---|----⌫|----|-⌫|---|
zzpetitparde sa lemont	-|----|--|-|-|-|---|
cil cu i d entbienque dieu oir	--|--⌫-⌫-⌫--|---|--|--|-⌫--|
et por euxenleursmains auoir	-|--|--|-|----|----|----|
dilecsedep artenta tant	|---|-|---⌫-----||---|
mont s en uontb a tant	---||-|---|-⌫-⌫---|
mespo r nientsitrauailli erent	--|--⌫|----|-|---------⌫----|
riens quilqu eis sentnetrou eren t	----|-|-|--⌫---⌫---|-|----⌫----⌫|
raables aueh u z	---|--||---⌫-⌫|
correetaler	----|-|---|
t o z esmeuz	-⌫-⌫|-----|
uersle mont	---|-|---|
auoit d it	----|-⌫-|
maintenent lesyyrebonsit	---------|--|-|-------|
engrantfes deli n quel auoit	-|----|--|-|--⌫|-|-|----|
quarmeaux met re ne les	---|----|---⌫-|-|--|
etlilins estoitce lison	-|-|---|-----|-|----|
desuslestrez	----|--|---|
de sameson	-|-|----|
etquantcilfurentre ue nu	-|----|--|-----|--⌫--⌫-|
n e seson t mie	-⌫|-|---⌫|--|
queilnaienten mainte	--|-||----|-|-----|
sercheelamesonetquise	------|-|----|-|----|
decelequi lo ro t me nti	-|---|--|--⌫|-⌫|--⌫--|
mes onc riens	--|--|----|
ni ontasent i	||--|-----⌫|
etquant il	-|----|-|
tr ouezneles ont	--⌫---|-|--|--|
d ileucsepar tent si	|----|-|---⌫---|-|
quant raablesenuitaler	----|---|--|-|--|---|
asesostespris tap arler	|--|----|----⌫||-⌫----|
seyg norfet elle iese bi e n	----⌫--|--|---|-|-|--⌫-⌫|
etsin en dotdenulle	-|-||-|--|-|----|
quecetecites erauostre	--|---|---|-⌫--|-----|
q uar certoyne suique	-⌫--|-------|--|--|
e n uersuous iane setiendront	-⌫-⌫---|---|-|-|-|--------|
uosgen zcetecitepren dront	--|---⌫|---|---|----⌫----|
messeygnourssi com uoussauez	--|--------|-|--|---|----|
queg ardezuous heetsauuez	--|-⌫----|---|-|-|-----|
aussitseroitraysons	-----|-----|------|
gardoizmoye t les miens	------|--|-⌫|--|----|
tantostpromisli ont	------|-----|-|--|
par serement qu ilgarder ont	--|-------|-|-|------⌫--|
l uiet lessuensdepert ilence	-⌫-|-|--|----|-|----⌫-----|
q uantu ousuerrez	-⌫---|-⌫--|-----|
au ronsfont	--⌫---|---|
quayonsd euo usmem oyre	-|----|-⌫|--⌫-|---⌫---|
gard er de tothomemortel	----⌫-|-|--|---|-----|
a ufenes tresde uo st re ostel	-⌫|-----⌫---|-|--⌫--⌫-|----|
soitlorsunecordependue	---|---|--|----|-----|
decolleuruermoille embehu	-|------|--------|-----|
etcelle cordequipendra	-|----|----|--|-----|
auos fen es tresnous rendra	|--|---⌫--⌫---|---|-----|
conoissencequebiensauons	----------|--|---|-----|
que l oste lesparn erdeu ons	--||----⌫|------⌫-|---⌫--|
etnou sfero nsanostre gent	-|---⌫|----⌫-||-----|---|
sauoirq uilsoientdiligent	-----|-⌫|-|-----|-------|
a cequechascu nsgarder u u ille	|-|--|------⌫-|-----|-⌫-⌫---|
lo ste alacord e uerm eille	|-⌫--||-|----⌫|----⌫----|
or oe zdecelaf igure	-|--⌫|-|-|-|-⌫----|
iericolemonde figure	-----|-|----|-----|
au que l cil quile selemens	-|---⌫|--|--|--⌫|------|
fistenuoy ayytestamens	---|-----⌫|-|--------|
raab quipre merementfist	---|--|---⌫-------|---|
tantdeson co rset s em esf i st	---|-|--|--⌫-|-|-⌫|-⌫---⌫-⌫-|
s ainct eyg lisenous	-⌫-----⌫|--⌫---|---|
qu ipr emerementfist foli e	--⌫|--⌫--------|---|----⌫|
en cequeprime s honora	-|-|--|-----⌫|-----|
lesydolesa ora	--|-----|-⌫--|
raabenso nostel	---|-|--⌫|----|
les yyquoncriensne les	--|-|-|--|----|-|--|
etsainc tey glisea ensagarde	-|-----⌫-|-⌫----||-|-|----|
lesy y testam e nse tle sgarde	--|-⌫|------⌫-⌫-|-⌫|--⌫|----|
raab lesyys enz	---|--|-|-⌫--|
uost enso nostel receuoir	---|-|--⌫|----|-------|
et trestot auss itsai nc teyg lise	-|------|----⌫-|---⌫--⌫-|--⌫---|
a crea nceetf o yen	|----⌫--|-|-⌫-⌫|-|
lu ipris e	--⌫|----⌫|
l acor de qu iuermo illeestoit	-⌫|---⌫-|--⌫|-----⌫---|-----|
fenestre pendoit	-------|------|
raabetsesamis	---|-|--|---|
sauuaenuerlor anemis	----|----|--|-----|
s enefie leuermoyl sanc	-⌫-----|-|------|---|
la fenestre dou flanc	-|-------|--|----|
d e ih esucr itfuespenduz	-⌫|--⌫-----⌫-|-|-------|
par cui salu z	--|--|----⌫|
nousestr enduz	---|--|-⌫----|
t endiscomme	-⌫----|----|
lid uie staint	-|-⌫-|-⌫-----|
enieric o et	-|-----⌫|-|
qui lfaisain t	-|-⌫|-------⌫|
illecques ententiuemen t	--------|------------⌫|
lor questeetlorence rchement	--|-----|-|--|----⌫-------|
lidiacreetli pr euoyre	-|-----|-|-|--⌫-----|
