cicomenceli	-|------|-|
pardon r aitoutle plaitde m a moi llie r	------⌫-⌫-|---|-|----|-|-⌫|---⌫----⌫|
ce lirespontiosephbons	-|-|------|-----|---|
rois orm es coutez	---|-||--⌫-----|
diex est molt u ostre amis droizes tq u e	---|--|---|-⌫----|---|----|--⌫|-⌫-⌫|
bien uosestlic h ier s tenspar songe	---|--|--|-|-⌫-⌫---⌫|---|--|----|
espiz char giez y y anz plante	----|----⌫---|-⌫|--|-----|
furentl echier te ns atendez	-----|-⌫|----|--⌫-|------|
l a umaille	|-⌫------|
queueiste spaistre	--|------⌫|------|
parmi lespr ez	----|--|--⌫-|
lesgrassessenefien t yyan zpla nteau rez	--|------|--------⌫|-|--⌫|---⌫--|--⌫--|
lesmaigres	--|------|
que ueistes	--|------|
qu ipaissoi entdelez	--⌫|-------⌫--|----|
famineau rontdepais treyyanzia nen	-----|--⌫---|-|----⌫--|-|--|-||-|
touteegy pt en ulenen	----|---⌫--⌫|-⌫--||-|
troue r ez	-----⌫-⌫-|
ios e ph cedis tlirois paruerite le sai	---⌫-⌫-|-|---⌫|-|---|--|-----|-|--|
quemoltiessag eshomtom	--|---|--|---⌫-|--|--|
mes ti erterendr ai	---⌫--⌫-|-|-----⌫-|
quesoiessiresne menen tremetr ai	--|----|----|-||-|--⌫-------⌫-|
porqoine stpasraisonspri mes me scon dira	--|--||-⌫-|--|------|---⌫--||-⌫----⌫---|
iosepho ublié l ai	-----|-⌫-----||-|
sirecedist iosephparma foisife rai	---|-|---|-----|--|-|--|-|--⌫--|
oubli éne nel oub lierai	-----⌫-|-|-||---⌫-----|
icies ttes consausaincp o rce	--|--⌫|--|------|---|-⌫-⌫|-|
nel mandai	-||-----|
certes cedistli roismancongeest bi e nlesai	-----|-|---|-|---|-------|--|--⌫-⌫|-|--|
sir eced ist i os e puostreplesir f erai	---⌫|-|-⌫--|-⌫--⌫-⌫|-----|-----|-⌫---|
ielaibien comparémaisain cne l	-||-|---|-------|---|---⌫|-||
m e pensai	-⌫|-----|
tou tso mmil lorbarnagea	---⌫|--⌫|---⌫--|------||
qa n t s ontde uant le	--⌫-⌫|-⌫--|--⌫---|-|
roiiosephontdem endé	--|-----|--|---⌫----|
mer uille rentqant il lontesgardé	---⌫-----⌫---|---|-||--|-------|
etbienressambl oithome	-|---|--------⌫--|---|
de m or tresuci t é	-|-⌫--⌫|------⌫-⌫-|
dites r oisfar aono uac istconuersé	----|-⌫--|---⌫--|-⌫||-⌫--|--------|
enen fer ousozterr eouenchaitiuete	-|--⌫--|-|--|----⌫|-|-|---------|
leuispali taint etdescoloré	-|--|---|----|-|---------|
porqoi est il	--|--|--|-|
simaigres toz estdeffiguré	-|------|--|--|---------|
deqoiestilsi	-|--|--|-|-|
paleso uaildemo ré	----|-⌫||-|----⌫--|
n eco nnoissiezioseph	-⌫|--⌫--------|-----|
seneschausfui adi s	---------|-|-⌫---⌫|
ietél aidem a chartreouilfup ieca	----||-|-|-⌫|------|-|-|-|-⌫---|
etporqo inestilmorz	-|--|--⌫||--|-|---|
mois amble quil estuis	--|-⌫----|-|-|--|--|
d esco ulorez molt amaigre leuis	-⌫----⌫-----|---||-----|-|--|
cenest pa sde merueille	-||--|--⌫|-|--------|
niotpasse sdeliz	||-|--|--⌫|----|
en ch artreademoré orlena uonsfor smis	-|--⌫----||------|-||-|-⌫---|---⌫|--|
biausire etuos	---|---|-|--|
porq oi mon son ge	--|-⌫-|--|---⌫-|
limo strai	-|--⌫----|
et ilquue uosen	-|-|---|--|-|
ditl a ue riteen	--|-⌫|--⌫---|-|
entreci etyyanz issi entendu lai	----|-|-|-|--|---|------||-|
auronss igrantchiertetoutema gentpe rdrai	-----|-⌫|----|------|----|-|---|--⌫----|
quetuitmo rron t d e	--|---|--⌫----⌫|-⌫|
regneme nfuir ai	----||-⌫|----⌫-|
seienenaiconseiletporceuo s	-|-||-|-|------|-|--|-|--⌫|
icis thomestmoltsagessonc onseil	----⌫|--|--|---|----|--|-⌫-----|
seuos lemeloez	-|--|-|-|---|
so nmestie r lire ndrai	--⌫|------⌫|-|--⌫----|
saisenos l iporronstraire	--|-|--|||------|-----|
qui l senuoill e	-|-⌫||-|-----⌫|
antremettre ne quil leuoi llefa ire	----------|-|-|-|-|---⌫--|--⌫--|
porq oipormam oillierqui lifistle contraire	--|-⌫-|--|-|-⌫------|--|-|---|-|--------|
mam oillier sot	-|-⌫-------⌫|-|
gr ant tort care leestde ma l	--⌫--|---|--|-⌫-|--|-|--⌫|
molt setbien lesyyarsass ez	---|--|---|--|-|--|---⌫-|
grant m aire	-----⌫-⌫---|
molt set d	---|--||
afaitementetmolt	---------|-|---|
estdeb onai r e	--|---⌫----⌫-⌫|
uos dite ssifetescest afaire	--|----⌫|-|----|---|-----|
del oinz somes	-|-⌫---|----|
u e numetrons n osaurepa ire	-⌫-⌫-|------|-⌫-|-|----⌫--|
libarondoupaisonti oseph apelé	-|----|--|---|--|-⌫----|-----|
seneschale nont	--------|-⌫|--|
fait degyptele	---||-----|-|
tuitferontson comantceliontafi é	---|-----|--|-----|-|-|--|---⌫-|
pr isontco n gie d o uroi	--⌫-|--|--⌫-⌫--|-⌫-⌫|--|
so ntre torné	--⌫-|--⌫-----|
ser genzetescui e rsaio s e phapelé	---⌫---|-|-----⌫-⌫-||--⌫-⌫-⌫-|-----|
cexquimiexle	--|--|---|-|
seruirentai nzqui l	--------|--⌫---|-⌫|
f ustenchartré	-⌫--|---------|
doncsen uapa reg yptene se st	---||-|-|--⌫|--⌫---|-||-⌫-|
le smaistres	--⌫|-------|
charpantiersatoza soimandez	-----------||--||--|-----|
puisontdedanzcelan milgrangesmanour é	---|--|-----|--|-|--|------|------⌫-|
eti llesaampliestrestoutesde bon ble	-|-⌫|--||------|---------|-|--|--|
ilfaitf ere ce l iersetsoz terref oir	-|---|-⌫--|--⌫-⌫---|-|--|----|-⌫--|
gra nzton nes i	---⌫-|---⌫--||
faitmettre etdebon uin	---|-----|-|-|--|--|
plus demilen fist	---|-|--|-|---|
ferene u os en	---|-|-⌫-|-|
quiermentir	----|-----|
la gent delacontreeqant leuoi entuenir	-|---|-|-|------|---|-|---⌫--|----|
etpan reloraumaill e	-|---⌫-|--|-------⌫|
etle bletdepartir	-|-|---|-------|
lesgreni ers	--|-----⌫--|
deb lem oltbienamplir	-|-⌫-|-⌫--|---|-----|
lesbaron sdela	--|-----⌫|-|-|
terre fere tou t	----|---|---⌫|
som plaisir	--|------|
tuitleuontanclinanttuitle uoelent	---|-|---|--------|---|-|------|
tozlespremiersyyanza telu ie	--|--|-------|-|--||--|-⌫-|
biena faitm il	---||---|-⌫-|
celiersenchascu necontree	------|-|------⌫-|------|
deuinsles a	-|---|--||
amplizdebon echa rsalee	-----|-|---⌫|---⌫|----|
lesgrenierset les	--|-------|-|--|
g ra ngesd ontfugranzrenomee	-⌫--⌫---|-⌫--|-|----|------|
en ch ascunesagardea t r esbienc ommandee	-|--⌫-----|-|----||-⌫-⌫-|---|-⌫-------|
a rriereuaauroiatoutesamaisnee	-⌫-----|-|-|--||----|-|------|
qui dela gr antour ainneces	--|-|-|--⌫--|---⌫----|--|
yyanzfula ssee	-|--|-|--⌫---|
qantfu rentliyyan	---|--⌫---|-|-|-|
acompliet passez	------|-|-----|
la gentcom	-|---|--|
i lsoloientsi ont	-⌫|-------|-|--|
dont ret raientl es ya ues etli	---|---⌫-----|-⌫-|--⌫--|-|-|
airse stm uez	---|-⌫-|-⌫--|
signo r partoutesterresestuenuztelchierte z	-----⌫|--|-----|-----|--|----|--|-------⌫|
li blez est	-|---|--|
t oz fa illizherbe necroitemprez	-⌫-|--⌫----|----|-|----|-|---|
dontm uert pa rt outl aumaillepla in	---|-⌫---|--⌫|-⌫--||-------|---⌫-|
sifont porcetbrebizn	-|---|---|-|-----||
p arpou lepremieran	-⌫-|--|-|------|-|
nesonttuitaffraé	-|---|---|------|
ainzquepassast cel	------|------|--|
moltaffebloiant	---|----------|
acenze tami liers	|---|-⌫||--⌫----|
uonttuit lorpain querant	---|---|--|---|------|
uon t enterre qant pueent les	---⌫|-|----|---|-----|--|
r acinesmaniant	-⌫-----|------|
li richequiest oie ntuon t l e ble	-|----|--|---⌫---⌫-|---⌫|-⌫|--|
dema ndant	----⌫----|
puee ntpointtrouerdu el	----⌫-|----|-----|--⌫-|
e ndemai nne n t gra nt	-⌫|-----⌫---⌫-⌫|---⌫-|
donc mueren tliu ieil homeet	---|------⌫|-|-⌫---|---|-|
a pre slianfant	-⌫---⌫|-|-----|
lo rs uienen t tuitauroicild	--⌫-|------⌫|---|-|--|--||
egyptel agrant	-----|-⌫|----|
faraonrois puissa nzuo stregentsecorez	-----|---|------⌫-|--⌫---|---|------|
im orrons sepiti e n enauez	|-⌫-----|-|----⌫||-|---|
seme essontnozterr es nereuient	----⌫-|---|--|----⌫-|-|------|
pa sl iblez	--⌫|-⌫|---|
nos treauma i ll e	---⌫--|----⌫-⌫--⌫|
semu ertherb e	-|--⌫--|----⌫|
necroitempr ez	-|----|-|--⌫-|
s irede faimmoron st uitensom esanflez	-⌫--|-|---|-----⌫|-⌫--|-|---⌫-|-----|
l iroisqantu it la gentmolt tendrementplora	-⌫|---|---|-⌫-|-|---|---|---------|----|
illesuitto za nflez molt	-|--|--|--⌫|-⌫----|---|
sen ad olousa	|-|--⌫-----|
sachie z niot orgueilne	------⌫|||-|------|-|
pas nelormostra	--|-|--|-----|
ainzlordistem	---|--|---|-|
pl oran tmie nelor cela	--⌫----⌫|--|-|--|---|
signoriosep h me plaist	-----|-----⌫|-|-----|
sire estsi r esera	---|--|--⌫-⌫|---|
c haezli tui t as pi ezdeuosmerci	-⌫---|-|---⌫|-|--⌫-|-|--|----|
criezlituitmerci	----|-|---|----|
lemprandra	|-|------|
tuit lic riez	---|-|-⌫---|
me rcid esomble uos donra	--⌫--|-⌫|--|--|--|----|
tuit demandent ios ephetuontensa	---|--------|---⌫--|-|---|-|-|
aiés denosmercique	----|-|--|----|--|
nos neperis om	--|-|-----⌫-|
e n auezmercicerte stuit	-⌫|---|----|-----⌫|---|
pres t eno sd e	----⌫-⌫|--⌫|-⌫|
to mble moltbi en leter endr om	--⌫|--|---|--⌫-|-|-|-⌫----⌫-|
ado ntplora	---⌫-|----|
iosep hsilordist	-----⌫|-|--|---|
s a r ais on	-⌫|-⌫---⌫-|
uole n tiers b one gent nosuos empresterom	----⌫-⌫----|-⌫--|---|--|--|-|--------|
ilfaitbatrelesble z	-|---|----|--|---⌫|
partoute lacontree	--|----|-|------|
faitu aner moltbi enla	---|-⌫---|---|--⌫-|-|
paill e en estuolee	-----⌫|-|--|----|
ac ha scunsa mesureli uree	|-⌫--⌫---|-|-----|--⌫---|
dont il po rrapa r angouerner	---|-|--⌫--|--⌫|-|-------|
sam aisnee	-|-⌫-----|
c hascunsprant	-⌫------|----|
samesuresicom	-|-----|-|--|
li fu liuree	-|-|-----|
lapaille de	-|-----|-|
cel blet fu	--|---|-|
en lyaueg et ee	-||---|-⌫--⌫-|
lya uefuforzet r oidesifu	|--⌫-|-|---|-|-⌫---|-|-|
tostaua lee	---|---⌫--|
partrestouteslesterresfu la	--|---------|--|-----|-|-|
famineg ranz	-----|-⌫---|
mu erentui ei l etpe titetioeneet	--⌫----|--⌫--⌫|-|--⌫--|-|----|-|
fulafamineele	-|-|-----|--|
molt presfu	---|---|-|
afameziacobosesanfanz	-----|----||--|-----|
y yenau oitlis ires mo lt prexet	-⌫|-|--⌫--|-|-⌫---|--⌫-|---|-|
mol tuaillanz	---⌫|-------|
qantilne sotdontpaistremol te n	---|-|-|--|---|------|---⌫|-⌫|
deuintdolanz	-----|-----|
oretargent au oitseblet	-|-|-----|--⌫--|-|---|
poist trouer	----|-----|
mai sil n entroeuent	---⌫|-||-|-------|
tan tdonteust	---⌫|---|---|
pot aidier nelor aquedonner	--|-----|-|--||--|-----|
quel conseilprandrene quelpar td oie aler	---|------|------|-|---|---⌫|-⌫--|---|
deuapelasouentqueldaingnastrega rde r	--|----|-----|--||--------|----⌫---⌫|
lidonastpordou	-|-----|--|--|
siecle torner	-----|-----|
neueist sesanfanznemo r ir ne	-|----|--|-----|-|--⌫-⌫-|-|
a un iorliprodomenl	|-|--|-|-----|-||
iau regarda	--|------|
siui t p a illefloterm olts	-|--⌫|-⌫-⌫---|-----|-⌫--||
enesmer u illa	-|-----⌫-⌫---|
uintarriere n mais onses a n fanz	---|-----|-⌫|----⌫-|--|-⌫-⌫---|
enfant i e uio r pai lleqaual	-----|-⌫|-|-⌫|---⌫--||---|
parfo itnesaid ou	--|--⌫-|-|--||-|
uintnene saiou	---|-|-|--|-|
u eezseeleest	-⌫--|-|--|--|
l o ing qu errelacouendra	-⌫-⌫--|--⌫---|-|-------|
pr enons conseil liquex deuos ira	--⌫----|------|-|---|-|--|--|
apre stonsnostrenefce l o r	----⌫----|-----|--|-|-⌫-⌫|
ceme samblemoltbienpre nons oretar gent	-|-|-----|---|---|---⌫---|-|-|--⌫---|
ensambleonos sinaions durement	-------||--|-|-----|-------|
ladontla pail le uientla ableuoire ment	-|---|-|----⌫-|----|-||--|-----⌫---|
tuitiaillon soilet	---||------⌫|--|-|
ne sauonsen quel	-|-----|-|---|
terretrouerons le	----|--------|-|
ne laterre	-|-|----|
n e lagen t	-⌫|-|---⌫|
lianfantdant iacobontlornef	-|-----|---|----|--|--|--|
tantontnagie ́amontq ue	---|--|-----⌫|----|-⌫-|
l a mer ont	-⌫|--|--|
fubon sli uenztost l orent	-|---⌫|-|---|---||----|
tres passee	----⌫-----|
toziorzcontr e lapai l letantq	--|---|-----⌫|-|---⌫-⌫-|----|
egiteonttrouee	----|--|-----|
dontt rai entadroit portsont lornef	---|-⌫---⌫--||----|---||--|--|--|
pu is sen sontfors issus i	--⌫-||-|---|---|---|-⌫|
uontparla contree	---|--|-|------|
moltsefire nt	---|-|----⌫-|
l ieqantuirentlaplan te	-⌫-|---|-----|-|----⌫-|
p ain tro uer en t	-⌫--|---⌫---⌫--⌫|
auend resien o n tachaté	|----⌫-|-|-|-⌫-⌫|------|
liyyretor nerentalorne f son t	-|-|-----⌫-----||--|--⌫|---⌫|
uont auan tlero io ntdeman de ́	---|----⌫|-|--⌫|-⌫-|-----⌫--⌫|
ensaingne l or iosep hmo l tlo ntbelsa lué	--------|-⌫-|-----⌫|--⌫-⌫||-⌫-|--|--⌫---|
siresaus soiestu parfont	---|---|----|-|------|
l o n tancl iné	|-⌫-⌫|----⌫---|
iosep hlesresaluan esapasauisez	-----⌫|--|------||-||--|-----|
d o mestesuosanfant d un estrangeregne	-⌫-⌫|----|--|-----||-|-------|----|
deier usal e m somesbiau	-|---⌫----⌫-⌫|----|---|
s ire anos entent	-⌫--||--|-----|
lafa minei estgr anzsi	-|--⌫---||--|--⌫--|-|
i mueren t	|------⌫|
anuoiéo r auonsetar gent	------|-⌫|----|-|--⌫---|
siteprions	-|-|-----|
qu i m aint enoriant	--⌫|-⌫---|-|-----|
nospitieuen tnos	--|----|---⌫|--|
deto nfroment	-|--⌫|------|
qant parl er les oit res pondibonement	---|----⌫-|--|--|---⌫----|-------|
estesuoscompaingnonou uos	----|--|----------|-|--|
es tes par ant	--⌫--|---⌫--|
n o ssomesyyfrereu eriteu o s dir om	-⌫-⌫|----|-|----|-⌫----|-⌫-⌫|---⌫-|
le syyencest eterre l onzi meen	--⌫|-|-|----⌫|----||----⌫-|-|
comentanonu o z peresi acobl ape le	-----||--|-⌫-⌫|----|-⌫---||---⌫-|
uost reperesuit ilsirenosl espe r om	----⌫-|----|--|-|---|--||----⌫-⌫-|
eticilpeti zfrer escomme nt	-|---|----⌫|----⌫-|-----⌫-|
biausirebeniaminestuiex	---|---|-------|--|---|
maisioneshom	---|----|--|
etquequei st es ca	-|--|----⌫--⌫-|-|
blenosuos endonrom	--|--|--|-|-----|
o uso nt u ostre autref rerebiausireen	-⌫|--⌫-|-⌫----|----|-⌫---|---|---|-|
uol entiersles	---⌫------|--|
uerroiesireu osles	------|---|-⌫-|--|
fa i tes lestost uenirnul n en i	--⌫-⌫--|--|---|----|--||-||
sireauos trecon g ieisnelementalez	---||---⌫--|---⌫-⌫-|---------|---|
ne nlaissieznul arriere	|-⌫|-------|--|------|
seurementu enez	--------|-⌫---|
ap ortez bona r gentbonemesureaure z	--⌫----|--|-⌫-⌫---|---|-----|----⌫|
qantuos ir ezdeci	---|--|--⌫-|-|-|
i a nem en	-⌫|-||-|
dontcommence a plorerq antles uitretorn ez	---|-------||-----|-⌫--|--|--|------⌫-|
io se pconnutsesfreres moltbi en lesauisa	--⌫--⌫|-----|--|-----|---|--⌫-|--|----|
s ou in tlide somperemolt tenrement	-⌫--⌫--⌫|-|-|--|---|---|--------|
deuantlu i	-----|--⌫|
uoit ses freresmoltbienl es es garda	---|--|-----|---|---|-⌫-|--⌫----|
ilpristlor e tlargen tetl e ble	-|----||-|-⌫||-----⌫|-|-⌫|--|
lor li ura	--|--⌫--|
port ei len ontes neisla	----⌫-||-|--|-|---|-|
nuitl escorreca	---|-⌫-|------|
oretargentenlors asle	-|-|-----|-|--|-⌫-|-|
qantil oren tma ngi é l econgie	---|-|----⌫|--⌫---⌫-|-⌫|-----|
signorce distiosephuos endeue z aler	-----|-|---|-----|--|-|----⌫|---|
nesuimie liroi s	-|--|--|-|---⌫|
uosquie rceler	--|----⌫|----|
le r oide ces te terre uoilque sachiez	-|-⌫-|-|---⌫-|----|---|--|------|
il a nonfaraons	-||--|------|
formentsef ait douter	------|-|-⌫--|-----|
ie sui ses	-|--|--|
seneschaussaterrea i	---------|-|----|-⌫|
si uosuoilz z grant sens icidire	-|--|---|-⌫|----|---|--|---|
etmostre r	-|------⌫|
mer ci domequui u oetambler	---⌫-||--|---|-⌫--|-----|
le puetq uene lfaceanc roe r	-|---|-⌫-|-||---|---⌫---⌫|
pasporc euossa mblez b one	--|--|-⌫|--|--⌫----|-⌫--|
diex uosdoint bien ale r	---|--|----|---|---⌫|
e t d iex uos	-⌫|-⌫--|--|
doin tbon uent	----⌫|--|---|
naiése nmerneperil neto r men t	|----|-⌫|--|-|----|-|--⌫-⌫---⌫|
etcilont pris congiesisen	-|--|--|---|-----|-||-|
uo ntbonement	--⌫-|-------|
ne seuentmieleplait quile sate nt	-|-----|--|-|----|--|--⌫|---⌫-|
iosephapris sergenzapr esausanuo ia	-----||---|------|---⌫-|--|----⌫-|
deuoientfair e tresto ut lor ansa i n g na	-------|----⌫|------⌫-|--|----⌫-⌫-⌫-⌫-|
alezfaitilas s asga rd ezqu ed e dansa	---|---|-|-|-⌫-|--⌫--⌫-|--⌫|-⌫-⌫---||
seriensi pertliroisil	-|----||---|-|---|-|
secorrecera	-|--------|
larron suntet cillerr es qui	-----|---|-|--|----⌫-|--|
calesanuoia	-|--|-----|
bien retenu	---|-----|
ce qu illo r commenda	-|-|-|--⌫|-------|
asneisen son tuenupar tieensenantra	-|---|-|---⌫|---|---⌫--|--|-|----|
qantuiren t lesserg enzuenirissiarmez	---|-----⌫|--|----⌫--|----|---|----|
dant ioseph lorsontancontre alez	---|-----|--|---|-------|---|
signor quequerezuos ue oir u o lonsuoz	-----|--|-----|--|--⌫--|-⌫-⌫---|--|
neu olonsq uedounos trenu le	-|-⌫----|-⌫-|--|---⌫--|--⌫-|
ma ls eri onsb ail liett out	--⌫|-⌫---⌫--|-⌫---⌫-|-|-⌫--|
liporsdecestri ua ge sinosestcommand e z	-|---|-|---|--⌫--⌫-|-|--|--|-------⌫-⌫|
cedientlianfa nt	-|----|-|----⌫-|
de danzantrez	--⌫---|-----|
ri ens dou uostrepord eu si	--⌫--|--|-----|--|-⌫-|-|
l e prenez	-⌫|-----|
lisergentsonttantostde danzlane fantrez	-|------|---|------|--⌫---|-|--⌫|-----|
latroue rentlauoirqui d edansestoit	-|-----⌫---||----|--|-⌫----|-----|
lif reredant iosephfur entloié	-|-⌫---|---|-----|---⌫--|----|
puis lesontcomm an dezas homesdoupa is	---|--|--|----⌫--⌫--|-|----|--|--⌫-|
auseneschallesmainnent	-|--------|--|-------|
quesa emprison	-|-||-|-----|
iose phpri st y y serge nzs es as neistremis	----⌫-|---⌫-|-⌫|-----⌫-||-|-|---|-----|
ioseph de cel pais	-----|-|--|---|
aleshom esmandez	|--|---⌫-|-----|
doncfurentsi	---|-----|-|
yy frere deuantl ui amenez	-|----|-----|-⌫-|-----|
ases piezlichair entmerci	|--|---|-|-----⌫--|----|
li ont crié	-|--|----|
c ilq uila sontuenulesontmoltesgard e z	-⌫-|-⌫-|-|---|---|--|--|---|------⌫-⌫|
demandentqui i l sunt quilasunt	--------|--|-⌫|---|--|-|---|
larron sont	-----|---|
debienloi nzdu nestrangeregne	-|---|---⌫-||-⌫|-------|----|
ielespaiai	-|--|----|
molt bien qa nt	---|---|--⌫-|
nemeprisgardemontresormont	-|-|---|----|--|-----||--|
anuoiais esauonsretornez	------||-|----|-------|
ges recui uolentie rsetdo mien lor	|-|----|--------⌫-|-|-|---|--|
dem anderent tres to u tlorotriai	---⌫-------|----⌫--⌫-⌫|--|-----|
donailor amangieret bienlesdoctr inai	----|--||------|-|---|--|-----⌫---|
que sagem entalassentnesdieu enapelai	--|-----⌫--|-------|--|---|-|-----|
q adroitport	||----|---|
