multay usécum pechere	---|-|---|--|------|
purh oster de nusla felon ie	--|-⌫----|-|--|-|-----⌫-|
e leroildenospechi ez	|-|---|-|--|-----⌫-|
suffritquecloufichiez	------|--|----------|
futparmipiez e parmi main s	--|----|---||----|----⌫|
d eclous de fer hidus	-⌫|----|-|--|----|
icistpu r la ueireamist e	----|--⌫|-|----|-----⌫|
deihesucristfu tresp e r cié	-|----|----|-|-----⌫-⌫-⌫---|
de pilezdarz	-|----|---|
parmilam eule eles	----|-|-⌫---||--|
k etutsoncors d etutesparz	-⌫|--|--|---|-⌫|----|---|
de pilez gauelosed ar z	-|----|------||-⌫--⌫|
ertsi couertqueriennepiert	--|-|-----|--|---|-|----|
delcorsquidedenzenclosert	--|---|--|-----|-----|--|
ke t ut d e cir euereyment	-|-⌫-|-⌫|---⌫|--------|
f utdelaspres ce	-⌫-|--|------⌫-|
e deltorm ent	|--|----⌫--|
ehumblem ent lemartircrist	|-------⌫--|-|-----|----|
enla c onfessiunparm ist	-|-|-⌫--------|----⌫--|
e ald areinenpa ci ence	|-|-⌫----|-|--⌫--⌫---|
resceustla capital	-------|-|------|
quil outlatestecoupee	-|-|--|-|----|-----|
ebienl oinzdel co rsdeseu r é	|---|-⌫---|--|--⌫-|-----⌫-⌫-|
lecors issi detrenché	-|---|---|---------|
edep il e zsihericé	|-|-⌫--⌫-⌫|-|------|
leiss erent ilucsanzfable	-----⌫----|---|---|----|
les felun sministralsaldiable	--|-----⌫|---------|-|-----|
yngar lifelunl itir ant	----|-|----|-⌫|---⌫--|
leengreslaru nle su diuant	-|-----|----⌫|-|--⌫-----|
latestedelma rti r adportee	-|----|--|--⌫---⌫|-|-----|
eparmalisce siloinz get té	|--|------|-|----|---⌫--|
bien l oinzdel cors en un	---|-⌫---|--|---|-|-|
celeementtutcumlar u n	--------|--|--|---⌫-⌫|
en unruf fleiquees pesseesteit	-|-|---⌫---|--|--⌫----|-----|
quenulaueni rnipoeit	--|--|-----⌫|-|----|
en le boisdehaile sd un	-|-|---|-|-----⌫--⌫-|
kant sen alerentlifelun	---||-|------|-|----|
od lurgranthostd e la	-|--|----|---|-⌫|-|
latest euntp urceode seuree	-|----⌫|--|-⌫-|--|--⌫-----|
loinzdelc or squene ltroua ssent	----|--|-⌫--⌫|--|-||-----⌫----|
cristien sneal corslaiustassent	--------⌫|-|-|---|-|---------|
hones tese pulture	-----⌫-|--⌫------|
n e meissentparauen ture	-⌫|-------|--|----⌫---|
lechiefe le cors ensement	-|----||-|---|-------|
d ieu omnipotent	-⌫--|---------|
un homme de l c r istie ne lay	-|----|--⌫|-⌫-⌫-----⌫-|--|
e rtesch apéd el gran t	-⌫-|----⌫---|-⌫-|----⌫|
gra n toccisiun	---⌫-⌫|-------|
en le boisdehaile sdun	-|-|---|-|-----⌫---|
s e esteitpur	-⌫|-----|--|
lapou rmuscié	-|---⌫|------|
eenunruffle iseertfichié	|-|-|------⌫|-|--|------|
quidieusaueitfe t	--|----|----|--⌫|
e schape r	-⌫------⌫|
purce stegrantchosemust rer	--|--⌫--|----|----|----⌫--|
parsap urueance	--|-|-⌫-------|
uistiltrestuite la	---|-|--------|-|
ebiennot aen s o n aguait	|---|---⌫|-|-⌫-⌫|-----|
l e h iduselehoriblefe it	-⌫|-⌫---||-|------|--⌫-|
delsein tmartir de lrei e dmund	--|----⌫|-----|--⌫|--|-⌫----|
quanque lesfeluns feit liu nt	------|--|-----|---|-|-⌫-|
lesg r anzpeyneselet orment	--|-⌫-⌫--|-----||-|-⌫-----|
t restu t le uist apertement	-⌫-----⌫|-|---|---------|
chief pu isquil le coup er ent	----|--⌫---|-|-|----⌫--⌫--|
nesoutcumloinzle portere nt	-|---|--|----|-|-------⌫-|
meis tantuistb ienqueportél unt	---|---|---|-⌫--|--|-----||--|
lesmur drersenze n lebois parfu nt	--|---⌫----|--|-⌫|-|---|-----⌫-|
e pu isapres quan t	|--⌫-|----|----⌫|
fuas egliseseren due	-|-|------||---⌫--|
eles cristiens sele uerent	|--|--------|-|--⌫-----|
de plusursliusoumu sciez	-|------|---|-|--⌫----|
grant ire enunte gr antdo lur	----|--|-|--||--⌫--|--⌫--|
delam orte lurtrescher	-|-|-⌫---|--|---|---|
ente nt iuement demandé	----⌫--⌫------|-------|
e n unt entreels l a ueri te	-⌫|--|----|--|-⌫|----⌫-|
delcorsedel	--|---||--|
chie fe nseme nt	----⌫|-⌫-----⌫-|
delursegnur du ntsuntdolent	-|--|-----|--⌫-|---|-----|
cumil lesp urrunt assemb ler	--|-|--|-⌫-----|------⌫--|
karagra nt hon ur entere r	--||---⌫-|---⌫-|------⌫|
leuold re ie n ta	-|----⌫--⌫--⌫-⌫||
multlede sirerentaaueir	---|-|--⌫-------||----|
k antalezfurentle sfrarins	-⌫--|---|-----|--⌫|------|
lesfe luns	--|--⌫---|
murdre rssarazi ns	------⌫-|------⌫-|
enlu r pai sou	-|--⌫|---⌫|-|
i l ainz furent	-⌫|---|-----|
kantu e rsenglet eresesmu re nt	---|-⌫-⌫-|------⌫--||----⌫--⌫-|
elescristiens reuenuz	|--|--------|------|
suntquiesteien tespand uz	---|--|-------⌫|------⌫-|
fuize muscieze repost	---||------||-----|
pur y ngareso n	--|-⌫---||--⌫|
g ranthost	-⌫---|---|
kantil s esu ntaseuré	---|-|-⌫|--⌫-|------|
ensemble sesuntasemblé	-------|-|---|-------|
lec orse lechief	-|-⌫--||-|----|
de lurs egnur	-|--|-⌫----|
dunt lur est grief	---|--|--|----|
il auierent	-|-------|
ententiuement	------------|
e si*trou erenterr antmen t	|-------⌫----|---⌫------⌫|
euire ntlecorsd el	|----⌫-|-|---|-⌫-|
sanz te ste	---|--⌫--|
al a t ere	|-⌫|-⌫--|
liulunttroué	--||--|-----|
rey fudecolee	--|-|------|
ouson cursaueitacumpli	-|--|---|----|------|
tut uenculenemi	--|----||----|
c e ls d entu r qui	-⌫-⌫-||----⌫|--|
fuiz esteient	---|-------|
emercidieu uncoreu iueient	|----|---|-----|-⌫------|
detutesparz i a u nere nt	-|----|---||-⌫-⌫----⌫-|
e corurent easemblerent	|-------||----------|
purlaremembranceel amur	--|-|----------|||---|
del s eint reidel ur	--|-⌫---|--|-|-⌫-|
epurlapiti ede	|--|-|----⌫|-|
bi ensqu illesoutf a iz	--⌫--|-|-|--|--|-⌫-⌫-|
comencerent tuzaplurer	----------|--||-----|
emul t grantdoelademener	|---⌫|----|---||------|
kantilnenuntlec hief	---|-|--|--|-|-⌫---|
od lecorsmult	-|-|---|---|
mul tpa r ensunttristes e	---⌫|--⌫|-|---|------||
meisdampn edieus omnipotent	---|-----⌫-----|---------|
parsahalte benignite	--|-|----|--------|
l esadto stenquoers espiré	-⌫-|-|--⌫-|-|-----|------|
quilace lidemanderei ent	-|-||--⌫-|----------⌫--|
emult ui uement r equer eient	|---|--⌫-----|-⌫-----⌫----|
k el boisfu muscié enla guait	|-|---|-|------|-|-|----|
euisttut l eouree	|---|--|-⌫|---||
demandélunteenquis	-------||--||-----|
e illesd ist	|-|--|-⌫--|
tuts onau is	--|-⌫-|--⌫-|
demot enmottrestutles	-|--|-|--|------|--|
ceo quilseust	--|-|-|----|
editbie nquil	|--|---⌫|-|-|
uitsaieter	--|------|
lese in tmartir	-|--⌫--⌫|-----|
e p uiscouper	|-⌫--|-----|
la te ste ecelsqui la colp erent	-|--⌫--||---|--|-|----⌫----|
o uekes elsel	-⌫----|--|-|
boislaporterent	---|-|--------|
bienuitque els issid epar tiren t	---|--|--|--|---|-⌫----⌫-----⌫|
mei sde lch iefnesoutqui l	---⌫|--⌫|--⌫--|-|---|-|-⌫|
ebien suchaenson co rage	|---|----|-|--|--⌫---|
chief remi st	----|----⌫-|
el bo scage	-|--⌫----|
la gentalseintquan tceooyrent	-|---|-|----|----⌫|--|-----|
parleboisse depart i ren t	--|-|---|-|------⌫-⌫---⌫|
o dlur m aisneeod	-⌫|--|-⌫-----|-|
odcornespu r que re	-|-----|--⌫|---⌫-|
lechiefdel	-|----|--|
siaueiententrelspurparlé	-|------|---|--|--------|
ke cil qu ieustle	-|--|--⌫|---|-|
chief troué	----|-----|
h al tements oncorneco rnerei t	-⌫--⌫-----|-⌫-|----|--⌫------⌫|
elesa ut re sapelereit	|--|-⌫--⌫--⌫|--------|
e sisucherent bien purueir	|-|--------|---|--|---|
celsq uierentpurle	---|-⌫-|----|--|-|
chiefcerchir	----|------|
keli sa r azinsudduiant	-|-|--⌫-⌫---|--------|
lurfolesiwtecultiu ant	--|---|----|------⌫--|
enuieaue ientde	-|--|---⌫---|-|
de la crea ncee delafay	-|-|----⌫--||-|-|--|
purceo aueient lechie f deseu ré	--|--|------|-|----⌫|-----⌫--|
loinz delcors enbois	----|--|---|-|---|
emuscie ́ en ac unriff lei	|------⌫|-|--⌫-|----⌫--|
en buisunouen	-|-----|-|-|
gen es te i	---⌫--⌫--⌫|
ourepos télaseinte test e	-|-----⌫--|-|-----|----⌫|
aueien tsu z	------⌫|--⌫|
al cu neuilebleste	--⌫--⌫-|---|-----|
ou gettépurdeuorer	-|-----|--|------|
ou afarainou	-||-----|-|
asen gli er	|---⌫---⌫-|
kecris tiensnelatrouassent	-|----⌫----|-|-|---------|
s eintcorslasemblasent	-⌫---|---||----------|
nea ceof eisentent erement	-||--|-⌫-----|---⌫------|
odgrant honurdeuoutem e nt	-|----|----|--------⌫-⌫-|
lescristiensla boneg ent	--|--------|-|---|-⌫--|
funtlurprimier	---|--|------|
purposement	----------|
parlas elue	--|-|-⌫---|
uuntmaint enan t	---|-----⌫----⌫|
amuntauallechie fquerant	----|---|-|----⌫|------|
delseinti m martiredmund	--|------⌫|-----|-----|
queren t aual que re ntamun t	------⌫|---|---⌫--⌫-|----⌫|
querent enbui s uneenbro il	------|-|---⌫-⌫-||-|---⌫-|
de desuzbranchesedesuz f oil	-|----|-------||----|-⌫--|
e nespeissee desuzpl aissi e	-⌫|-------||----|--⌫-----⌫|
par tutu ntquispar t u t cerchi é	--|--|-⌫-|---|--|-⌫-⌫|------⌫-|
un espesseespinei	-|------|------|
tu t encl osdun	--⌫|----⌫-||-|
g ra nt runcei	-⌫--⌫-|-----|
oyerentuneuoice lointeyn e	------|--|----|--------⌫|
meisnesteit myemult halteyne	---||-----|--|---|-------|
oyezmiracle egrant uertu	---|------||----|----|
enle seclet eloyne f u	-|-|----|-⌫-|-|-|-⌫|
lechiefdelcors bienloinz seure ́	-|----|--|---|---|----|-----⌫|
gettauoice	----|----|
si ad parlé	-|-|-----|
s anzaiee san zmate re	-⌫--|--||---⌫|----⌫-|
deueine ou dene rfoud art ere	-|----|-|-|--⌫-|-||---⌫--|
lesquereurs q uant	--|-------|-⌫---|
ceooyerent	--|------|
enquerant cele part etendir ent	-|------|---|----⌫|------⌫--|
pasdeu ant pasp ar	--|---⌫--|--|-⌫-|
tut querant	--|------|
etut enturen halt cr ia nt	|--|----|-|---|--⌫--⌫-|
ou esttunch iefmartir se intrei	-|--|--|--⌫--|-----|--⌫--|--|
la p lusprincipalepartedet ey	-|-⌫--|---------|----|-|-⌫-|
ouestouest	-|--|-|--|
martiredmund	-----|-----|
lalangueelchiefdi terespound	-|-----|-|----|--⌫||-------|
partreisfeiz	--|----|---|
unc ce o ne finade crier	--|--⌫|-|---|-|----|
sulu m lal angua gease ngleis	----⌫|-|-⌫-----⌫-|-|-⌫-----|
c eoes t adire	-⌫-|--⌫||---|
enfranceis	-|-------|
iciic iic iceodi t	--|--⌫|--⌫|--|--⌫|
issiest not éeescrit	---|--|---⌫-||-----|
tuzaceste u oicetre iz sesun t	--||----|-⌫---|---⌫-|-|---⌫|
enu ir un puiske	---⌫--⌫-|-----|
lalanguemortefiertetuch e	-|-----|----|----||----⌫|
asdenzdesuzaouertebouche	-|---|----||-----|-----|
esi oe sde	-|-⌫--⌫|-|
lamo rteteste	-|--⌫--|----|
elep alaisdesus sar este	|-|-⌫----|----||--⌫---|
unkesmira c lep lu su erais	----|----⌫-⌫-|-⌫--⌫|-⌫----|
decest nefu tne ert i amais	-|---|-|--⌫|-|--|-⌫----|
asnebalaan	---|-----|
ki parlaenliu	-|----|-|--|
pur l afolie delprophete	--|-⌫|----|--|-------|
quie nceon ertpasdiscrete	--|-⌫|--||--|--|-------|
cestmiracle	---|------|
ces t fa isance	---⌫|--⌫-----|
otreadi eus	----|--⌫--|
e sa puissa nce	|-|------⌫--|
quiuiteregneomni pote nt	--|--||----|----⌫----⌫-|
e pa rdurablement	|--⌫-----------|
a s ontrespreciusami	|-⌫-|---|------|--|
martiredeserui	------|------|
e parturm ent	|--|----⌫--|
e parpeyn e	|--|----⌫|
la dulcegloiresouereyne	-|----|-----|--------|
liformeurdetut le	-|------|-|--|-|
leprecius mart iredmu n d	-|------|----⌫-|----⌫-⌫|
de unautremiracleenbel i	-|-|----|------|-----⌫|
forscelunctelne	---|--|--|--|-|
la gentkisifeytement uirent	-|---|-|-|--------|-----|
la tes te parlereoierent	-|---⌫-|-----||------|
aparceurent delezla teste	----------|----|-|----|
une grant l ou une ferebeste	--|----|-⌫-|--|---|----|
kioutmis am ede usses powes	-|--|--|--⌫---⌫-|--|----|
dede u s parz	-|--⌫-⌫|---|
lec hieflez lesiowes	-|-⌫---|--|--|----|
issioutle chi efenbraci é	---|--|-|---⌫-|-------⌫-|
quesongroinaueit apou é	--|--|----|----|----⌫-|
fr unt maislaf aceape rte	--⌫--|---|-|-⌫--|---⌫--|
outelabouched escouerte	--||-|-----|-⌫--------|
dun tla l angueuncore mouei t	---⌫|-|-⌫----|-----|-----⌫|
c illoual a tere seiust	-⌫-|--||-⌫|---|-|---|
tute npes keunke snesemust	--|-⌫|--|-|----⌫|-|-|---|
e a te reseschambes	||--⌫-|--|------|
chiefduntgardei n esteit	----|---|------⌫|-----|
s isepeynadelchiefgard er	-⌫|-|----|--|----|----⌫-|
ke unkesnelleissaadeser	-|----|-||-----|-----|
neaautrerien	-||----|---|
mult par legard a liloubie n	---|--|-|----⌫|-|--|---⌫|
sasalu ag esceuereyment	-|----⌫--⌫---|--------|
s ara geeson deuoer ement	-⌫|--⌫-||--|------⌫----|
d eltutent utesteit	-⌫-|--|-|-⌫-|-----|
kea rienfors a l	-||---|---|-⌫|
chiefneentendeit	----|-|--------|
ce lsquiuire ntesbai sunt	--⌫-|--|----⌫-|----|---|
c ornesebu sinescornéun t	-⌫----||--⌫----|-----|--⌫|
detutespa rz i acururen t	-|----|--⌫-||--------⌫|
tuzcelsquientrelebo is	--|---|--|----|-|--⌫-|
celmerueileuirent	--|-------|-----|
d egr antm aniere sees baier ent	-⌫|--⌫--|-⌫-----|-|--⌫-----⌫--|
kan tlagenterttu te a sembl ee	---⌫|-|---|--|--⌫-|-⌫-----⌫-|
e lemerueileunt esguardee	|-|-------|--|--------|
lespesruncereid eslaci erent	|----|-------|-⌫------⌫----|
e uers lesei nt chief	|---|-|---⌫-|----|
seapro chi erent	-|----⌫---⌫----|
tostseleual a beste fi e r e	---|-|---|-⌫|----|--⌫-⌫-⌫|
quantceo uitsi	----|--|--|-|
setre i stariere	-|---⌫-⌫-|-----|
ece lsod grant deuociun	|--⌫-|-|----|-------|
odchanteodprocessiun	-|----||-|---------|
t estequiltrouerent	-⌫---|-|-|--------|
ason se int imcorsporterent	|--|--⌫---⌫-|---|--------|
el ilouenpres elsueneit	|-⌫|--|-----|--|-----|
p asd euantpaspre s less iweit	-⌫-|-⌫----|--|---⌫|--|-⌫----|
t rist ee dolentensa guise	-⌫----⌫||-----|-|-|----|
quiluntdelilateste	-|-|--|-|-|-|----|
dunti lesteit	---|-⌫|-----|
m estreegardein	-⌫----||------|
lafierebestelifarein	-|----|----|-|-----|
lessiutapresbon aleure	--|---|----|--|-----|
d esk e all iudel asepul ture	-⌫---⌫|-|-⌫-|-|-⌫|-----⌫---|
qu ilunkeshommene	-|-|----|----|-|
nenel a i din e	-|-|-⌫-⌫-⌫-|-⌫|
meissimplementcumunaigniel	---|---------|--|-|------|
pres desqula	---|----|-|
outgr a nt piece e sté	--|--⌫-⌫-|----|-⌫---|
e ens aguisedoluse ́	|-|-⌫|----|------⌫|
enua itmaintena nt	-|--⌫-|--------⌫-|
dreital boisou ilfustdeu ant	----|-|---|-|-|---|---⌫--|
multsemeruei lerentla gent	---|-|------⌫-----|-|---|
dellouedelco nt ene ment	--|--||--|--⌫--⌫---⌫---|
ueientqueceo ert	-----|--|--|--|
ladieu uertu	-|---|----|
keu nkemesne a ueie nt u eu	-|-⌫--|--|-|-⌫----⌫-|-⌫-|
nulsi fier louen luruiuant	--|-|---|--|-|--|-----|
fort esigrant	---||-|----|
lala yegente la clergie	-|--⌫-|---||-|------|
qu i aueientquisepurch acé	--⌫|------|---||-----⌫---|
celet res c h eremargarite	---|-⌫--|-⌫-⌫--|--------|
preciuse enteree par fite	-------|-----||---⌫---|
cel tre sorc el gran t honour	--|---⌫--|-⌫-|----⌫|-----|
leseintcors de l	-|----|---|--⌫|
cher segnour	---|------|
pargrant entent e grantq uintise	--|----|-----||----|-⌫------|
eparlasent deseinte eglise	|--||----|-|-----|-----|
lasei ntetes tea mielzquil	-|---⌫--|---⌫-||----|-|-|
ealplusbel q uil unkeporent	|-|---|--|-⌫|-|---|-----|
als eintim corsiusterent	-|-⌫-----|---|--------|
edeuoteme ntaturner ent	|--------⌫-|-------⌫--|
e lacharelapel dehors	|-|---||-|--|-----|
del cols i uins t sife rmealcors	--|--|-⌫|----⌫|-|--⌫--|-|---|
cu mi lfuainzqua n tiluif fu	--⌫|-⌫|-|---|---⌫-⌫|-|--|-|
ceo fumirac lee gr antuertu	--|-|-----⌫-||--⌫--|----|
e puis apres lens euelirent	|---|----||---⌫--------|
esur sa tumbeferefirent	|--|-|----|---|-----|
unel oge un echapelette	--|-⌫--|--⌫|---------|
grant meis petitete	----|---|-------|
ou li seint	-|-|----|
reide dieu	--|-|---|
iustma intanpuisenteré	---|--⌫--|-|---|------|
a ce lefez neporentplusfe re	|--⌫-|--|-|-----|---|--⌫-|
p ourdelauersiere	-⌫--|--|--------|
yngar du n t s untes po ur ez	----|--⌫-⌫|-⌫--|--⌫--⌫--⌫-|
q uimu lt souentlesout	-⌫-|--⌫-|-----|--|--|
e puisquant lapesu intentere	|---|----|-|--|-⌫--|-|---|
e aquaise ́fulagra ntgu ere	|-------⌫|-|-|---⌫-|--⌫--|
ela tempeste fu remise	|-|-------|-|-----|
e pesreui ntaseinteeglise	|--|----⌫-||-----|-----|
e poepleq uiespandu	|-----|-⌫-|------|
e partutesparplié	|--|--|---------|
reui ndre nt apossessiuns	----⌫----⌫-||----------|
tereseasmansi uns	----||-|-----⌫--|
eilfuren t aseuré	|-|-----⌫|------|
d unc se sunt	-⌫--|-|---|
entrels purpensé	---|--|--------|
del corsseint delmartir	--|---|----|--|-----|
quetroplogmentsufertlunt	--|---|------|-----||--|
e trop longme ntluntleisié	|---|------⌫-||--|------|
gis ir suzsi poure fie	---⌫-|--|-|----|--|
poureme isonett e	----|--⌫-------⌫|
siestreite	-|-------|
sipetitete	-|-------|
e reer enuolentpar	-⌫---|-|-----|--|
etutautreconseil aueir	|--|----|------|----|
licorsei ntencelp oureho st el	-|------⌫-|-|--|-⌫---|--⌫--⌫-|
espirit el	-------⌫-|
ki dela maindieu beneit f u	-|-|-|---|---|-----|-⌫|
out maint anente re	--|----|-|-|--⌫-|
ekipur lamur ih es uc rist	|-|--||---|--⌫--⌫|-⌫---|
en cell iu	-|--|-⌫-|
maintmiracle	----|------|
emainteu ertu	|-----|-⌫---|
mult souent	---|-----|
uean tl epoep leela g ent	----⌫|-⌫|----⌫-||-|-⌫--|
cumd e auouglesalum er	--|-⌫|-------|----⌫-|
e demeuzrendrel epar ler	|-|---|-----|-⌫|---⌫--|
ecuml essou rzfereoyer	|--|-⌫-|---⌫-|---|---|
edeue zenlur	|----⌫|-|--|
sensuene r	---|----⌫|
contrezrendrele	------|-----|-|
e cumlangurussaner	|--|-------|----|
d etutesparzia cururent	-⌫|----|---||-⌫-------|
le s bone genz queenturfurent	--⌫|---|---|--|----|-----|
mu ltpariaueitgrantrepaire	--⌫-|--||----|----|------|
de gr ant ge nta	-|--⌫--|--⌫-||
ite la fair e	---⌫|-⌫----⌫|
larascaileelapou regent	-|-------||-|---⌫-|---|
n iuin dre ntmy esouenerement	||---⌫---⌫-|--⌫|-----------|
meislesp lus ric hesd elpais	---|--|-⌫--|---⌫--|-⌫-|---|
e quipluserentpoestis	|--|---|----|------|
cu m euesquesecumabez	--⌫|-------||--|---|
ecum plusur s ordenez	|--|------⌫|------|
cuntes b ar uns	-----|-⌫--⌫--|
echiualers	|--------|
ebacheliersee squiers	|---------||-⌫------|
citeein sburgeise	-------⌫|------||
ric he s pou ers petize granz	---⌫--⌫|---⌫--|----||----|
