XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
garir Ilregar da Aio lquant il	----|-|-----⌫-|---⌫|----|-|
ui t T rés bienle r econnust	--⌫|-⌫---|---|-|-⌫-------|
escubisE nl aruiste	---|--|-⌫|-⌫|-----|
bataillea scosferirDameldéfait	-------|-⌫|--|----|-------|---|
ilperequi nementi	-|---|--|-|----|
I aest chou liuallè sa lbai ronci	-⌫|--|---|-|------⌫|-⌫|--|----|
homesmo rset	----|--⌫-|-|
ochisDieus donésm e nuegance	----|----|-----||-⌫|------|
plaisirCertesiel iuaurai	------|-----|-|-⌫|-----|
gr antcoup fer ir. uersA iol	--⌫--|---|---⌫--|---|-⌫--|
senretornetou saatisE tAiol[s]contre lu im olt	|-|------|---⌫|----|-⌫|------|-----|--⌫|-⌫--|
reui nt.Anbe dois entre fier ent par grantai r .Oren pen st	----⌫--|----⌫--||-----⌫----⌫--|--|----|--⌫-⌫|-|-|---⌫-|
Damelde[x]quinementiDes.ii.c ousins	---------|--|-|----|--|---|-⌫-----|
germains par	-------|--|
plaisi rQueliun[s] ne li	------⌫|--|-|----|-|-|
soit ochis	---|----|
Meruelleuscossedonent al pa ruenirQue	---------|--|-|-----|-|--⌫-----|--|
l es escusdes cos	-⌫-|----|--|--|
en fontpart ir	-|---|----⌫-|
Li quensbri se s a lanchen a p lusc onqu i s	-|----|---⌫-|-⌫|-----|||-⌫--|-⌫----⌫-⌫|
Mai s la u ieleenfumeen epeut	---⌫|-|-⌫---|------|-⌫|---|
Carilnauoitplus	--|-||----|---|
forteennul pais.Aio lsl enpoint	----|-|--|----|---⌫-||------|
parfo rch eq ui bie nseti(e)nt	--|--⌫---⌫|-⌫-|---⌫|-|------|
m almis Etlaub er cd eso n dos	-⌫----|-||---⌫--⌫|-⌫|--⌫|--|
lide sro npiDeioutel e	-|--⌫---⌫--|-|----|-⌫|
c ost é le spielli mist.Molt	-⌫---⌫-||-⌫----|-|----|---|
fugrans a uenturequ encar nel	-|----|-⌫------|-|-|--|--|
pri stAlgrant	---⌫-|-|----|
u asalquibienferiA l esf ors	-⌫---|--|---|---|||---⌫--|
del destrierq uitos t liuint Et	--|-------|-⌫-|---⌫|-|---|-|
alf ortcheualier	-|-⌫--|--------|
enpoint siLepoitral	------|-|-|------|
dedeuantli desronpi	-|-----|-|-------|
çaingle sdesron pent touta utressiL e	--------⌫|------⌫---|---|-⌫------|-⌫|
da[ e]rainar chona fait	---⌫-----|--⌫---||---|
cro isir Etandeusl es	---⌫---|-|-----|-⌫-|
e striersliamalmisQued elcorant	-⌫------|-||--|--|--|-⌫-|-----|
destr ier iuslabatiLiquens iut a	-----⌫--|--||----|-|----|--||
lateretrestous	-|---|-------|
souin[s] Delgrant coupqu oteufu estordi[s]	-------|--|----|---|-|-|-|-|---------|
enmeruilliéssil fu ma ri s.Aiolsa trai tl	-|----------||-|-|--⌫--⌫-|----||----⌫||
espee sila	----|-|||
requisAmont parmi le ci efl ala	-----|----|--|-|-|--⌫-||--|
ferirQue lesflours	----|--|--|-----|
etles pieres	-|--|-----|
enabati.Sil	-|-----||-|
fe ristautre c oupdelbranc	--⌫---|----|-⌫--|--|----|
forbiIa lieust delbule	----|-|-|---|--|-|-|
c iefpartiQuant	-⌫--|----|----|
li e scrieFranshommerchiIa te re nc ioum	-|-⌫----|----|--|-----|-|-|--⌫-|--||
espeeq ue ie	----|-⌫-|-|
Mais garde queni	---|----|--|||
m uire seDext ait. -	-⌫---|-|--||---||
saiqu eu ous ferés	--|--⌫|-⌫--|-----|
AiolsaditCar	----||--|--|
ieuos renderai roi	-|--|-------|--|
LoeysLenpereordeFranche deSaint	----||-------|-|------|-|----|
Den is. uo us li	---⌫--|--⌫-|-|
auésgasté	----|-----|
tout so npai sOr referadeu ostout	---|--⌫|---⌫|-|-----|-|-⌫-|---|
sonpla isir	--|---⌫---|
Siquelueront li gra nte tlipetit.P arle	-|---|-----|-|---⌫-|-⌫|-|-----|-⌫-|-|
nasal de l	----|-||
sa isirSeldeliur eGerarte t Ama uriHugon	--⌫---|--|------⌫|-----|-⌫|---⌫--|----|
Neue lon et	----⌫--|-|
Ahenri C ilso ntdelamaisniealroi	-----|-⌫-|--⌫-|-|-|------|-|--|
Signorgardésle nous Aiol[s]aditSien	-----|------|-|---|------||--|-|-|
roistoutsonpla isir.Etcilont	---|---|--|---⌫----|-|--|--|
r epon dusiferont il.	-⌫----⌫-|-|-----|--|
E l aschedistli quens	|-⌫-|--|---|-|----|
com suitraisEliesbiausdous	--|--|----|----|----|---|
onclesies ui hon is . Atortfuste s	-----|-|-⌫-|---⌫--⌫||---|-----⌫|
cac hie ́sdeces pais	---⌫---⌫-|-|--|---|
Siuou sdesiretaroi[s] Loeys.	-|---⌫|-------|-----|-----|
Ie su ifieus	-|--⌫|----|
uose rorse Dex	-|--⌫--|-|--|
maitDame Marsentla beleolecle r	|--|---|------|-|---||-|---⌫|
uis. Si[ne]	---|-|---|
peuc cel ho nt age nientsoufrirAinsmand a mes	---|--|--⌫--⌫--|----|------|---|----⌫|--|
pare nsetmes	----⌫-|-|--|
amis Lessaudoiers	---|--|--------|
deFranche q uepoc q ueli r S ilor	-|------|-⌫-|--|-⌫----⌫|-⌫|--|
fismest resorsto us	--|--|-⌫-----|--⌫-|
depar tir Si aati d eguerer oiL oeys	-----⌫--|-|---|-⌫|----|-⌫-|-⌫---|
Plusdemilde seshomesaipui soc his Ne	---|-|--|-|--|----|-|---⌫|--⌫--|-|
lifausistla	-|------|-|
guerretan t comfu stuisMais	-----|---⌫|--|--⌫-|--|---|
o reestaf inee quant ie	-⌫-|--|--⌫---|----|-|
pris.Biensa ique	----|---|--⌫|--|
se li rois mepeutteni r	-|-|---|-|---|----⌫|
raen chonn en puisuenir	----⌫---||-|---|----|
Qu eneme fach ependreum al	--⌫|-|-|----⌫|-----||-⌫-|
baillir.Aio lslifiexElie tout	-------|---⌫-|-|---|---|---|
chouoi Car	---|-|--|
e stoit delu is ilentend iTrest ou t lisans	-⌫----|-|--⌫|-⌫||------⌫|-----⌫--⌫|-|---|
delco rs li est	--|--⌫-|-|--|
fremis.Damelde ́sire pereA iol [s] aditQuisi	------|-------⌫|---|---|-⌫---⌫--||--|--|-|
faite auentur e on quesmaisuitBien	----|-------⌫|--⌫---|---|--|---|
uoique cis honsest	--|--|--|---|--|
linSe ilalepa roleneneme ntiFiex	--|-|-||-|--⌫---|-|-|--⌫--|---|
Marsent( Marsent)m a[n]tainbienl	------|-⌫-------||-------|---||
a ioiE lef u seurm on	-⌫|-|-⌫-|-⌫|---|-⌫-|
pereielsaidefi.Ci sfrans quensde boin	---|--|--|-|--|--⌫|----|----|-|---|
aireque ieuoi	---|--|-|--|
ch iPormoiague roietroiLoeyEtcesterui ste	--⌫|--|--||---⌫----|--|---|-|----|---⌫--|
f ait pormi. Malg ueredonlenaichem	-⌫--|--|--|--|-⌫------||-|-|--||
estauis Al	--|---|-|
da[e]rainren du quant i el	--------|---⌫-|----|-⌫||
aip ris Maisienel conn i soiese	-|-⌫--|---|-|--|----⌫-⌫---|-|
Di eu s m ait.	--⌫--⌫||---|
Dexd o ne men t	--|-⌫-⌫-||--⌫|
consel partonplaisir	-----|--|--|------|
Carse iel e	--|-|-|-⌫|
retien gmalest	------⌫|--|--|
Et siiellaisse aleri	-|-|--|-----|---||
ere e ntreprisCarchedira	--|-⌫-------|--|--|---|
l iroisdeSaint Denis Queiauroiedel	-⌫|---|-|----|----|--||-----|--|
c ontegrant loier	-⌫---|----|----|
tr aison seroie retéstoudis.Ie	--⌫----|-----|-----|------|-|
ne uoi l mon	-|---⌫|--|
corage nient	-----|----|
ie hirT ant carai f a itbataille etc ontes pris	--⌫--|-⌫--||---|-⌫-⌫-|-------|-|-⌫----|---|
Etcenbiaus m aintenus etenuais. Tou teuois	-|-------|-⌫-------|-|------|---⌫-----|
li ertrendu sn	|-⌫--|-----⌫||
enpeutgarirMaisg	-|---|----|---||
i aur aianc ̧oi sboin	|---⌫-|---⌫---⌫|---|
conuent pris	------|---|
Quen pr endra	-|-|--⌫----|
r aench ondeboinor	-⌫-----⌫-|-|---|-|
finCheuauset	--|------|-|
palefroi sd e strier[s] depris Et sea lacordanchene	--------⌫|-⌫-⌫--------|-|---|-|-|||---------|-|
uenirToutatantli poraimal	----|---|----|-|----|--|
plai t bastir.Par ic el	----⌫|------|--|--⌫-|
saint sig nor	----|---⌫--|
qui lemont	--|-|---|
fistA insqueliquen sis oit m ors	---|-⌫--|--|-|----⌫||-⌫--|-⌫--|
etochisIf e raiioum il cosdel	-|----||-⌫-⌫--|--|-⌫-|--|--|
brancforbiCar	----|----|--|
cousingermainne puis	-----|------|-|---|
faillir. LXXXIuAiols otprisle	-------|-----|----|-|---|-|
conte paruig orSel deli ura Gerart.i.	----|--|---⌫-|--|----⌫--|-----|--|
ua uas orEt	--⌫---⌫-|-|
Gautieret HugonetNeuelon.Signorchedist Aiol[ s]	------|-|----|-|-------|-----|--|---|-----⌫-|
g ardéslenous Girai	-⌫-----|-|---||---|
en la bataillet outaestrous	-|-|-------|-⌫--||------|
ipuisconquerresi(i)	|---|--------|||--|
a rés prous. Ilg arda en	-⌫---|-----|-|-⌫---|-|
lapresse seloncl	-|-----|-----||
coisiLoeys	----|----|
len pere our	|--⌫----⌫--|
Cuida aschieresarmesqu ilf ustdes	----|-|------|----|-|-|-⌫--|--|
lorEncor(e)	--|-------|
co n noist lancenegonfanonNesetquiest Flamens	--⌫-⌫----|----|-|-------|-|--|--|--|------|
Brabenc ̧onNeki est Poit euins	-------⌫--|-|-|--|----⌫----|
nequiGascon M ai sa s	-|--|-----|-⌫--⌫|-⌫|
plus belesarme s	---|----|----⌫|
se p rent le	-|-⌫---|-|
i or Lau uoi tlesplusriches et	-⌫-|-||---⌫|--|---|-----|-|
les millorsEsper oneses co rs	--|------|-----⌫--|--|--⌫-|
a[s]belissor[s ] N a	---|----------⌫|||
cu re deioust erasnoelor[s]. Belementui(n)t	--⌫-|-|-----⌫-|-|---------|-------|-----|
armé (s)( sor) l	-----⌫--|-⌫---||
Il brocheMarcheg aisore	-|-----|-------⌫-|---|
li cortEtuait fer ir so nonc le	-|---|-|---|---⌫-|--⌫|---⌫-|
pargrantuigorQu edelesculitren c hel e	--|----|----|--⌫|-||---|-|----⌫-⌫-|-⌫|
ma istreflour	--⌫----|----|
la batideua nt austousLi aub erclegari	|-⌫---|----⌫-|--|---|-|---⌫--|-|---|
mortleior.Il	---|-|---|-|
at raite lespee	|-⌫----||----|
sorelico urt Lo e ys	---|-|--⌫--|--⌫-⌫-|
sa ute npiéspargrantuigo r Ilot molt	--⌫-|-⌫|----|--|----|----⌫|-|-|---|
grantpaourseldouta	----|----|--|----|
mol tCarbienquid a	---⌫|--|---|----⌫|
morirt outae strous.	----|-⌫--||-⌫------|
ap iet entre s es	|-⌫--|----|-⌫-|
drusLi fieus	---|-|----|
desasero r	-|-|----⌫|
a traitelespeesel icort sus.Li	|-----||----|-|-⌫|---|---|-|
uuu enirmo ltla crem utIlgeta	-|-⌫---|--⌫-|||----⌫-|-|---|
s or so ncief son	-⌫-|--⌫|---|--|
boinesc u.	---|---⌫-|
Aiol[ s]del brancd	-----⌫-|--|----||
siferu Enfre ssiquenla	-|---|-----⌫--|-|-|-|
guicheli a fen duIl[le]r eust a tere	-----|-||---⌫-|-|---|-⌫---||---|
i us abat u	-⌫-|----⌫|
.x iiii.Franç ois	--⌫----|------⌫--|
i sont couruQuiporlorsignor	|---|----|--|--|--|-----|
irascu.Aiolle fil	------|---|-|--|
ElieontsuscoruQ uantLoeys	---|--|--|---|-⌫---|----|
escrie E stésen susMari seratouchiés	-----|-⌫----|-|--|--||---|--------|
n ea b atus	-⌫|-⌫-⌫---|
Enfressi queiouaie	-------|--|--|--|
lui.IaianonLoeys de	---||-||--|----|-|
Monleu[n]uoi ant	--------|---⌫--|
toutmonbarnage mas	---|--|------||-|
Dureme ntmas greu éetc onfonduSe	------⌫-||-|----⌫-|-|-⌫------|-|
par .i.cheualiersui	--|--|--------|--|
retenus Perdredo i m acoroneetmettre ius.	------|-----|--⌫|-⌫|-----|-|-----|---|
encoreche saches tuQueieme rengepri s	-----|--|-----|-|--|-|-|----|---⌫|
uencu Tuiar as ançois	----|-||--⌫-|------|
maint coupferu Etsi	----|---|---|-|-|
m ien smaintreceu.Ie m	-⌫---⌫|----|-----|-||
afi tant en Dieu	--|---|-|---|
Que i a par.i .seulhom e n ere	--|-⌫|--|--⌫|---|---⌫||--|
uencu[s]Alarike	-------||-|---|
bata illene	----⌫---|-|
faurast u.Ma i sorme diançoisdontes	-----|-⌫-|--⌫-⌫|-|-|-|------|---|-|
Et deconfai te gen ttues issus	-|-|--|---⌫-|---⌫|-|-|----|
Que si as monbar nage	--|-|-|--|---⌫---|
maintenuTu m	-------|-||
aslesBeru ierstousconfondus	-|--|----⌫---|---|--------|
conte de Bohorgesmasrete n u PorRains	----|-|-------||-|----⌫-⌫|--|----|
nep o rBiauais ne	-|-⌫-⌫|------|-|
po r Leun Ne fusse iousiliésche sa c estu	--⌫|---|-|----|--|-|----|--|--⌫-⌫-|-|
Moiquis ui	--|--|-⌫-|
roisd eFrancheas	---|-⌫|------|-|
abatuEt dune partet dautre	----|-||--|---|-||----|
f eru.Desq ués uaur astu estredirasletu	-⌫---|----⌫---|----⌫-|-|----|----|-|-|
enten diAiol[ s] dola nsen fuIlamispiet	-----⌫-|-----⌫-|----⌫-|-|-|-||--|---|
aterre sest	|----||--|
dess enduSireporDieu merc hicar uos trehon	----⌫---|---|--|---|----⌫-|--|---⌫--|--|
ensi antmerchiIesu Monté s isnelement	----⌫--|-----|---|------⌫|---------|
uertu.Be rui erson tdest ruitet conf ondu Granseskiés	-----|--⌫---⌫-|---⌫|----⌫---|-|----⌫---|----|------|
nousiest chi remansu[s]	---||--|--|---------|
Q u antliquensdeBoo rges uos e st	-⌫-⌫--|-|----|-|---⌫---|--|-⌫-|
rendu[s].Q uantl entendi li rois moltliés	--------|-⌫---||------|-|---|---|----|
LXXXuI uen cue	-----|---⌫--|
e stlabatail le	-⌫-|-|------⌫-|
et li tornois.L e con te qui	-|-|-------|-⌫|---⌫-|--|
la guer redu t	-|----⌫-|--⌫|
mainte noirPar	------⌫---|--|
lepuin lere n d i Aiol[s]a l	-|---|-|--⌫-⌫-⌫|------|-⌫|
uo us estes	--⌫-|----|
mes drois sire s i el	--|----|----⌫|-⌫-|
said euoi rIeuos re ncor	--|-⌫|---⌫|-|--|--⌫-|-|
c he cont esoruostrefo iQuene lmenés a	-⌫-|----⌫|--|-----|--⌫|--|--⌫|-----||
tort n e abello i	---|-⌫||-----⌫|
Raenc honenpre ndésiel	-----⌫--|-|---⌫----|--|
uosenpr oi. -	--|-|--⌫--||
S i fera i ou biaus	-⌫|---|-⌫-|----|
si re ch edistlirois.LX XXuIILe	--⌫-|--⌫|---|-|----|--⌫----|-|
contedeBoor gesali	----|-|----⌫--||-|
ro ispri sHugonetNeuelon tostlerendiSign or	--⌫-|---⌫|----|-|------|---|-|----|----⌫-|
Menés le nta Orl iensmaboine	-----||-⌫-||---⌫---|-|----|
chitEtsoit mis en	---|-|---|--|-|
lacart re el fo ntgesirCar me	-|----⌫-|-|--⌫-|----|--|-|
fineeDieumerchi	----|---|-----|
Parchefrancdam oise l q ue	--|--|----|---⌫----⌫|-⌫-|
ieuoi chi.Q uantl	-|--|---|-⌫---||
Aiol[s]aua ntsailliSi parlahauteme nt tant	------|---⌫-|-----|-|----|-------⌫-|---|
Empereres de Franc hep arlés ami.Iepa rlera i porlui	--------|-|-----⌫-|-⌫-----||--|-|--⌫-----⌫|--|--|
a ipris. Ia seDieu(s) plai stdegloi requi	-⌫|----|-|-|------|----⌫-|-|----⌫-|--|
ert iaesgarde ́en	--|-|-------⌫|-|
nulpaisQueissi	--|---|--|---|
que nssoit malbail li sN	---⌫-|---|--|----⌫--⌫||
en bu ien encarcannencar tre	-|--⌫-||-|-----||-|---⌫--|
misMai sprende ́sboinsostagesdel	--|---⌫|------⌫-|----|------|--|
re uenir Si	--⌫----|-|
laisiésaler ens en	-------|---|-|-⌫-|
pa i sTant	--⌫-⌫|---|
quil res o itdau oirtrés bi en	-|-|---⌫-⌫-||--⌫--|----|--⌫-|
gar nis Et qu	---⌫--|-|-|
se s am is E t sir euieng e	--⌫|--⌫-|-⌫|-|-⌫------⌫|
a riereau omerchiSideuienge	-⌫----||-⌫|-----|-|-------|
uostr e honet uostre	-----⌫|--|-|-----|
Moltdeuésestre liés r o iLoeysSeuousal	---|-----|----|----|-⌫-⌫|----|-|---|||
aco r danche	---⌫-⌫-----|
poésuenir	----|----|
Etreç oiur epoés	-|----⌫----⌫|----|
.i.tel ami Comli q uens de	--|--|--|--|-|-⌫---|-|
Boorgesque ie uoi chi.Ne deuéspasuos	------|--|-|--|---|-|-----|--|--|
homesmalbail li r	----|--|----⌫--⌫|
Ainsl esde uésaidie retmai nten irEttenir	---|-⌫-|--⌫---|-----⌫|-|---⌫----⌫-|-|----|
dro it ure grans etpetis. Quant Loeysl ententliésen	---⌫--⌫--|----|-|-----|----|----||-----|----|-|
deu int.Damoiseusmoltpar	---⌫---|--------|---|--|
estesfr ans	----|--⌫--|
et ient isEt	-|----⌫-|-|
ief e rai d el toutauoplaisir.- Si re	-|-⌫-⌫--|-⌫-|---||-|-------||--⌫-|
chedistAiol s	--|---|----⌫|
uo stremerchi.Quantsorm a uolentél	--⌫---|------|----|--|-⌫|-------||
aués tou tmi s	----|---⌫|--⌫|
Dont ert liquenstous	---|--|-|----|---|
q uites pars ain tDen isIa	-⌫----|--|-⌫---⌫|---⌫-|-|
cousteradeuspar esis	-------|---|---⌫---|
Fors que deuoste nra tout sonpais.	---|--|-|--|--⌫--|---|--|----|
Quantlentendi li	----||------|-|
rois saf ait .i. risEtquant	---|||-⌫--|--|--|-|----|
deui ntCartrésbien	----⌫-|--|----|---|
quidoitestrede	------|----|-|
mortfis. I l estpassés auantetsisest	---|---|-⌫|--|------|----|-|-||--|
enpereorseli tendi	-------|-|-|----|
Andeus iointe ssesmains	-----|------⌫|--|----|
ses hondeuintDelui r eçutse	--|--|-----|-|--|-⌫----|-|
te reetsonpais.Lenperere	--⌫-|-|--|----||-------|
deFranchel omage	-|------||----|
Eslesuosa cordé[s] sis ontami(s)Parsifai te	-|--|--|-⌫--------|-|-⌫--|-----|--|-|---⌫-|
manie recom	-----⌫-|--|
uousa idit. Litra itor deFrancheensont ma rit.	---|-⌫|---|-|---⌫---|-|------|-|---|--⌫---|
deLossaneliDe ́(x ) mentis Li	-|------|-|--⌫---⌫|-----|-|
malu aislo se ngier[s]quant i l	----⌫--|--⌫--⌫-------|----|-⌫|
Por.i. petitde	--|--|----|-|
deu lnesrage uis.Molt	---⌫||-----|---|---|
s enuintcoran t a L oe ysDes e slosengeries	|-|---|-----⌫||-⌫--⌫-|-|-⌫-⌫|----------|
ua ura ser ui r .	--⌫--|---⌫--⌫-⌫|
LXXXu IIILiquensfudeliuréset cla més	-----⌫--|-|----|-|--------|-|---⌫---|
q ui tesEn	-⌫--⌫--|-|
s enua tresto utdeliures	|-|-|------⌫-|-------|
Auoecluienrem ainede son	----|--|-|---⌫---|-|--|
Chou q uen lestor	---|-⌫|-||----|
enfuremésenuie.L enperrere d e	-|-|-----|-|---||--------|-⌫|
Francheconduitl enliure Enfressi	------|------||-|----|-------|
ca Orlien s lachite ́	||------⌫|-|-----⌫|
r iche.Aiol[s]remestalroide Saint	-⌫----|------|-----|-|--|-|----|
DeniseLoeys	-----|----|
apel ep rist	----⌫|-⌫---|
lui a dire [ Biaus] amis d ont es tunementi r	--||---|-⌫-----|---|-⌫--|-|-|-|-----⌫|
mie. - Sireiou de	---||---|--|-|
Gasco ngede Mon tOl iue.Mesperes	-----⌫--|-|---⌫|--⌫---|--|----|
gistmaladesenfremerie	---|------|-|-------|
Faillis li estauoir[s]et	------|-|--|-------|-|
man[an]tieBiena	---------|---||
nefist cheualerieOnl	-|---|---------|-||
apeleGautie rd eP ontElie.Il	----|------⌫|-⌫|-⌫--|----|-|
menuoiaenFran c hepor querre	|-----|-|----⌫-⌫-|--|-----|
ersoiraprime	-----||----|
ence steuil eCié s Ysabel	-|--⌫--|---⌫|----⌫|-----|
l efrancheetle	-⌫|------|-|-|
nobile Poramor	-----|--|---|
Dieu mefi st herberg erie	---|-|--⌫-|-------⌫---|
Da mel d e[x] se liplaist il	--⌫---⌫-⌫---|-|-|-----|-|
limerisseMaisd aler à	-|------|---||---|-|
cour t nes aiquedirePorriche sgarnimensque	----⌫|-|-⌫-|--|---|--|-----⌫|--------|--|
Iena ipelichonuairne gris	-||-⌫|-------|---|-|---|
he rmi ne Sic rien	--⌫---⌫-|-|-⌫---|
Françoisn emes carnissent.	--------|-⌫||--⌫----------|
Car meretien(t)	--|-|--------|
boin[s]roispar	------|---|--|
ta franci seIamais	-|------⌫-|-----|
narasd u n home	|---||-⌫|---|
millorseruice. -Parmoncie f	-----|-------||--|--|---⌫|
m ie Que ieuous	-⌫-|--|-|---|
doing Estanpes trestout e	----|-------|--------⌫|
quite Leborc et le marchi é etlabeie Le s	----|-|---|-|-|------⌫-|-||----|--⌫|
lescoustumese tles iustiches .-	--|--------|-⌫|--|---------⌫||
uostre merchiboin[s] rois	-----|-----|------|---|
Loeyssire.	----|----|
LXXXIX-S irefrancdam oiseusc e distli	-----||-⌫--|----|---⌫-----|-⌫|---|-|
roisIe uoi	---|-|--|
molt estes	---|----|
pre usetcorto is.	---⌫-|-|-----⌫--|
uen cu e asle batai lleetle tornoi Moltia	---⌫--⌫|-|-|-----⌫--|-|-|-----|---|||
