qui ueu th enor	--|---⌫|-⌫---|
et lir eisafetdemander	-|-|-⌫--||--|-------|
unphiloso p hequim aneit	-|-------⌫-⌫-|--|-⌫----|
en la cit eouce es teit	-|-|---⌫|-|-|--⌫---|
comandali que iloist	------|-|--|-|---|
cel eparole	---⌫|-----|
etenq u ist	-|---⌫-⌫--|
poer lauerite	---|-|-----|
o ura sto lealte	-⌫---⌫-||-----|
liphilosophes	-|----------|
r icheshomacusa	-⌫----|--|----|
le poure homedesonserpen t	-|----|---|-|--|------⌫|
etape rc utlemarement	-|---⌫--⌫-|-|-------|
quel ipoures h o m enauei t	--|-⌫|-----|-⌫-⌫|-|----⌫|
qui enplorantsesc ondeseit	--|-|------||---⌫-------|
pi tie e noutsilapela	--⌫--|-⌫|--|-||----|
pri ueement lidem anda	---⌫------|-|---⌫---|
se celserpent a ueit troué	-|--|------|-⌫---|-----|
coneustlenl a uerite	------||-|-⌫|-----|
aide re itsibien	----⌫--⌫-|-|---|
que iani perdreitnule	--|-|||-------|---|
ettotquitealerl	-|--|----|---||
etle serpent liremei ndreit	-|-|------|-|-----⌫-----|
sire dist cil	---|---|--|
pordieumer ci	--|---|---⌫-|
ce s eitdiexquetot lirendi	-|-⌫--|---|--|--|-|----|
tot laue i rquan que	--||---⌫-⌫|----⌫--|
ge ntroua i	|-⌫|-----⌫|
riennen retincne rien n enai	---||-|-----|-|---||-|-|
liphilosophe	-|---------|
uerslere isi lidemand a	---|-|--⌫|-|-|------⌫|
sire distiluoleiz sa ueir	---|---|-|-----|--⌫---|
queuo s ferei zdecest aue ir	--|--⌫|-----⌫|-|---|---⌫-|
ieenferai mones cient	-|-|----|--|--⌫----|
iaendre i tleal iug eme nt	-|-|---⌫-⌫|---|---⌫---⌫-|
cistr iches	---|-⌫----|
hom que geueic i	--|--|-|--|-⌫|
nam estuisnu lmal uais c ri	|||--|--|--⌫|---⌫---|-⌫-|
boenlo sl ioiic iporter	---|--⌫|-⌫|-|--⌫|-----|
a tozc els quig en o i	|--|-⌫--|--||-|-⌫|
sicuie t bienle	-|--|-⌫|---|-|
seloncce q uege noietuei	-----|-|-⌫-||-⌫|-|-|--|
queenlui a	--|-|--||
tantsens etbien	---|---|-|---|
queilne demandereit	--|-|-|----------|
dom ilqui dast pechieau eir	--|-|---⌫---|-----|--⌫--|
neblas meentregentreceueir	-|----⌫-|----|---|-------|
de lautrepartcert esie cr e i	-||----|---|----⌫-|-|--⌫-⌫|
quecistpour eshom que ciuei	--|---|----⌫-|--|--|-|--|
al ealment laueir	|-⌫------||----|
etque rien	-|--|---|
nenar etenu	|-||-⌫----|
siuosdiraiparquei ielcr ei	-|--|----|--|---|-||--⌫-|
sei l f ustmalueshom	-|-⌫|-⌫--|-----|--|
celastet ret en ist	-----|-|---⌫--⌫--|
neia cert esrien	-|-|----⌫-|---|
nenrendist	|-|------|
etlireis lia res pondu	-|-|---|-||---⌫----|
sireor nos	---|-|--|
eniuges tu	-|----|-|
ien ferai quanquetuuoud ras	|-|----|------|-|----⌫--|
etquantquetuen loeras	-|-------|-|-|-----|
siredistillaueirprendras	---|---|-||----|-------|
ensalue garde le	-|-----⌫----|-|
tantqueaucu nsuiegne	------|----⌫-|-----|
quil a ueir seitet	--||-⌫---|---|-|
quil demant	--||-----|
querie ueibie nc en	---|-|--|---⌫||-|
estla somme	--|-|----|
ai cest home	|-⌫---|---|
ne pasn estcice sache s	-|--||--|-|-|-----⌫|
cilqui cest aueir a perdu	--|--|---|----||----|
homeq ui lat roué	---|-⌫-|||-⌫----|
qui mou t a fetgrant	--|---⌫||--|----|
deceque ila coneu	-|-|--|-||----|
sescent besanzs o ient	--|---|-----|-⌫-⌫---|
pramislifu rentsif e reit	-----|-|--⌫---|-|-⌫-⌫---|
mal etpechiequi	--|-|-----|--|
litoudreit	-|-------|
ci st richeshomfac e crier	--⌫-|-----|--|---⌫|----|
par celeui le etdemand er	--|---|--⌫-|-|------⌫-|
serpen zque perduza	------⌫|--|-----||
etsi d ex plestsis trouera	-|-|-⌫-|----|-||------|
lireisoile iugeme nt	-|---|-|-|------⌫-|
m ou t plou t aluiet asag ent	-⌫--⌫|----⌫||--|-||-|-⌫--|
et d ist queeissilefer eit	-|-⌫--|--|----|-|---⌫--|
com li phi losophediseit	--|-|---⌫------|-----|
mesquantliricheshomloi	--|----|-|-----|--||-|
boenre i distilpordieu merci	---|--⌫|---|-|--|---|----|
sim aitdie x laueir est	-||--|---⌫||----|--|
etsi nem enfa utnule	-|-|-||-|--⌫-|---|
mesiediseie	--|-|-----|
queperduaueieun serpent	--|----|----|-|------|
chiersir e	----|---⌫|
c ertesie mentei e	-⌫----|-|------⌫|
m espar t raiso n	-⌫-|--|-⌫-----⌫|
porce queuoleietolir	--|-|--|-----|----|
ace lpoure	|--⌫|----|
homme etretenir	----|-|------|
lesce nt besa nzq ua ueirdeue it	--|--⌫-|----⌫-|-⌫|-⌫---|----⌫-|
por lesorplusqueilrendeit	--|-|------|--|-|------|
lirei s quide	-|---⌫|--|-|
bonaire f u	--|---|-⌫|
liatot son	-||--|--|
aue irr end u	---⌫-|-⌫---⌫|
ma isquecentbesanz fista ueir	--⌫----|---|-----|---|-⌫---|
ace luiquirendil	|--⌫--|--|----||
p e redistlefizie	-⌫-⌫-|---|-|--|-|
quecle rgiees t sortoterien	--|---⌫---|--⌫|--|---|---|
nestengiennesensne uei s die	|--|-----|-|---|-|---⌫-⌫--|
trespass erclergie	--------⌫-|------|
pargrant en gienle	--|----|--⌫---|-|
le philosopheetli rendi	-|---------|-|-|----|
l e sbe sanz queperd ueust	-⌫-⌫|--⌫---|--|----⌫|---|
sa nzr ecourierse ilnefust	--⌫-|-⌫-------|-|-|-|---|
bea lz fi zci stphiloso phe aueit	---⌫-|--⌫|--⌫-|-------⌫--|----|
unso enclerc que	-|--⌫-|----|--|
ilapreneit	-|-------|
amo nest out soue nt	---⌫----⌫--|----⌫-|
acompaignastnie nt	-----------|---⌫-|
qu iln c oneust	-|-||-⌫-----|
ne senfamilier nefust	-|--|-------|-|---|
et separauentu reerr ast	-|-|--|------⌫-|---⌫--|
e thomeolui	-⌫|---||--|
sacomp anast	|-----⌫----|
quiso neirrelienqu eis t	--|--⌫|----|-|----⌫---⌫|
gardas tque ilnel edeist	------⌫|--|-|-|-⌫|----|
conbienloign ilal er	------|----|-|--⌫-|
sedeuantc ene l c o n eust	-|-----|-⌫|-||-⌫-⌫-⌫---|
ainzfainsi stq u e	---|------⌫-|-⌫-⌫|
plusloi ngirei t	---|---⌫-|----⌫|
quesonprop osement naueit	--|--|----⌫------||----|
e tselance o uec	-⌫|-|----|-⌫--|
se i portas t	--⌫|------⌫|
deuers ladestre partalast	-----|-|-----|---|----|
s eespeelaissastl a adestre	-⌫|----|-------|-⌫||-----|
sise tornastde uer ssenestre	-|-|------|--⌫---⌫|-------|
etencor p l us lienseignout	-|----|-⌫-⌫-|-|---------|
quequantce er t	--|----|-|--⌫|
queilerrout	--|-|-----|
le snouelesgardast	--⌫|------|------|
quele suiezueies nelaisa st	--|--⌫|---|----|-|-----⌫-|
uiezne sontsibeles	---|-|---|-|----|
co rtescom lesnouele s	--⌫---|--|--|------⌫|
s ifait telhore e st mield re aler	-⌫|---|--|---|-⌫-|-----⌫-|---|
seu eals porcrieme des garer	---⌫---|--|-----||--⌫----|
distli f izce	---|-|-⌫-|-|
o rmesuid un	-⌫|-|--||-|
eirr e a membré	----⌫|-⌫------|
qua un eci tefaision	-||--⌫|--⌫-|------|
ieetmiautre co mpa ignon	-|-|-|----|--⌫---⌫----|
lo i nzestion	--⌫-⌫-|-----|
ets iesteit bie nauespr é	-|-⌫|-----|---⌫|------⌫-|
q uel esoleile rt rescon se	-⌫-|-⌫|-----|-⌫-|------⌫-|
etnoseti ontuitlasse	-|--|---⌫-|---|----|
lorsueimesunesentele	---|-----|--|------|
q ui mout n os senbl adreitee t	-⌫-|---|-⌫-|-----⌫|-----|-⌫|
futqueplu sdreit	--|--|---⌫|----|
quele gra nt ch emin nos me rr eit	--|-|---⌫-|--⌫---|--|--⌫--⌫--|
plust os tal a cite	---|-⌫--⌫||-⌫|---|
m esne ns auionuerite	-⌫-||-⌫|-⌫----|-----|
aunu e llartquenos	|-|-⌫-⌫----|--|--|
t rou am es	-⌫---⌫--⌫-|
laueritel ideman da mes	-|-----|-⌫|-----⌫--⌫--|
di stquela nouele	--⌫-|--|-|-----|
este it plu s	----⌫-|---⌫|
dreite et plus be le	-----|-|---|--⌫-|
et mout plus	-|---|---|
quenen este it le gran tchemin	--|-||----⌫-|-|----⌫|-----|
maismout anceisdi st il uendreiz	---|---|-----|--⌫-|-|-------|
ala cite ian ifaudrez	|-|---|-|||------|
seuosl e gra ntch eminten ez	-|--|-⌫|---⌫-|--⌫---|---⌫-|
quese parlasentele alez	--|-|--|-|------|---|
grantfolietenimes	----|----|------|
telparo lequan tnosloi mes	--|----⌫-|----⌫|--||--⌫--|
t otl a issames	-⌫-|-⌫-⌫------|
et a lasentenos	-||-|----|--|
paslong ueserre ́	--|----⌫--|----⌫|
queno sfu messie sgaré	--|--⌫|--⌫--|-|-⌫-----|
nese ume s quelpartaler	-|--⌫---⌫|---|---|---|
to tenuit nos estutfoler	--⌫-|---|--|----|----|
primes de c aet pui sdela	-----|--⌫-⌫|-|---⌫|---|
onques tant	-----|---|
comlanuitdur a	--|-|---|---⌫|
nefinamesored	-|------|--||
nedeuantce qu eiorfucler	-|-----|-|--⌫|--|-|---|
n e u enimesalacite	-⌫|-⌫-----||-|---|
si sa uiond euer it e	-|--⌫---|-⌫|---⌫--⌫|
quan cei smienuit i fusson	-|--⌫---⌫|------||-----|
selegran t chemintenisson	-|-|----⌫|-----|-------|
c e dist lipereapris	-⌫|---|-|---|----|
quemi eldreal er a paris	--|--⌫----|--⌫-||----|
faitpa r lai deueie etpar	---|--⌫|---⌫-|---|-|--|
quee nenf e r	--|-⌫|---⌫-⌫|
parb eleetbrieue	--|-⌫--|-|-----|
