dieu n ostre	---|-⌫----|
demesfillespoora uroie	-|--|-----|---|-⌫----|
quaucunedeles	-|-----||---|
par paroles	--|------|
apreis siésa uostreesco le	------⌫----||-----|----⌫-|
messiuos ue noitapleisir	--|||--|--⌫---||------|
qu e uossissiez	--⌫|---------|
ennuitgesir	-----|----|
cipresenunemoiegranche	-|---|-|--|---|------|
oua estreinetp aillebl anch e	-||------|-|-⌫----|--⌫----⌫|
a gra ntplente etbon	|---⌫-|-----|-|--|
illec u ouspresterail	----|-⌫--|--------||
li cle rsuitqu i nepotmelzf ere	-|---⌫-|--|-||-|--|---|-⌫--|
q uequeilli deustdespleire	-⌫----|-|-|----|--------|
cequilpot fistiln i	-|-|-|--|---|-|||
agr e pr ist en lagranc he ostel	|--⌫|--⌫--|-|-|-----⌫-|----|
en la g rancheseh er berga	-|-|-⌫-----|-|-⌫--⌫----|
ce soirpoi a souper	-|---|--||-----|
quant otsoupéleg i erement	----|-|-----|---⌫-⌫------|
laouseul prithe bergem ent	-|-|---|---|--⌫------⌫--|
s us lefue rresala couchier	-⌫-|-|---⌫--||--|-------|
tellitnotc ilm iemoultchier	--|--||-|-⌫-|-⌫-|----|----|
lerrer e stoitl a ssés	|----|-⌫----|-⌫-⌫----|
ettristeset	-|------|-|
do lentasse s	--⌫---|----⌫|
q uent el leu lestuthe rb ergier	-⌫|-|-⌫-|--||----|--⌫--⌫-----|
sis endormimoultde	-||------|----|-|
entor mienuitsesueilla	----|------||-------|
c emoultsemerueilla	-⌫|----|-|--------|
quiluitdeuer le	-|-|--|----|-|
cie l desc endre	---⌫|----⌫----|
unnegr ant cla rt e	---|--⌫--|---⌫--⌫|
et porprendre	-|---------|
lagrancheen	-|------|-|
ch ac unep art ie	--⌫--⌫--|-⌫---⌫-|
dom lagranche	--|-|------|
fuesc lardie	-|---⌫-----|
clar teenl um inee	----⌫-|---⌫--⌫---|
f ust de feuesb rase e	-⌫--|-|--|---⌫----⌫|
l e cler c garda pa rla cl arte	-⌫|----⌫|----|--⌫|-|--⌫---|
tr oisdamesde moultgra nt	--⌫--|----|-|----|---⌫-|
uitdedeu ant soiarre st e es	--|-|---⌫--|--|----⌫--⌫-⌫-|
richeme nt erentaornees	-------⌫-|----|------|
dapareiletdeuesteure	|------|-|-|-------|
mes l uneest	--||--|--|
g r eindr e d e	-⌫-⌫-----⌫|-⌫|
de sautres	--⌫|-----|
etme lz aornee	-|--⌫-|-----|
etdegreigneur	-|-|--------|
biaute douee	-----|----|
le clercui tplus presdesoicelle	-|----|--⌫|---|---|-|--|----|
ertlagreindreet plusbelle	--|-|-------|-|---|----|
etdeplusbel	-|-|---|--|
acesmem ent	-------⌫--|
arrenado u cement	-----|--⌫-⌫-----|
parp arolesm oultag r eables	--|-⌫-----|-⌫---|--⌫-⌫-----|
etb enignesetconfortable s	-|-⌫------|-|-----------⌫|
et sidista uclercqui ueil leit	-|-|---|-⌫|----|--|----⌫---|
se merueilleit	-|----------|
menami cherparboneur	--|--|---|--|--|--|
soiezio ieusetasseu r	----|--⌫---|-|-----⌫|
ca rfeiteas	--⌫|----|-|
amienoue ll e	---|----⌫--⌫|
iesuimarielapucelle	-|--|----|-|------|
mere de dieuet	---|-|---|-|
ch an beriere	--⌫--⌫------|
domtuasfeittamiechiere	--|-|-|---||---|-----|
carpormamorqu erreeta uoir	--|--||---|--⌫---|-|-⌫---|
tiesdep arti p arton sauo ir	|--|---⌫---|-⌫-|--|----⌫-|
de lamora l au tremarie	-||---|||--⌫--|----|
quetu tenoies a am ie	--|-|------||--⌫-|
carlef ermaild o r afin é	--|-|-⌫-----||-⌫|----⌫-|
quetuauoie sdest iné	--|-|-----⌫|----⌫---|
al au tre marie	||--⌫--|----|
me donascommebonsamis	-|----|----|---|---|
a autrie rasessons	|------⌫||------|
dipar uerite	-|--|-----|
quet ua smamordese ruie	--|-⌫|-⌫||---|----⌫---|
dontum assi	--|-||-|-|
en greseruie	-|--|-----|
ort e ga rde bien etporuoies	-|-⌫|--⌫--|---|-|-------|
queboensami s etleiaussoies	--|----|---⌫|-|-----|----|
uersmo i t econtienleiaument	---|--⌫|-⌫|------|--------|
et moinetamorchateme nt	-|----||---|-------⌫-|
se u ers moi esamisl eiaus	-|-⌫--|--|-|---|-⌫----|
to t sanslestreset	--⌫|---|------|-|
sansse iaus	---|--⌫---|
te promestetme stenconuent	-|------|-|--⌫-|-|------|
qua toiue ndreipaller	-||--|--⌫----|-----|
etsouentt euisi ter ei	-|-----|-⌫|----⌫---⌫-|
etconp aignieteferei	-|----⌫-----|-|----|
quantsera su e nuen tate rr e	----|----⌫|-⌫-⌫-|-|-|--⌫--⌫|
gardedefoleam orrequerre	----|-|---|--⌫-|-------|
et lesse ester to tefolie	-|----|----|--⌫-|----|
et ge tenuoiere iaie	-|-||--------⌫|--|
ettouziorz tedo n rei confort	-|---|---|-|--⌫-⌫--|------|
sisoiesuiguere uset fort	-|----|-------⌫-|-|---|
et conb atablescha npions	-|----⌫------|---⌫-----|
contref ole stemp tacions	-----|-⌫---⌫|----⌫------|
etsite conseil bie n et	-|-|-|------|---⌫|-|
que quie rgesun seg reileu	--|----⌫---|-|---⌫--|--|
ou tuail less eulha biter	-|-|---⌫--|-⌫--|--⌫----|
q uemeulzte puisseuisiter	-⌫-|----|-|-----|------|
e t mielzconpaigniep ort er	-⌫|----|---------|-⌫---⌫-|
at oipalleretconf orter	|-⌫-|-----|-|----⌫----|
e tquetunecu ides	-⌫|--|-|-|--⌫---|
quecequetuuoi setesco utes	--|-|--|-|---⌫|-|----⌫---|
soit uanitefable ou	---|-----|----|-|
men co nge	---⌫--⌫--|
au sintcomui s ionde so nge	--⌫---|--|--⌫-⌫--|-|--⌫--|
ueoirpuezense igne sueraie s	----|---|----⌫----⌫|------⌫|
quelauerite mielzencraies	--|-|-----|----|-|-----|
enuialz le uoi r a pren dre	-|----|-|---⌫|-⌫----⌫--|
uoizlefermai lamoncoulpendre	---|-|------⌫||--|---|-----|
quasessons	-||------|
la utrier me	|-⌫-----|-|
dom sinobleg uerredonas	--|-|----|-⌫-------|-|
touzi orstetendrei	---|-⌫--|-|------|
souen tatoi pa lleruen drei	-----⌫||--|--⌫---|---⌫---|
nost re amorno strec om pa ignie	----⌫-|---|--⌫---|-⌫--⌫--⌫----|
n eseraiamesdepartie	-⌫|---|----|-------|
le cle rcr ecutlors	-|---⌫-|-⌫---|---|
hardemen t	--------⌫|
etregard aapertemen t	-|------⌫|---------⌫|
sec ert uoirs	-||--|----|
cequ ilent endoit	-|-|-|---⌫-----|
son f ermaildoruit qui pendoit	--|-⌫-----||-|--|--|------|
aladame enno ree	|-|---|----⌫--|
quiac hartres est aouree	--||-⌫------|--|-----|
bi enquenutquec	--⌫-|-----|--||
erts on fermail	--|-⌫-|------|
ne rtpassongesnedeuinail	|-⌫-|--|-----|-|-------|
einzestu eritepureet	---|--|-⌫----|---|-|
sonferma i luiten	--|-----⌫-⌫|--|-|
l apoitri ne	-⌫|------⌫-|
damebienata c hié	---|---|---⌫-⌫---|
lors nesest	---|-||--|
muc iéne cac hié	---⌫--|-|---⌫---|
leclercqui	-|----|--|
estass euré	--|---⌫----|
moultsetient a	----|-|----||
decestehauteuision	-|----|----|-----|
ioieuset o deuocion	-----|-||-------|
lahaut edame	-|----⌫|---|
quant porsagranthumilite	----|--|-|----|-------|
dou ceme n t uisi té	---⌫----⌫-⌫|----⌫--|
si lipromistqu o utree ment	-|-|------|-|-⌫-----⌫---|
do utou tason comm andement	--⌫|---⌫||--|----⌫-------|
auantobeireit	----|-------|
etriensneli contre di reit	-|----|-|-|------⌫--⌫---|
atantla dame s	----|-|---||
m esauclerc auant	-⌫-|-|----|----|
desaben eiconpartie	-|-|---⌫----|-----|
laraladomel ertpartie	-|---|--|-|--|-----|
etlecler cad ieu commanda	-|-|----⌫||-⌫--|-------|
cell efoisplus	----⌫|---|---|
le clerce nsibo enpointlessa	-|----|-⌫|-|--⌫-|----|----|
quedeslores doutoutcess a	--|--|----|--|---|----⌫|
defolpenseet de fole	-|--|----|-|-|---|
ainsinttost	------|---|
dex quantilueu st oeure	--|----|-|---⌫-|----|
carleclercp orsaboe neamie	--|-|----|-⌫-|-|---⌫-|---|
lessatouteamor defo lie	----|----|---|-|--⌫--|
etf uenpro po sem e nt	-|-⌫|-|---⌫--⌫---⌫-⌫-|
quedes lorsuiuroitch a tement	--|--|---|------|--⌫-⌫-----|
leclerc quedexuo ltta ntame r	-|----|--|--|--⌫-|--⌫-|---⌫|
hatiuement p assala	---------|-⌫---|-|
sanzperi l etsans enco mbr ier	---|----⌫|-|---|----⌫---⌫--|
en l a uoie not	-|-⌫|---||-|
des torbier	---⌫------|
einzp assadroit enson pais	---|-⌫---|----|-|--|---|
domilf un ais	--|-|-⌫|-⌫--|
alasesp arensuisiter	--|--|-⌫----|------|
mes niuostpasmoulta rrester	--|||---|--|----|-⌫------|
quantuisitésotses amis	----|-------|-|--|---|
anostre dame o t promis	|-----|---|-⌫|-----|
nem istm i een	-|-⌫--|-⌫-⌫|-|
o ublianc e	-⌫-------⌫|
sa nzdelei e tsanzd emorance	--⌫-|----|-⌫|---|-⌫-------|
enuneille de mersegraie	-|--|---|-|--|------|
degentpriu ee etq uaie	-|---|----⌫-|-|-⌫---|
e ntra et le mondeet s ordure	-⌫---|-|-|----|-||-----|
eschiuaet toutelux ur e	------|-|----|---⌫--⌫|
enceleu fuqui ertestrange s	-|-|--|-|--|--|--------⌫|
illeques me na	-------|--⌫-|
se i nte uiee tcele stiau	--⌫-⌫--|--|-⌫|----⌫----|
de ui andeesp erituau	-|--⌫---|---⌫------|
uesqui plusq ue deterrie nne	-----|---|-⌫-|-|------⌫--|
ausint com	-----|--|
fist lai usci e nne	---|-|-⌫----⌫-⌫--|
soncorsen penit ence mist	--|---|-|-----⌫---|---|
et soue nt sicom lipr omist	-|----⌫-|-|--|-|--⌫----|
n ostr ed amele u isita	-⌫----⌫|-⌫--|-|-⌫----|
p alerledelicta	-⌫---|-|------|
et li donaforce e t confort	-|-|---|----|-⌫|------|
etlefis tc ontre touzmaus for t	-|-|---⌫|-⌫----|---|---|---⌫|
pu isli t intc o mpaignie	--⌫-|-|-⌫--|-⌫-⌫-------|
etala mort et lauie	-||-|---|-|-|--|
qu antliroi sric hartdangle terre	--⌫--|-|---⌫|---⌫---||-----⌫----|
douclercquiest o itdesa terre	--|----|--|---⌫-⌫-|-|-|----|
lesm iracles	--|-⌫------|
a certes sot	|-----|--|
uersligl isede ch a rtresot	---||---⌫--|-|--⌫-⌫----|-|
desloresgreign eurreuera nc e	--|----|------⌫--|------⌫--⌫|
eten neure t obedience	-|--⌫---|-⌫|--------|
fist aumesagesdeliglise	---|-|------|-||-----|
etlesles saaleurdeuise	-|--|---⌫-||---|-----|
al e rs armon erparsater re	--⌫-⌫|-⌫-----⌫-|--|-|---⌫-|
ias oitceil	-|-⌫--|-|-|
eustlor guer re	---|--|----⌫-|
u ersle roiphelipe d e france	-⌫--|-|--|------|-⌫|-----|
sil eur dona	-|-⌫--|---|
asseurance	---------|
et l esre cu t	-|-⌫-|--⌫--⌫|
cor to is e ment	---⌫--⌫--⌫-⌫---|
etsiles conduitsauuement	-|-|--|------|--------|
etun iorpar h umilite	-|-|--|--|-⌫------|
porta li roisporuerite	----|-|---|--|-----|
suss esespaul es lui	--|-⌫-|------⌫-|--|
seintismes	---------|
quide densun e chasseestoient	--|--⌫---|--⌫|-----|-------|
que l imess ageoeus p ortoi ent	--|-⌫|----⌫--||--|-⌫-----⌫--|
cestm iracleetcesteauenture	---|-⌫-----|-|----|-------|
sic ommele	-|-⌫---|-|
di tl esc ri ptu re	--⌫||---⌫--⌫---⌫-|
con tal iroisen	---⌫-|-⌫|---|-|
tel maniere	--|------|
aune so eserorch i ere	|--|--⌫|----|--⌫-⌫--|
aaliscontessedebl ois	----|-------|-|--⌫--|
etla damedeg rant	-|-|---|-|-⌫---|
parsacont ree le conta	--|-|----⌫--|-|----|
si q ue lecontestantmonta	-|-⌫-|-|-----|---|----|
quilfumise n	-|-|-|--|-⌫|
a chartreslabo nne	|-------|-|--⌫--|
u nmira cleb ienquene u	-⌫|----⌫--|-⌫--|-----⌫|
quicert einement fuseu	--|----⌫-------|-|--|
partesm oig nz dignede	--|----⌫---⌫-|----|-|
n euoilpasmetree n o ubli ance	-⌫|---|--|----|-⌫|-⌫----⌫---|
car blasmésparreisonser oie	--|-------|--|-----|---⌫--|
segematire siueraie	-|-|-----|-|-----|
tre spassaieetsi certeine	---⌫-------|-|-|-------|
un preudomfuen	-|------|-|-|
a quiteine	-⌫-------|
richeshom fu etdieucremoit	-----|--|-|-|---|------|
etluimou l tetsamerea m oit	-|--|---⌫-⌫|-|-|---|-⌫-⌫--|
seine ot la concienc e	----|-|-|--------⌫|
de uocio n e treuerance	--⌫-----⌫|-⌫|--------|
etamor otespe c ial	-|---|-|----⌫-⌫--|
alaha uteiglise rei al	|-|--⌫--|-----|---⌫-|
de chartrespor luienno r er	-|-------|--|--|----⌫-⌫-|
il aloi tchacunanorer	-|----⌫|-----|-|---|
enueulauoit et	-|--||----|-|
d alerenunpeleri n age	|---|-|-|------⌫-⌫--|
einsintl auoitacoustume ́	------||----|---------⌫|
condecharitealumé	--|-|------|-----|
et porleslamp es a lu mer	-|--|--|----⌫-|-⌫--⌫--|
unbari l duilleolu ip ortoit	-|----⌫||----||--⌫|-⌫-----|
einsintcil homsedeport oit	------|--|--|-|------⌫--|
enlahaut e dameseruir	-|-|----⌫|---|-----|
por lam or sonfilzdes e ruir	--||--⌫-|--|---|---⌫-⌫---|
tantq u ilauintquisordiguerre	-----⌫|-|----|-||----|-----|
entrerichar t rois d a ngleterre	----|------⌫|---||-⌫--------|
etle roisphelipede	-|-|---|------|-|
s iquelihom s acoustumance	-⌫|--|-|--||-----------|
plus meint eni r	---|-----⌫---⌫|
na chartres al erne uen ir	||-------|--⌫-|-|---⌫-|
desauoieloncten s	-|-|---|---|---⌫|
carsafa menele lessa	--|-|--⌫-|-|-|----|
me str e enuoie ne siami	--⌫---⌫|-|---|-|-|--|
ca rliperil quiertenmi	--⌫|-|----|--|--|---|
sauoi eforment	-|---⌫|------|
redotoien t	---------⌫|
remeind rel efesoient	-------⌫-|-⌫|-------|
einsi retarda	----|------|
lo nguem ent	--⌫-----⌫--|
lipreuzdomsonproposement	-|-------|--|----------|
parleconseil de sesamis	--|-|------|-|--|---|
ce quilotuo éet	-|-|-|-|--⌫-|-|
ne potfer ecom il	-|--|---⌫|--|-|
domoucue r form entse	--|-|---⌫|----⌫--|-|
sid emora en	-|-⌫----|-|
es peran ce	--⌫-----⌫-|
sa uoirs e pe setacordance	--⌫---|-⌫|--⌫|-|--------|
entrelesdeu sp rincesuenis t	----|--|---⌫|-⌫-----|-----⌫|
etquecel e	-|--|---⌫|
guerrefenist	-----|-----|
por c estes po irfeso itseior	--|-⌫--|--⌫--⌫-|----⌫-|----|
meslaguer re d eio r en ior	--|-|----⌫-|-⌫|--⌫|-|--|
enforcadurem ent	------|-----⌫--|
li preuzd om quibiene ndieucrut	-|------⌫-|--|---|-⌫|---|---|
et quiotseine conscience	-|--|-|----|---------|
dedenzsoiserepr is t	-----|--|-|----⌫--⌫|
q uesonueuaconpl irtardo it	-⌫-|--|--|------⌫-|-----⌫-|
e t qua same	-⌫|-|||--|
n ereg ardoit	-⌫|---⌫-----|
plusquasoncors nasondomaige	---|-||--|---|||--|------|
nepasnedeust	-|--|-|----|
s onue age	-⌫-|--⌫--|
lessier porpe rild	------|--|--⌫--||
etse mole ste n ein iure	-|-|----⌫--|-⌫|--⌫---|
souffr eitouse ruise a lada me	------⌫--|-|--⌫----||-|--⌫-|
preu s eroit etgaaingas o n	---|-⌫----|-|-----||-⌫-⌫|
a i nsints e stlipr euzdom reprins	-⌫-⌫----||-⌫-|-|--⌫-----|------|
porpoor de stremortneprins	--|---||-⌫---|---|-|----|
nepor perdrecors	-|--|-----|---|
neuolt plus derespitauoir	-|---|---|-|-----|----|
n esonp roposem en tlesser	-⌫|--|-⌫-------⌫--⌫|-----|
soncoragen e	--|-----|-⌫|
ueult p lessier	----|-⌫------|
n epor famenepor amis	-⌫|--|---|-|--|---|
mau greelss esten uoi emis	---⌫--|--||--|-|---⌫|--|
quantpartifude sacon tree	----|----|-|-|-|---⌫---|
chacuniortanta	-----|--|---||
grant iorne e	----|-----⌫|
cheuauch aqui	--------⌫|-||
fu e n laterre	-|-⌫|-|----|
troubleetcelegu erre	------|-|---|--⌫---|
au npas moultperilleus uint	|-⌫|--|----|--------|---|
oupasserparmi lecouint	-|-----|----|-|-----|
litres passantquiipassoient	-|----⌫------|--||--------|
desro béet pri si	-----⌫--|-|---⌫||
a l ui nemesche i pasmeins	|-⌫-|-|------⌫|--|----|
car ilche ientre	--|-|---⌫|----|
ausrob eeursquileretindrent	--|---⌫----|--|-|---------|
etsonc heualet soncorstind rent	-|--|-⌫----|-|--|---|----⌫---|
et qua nquilportali	-|---⌫--|-|----|-|
etonc oreauf ir ent	-|---⌫--|-|-⌫--⌫--|
greig neuroutrageetmes pr ison	-----⌫---|------|-|---⌫--⌫---|
quesoncorsmistrent en	--|--|---|-------|-|
plusrai ncondeluiauoir	---|---⌫---|-|--|----|
quialecors si alauoir	--||-|---|-|||----|
treto zlesa utres pris onniers	-----⌫|--|-⌫----|----⌫------|
se ranconnerentadeniers	-|-----------||------|
li unasouz li	-|-||---|-|
autre aliures	----||-----|
deprisonde li u res	-|-----|--⌫--⌫-⌫--|
quant leior	----|-|--|
deleur deliurance	-|---|---------|
fu uenu lorsotesmaiance	-|---|---|-|--------|
lepe lerin qu antdemorer	-|--⌫----|--⌫--|------|
le co nuendroit	-|--⌫--------|
seula plorer	---||-----|
pri st for mentetase iconpleindre	---⌫-|---⌫---|-||--⌫|----------|
q ueseulle conuendroitremeindre	-⌫-|---|-|----------|--------|
enprisone tsanzconpaignie	-|-----|-⌫|---|---------|
sanzconfortdonn eetsan zaie	---|------||---⌫|-|---⌫|--|
seladamenon	-|-|---|--|
confortoit	---------|
mese ncelleest oits es perance	--|-⌫|----|---⌫--||--⌫------|
que parle aureitdel iu rance	--|--|-|-----|---⌫--⌫----|
etparuoir mou lt bien	-|--|---|---⌫-|---|
toutese spe rance auo ira	----||-⌫---⌫----|---⌫--|
l a damedechartr esmarie	-⌫|---|-|------⌫-|----|
s onpe lerin nobliamie	-⌫-|--⌫----||----|--|
la nuitdeuant	-|---|-----|
quecilqu ifurent	--|--|--⌫|-----|
raein z depri son eissir	-----⌫|-|---⌫--|-----|
la doucedameuisit a	-|----|---|-----⌫|
son pelerin etsaresta	--|------|-||-----|
de deuantluiapertement	-|-----|--|---------|
etli confort a	-|-|-------⌫|
etsilidi stqu a lendemei n	-|-|-|--⌫-|-|||-------⌫|
ou f us tseiroufust amein	-|-⌫--⌫|---|-|---||---|
q uan t ilue rroitquec ilestraient	-⌫---⌫|-|--⌫----|--|-⌫-|--------|
de pr iso n qu iraeinz	-|--⌫---⌫|--⌫|-----|
o eulseis si s tseurement	|---|---⌫--⌫-⌫|--------|
seurdesond eliurem ent	---|-|--|-⌫-------⌫--|
quantle pelerin ceo i	----|-|------|-|-⌫|
u ision sesioi	-⌫----||----|
dom set i nt abene uré	--|-|-⌫-⌫-||----⌫---|
sifu d outotasseuré	-|-|-⌫-|--|-------|
endemein fuapr estee	-------|-|---⌫----|
uneesch ielle	--|----⌫----|
e n lacha rtre	-⌫|-|---⌫---|
porde liure r	--|--⌫-----⌫|
ceus quidurentargentliurer	---|--|-----|-----|-----|
lirae inzeschiel lemonter e nt	-|---⌫--|-------⌫-|------⌫-⌫-|
esgarderent	----------|
le pelerinouec eul suirent	-|------|---|---⌫|-----|
mo nterd omforme nt s	--⌫---|-⌫-|-----⌫-||
es bahirent	--⌫-------|
nauoie nt p as oi	|-----⌫-|-⌫-|-|
quouec aussendeus t ale r	-|---|--||-|----⌫|---⌫|
nequilde us t estredeliur e	-|-|-|--⌫--⌫|----|------⌫|
sicuiderentque folxou iure	-|--------|--|---|-|---|
fustporuoirouqueustsongié	---|--|---|-|-|---|------|
quantilesseit horssanz c ongie	----|-|-----|---|---|-⌫----|
sili distr entquilremeinsist	-|-|-----⌫--|-|-|---------|
nedelap riso n	-|-|-|-⌫----⌫|
pasn is ist	--||--⌫--|
cars ilestoeitaperceu	--||-|------|------|
ouparaucun casqueneu	-|--|----|--|-----|
de celsquil a chartregardoi ent	-|---|--|-⌫|------|------⌫--|
arrier eenpri sonle merraie nt	------⌫|-|---⌫--|-|-------⌫-|
silisereitpis	-|-|-----|--|
est reit sereittenu	---⌫---|-----|---|
etplusu ilement que de uant	-|---|-⌫------|--|--⌫---|
sil alaientapertemant	-||------|---------|
