formCi comence liseconz	---|-|------|-|-----|
estreres tabl izcontreiugemen t.	----|---⌫----⌫-|-----|-------⌫||
Ci s ttitre	--⌫-⌫|----|
determinequedoi testre sele m enorde.	--------|--|---⌫|----|-|-|-⌫---|-||
anzdem anderestitucion contre	--|---⌫---|----------|-----|
choseiuchiee.	----|------||
Deusuallez freresa u oienteuuntuteursiple derentà	---|-----|-----|-⌫-⌫----|-|-|-----|-|---⌫-----|-|
luiquantilpasserentaa gede.	--|----|-|--------|--⌫-|-||
anz etaconsiuirentdeli	--|-|-----------|-|-|
par sente nce nemietantcomildeuoien t	--|-----⌫--|-|--|---|--|-|-------⌫|
auoirsidemanderentconseillàl	----|-|----------|-------|-||
empere e uretil	------⌫-⌫-|-|-|
l eurrespo nt Seuos	-⌫--|-----⌫-|-|--|
esti e zmeneur de .	----⌫-⌫|-----|-||
anzquant iugementfudoné u o sau roizre stitucionà demander	--|----|-------|-|----|-⌫-⌫|--⌫---|--⌫--------|-|-------|
leseurplusse e stesen laaieque	-|-------|-|-⌫---|-||---|--|
l adaiezauoir messe	-⌫|----|----|--|-|
u ose stiez ia daagequ ant	-⌫-|-⌫----|-||---|--⌫--|
sentencefudonee uos	-------|-|----|--|
nepouezmo uoiraccion	-|----|--⌫---|-----|
derechiefdeces meimes choses.	--------|-|--|-----|-----||
Unshuemdemandoit un eseuefille	--|---|--------|--⌫|---|----|
q idisoitqueledeuoitestre	-⌫|-----|-|--|-----|----|
ensapoostéetsei l	-|-|------|-|-|-⌫|
lau oitd eliureed e	|--⌫--|-⌫------|-⌫|
sapoestécen es toitm i efet àdroit.	-|------|-||--⌫---|-⌫-⌫|--|-|----||
Leiug equ i o oitl ep let	-|---⌫|--⌫|-⌫--|-⌫|-⌫--|
i uc haqueledeuoit	-⌫--⌫-|-|--|-----|
estre sozmi se àl apoestésonpere.	----|-----⌫-|-|-⌫|------|--|---||
Cestefemmesetenoit pourg reueede celese ntence si	----|----|-|-----|---|-⌫----|-|---|--⌫-----|-|
uoloitauoirrestitucion	-----|----|----------|
Cele demandaa ̀l empereor q uilli	---|------|-⌫||-------|-⌫--|-|
re spo nt Celqu igouernel aprouince esga rdera	--⌫---⌫-|--|--⌫|------|-⌫|-------|----⌫----|
setud oizauoirrestituci on	-|-|-⌫--|----|---------⌫-|
qua nt ilco no istratoutlafe re .	---⌫-|-|--⌫--⌫----|---||---⌫-||
Liemp e rerescomanda oïrunecause	-|---⌫-⌫----|------|---|--|----|
àunsai ehomeetiugier.	-|-|---⌫|---|-|-----||
Ildonasasen tenc e contrelundesplede eu rs	-|---|-|---⌫----⌫|-----||-|--|-----⌫--⌫-|
qu iestoit	--⌫|-----|
anziluoloitauoir restitucion.	--|-|-----|----|----------||
Et dit liem perere	-|--|-|--⌫-----|
quele preuostnel e baillifn e	--|-|------|-|-⌫|------|-⌫|
puee ntdoner restitucio ncon trelasentencede c elquiiuia	----⌫-|----|----------⌫|---⌫--|-|-------|-|-⌫-|--|---|
lempereormesseulliem per erespuet restituir	|-------|--|---|-|--⌫---⌫---|---|--------|
contr elasentencede cel uiqui	-----⌫|-|-------|-|---⌫-|--|
iui aenl eu de	---⌫|-|-⌫-|-|
Duifrereesto ien tmeneurd e	--|----|----⌫---⌫|-----|-⌫|
Un shuemlesfistse mondre.	--⌫|---|--|---|--⌫-----||
Sentencefu donee contreus .	-------|-|----|----|--||
Ilno renten toutleplet qui les desfendis t	-||-⌫---|-|---|-|---|--|--|---------⌫|
Ditliempereres que cele	--|-|--------|--|---|
s ent enceneleurnuitri ensmesse ilfurent	-⌫---⌫---|-|---|---|--⌫--|--|-|-|-----|
desfendupartuteurouparcurateurouparp ro curateur	-------|--|-----|-|--|-------|-|--|-⌫--⌫-------|
àdroitorden éetsentence est donee	-|----|-----⌫-|-|-------|--|----|
encont re eus l a sentence leurnuirase	------⌫-|--|-⌫|-------|---|----|-|
i ln epourchacen trestitucion.	-⌫|-⌫|----------⌫|----------||
Liemperer esditS e	-|-------⌫-|--|-⌫|
letuteurou le cour ateurdecelu iqui est mene ur	-|-----|-|-|----⌫----|-|----⌫|--|--|----⌫-|
anz pledepour liet leiuge	--|----|---|-|-|-|---|
donas entence e ncontrelilemeneurpeu tporchacier restituci onausi	---|-⌫------|-⌫------|-|-|-----|---⌫|---------|---------⌫-|---|
comese l asenten cefustdon e e	---|-|-⌫|------⌫-|---|---⌫-⌫|
enc o ntrelui.	---⌫-⌫---|--||
Ci monstre comentlimeindres	-|------|-----|-|-------|
doitest reresta bl izdesa	---|---⌫-|-----⌫--⌫-|-|-|
chos euendue.	----⌫|-----||
Cis ttitreensa ngn eque	---⌫|----|----⌫---⌫|--|
doit estre fets e	---|----|--|-⌫|
le meneurde	-|-----|-|
anzdemande restitucio n contre la uen te quil	--|------|----------⌫|-----|-|---⌫-|-|-|
desachose .	-|-|----||
Iees toiemeneurde	-|--⌫---|-----|-|
anzsiuendiunemoie	--|-|----|--|---|
t eneurepar autoritédeuiugeet sipromiset iurai	-⌫-----|--|--------|--|---|-|-|-----|-|----|
seurs einzqueiamésn e	---|-⌫---|--|-----|-⌫|
pletseurceleuente.	---|---|---|----||
O ruoloieauoir restituc ion contreceleuent e	-⌫|-----|----|--------⌫--|-----|---|----⌫|
si en soupli ailemp ereoret il	-|-|------⌫-||---⌫----|-|-|
merespontSaches que parmau torite ́ n e n	-|------|-----|--|--||--⌫------⌫||-⌫|
uen drascontre ton sairement ne nedeu oies	---⌫---|-----|--|--------|-|-|---⌫---|
auoirespe r ancequeiefusseauto rité	----|----⌫-⌫---|--|-|----|----⌫----|
de ton pariure.	-|--|------||
Seurcestelo iestsegniee un eautantiq u enoue le	---|----|--⌫|--|------|--⌫|--------⌫-⌫|----⌫-|
quefistliem pe reres Frederic	--|---|-|--⌫--⌫----|-------|
l aieldecestui quioreestet	|---|-|-----|--|--|--|-|
ditissi nt Essairemen z des	--|----⌫-|-|--------⌫|--|
h omesq ui	-⌫---|-⌫-|
sontentre.	---|----||
a nzquil font par	-⌫-|-|-|---|--|
l or uolentésanznulef orce	-⌫-|-------|---|---|-⌫---|
noscomandonsqu ilsoi entgardéfermem ent cequil	--|--------|-|-|---⌫--|-----|------⌫--|-|-|-|
fontpournonra peler	---|---|--|--⌫----|
leur marc hi ez.	---|----⌫--⌫-||
M esceussair emenz	-⌫-|---|----⌫----|
fezparforceou parp aornedoiu ent e stre	--|--|----|-|--|-⌫--|-|----⌫--|-⌫---|
gardéneissele sfon t ceus	-----|---|-|--⌫|---⌫|---|
qui ontpassez.	--|--|-----||
anz et meesme mentquan tsont fez– s eur	--|-|------⌫---|----⌫|---|--||-⌫--|
ceq uilnese claimentdemal nede	-|-⌫|-|-|-|-------|-|--|-|-|
honte–si lont r eceu e.	----||-||--|-⌫----⌫||
Li e m p ereres Coste ntindit Il estpouru euasmeneursde	-|-⌫-⌫-⌫-----|-----⌫---|--|-|--|-----⌫-|-|------|-|
anzcontrel esu entesquisont fetes parfeintise	--|-----|-⌫-|-⌫----|--|---|----|--|-------|
et contrele saguezdes	-|-----|--⌫|----|--|
tuteursetdes curateursparrestitucionenterine	------|-|--|--------|--|----------|-------|
qui es t e st abli e par loi	--|--⌫|-⌫--⌫----⌫|--|--|
Ci ditdelmeneurqiueutest reresta blizcontre	-|--|--|-----|-|---|---⌫-|-----⌫---|-----|
la uen tede songage	-|---⌫-|-|--|---|
Ci uie ntun	-|---⌫-|-|
tit requim o s tr equ edoitestr equa ntle	---⌫-|--|-⌫-⌫-⌫--⌫|--⌫|---|----⌫|---⌫-|-|
meneur de.	-----|-||
anzdemande	--|------|
restitucionco ntr e	----------|--⌫---⌫|
lauent ede sa c hose	-|----⌫|-|-|-⌫---|
quiestoitengages	--|-----|-|----|
Liempereres	-|--------|
Diocl icienditNo nseulementcontrelauente	-----⌫----|--|--⌫|--------|-----|-|----|
chose ontlesmen eursde	----|--|--|---⌫---|-|
an zres tituci one nt er ine mesencore contrel auente	--⌫|---⌫------⌫-|-⌫--⌫--⌫--|--|-----|-----|-⌫|----|
deleurgaie quiuend en tlescreanciers .	-|---|---|--|----⌫--⌫|--|---------||
Poso mdo nque s que	----⌫|--⌫----⌫|--|
frere s estoient meneurs de	-----⌫|-------|------|-|
an zle ursteneu resfurent en g agi eesen p re ́suend ue suoloien t	--⌫|--⌫--|-----⌫--|-----|--⌫-⌫---⌫--|--⌫-⌫--⌫-|----⌫--⌫|-------⌫|
lesrec ourerpar l empereoretilleur	--|---⌫----|--||-------|-|-|---|
re spontSeuo sauezmoutg rant	--⌫----|-|--⌫|---|---|-⌫---|
domageencele uent e uosauroiz re stitucion	-----|-|---|----⌫|--|-----|--⌫--------|
enterineme imementcaruosestes encoremeneur	-------|--⌫------|--|--|----|-----|-----|
Duifrereestoi entl eurperee sto itmortquiauoitengagié	--|----|-----⌫--|-⌫--|---|-⌫---⌫-|---|--|----|-------|
un echose.	--⌫|----||
C illau oloientrec ourerpource	-⌫-|-|-⌫------|---⌫----|-----|
quilestoient meneurde .	-|-|-------|-----|-||
empereres ditqu eleurdesir rier n	--------|--|--⌫|---|-----⌫---||
estmie resnabl e etce meimesdro itest	--|--|-------⌫|-|-|-----|---⌫-|--|
se uosfust esoir	-|--|----⌫-|--|
estrangemesselecreancier	-------|--|-|-|--------|
neses t contenu	-||--⌫|------|
loiaum entuosdeuezplediercontre liou	------⌫--|--|----|------|-----|-|-|
contre uoztu te urset curateurs .	-----|--|--⌫--⌫--|-|--------||
Ci parole desdonacionsqifontc i l	-|-----|--|--------|-|---|-⌫-⌫|
anz seillesp euent rape ler.	--|-|-|--|-⌫----|----⌫--||
Cisttitreparoleq ua ntle	---|----|-----|-⌫--⌫-|-|
men e urdoneaucune	---⌫-⌫-|---|-----|
ch ose etpui s	--⌫--|-|---⌫|
ueut r ap elersa	---|-⌫--⌫---|-|
donac ionparr estit ucio n.	-----⌫--|--|-⌫-----⌫----⌫||
De ceme tcesteloitelcasUn b acheler	-|-|--⌫|----|--|--|--|-|-⌫------|
auo i tfianci ee unefemm esilalaueoir	---⌫-⌫|------⌫-|--|----⌫|-||--|----|
auec s on cur ate ur et	---|-⌫-|---⌫---⌫-|-|
illi dona ioiausetmeint es	-|-|---|-----|-|-----⌫-|
ra pe lerledo npourcequ iles to it m e neur	--⌫--⌫--|-|--⌫|-----|-|-|--⌫--⌫-|-⌫-⌫---|
a nzetliemperer es dit q ue ne	-⌫-|-|-|-------⌫-|--|-⌫-|-|
doitestrera pel é.	---|----|--⌫---⌫-||
Un huemauoit.	-|---|----||
auoit t rez	----|-⌫--|
de sapoo stéilleurdonaunetene ure	-|-|---⌫---|-|---|---|--|----⌫--|
apréslaparti e de l undonaà	-----|-|-----⌫|-||-|---|-|
unaut rehome.	-|---⌫-|---||
Di tli em pereres quilne leurpouoitriens toudre	--⌫|-|--⌫------|-|-|-|---|-----|----|-----|
dece qui leur	-|-|-||---|
auoit doné.	----|----||
Nese celuicuipartieilauoit donee	-|-|----|--|-----|-|----|----|
seasentià la	-|-----|-|-|
d onac ion que liperesfistapr e ́s il neperd i	-⌫----⌫--|--|-|----|---|---⌫-⌫-|-|-|----⌫|
sas egnor ie dec ele chosepou r lauto rité	-|-⌫-----⌫-|-|-⌫--|----|---⌫||----⌫----|
d u c onsei ll du se natquidesfentqu e le	-⌫|-⌫-----⌫-|-|--⌫--|--|------|--⌫|-|
estrangie rnule	---------⌫|---|
teneur esanz l	------⌫|---||
autoritédeuiuge neaided erestituci onni	--------|--|---|-|---|-⌫|---------⌫-|||
a me stier.	|--⌫----||
Mesesautre scho sesqu i p ueentestreest rangiees sanz autori te ́	--|-|-----⌫|---⌫--|--⌫|-⌫----|----|---⌫-------|---|------⌫--⌫|
deiug es epuisque li	-|---⌫|-⌫|---|--|-|
peresles i	----|--||
aura d on eesil consentquelepereles doi nt	---|-⌫--⌫--|-|------|--|-|---|--|---⌫-|
àautrededenz laa gede	-|----|-----||--⌫-|-|
anzpourapourchacierre st ituc ion.	--|----|----------|--⌫--⌫----⌫--||
Ci ditc omentcil	-|--|-⌫----|--|
qiest meind r esde.	-|--|-----⌫-⌫-|-||
a nzp uetrapelerfranch ise qil a donee	-⌫-|-⌫--|------|------⌫--||-||----|
Cisttitreparoledeu meneu r de .	---|----|-----|--|-----⌫|-||
anzquifranchi t son ser fetp uis uelt	--|--|-------⌫|--|---⌫|-|-⌫--|---|
auoirre stitucionpour rapelerla fra nchis eetdece	----|--⌫--------|---|------|-|---⌫-----⌫|-|-|-|
di stcesteprumi ereloi ein sin t U nshuemenson	--⌫-|----|-----⌫--|--|---⌫---⌫|-⌫-|---|-|--|
testamen tauoitcoumandé à so n	--------⌫|----|--------|-|--⌫|
ilfranchistsonserf parsi	-|--------|--|---|--|-|
liures p oursame.	-----|-⌫--||--||
C istse rf uintaupreuostsi	-⌫--|--⌫-|---|-|------|-|
fist semondrelefuiz sons egneurpourc e quil	---|-------|-|---|--|-⌫-----|-----⌫|-|-|
lef ranch ist .	-|-⌫-----⌫--||
Lepreuost d it parsas entence à	-|------|-⌫-|--|-|-⌫------|-|
cel u alletquiestoitmeneur de	--|-⌫----|--|-----|-----|-|
a nzquil deuoitfranchi r celserf.	-⌫-|-|-|-----|-------⌫|--|---||
Cis tuall e zdemanda à l empereo r s eil	---⌫|----⌫-⌫|------|-||-------⌫|-⌫|-|
po uroitauoir	--⌫----|----|
restitucio ncont r ecele sen tenceet ilrespontSe tu	----------⌫|----⌫-⌫|---|---⌫----|-|-|------|-|-|
nase ncorefranchicelserfseloncle	|-|-⌫----|------|--|---|-----|-|
comandementde u preuo sttup uez rapelersa	----------|--⌫|-----⌫-|-|-⌫--|------|-|
se ntenceparres ti tucionmessetu donasla	--⌫-----|--|---⌫--⌫-----|--|-|-|----|-|
franchiseiasoitce que n edeuoiesnela	--------|-|---|-|--|-⌫|------|-|-|
puezrapeler mes	---|------|--|
t up uezdem a nderà tes	-⌫|-⌫--|---⌫-⌫---|-|--|
tuteu rsqilt	-----⌫-||-||
amende ntlesdomag e s que tuasde	------⌫-|--|-----⌫-⌫|--|-|-|-|
cepar acc ionde	-|--|---⌫--|-|
beso ngnesfe tes.	----⌫----|--⌫--||
Une femmemene urde.	--|----|----⌫-|-||
a nz franchisonser f pardeuant le pre uost.	-⌫-|------|--|---⌫|--|-----|-|---⌫---||
Or disoi t quil l	-|-----⌫|-|-||
auoitengingnieesiuoloit rapel erso n fet .	----|---------|-|-----|-----⌫-|--⌫|--||
Dit liempereresq ue	--|-|--------|-⌫-|
lafranchiss e q ui siso lemementest	-|---------⌫|-⌫-|-|--⌫-------|--|
doneenepeu testrerapelee	----|-|---⌫|----|------|
mesleiug ed oit fere quecelui	--|-|---⌫|-⌫--|---|--|----|
quieste insifranch i	--|--|-⌫---|------⌫|
pars onbaratam ent	--|-⌫-|----|--⌫--|
ledomage àlafemmeseloncque	-|-----|-|-|----|-----|--|
raiso n re quiert	-----⌫|--⌫-----|
Meneur de.	-----|-||
anz ne peutfranch ir	--|-|---|------⌫-|
son serf secenest l ào ùle	--|---|-|-||--|-⌫-|-⌫-|-|
comundelauil esasemble etpar chose resnable	----|-|-|---⌫||------|-|--|----|-------|
quisoitprouee	--|---|-----|
Orposomt e l qu asDuifrerem e neurde	-|----|-⌫-⌫|--⌫-|--|----|-⌫-⌫---|-|
an zfranchire nt a uc unsl eur sser s.	--⌫|---------⌫-|-⌫--⌫--|-⌫---⌫|---⌫||
Or uoloie n t r apelerleu r	-|------⌫-⌫|-⌫-----|---⌫|
fet p ar r es titucion	--|-⌫-|-⌫--⌫-------|
etl iem pereresleurdit	-|-⌫|--⌫------|---|--|
franchistescexqueuosuoulez r ap eleren	----------|--|--|--|-----|-⌫--⌫---|-|
seruitudeenconcilepar deuant lepreuostpar raison	--------|-|------|--|-----|-|------|--|-----|
p roueeet uosestes mene ur de	-⌫----|-|--|----|----⌫-|-|
anzuos l es pouez rapelerpardroit sanzrestitucioncar	--|--|-⌫-|----|------|--|----|---|----------|--|
telfra nchi sement neualtriens mes se	--|---⌫----⌫-----|-|---|----|--|-|
uoslesfranchistespar raison p roueeuosnepoez auoir	--|--|----------|--|-----|-⌫----|--|-|---|----|
restitu cionenterine contrelafranc hise	-------⌫---|-------|-----|-|-----⌫---|
Mess euos e stesengingniezence pa r	--|-⌫|--|-⌫---|---------|-|-|--⌫|
la coupe ou par lebaratdeuost recurateur	-|----|-|--|-|----|-|----⌫-|-------|
quiest uost re franchilei ugecomandera quele	--|--|----⌫-|------|-|-⌫--|--------|--|-|
d omageuo s soitrestoré	-⌫----|--⌫|---|-------|
Et sele iugeconoistq ueleba rat	-|-|-|---|------|-⌫-|-|--⌫--|
deuostrecurateur	-|-----|-------|
est moutap e rtilen feraplu s	--|---|--⌫-⌫-|-|-|---|---⌫|
dur e ueni ance.	---⌫|----⌫---||
Li emperere Diocliciend itSe senten ceest doneeeniuise	-|-------|---------|-⌫-|-|------⌫-|--|----|-|----|
decausedefra nchisepourlafranch is e	-|----|-|---⌫-----|---|-|------⌫--⌫|
i asoitce que delau trepartie soit	-⌫|---|-|--|-||--⌫--|-----|---|
men orde .	---⌫-|-||
anzcelesenten ce nepuetestrerapelee.	--|---|------⌫-|-|---|----|------||
Cideuise seuns mo indre sde.	-|-----|-|--|--⌫-----⌫|-||
a nz puetrapeler un epa isqi l	-⌫-|---|------|--⌫|--⌫-||-⌫|
Ciuientunautretitrequidit se le	-|----|-|----|----|--|--|-|-|
meneu rd e.	-----⌫|-⌫||
an z ueutestrerestituicontresa	--⌫|---|----|-------|-----|-|
tra nsaccionq uilafet eencontred euisement .	---⌫-------|-⌫|-||---⌫|-------|-⌫--------||
U ne damo ise lequi	-⌫-|----⌫---⌫-|--|
estoi tmeneur	-----⌫|-----|
unetransaccionendeuisementapréssilar apelapar	--|----------|-|---------|-----|-|-|-⌫----|--|
resti tucio n.	-----⌫-----⌫||
Ditli e npererequesona uer saire puet user contre	--|-|-⌫------|--|--|-⌫---⌫----|---|---|-----|
lide ses accionsqu il auoitdeuant.	-|-|--|------|-|-|----|-----||
Li emper er esditàmoiquilide mandoie	-|-----⌫--⌫-|--|-|--|--|-|--⌫------|
con se illS etuauoies fetetransaccion o tes	---⌫--⌫--|-⌫|-|-----|---|----------||--|
auersaires eti l lontrapeleepourc e	---------|-|-⌫||--|------|-----⌫|
men eurde .	---⌫--|-||
an z tu pourrasfere	--⌫|-|------|---|
tademandederechie f.	-|------|--------⌫||
Etseilmetent auantexcepcion	-|-|-|-----|----|--------|
d elatransaccion tu rapelerasque ilso nt	-⌫|-|----------|-|--------|--|-|--⌫-|
uenuzencon treet po u rcene	----|-----⌫--|-|--⌫-⌫|-|-|
leurd oitualo irouse t accio nestmorte	---|-⌫--|----⌫-|-|-||-----⌫|--|----|
se rado neeporle	--⌫-|--⌫--|--|-|
restore m entdel acause	-------⌫-⌫--|-|-⌫|----|
Cideui ses e li	-|----⌫-|-⌫|-|
me indresde.	--⌫-----|-||
estre res tabli zenc on tr esapaie.	----|---⌫-----⌫|---⌫--⌫--⌫|-|---||
Cisttitrepa role	---|----|--⌫---|
quant l emeneur de mande res t i tucio n	----|-⌫|-----|--⌫----|---⌫-⌫-⌫-----⌫|
paiequ ilfetà	---|-|-|--|-|
s oncreancierousondeteurli	-⌫-|--------|-|--|-----|-|
fet et illegasteou lepert.	--|-|-|-|----|-|-|---||
Liemperer esDio cl iciansdit	-|-------⌫-|---⌫--⌫-----|--|
Aus icomeles autresdete ursdelmeneurde	---⌫|---|--|-----|----⌫--|--|-----|-|
anz saquitent seilp aientà	--||-------|-|-|-⌫----|-|
son tuteurou a ̀	--|-----|-|-⌫|
soncura teurausi les	--|----⌫---|---|--|
tuteursse ceq uildoiu ent desbeso ngnes quil	------|-|-|-⌫|-|----⌫--|--|----⌫----|-|-|
o ntmeneespaie ntas curateu rsmesle	-⌫-|-----|----⌫-|-|-------⌫-|--|-|
mene u rpaitauant	----⌫-⌫|---|----|
qui laiepasséletens	-|-⌫|--|-----|-|---|
dedem ander	-|---⌫----|
restit ucionenterin eseiladomaie en	------⌫----|-------⌫|-|-||-----|-|
ce lep aieetleiug edoitbien	--⌫-|-⌫--|-|-|---⌫|---|---|
