O rentendéz	-⌫|--------|
Ce st eterreest a monc onmandeme nt Nia	--⌫--⌫|----|--||--|-⌫---------⌫-||||
euesque neface	------|-|---|
mon t al ent	--|-⌫--⌫--|
Nushom niap armaistri enoient	--|--||||-⌫-|-------⌫|-----|
Laissiézl a croceque iela	--------|-⌫|----|--|-|-|
uoz deffenz	--|------|
Nonferai dammepa rlemienencientS enuers	--|----|----|--⌫|-|---|------||-----|
Ami a uéz nulmaut alent	--|-⌫---|--|----⌫----|
G u erpizson	-⌫-⌫----|--|
litnel laissiézpor	--|--|--------|--|
N e l itenéz ne fo i	-⌫|-⌫|-----|-|--⌫|
nesai remen t	-|---⌫-----⌫|
l auéz me nt ie	|----|--⌫--⌫-|
L ubiasest al euesque meslee	-⌫----|--|||------|-----|
Et cler setlai dela	-|----⌫|-|--|-|-|
uille l ese uent	----|-⌫|--⌫---|
Texn e sen e stenco rgarde donnee	--|-⌫||-|-⌫-|----⌫|----|-----|
Q uilesgardac o m	-⌫-||------|-⌫-⌫|
iluaitpar lestree	-|---|--||-----|
Di stlunsa lautre coiementa	--⌫-||--|||----|-------||
De monseignororesgar dézcompere	-|--|------|-|-----⌫---|------|
Grosale nésseli	---||-|---|-|-|
enflelaleure	----|-|----|
E tcomlaores	-⌫|--|||---|
cont remont rebif f ee	----⌫-----|-----⌫-⌫-|
Dro it a madammeq uemalestmariee	---⌫-||-|----|-⌫-|--|--|-----|
Lubiassi s esttantporalee	-----|-||--|---|------|
A srich eshomesa	-⌫|----⌫-|----||
donnees soudees	------|------|
Eta sborioispiaulsde	-|-⌫|------|-----|-|
mar treaffumblees	---⌫--|---------|
Icellegens s est el mon stier	-----|---||--|-|---⌫----|
Ettuitensam bleal	-|---|-----⌫--|||
euesquecrierent	------|-------|
au éz uoz nostredammeau il l ee	--⌫--|--|-----|----|--⌫--⌫-⌫-|
Qua unmeze ll	-||-|----⌫||
auéz f aite priuee	----|-⌫---|-----|
Dexdistleuesques	--|---||-------|
q uellel a uéztrou uee	-⌫----||-⌫---|----⌫--|
Autr esei gnor uoléz q ui uozagree	----⌫|---⌫---|-----|-⌫-|--|----|
Auma tinnetsoitma	-|--⌫-----|---|-|
dammeapres t ee	----|-----⌫-⌫-|
Atrois euesquesso itlachose	|----|-------|--⌫-|-|----|
Ciconuientiestre	-|-------|-----|
al aprime sonn ee	|-⌫|----|----⌫-|
Amis oitlaraisonsmonstr e e	--|-⌫--|-|------|------⌫-⌫|
E t laparol eenlasa lepauee	-⌫|-|-----⌫|-|-|--⌫-|----|
Dexm aïtli	--||---|-|
G lor ioz li	-⌫---⌫--|-|
Neluoilparmoide struire	--|---|--|--|--⌫------|
Aumatinnetq uant	-|-------|-⌫---|
clere parutl	----|----||
Gransf ula	----|-⌫|-|
corsdes e u esques	---|--|-⌫-⌫-----|
touzquatre	---|-----|
Amimont e rent enlasa le	--|----⌫-⌫---|-|-|--⌫-|
leu oientgentementl e narrais nent	-|-⌫----|--------||-⌫|------⌫---|
Gentiz homsirec omuoziest ezma lade	-----|--|---|-⌫-|--|----⌫-|--⌫---|
Tre stouzli cors et	---⌫----|-|---|-|
li me mbreuozardent	-|--⌫---|--|-----|
D ex con mandapor uoirque	-⌫-|---⌫----|--|---|--|
fuissiézladres	--------|-----|
Quantuoz morrézqueuostrearmesoit sal ue	----|--|------|--|-----|---|---|---⌫-|
Dexdi st li cuens gelpreingen bonnegra ce	--|--⌫-|-|----|--|-----|-|----|---⌫-|
Maiscar pro iéz	---|--|---⌫---|
Lubiaslagaill a rde	-----|-|-----⌫-⌫--|
Pere esper itable	---|-----⌫-----|
De sonauoi r un	-|--|----⌫|-|
hospitalme face	-------|-|---|
Fo rsdel aui lle	--⌫-|-|-⌫|--⌫--|
a la portede	|-|----|-|
reliefde satable	-----|-|-|----|
Queien im uireadoloret aglaiue	--|-|||-⌫---||----|-||-----|
M oultferagra n t	-⌫---|---|---⌫-⌫|
Li haut demain neetliprinc e	-|---|------⌫-|-|-|-----⌫|
Lub iaspr oi enttuit	---⌫--|--⌫--⌫--|---|
ensamblele ior	-------|-|--|
Quela uitailleli otroit	--|-|-------|-|-----|
Ellesifistmaintenant	---|-|---|---------|
honnisseli	-------|-|
Pere sg loriouz	----⌫|-⌫------|
Quel ecouu entlifa illi	--|-⌫|----⌫--|-|--⌫---|
Dammeldexlamaud ie	--------|-|----⌫-|
Amis fu audois	---|-|-|---|
Enuironluimaintbaron cheualier	------|--|----|----|--------|
Seign ordistil	-----⌫-|---|-|
fa itezp ais simoiéz	--⌫---|-⌫--|-||----|
En cesteu illequi moul tf aita pris ier	-|----|-⌫---|--|----⌫|-⌫--||----⌫--|
Iei uingcert ezbien aset anse ntiers	-||---|----⌫-|---||--|--|-⌫-----|
cistmausencom brépar pechi é	---|---|-----⌫---|--|-----⌫-|
Liroimeïsmez qui	-|--|-------|--|
Francea a baillierMi ot donné	-----|||-------|||-|-----|
moi ll i er	---⌫--⌫-⌫-|
Cestemesc hin ne	----|----⌫---⌫-|
au gent corsafaitié	-|---|---|-------|
Elle estmoultio ne uoldra soi	---|--|----|--⌫-|-----|--|
enuoisier Selle mesprent por	--------||---|-------|--|
chas toie ́z	----⌫----⌫-|
Unfil enaicelui	-|--|-|-|----|
tené zuoz chier	-----⌫|--|----|
Girars lidamm oisiauslegiers	-----|-|----⌫------|------|
Par lui te nréz uozterresetuosfiés	--|--|--⌫----|--|-----|-|--|----|
Etsil iaseria n sn echeualier s	-||-|||-----⌫-⌫|-⌫|---------⌫|
Neunneautre	-|-|-|----|
nepreuostne do ien	-|------|-|--⌫--|
Qui e nue rs moiait	--|-⌫---⌫-|--|--|
fraitesamist ié	-----||-----⌫--|
Nesairementdescorpépar	-|--------|--------|--|
Sicomo n fai tson	-|--|-⌫|---⌫|--|
s eignordroiturie r	-⌫-----|---------⌫|
pardoinsle	-------|-|
Telfacea moiqu eiemieus	--|---||--|--⌫|-|----|
q uierAcequedis tl i	-⌫---||-|--|---⌫|-⌫|
ua illansch eualiersSestoitpasmees atre s fausse moilliers	--⌫-----|--⌫-------||-----|-----|-⌫|---⌫|-----|--------|
reli eue si conmenc ea	----⌫--|-|-------⌫||
G entizhoms ire t antdolans	-⌫----|--|-⌫--|-⌫--|-----|
nozlaissiézAcespar ole sdi en t licheualier	--|--------||--|---⌫---⌫|--⌫--⌫|-|--------|
H éuaill an scue nsco m	-⌫-|-----⌫--⌫|---⌫-|--⌫|
tuno zlaisiriéz	-|--⌫|---|-----|
Et corresou ztrist e s etg ram oiézA	-|--------⌫|-----⌫-⌫|-|-⌫---⌫----||
tants enpasmentplu sorpor	---||-|------|---⌫--|--|
Lubias prinst	-----|-----|
un ostelqui	-|----|--|
Bla iuies lalef istredrescier	---⌫----|-|-|-⌫--|---------|
uo ldra harberg i er	--⌫---|-------⌫-⌫-|
P roc essionifaitgra ntli	-⌫---⌫-----||---|---⌫-|-|
Puis senreto rnent enla cité arri er s	---||-|----⌫----|-|-|----|----⌫--⌫|
Dexcom grant due l	--|--|----|---⌫|
demainnent	---------|
A mistouz seuls enla bitacle	-⌫--|---|----|-||-⌫------|
Touz c orre souzetdolansetmalades	---|-⌫----⌫---|-|-----|-|------|
Nu s homqu isoitp oruoir	--⌫|--|--⌫|---|-⌫-|---|
n eli re g arde	-⌫|||--⌫-⌫---|
Girarssesfizsen	-----|--|--||-|
donn esouu entg ardeN ot	----⌫|----⌫--|-⌫---||-|
que setansmoult otpetitd	--|--|--|----|-|----||
Etnonp orq uantsotilt an t decoraige	-|----⌫---⌫---||-|-|-⌫--⌫|-|------|
Quilpren tlepainquan til puet sor la	-|-|----⌫|-|---|----⌫|-|---|--|-|
Porte sonper e lafo rsenlabi tacle	----|--|---⌫|-|--⌫-|-||---⌫----|
uoitlesa meresil e	---|-|-|---|-|-⌫|
chos eet menace	----⌫|-|-----|
Que ncon t ret e rreetapoi ns eta paum es	-|-⌫----⌫-⌫-|-⌫-⌫--|-||---⌫-|-||----⌫-|
Lebatra tantque iparr ont	-|----|---|--||----⌫--|
Fiza mezela delgi et	--||----||-----⌫-|
Ianiertunsiors queporlui	-||---|--|---|--|--|--|
Ia neuerrézun moisapréz	-|-|------|-|---|-----|
Que sor le coltemetrai	--|--|-|--|-|-----|
telparrast r e S	--|-------⌫-⌫||
te tue il fera	-|--|-|---|
tropquelas ches	---|--|---⌫---|
Por lammor	--||----|
deton pereLanfes	-|--|---||----|
Girarsparmi lasalefuit	-----|----|-|---|---|
So r une tablean	--⌫|--|----|-|
mont aenpiés su s	----⌫|-|----|--⌫|
Ormescoutézliu iel	-||--------|-|-⌫--|
et lichenu	-|-|----|
Moulta ma merele	----||-|---|-|
mien peresouduit	---|---|------|
Que sesmalaigesnefust	--|--|-------|-|---|
awan seüz	---|----|
Dex maïtse salain gue nef ust	--||---|-|-|----⌫--|-|-⌫--|
Filaputain feltra ïtre p ariur	--||-----|--|---⌫----|-⌫----|
Quiconsentistezquellemaitsibat u	--|-----------|-|---||--|-|---⌫|
Deu ant lui gardesi	---⌫--|--|----|-|
unfust Asonp ooir	-|---||--|-⌫---|
lele u a am ont	-|--⌫-⌫|--⌫--|
Parm il eschiésena	----⌫|-⌫-|-----|-||
quatre fer uz	-----|---⌫-|
E nfuies torne ntliuiel et li	-⌫|----|-----⌫-|-|---|-|-|
Di st lunsala u tre	--⌫-||--|||-⌫-⌫--|
Cist sesta p e rceüz	---||--|-⌫-⌫-⌫-----|
D exle garisse li	-⌫-|-|------|-|
Peresdelass uz	----|-|----⌫-|
Parluirauronznosterres	--|--|------|--|-----|
Gir ars aualelesdeg réz	---⌫--|----|--|---⌫---|
Enlacuis ineenest	-|-|----⌫--|-|--|
moulttost ale ́z	----|---|---⌫-|
treuuerostiet	-----|----|-|
Ou uoit leque usi	-|---|-|---⌫|-|
Fi zaput ain fel lechier resprouuéz	--⌫||---⌫--|--|-------⌫--|-------|
or lemienpere	-|-|---|---|
I lnemenia des lund iaudisner	-⌫|-|----|--|----⌫|-|-----|
Etiuesdi s esttro pliest	-|------⌫|--|---⌫|-|--|
Alézi tostce stpoon lipo rtéz	----||---|--⌫-|---|-|--⌫----|
Etcilrespont	-|--|------|
Defolie parléz	-|----|------|
Queuostre mer e mauroit	--|-----|---⌫||-----|
semprestu é	------|--⌫-|
Girarsl ententl e	-----||-----|-⌫|
sens cuidedesuer	---|----|-----|
Deuant luigar de siaunpe ltrouu é	-----|--|---⌫-|-||-|--⌫|-----⌫-|
Fiertle glou t o n	----|-|----⌫-⌫-⌫|
la oufuanclinéz	-|-|-|--------|
Me rueillozcopliat antostdonné	--⌫-------|--|-||-⌫-----|-----|
Toutdroitemententrefrontetle nés	---|---------|----|----|-|-|---|
Quelacerue llefist el foieruoler	--|-|-----⌫--|---|-|----|----|
Puisl iadit	---|-⌫||--|
Lechierresc iestéz	---------|-⌫|-----|
Sifaitm estieruoz uoilie	-----|-⌫-----|--|---|-|
bienmonstrer	---|-------|
Lidui leuoient	-|--|-|-----|
sontespoanté	---|--------|
G irartapelle nt	-⌫----|------⌫-|
Fransdammois i ax membréz	----|-------⌫-⌫-|-------|
Nozi ironzseu o zle conmandéz	--||----|-|-⌫-⌫|-|---------|
bienparl é	---|----⌫-|
cuisin esens o nttu it troi e ntré	------⌫||-|-⌫-⌫-|--⌫-|---|-⌫----|
uitaillesont charg iéettrorséA lospi tal	-------|---|-----⌫--|-|------|||----⌫--|
Amiresgarde rLeuelido nn entet si	--|--------⌫||--|-|--⌫--⌫--|-|-|
lontfait lauer	|--|---|----|
Girarslitaillelidammoisiax memb réz	-----|-|-----|-|---------|----⌫---|
Mengiézbiax	-------|---|
pere moult uoz aid e moré	---|----|--|-|-⌫-⌫----|
Dex maït quienc roi s	--||---|--|-|-⌫---⌫|
Ien e poiainzuen irn er etor ne r	-|-⌫|--|---|---⌫-|-⌫|-⌫----⌫--⌫|
Girarslicont eli dammoisiaus	-----|-|----⌫|-|----------|
Co nmentsa merelael pa lais mené	--⌫----|-|---|||-|--⌫---|----|
Licu enslententsiconme ncea	-|--⌫--||-----|-|-----⌫--||
Girarsli baiseetlaboucheetle	-----|-|----|-|-|-----|-|-|
Fizdist li cuen s ensusdem oi estéz	--|---|-|----⌫|----|-|-⌫-|-----|
Quecistmalaiges dontiesui	--|---|-------|---|-|--|
en combréz	--⌫-------|
Est sidel mondeetdou	--|-|--|----|-|--|
si ecleen uiltéz	--⌫---|-|------|
Nusnemen contreq uide	--|-||--⌫-----|-⌫-|-|
mereso itnés	---|--⌫-|---|
Nes end estort quil	-||-|-⌫-----|-|-|
ne moseale ner	-||--|---⌫--|
De foli eparlé z	-|----⌫|------⌫|
Lauostre charsnem	-|-----|----|-||
iert iae nuilt é	---|-|-⌫|----⌫-|
Ansoizmestdouceetmoult	-----||--|----|-|----|
bonneetsoéz	----|-|----|
Etpar lapo strecui	-|--||---⌫---|--|
Dexdonnabongré	--|----|--|---|
Seuo ze nuoine fuïrnealer	-|--⌫|-⌫|--|-|----|-|---|
Girai ouoz se ie men	|---||--|-|-||-|
pui storner	---⌫|-----|
Plus loial home demoini trou ue réz	---|----|---|-|--|||----⌫--⌫---|
De la uit aille dou	-|-|---⌫----|--|
pain que rrai por Dé	---|---⌫---|--|--|
uolent ierslef eroi e	------⌫---|-|-⌫----⌫|
maisor ne saiquantc	---|-|-|--|----||
uo z remanréz si serézcheualiers	--⌫|--------|-|-----|---------|
Sigardere ́zu oz honors etuozfiéz	-|-------⌫-|-⌫-|-----|-|--|----|
Gira rsquant ses	----⌫-|----|--|
pere otmeng ié	---|-|----⌫--|
mere lemenaceet	---|-|-----|-|
Encontreterreetasp oi nzet aspi és	-------|----|-|-|-⌫--⌫-|-|-|--⌫--|
Ell e ena pelledo uzbaronscheualiers	---⌫|-|-⌫----|--⌫-|-----|---------|
Par d r oi teforcelefait p anre	--|-⌫-⌫--⌫-|----|-|---|-⌫---|
D esoz la torl	-⌫---|-|--||
ont misenunc elier	--|--|-|-|-⌫----|
Orcroista u conte etpainneetencombrier	-|-----|-⌫|----|-|-----|-|---------|
De faimmorir	-|---|----|
naura quemengier	|---|--|------|
Dammeldexne npanse	--------||-⌫|----|
Undiemen c hequeilfu esclairié	-|------⌫-⌫-|--|-|-|---------|
Lubi as s aetu estu	----⌫-|||-|-⌫---|
etchaucié	-|-------|
apelle d ouz desescheualiers	-----|-⌫--|-|--|---------|
Messe e tmatinnesu aoïr	----|-⌫|-------|-⌫|---|
a umonstier	-⌫|-------|
Par defors	--|-----|
Blaiuies aumo nstier	-------|-|--⌫-----|
Deu antli uai tu n siouglers de	---⌫--|-|---⌫|-⌫-⌫|-------|-|
Quili uielle dam mors	--|-|-----||--⌫---|
et damm istiéS elle cr eü stmoult feïst a	-||---⌫-----||-|-|--⌫---⌫-|----|-----||
Licuensmalades les	-|----|------|--|
aoïnoisierAso npooirsest uestus	|--|------||--⌫|----||--|-----|
etc hauciéz	-|-⌫-------|
lencontre loruient	|-------|--|----|
Nepuet e st era	-|---|-⌫--⌫-||
late rresass iet	-|--⌫--||---⌫--|
Quant illesuitenuerslui	----|-|--|--|-----|--|
apro c hierAun bastons est li cuensapuiéz	----⌫-⌫---||-|-----||--|-|----|------|
Asonpooi rco nmensa a huchier	|--|----⌫|--⌫-----||------|
Lubiasdamme fa itezpaissimoiéz	-----|----|--⌫---|---|-||----|
Quant forsde	----|---|-|
Bla iuiesmef eïstezgietier	---⌫----|-|-⌫------|------|
Dex ma ïten	--||-⌫--|-|
cou uent mauiiéz	---⌫---||------|
uitail le auroie uolentiers	------⌫-|-----|---------|
O rmuert defaimuostre las p rouuendie rs	-⌫|----|-|---|-----|--|-⌫---------⌫-|
disete zse	------⌫|-|
Dex me puis taidier	--|-|----⌫|-----|
dammeanquenuitdou relief	----|--------|--|-----|
Qu ich ietat erre desoz entreuos	--⌫|--⌫--||-⌫---|----|----|--|
Ialemen iuentbrac het et leuer ier	-|-|---⌫----|----⌫--|-|-----⌫--|
Miex uozuenist quelem enuoïssiéz	---|--|-----|--|-||-----------|
folie ne malen feïs siéz	----|-|--|-|-----⌫----|
Lafaus sel	-|----⌫-||
oitma intenantrespondié	--|--⌫-------|---------|
Sire malades troppo ézanuier	---|------|---|--⌫--|-----|
Tostauéz oresap rin sa	---|----|---|--⌫---⌫||
p orchac ier	-⌫------⌫--|
Quantieuozf iz	----|-|--|-⌫-|
B lai uiesgi et ier	-⌫---⌫---|--⌫--⌫--|
Disoientmoi	-------|--|
se riantet cheu al ier	--⌫----|-|----⌫--⌫--|
Que morrié z tostgairesneuiueriéz	--|-------⌫|---|-----|-|--------|
Or uoz uoi si sai n etsauf	-|--|--|-|---⌫|-|---|
Deunep lacequitout a a iugier	--|-|-⌫---|--|---|||-----|
Que uouz soié z passé zun	--|---|-----⌫|------⌫|-|
mois enti er	---|----⌫-|
Tr op en su iannui ie	--⌫-|-|--⌫|-----⌫-|
Ellee napelle cheuali ers et b or iois	---|-⌫|-----|-------⌫--|-|-⌫--⌫---|
Bar on dist elle por	---⌫-|---|---|--|
Deu conseillié zmoi	--|-----------⌫|--|
Icistmalade smoci rraseluiloist	----|------⌫||---⌫--|-|--|----|
Il uoldro i t	-|------⌫-⌫|
orparl a foique	-|--|-⌫|--|--|
Quetouz limons	--|---|-|---|
fustmeziaus auec soi	---|------|---|--|
Unscheualiersla	--|---------|-|
tra istau nconsoil	---⌫--||-⌫|------|
D exle maudiequihaut siete tloinguoit	-⌫-|-|-----|--|---|---|-⌫|----|---|
Dammedistilente nd éz	----|---|-|----⌫--⌫--|
Ie uozdirais iluozplaist bonconsoil	-|--|----||-|--|-----|--|------|
Faite zcrierlebanque nu sn e	-----⌫|----|-|--|--|--⌫|-⌫|
Neunsneautres ch eu alier s	-|--|-|-----|--⌫--⌫-----⌫|
Ami resgarder mais de smois	--|--------|---|--⌫|---|
N equ ilidoinstdequoiil u i ueunsoir	-⌫|--⌫|-|-----|-|---|-|-⌫-⌫-|-|---|
To uzimo rr aparlafoiq ueuoz	--⌫-||--⌫--⌫|--|-|--|-⌫-|--|
Et distlafa usse	-|---|-|--⌫---|
Ci amoultbo nconso il	-||----|--⌫|-----⌫-|
Elleenapelle	---|-|-----|
Bricaudeld	--------||
O rle nois	-⌫---⌫---|
uasi m e cri em onban que nu snes oit	-|-|-⌫|---⌫|-⌫-|--|--|--⌫|-|-⌫--|
i aitcheual ierneboriois	|--|------⌫--|-|------|
Qu i uoist	--⌫|----|
Amiresgarde rmaisdesm o is	--|--------⌫|---|--|-⌫-⌫-|
Nequ ilidoinst d e	-|--⌫|-|-----|-⌫|
quoiiluiueunsoir	---|-|---|-|---|
Orimorraet defa imet desoif	-||----|-|-|--⌫-|-|-|---|
Li cuensdefra ncheorine	-|----|-|---⌫---|----|
Bricaudelparlau illec riantAsauois	--------|--|-|-⌫---|-⌫----||-|---|
c lere sesc riafie r emen t	-⌫---||---⌫--|---⌫-⌫----⌫|
Depar madammeu oz	-|--|-|----|-⌫-|
criome zun	------⌫|-|
aitescuiernes eri ant	--|------|-|-⌫---⌫--|
Necheualierhomenulneanf ant	-|--------|---|--|-|---⌫--|
Ami resgarderm aisawan	--|--------|-⌫--|---|
Nequi lidoinstundenier uaillissant	-|--|-|-----|-|-----|----------|
Orimorra parlemien enciant	-||----|--|-|---|------|
Dammeldex ne npanse	--------||-⌫|----|
Enlospital	-||------|
fuseusreme ́z	-|---|----⌫-|
osenealer ne uen ir	--|-|---|-|---⌫-|
Lub iasiauoitle	---⌫--||----|-|
Lamal e dammecui	-|---⌫|----|--|
Dexpuistmalei ̈r	--|----|-----⌫-|
Nemais duiserfqueli	-|---|--|---|--|-|
cuensotnorris	----|-|-----|
E t achaté z a denie r scemestuis A	-⌫|-------⌫||-----⌫-⌫|-||--|--||
Lu biasen ontleconsoilprins	--⌫---|-|--|-|------|----|
Lu biasdamme parlessainsque	--⌫---|----|--|--|----|--|
Orest pech iézse	-|--|----⌫---|-|
Damme ldex m aït	-----⌫---||---|
Celgent ilhome	--|----⌫-|---|
laissiézdefai mmorir	--------|-|---⌫|----|
Carnoz d on ne ́z congie ́ deluiseru ir	--|--|-⌫--⌫--⌫-|------⌫|-|--|----⌫-|
enmenronsen estra ng es	-|------|-|-----⌫--⌫-|
Laliquerronzetdou painetdouui n	-|-|-------|-|--|---|-|--|--⌫|
Et d ela charpor	-|-⌫|-|---|--|
Deuquin ementi	--|--|-⌫|----|
Etdist lafaus se	-|---|-|----⌫-|
Et ie leuozotri	-|-|-|--|---|
Seuo zlefaitez	-|--⌫|-|-----|
ainsizcomlauéz dit	-----|--||----|--|
Quelegieti ézdou regne	--|-|-----⌫--|--|----|
etdoupa i ̈s	-|--|--⌫-⌫-|
Quene l ueïss ene	--|--⌫|------⌫|-|
alerne ue ni r	---|-|--⌫--⌫|
Ieuoz d o nro iemon murletarrab i	-|--|-⌫-⌫---⌫-|--|-----|-----⌫|
Ettr enteliures dedeniers	-|--⌫---|-----|-|------|
liontfianciéet	-|--|-------|-|
Elle lordo n nelesd eniers sans mentir	---|--|--⌫-⌫-|--|-⌫-----|---|-----|
Etsil ordonnesonmurlet arrabi	-|-|-⌫-|----|--|-----|-----|
Etcil en fontgrantioie	-|--|-|---|----|---|
Haym mesfurent prouetnobile	----⌫--|-----|---|-|-----|
Aumainselieuent endr oitored eprime	-|---|-|------|----⌫--|--|-⌫|----|
Sisontu enuiusqu	-|---|-⌫--|----|
a lo stelerie	||-⌫-------|
Amimou ltbel ementlidient	--|---⌫-|---⌫----|-|----|
Caruoz leue ́zhuima is biaustres doz	--|--|----⌫-|-----⌫-|----|---|--|
