apr esde ceque sainz	---⌫-|-|-|--|----|
lasseroit lacitel a	--------|-|---|-⌫|
queleilen t andoit	----|-|--⌫-⌫-----|
sub metrea	---⌫----||
nun n ostreseignorpor	--|-⌫----|------|--|
secorre sononcle oulassier sononcle et	------|--|----|-|------|--|----|-|
combatreen corcontre laci te	-------|--⌫--|-----|-|--⌫-|
e tc ilpertrois iorset per	-⌫|-⌫-|--|----|---|-|--|
troisnuizsanz man gieretsanzboi re se	----|---|---|---⌫---|-|---|---⌫-|-|
mistaprie resensamble	---||----⌫--|-------|
e tcomanc a	-⌫|------⌫|
deuapel ere naideetditbeaus siredexihe su	--|----⌫-|-⌫|---|-|--|----|---|--|---⌫-|
deu lep ere	--|-|-⌫--|
q uideu isas ettrabuch asp ha raon et monas	-⌫-|---⌫---|-|-------⌫-|-⌫--⌫---|-|----|
tonpupleperle desert et	--|----|--|-|-----|-|
fe rism ain tesgenz qui	--⌫--|-⌫---⌫--|---|--|
lore stoien tadu ersaire et occia sles	--|-⌫------⌫|---⌫------|-|-----⌫|--|
forsroisseon leroidesamorreeins et	---|---|---|-|--|--|---------|-|
ogleroidebasan	-|-|--|-|----|
et toz les reiaumesd echana ame tdon asl or	-|--|--|-------|-⌫|-----⌫-|-⌫|---⌫-|-⌫-|
terreen heritaige	----|-|--------|
puplede i sraelquiihercofeis trabuchierle	----|-|-⌫----|--|-----|---|---------|-|
s epti me iorquilfuenuironésanz bataille	-⌫----⌫-|--|-|-|-|--------|---|-------|
ets anze ngintu	-|-⌫--|-⌫---|-|
beaus sire d estruila	----|---|-⌫-----|-|
for cedeceste cite	---⌫-|-|----|---|
ettote l arm uireentonbrazpuisantetles	-|---||---⌫---|-|--|---|------|-|--|
apress esique lipaine gentqu i sefient	------⌫|----|-|----|---|--⌫|-|----|
enlo rforceetenlorapre s t enunp asen	-|--⌫|----|-|-|--|----⌫-⌫-⌫|--|-⌫-|-|
toicoignosse ntquetuesd euxueras	--|---------⌫-|--|-|-|-⌫--|----|
roisde s rois tozpuissanzdeffen derresetgarderresdes	---|--⌫|---|----------|------⌫-----|-|--------|--|
cres t ie ns quiuize t reignes san zfinaueclepe re	----⌫-⌫--⌫-|--|--|-⌫|------|---⌫|--|---|-|--⌫-|
etlesaintesperit	-|-|----|------|
faitecesteprierea	----|----|-----||
t iersior limu r	-⌫---|--|-|--⌫|
delacitecheirent	-|-|---|-------|
totatoret r oolanzetl isue ntan	--|---|-|-⌫-----|-|-⌫|---⌫-|-|
gete rent les paiensetoccirent	----⌫---|--|-----|-|-------|
etdes enquis an al aia	-|--|----||-|--⌫-||
charlesononcleetledeliurai d eces qui	-----|--|----|-|-|-------|-⌫|--|--|
essagiéperlaideded e.	-------|--||---|-|-⌫||
sai n zturpi nsarceuesquesderai ns uesquiun	---⌫-⌫|-----⌫-|----------|-|---⌫-|-----|-|
t em psapresla mort ka rle	-⌫--⌫-|----|-|---|--⌫--|
et trespa ssai e n	-|------⌫---|-⌫|
nos t reseignorauianneet fu mis enune eglise	---⌫-⌫-|------||-----|-|-|--|-|--|-----|
outre le roi n edelezl acite.	----|-|---⌫-⌫|----|-⌫|---||
etlecorsd ec eluiaucu n	-|-|---|-⌫|-⌫---|----⌫|
cle rsanost r etem ps lemi s trent en un	---⌫-||----⌫-⌫|---⌫-|-|--⌫-⌫----|-|-|
sercuil uestudes ornemanz de au esqueetle trou er entencor	------|----|--|-------|-|--⌫----|-|-|----⌫--⌫--|----|
tot entierdecharet en	--|-----|-|---|-|-|
osetdesceleegli sequiestoitgastee	-|-|--|---|----⌫-|--|-----|-----|
le porterenten lacite etle	-|--------|-|-|---|-|-|
seue lisserente n une autreengl ise	----⌫--------|-⌫|--|----|----⌫--|
oil esta randr oit aoré.	|-|--|-⌫-----⌫--|----||
l on doitcroirequecilqui so ffriren tmartyre	-⌫-|---|-----|--|--|--|--⌫-------⌫|------|
en aspaigneporno st r eseignor	-|-------|--|--⌫--⌫-⌫|------|
q u ilso ient coron é enp aredis	-⌫|-|--⌫---|-----⌫-|-|-⌫-----|
etiesa ceque charleset	-|-|-|-|--|------|-|
naientsof fertmort	|----|---⌫---|---|
a u ec r oo lant etoli uie r et	-⌫-⌫-|-⌫--⌫---|-|---⌫---⌫|-|
lesautres martyrsto teuo ie	--|-----|------|--⌫-|--⌫-|
sontilparcen ierdelorcorone	---|-|------⌫--|-|--|-----|
porcequil s offrirentaue ccesles	--|-|-|-|-⌫--------|---⌫|--|--|
dolors deplaiesde	-----|-|-----|-|
b atemanzetde	-⌫------|-|-|
autreslabors	-----|-----|
qu arausicum	--⌫-|---|--|
ditliapostressenos	--|-|-------|-|--|
auonseste ́ compaig nundespassions ausi	----|----⌫|-------⌫--|--|-------|---|
seronsnos compaignu net parcenie rdes	-----|--|---------⌫|-|--------⌫|--|
consol ationsetpor	------⌫-----|-|--|
ceilsonta bondroi tapele ́mar t yr.	-|-|---||--|----⌫|-----⌫|---⌫-⌫-||
rool anzr oll esdes cience	----⌫--|-⌫---⌫-|-|-⌫-----|
quartozroisettoz pr incepsensoigno itde	---|--|---|-|--|--⌫-----|--------⌫-|-|
sascien ce.	-|-----⌫-||
oliuiersbersdemisericorde quar	-------|---|-|----------|---|
ilfudebonaireset	-|-|---------|-|
miseri co rs sustozen parole s et en	------⌫--⌫-|--|--|-|------⌫|-|-|
charleslumierede charquartozr ois charn es	------|------|-|---|---|--|-⌫--|-----⌫-|
apres ihesu critil	----|----|---|-|
sormontai p erla lumiere de	--------|-⌫-|-|------|-|
totesuertuzd e	----|-----|-⌫|
science etd epr o ace.	------|-|-⌫|--⌫-⌫--||
turpins nonmie	------|--|--|
laiz quar en luinos tparoles	---|---|-|--||--⌫|------|
neouresl ai desalayy kal e nd esde	-|----|-⌫--⌫--||-|-|---⌫-⌫--⌫-|-|
ioignetce luiio rqui sof frirent mortdoiton celebrer	------|--⌫--|--⌫|-||---⌫------|---|---|-|-------|
uig ilesmessede morz	---⌫---|----|-|---|
ensamble lespr opr esobseques	-------|--|--⌫---⌫-|-------|
et le shoresnu nmie	-|--⌫|----|--⌫|--|
tan tsolemant porl e scombateorsch arle mas	---⌫|-------|--|-⌫-⌫|---------|--⌫---|--|
cesqu id es celuitempsiu squea randroitse son t	--|--⌫|-⌫-|----|----|--⌫---|-⌫-------|-|---⌫|
combatue nespaigneeteniher us alemquiontr ecehu ma rt yre	------|-⌫|-------|-|-|----⌫--⌫---|--|--|-⌫----|--⌫--⌫--|
f o iih esucrist.	-⌫-⌫|--⌫--|----||
ila uientapre s lam ort charl equealtumaiorde c ornube	-|-⌫----|----⌫|-|-⌫--|-----⌫|--|--------|-|-⌫-----|
sealleuai etditquela ter r e de galice et	-|------|-|--|--|-|---⌫-⌫|-|-----|-|
de espaigneque charles au oittolluea ses de uantiers	-|-------|--|------|--⌫--|-----||--|--⌫-------|
qu illapanro it et	-|-|-|-----⌫-|-|
metroit arr iersa la loisarrazine	------|---⌫---||-|--|--------|
etetg rant ot et	-|-|-⌫---|-|-|
gast aito te la terredecaiet d e laiiusque	----⌫-|--⌫-|-|----|-|--|-|-⌫|--|-----|
qu il ui e nta	-|-|--⌫-⌫-||
la citedesaint	-|---|-|----|
iasq ueet d estruitquamque il i tr ouaiet gastaitote	----⌫-|-|-⌫------|------|-||--⌫---|-|-----|---|
l engliseetan ostailesliuresles table sd	|------|-|-|----|--|-----|--|-----⌫||
argen t etlesautr e sornemanz.	-----⌫|-|--|----⌫-⌫|-------||
etcumlis a rrazinfusie nt	-|--|-|-⌫-⌫-----|-----⌫-|
h ostelée nsamble lorcheuasdedan zl engl ise	-⌫------|-⌫------|--|-----|-----⌫||----⌫--|
ilfacoient lororduires	-|-------|--|-------|
suslaute l d elap ostre.	--||----⌫|-⌫||--⌫----||
uan gencenostr eseignorli	---⌫----|-----⌫|------|-|
un moroie nt	-|------⌫-|
de la li autre	-|-|-|----|
per doientles	---⌫-----|--|
eauz etaloient	---|-|------|
p erlac it e e t perl englise	-⌫-|-|-⌫--⌫|-⌫|--||------|
trabuch a nt.	-------⌫-⌫-||
et c um altumaiorsot cele enfermete	-|-⌫-|---------|-|---|--------|
perleconsoil	--|-|------|
dunprouoirequiestoit	|-|-------|--|-----|
p ris il comanca i	-⌫--|-|-------⌫|
aapelerledeudes	|-----|-|--|--|
crestiens en aide	--------|-|---|
etditot udexdes crestiens li dexiaque	-|--||-⌫|--|--|--------|-|--|----|
l idexmarielidexpier re	-⌫|--|----|-|--|----⌫-|
lide x mar tinli dex de	-|--⌫|---⌫--|-|--|-|
t ozcres tiensse tume	-⌫-|----⌫----|-|-|-|
donesma p remieresanteierenoieraimahomet	----|-|-⌫------|----|-|--------|------|
neuanraiplus a l englise i as que legrant por	-|-----|---|||------|-⌫--⌫--|-|----|--|
otu iaquesg r a nzber ssetume	|-|-----|-⌫-⌫-⌫-|---⌫|-|-|-|
donessant e a	----|----⌫||
monuant reeta	--|----⌫-|-||
meseauzie te randrai qu amque i	--|---|-|-|------|--⌫----||
aipr isenta maison.	-|--⌫-|-|-|-----||
etapresy yiors t otes ch osesen d ouplerestablies	-|----|-⌫|---|-⌫---|--⌫---|-|-⌫----|---------|
a ltum aiorfuarr iers asa premieresante	-⌫----⌫---|-|---⌫---||-|-------|----|
etsan a laidelaterre	-||-|-⌫--|-|-|----|
saint ia qu e etpromi stqueplusni repaireroitpo r	----|--⌫--⌫|-|-----⌫-|--|---|||----------|--⌫|
causederap ine et praachiet l e	----|-|---⌫--|-|--------|-⌫|
deu descrestiensetiasquee st regrant	--|--|--------|-|-----|-⌫--⌫-|----|
de senquisanalaigasta ntper	--⌫|----||-|---|-----⌫-|--|
espaigne tantqu il ui en t a uneu i leq uon	-------|-----|-|--⌫--⌫||--|-⌫-⌫-|-⌫|-|
ditorniz ou ilauoitu n ebeleengli se	--|----|-|-|----|-⌫-⌫|---|-----⌫-|
desaintrom ain aornee de	-|----|---⌫--|-----|-|
paile sdeliures decroiz da rgentetdeautres	-----⌫|-|-----|-|----||-⌫----|-|-|-----|
ornemanzdore z la quelealtumaiordesrobai ettotela	-------|----⌫|-|----|--------|-------|-|---|-|
uil ede struit .	---⌫|--⌫-----||
etcome ilfu sthostelez enceleuile	-|---|-|--⌫-|-------|-|---|---|
lostantraien	|--|-----|-|
lengliseetpr ist unmaillotde fer	|------|-|--⌫--|-|------|-|--|
etco mancai aferir susunecolo medoree	-|--⌫-----||----|--|--|----⌫-|----|
porauoirloret l argent	--|----||-|-||-----|
etuoloitdestruiretote l	-|-----|--------|---||
m asperla uangencenostre	-⌫-|--|-|-------|-----|
se ignor cilhonsfumuezenpierre	--⌫----|--|---|-|---|-|-----|
etencoreesten	-|-----|--|-|
ensa mblancedehome etaitelecolor	-|--⌫------|-|---|-|-|---|----|
cum l ir obeousarrazin a uoitadonque setdit	--|-⌫|-⌫--|-|-------|-⌫---|-------⌫|-|--|
celep ierrepu t .	---|-⌫----|--⌫||
etquantalt umaiors ce uit	-|----|---⌫------|-|--|
s es priuezueramantgr anz est lid exd escrest ie nset	-⌫-|-----|-------|--⌫--|--|-|-⌫-|-⌫-|-----⌫--⌫-|-|
grantglo i reli doitondonerquiai	----|---⌫-⌫-|-|---|-|----|--|-|
t esserianz quiapres lormortseuang entsi	-⌫-|------|--|----|--|---|-|----⌫--|-|
fo rtdel orcontra i res.	--⌫-|-|-⌫-|------⌫-⌫--||
i aques quima uoittollu	-⌫----|--||-⌫---|----|
lalumiere demeseauz	-|------|-|--|---|
et lam airand uestplusde bonaires	-|-||-|----⌫|--|---|--⌫-------|
queromai n sq uiaifai t	--|-----⌫-⌫|-⌫-|-|---⌫|
m onho mepierreet ne	-⌫-|--⌫-|-----|-|-|
ande cesco ntrees.	-|-|--|--⌫-----||
etlipaie nsetsesozs anzfo it	-|-|----⌫-|-|--|-||--|--⌫-|
et ne fu nunsonquespuisossezd euenir	-|-|-|---|-----|---|----|-⌫|----|
por gasterlaterresaintiasqu e.	--|-----|-|----|----|-----⌫||
i ulius cesar enu oiaenaspaigne	-⌫----|----|---⌫--|-|-------|
lesnubiensles esquoz	--|------|--|-----|
etlescornubiens q uoezetlorcomandaiqu il	-|--|---------|-⌫---|-|--|-------|-|-|
occiassient t ozle s	----------|-⌫-|--⌫|
masl e s etles fammestant so ulemant gardassient	----⌫-⌫|-|--|-----|---|--⌫------|----------|
porcequi l	--|-|-|-⌫|
neuoloien tr andr elortra h u.	-|-------⌫|-⌫----⌫|--|---⌫-⌫||
et ci lant rere ntpermer en cele	-|--⌫|---⌫----⌫-|--|--|-|---|
terre e t depece rentlorn e z etgas terenta feuet	----|-⌫|------⌫---|--|-⌫-⌫|-|---⌫-----||--|-|
aglaiu e totela terredes	|-----⌫|---|-|----|--|
barceneiusqueasarragoceet	------|-----||--------|-|
des b aioneiusqueam ont d e oqu e.	--|-⌫----|-----||-⌫--|-⌫|---⌫||
etli cast ela inle sgeterentde	-|-|----⌫---⌫-|--⌫|-------|-|
lor terre.	--|----||
etcil san foire ntiusqu e as monzqu i sont	-|--||-|-----⌫-|-----⌫|-|---|--⌫|---|
entr e nagereetpanpil oineuersmaritimeen	----⌫|-----|-|------⌫---|---|-------|-|
la terreb iscagie	-|----|-⌫------|
e t alaue ouli h abitant auoien tfait maintes chasteauset	-⌫|----|-|-|-⌫------|------⌫|---|------|--------|-|
enqu io ccirren ttoz	----⌫|-⌫-------⌫|--|
l esmasle setretindrent lesfammes	-⌫-|-----⌫|-|---------|--|-----|
desquexilenge ndre rent	--|---|-|----⌫----⌫---|
anfanzet por	-----|-|--|
so ntap e lé nauarroi sc est adire	--⌫-|--⌫-⌫--|--------⌫||--||---|
ne mie ueraslignie	-|--|----|-----|
ou sontditnauarrois une	-|---|--|--------|--|
i l uin drent	-⌫|---⌫----|
p remi ersqu iestenceles contreesla	-⌫----⌫--|--⌫|--|-|----|-------|-|
quelesain z matheseuangelistesconuerti caie na r riers	----|----⌫|-----|-----------|-------|--|-⌫|-⌫-⌫----|
parsa p redication .	--|-|-⌫---------||
