O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Iliatraïs on orsome s	-|||------⌫-|-|----⌫|
- Sirece dist	|---|-|---|
Estousdel uosconuient	-----||-|--|-------|
Orprenons tostles	-|------|---|--|
armess ansplusde demorer	----|-⌫--|---|-|------|
Et cil sifi rentsempre s	-|--|-|--⌫---|------⌫|
del areste r	-||------⌫|
Etuindrent as establesquant	-|-------|-|-------|----|
illotcommande ́	-||-|--------⌫|
Etmo ntentescheuaus quan t	-|--⌫----|-|------|----⌫|
ilfurentarmé.	-|-----|----||
Etlib aron cheuau chentles	-|-|-⌫---|------⌫----|--|
fra ins abandone ́s	---⌫--|--------⌫-|
Pa r la gast eposter ne en.	--⌫|-|----⌫|------⌫-|-||
I.gastef ossé	||----|-⌫----|
Ilsecorront Guion qui	-|--------|----|--|
qu endoiepeser.	-|-|---|----||
Mai sliuiexHuidelonf u mult g enti setber	---⌫|-|---|-------|-⌫|---|-⌫----⌫|-|--|
roi Gu iontintbien	--|--⌫--|---|---|
sa loiauté .	-|-------||
o rguilleus fu cheualiernobiles	-⌫--------|-|--------|------|
Et preudometloiau set pla in des ei gnorie	-|------|-|-----⌫|-|---⌫-|-|-⌫--⌫-----|
Quantuitu enir sonfil	----|--|-⌫---|--|--|
ola gent paienie	|-|---|------|
Lor sottelduelaucuer tous	---⌫|-|--|---|-|---|---|
l i sansli fremie	-⌫|---|-|-----|
Ila pris. I.	-||---||||
espie lparuertulepaumie	-----⌫|--|----|-|-----|
Et broche lede strier	-|-----|-|--⌫-----|
p armu l t grantaramie.	-⌫-|--⌫-⌫|----|-----||
LepremierTurc fe r isorla targeflori e	-|------|---|--⌫-⌫|--|-|----|-----⌫|
Qu eilli afand uetlabroigne sartie	--⌫|-|-||----⌫|-|-|------|-----|
Mortl a b atdo ucheu alàhaute uois	---||-⌫-⌫-|--⌫|----⌫-|-|----|---|
Fil àput aindistilmalua isegen thaïe	--|-|---⌫--|---|-|-----⌫--|---⌫|----|
Ilnianulde uos de	-||||--|-|--|-|
sigrantseig norie	-|----|----⌫----|
Se iluie ntplu s a uant	-|-|---⌫-|---⌫|-⌫---|
parma bar b e flori e	--|-|---⌫-⌫|-----⌫|
perde la testeà lespée fo rbie	----|-|----|-||-----|--⌫---|
QuantSaras inlent endentch ascuns s a	----|-----⌫-||---⌫-----|--⌫-----|-⌫|
resnetire.	----|---||
EtHuide lonliuieus àlabarb e	-|-----⌫--|-|----|-|-|----⌫|
ledestrierparlaresnele tire	-|-------|--|-|----|-|---|
ue nusesta ̀Guionsi	--⌫--|--|-⌫|----|-|
lia prisa ̀dire	-||---|-⌫|---|
Siremon téstantost n e	---|---⌫---|------|-⌫|
uosesmaie ́ smie.	--|------⌫-⌫|--||
P arMa homet monDieuq uitota en baillie	-⌫-|--⌫----|--|---|-⌫-|--||-|------|
u os n i perdréshuim ès	-⌫-|||-------|----⌫--|
membre necors	-----|-|---|
E t lienfes respontGransmercisb iaus	-⌫|-|----|------|----|-----|-⌫---|
dous sire .	---|---||
EtDanemons cheuauche qui	-|-------|--------|--|
nesatargemie	-||-----|--|
c heual mul tbon queli suenli randirent.	-⌫----|---⌫|--|--|-|---|-|--------||
Atantesuo sB ertransetsac heualerie	----|-|--⌫|-⌫------|-|-|-⌫--------|
Quiipoignentensemble c hascunsanDieusefie.	--||-------|-------|-⌫------|-|---|-|--||
Quan tHui d elonle uoit to usli	----⌫|---⌫-⌫---|-|---|--⌫-|-|
sansli fr e mie	---|-|--⌫-⌫--|
anesfréanelmescréésuous mie .	-|------|--|---------|---|--||
HUIDELON l	-------||
orguilleus fu cheu alier	---------|-|----⌫----|
u itnos Françoizquiuienenttous armés	-⌫-|--|--------|--|------|---|-----|
Bertrans uenoit	-------|-----|
deuant.I. arpentmesur é	-----||||-----|-----⌫-|
QuantHuide lon leuoitsiliaescrié	----|-----⌫--|-|---|-|-||------|
Qui uosfistdelatourissirne deualer	--|--|---|-|-|---|----|-|------|
-Sirenostrebesoi ng ia ne	|---|-----|-----⌫-|-|-|
le quierce ler.	-|----|--⌫--||
N o s uéismes issirSarasinse tEsc le rs	-⌫-⌫|-------|----|-------|-⌫|---⌫--⌫-|
Siue nimessecourr ece gentilbacheler	-|--⌫----|-------⌫|-|-----|-------|
-Parmonchiefce dit	|--|--|----|-|--|
Huidres mult auésditque ber .	------|---|----|--|--|--||
M al ementm ame sfilsDragolant	-⌫--⌫----|||--⌫|---|--------|
Queien erepart out de tr aïson reté	--||-|--|----⌫--|-|--⌫-----|----|
Iequit àlaco urKarleseraiaudoi	-|---|-|-|--⌫-|----|----|-|--|
m ostr é.	-⌫----⌫-||
Où qu eiluoitGuio n	--|--⌫|-|---|----⌫|
are sté s	---⌫----⌫|
D am oisiau sdebona iresàmoienent and és	-⌫--⌫------⌫|------⌫---|-|--|-|---⌫---⌫--|
auésen uous et pro escee t	----|-|---|-|---⌫---|-⌫|
Queuosenlo stKarl o nmeuousissiésm ener	--|--|-||-⌫-|----⌫-⌫|-|----------|-⌫---|
Queien is oieen trausle dengiés ne chos és	--|-|||-⌫--|--⌫-|--|--⌫-------|-|----⌫--|
Aui ugementdesFransmeuol drai	-|-⌫------|--|----|-|---⌫---|
a torn er.	-⌫----⌫-||
Queseai enuer suouscon traï treserré	--|-|-|-----⌫|---|--|-----⌫---|----|
Ieuoi lperdre materre et	-|---⌫|-----|-|----|-|
totemire te ́	---||---⌫--⌫|
E tmesfils	-⌫|--|---|
Drag olant aura le chief	----⌫----|---|-|----|
-Sire distl enf esGuis ma ruos e smaierés	|---|---||---⌫-|---|--⌫|--|-⌫--------|
SeDiexplai st	-|---|----⌫-|
e tsamereb ien condu isi serés	-⌫|-|---|-⌫--|-----⌫-||-----|
Seuospariuge mentni estesesg a rdez	-|--|--|----⌫---|||----|---⌫-⌫---|
Sique ian iper drés.	-|--|-|||---⌫----||
II.den iers monéés .	-||---⌫---|-------||
Puis de spoillesesdrassisest tousdesa rm és.	---|--⌫------|--|---|-||--|---|----⌫--⌫--||
Aprèsle fistli enfe s	-----|-|---|-|----⌫|
de ri chesdr as	-|--⌫---|--⌫-|
Lo rs n ot ilplus b elhomeenla crest ienté	--⌫-||-|-|---|-⌫-|---|-|-|-----⌫-----|
AtantesHuidelon et sonriche b a rné	----|-|-------|-|--|----|-⌫-⌫---|
Qui d escendentà terre	--|-⌫--------|-|----|
desdes triers	--|---⌫-----|
seiornés .	--------||
Oùqu eil u oitGuion	--|--⌫|-|-⌫--|----|
Ensonsara sinoismul tbia ulasalué	-|--|----⌫-----|---⌫|---⌫|||-----|
SireDiexuou sgarisseoù u o créan ceaués	---|---|---⌫|------|--|-⌫|------⌫-|----|
-AmiscedistlianfesDiexuos puiss e	|---|-|---|-|----|---|--|-----⌫|
Et f aceuost re co rs	-|-⌫--|----⌫-|--⌫-|
bautisiere t leuer	--------|-⌫|----|
Etliroi sDanemont a Guion re ga rdé	-|-|---⌫|-------||----|--⌫--⌫---|
Mu ltl a bienconne ́ uquantil	--⌫-|||---|-----⌫-⌫|----|-|
laaui sé.	||---⌫--||
HUIDELON lorguille us	-------||--------⌫-|
trefass is	---|---⌫-|
Etsi duc et	-|-|--|-|
s icontesiprincee tsim arcis	-⌫|----|-|-----|-⌫|-|-⌫----|
Tuit lienfantdeFrance	---|-|-----|-|-----|
cor entle roiuéir.	---⌫--|-|--|----||
Et Dane mont	-|----⌫---|
r egardeleroiGuion	-⌫-----|-|--|----|
Sonper een	--|---⌫|-|
apel aHuide lonle	----⌫|-----⌫--|-|
ParMahomet biaus sireice sa chiésde	--|------|----|---|--|--⌫-----|-|
Quece stli cheua liers àc ui	--||-⌫-|-|-----⌫----|-|-⌫-|
mecombati.	-|------||
-T aistoid ist Huid elon tuies musars et bris	|-⌫--|--|-⌫--|----⌫---|-|--|-----|-|---|
SeFrançoi stapercoiuent bien	-|--------⌫||----------|---|
tenp uet estrepis	|-|-⌫--|----|--|
cidesTur squeD iex puist	-|--|---⌫|--|-⌫--|----|
Sid ironsdeKa rlo nle	-|-⌫----|-|--⌫---⌫|-|
roideSaintDe n is	--|-|----|--⌫-⌫-|
Quifudeu antLuisernecorec ̧o us et	--|-|---⌫--|-------|-----⌫--⌫-|-|
Ogierenape laetN aimonleflori	----|-|---⌫-|-|-⌫----|-|----|
Seignorce dist liroisie	------|-|---|-|---|-|
su imultmaubaillis	--⌫|---|---------|
De Bertrantle uassalq ui	-|-------|-|-----|-⌫-|
le presant mefist	-|------|-|---|
sescompaignon squ i uindrentauec	--|----------⌫|--⌫|-------|---|
ontbi enoubliéd ece qu e ie lor	--|--⌫-|------|-⌫|-|--⌫|-|--|
roi mamen assent	--||----⌫-----|
que uoloieue ́ir	--|-----|--⌫--|
iuenra pasta nt comi esoie uis	|----|--|--⌫-|--|-⌫|---|--|
SeDiexmel ai sseencor dece	-|---|-|-⌫--⌫--|----|-|-|
siegeparti r	----|-----⌫|
Ieme n quitrepairier en	-||-⌫|---|--------|-|
F ran ce se ieuif.	-⌫---⌫-|-|-|--||
auramesfai t queie feraimorir.	---|------⌫|--|-|----|----||
- Siredistl idusNaimesen tendezenuers	|---|---|-⌫|--|-----|--⌫-----|-----|
Se mesconsausestoit en tandus ne oïs	-|--|------|-----|--⌫-----|-|---|
uospan ro i sdeuoshomesde	--|---⌫--⌫-⌫|-|--|----|-|
Sifai tesleroi	-|---⌫--|-|--|
querre que uosd esiréssi	-----|--|--|-⌫------|-|
a ̀ nostreostsansnes.I.	-⌫|-----|--|---|--||||
c ontredi t.	-⌫-------⌫||
EtrespontKarlemaines DusNa imesa lé s y	-|------|----------|--|--⌫---|-⌫---⌫||
EntreuousetOg ieretlArde nois	----|---|-|--⌫--|-||----⌫---|
E tS anson deBorgoignele cheualier hardi	-⌫|-⌫----|-|--------|-|--------|----|
S ilidit es quil	-⌫|-|---⌫-|-|-|
uiegne .I .p o iparler àmi	-----||||-⌫-⌫|-----|-|-|
Qui lmefacesecorss ilue ut etie	-|-⌫|-|---|-----||-|--⌫-|-|-|
L i b arons apar e illent el	-⌫|-⌫---||----⌫-⌫-----|-|
demain parmatin.	-----|--|----||
Bienfurent .X IIm .sorles cheua us	---|-----||-⌫--||--|--|-----⌫-|
De tous les meillorh omesetde s	-|---|--|------|-⌫---|-|--⌫|
plus bie nap ris.	---|---⌫|--⌫--||
DeKarlemaine sont s eure ́etdeparti	-|---------|---|-⌫----⌫|-|------|
Maintenantsarouter enteten trentel che min.	---------||-------⌫--|-|--⌫----|-|---⌫--||
Deciqueà Carsaudenepristrent	-|-|--|-|-------|-|--------|
Maispornoie nti	---|--|----⌫-||
uont liroiss an	---|-|---||-|
AMo ntorgu eilestoit	|--⌫------⌫--|-----|
passésest l itie rs di s	------|--|-⌫|---⌫-|--⌫|
Etli baronsentor nentque	-|-|----||-|---⌫---|--|
Teus.IIII . iorse rrerentnepristrentonques fin	---||---||---|-⌫------|-|--------|-----|--|
Quantc eu int a ucin quime que iorsf u	----|-⌫|-⌫--|-⌫|---⌫----|--|---|-⌫|
es clercis	--⌫------|
Qu i luire nt Montorgue ilqui sorlaroi chesist	-|-⌫|----⌫-|---------⌫-|--|--|-|---⌫--|---|
Siuirentles.IIII .	-------|--||---||
eues où liayman sgist	---|--|-|-----⌫|---|
Sordestreregarder ent parmi.I.prè	--|-----|--------⌫--|----||||---|
C hoisirentlo st Guion le ch eualie r	-⌫--------||-⌫-|----|-|--⌫------⌫|
uir entlestrés	---⌫--|--|----|
de soieyn de s u ermaus et bis	-|---|--⌫--⌫|-⌫-----|-|--|
uirent l esaigles do r dontreluist lipa i ̈ s .	-----|-⌫-|-----||-⌫|---|------|-|--⌫-⌫-⌫||
ce uintdusNaimesen tendésen u ers mi	-|---|--|-----|--⌫------|--⌫-⌫--|-|
LenfesGuisdeBorgo igne	|----|---|-|-----⌫---|
sestleuéspar	|--|-----|--|
uersdestrese regarde uit l esbarons	---|-----|-|------|--|-⌫-|-----|
Quida que cefuïssent pa ie ns etSarasins.	----|--|-|--------|--⌫--⌫-|-|-------||
Bertrant le mes agiera ̀ apeler	-------|-|---⌫----|-⌫|-----|
Guis Enten d és en uersmi	---|-----⌫-⌫--|--⌫---|-|
Ieu oiicimultfiere gent uenir	-|-⌫-|--|---|----|---|----|
Carprené sdeuoshomesdeci	--|------⌫|-|--|----|-|-|
Ceseroitm ult grans hontes	-|-----|-⌫--|----|-----|
sestïons sisopris.	|-------|-|-----||
-Mult uolentiersbiaus si r e dis tBer trans li	|---|---------|----|--⌫-⌫|---⌫|---⌫----|-|
A iceleparole est susse spi és saillis .	|----|-----|--|--|--⌫|--⌫--|------||
uitles uieushomessi	--|--|----|----|-|
uoitGuionsi lidità hauscris	---|----|-|-|--|-|---|---|
Sim a ïtdistilor poésestr efis	-||-⌫--|---|-|-|----|----⌫|--|
Q ue dure mentuosai me Karlesde Sai ntDenis	-⌫-|----⌫---|--|--⌫-|-----|-|---⌫-|----|
uéésdes meillor s	-----|--|-------⌫|
homesde trestotsonpaïs	----|-|------|--|----|
Iluosenuoiequerreie le	-|--|-----|-----|-|-|
sai toutdefi .	--|---|-|-||
Diexce dis tlienfesor	---|-|---⌫|-|----|-|
tanran gemercis	|-|--|-|-----|
Soriestoit	|-||-----|
li per edontsui angenoïs .	-|---⌫|---|--|--------||
Et Ber translire spon tParmonchief	-|---⌫----|-|--⌫----⌫|--|--|----|
- Amis ce dist lienfes	|---|-|---|-|----|
mo iue ́ir.	--⌫|--⌫--||
- Sirec e dis t	|---|-⌫|---⌫|
Bertransto utàuostr epl es ir	-------|--⌫-|-|-----⌫|--⌫--⌫-|
uéslelàtoutdeuant	---|-|--|---|-----|
pelicho n g ris	-------⌫|-⌫--|
Acele blancheb arbequiligistsorle	|---|------|-⌫---|--|-|---|--|-|
Etlia utre s	-|-|-⌫----⌫|
dus Naimes oleguernonflori	--|-----||-|------|----|
Et liautres après	-|-|-----|-----|
li ArdenoisTierr i	-|-------|-----⌫|
Qui estpere sBerartqueuous u éésici	--|--|----⌫|-----|--|---|-⌫----|--|
Etlia utresontpere	-|-|-⌫---|---|---|
asdamoisiausdepris	-|---------|-|---|
Que faitesostoieranest ra ngepaï s	--|-----|------|-|---⌫--⌫--|----⌫|
Quantlienfant	----|-|-----|
l entendentsi c rient à haus	|--------|-|-⌫----|-|---|
SireGuisde	---|---|-|
Borgo i gnefranscheualiersgentis	-----⌫-⌫--|----|---------|-----|
L a i nos alernos	-⌫-⌫|--|---|--|
peresbesiere tconioïr.	----|-----|-⌫|-------||
Quan tlenfesGuis lentent	----⌫||----|---||-----|
siiurasaintDe ni s	-|---|----|--⌫--⌫|
N ia .I.seulde u ous	||||||---|-|-⌫--|
quitant soitdehautpris	--|---|---|-|---|---|
Silse fait àsonpere	|-|-|---|-|--|---|
connoistreneuéi r	---------|-|----⌫|
Quen e liface ancuilech iefdubu	--|-⌫|-|---|----|-|--⌫--|-|-|
Quant lie nfant l	----|-|-⌫----||
ente nd en tes lesuosesfréis	----⌫--⌫--⌫|-|--|--|-------|
Lorsm audient tui tl	---|-⌫------|---⌫||
eurequeGuiss ilong es uit.	---|--|---|-⌫|----⌫-|--||
Se i gnordistHuidel one ntendé senuersmi	--⌫-⌫---|---|------⌫-|-⌫-------⌫|-----|-|
Do nt sontcil	|-⌫-|---|--|
cheualierdont uosmenés telcri	--------|---|--|-----|--|--|
-Biaussi reilsontdeFrance	|----|--⌫-|-|---|-|-----|
d ecestnostrepa ïs	-⌫|---|-----|--⌫--|
Orneu ouspois til	-|-|-⌫--|----⌫|-|
mie seles alonsuéir	--|-|--|----|----|
Et H u idelonre spo ntParmonc hiefnon	-|-⌫-⌫-----|--⌫---⌫-|--|--|-⌫---|--|
paro lese sont	----⌫-|-|---|
ascheuauspris	-|------|---|
Encontrelesuieushomes sont	-------|--|----|----|---|
àla uoi emis	-|-|---⌫|--|
LenfesGuisdeBorgoigne	|----|---|-|--------|
lesaàrai sonmis	--||-|---⌫--|--|
Seignorba rondist	------|--⌫--|---|
il bien puiss iésuousuenir	-|---|-----⌫---|---|----|
EtdusNaimesrespon tqui o tlepoil	-|--|-----|------⌫|--|-⌫|-|---|
Seign o r Dam edie x puisseles uos	-----⌫-⌫|---⌫----⌫|-----|--|--|
cors bene ́ir	---|----⌫--|
Liquelsest roi s	-|----|--|---⌫|
deFr ance bi enlepoons	-|--⌫---|--⌫-|-|----|
chief cedis tGuis il	----|-|---⌫|---|-|
uous sera bien	---|---|---|
-S EIGNO Rce	|-⌫-----⌫|-|
distdus Naimesenuers m oi entandez	---|--|-----|-----|-⌫-|-------|
Lique ls estr oisdeFranc eg a rdésnelm e	-|---⌫-|--|-⌫--|-|-----⌫|-⌫-⌫----|--|-⌫|
-Parmonchiefced istGuisbien	|--|--|----|-|-⌫--|---|---|
uousuanroi s	---|------⌫|
làdedensensontr é.	--|-----|-|--|--⌫-||
Et cil lir espondirentSicomuou scommandez	-|--|-|-⌫----------|-|--|---⌫|--------|
Aicele par o leseson tachem inez	|----|---⌫-⌫-|-|---⌫|-----⌫---|
LenfesGuis	|----|---|
deB orgo ignesan est	-|-⌫----⌫---||-|--|
auantalés	----|----|
Et Bertrans etBerart	-|-------|-|-----|
T orpi nset	-⌫----⌫-|-|
G ilem e rs.	-⌫----⌫-⌫-||
li e nf esGuisgentement conréés	-|-⌫--⌫-|---|--------|--------|
.I.mantelsebelin aàsoncolgeté	|||-----|------||-|--|--|----|
. chapel debonet li onte lchief p osé	|-----|-|----|-|--|-⌫|----|-⌫---|
So r .I.faudestuef montequ id	--⌫||||---------|----|--⌫||
or fu e smeré	-|-|-⌫-----|
.I.bastoncelaprise n	|||--------||---|-⌫|
samainpa rfierté	-|---|--⌫|------|
At anteslesbaro nsq ui	--⌫--|-|--|----⌫-|-⌫-|
descend e nteltré	-------⌫-⌫-|-|---|
Trestuitcommun almen t en sontded ensantré	-------|------⌫-----⌫|-|---|---⌫--|-----|
Puis se sont tuit assis belement parlestre ́s.	---|-|---|---|----|-------|--|--|---⌫-||
MaisNa imes deBaiuiere	---|--⌫---|-|-------|
estsorsespiés leu és	--|--|--|----|---⌫--|
Sonmantellaistchaoirqu il auoit	--|-----|----|-----|-|-|----|
Le chapeldebone tadesonchiefosté.	-|-----|-|----⌫||-|--|----|----||
libaloieiusc	-|-----|---|
aune u delba udré	-|--⌫|--|--⌫----|
Pardes eur	--|---⌫--|
lesoreill es	--|------⌫-|
gue rnons tor n ez	---⌫----|---⌫-⌫-|
Mu ltres amb le bienprinc equiterre	--⌫-|---⌫---⌫-|---|-----⌫|--|----|
aitàgarder.	--|-|-----||
iluoit Guionsila	-|---|----|-|||
hautsalué	---|-----|
CilDamediexd egloi r equimeinten	--|-------|-⌫|----⌫-⌫|--|----|-|
Tr in ité	--⌫--⌫---|
roide Franceet	--|-|-----|-|
li respontD iexuoscroiss ebonté	-|------|-⌫--|--|------⌫|-----|
Quantl entent li	----||-----|-|
dusN aimess atendrementplor é	--|-⌫----|||---------|----⌫-|
Belet cortoise m entalenfant apelé	--|-|--------⌫-⌫--|||-----|-----|
Sire cedist	---|-|---|
dusNaimes por	--|-----|--|
Di eudemaie sté	--⌫-|-|----⌫---|
Leuésuosende ciue nésà moipar ler.	-----|--|-|-|-|--⌫---|-|--|---⌫--||
-Sirece distlienfesuolentiers	|---|-|---|-|----|---------|
et degré.	-|-|---||
A iceleparoleissirentfo rsdeltré .	|----|-----|-------|--⌫-|--|---||
otcheua lier de sihautpar enté	-|-----⌫---|-|-|---|---⌫----|
Quiléansauoc	--|-----|---|
fusto nca pe lés.	---|-⌫-|-⌫--⌫---||
dist dusNaimesor neuo ssoi t ce lé	---|--|-----|-|-|--⌫|---⌫|--⌫--|
Ieuosc o niur	-|--|-⌫-⌫---|
deDeuleroid emaiesté	-|--|-|--|-⌫|-------|
Et delasaintecroisencoiil	-|-|-|-----|----|-|--|-|
ge etr equie rquem edies	-|-|-⌫-----⌫|--|-⌫|---|
-Par saint DenisdistGuisbienm	|--|----|----|---|---|---||
aués co niure ́	----|--⌫-----⌫|
Maispar celcorone dontil	---|--|--|-----|---|-|
montqueroné	|--|-------|
Parisme mist rentelchiefe str emon	----|-|----⌫---|-|----|-⌫---⌫|--|
me d i tes ch ose dontme do iepeser	-|-⌫-⌫--|--⌫--|---|-|--⌫-|----|
Ie uosf era ilateste forsdubu	-|--|-⌫---⌫|-|----|---|-|-|
des eurer .	---⌫----||
-Pa r m onch ief	|--⌫|-⌫-|--⌫--|
cedistNaimes d ont no s couientgarder	-|---|-----|-⌫--|--⌫|------|-----|
- uoir eced i stlianfes	|----⌫|-|-⌫-⌫-|-|----|
seuoustant	-|---|---|
-Bi aussi rece	|--⌫--|--⌫-|-|
distNaimespor celaide m andé	---|-----|--|-||-|--⌫-⌫----|
Nec epremera incharqui si	-|-⌫|-------⌫-|---|--|-|
est ace smés	--|---⌫----|
Ac es. IIII.cr ois	|-⌫-||---||--⌫--|
dorqui giete ntgrant clart é	|-|--|-----⌫-|----|-----⌫-|
Aceleensaign ele ́e	|---|-------⌫|--⌫-|
