unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
e surcesdousfurentdou saltresa	|--|--|---|-----|---⌫|-----||
laquantitet descolumpnes	-|--------|--|--------|
eencunt rele	|------⌫-|-|
laceizleuezcesco l u mp nes f ist li	-----|----|--|--⌫-⌫-⌫--⌫--|-⌫--|-|
r eis asee r	-⌫--|----⌫|
dedenzleporche ki fuddr eita	-----|-|-----|-|--|--⌫--||
d el templ e	-⌫-|-----⌫|
luneasista dest re	|--|----||----⌫-|
asenestr e celeadestre	|-------⌫|---||-----|
iachimape lad eceleas enest reboozn uma dpuis getad	-----|---⌫--||---||-⌫-----⌫-|---|-⌫---⌫|---|----|
u ngr antua isseltut ru n dquel	-⌫|--⌫--|--⌫----|--|--⌫-⌫|--||
um apeladm er de ar aimdis	-|-----|-⌫-|-|--⌫--|--|
aln esou t deltr auersamunt	---⌫-|--⌫|--|--⌫----|----|
de llunuriesquealal treur e	--⌫||-|-|-----|||--⌫--|-||
trentealnes outalpurceindre enturc inc alnes	-----|----|--|-|---------|----|-⌫--|----|
liuaisselse	-|-------||
dousordresout entur de p ur traitu ree	---|-----|--|----|-|-⌫--⌫------⌫-||
que yr ami getadeli	--|--⌫-||----||-|
uai s selsdeuerslesfuz estrechad	---⌫-⌫---|-----|--|--|--------|
kar li uns or dresnen	--|-|--|--⌫---|--|
out for sdisaln es ent u r d e loure dum	--|---⌫|--|---⌫-|---⌫-⌫|-⌫||---|--|
ille auir un adcistm ei mes maistrestresiet adduz ebueski	-|-|----⌫--⌫-|---|-⌫--⌫--|-------|-------⌫-|---⌫|---|-|
durentceluais selporterdunt litre isturnerentlur	-----|--|----⌫--|-----|---|-|---⌫-|--------|--|
chie fsuers	----⌫-|---|
oriente lestreisuersle sud e	-----||--|----|---|-|--||
les trei s uers l e west eles	--|----⌫|---|-⌫|---||--|
altr e suersl enord	----⌫-⌫|---|-⌫|---|
tut esensem bleunepartt urnerent	---⌫-|-----⌫--|--|---|-⌫-------|
e esture nt si	|------⌫-|-|
e c eluais sel	|-⌫-|----⌫--|
quatredeizd espeisse	-----|---||-------|
out a munta	--|-⌫---||
uaisselseliurssi	-------||-|--|-|
cum e fuil le	---⌫|----⌫-|
des clisefuddeforsalques re curbe z porterentgranz	---⌫----|--|-----|-----|--⌫-----⌫|--------|----|
fudliua issels e	--|-|--⌫-----||
mul tipo ute ntr er ueiredousmiliemesuresque li	---⌫||--⌫-|-⌫---⌫-|----|---|----|------|--|-|
soleientbath apelerpuisfistdisbasses e	-------|---|-----|---|---|--|-----||
chascune outquatre	-------|--|-----|
alnesdelungure q uatredelaure treis	----|-|-----||-⌫----|-|---||----|
dehalturefu rent	-|-----||--⌫---|
iuinteice s dequa tre u decinct ablesde	---------⌫|-|---⌫--||-|---|-⌫----|-|
araim crueses	----|------|
furenttutes lesba ses e entreces iuincture ski	-----|----|--|--⌫--||----|--|---------⌫|-|
a nglesfurentfaituneruelese	-⌫----|-----|---|--|-----||
unesf urm es acumpas s i i	---|-⌫---⌫-||-----|-⌫||
fur enttaillezcheru binsepal mese	---⌫--|------|-----⌫---||---⌫--||
liunse buesdequatre parz	----||---|-|-----|---|
lesbassesedesus e	--|-----||----||
s ipropreme nt queneis	-⌫|--------⌫-|--|---|
lesl ien ss i cume	--|-⌫---⌫|-⌫|---|
ilfussentliez nefurent	-|------|---|-|-----|
enl entailleubliez	-||-------|-----|
ha lt leuer en t	--⌫-|-----⌫--⌫|
cesim a g enes e mielzsembladque surl e s basse s fus s ent	--|--⌫-⌫-⌫---||----|------|--|--|-⌫-⌫|-----⌫|---⌫-⌫--|
q u esifus sententailliezs ur quatreroes ea issel s	-⌫-⌫|-|---⌫---|---------|-⌫-|-----|---||-⌫-----⌫|
ara imfudchascune bass e asis echa scu ne de s roesout	---⌫-|--|-------|----⌫|----⌫|---⌫---⌫-|--⌫|---|--|
e alt alneedemie	-⌫--|---||----|
edesuz les	|----|--|
basessasembl erenten mi	----||------⌫----|--⌫-|
teles furentce s roescu m e le sroesde	----|-----|--⌫|---|--⌫-⌫|--⌫|---|-|
curresefudtut	-----||--|--|
aturs de arai miete z ai sse l s i	----|-|----⌫|----⌫|--⌫---⌫-⌫||
out eraizeiantese muiels	--||---||-----||-----|
elsumetdelaba sse e rt	-|----|-|-|--⌫--|-⌫-|
cumeunerue lefait acu mpas alne	---|--|---⌫-|---||--⌫---|---|
edemie o utdelaise en	|----|-⌫-|-|----|-|
traue rslafu d assisuns uaissels	-----⌫-|-|--⌫|----|--|-------|
es urchasc undeschiefsdes	|-⌫-|-----⌫-|--|-----|--|
ais selsleuad unesumiere pur	---⌫---|----|--|------|--|
leuaissel amu ntsuzpuierlabuchede luaisselalquesrecu rba t	-|------|---⌫-|-------|-|----|--⌫|------|-----|----⌫---⌫|
enze neses pandidpas f ors	--||-||--⌫-----|--|-⌫--|
eun alne out de laiseal	|-|---|--|-|----|-|
sum equatre	--||-----|
elmilleueune e	-|-----||--||
demie a s unzsur	----|-⌫|--|--|
teles d is	----|-⌫-|
basses furentdisua isselspo se z ed un entaillee	-----|-----|--|--⌫-----|--⌫--⌫|||-|-------||
furmefurentm ollezquarantedesm es uresquelihebreu apelent	----|-----|-⌫----|-------|--|-⌫--⌫---|--|-|-----|------|
bathteneitchasc unsdesdi s uaissel s ces disbasses	---|-----|-----⌫--|--|--⌫|-------⌫|--|--|-----|
od tu z ces	-|--⌫|--|
disuaissels fist	--|-------|---|
a seer e n	-⌫---|-⌫|
leai tre kiplus fu dpr ucein	-|--⌫--|-|---|--⌫|--⌫----|
temp lecofudliaitre saspruueires les	----⌫-|-|--|-|-----⌫|-|--------|--|
cinc a destreeles cinc	---||-----||--|---|
pu rlauerlessacrefises	--⌫|----|--|---------|
quelumdeueitoffriranostre	--||-|-----|-----||-----|
seignureceluaisselki	------||--|------|-|
f uddemerde araimapelédref i stmetre	-⌫-|-|--|-|----|------|---⌫-⌫-|----|
encelmeime aitrea destredeltemp leal	-|--|----|----||-----|--|----⌫-|-|
coste de ls udeen	----|--⌫|-⌫-||-|
lorientco fudlilaueurs	|-----|-|--|-|------|
ulipr uueire soleient	|-|--⌫-----|-------|
lauerquant durenteltem plece leb rer e unaltel	----|----|-----|-|---⌫--|--⌫---⌫--||-|----|
ar aimuinta lnes	--⌫--|---|-⌫---|
outde lun ge uint	--|-|---⌫||---|
disdehalt e	--|-|---||
m eime cela itre asis	-⌫---|--|-⌫---|---|
h yramrefis t uaisseledem einte	-⌫---|-----⌫|-------|-|-⌫----|
baillie p o zecha nese	------|-⌫-⌫||---⌫--||
pi cherse furenttuit	--⌫----||-----|---|
de orch alsi sgetaden	-|----⌫-|-||----|-|
l achampaigne	-⌫|---------|
iurdaneen terreargilusseentresocch oe	-----||-|----|--------|----|-----⌫||
s ar chane li	-⌫--⌫---||-|
reissalomun	---|------|
lesmis telseruis edel temple	--|---⌫|-|------⌫|--|-----|
ioutqu e lu mnesout	|--|--⌫||-⌫|-|---|
lepeis delauaisselee	-|---|-|-|-------||
altel fistel templedefino r	----|---|-|-----|-|--|-⌫|
edistablesd orpurmetres ure	|--|-----||-|--|----|-⌫--|
que lum apeladl espai nsdepropositiuneles	--||-|-----|-⌫-|---⌫-|-|----------||--|
fu rentasis del	--⌫---|---|-||
unepartdel t empleelesci n cd eal tr ep art	--|---|--|-⌫----||--|--⌫-⌫|-⌫|--⌫--⌫|-⌫--|
s irefistd is ch an delabres deore lescin casist	-⌫|-----|-⌫-|--⌫--⌫-------|-|-||--|---⌫|----|
deun epart	-|--⌫|---|
ecincdealtre parten cuntrele	|---|-|----|---|--⌫-----|-|
cha ncelsifure nt uurezrichement	---⌫---|-|----⌫-|----|--------|
af l ursdelilieefist	|-⌫-⌫--|-|----||---|
desureuaissels de	-----|-------|-|
or ul um meteit	-|||-|-----|
pinchure s deor echa enes ecrocsephiele s	--------⌫|-|-||---⌫---||----||------⌫|
em ortiers	|-⌫------|
eence ns i e rstutde	|----⌫--⌫-⌫-⌫-|--|-|
f in or al quart andesun regn e	-⌫-|-|-|----|-|-|--|----⌫|
reissalomun cumenc haletemplenostres eignureset	---|------|------⌫-|-|-----|-----|-⌫-----||--|
entiersmist alfaireeset	------|---|-|----||--|
m eiseencelsetm em eis	-⌫--||-|--|----⌫|-⌫--|
uai sseleecilmerue illusapareil	---⌫----||--|-----⌫----|------|
enluitmeme is	-||----|--⌫-|
fud ap restezsique lirei ss alomun fist	--|--⌫-----|-|--|-|---⌫|-⌫-----|---|
eltempl elo relargentela	-|-----⌫||-⌫|||-----||-|
u aissele quesisperes dauidout	-⌫------|--|--|----|----|--|
saintefie ́de tu t	---------⌫-||--⌫|
fistmetree st reso rs	---|----|-⌫|-⌫----⌫-|
delamaisunnostre s eignur	-|-|-----|-----|-⌫-----|
tuitl iprince elibar na geseli antif hume	---|-⌫|-----||-|---⌫--⌫--||-|----|---|
el ipoples	|-⌫|-----|
deisrael sasemble renteuindrenta lreisalom unel	-|-----||-------⌫---||-------|-⌫|--|-----⌫-|-|
meiseni erusalem	---|-|-⌫-------|
pur e stre	--|-⌫---|
acele fe st equant	|---|--⌫--⌫|----|
re mu erl archen ostr eseignurdesyon e	--⌫--⌫-||----|-⌫----⌫|------|-|---||
le tabernacle que	-|---------|--|
moysesoutfai t el	-----|--|---⌫|-|
dese rt elauaisselee le sai ntuarie	----⌫-||-|-------||-|---⌫------|
lipru ue ireuindrentau ant epr i strentlarche nostre	-|---⌫--⌫--|-------|--⌫--||--⌫-⌫-----||----|-----|
sile mporter ent	-||-⌫-------⌫--|
enz elt emplee	--|-|-⌫----||
le ta be rnacle elesaintuarie	-|--⌫--⌫-----||-|---------|
elauais sele tut remuerent lipruueiree	|-|----⌫---|--|--------|-|-------||
e lireisetuit	|-|---||---|
lipoplesd eisraelenalerent	-|-----|-⌫|-----|-|------|
od tut deuantl arche	-|--|-----||----|
e firent lursac refise sde	|-----|--|---⌫------⌫|-|
buese de altres bes tessiqu e	---||-|-----|---⌫--|-|--⌫|
nesoutlenu mbrenele	-|---|-|--⌫---|-|-|
prislipruueire	---|-|-------|
porteren t larche	--------⌫||----|
nostre seignu r sur	-----|------⌫|--|
do uspet izfuzkiaceloesfurentatur nez	--⌫-|---⌫-|--|-||--|--|-----|----⌫--|
e tut fure ntd oradubez	|--|----⌫-||-|-----|
asistrentenz al chanceldeltemple	--------|--|-|------|--|-----|
quelum apeladdesuz leselesasc herubins	--||-|-----|----|--|---|-|-⌫-------|
siquelicherubinestendirent	-|--|-|-------|----------|
lur eles par	--|---|--|
en sumla rche e	-|--||-⌫---||
ces dous pe tizfuz sur quei	--|---|--⌫--|--|--|---|
lumportout	|-|------|
larche ces	|----|--|
petizfuzfurentp lus	----|--|-----|-⌫--|
lungsquelarche e bie np ar urent les	----|--||----||---⌫|-⌫--⌫----|--|
chief saceski	-----⌫||--|-|
fure ntencelchancelmaisnientac eski	----⌫-|-|--|------|---|----||-⌫-|-|
esteientdeforsen l	-------|-----|-||
arche n en outelforsles tablesde	----|-⌫-|--|-|---|--|-----|-|
quemoyses ioutmisquant	--|-----||--|--|----|
ilfud ia enor ebunostre sire	-|--|-|-|--⌫-||-----|---|
outescrite	--|------|
ela uergeaaron eunpotd	|-|----|----||-|--||
o utdelamann edunt deussustintsu n p op le	-⌫-|-|-|----⌫|---|---|------|--⌫|-⌫--⌫-|
quara nteanz	-----⌫--|--|
cume lipruueire furenteissud	---|-|-------|-----|-----|
d elsaintu arieune nieule leuad	-⌫-|------⌫---|--|-----|----|
parceltemplesiquelipruueire	--|--|-----|-|--|-|-------|
nep ourentesterneleseru ise	-|-⌫-----|----|-|-|----⌫--|
fairepurla nieule	----|--|-|-----|
e pu r lo scu rtedka r nost re	|--⌫||-⌫---⌫---|--⌫|----⌫-|
la mai sunempli edesa	-|---⌫--|-----⌫|-|-|
lireis salomunparladuers nostreseig n ursidist	-|---|------|-----|---|-----|----⌫-⌫-|-|---|
deisbel sire	---|--|---|
mande reiesenla ni euleeore	-----⌫----|-|-|--⌫---||--|
te mple atunoesu	--⌫---||--|--||
tupurrassitespla isirse st	-|-----|-|--|---⌫----|-⌫-|
habi ter ensied estab leparmanab l em e nt	----⌫--|-|---|-----⌫-|--------⌫-⌫--⌫-⌫-|
puissetu rnadli	---|-|--⌫---|-|
reisal poplesilurdun ad	---|-|----|-|--|---⌫-|
sabenei cuner edistbenei tseit	-|-----⌫--||-⌫----|-----⌫|---|
nostresiresle	-----|----|-|
isra elkip armeiad	----⌫-|-|-⌫-|--|-|
ac umpli dco que	--⌫-----⌫|-|--|
ilpa rlada munperedauidquant	-|--⌫---||--|---|----|----|
illidist d esl	-|-|---|-⌫-||
quemenai lesfiz is rael horsde egypte	--|----|--|--|--⌫---|---|-|-----|
nu le citedneslisde	--⌫-|----||----|-|
tutescesdeisraelu l	----|--|-|-----|||
um edefiasttemple	-|-------|-----|
reclamezmisnu msmaisda uid eslisque i l	-------|--|--⌫-|---|--⌫--|----|--|-⌫|
munpopleg uardast	--|----|-⌫------|
eguuernast emis pe res dauid uoltedefiertemp le	|--------||--|--⌫--|----|---|------|----⌫-|
en lonurancenostr eseignure	-||-------|-----⌫|------||
nostres ires lidist	-----|-⌫---|-|---|
fais de co quetu asen	---|-|-|--|-|-|-|
purposementdefaire amunues ed efie ment	----------|-|----||--|--|--⌫----⌫---|
maistunelfra s	---|-|-||---⌫|
pa s en zlefrad tesfiz kituengendreras	--⌫|--⌫|-|---|--|--|-|-|----------|
oreadsaparolec unfermee kario sui	--|-|-|-----|-⌫-------|--|-|--|
elli eu mun	-|--⌫-|--|
pe re dauide suiasisalse tr eale	--⌫-|----||--|---|-|--⌫|-⌫--||
asumméailetem pl ee	------|-|-|---⌫--⌫||
faitiaiueni rlar che	---||-|----⌫||--⌫--|
delal ianceno streseignur queilfist	-||--⌫----|--⌫---|------|--|-|---|
nozance s tresqu antdete rredeegyptes	--|----⌫-⌫---|--⌫--|-|--⌫--|-|-----||
en fu re nt	-|--⌫--⌫-|
li rei sestutdeu ant	-|---⌫|----|---⌫--|
poples i e stendidses	----|-⌫|-⌫------|--|
mains uers le c i elsidistsiresired eu	----|---|-|-⌫-⌫-|-|---|---|---|-⌫-|
de israel nuls	-|-----|---|
kitesemble	-|-|-----|
a lcieldesusneen	-⌫|---|----|-|-|
late r redesuzki	-|--⌫-⌫-|----|-|
fe rme cunu enanceefaismerciates serfski tienent	--⌫--|----⌫-----||---|----||--|----|-|------|
cumandeme nzde tu t lurquer	---------⌫-|-|--⌫|--|---|
tu as parbu ch e	-|-|--|--⌫--⌫|
eparm a ins e enoure	|--|-⌫-⌫--||-|---|
asume ́ dsi cume il	-----⌫-⌫|-|---|-|
pe rta cest	--⌫-||---|
co sire guarde fer m ement	-|---|-----|---⌫-⌫----|
laparoleelabelepr a messeque	-|-----||-|---|--⌫-⌫----|--|
faitasamun pered auid quetuz	---|-||--|---|-⌫---|--|--|
i ursalcuns de	-⌫--|-----|-|
sunlignage	--|------|
ten drades errad alsiedrealdeisrae lse	---⌫---||-⌫----|-|---|---|-|-----⌫|-|
na ist runtte	--⌫---⌫---|-|
quere parfiteme ntsi cu me il lefist	---||---------⌫-|-|--⌫-|-|-|---|
en sunuiuante	-|--|-----||
cumentpurradnu lsquiderque de uueirement	-----|-----|--⌫-|-----|--|--⌫|--------|
ha b ited ente rres i neislicelsne	--⌫-⌫---|-|--⌫--|-⌫|---|-|---|-|
lpue tc umpre ndre	|---⌫|-⌫-----⌫---|
cumentdunc cu mpren dradlec este mai sun	-----|---|--⌫-----⌫---|-|-⌫---|---⌫--|
que fait ai en	--|---|-|-|
l onu r ance	|---⌫-⌫---|
de sunnummais bels	-|--|--|---|---|
sires e ntend	----|-⌫----|
alur eisunde	||--⌫----|-|
tun s erf e	--|-⌫--||
oiley mnee lapreiere queiotefaz	-|-|-⌫--||-|------|--|-|-|--|
o i lzsei entenuiteiur	-⌫-⌫-|---⌫--||---||--|
surcestem aisun	--|----|-⌫----|
dunttuas di tque	---|-|-|--⌫|--|
ti snums iert r eclamezoidelciel	--⌫|---||--|-⌫------|-|--|---|
uestlatuemaisunma	|--|-|--|-----|-|
preiereequanquere querrad	------||------|--⌫------|
de isr ael icie	-|---⌫--|--||
t u l aueras oidprop icelu r	-⌫||-----|--|----⌫--|--⌫|
faimerci s ihuem	--|----|-⌫|---|
peched uerssunprusmeetrespastsun	-----|---|--|-----||-------|--|
serrementeil ui en ge	--------||-|--⌫--⌫-|
mercirequerre deuantcestletuen	----|-------|-----|---|-|---|
altel aiende l uip itiee	----|-|-|-|-⌫-|-⌫---||
salfeguar isle dreiturier eleculuer t	---||----⌫-|-|---------||-|------⌫|
m et amor tea desfacun si tespoples	-⌫-||---⌫|||-------|-|--|-----|
fuie deuant ses	---|-----|--|
enemispursun	-----|--|--|
pecchiet e	-------||
puisai td e	---|--⌫|-⌫|
sunpecchiet	--|-------|
p esance e	-⌫-----||
repentancee uienge teirequerre	---------||-----|--|-------|
acest letuntem pl eoiles	|---|-|--|---⌫--⌫|-|--|
si teplaistdelcielepardune lepe cchi et	-|-|-----|--|---||------|-|--⌫----⌫-|
er emeineles	|-⌫-----|--|
laterre quea	-|----|--||
lura ncestresduna ss i	--|-⌫-------|----⌫|-⌫|
estclos que	--|---|--|
il nepluue p urlurpe cchieeil	-|-|----|-⌫-|--|--⌫----||-|
te u ieng entrequerre	-|-⌫----⌫--|-------|
e s eien tueirrepe ntantoilurreque steb onement	|-⌫----⌫|---|----⌫----|-|--|-----⌫--|-⌫------|
e pardune lurpecchiet e silurenseigne la	|------|--|-------||-|--|-------|-|
u eiedeperfectiune	-⌫--|-|---------||
eplu ieenueiéenlaterrequedunne ́	|---⌫-|------|-|-|----|--|-----⌫|
lurasen pos sessiun	--|-|-|---⌫------|
s ifam ineuienten l aterre u	-⌫|---⌫--|----|-|-⌫|----||
corrumpuzseitli	--------|---|-|
epestile nce descunfisee destruielesblezelur	|-------⌫--|---------||-------|--|---||--|
asi eg en tlesci t ez es eienttraue illezde mesauentu re sede	---⌫--⌫--⌫|--|--⌫-⌫-||-⌫----|-----⌫----|-|---------⌫--⌫||-|
enfermetez e	---------||
iluuil lent cu nui stre epardunrequ erre	-|----⌫---|--⌫---⌫---||-----|----⌫---|
de lur mesfaiz	-|--|------|
euer stei en c esttemple leuerlur mains tu	|---⌫|--|-|-⌫--|-----|----|--|----|-|
te plaistlesorras	-|-----|--|----|
e sulunclurourest ulur re ndras	|-----|--|----|-⌫|--|--⌫----|
alcunski nenestpas del	-----|-|--|--|--|--|
lignage de isr ae luienge chaenzta	------|-|---⌫--⌫|-----|-----|-|
merc ide prei eroisarequestede lciel	----⌫|--⌫----⌫-|-|-|-------|--⌫|---|
boneme ntqueli	------⌫-|--|-|
detutester r esaprengedt ei etun num	-|----|---⌫-⌫-|-------|-⌫-||--|--|
duter sicumfaitl i	----|-|--|---|-⌫|
poplesdeis rae l ebien espermentqueci esttis	-----|-|--⌫---⌫||---|--------|--|-|--|--|
nu msr eclamez	--⌫-|-⌫------|
sitis pop les	-|--|---⌫--|
s emetenchampencu ntrese senemis	-⌫|--|-|----|----⌫---|--⌫|-----|
cumesireslesenue ie r asil te aurrunt	---|----|--|----⌫--⌫-⌫-|-|-|------|
encuntrec est ecit edki	-------|-⌫---⌫|---⌫-|-|
tu a s esleuee	-|-⌫|------|
encuntre ce st temple	-------|--⌫-|-----|
que aileuédenl onurance	--|-|-----|-||-------|
de tei e tuor raslurureis un epar tei	-|--||-|--⌫--|--|-----⌫-||--|--|
auruntsalu atiun	-----|----⌫----|
