S ii ertilsi	-⌫|-⌫--|-|-|
Fizsuidun uauas urtielestma nacïun.	--|--||-|-----⌫-|---|--|-|-------|
Encordir ras ami tut unaut reser mun	----|---⌫--|--|--|-|---⌫-|---⌫--|
Ne prispasfeu	-|---|--|--|
destreimto stfetdefectïu n	|------|--⌫-|--|---------⌫|
Muttostestalumée tostfeto r beis un.	--|---|--|-----||---|--|-⌫-⌫----⌫--|
folamurq uant neuientparraisun.	--|---|-⌫---|-|----|--|------|
Guidh eresen	-----⌫--||-|
turnelapar oleadoïe–	----|-|---⌫--|-|---||
Sio ut nunliua llezfi zle	-|-⌫-|--|-|--⌫---|--⌫|-|
Sis erueit pur Lembu rcqui	-|-⌫-----|--|-----⌫-|-||
deu eitestreamie –	---⌫--|----|---||
Nepurq uant nelerr ad kelesmoz	-|--|-⌫---|-|----⌫-|-|--|--|
Alapucele uientkiface ou tcolu rie	|-|-----|----|-|---|--⌫|----⌫--|
Elesmozli cunt akeneli	|--|--|-|----⌫|-|-|-|
uergunda ketote e nest ro uie.	-------|-|---|-⌫|--|--⌫---|
Mu tfetbi en	--⌫|--|--⌫-|
dist icele	---|----|
se chast ie.[f.50b]	-|-----⌫---------|
hastaio r ainzmesorsuire pentie.	-----|-⌫-⌫---|--|-|--|--⌫------|
p armaluaistéfous estki ic ̧oequie.	-⌫-|---------|---|--|-|--⌫--|----|
Puspensëensun qu oere	--|-----|-|--|--⌫--||
lemanger ublie	-|-----|----|
Karamurla d estreintkimutlad	--|---|-|-⌫-------|-|--||-|
acoil l i e .	-----⌫-⌫-⌫-⌫|
En sunpen sé	-|--|---⌫--|
additDeus f izsainte Mar ie	-|--|---|-⌫-|-----|---⌫-|
Cumainz fud eu isé enla	--|---|-|-⌫--⌫---|-|-|
U nasquiitielhome estild iceste	|-----|----|---|--|-||-----|
Uest chosefaéé kiseiten	|--|----|-----|-|---|-|
tie lbaillie	---⌫|------|
Si nelai dunc	-|-||-|---|
saibien ma	--|---|-|
io ië est	--⌫--|--|
Deussiautre p urliestreits iabo smie	---|-|----|-⌫-|-|------|-⌫|---⌫---|
Cum ioesuika r	--|--|--|--⌫|
amurmedestreinte[ m e] lie.	---|-|--------||-⌫-⌫-|---|
Nelarraipur itauntne faceaut re	-|-----|--|-----|-|---|---⌫-|
asaillie .	--------⌫|
Sameresapa rceitke ele estenpalie	-|---||---⌫----|-|--|--|------|
Esietkece st a murki la	|---|-||-⌫-|-⌫--|-|-|
tu chëe frie.	--⌫---||----|
Silidi t soau etquelel aistsa f olie.	-|-|--⌫|----⌫-|-|--|-⌫---|-|-⌫----|
Mes elelenaimeplusnedute	--|--||-|---|---|-|---|
sa mestrie.	-|-------|
Quantlireis out ma ngé	----|-|---|--|--⌫---|
les t ables funt ost er	--|-⌫----|---|---⌫-|
uonts ena lur ostels ecunteecheualier	---||-||--|-----||----||--------|
EdanGudmodneuoutilocplus	|--|-----|-|---|---|---|
Asu nostel sen	|--⌫|----||-|
uaituse uout	---||-|---|
Lareïnes efait	-|-----|-⌫|---|
en seschambres mener	-|--|-------|----|
Messa f illeLenburc nefina de	--|-|-⌫---|------|-|---|-|
a s e iun sunuallet curs ier	|-⌫-⌫|-|--|-----|----⌫--|
SiliditT usera sam imun messagier.[f.51a]	-|-|--|-⌫|----⌫|--⌫|--|----------------|
uaalo ste l Egfer	-|-|-⌫---⌫|----|
alsoldeier	-|-------|
–Ilocletrouerasce lui qu	|---|-|-------|--⌫--|-|
ilre t intie r –	-|--⌫-⌫--|--⌫||
Keil uien g ë	-|-|----⌫-⌫-|
ameie nmeschambresparl er.	|--|-⌫|--|-------|----⌫--|
Situ·lpoezamener si·nauras	-|---|---|-----|---|----|
bon loie r.	--|----⌫-|
A cheual temetraisitauraituztens	|-----|-|-----|-||----|--|---|
Dilui qu asu n pl eisir	-|--|-||--⌫|--⌫----|
delmien faceporter	--|---|---|-----|
Karioe ai beausaueirs duntio·lpu sauancer	--|--|-|----|-----|---|---|--⌫|------|
Destrierse palefreizbonesarmes d	--------||--------|----|----||
Ea r g entm uneiéuessel ed e ̈ orcl er	|-⌫-⌫-⌫--|-⌫-----|------⌫|-⌫-⌫|-|--⌫-|
Eb ons d rasaple nték ena it	|-⌫--|-⌫--||---⌫---||-|-⌫-|
aremue r .	|-----⌫-⌫|
A sezprenge del mien kesenpu is së	-⌫--|-----|--|---|-||-|--⌫--⌫--|
K ar e ntu zlius estch ierscilkiad	-⌫-|-⌫|--⌫|---|--|--⌫---|--|-|-|
Dameditli ua llet ne uusestoetprei er	---|--|-|--⌫---|-|--|-----|----⌫-|
Ke nefac e	-|-|---⌫|
m utbien keuoldrezcummaunder.	-⌫-|---|-|------|----------|
Orsen u etli uall etlau	-||-|-⌫-|-|----⌫-|-||
Gu dmodtruua	--⌫---|----|
E d ela partLemburc prim esl esalua	|-⌫|-|---|------|----⌫-|-⌫|----|
Pus lidi tmotpurmo tquantk	--|-|--⌫|--|--|--⌫|----||
elelim aunda.	--|-|-⌫-----|
Madaunzeleu usditses aueirsuusdurra.	-|-------|-⌫-|--|--|-----|--|-----|
Rienque uold rezd elsoen	---|--|----⌫--|-⌫-|---|
Palefr eizedestr iers earme sk e ̈ ele ad	------⌫--||-----⌫---||----⌫|-⌫-⌫|--|-|
Dor quit ede	|-|---||-|
denie rsb ienuus enri chera.	-----⌫-|-⌫--|--|----⌫-----|
Purc ̧oekeuuslamezeleuusamera.	--|-⌫--|-|--||---|--|--|-----|
Beausamisdit Gudmo d kitrestutescuta	----|---|--|-----⌫|-|------|-----|
D equantked itiau ezrienn	-⌫|----|-|-⌫-||--⌫-|---||
i espleitera.[f.51b]	|-----------------|
Benlipurreznu ncier kepurçoe	--|-|-----|--⌫----|-|--|---|
ne uincça.	-|---|---|
Ne mens eigna	-||---⌫----|
issi ki pri mesmafeita.	---|-|---⌫--||------|
Oratendë anceis	-|------|-----|
e deme isiorra	|-|--⌫|-|---|
Quiio esu ik eioe uail	--|--⌫|--⌫|-⌫|--|---|
en pleiera	--⌫------|
L es duns que l e pr ametparu us	-⌫-|---|-|-⌫-⌫|--⌫---|--|-⌫-|
q u ele enueia.	-⌫|--|------|
Tauntpurra oirde	----|----|--|-|
meikelsenrepentira	--||-||-|--------|
Kars i ioe	--|-⌫|--|
sui malueismut l i ennui era	--|------|--|-⌫|-----⌫--|
Siunkes del	-|----|--|
soenoinequ	---|-|-|-|
Or s enu ali	-||-|-⌫|-|
ualletasadamemustra	-----||-|---|-----|
Quan tkeil	----⌫|-|-|
liad di tkë[il]rien ni	-|-|--⌫|--|---|---|||
Quant Lenburcotle s m oz	----|------|-|--⌫|-⌫-|
mutenfuaduléé	--|-|-|-------|
Karl amu rde Gudmod ladfo rment	--||---⌫|-|-----||-|--⌫----|
en lasséé.	--⌫--------|
N esenpo et desoster	-⌫||-|--⌫-|-------|
taunt en est eschauféé.	----|-|--|-----------|
nepoetdo rmirne	-|---|--⌫---|-|
seirnema tinéé	---|-|--⌫------|
E quantele	|----|--|
leueitsi·n	-|---|---|
estsiesfr ëee	--|-|----⌫---|
Ke rienkel em	-|---|-||-|
liface neli	-|---|-|-|
plestne n agréé.	----|-||-------|
tauntes guis ess	------|----⌫-||
est elepurpenséé	--|--|----------|
D a ueir lamur deluin e fud	|-⌫---||---|-|--|-⌫|--|
pases cutéé.	--|--⌫-------|
Samere par paro l es	-|---|--|----⌫-⌫-|
lad souentchas tiéé	|-|-----|----⌫-----|
Eenmutesmanieresdurement	|-|----|-------|-------|
manace ́é	------⌫--|
Mes cumplus	--|--|---|
lend itlem[e] plus enest	|-|-⌫-||-|--|---|-|--|
amurdeluine p oe testret urnéé.	---|-|--|-|-⌫--⌫|----|-⌫-------|
DanGudmod lesiet	--|-----|-|---|
bien mesnel en es t	---|--|-||-|--⌫|
Tu tcel an adesté si	--⌫|--|-|-|----|-|
lareäl mesn éé[f.52a]	-|----|----⌫----------|
Qu ilneuuntaturnei	-|-|-|---||-----|
naautre cheua uchéé	||----|-----⌫------|
Duntelseitoreenpris	---|-|---|--|-|---|
ue nseitaloséé.	|-⌫|---|--------|
Or sacezueirementtiel	-|----|--------|---|
uieade nnuiéé	--|-|-⌫-------|
AGudmodle uailla nto dchierëhonuréé	|-----|-|------⌫-|-⌫|------|--------|
Karli reis sague rre	--|-|---|-|---⌫--|
otpar tutapaéé	-|--|--|------|
Elatriweprise outq uitropaueitduréé.	|-|----|----|--|-⌫-|---|----|-------|
En riu ere	-|---⌫--|
eenb ois se	|-|-⌫--|-|
delitenten taunt	-------|-|----|
Lamesne ́e ́le	-|-----⌫--⌫|-|
reikimut est	--|-|--|--|
suiorn ant	------⌫--|
Mese ntuzle s dedui zles	--|-⌫|--|--⌫|-----⌫|--|
f uGu dmod passanz	-⌫|--⌫---|------|
K arn outnul e l	-⌫-||--|--|-⌫|
païs quid içoeseü s ttau nt.	----|--||----|----⌫-⌫|---⌫--|
Som li baille fol	|-|-|-----|--|
chie n illiertsiafaitaunt	----⌫|-||---|-|--------|
Q u e nmutpetitdetensnefustnul	-⌫|-⌫|--|----|-|---|-|---|--|
meuzcorant	---|-----|
Autresi d esoiseaus	------|-⌫-|------|
fese itb ie nu olant	----⌫-|-⌫--⌫|-⌫----|
lur meillors	--|-------|
nul nespleitast[i]taunt	--||---------|-------|
Ne iliapuriçoe nesest	-|-|-|--|----|-||--|
depluspreisau nt.	-|---|-------⌫--|
Quant tuit	----|---|
sicumpaignunlur f aitere n t	-|---------|--|-⌫--|---⌫-⌫|
Ilsesëeit enpesia nefust	-|-|-----|-|--|-|-|---|
mot sunaunt	--|------|
ilneseüstdi tiel	-|-|-----||-⌫---|
faitt au ntnequant	---|-⌫--⌫-|-|----|
Ke tui t cildela	-|---⌫|--|-|-|
curts en ierentmerueillant	---||-|-----|----------|
Ediseienten trauske mutiert	|-------|--⌫-|--|-|--|---|
Kiles passouttrest uzes	-|--|------|-----⌫-|||
eniert s i	-|---|-⌫|
Mut le p reisoënttuitsi·nerent bien d is aunt.	--|-|-⌫--------|---|---|----|---|-⌫--⌫----|
Treis au nzotiapassé queon cne fist	----|--⌫-|-|-|-----|--|--⌫|-|---|
Deri enkeoncseüstpluskeilfustenfau nt.[f.52b]	-|--⌫-|-|--|-----|---|-|-|---|-----⌫---------|
as eschesia	-|-----|-|
ne[n]i fust	----||---|
Detablesensementk enen oust	-|-----|-------|-⌫|--|---|
m al uoill ant	-⌫-|-----⌫--|
Sinauei telpaïskien seüstitaunt.	-||----⌫|-|----|-|-|-----|------|
Tauntquauin t au nio r–cum	----|-|----⌫||-⌫|--⌫||--|
u us i erc	-⌫-|-⌫--|
recuntant–	--------||
Ke li rei stint	-|-|---⌫|---|
grantcurtkarlafeste	----|---|--|-|----|
Tuitisunt asemblékidelui sunt tenaun t	---||---|-------|-|-|--|---|------⌫|
Pures f orcier	--|--⌫-⌫-----|
lac urtkar çoe	-|-⌫--|--|---|
iertauenaunt.	---|--------|
Pe ntecu stei ertleiordun tme[ n]	--⌫-----⌫--|-⌫--|-|--|---⌫||--⌫-|
oe ̈zparler.	--⌫-|------|
La messeoïlireisalprincipal muster	-|----|--|-|---|-|--------|-----|
ha ute mentla rceuesqu e Markie r.	--⌫---⌫---||-⌫--------⌫|------⌫-|
P us senuontalpala i s	-⌫-||-|---|-|----⌫-⌫|
asissuntal man ger	---|---|-|---⌫--|
M utis untbienseru i	-⌫-||-⌫--|---|----⌫|
deser uiseplenier	-|---⌫---|------|
Par t utc ummunement	--|-⌫-|-⌫---------|
kom ni sou tquamender.	|-|||---⌫|-|-------|
Quantasezontm angélestables funtoster	----|---|--|-⌫----|--|-----|---|----|
Depimentdeclaré serue ntcilbuteiller	-|-----|-|-----|-----⌫-|--|--------|
Aces qui beiureuo elentasez fu nt	|--|--|-----|--⌫----|---|--⌫-|
ap o r ter	--⌫-⌫-⌫--|
Q uanta sez	-⌫---|-⌫--|
uuntse i esbaneier.	---|--⌫|---------|
En la c urt uo ntiuercil liger bacheler	-|-|-⌫--|--⌫-|---|--|----|-------|
Kilaun c e iuoutlaunc er	-|----⌫-⌫||---|-----⌫-|
kipierre i	-|-----||
Ilokes sepurraki fo rte st	-----|-|----|-|--⌫-|-⌫-|
e spro uer.	-⌫----⌫---|
Mutsepeinent	--|-|------|
formentdetrestutess aie r	------|-|------|---⌫---⌫|
Kideforce purralesautressurmun ter.	-|-|----|----|--|-----|------⌫---|
Amduilifizle rei aldedutuon tester	----|-|--|-|--|-|----|---⌫|----|
E lireisialad	|-|---||---|
p u rlegiu e sg arder[f.53a]	-⌫-⌫|-|--|-⌫--⌫-----------|
Elareïne od	|-|-----|-|
au sses f illesfait	--⌫|--|-⌫----|---|
Pu ruë ei r	--⌫|---⌫--⌫|
k is enpurrauaunter.	-⌫||-|----|-------|
Ataunt sailli	|----|-----|
auantdesfublé	----|--------|
dan Egfie r	--|-----⌫|
Lipusnezfiz le reiqui seueut	-|-----|--|-|--|--|-|---|
Tuzceus qui	--|---|--|
iiet oentpassëil alpremier	|---⌫---|-----|-|-|------|
piez me sure zcuml o ïrecunter.	---|--⌫----⌫|--||-⌫-|--------|
Iane mu rraenui e.	-|-|--⌫--|----⌫-|
Liuassausdunt	-|------|---|
uusdisnese pot t enirmie	--|--|-|-|--|-⌫---|--|
–KeGuf f ie rs deslautrier prist	|-|---⌫-⌫--⌫-|--||------|----|
enauo ërie–	-|---⌫----||
Quil nesaillist auantesunm ant el	-|-|-|-------|----||--|-⌫---⌫-|
Pus s iprent lapierree iete	--|-⌫|----|-|-----||---|
d itie lbailli e	|----⌫|------⌫|
Kecinc pieza l premierde uant tr estuzlaguie.	-|---|---|-⌫|------|--⌫---|--⌫----|-|----|
Deust auntenfudl oédela	---|-⌫---|-|--|-⌫--|-|-|
b achelerie	-⌫--------|
Del gra n tietquoti eté par	--|---⌫-⌫|--|-|-|-⌫---|--|
f orceepar mestr ie	-⌫---||--|-----⌫-|
Mesla reïne enestodsesfillesmarrie	--|-|-----|-|--|-|--|-----|-----|
fizk iertuen cudunt il fu nt gaberie.	--||---|---⌫-|---|-|--⌫-|-------|
Tiel maltalent	---|--------|
tuteenes t pal ie	---|-|--⌫|---⌫-|
E Lemburcensementde dolur estro uie	|------|-------|-|----|--|--⌫--|
Mesli rei s k isage	--|-|---⌫|-⌫|---|
e ndorrei tunefie	-⌫|------⌫|--|--|
K ite lsg ius	-⌫|--⌫-|-⌫--|
adsouentbien ueüen sauie.	-|-----|---|---|-|-|---|
Eglafout nunli fo r z	----|--|--|-|--⌫-⌫|
ki·nfaitgran t	---|---|----⌫|
Emut s e[n] ue tuauntan t	|--||---|--⌫|-------⌫|
pargrants orquide ri e.	--|----|-⌫-------⌫--⌫-|
G udmod ueitsun	-⌫----|---|--|
seign ur kechere	-----⌫-|-|----|
fetmur nie	--|---⌫--|
D icelgr antu auntem entpariti ellecherie[f.53b]	|---|--⌫--|-⌫------⌫--|--|---⌫-|--------------|
Orieta stuolen t i ers pur ueintrel estutie	-|----⌫-|-----⌫-⌫-⌫--|--|------||------|
Ke cil uet demenantsiie stkil	-|--|--|-------|-||-⌫-|-||
Egfe rueitke Egl af se ue t	----⌫|---|-|---⌫-|-|--⌫|
[is]siua untant	-----|--⌫-----|
e s ten su nq uoer	-⌫-⌫|-|--⌫|-⌫---|
co roçus edulaunt	--⌫-----||------|
Si·nuetdreitaGudmod sun	---|--|----||-----|--|
cheualeru aillant	-------|-⌫------|
Si liditBeaus am ispur quei	-|-|--|----|--⌫-|--|---|
n e stesuen iant	|-⌫---|---⌫---|
Lahunt ekem ad fetcistuassaussurqui da unt.	-|----⌫|-||-|--|---|------|------⌫--⌫---|
D e quan tque tucomencesbie n	-⌫|----⌫---|-|-------|---⌫|
estesde fi na nt	----|--⌫--⌫--⌫-|
Or me uenge dicestbient ei ercguerr edo nant	-|-|----||----|---||--⌫--|-----⌫---⌫---|
Dequ antqueuu s plarr a tutauostre gräa unt.	-|--⌫-----|--⌫|-----⌫|--||-----|-----⌫---|
Biensaike luueintrez silestescummença unt .	---|--|-|-|-------|-||----|---------⌫---⌫|
Sireçoed istGu dmod nef u i	---|---|-⌫--|--⌫---|-|-⌫-⌫|
pa scostumant	--⌫|--------|
D i ti elgeu en ue isierla	|-⌫--⌫-|--|--⌫--⌫----|-|
dunt suiça u enant	---|--|--|-⌫----|
Eparm i tut içoe sui aluostrecom a nt	|----⌫|--|----|--|-|-----|---⌫-⌫-|
ioe pur rai k arçoe ierta uenant	--|---⌫--|-⌫-|---|---|-⌫-----|
Keioeface pur uus	-|--|---|--|--|
suluncquesui p uissant.	-----|--|--|-⌫-------|
Orsenuetalestal	-||-|--|-|----|
u ein zfurent estaunt	|---⌫|-----|------|
Li autreieteür quiieterent	-|----|------|--|-------|
E l apierre lifudaportéé a itant.	|-⌫|-----|-|--|--------||-----|
K eelepesauntefust	|---|-------|---|
n enfistunkesse mblant	|-|---|----|--⌫-----|
Unc purçoe s unmanteln en	--|--|---|-⌫-|-----||-|
fudesafublan t.	-|----------⌫-|
Illenpein st	-||------⌫-|
e cel ef u uolaunt	|---⌫|-⌫|------|
Trestutdreit en	------|----|-|
celcop uEg la ffud	--|--||--⌫--⌫|--|
QuantEg laf u itle ietkeGudmodo ut	----|--⌫--|-⌫-|-|--|-|-----|-⌫-|
iet é[ f.54a]	---⌫---⌫-----|
E ilot keil est pa r	|-|-|-|-|--|--⌫|
lesrenc s mutloé	--|----⌫|--|---|
Çoe s aci ezkelifue n	---|-⌫---⌫-|-|-|-|-⌫|
mult iré.	---|----|
Lapierreduncrepri stsisest	-|-----|---|-----⌫-|-||--|
mutesforcé	--|-------|
Quil laieta	-|-|-|---|
auant pleinpiemesuré.	----|----|--|-------|
Nesetintainz se restmut dure me ntuanté	-|-|---|---|-|---|--|----⌫--⌫-|-----|
EGudmodfud	|-----|--|
en pesunmotni adsun é.	-|--|-|--|||-|---⌫--|
Deucumfudtutesparz	--|--|--|----|---|
l ores repro ié	-⌫---|-----⌫--|
Qu ilencoreasaiastde	-|-|-----|------|-|
uei ntrecel malfé	---⌫---|--|-----|
Esis siresen	|--|----|-|
e st e nue rsli	-⌫-|-⌫---⌫-|-|
Quantentent lurdes ir	----|-----|--|---⌫-|
sifet l ur	-|--|-⌫-|
S i reietaalcopu ciliertaua uncié.	-⌫|-----|-|--||--|---|---⌫------|
Mesidun cfud	--|----⌫|--|
Eglafensunquoer ad ulé	----|-|--|----|--⌫---|
Tut i mist	--||---|
sunesforzquantilad reieté	--|-----|----|-|-|------|
Parit a unt	--|--⌫-⌫--|
si ie taa uantbiendemipié	-|--⌫-|-⌫---|---|---|---|
M estauntsiwisuncop qu ilest a ionoillié.	-⌫-|----|---|--|--|-|-|--|-⌫----------|
Or s ecrementtrestu itke Gudmodleitless é	-|-⌫|------|------⌫-|-|-----||--|----⌫-|
Qu il ne uoill eieterm eselad	-|-|-|-----⌫|----|-⌫-|-|-|
enpen sé.	-|---⌫---|
Esis siresle ue itformen tlad cuniuré	|--|----|-|--⌫-|------⌫||-|-------|
Quillifacë	-|-|-|----|
honurs i cuml adcummencié.	----|-⌫|--||-|----------|
DanGudmod f ait	--|-----|-⌫--|
liiloren tendeza mei	-|-|-|--⌫-----||--|
D ambe sdous uuscuniur el amurelafei	|----⌫----|--|-----|||---||-|--|
Keuus cele deuezkibelëestçoe	-|--|---|----|-|----|--|---|
El ane luu sdunake	||---⌫|--⌫|---|-|
uuspor tezeldei –	--|---⌫--|-|--||
Mutsouentlesgardezsilamezbienle	--|-----||-------|-||---|---|-|
uei–[ f.5 4b]	--|--⌫---⌫--|
Sila pussiezno meren besoigdeturnei	-|-|------|--⌫--|-|-----|-|-----|
Cumuus ueng erezbienlorgui l	--|--|----⌫---|---||-----⌫|
e [l e ]buffei	|--⌫-⌫|-----|
Kem adfait	-||-|---|
cil uassal parsun	--|-----|--|--|
maigne des rei	-----|---⌫--|
saisiuulezkem	--|-|----|-||
e nf rez bonagrei.	-⌫|-⌫--|--|-----|
Bongré uusens a ura[i]e	--|---|--|-|-⌫-⌫-----||
m isperes lirei	-⌫-|----|-|--|
ce nttauntki·n est tro pen e sfre i.	--⌫-|----|---|--|---⌫|-|-⌫----⌫-|
DanG udmod quantlo ïsi sest tenu	--|-⌫----|----||-⌫-|-||--|---|
Mesquetauntrespundi Sire faire le	--|--|----|-------|---|----|-|
Kequecummande ruole zçoeestdreite	-|--|--------⌫|----⌫|---|--|----||
Qua nt kefa irep urra i ne re meindraenmei.	---⌫-|-|--⌫--|-⌫----⌫|-|--⌫------|-|---|
Purla pierr e porteri corentplus	--|-|-----⌫|-----||-----|---|
EGudmod laietap arissigrantn oblei	|-----|-|---|-⌫-|---|----|-⌫----|
Kede setpiez passa	-|-|--|---|----|
Eggalf dema reschei.	-----|-|--⌫-------|
Deuque lcriiout	--|---⌫|--||--|
f aitquantEggalsfuuencuz	-⌫--|----|-----|-|-----|
De sdousfill es le rei	--⌫|---|----⌫-|-|--|
fudl oenges ren duz	--|-⌫-----|---⌫--|
ADeu halt isme grantkipurn us fet uer tuz.	|--|----⌫---|----|-|--|-⌫-|--|---⌫---|
Egg eal s uetalostel	---⌫---⌫|--|||----|
tutteisanz	--|------|
Pur poiqu il	--|--|-|-|
n estde doel	|--|-|---|
Enla cort nefu pus[plus]deuit	-|-|---|-|-|--|-----|-|--|
iorzue üz.	---|--⌫---|
DesiduncfudGudmo d	--|----|--|-----⌫|
preisieze coneüz.	-------||-------|
Lireidis tases fi zBiensui	-|--|---⌫||--|--⌫|---|--|
gra nt bunt éli	---⌫-|----⌫-|-|
noueausrete nuz.	------|----⌫---|
mande Lenburcde	----|------|-|
centsal uz	---|---⌫-|
Siditkodli aura	-|--||-|-|---|
demilescuz.[f .55a]	-|--|--------⌫----|
