Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
Atuzcres tiens	|--|----⌫----|
sanz dutance	---|------|
Requistlis iu nkeslamas t	------|-|-⌫|-⌫---||----⌫|
Ke sa char tre l ipurchaçast	-|-|----⌫--|-⌫|----------|
A présces treis	-⌫----|--|----|
iu rs ueirement	--⌫-|--------|
da m eacel dolent	--⌫-⌫||--|-----|
Odbel u ol tod	-|--|-⌫--⌫|-|
belefaçun	---|-----|
Une nuitparauisiun	--|---|--|------|
Odlesaëlodles escrizEmistli	-|-|----|-|--|-----||---|-|
tutdr eitsursunpiz	--|--⌫--|--|--|--|
Iloec le mist	----|-|---|
mult b el emen t	---|-⌫--⌫----⌫|
S i cum il	-⌫|--|-|
dormi ueirement	----|--------|
L ach artr e odlesaëltroua	-⌫|--⌫----⌫|-|-|----|----|
Duncdeuintalqueors ihaitié	---|-----|-|----|-⌫|------|
Q ue depl ei negoieede	-⌫-|-|--⌫--⌫-|---||-|
Comenc ̧ata plurerf or men tEload	------⌫--||-----|-⌫--⌫---⌫||---|
Deu multpitusementLendemai nk auintpar dimai neA	--|---|---------||-------⌫||----|--|-----⌫-||
l igl i sealad	|---⌫-⌫-|---|
p lus pr oceine	-⌫--|--⌫-----|
La uli euesquesesteitU t ut lipoples	-||-|-------|-----||-⌫-|-|-----|
duncueneit	---|-----|
cit é e de nuirun	---⌫-|||-⌫-----|
Pur ueerpuroïrse rmun	--|---|--|---|--⌫---|
ewangelie esteitparlitElo ffrendechantée	--------|-----|-----|||-⌫------|------||
Theofledunkes auantuintE	------|-----|----|---||
leue sq ue	|---⌫--⌫-|
parlespiez t int	--|--|---|-⌫--|
Chaïs en ase s	----||-||--⌫|
piezdegré	---|-|---|
Cun tali co ment il out erré	---⌫-|-|--⌫---|-|--|----|
Cuntali mult	----|-|---|
pit us em ent	---⌫--⌫--⌫--|
Tutsunchaiti fr eniement	--|--|------⌫|-⌫-------|
Cum folementreniat	--|-------|-----|
Parle c ulu ert maldit	--|-|-⌫---⌫--|-----|
He breuE cumaldiableoutfaitescrit	--⌫---||--|-|-----|--|---|-----|
e rta euesque	-⌫-||------|
Cu ml e uesquiéout	--⌫||-⌫-------|--|
refu sé Uilesteitdunc	----⌫--||-|-----|---|
Cum purrecou rerg lorieu aine	--|--|-----⌫--|-⌫----|-⌫---|
Guerp i laio iesoue raigne	-----⌫|-|--⌫-|----⌫-----|
Quantditlioutsa felunie	----|--|-|--|-|------|
Dunclidi tde sainte	---|-|--⌫|-|-----|
Cumla re quistpituse ment	--|-|--⌫----|------⌫---|
Odplur e od ge miss ement	-|---||-|--⌫----⌫----|
Cum souentli requi st m erci	--|-----|-|-----⌫-|-⌫---|
D e u pardun dese rui	-⌫-⌫|-----|----⌫--|
malueisefe lunie	-------|--⌫----|
Parladulc esainte	--|-|----⌫|-----|
Delcyrograf e liredist	--|--------⌫|-|-----|
Comentla mere	-----|-|---|
Li outapor t ébienebel	-|--|----⌫-⌫-|---||--|
Lecyrografeod	-|--------|-|
Tu t cestli dist	--⌫|---|-|---|
oa ntlagent	--⌫-|-|---|
Oantlepopleeleco uent	---|-|----||-|--⌫---|
Lecyrografe litendi	-|--------|-|----|
Preia li quelirelefei st	----|-|--|---|-|---⌫-|
Lachartreelaletre	-|------||-|----|
Tui tliclerc kidunci	---⌫|-|----|-|---||
les f emmeske iueneie ntD itelmise rie	--|-⌫----|-||------⌫-||---|----⌫--|
eurentpitie ́	-----|-----⌫|
Cha ünen ert alcuer plaé	---⌫--|-|--|-|---|----|
Rendirentgra ces	--------|---⌫--|
lungement A	--------||
mere ensement	---|-------|
Ki limustrac el	-|-|-----|-⌫-|
Q u e receulout entelpitié	-⌫-⌫|----||--|-|--|-----|
Kisideignareceiureen	-|-|-----|-------|-|
I celskide	-⌫---|-|-|
Deusesuntturné	--|-|---|-----|
Lieuesque ioiusf o rment	-|------|----|-⌫-⌫----|
C riatedist pi tuseme nt	-⌫---||---|--⌫------⌫-|
ue n ezami	--⌫-⌫-|--|
uenezfe elz	----|--⌫--|
Deu ensesd uz	--|-|--|-⌫-|
uen eztrestuzes i ueez	---⌫-|------||-⌫|---|
Grantmir acle	----|---⌫---|
Deuami uenezauant	--|--|----|----|
Deukisi es tp uissant	--|-|-|--⌫|-⌫------|
Kine uelt quepech ereenpire	-|-|---|--|----⌫--|-----|
Kisa conuersiun desire	-|-|---------|-----|
uenezt r estu zen	----|-⌫-⌫----⌫|-|
ueez icestepenitence	---|-----|--------|
uenezuee ricestepit ié	----|---⌫|-----|---⌫--|
C eslermes	-⌫-|-----|
ecesteam istié	|----|--⌫-----|
Kiosterent la felun ie	-|-------|-|-----⌫-|
Decestuiduntlalmees t	-|-----|---||---|--⌫|
uenezuee r le rm esquehaitent	----|---⌫|--⌫--⌫-|--|------|
Deualmesafaitent	--|----|-------|
L erme s ki al m esbien cumforten t	-⌫----⌫|-|--⌫-⌫-|---|---------⌫|
L ermes ki a	-⌫----|-||
D eu almesp o rtent	-⌫-|----|-⌫-⌫----|
Deu requierentpar dun	--|---------|---⌫--|
Edepechezremissiun	|-|-----|--------|
Tuitcresti en	---|------⌫-|
uenezuenez	----|----|
Cesteslerm es saint esesguard e z	-----|----⌫-|-----⌫-|-------⌫-⌫|
D eu delc ielenpitiémouent	-⌫-|--|-⌫--|-|-----|-----|
Kidesoncoru zpard untrouent	-|-|--|----⌫|----⌫-|------|
Plur ureisundequeren tier	---|------|-|---|--⌫---|
C haünshoe m poet esmerue iller	-⌫-----|---⌫|---|-------⌫----|
Lasuffr ance	-|-----⌫---|
Deueprei sier	--||----⌫---|
Chascunp uet auergrant	------|-⌫--|---|----|
Delachar ite ́d e	-|-|----⌫---⌫|-⌫|
Deusad uer snuspecheürs	---|-|---⌫|--|--------|
Kire ceit nozpitusclamu rs	-|--⌫---|--|----|-----⌫-|
Moÿseskilaleidona	------|-|-|--|---|
Quaranteiur sprimes iuna	-------|---⌫|-----|---|
Deu receut	--|-----|
l ei Kil escristdesunduz	-⌫-||-|------|-|--|--|
Cistnos tre fre rereiuna	---|---⌫--|---⌫-|-----|
Q uaranteiu r se	-⌫------|--⌫-⌫||
templesai nte	-----|---⌫--|
Pu r adrescier sa fole uie	--⌫|--------|-|---|--|
Pa r ieuneroutla	--⌫|-----|--|-|
DeumerciEsag raceq u ilainzperdi	--|----||-|-⌫---|-⌫|-|---|----|
Ensem b leme ntod	-----⌫-⌫----⌫-|-|
ces t pecheur	---⌫|------|
si benignement	-|----------|
La uo iz d icestpe churdolent	-|--⌫-||----|--⌫---|-----|
Parla pr eieree larequeste	--|-|--⌫----||-|-------|
Marie kiest pr este	----|-|--|--⌫---|
Apresen terno z ureisunsA	|------⌫--|--⌫|-------||
Deuenosaffl icti uns	--||--|----⌫----⌫--|
Kiestdesuz	-|--|----|
Deu cheuetaineE	--|---------||
Deue nus funtai g n e	--||--|------⌫-⌫-⌫|
Refui dec haitifsparfiance	----|-|-⌫------|--|-----|
Dese rranzu era ie esperance	--|-⌫----|-⌫---⌫-|--------|
R efrigeried echa itifs	-⌫--------|-⌫|---⌫----|
uie es a lu asesamis	--||-⌫-⌫-||--|---|
Ki refreinela m a leiçunDuma inenature ar aisun	-|-------|-|-⌫-⌫------||---⌫--|-----||-⌫----|
Ki estport e depar eïs	-|--|----⌫|-|---⌫---|
Deupur nus chaitifs	--|--|--|-------|
Ki faiten tre renceleporte	-|---|--⌫---⌫|-|---|----|
Trestuz icels keel ecumfor te	------|----|-|--⌫|------⌫-|
Kioffr enos peticiuns	-|----⌫|--|--------|
Asonfiz eno s ureis uns	|--|--||--⌫|-----⌫--|
Ki despechiezrequiertpardun	-|--|------|-------|-----|
D eu e remissiun	-⌫-||--------|
Da meducereïne	--⌫-|---|-----|
Preezpurnu ss ai ntemeschine	----|--|--⌫|-⌫--⌫--|-------|
Auusueil lumauus fuium	|--|----⌫--||--|----|
D e queor entieruusrequ erum	-⌫|----|-----|--|----⌫---|
Keuusnenus laisse z es t raire	-|--|-|--|------⌫|--⌫-⌫----|
Sanz uusne	---|--|-|
sauomnusquefaire	----|--|--|----|
Preezpurnus uost ref iz ch er	----|--|--|----⌫-|-⌫-|--⌫-|
Qu ilnusfaceuer sseiapr ocier	-|-|--|---|---⌫|--|---⌫----|
Trestut li cre stie ndelmund	------|-|---⌫----⌫|--|---|
Enuusdamelurfiance	-|--|---|--|-----|
uus fuiuma uustendu mA	--|----||--|-----⌫||
Deu par uosnoza lmesrendumEuusdame e	--|--|--|--|-⌫---|-----||--|---||
uo stre fi zcher	--⌫---|--⌫|---|
Sal uumnus dequeor entierEglo rifiumnuiteior	---⌫--|--|-|----|-----||---⌫-----|---||--|
uostre fizno strecherseig nur	-----|--|--⌫---|---|----⌫--|
Qu epurraip arlerquedirr ai	--⌫|-----|-⌫----|--|----⌫-|
Uqu elloënge	|--⌫-|------|
offeraiAceluiq uideuusnasqui	------||----|-⌫-|-|--|-----|
Kis i es tdu zparsa merci	-|-⌫|--⌫|--⌫|--|-|----|
La nge defalt pur	--⌫--|-----|--|
Sesmerueilles	--|---------|
ea mustrer	||------|
Da uid di t el	--⌫--|--⌫|-|
P ur uo z oue raignesbienpreisier	-⌫-|--⌫|---⌫------|---|-------|
uoz o uerainessunt eshalcies	--|-⌫-------|---|--------|
Magnefiees e pr eisees	---------||--⌫-----|
Acestuiestbienco uenab le	|-----|--|---|--⌫-----⌫-|
La ewange lie la	-|------⌫--|-|
De u parable	--⌫|------|
Aportez stol ee sil ues tezEanel	------|----⌫||--|---⌫--||---|
ensu ndeimetez	-|--⌫|--|----|
C halce zlepar grantparage	-⌫-----⌫|-|--|----|-----|
Amenez leu eelsaluage	-----|-|-⌫--|------|
Ociezlesilmangum	----|-|--|-----|
Enmani ant deioi eeslees çum	-|----⌫--|-|---⌫|------⌫---|
Pur c eo ke nostr efrereci	--|-⌫-|-|-----⌫|----|-|
Esteitmort epuisreu esqui	-----|---||---|---⌫----|
Perduesteitoree sttroué	----|-----|--|-⌫-|-----|
Damnede uen sait a üre ́	-------⌫|-|---|-⌫----⌫|
Tantcum l ieuesque ço	---|--|-⌫|------|--|
En laloënge	-|-|------|
Geutaterr e	---||----⌫|
Sikeunkesneleuasu s	-|-|----|-|---|--⌫|
Estendu estpitu sement	------|--|----⌫-----|
Deua nt leuesq uee le	----⌫-||-----⌫-||-|
L ieuesquenefaitduncplus	-⌫|------|-|---|---|---|
Forscomanda	---|------|
leleu ersusEcomandaliel feu mettre	-|---⌫-|--||------|-|-|--|-----|
Lach artre le saël lalett re	-|--⌫----|-|----|-|----⌫-|
Paruntilert estrangié	--|--|-|--|---------|
Delaso u erain eamistié	-|-|--⌫-⌫-----⌫|-------|
En lesgu ard d et utela gent	-||----⌫--|-⌫|-⌫--|-|---|
E i lsifist	|-⌫|-|---|
ignelm entE quant li p op les arde iruit	------⌫--||----|-|-⌫--⌫--|----⌫-|--|
Celcyrografecelescrit	--|--------|--|-----|
T uit comen cerent a p lurerE	-⌫--|-----⌫-----||-⌫----||
De uesam ere loër	--⌫||-|-⌫--|----|
Multlunge ment	---|-----⌫---|
Deuilo ërentE	--||--⌫-----||
Ky rieleiso nch anterent	--⌫--------⌫|--⌫-------|
Li euesquetaisi rles	-|------|-----⌫|--|
fis t E pu is aprés	---⌫||--⌫-|-----|
Sicomença puisle secrei	-|-------|---|-|-----|
De lamess ep arbonefei Equantli	-|-|----⌫|-⌫-|---|--||----|-|
secrez er t	-----|--⌫|
Theoph le auantalez	------⌫-|----|---|
Receutledulzcorsde	-----|-|---|---|-|
sancpurnu s es pandu	---|--|--⌫|--⌫----|
S afac ecumsoleil	-⌫|---⌫|--|-----|
An eir equa nt receulau eit	--⌫---⌫|---⌫-|----||--⌫--|
Cil ki uirent safaçun	--|-|-----|-|-----|
La clere transfigureisun	-|----|--------------|
Lo ë rent	--⌫--⌫---|
Deu parmultgrant hait	--|--|---|----|---|
Kisulp ar sei	-|--|-⌫-|--|
merueil le sfait	-------⌫--⌫|---|
A lt emple	-⌫|-⌫----|
DamealerentE	---|------||
esonfizloëre nt	|--|--|------⌫-|
Quiled eliur erentde	--|-|-⌫-----⌫----|-|
Theop h le ifudlihonura bles	-----⌫-⌫-||--|-|------⌫---|
Liho nuret	-|--⌫----|
Theophle estut	-------|----|
E lliuu la damelui	-⌫|--||-|---|--|
La uiluit lauisiun	-||-|--||------|
Declinas ei lisaint barun	------|-⌫-|-|----|----|
Treisiursi esteitab eissez	----|---||-----|--⌫-----|
Ensementcum il fustfichez	-------|--|-|---|-----|
Aprésles treis	-----|--|----|
iurzuei rem ent	---|---⌫---⌫--|
Saluailm ultbonement	----|-|-⌫--|-------|
Tuzles frerese	--|--|-----||
sisbei s a	--|---⌫-⌫|
Quanqueilouta p oures do na	------|-|--||-⌫----|--⌫-|
Siqu el mundriennelire mist	-|-|-|---|---|-|-|--⌫---|
Comandaseia	------|--||
CristEa sa	----|||-|
duceche r emere	---|---⌫-⌫|---|
Ki gua rantlui	-|---⌫---|--|
fud delmal 1ere Aquiil aueit escrit	--|--|--|---||--|-|----|-----|
Ki pre sl aueit de	-|---⌫||----|-|
Deu sustraitS a lmec om an da	--|-------||-⌫--|-⌫--⌫--⌫-|
uei rementA	---⌫-----||
samere ense ment	-|---|----⌫---|
uitl auis iun	--||----⌫--|
Re ndilalme	--⌫--||---|
feie odb onememo rie	--||-|-⌫--|----⌫--|
Rendilalme	----||---|
lasu s en glori e	----⌫|-|-----⌫|
El liuu dunc	-|--||---|
lalmerendi	|---|----|
Ertsisco rsbel enseueli	--|--|--⌫-|--|-------|
Lagist uncor eelagirra	-|---|-----⌫||-|----|
Desquelederainior	-----|-|-----|--|
su nresuscitement	--⌫|------------|
Deuiugeratu tegent A	--|-----|--⌫-|---||
kis eitglorie	-|-⌫--|-----|
e lo ë ment	|--⌫--⌫---|
Par t uzsiecles finabl ement	--|-⌫-|------|------⌫----|
C ilnus seitrefui e	-⌫-|--|---|----||
salu Eencuntremalfée scu	---||-------|-----|-⌫--|
Cheredameducereïne	----|---|---|-----|
Deusain teme schine	--|----⌫-|--⌫-----|
Mari e gloriuse	----⌫|-------|
Kiestes mere	-|----|---|
fil leees puseA celuikit utesriensfi st	---⌫-||--⌫---||----|-|-⌫---|----|--⌫-|
Ceoestlisires	--|--|-|----|
Requerezlep urnuspecheurs	-------|-|-⌫-|--|-------|
Presen teza luinos cl amur s	------⌫--||--|--|--⌫----⌫|
Nosle rmesenozureisuns	--|--⌫---||--|-------|
Nosieunes e nozafflict iun s	--|-----||--|-------⌫---⌫|
Que ilaittel m ercidenus	--|-|--|--|-⌫---|-|--|
Q ueelciel pui ssumestre	-⌫-|-|---|---⌫---|----|
o duusE loër	-⌫|--||----|
Deuen maieste ́	--|-|-------⌫|
Quiuit er egne	--|--||-⌫---|
entrinite ́	-|-------⌫|
Auuerneaunecité	------||--|----|
Duntli nuns estia	---|-|---|--|-|
tr esturné	--⌫-------|
Kiiaer tmarchedemarcheis	-|-|--⌫|-----|-|-------|
Du n kes ert	--⌫-⌫--|--|
Auu erne cl ameeEorest	---⌫---|--⌫---||-|--|
Cler m unt apelee	----⌫-⌫--|-----|
Enc ele ci tésistia di s	-|-⌫--|--⌫--|---|--⌫--⌫|
Romains lenoble ile pris Enostrete ns	------|-|-----⌫|-|---||-----|--⌫-|
i fud tenu	|--|---|
Unc uncilleum aintbon clerc fu	-|-⌫------||-⌫---|--|----|-|
Encel cuncille e rtesgardé	-|--|-------|-⌫-|-------|
Ke crestiencumboneuré	-|-------|--|-------|
Alassent a	-------||
Iherus ale m E alsain t lie ud e	------⌫---⌫||-|----⌫|---⌫|-⌫|
D euu r erpur	-⌫-|-⌫-⌫-|--|
Deu seruirElurpec hiezespenir	--|-----||--|---⌫---|------|
E nlacité o u teuesquié	-⌫|-|----|-⌫-⌫|--------|
Uns euesqu e si ert pre isié	--|------⌫-⌫||--|---⌫----|
Sidon ius aueit	-----⌫--|----|
Bonsclersertebonb arun	---|----|--||--|-⌫---|
Bon ic i useuesque iesteit	---⌫--⌫-⌫-|------||-----|
M aisnesai pasiug i er a	-⌫--|-|--|--|---⌫-⌫-||
drei tSilfustdeuant	----⌫||-|---|-----|
S idonie unon	-⌫-----||--|
Ambduiesteientsaint baron	-----|-------|----|----|
Bonit er t religius	----|--⌫|-------|
El seruise	-|------|
D a meserui nuiteior	-⌫-⌫-|----|---||--|
Elsoenserui se outg ra ntamur	-|---|-----⌫-|--|-⌫--⌫-|---|
espiritelsEenueiller contin üels	---------||-|------|------⌫----|
Establ ia sei itel us	------⌫||--|---|-|
Quechaünenu itleuasus	--|------|--⌫-|---|--|
Sia lapuis enc e l m os ti er	-|-⌫-|---|-|-⌫-⌫|-⌫--⌫--⌫-|
Deu urer ladamepreie r	--|---|-|---|-----⌫|
Distmatines epsalm odie	---|------||-----⌫---|
Karsis al tersert el	--|--|--⌫---|--|-|
mustier Ucil	------||--|
le ua puruerseiller	--⌫-|--|---------|
Mic hie lertcele	---⌫---⌫|--|---|
iglise Uilleuaal	-----||-|---|-|
Deu seruise	--|------|
Uratod gran tdeuoti un	---|-|----⌫|------⌫-|
Requis t d eses	------⌫|-⌫|--|
pechiezp ardun	------|-⌫----|
Des pec hiezauenircui ntise	--|---⌫---||----|---⌫----|
Rend i s ei a	----⌫|-⌫-||
De usacrefis e	--⌫|--------⌫|
Qua nt ilses pechiezrecor dout	---⌫-|-|--|------|-----⌫---|
En suspiran tdequeor plur outL	-|--------⌫|-|----|----⌫--||
amur del amere	---|-|-⌫|---|
Lefist plur er	-|---|----⌫-|
de gra ntmaniere	-|---⌫-|------|
alterap rocier	----|--⌫-----|
Delu inzestut pu ruerseiller	-|--⌫--|----|--⌫|---------|
Ne q u idout pasquilpeust	-|-⌫-⌫----|--|-|-|----|
Aprocier lal ter cumdeust	-------||--⌫--|--|----|
Enunan gleiloecse t a pi	-|-|--⌫--|----|-|-⌫-⌫-|
De ses pechiezcriamerci	-|--|------|---|----|
Quantlen ure	----||-|--|
plushumble m ent	---|------⌫-⌫--|
Tan tl e prent	---⌫|-⌫|----|
U nen u it cum	-⌫-|-⌫-⌫-|--|
fistsaureisun	---|-|------|
uitunepr oce ssiun	--|--|--⌫---⌫----|
sa intesensement	--⌫----|-------|
uitcurtei sement	--|------⌫-----|
Beal sgumfanuns	----⌫|--------|
uit port er	--|----⌫-|
Cumal tregent lesuitale r	--|--⌫--|---|--|--|---⌫|
O rdeneementara isun	-⌫---------||--⌫---|
Cuml e nfaitenprocessiun	--||-⌫|---|-|---------|
Blansesteie n tdegra ntmaniere	----|------⌫-⌫|-|---⌫-|------|
Delurcors i s sigrantlumie reAgrantmerueill e	-|--|---|-⌫-⌫-|----|-----⌫-||----|--------⌫|
b lances teie nt	-⌫---|--⌫----⌫-|
Detutespa rz relui seie nt	-|----|--⌫-|-----⌫----⌫-|
Itantioutsaintespe rit	----||--|----|----⌫--|
Kel iliusemblouttrop	-|-⌫|--|-------|---|
Si dulcementsibienchante rent	-|--------|-|---|------⌫---|
Kecel e ue squeespoe ̈nterent	-|--|-⌫--⌫---|-----⌫-------|
D esque sus	-⌫----|--|
a lairrebundo ut	||--|-------⌫-|
de su oizke is uno ut	--⌫|-⌫--|-||-⌫---⌫-|
Lieues que en outpoür	-|----⌫--|-|--|----|
Retrais t semultpurl	-------⌫|-|---|--||
Enprienstsun dos	--------|--|--|
Uncorepertsachezen fei	-----|---|-----|-|--|
Sicump ri enst	-|--|-⌫--⌫---|
a lm urariere	-⌫|-⌫-|-----|
Restr ein stse i lem ure l apiere	-----⌫---⌫-|--⌫|-|-⌫-||-⌫|----|
Cauee estcumfust un	----|--|--|---|-|
Le faitsembletuttensnou el	-|---|-----|--|---|---⌫-|
T res bienpoutl e n sei nt eme ntcreire	-⌫--|---|---||-⌫|---⌫--⌫---⌫-|-----|
Queli mu rs d una	--|-|--⌫-|-⌫--|
Als eintbaru nqui	-|-⌫---|----⌫|--|
out po ür	--|--⌫--|
Deulet urnasipurs a	--|-|-⌫---|-|--|-⌫|
Apr éscelepr ocessiu n	---⌫--|---|--⌫-------⌫|
Reuit uenirmaintsaintbaron	----|----|----|----|----|
Enmielsladamelui sante	---|--|-|---|---⌫----|
Marie lauai llante	----|-|---⌫-----|
M enerentl a	-⌫------|-⌫|
liseint poëte	-|----|-----|
Lip at riarch eelipro phete	-|-⌫--⌫------⌫||-|---⌫----|
Lialt re sainz	-|---⌫-|----|
e nt ura lerent Een u ersl adameguar derent	-⌫--⌫-|-⌫-----||--⌫-⌫--|-⌫|---|----⌫-----|
P ursun coma nd emento ïr	-⌫-|--|----⌫--⌫----|-⌫--|
T uitfurentpre sta su nplaisir	-⌫--|-----|---⌫-||--⌫|------|
D un cc omandala	-⌫--⌫|-⌫-----|-|
Quele nlichantas t messeaneire	--||-⌫|-|-------⌫|----|-----|
L iseinzpris trent ac u nseiller	-⌫|----|----⌫----||-⌫-⌫-------|
Kipeust lamessecomencier	-|----|-|----|--------|
Duncdistele	---|---|--|
Laisse zest er	------⌫|---⌫-|
Bo nitus lamedeit chanter	--⌫----|-|-|---|------|
kil estdigne delfai re	|-|--|----|--|---⌫-|
IIestsainzhoem edebonaire	-|--|----|---||--------|
Bonituslau ilt apisseit S	------|-||-|-⌫-------||
ilmaisen peustcuren	-|---|-|----|---||
Es cu serseu oleitdelfait	--⌫--⌫--|-|-⌫----|--|---|
Qua nt unsa ngelesaua ntle t r ait Edreitdeuant	---⌫-|--|-⌫-----|---⌫-|-|-⌫-⌫--||----|-----|
l altellasist	|----||----|
S ai ntu estemen tdeuant	-⌫--⌫-|-⌫-------⌫|-----|
