c hic om mence	-⌫-|-⌫--⌫----|
leurpaieme nt.	---|------⌫-||
etl ie mper e resredem andaen core	-|-⌫|-⌫----⌫-⌫--|-----⌫---|--⌫---|
u nrespit etonlid o n na.	-⌫|-----|-|-|-|-⌫-⌫-⌫-||
etpard ede ns si	-|--|-⌫---⌫-|-|
hommeetsesgensetchismorch ofles quilauoit	----|-|--|---|-|---|-----⌫----|-|-|----|
iete ́dep riso n ui n rental uiet seli	----⌫|-|-⌫----⌫|--⌫-⌫---||-⌫-|-|-|-|
sireuous leuraue ́ s trop	---|---|---|---⌫-⌫|---|
paiéneleurpa iésplus	----|-|---|--⌫---|---|
uousestes tousraie ns ta ntleu rauésuouspai é	---|----|---|----⌫-|--⌫-|---⌫|----|---|---⌫-|
maisfaites lesentaleret	---|-----|--|--|---|-|
silescongeés	-|--|-------|
horsde uotere.	---|-|-|---||
etalexes sicreichuconsel si n e	-|-----|-|---|--|-----|-|-⌫|
leur uautnientpaier	---|---|----|----|
quantchusr es pi sfupassése t	----|---|-⌫--⌫--⌫|-|------|-⌫|
lifra nchoisuirr ent quel iem pereres	-|---⌫-----|----⌫--|--|-⌫|--⌫------|
nel es paio itnientsi s asanlerent to utliconte	-|-⌫-|----⌫-|----|-||---------|--⌫-|-|----|
et lihaut h ommedelos tsise n	-|-|---|-⌫---|-||--⌫|-||-⌫|
alerentupalaisl empereur	------||-----||-------|
et dema nderent	-|----⌫------|
d erekiefleurpa i eme nt .	-⌫------|---|--⌫-⌫---⌫-||
etl iempereresleur respondiqui l	-|-⌫|--------|---|-------|-|-⌫|
nelespooitpaierenn ulefinet	-|--|----|----|-|-⌫--|--|-|
libaronlirespo ndir entquesil	-|----|-|-----⌫----⌫--|--||-|
nele spaioitilpourcacheroient	-|--⌫|-----|-|--------------|
ta nt dusien quil s er oient pai é .	--⌫-|-|---|-|-|-⌫--⌫----|---⌫-||
achesparolessepartirentli	|---|------|-|--------|-|
barondupa laiset	----|-|--⌫---|-|
s en reuin re nt aleur herberge setquan til furent	|-|-----⌫--⌫-||---|--------⌫|-|----⌫|-|-----|
reu enusi prisent conselensanle q uil	---⌫--|-|------|-----|------|-⌫|-|
feroi e ntta ntquilr enuoiere ntal	-----⌫-⌫-|--⌫---|-|-⌫--------⌫-|||
e mper eurde u scheualierset	-⌫----⌫--|--⌫-⌫|---------|-|
seluimanderen t	-|--|--------⌫|
dereki efquil l eur enuoiastleurpai ement .	------⌫-|-|-|-⌫--|-------|---|---⌫----||
et ilres pondi	-|-|---⌫----|
asmess ages quilnelespaier oitnient qu	-|----⌫---|-|-|-|--|-----⌫--|----|-|
illeurau oittropp aiéetquil	-|---|--⌫--|---|-⌫---|-|-|-|
n eles dou to it	-⌫|--|---⌫--⌫-|
nulecre atur e	---|---⌫----⌫|
ains leurm andaquilsen	---|---|-⌫---|-|-||-|
alai ssen tet	----⌫----⌫|-|
w idaissents eter eetbienseussent il que	-⌫--------|-⌫|---⌫|-|---|-------|-|--|
sil n elew ido i ent	|-|-⌫|-|-⌫---⌫-⌫--|
auqu esparta nsquilleur	----⌫-|--|--⌫-|-|-|---|
feroi tanui.	-----⌫|---||
ata ntlimessa ges	|--⌫-|-|-----⌫-||
en reui nrentet fisen tsauo ir	-|----⌫----|-|-----⌫|----⌫-|
asb a ronsch ouque	-|-⌫-⌫---|--⌫-|--|
lie mpereresauoitres pondu.	-|-⌫-------|----|---⌫----||
libaronquant il	-|----|----|-|
oi rentchous i se consellie re nt qu il feroient	--⌫---|---|-⌫|-|---------⌫--⌫-|-|-|-------|
tantqu e liduxdeue nice	------⌫|-|--|-|--⌫---|
dist quiluoloita l erparler alui .	---|-|-|-----|-⌫-⌫-|-----||--||
sipristunme ssageselimandaqu	-|----|-|--⌫----|-|-|----|-|
iluenis ta luiparler	-|-----⌫||--|-----|
seurl eport	---|-⌫|---|
e mpe rer esi	-⌫---⌫---⌫-||
uint a che u al	---||---⌫-⌫-|
duxfist armerquatregaliessisene ntraen	--|---|----|-----|-----|-||-|-⌫---|-|
lu neetlest rois f istaler	|-⌫-|-|--|-⌫---|-⌫--|---|
a u ecluipourliwa rder	-⌫-⌫-|--|---|-|--⌫---|
etquantilu i ntuersleriue	-|----|-|-⌫-⌫-|---|-|---|
uit l empereur quiiestoituenus	--||-------|--||-----|----|
a cheual siparl a alui	|-----|-|----⌫||--|
etse lidist a lexequecuides	-|-|-|---|-⌫---|--|-----|
fistliduxpreng w ardequenous t auonsgeté	---|-|--|----|-⌫---|--|---||----|----|
cai tiue tesi	---⌫----⌫-|-|
tauonsf aitseigneur et coroné aempe re ur	|----|-⌫--|-------|-|------||----⌫--⌫-|
nenoustenras	-|---|-----|
tu mi efist li du xnosconuenen chesnesin	-|--⌫|---|-|--⌫|--|--------⌫---|-|-||
en feras plus	-|----|---|
fistli empereres	---|-|--------|
ienenf era i plusque fait	-||-|-⌫---⌫|---|--|---|
distliduxgar chonsm aluais	---|-|--|---⌫----|-⌫-----|
noustauonsf ist liduxgetéde	---||----|-⌫--|-|--|----|-|
l emerdeetenle	-⌫|----|-|-|-|
remet erons	-----⌫----|
tedesfiet biensach estuqueie	-|----|-|---|----⌫-|-|--|-|
tepourca cherai mal a m enpooir	-|------⌫-----|--||-⌫-|----|
deches pas en	-|---|--|-|
achesparolessen pa rtiliduxets	|---|------||-|--⌫--|-|--|-||
en reuintarriere.	-|-----|------||
sis asanle rent	-||------⌫---|
lico nteet toutlihaut hommedel	-|--⌫--|-|---|-|---|----|-||
ostetliuenicienpour prendr eco nselque	--|-|-|-------|---|------⌫|--⌫---|--|
ilfero ie nt	-|----⌫--⌫-|
etdisentliuenicienq uilnepooient	-|-----|-|-------|-⌫|-|-|------|
mie fairele uresch ielesneleurengi ens seurleur nes	--|----|--⌫-|----⌫----|-|---|----⌫--|---|---|--|
pourletansq uitrop estoit	---|-|---|-⌫-|---|-----|
si estoitle	-|-----|-|
saisons entre f estetous	------|----|-⌫---|---|
sainse tnoel.	----|-⌫|---||
entreme ntiersquilestoient illuequessie smarisi	-------⌫-----|-|-|-------|--------|-|-⌫----|-|
ne faitma is elliempere reset sit raiteur	-|---|--⌫-|-|-|------⌫--|-|-|-⌫------|
quient ou rli estoientsisepourpenser e ntd	--|---⌫--⌫|-|-------|-|-|----------⌫-⌫-||
unegra nt trai so nq uiluoloien tilprendreen	--|---⌫-|----⌫--⌫|-⌫|-|-------⌫|-|------|-|
le chite par nuit nes	-|----|--|---|--|
si l esfontil toute semplir	-|-⌫-|---|-|-----⌫|-----|
debi enseskel egnne	-|--⌫-|----|-⌫----|
lardo ns dedensle legnn esi	-----⌫-|-----|-|-----⌫|-|
fontilbouter	---|-|-----|
ui ntuers mienuitetlesnesfur ent bie nesprises	--⌫-|---|--|---|-|--|--|---⌫--|---⌫|-------|
s iuen toit moutdurementsilaissentl ig riu	-⌫|---⌫---|---|-------|-|-------|-⌫|-⌫--|
illequesches nes toutesardans	-------|---|--|-----|-----|
pourardoirle nauieas franchois et	---|-----|-|----|-|--------|-|
liuens lesacach oitg rant	-|---|--|-----⌫--|-⌫---|
al eureuers lenauie.	--⌫---|---|-|----||
aperchoiuentliue niciens isal ent su s sientrerent	-----------|-|--⌫-----|-⌫|---⌫--|--⌫|-|--------|
enbargeset engalies	-|-----|-|-|-----|
si fis en ttant queonque s	-|---⌫--⌫|---|--|-----⌫|
le gra ce dieu	-|---⌫-|---|
leurnauiesneneut g arde .	---|-----||-|--|-⌫---||
nedemo ramie apresplus	-|----⌫-|--|----|---|
de quinzeio ursque lig riu refisent autretel	-|-----|--⌫--|--|-|-⌫--|-------|-------|
etqua nt liue nicienles raperchur ents iralerent encon tre	-|---⌫-|-|--⌫-----|--|---------⌫--|-⌫|-------|-----⌫--|
etdeffendirent molt bienleurn auie dechuf usi	-|-----------|---|---|---|-⌫---|-|--|-⌫|-|
q ue onqu es	-⌫-|----⌫-|
legrace dieu nen	-|----|---||-|
neurentwarde	|-----|----|
fors une nes markaandequi luequesestoit	---|--|--|--------|--|------|-----|
uenue c hele fuarse.	----|-⌫---|-|---||
etlekie rt esestoit sig ransenlo stque	-|-|---⌫--⌫-|-----|-|-⌫---|-||-⌫-|--|
oni uendoit	-||------|
u nsestierdeuin yysaus yy	-⌫|------|-|--|-|---|-|
sausyys a us	---|-|-⌫-⌫-|
tele eure f u e tune	---|---|-⌫|-⌫|--|
sausetunoefyydenie rs	---|-|-|--|-|-----⌫-|
maisdubescuitniauoitil	---|-|------|||----|-|
mie tele kierte ainsen	--|---|-----|---|-|
auoientau ques	------|--⌫---|
aleurost mainten ir u nepiech e.	|---|--|-------⌫-|-⌫-|-----⌫||
e ntrementie rs quilseiornoient illuec liuersisewarnir ent	-⌫----------⌫-|-|-|----------|-----||---|-|-|------⌫--|
moltbienchi ldelechiteet fisent	---|---|---⌫|-|-|----|-|-----|
leurmurrehau chiere tleurtoursetf isent refa i re par	---|--|-----⌫----|-⌫|---|----|-|-⌫----|----⌫-⌫-|--|
deseurel es	------|-⌫-|
tor sde pier reboines	---⌫|-|----⌫-|-----|
tor s de fustet	---⌫|-|---|-|
f isentc h es tors d e f ustbie nhourderp ar	-⌫----|-⌫-⌫-|---|-⌫|-⌫--|---⌫|------|-⌫-|
dehorsdeb oines	-----|-|-⌫----|
aiset bienc ouurir pardeseure de boinscuirssi	--|-|---|-⌫-----|--|------|-|----|----|-|
q u iln eussentwar de	-⌫|-||------|---⌫-|
des esquielesd es nesas uenicie ns	--|--------|-⌫-|--|-|-------⌫-|
et au oie ntbienli mu r	-|--⌫---⌫-|---|-|--⌫|
s oisantepi e s de hautetles	-⌫------|--⌫-⌫|-|---|-|--|
torschent.	---|----||
etfisentbienqu aranteperr i eres rengie rpar	-|-----|---|--⌫-----|----⌫-⌫---|------⌫|--|
c hit edekief	-⌫---⌫|-|---|
enkief les mursenchelendroit	-|---|--|---|-|---|------|
ouon cuidoit queonassaus it etne	-|-|------|--|-|------⌫-|-|-|
m eru eil lese il	-⌫---⌫---⌫-|-|-|
fise ntchou ca r molten eurentgran t loisir	----⌫-|---|--⌫|---|-|-----|----⌫|-----|
entrechesentrefaitesli griulitraitre	----|---|----------|-|---|-|------|
l empe reeuretmorchofles	|----⌫----|-|---------|
q u eli em pereresau oit geté	-⌫-⌫|-|--⌫------|--⌫--|----|
de priso nsas anle rentunioretpo urp arler ent	-|-----⌫||--⌫----⌫---|-|--|-|--⌫---⌫-----⌫--|
u negranttraiso nquil	-⌫-|----|------⌫|-|-|
uo loientautre	--⌫-----|----|
em pereur de chelui	--⌫-----|-|-----|
fairequ ilesd el iu rast d es	----|--⌫|--|-⌫--⌫--⌫---|-⌫-|
fran c hoiscar	----⌫-⌫---|--|
alexe s neleursanloit mieboins	-----⌫|-|---|------|--|----|
tantq uemorchofles dist	---|-⌫-|---------|---|
seuous meuoliésfi stil cr oireet uous	-|---|-|------|--⌫-|-|--⌫---|-|---|
meuoliésfa i re emper eur ie uousdeliuerroiesibien des	-|------|--⌫-⌫-|-----⌫--|-|---|----------|-|---|--|
f ra nch oiset dele mpereur quei amaiswarde nen	-⌫--⌫---⌫--|-|-||-⌫------|--|-⌫----|----||-|
etild isentque	-|-|-⌫----|--|
sillesen po oit	|-|--|-|--⌫--|
deliurerquilleferoi ent empereuret	-------|-|-|-|-----⌫--|-------|-|
morc hoflesleurcreant aq uil lesen	----⌫-----|---|------⌫|-⌫|-|--|-|
deliuerroitdedensu itiours	----------|-----|-⌫-|----|
etil liotriierent quille feroientempereeur	-|-|-|---------|-|-|-|-------|--------|
adontalamorchofles nes euliamie	----|--|---------|-||----|--|
si pr istse riansaueclui	-|--⌫--|--⌫----|---|--|
sisenentrapar nuit	-||-|----|--|---|
enlecam bre ouses sires	-|-|---⌫--|-|--|----|
li empereres	-|--------|
quilegetadeprison	--|-|---|-|-----|
sedormo itsilifi stlachier	-|-----⌫-|-|-|--⌫-|------|
une corde u cols i le	--|----||--|-⌫|-|
fistestr anleret	---|----⌫----|-|
sen perekyrsaac a usi.	--|---|------|-⌫--||
quant ileut chou fai tsiu i nt ariere	----|-|--|---|---⌫|-|-⌫-⌫-|-----|
qui le d euoient faire empere ur	--|-|-⌫------|----|------⌫-|
sil eur dist	-|-⌫--|---|
alerentsile	------|-|-|
coroner ent e tse n	-------⌫--|-⌫||-⌫|
fi s entl e urempereur	--⌫-⌫--|-⌫-⌫-|-------|
quantmorchofles fu empereres si	----|---------|-|--------|-|
sen alal e	|-|--|-⌫|
nouuelep a r	------|-⌫-⌫|
lec hitekest quen	-|-⌫---||--|--||
morch oflesest empereres sase i gne ur mordri.	-----⌫----|--|--------|||--⌫-⌫---⌫-|-----||
a pr esont ra i st	-⌫--⌫-|-|-⌫--⌫-⌫-|
chite u neslet res enl ost	----|-⌫--|---⌫--|-||--|
aspelerins quidisoientquemorchofles auoit e nsi	-|-------|--|-------|--|---------|----|-⌫--|
qu antl ibaronle seurent si	--⌫--|-⌫|----|-|------|-|
distauc uns	---|---⌫--|
que dehaiteust qui en ca lo itdecho uquealexes	--|-----|---|--|-|--⌫--⌫-|-|---⌫|--|-----|
estoit mors p o ur chouquilne	-----|---|-⌫-⌫-|---|-|-|-|
uaut les co uue nenchesaspelerinstenir.	---|--|--⌫---⌫------|-|-------|----||
liautredis e ntquilleure n pesoit	-|----|---⌫-⌫-|-|-|---|-⌫|-----|
quilau oi t esté sifaitemen tm ors.	-|-|--⌫--⌫|----|-|--------⌫|-⌫--||
apresnedemo ramie g r aume ntquan tmorc hofles mandaauco nte	----|-|----⌫-|--|-⌫-⌫----⌫-|----⌫|----⌫-----|----|-|--⌫--|
deflandresa uconte loe isaumarchiseta	-|-------|-⌫|----|---⌫-|-|------|-||
tou s les autres h ausbaronsquil	---⌫|--|-----|-⌫--|-----|-|-|
sen alaissentetqueilwi daissent	|-|--------|-|--|-|--⌫-------|
setereet queb i ens eussent	-|---|-|--|-⌫-⌫-|-⌫------|
est oitempere reset que sil lesi ataingnoitdedens	---⌫--|------⌫--|-|--||-|--||---------|-----|
uitioursquillesochir roi ttous.	--|----|-|-|--|-----⌫---⌫|---||
quantliba ron oirentchouquemorchoflesleur auoitmandé	----|-|--⌫--|-----|---|--|---------|---|----|-----|
si resp ondirentqui	-|----⌫-------|--|
fisent ilch isquisen	-----|-|--⌫-|--|--|
s eigneura m ordripar nuit	-⌫------||-⌫----|--|---|
entraiso nsinousa	-|------⌫|-|---||
m a ndécho u	-⌫-⌫---|---⌫|
silimandere nt	-|-|-------⌫-|
ariere que ore led esfioitil	-----|--|--|-|-⌫------|-|
et q u ilse gardastd	-|-⌫|-|-|------||
ausetque iln enpartiroient dusieges	--|-|--|-||-|----------|-|----||
aroient cheluiuengiéqueilau oitmo rdriet	------|-----|------|--|-|--⌫--|--⌫---|-|
siraroient	-|-------|
prisa utre fois	---|-⌫---|---|
cousta ntinoble etsi raroient tout plein ement les con uenenches	------⌫-------|-|-|-------|---|-----⌫----|--|---⌫--------|
quea lex es leur	--|-⌫---⌫-|---|
auoi ten co nue nt .	----⌫|-|--⌫---⌫-||
quantmor choflesoichousikemanda queo nwardast	----|---⌫------|-|---|-|------|--|-⌫|------|
lesm ur set	--|-⌫--⌫|-|
lest oursetleshordastons i	--|-⌫---|-|--|------|-|-⌫|
que ilneussentgardedes assausasfranchoi s	--|-||------|----|--|-----|-|--------⌫|
etil sifisentmolt bi e nsi	-|-|-|-----|---|--⌫-⌫|-|
que limuret lestours	--|-|--|-|--|----|
furentplusforsetplusdesfensauul esquedeuant	-----|---|---|-|---|-----------⌫-|--|-----|
il auintapresen	-|----|----|-|
c hutempore q ue xm li	-⌫-|------|-⌫-|-|-|
traitresfuemp ere reset q uelos desfrancho ises toi t	-------|-|---⌫---⌫--|-|-⌫-||-|--|-------⌫-|--⌫---⌫|
sipourecom	-|----|--|
iouuou s ai pardeuant ditetqu	--|---⌫|-|--|-----|--|-|-|
ilratornoien t dure me ntleur nese t leurengiens	-|----------⌫|----⌫--⌫-|---|--|-⌫|---|------|
pouras salir	---|--⌫----|
queiehansli	--|-----|-|
blakismanda ashausbarons	-----|----|-|---|-----|
de l ostquese	-||--|--|-|
ille uoloientcoroneraroia estre sires	-|-|-------|------||--||----|----|
d eseterede bla kie	-⌫|-|---|-|---⌫--|
queilten roitse tere	--|-|---⌫---|-|---|
etsen roiaumed ausetquiluenroiten	-|--|------||--|-|-|-|------|-|
leura iw e pour	---|-⌫--⌫|---|
aidi erapre nd re coustantinoble atoutyyhommes	----⌫-||---⌫--⌫-|-------------||---|-|-----|
o res t blakie	-⌫|--⌫|-----|
u neter equies t	-⌫-|---⌫|--|--⌫|
dudemainele mper uretestoit	-|------||-⌫----⌫-|-|-----|
chusiehansunsserians lempereeurqu iwardoitune	---|-----|--|------||--------|--⌫|------|--|
huirieresi	-------|-|
queq uant liemperer esm andoitsoi sante cheua usouchent	--|-⌫---|-|-------⌫-|-⌫-----|---⌫----|-----⌫-|-|----|
quech isiehanslienuoioitetuen oitac ourt	--|--⌫-|-----|-|-------|-|---⌫--||-⌫---|
cascun an deuantc houquil fust	-----|-|-----|-⌫--|-|-|---|
par m al delecou rtett antqu	--|-⌫-|-|-|---⌫-|-|-⌫----|
iouretqueun sescouillésu ns	---|-|--|--⌫|----------|-⌫-|
de suissie rslem per eu rli fistunlaitfa itqu	--⌫|------⌫-||--⌫---⌫--⌫|-|---|-|---|--⌫-|-|
illeferid unescorgiesparmile	-|-|---||---|------|----|-|
uissage do nti leutmoltgrant	------|--⌫-|-⌫|--|---|----|
chu l ait fait queonli fi st	--|-⌫--|---|--|-|-|--⌫-|
si senpa rti ieh a ns	-||-|--⌫--|---⌫-⌫-|
liblakisp ar	-|-----|-⌫-|
mautal entdelecou r tetsenralaen	------⌫--|-|-|---⌫-⌫|-||-|---|-|
si est bla kie unemolt for t te re	-|--|---⌫--|--|---|---⌫|--⌫-|
quitoutee st enclosedunesmontain gnessiqu eo n	--|----|-⌫-|------||---|-------⌫---|-|--⌫|-⌫|
nipue tentrer neissir	||---⌫|-----|-|----|
forspar un	---|--|-|
quant ieha ns fuuenussi co m menche aatraireles	----|----⌫-|-|----|-|--⌫-⌫-----||------|--|
haushomesde	---|----|-|
blakiecommechisqui	-----|----|---|--|
estoit rikes hons	-----|----|---|
auqu e spooiriauoit	----⌫-⌫|----||----|
si leur co mmenche	-|---|--⌫------|
aprume treet	|-----⌫--|-|
ad oun er et as	|-⌫---⌫-|-|-|
un s etasaut res etfisttan tquetout	--⌫|-|-|---⌫--|-|---|---⌫|--|---|
child upaisfurent tot	---|-⌫|---|-----|--|
sub ietalui ettant	---⌫--||--|-|---|
siresd aus.	----||--||
quant ilfu siresdaus si	----|-|-|----||--|-|
t raist il as commains si	-⌫----|-|-|-------|-|
fait ilt antq ueparunq uepar	---|-|-⌫--|-⌫-|--|-|-⌫-|--|
el quil fuleuramis	-|-|-|-|---|---|
ilfure nt totensa iweet quei lfu	-|----⌫-|--|-||-⌫--|-|--|-⌫|-|
an sicommetoussires	--⌫-|----|---|----|
o restc ommaine uneter equ imarchista bla kie	-⌫|--|-⌫------|--|---⌫|--⌫|-------||---⌫--|
siuous diraiquelgentchil c ommain sont .	-|---|----|---|---|---|-⌫-----|---||
cheso ntunegents auu age qui neeren t	--|--⌫-|--|---|-⌫---⌫--|--|-|----⌫|
nenesemment ne nontbordene	-|-|------|-||--|----|-|
maiso nains ontunes	-----⌫|---|--|---|
tentesdefeutreuns h abitaclesouil	-----|-|-----|--|-⌫--------|-|-|
se muchente tse	-|------|-⌫|-|
uiuent delait etde for m age et	-----|-|---|-|-|---⌫-⌫--|-|
siyaenestet antdemouskes et	-|||-|---|-⌫--|-|------|-|
demo uskerons queilnose nt issirhorsdele u r	-|--⌫-------|--|-||---⌫-|----|---|-|--⌫-⌫|
tentesw aire pre udeuanten liu er .	-----|-⌫---|---⌫|-----|-||--⌫-||
enyuer si issen thors de l e urtentes	-|---|-|-----⌫|---|-|-⌫-⌫-|-----|
et de leur	-|-|---|
