B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
trieues paien.Lorslorcort su saguis e	------|-----|---|--|---|--⌫||----⌫|
dom mef ier F i e rtcha	|--⌫-|-⌫--|-⌫-⌫-⌫-|--|
etlan a c ure	-|-|||-⌫--|
desp argnierFroisseceshel mes	|---⌫------|------|--|---⌫--|
si embare l	-|-----||
achierFe ntcesescus siocitces	-----|--⌫-|--|----|-|---|--|
des tr iersL e spaie n s	---⌫--⌫---|-⌫-⌫|----⌫-⌫|
et abaierDeceusq uiltueest	-|-----|-|---|-⌫|-|--|--|
ionc iésliherbiers. Tantf iertli	----⌫---|-|--------|---|-⌫---|-|
mout es t trauill iés Etde	---|--⌫|-------⌫---|-|-|
sonco rsnaure ́ se t	--|--⌫-|-----⌫-⌫|-⌫|
enpiriés Li	--------|-|
sansuermaus	---|------|
pa rlabouche li	--⌫|-|-----|-|
ci etEt sesleuiers li estpa rmi	--⌫-|-|--|------|-|--|--⌫--|
b ris i e ́s. uoit	-⌫---⌫-⌫-⌫--|---|
leliquen s senfum out co recie ́s Mais	-|-|----⌫||-|-|-⌫--|--⌫-----⌫-|---|
deltr onchon	--|--⌫-----|
fiertadèssor	----|----|--|
paiensEtSa r rasinl ont formenta ngoissiét.Or	-----|-|--⌫-⌫----||--|------|-⌫----------|-|
Guillaumes du remen tamalaiseCar Sarrasin	---------|--⌫-----⌫||------|--|-------|
mout formentle	---|------|-|
trauaille nt	---------⌫-|
De to utespars lefierent etdebatent.E lcor s	-|--⌫---|---|-|------|-|--------|-⌫|---⌫|
lifo ntSarrasin	-|--⌫-|-------|
maint eplaie	-----⌫|----|
De toutesparslang oissentet	-|-----|---||---⌫------|-|
d e trai ent.M out	-⌫-⌫----⌫---|-⌫--|
destrois limarcisFierebrace Son tronchonp ertdon t	-------|-|-----|---------|--|-------|-⌫--|---⌫|
combatre EtSarra sinl	-------|-|-----⌫--||
aerdent et enbrachent. Or ne s	------|-|----------|-|-||
amais don t	|---|---⌫|
desfendreGuillaumesF or s de	--------|---------|-⌫--⌫|-|
ses poinsdontpai ensfiert et	--|----|---|---⌫--|----|-|
maill e.Moutd ure m entle sSarrasinse nfr ap e	-----⌫-|---|-⌫---⌫-⌫--|--⌫|--------|-⌫|--⌫--⌫|
Q uiil ataint	-⌫-|-|-----|
eteluisageTou slesdefro i sseconcefust	-|-|-----|---⌫|--|-----⌫-⌫--|--|-|---|
d unema ce.Aprèsso n	|--|--⌫--|-----|--⌫|
copni couie nt ferirautre Plus de	--|||-----⌫-|----|----|---|-|
q uatorse entrebucheenla	-⌫------|-|-------|-|-|
plac e.DïentpaienC e est chiunsdëables	----⌫-|-----|----|-⌫|--|--|--|-------|
raerdent et	-------|-|
porsacen t Tant	--------⌫|---|
l apresserentlapu tegentsaluageQu	|----------|-|--⌫-|---|------|-|
encon treterreto ut	-----⌫--|----|--⌫-|
m a lgré suenl	-⌫-⌫----|---||
enbate nt.	------⌫--|
Di e x di st l iquensr öinese corable Pouruou s	--⌫-⌫|--⌫-|-⌫|----|-⌫----|--⌫------|---|---⌫|
ai fait tant e	-|---|----⌫|
fier eba tailleOr	----⌫|--⌫-----|-|
mochirrontcil felpaiensalu ag e. Tant mar	|--------|--|--|----|----⌫--⌫-|---|--|
uingonques en hermitageEspiiés s uice	---|-----|-|--------|-------|-⌫-|-|
nen est mie fable. De xse	--|--|--|-----|--⌫|-|
i aif aitcose	|-|-⌫--|---|
quiuo usdespla ise Merchi uous quier ac este	--|--⌫-|------⌫--|-----|---|----||-⌫---|
definailleLöëÿssireDiexuousgar tde	---------|-------|---|---|---|---⌫|-|
hontag e Et	------⌫|-|
soustien gne apr ès moimo n	--------⌫--|---⌫--|--|--⌫|
lignageCar de	------|--|-|
mamort aront i edout	-|---|----|-⌫|---|
dam age.Et Sarrasin que	---⌫---|-|-------|--|
li co rsD ieumal fach e	-|--⌫-|-⌫--|--|----⌫|
Le s mai ns	--⌫|---⌫-|
l oientaun se ̈inde qu atreSil eramprosnente t	-⌫----||-|--⌫--|-|--⌫---|-|-⌫|----------|-⌫|
li dïe nt Da ns	-|----⌫-|--⌫-|
maistreMou tauésfaitasSarrasinsdou t rage	------|---⌫|----|---|-|--------||--⌫-⌫---|
certesmarac oi n tastes.Orenue nr ésaPalerne le	-----|--|--⌫--⌫-⌫------|-|-|--⌫--⌫--||------|-|
lar geSiuou s	---⌫-|-|---⌫|
rendronsaSyn agonlaufageSiuousmetra	-------||---⌫---||-----|-|---|----|
enperilleuse chartreA	-|---------|------||
so nplaisi r uo us feromesdeffaireArdoir enfuou a	--⌫|------⌫|--⌫-|------|-------|-----|-|-|-||
detraire .	--------⌫|
SireGuillaumescertes mar	---|---------|-----|--|
ie ntr astes Mieusu o s	|-⌫---⌫----|----|-⌫-⌫|
ue nistqueuos	--⌫---|--|--|
fuissié s anai stre.Aic estmot iusdeld ese rt	--------⌫||---⌫----||--⌫--|--|--|--|-⌫---⌫-|
aual entASynagon	----⌫--||------|
ontil ren du	--|-|---⌫-|
Guilla umeEt	------⌫--|-|
Sarrasinde t outespar sl e sg ardentS	-------|-|-⌫----|---⌫||-⌫--⌫-----||
endemainentgran t	-|--------|----⌫|
ioie .QuantSarra sin	----⌫|----|-----⌫--|
celegentmescrëandeOrent	---|---|----------|----|
Guil laume alafierepoiss ance	----⌫----||-|----|-----⌫---|
D e sondes ertcontr eual	-⌫|--|---⌫--|-----⌫---|
ledescenden t	-|---------⌫|
EtSarra sin durement l e	-|-----⌫--|-------|-⌫|
laide ngent .Diex distG ui llau mesSain te Marie	-----⌫-----⌫|---|---|-⌫--⌫----⌫--|----⌫-|----|
uerr aima is	----⌫-|--⌫-|
roiLöëydeFran ceNeleli gn age	--|-----|-|----⌫-|-|-|--⌫--⌫--|
Ayme rilecataig neCar	----⌫-|-|------⌫-|--|
bienque ma finsuenr a	---|--|-|---|----⌫|
t enpre. Et lipaie naSyna gonle	-⌫-----|-|-|----⌫||----⌫--|-|
r end en tGrant ioie e nmaine qua ntlotenso n	-⌫---⌫--⌫|----|---|-⌫|----|---⌫-||-|-|--⌫|
demain e .Dist	------⌫-⌫|---|
Synagonsa Gu i llaume	-------||--⌫-⌫-----|
dOr engeSire Guillaumesdechiaus	|--⌫---|---|---------|-|-----|
prendrai uenianceQu e mortmaue ́sen laterre	-------|-------|--⌫|---||---⌫-|-|-|----|
dEspaigneMon	|-------|--|
grantlignageaués mis	----|------|----|--|
a tormente. E tdis tliquensOre e rta	|--------|-⌫|---⌫|-|----|--|-⌫-||
uoplaisance.Ace stmotmont entla	-|---------||--⌫-|--|----⌫--|-|
pute gentg rifaigne Guilla u me	---|---|-⌫-------|------⌫-⌫-|
lieuen tsouruns oumier aufaigne	------⌫|---|-|-⌫-----|-------|
enretor ne ntsansnuledemoraigne.	-|-----⌫--⌫-|---|---|----------|
Agr an s iorne es on t	|--⌫--⌫|-----⌫-|--⌫|
trespasséProue nce De loriornees ne	---------|-----⌫--|-|--|------|-|
uos sai cont ere ndre	--|--|----⌫|--⌫---|
Gui llaumeen mainent	---⌫-----|-|------|
chieredo lan teEnquinse	-----|--⌫---⌫-|-|-----|
l ieusauoit	-⌫---|----|
la char sangl ente. Tantuontpaienparmi l aterre	-|---|-----⌫----|---|---|----|----|-⌫|----|
estra ngeE ttan t	-----⌫--|-⌫|---⌫|
tres passentdecitéset	----⌫------|-|-----|-|
de re gne sDroit aPalerne u i ndrentun	-|--⌫---⌫|----||------|-⌫-⌫-----|-|
dïemenche.Par mi l a po r te enla u iles en	----------|---⌫-|-⌫|--⌫-⌫-|-|-|-⌫--||-|
entrentAl entrer	------|||-----|
ses crïen tto u tensa mbleFai tesg rant	|--⌫------⌫|--⌫-⌫|----⌫---|---⌫--|-⌫---|
femesCarbienauonsesploit ié nobargai gneNousame nomesdant	----|--|---|----|-------⌫--|-|------⌫--|---|---⌫----|---|
Guillaumed Orenge.De	--------||------|-|
l hermita ge	|-------⌫-|
l au o nsfa itiusdescendre	|--⌫-⌫-|--⌫-|--|--------|
Mai sdenosgensamort pl u s d equarant e.Or	---⌫|-|--|---||---|--⌫-⌫|-⌫|-------⌫-|-|
lefe r on sardoirnoier	-|--⌫-⌫--⌫|-----|----|
oupendrePo u rl er mitageli	-|-----|--⌫-⌫||--⌫-----|-|
fe ronstelesc ange	--⌫---|--|---⌫---|
Onquesnus h om n	-----|--|-⌫-||
otsifort penitance Escorciésertpuisprenderonsles menbres	-|-|---|--------|---------|--|---|---------|--|------|
le sferonstrestousardoiren	--⌫|-----|-------|-----|-|
cendre.Et distGu illaum esTui t	------|-|---|--⌫------⌫-|---⌫|
cist gloutonse mentent	---|------|-|------|
S e Dieusmesauueet	-⌫|----|-|----|-|
leb oinroideFranceMi eus	-|-⌫--|--|-|-----|--⌫--|
uousuenist que	---|-----|--|
f uisse encore	-⌫----|-----|
aprendr e.EtSynagonsneseu e utp lus	|------⌫-|-|-------|-|-|-⌫-⌫-|-⌫--|
Monteensatoursiuait ueoir	----|-|-|---|-|---|----|
sa femePu is	-|---|--⌫-|
faitouur irsagrant	---|----⌫-|-|----|
chartr epullente Noi re etoscure cl arte ́s	------⌫|-------|---⌫-|-|-----|--⌫----⌫-|
descendre. Mout	---------|---|
wiures et tarentesSerpe nscre stése t crapauset	-----|-|-------|-----⌫-|---⌫----|-⌫|------|-|
iregnesSi laide chartren o td usquenAlemaigne .	------|-|----|------||-⌫|-⌫---|-|---------⌫|
Guillaum ei	--------⌫||
uoele nt plus atendre.	-----⌫-|---|-------|
Peti ti otli que nsde la	----⌫||-|-|---⌫-|-|-|
S e Dame dieusliuraisperes ne npense Agrant	-⌫|----⌫----|-|----|----||-⌫|----||----|
dolo rusera sa	----⌫|----|-|
iouente Car moutestamalaise. Orfu	------|--|---|--||-------|-|-|
Gui ll aumes en la char tr e	---⌫--⌫----|-|-|----⌫--⌫|
Mabon De densP alerne en l a torSynagon. A	----|--⌫---|-⌫-----|-|-⌫|--|-------||
gr ant mesais e ies tet	--⌫--|------⌫||--⌫|-|
nui tet iourC ariliot	---⌫|-|---|-⌫-|-||-|
petite liuri son	-----|-----⌫--|
mengüedechar	------|-|---|
ne de pois son	-|-|----⌫--|
Neilneboit neclaréne	-|-|-|---|-|-----|-|
p ois onFor spaine t	-⌫---⌫-|---⌫|---|-⌫|
petite fois on Etde	-----|----⌫-|-|-|
se splaies	--⌫|-----|
sigrantdolorQuebi en sepasmes et foi s	-|----|----|--|--⌫-|-|----|-⌫-|---⌫|
enunrandon.Uneai g he	-|-|------|--|--⌫-⌫-|
coerta u pié de sos latorQuipar	----|-⌫|---|--⌫--|-|--|--|--|
conduit uientlaiens	------|----|-----|
derandon D	-|-----||
unf los demerqui	-|-⌫--|-|--|--|
saleee stoi tmout.Celea ighemet Guillau meen	----|-⌫----⌫|----|---|-⌫---|--|-------⌫-|-|
granterrour	----|-----|
Cari li estsouuent iusc	--|-⌫||--|------|---|
almenton Iusquesau	-|-----|------|-|
chaint ouiusques au genoul.Enlachartreo t	-----|-|------|-|------|-|-|------|-⌫|
unmouttr ésgrant	-|---|--⌫--|----|
p er r onLiquens i m on te q u i niotfait	-⌫--⌫-⌫-|-|----||-⌫--⌫-|-⌫-⌫|||-|---|
demor Cardese s plaies	----|--|-|--⌫|-----|
erte nmo ut	--|-⌫|--⌫-|
gra ntdol or Liaighesause ient reagr ant fuison.	---⌫-|---⌫-|-|----|----||---⌫-||--⌫--|------|
S ouuentreclaimeIhesulecreatorDieus d is til	-⌫-----|-------|----|-|------|----|-⌫--⌫|-|
tar edentionTensés	-|-⌫-------|------|
l e roi de	-⌫|--|-|
l agentpaieno r	-⌫|---|------⌫|
Demonli gnageaiperduelafl or Iamais par	-|--|--⌫----|-|-----|-|--⌫-|-|---|--|
s ecor sNusne me set	-⌫----⌫|--|-|-|--|
en ces te gra nt tristou r.Löëys sirecorle	-|---⌫-|---⌫-|-------⌫-|------|---||-|-|
se ̈ussi e ́suousEncorauro i eparuousmo utboinseco rs	--⌫-----⌫-⌫-|---|----|----⌫-⌫|--|---|--⌫-|---|----⌫-|
Mais c est	---||--|
p ournientcarcha	-⌫--|----|--|--|
d ede nsmor rons.T enrem entple u religenti eus	-⌫---⌫-|---⌫----|-⌫-----⌫--|---⌫-⌫-|-|-----⌫--|
quensadont	----|----|
Agrant me s ais e	|----|--⌫-⌫---⌫|
iestetnuit etiorSent leuermi ne	|--|-|---|-|--|---|-|-----⌫-|
entouretenuiron Bo setcul ueuresdont il	-----|-|------|--⌫|-|---⌫-----|---|-|
iauoitmout Serpen s	|----|---|------⌫|
etwi uresiot	-|--⌫---||-|
agrant fuisonSiflent etbraientet ma inentgrant	|----|-----|------|-|------|-|--⌫----|----|
tenchon.Mout fu G uillaumesliberengrantf richonDieus	-------|---|-|-⌫--------|-|--|-|----|-⌫-----|----|
quens q ui	----|-⌫-|
soufrispas sion Con iou suisir epouruou s en	------|---⌫---|--|--|--|---⌫|---|---⌫|-|
grant dolor	----|----|
Iou uousp rois ire	--|---|-⌫--|-⌫--|
paruo saintismenon Sonques	--|-|--------|--||-----|
fiscos equi fu st	--|---⌫|--|--⌫-|
auostrebonDontuou sproiiou bi auspere	|-----|--|---|---⌫|---|--|--⌫--|---|
gloriosQueioune muireeniceste prison	------|--|--|-|----|-|-----|-----|
iouai edes	--|--⌫|--|
pai ensuengi son.	---⌫--|-----⌫---|
SeDieuschedonequ eescaperpui s sonEn corferroie de	-|----|--|---|--⌫|------|---⌫-⌫--|--⌫--|------|-|
mon brancde	--|----|-|
colorEtporteroiee tarmeset adous	----|-|--------|-⌫|----|-|----|
Moi ue nger oie	--|--⌫----⌫--|
deces paiens	-|--|-----|
felons. Moutse desmente da ns Guillau mesli	------|---|-|-------|--⌫-|-------⌫--|-|
moutt rés grantdol or.Hui	---|-⌫---|----|---⌫--|--|
mai sorre ́sl aflorde lacanc ho nS i co n	---⌫|----⌫-|-⌫|---|-|-|----⌫--⌫|-⌫|--⌫|
Guillaume squ iotcuer	---------⌫|--⌫|-|---|
de baron Fupuisdeliur e s parunsuen	-|----|-|---|------⌫-⌫|--|-|---|
compaig nonLe timonier Landri lapel oitonC enos	-------⌫--|-|-------|-----||----⌫--|-|-⌫|--|
estoire . Or est liquens en	-------⌫|-|--|-|----|-|
lachar treenserrésPoia	-|----⌫--|--------|--||
petita d isner Unpain leiour	----||-⌫----|-|---|-|---|
plai nbouc ler	----⌫|----⌫--|
piour queon	----|--|-|
puissetrouerNusn eporroitses paines a con ter.	-----|-----|--|-⌫|------|--|-----|-⌫---⌫---|
So uen tleuon tlipaien	--⌫---⌫|-|---⌫|-|----|
r amprosn erEtli d e mandent silueu t Ma hon	-⌫-------⌫-|-|-|-⌫-⌫------||-|---⌫|--⌫--|
OdleGuilla ume s	-|-|------⌫---⌫|
le sens qu ide	-|---|--⌫--|
deruer Fila putai ndistil	-----|--||-----⌫|---|-|
laissiésmeesterSeD ieus c houd o ne	--------|-|----|-|-⌫---|-⌫--|-⌫-⌫-|
q ueioupuisseescaperI ou	-⌫-|--|-----|------|-⌫-|
tousles menbres cauperEt Syna gon	---|--|------|-----|-|----⌫--|
desmenbrerCeste cite ́a rdoiretcraue nter.Paie n l entend ent	---------|----|----⌫|-⌫----|-|-----⌫----|----⌫||------⌫--|
prend ent a gab erMai strefont ilor ma neciésassés Ia	-----⌫--||---⌫-|---⌫---|---|-|-|--⌫------|-----|-|
uo uiedeprisonnisterés.Etd istliquen s	-|--|-|-----||--------|-|-⌫--|-|----⌫|
Ensi estoit Gu il laumesenserrés Si drapsont	---|-----|--⌫--⌫-----|--------|-|---|---|
toutdesrout e t	---|------|-⌫|
desciréSet ansauoit nefupiniés ne	-------|--|--|----|-|-|------|-|
re ́ s Toutot	--⌫-⌫|---|-|
peluetleu i s	---|-|-|-⌫-⌫|
et le nésSi caueilpendentduscaln eu del	-|-|---|-|-----|------|---|-|-⌫-|--|
baudré.Quant	-------|----|
ueutdor mir	---|---⌫--|
Sour le perronleconui ent ilm onter	---|-|-----|-|-----⌫--|-|-⌫----|
reposenaau tre	-----|||--⌫--|
litpa r é.Ma igre al eski ne	--|--⌫-⌫--|--⌫---|||----⌫-|
le s flans et les	--⌫|----|-|--|
costés Tous	------|---|
es tses cors e t mas etdescarnés	--⌫|--|---|-⌫|--|-|---------|
ilnestdefain enflés.	-||--|-|---|-------|
HéDieus merchidi st Guillaumes	--|----|-----|--⌫-|---------|
l i berIereiouiadela	-⌫|--|---|--|-|-|-|
prison geté sOreensoitsire auostre	-----|-----⌫|--|-|---|---||-----|
uolenté. Etnostre	--------|-|-----|
ne lamieoublïé	-|||--|-------|
Carde sesplaies	--|-|--|-----|
fu gariset s a nés.Liangeles	-|----|-|-⌫-⌫----|-|------|
Dieulas ouentconfortéUne	---|||-⌫----|--------|--|
nuit aaGuillaumeparlé	---|||--------|-----|
belementlenaarai so néN etedesmente Guillaumes au	-------||-||----⌫--⌫--|-⌫|-|-------|---------|-|
cor t ne ́s	---⌫|--⌫-|
Ihesus t eman dequiltab i enesprou é	-----|-⌫|---⌫-|-|-|||-⌫-⌫-|------⌫-|
Si tecomande	-|-|------|
effr eé sCartuserastempredesprisonés.Dieusdis t	----⌫---⌫|--|-|----|-----|------------|----|---⌫|
Guilla umestusoie s	------⌫---|-|----⌫|
a orésEnco rferai	-⌫----|----⌫|----|
Sarra sinstousiré s.Un	-----⌫---|---|----⌫-|-|
p o i lai ronschideGuillaume	-⌫-⌫|---⌫---|--|-|--------|
es t erAp oidetansise r o nsre tor ne ́.	--⌫-⌫-||-⌫-|-|---||--⌫-⌫-⌫-|--⌫---⌫--⌫-|
Dun g entil homeuousuoelau antconter Li timonie r s	|-|-⌫----|---|---|---|--⌫--|-----|-|-------⌫-⌫|
La ndri s f u	--⌫----⌫|-⌫|
apelés.DeFranc ees toitnés de	-------|-|-----⌫|--⌫---|---|-|
grant pare nté Cousins	----|----⌫---|------|
estoitdant	-----|---|
Guillaume auc or tnés. A	--------|-|-⌫--⌫|----||
ice l tans que	---⌫|---|--|
uous öi aué sQuedans	---|--|----⌫|--|---|
Gu illaumes deuintmoinesr iulésEt	--⌫-------|-----|-----|-⌫-----|-|
qu il l aissalesarmesa porter	-|-|-⌫----|--|----||-----|
Dolant enfurent cilquilore ntaméEtc hil	-----|-|-----|--|--||---⌫-|---|-|-⌫--|
a do lésQu ilpristla	-⌫--⌫---|-|-|----|-|
crois senalao utre	----||-|--|-⌫---|
merEn Ierusale mle	--|-|--------⌫|-|
sepul creaore r.Maisilfu prisdespaiens	-----⌫--|----⌫-|---|-|-|---|--|-----|
desfaés Setansl e	-------|--|--|-⌫|
ti nrent acomplis	--⌫----|-------|
etpassésTa nt qui lplotDieuquilen	-|------|--⌫-|-|-⌫|---|---|-|-|-|
deli urés Par	----⌫----|--|
un haut homeq ui	-|---|---|-⌫-|
les ot acat és	--|-|----⌫--|
Et deprisonles mista	-|-|-----|--|---||
s auueté Lui et s es homes	-⌫------|--|-|-⌫-|----|
qu il otodlui	-|-|-|-|--|
mené sSet	-----⌫|--|
esto ienttou tioueneb aceler.Etquant ilfurentde	----⌫---|---⌫|-----|-⌫------|-|----|-|-----|-|
prisones cap é	-----|--⌫---⌫-|
La ndrislipre us ne sest	--⌫----|-|---⌫-|-||--|
p lu s arrestés Ilet si home	-⌫--⌫|--------|-|-|-|---|
calantlöéEtquantill o rentde	-----|----|-|----|-||-⌫---|-|
u ïandehourdéEtdelor armes	-⌫-----|------|-|-|--|----|
sise sontesk ipéNagent etsiglent s	-|-|---|---⌫---|-----|-|------||
ontlor uoil eleu é.Qu in se	--|--|----⌫|---⌫--|--⌫--⌫-|
iors nagent si orentboinore ́Ma is	---|-----|-|----|---|---⌫|--⌫-|
au se s ismelorestunsuens	-|--⌫-⌫---|--|--|--|---|
montésQuiuersPalern e afaitg u encirlor	------|--|---|------⌫||---|-⌫-⌫----|--|
maronier nel	-------|--|
porenteskiuer	-----|------|
Lor uoileabaissents iselaissentgauc rerEt	--|----|--------|-⌫|-|-------|----⌫--|-|
litor mensles amout	-|---⌫---|--||---|
a gre ués.Mouthautemen tcomen cent	-⌫---⌫----|---|--------⌫|-----⌫---|
a cr ïer SainteMarie	|--⌫---|-----|----|
u iespe nsésTrois iours	-⌫--|--⌫----|----|----|
enti ersloracis	----⌫--|--||--|
uensduréPalerne	---|----|------|
aprochentcelerice citéTou tce fist D ieus lirois	--------|---|---|----|---⌫|-|---|-⌫---|-|---|
dema ̈isté	-|--⌫-----|
PourdantGuillaumele	---|---|--------|-|
marc isaucortnés.Liuensdepart l	----⌫-|-|---|----|-|---|-----||
oragesestremé s Linés La ndriacuei llison errer.Bien	-----|--|-----⌫|-|---|--⌫---|-----⌫--|--|-----|---|
auportasaluetéMais	-|---||-------|---|
galioslor coui nt encontrer. Entroisgali es	-----|--|----⌫-|---------|-|----|----⌫-|
