asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
et quant il	-|----|-|
uir ent ceil	---⌫--|-|-|
c uidierentquele soud ancfeustmort	-⌫--------|--|-|----⌫--|----|---|
etle ssierent da miete .	-|--⌫-------|--⌫----||
leroy yenuoia sau oirparun messager	-|--||-----|---⌫--|--|-|-------|
cheualier.	--------||
l e che ualierse nuintauroyetditque	-⌫|---⌫-----||-⌫|---|-|--|-|--|--|
il au oites tédedansles mes ons au	-|--⌫--|--⌫--|-----|--|---⌫--|-|
soudanc et	------|-|
quec e stoi tuoir .	--||-⌫----⌫|---||
lor s enuoiaquer re	---⌫|-----|----⌫-|
leroy lelegat	-|--|-|----|
les pre las delo st	--|---⌫--|-||-⌫-|
etchantalen	-|-----|--|
hau te m ent .	---⌫--⌫-⌫--||
lors mont a	---|----⌫|
leroy e tnou s	-|--|-⌫|---⌫|
nousalames logerde ua nt	---|-----|----|--⌫--⌫-|
mal apertem entse	--|-------⌫--|-|
p arti r entlesturs dedamie teq uant il ne	-⌫----⌫-⌫--|--|---|-|-----⌫-|-⌫---|-|-|
firen tc o p er lepontquiestoitdenezqui gra nt	-----⌫|-⌫-⌫-⌫-|-|---|--|-----|-|--|--|---⌫-|
destourb iernouseustfait.	--------⌫--|---|---|---||
e tgrand doum agenous firentaupartir	-⌫|----|----⌫--|---|-----|-|-----|
deceq ueilb outerentlefeuenla	-|-|-⌫-|-|-⌫-------|-|--|-|-|
outout esle sm arc heand isesestoient ettoutlau oirde	-|----⌫-|--⌫|-⌫---⌫-----⌫---|-------|-|---||--⌫--|-|
aussiauintdece ste c hoseco m me	----|----|-|--⌫--|-⌫---|--⌫-⌫-|
qui auro itdemainboutéle feudontdieulegart	--|----⌫-|-----|-----|-|--|---|---|-|---|
ape titpon t.	|--⌫--|---⌫||
ordisonsdoncq uegrantgracenous	-|-----|---|-⌫-|----|----|---|
fist dieuletoutpuiss ant	---|---|-|---------⌫--|
quantiln o us deffendid emort etd e per ila	----|-|-⌫-⌫-|-------|-⌫|---|-|-⌫|---⌫-||
larriuerlaou n o us	|------|-|-|-⌫-⌫-|
ariuame s a pieet courumessu sanosennemis qui	-------⌫||--|-|-------|--⌫||--|------|--|
es toientacheu al	--⌫-----||----⌫-|
