L AFI LLE	--⌫|--⌫--|
laet aler ent aRoume. Liquens	-|-|----⌫--||-----|-|----|
uintddeua ntl Apost oil eetsacompaigniee.Cascunsf	----|----⌫-||-----⌫---⌫|-|-|-----------|-------|
sec onfiessaaumiex	-|-⌫-------|-|---|
Icilpot etquant li	-|-|--|-|----|-|
Ap os toiiesots çou oï sie nfu	--⌫--⌫-----|-||---|--|-|-⌫|-|
m ou t lié setmouten fist grandef este.	-⌫--⌫|----⌫|-|---|-|---|-----|-⌫----|
Ilba pt isal	-|--⌫--⌫--||
en fantet fuap ielés Guillaumes.Ilr é conciliala	--⌫---|-|-|--⌫-----|----------|-|-⌫--⌫-------|-|
dameet re misten	---|-|--⌫---|-|
dr oi tecre stient ét etconfr ema ladame	--⌫--⌫-|---⌫------⌫--|-|-----⌫--|-|---|
et mo nseignour	-|--⌫--------|
Tie -baut s o n baronendroit	---⌫----|-⌫-⌫|----|-|----|
mar iage e t remisthensa mb le etdouna	---⌫---|-⌫|------|----⌫--⌫-|-|----|
a cas cun pen itancheetlesasolstdelor	|---⌫--|---⌫------|-|--|-----|-|--|
p echiés. Aprèsço unedemouragairesk il	-⌫-------|-----|---⌫|-|------|-----||-|
sed ép artir ent deRoume	-|-⌫---⌫-----⌫--|-|----|
etprisen tcongiétal	-|------⌫|-------|||
A posto ile kimoutlesauoithouno r éset‘l escomma nda a	-⌫-----⌫--|-|---|--|----|-----⌫-⌫--|--|-⌫-|-----⌫--||
Dieu. 1 1s en uo nt	----|-⌫||-|--⌫-|
agrantioieet(fol.32 1d)a	|----|---|-|----|--⌫|-||
g ra nt déd uitet loe nt kDieuet samere	-⌫--⌫-|----⌫--|-|---⌫-||---|-|-|---|
ets ains etsaintes	-|-⌫---|-|------|
etrendent1 grasesdesbienskillor ontm	-|-------|-----|--|----||-|--|---|
f a is.Tant	-⌫-⌫--|---|
onterr ékil sunt	--|---⌫-||-|---|
uenuel pais donti l	---|-|---|---|-⌫|
s ont 0néetfuren t	-⌫--||--|-|-----⌫|
r eeheii agr ant pourcession deseuesquesetdesabés	-⌫-----||--⌫--|----------|--|-------|-|--|----|
etd esgensd erelegi on etde lautre	-|-⌫-|---|-⌫|------⌫-|-|-||----|
dergiekimout le sauoientdésirés. Desour	-----|-|---|--⌫|------|---------|-----|
toutesautre sioies faisoi t r	-----|-----⌫|----|------⌫||
uersion XII Ip046	-------⌫---⌫----|
ter entetuinre ntupaisagra ntioie	---⌫--|-|-----⌫-||---||---⌫-|---|
estoie ntmoltdésire ́.Mo ltfis t ongr ant ioie	------⌫-|---|-------⌫-|--⌫-|---⌫|-|--⌫--|---|
Etlanésreto urnad e Brandis etr euinte n	-|-|---|----⌫---|-⌫|------|-|-⌫----|-⌫|
direntlesnoueles q ui moltde sp leurent au	-----|--|------|-⌫-|---|--⌫--⌫------|-|
soudant.La fille qui demoree	-------|-|----|--|------|
estoit mainzlamanepor-qu ant	-----|----||--|--------⌫--|
elecrutet deuintmoltbele.	--|---|-|-----|---|----|
22.—Etliq uensfu	--||-|-|-⌫---|-|
enPont ieuetfi st de son filcheuali er.Enpau	-|----⌫--|-|--⌫-|-|--|--|-------⌫--|-|--|
detans après m on teplia en	-|---|-----|-⌫--⌫-----|-|
g rant bienmais	-⌫---|---|---|
--------- ----------------------	---------⌫---------------------|
uersionXIII(2 )	----------|--⌫|
de la b oi neadamekiensifuret rouuéeb	-|-|-⌫--⌫--|---|-|---|-|---⌫------||
etkisi cau oit	-|-|--⌫|--⌫--|
déliuréson pere sonbaron etsonfr ere	--------|--|---|--|----|-|--|--⌫--|
desmainsasSarr azinssicommeuous aués	--|----|-|----⌫----|-|----|---|----|
oï.Mai soruouslair onsdiausicien	---|---⌫|-|---|----⌫--||---|--|-|
droitsiuousdironsdesmaroun i erskiles	----|-|---|-----|--|------⌫-⌫--|-|--|
a menèrentet	-⌫--------|-|
desSa rraz in s	--|--⌫----⌫--⌫|
kiauoeciau suinren t.	-|----|---⌫|------⌫-|
21. —Limarounier	--||-|--------|
etliSarra z inki les ame nèrenta Br a ndissen	-|-|-----⌫-⌫-|-|--|---⌫------||--⌫-⌫---||-|
retournè rentau plustost	---------⌫---|-|---|---|
kllpeurentetdeurentboi n uent	|-|------|--|-----|---⌫|---|
etsuntcourute tant	-|---|------|---|
uenuf deuantAumar ie et	----|-----|-----⌫-|-|
g su ntdescendu a tieretri streetdo lantet	|--⌫-|-------||----|---⌫---|-|--⌫---|-|
uon tdirelorh nouuielesausoudan	---⌫|---|---|--------|-|-----|
kim outdol ans	-|-⌫--|---⌫--|
en fuetg rant	-|-|-|-⌫---|
due lendemena.Etpour cest iauentur e main senama	---⌫|-|------|-|---|----⌫|-------⌫|----⌫|-|--|
de m ouree li estoitet	--⌫-⌫----|-|-----|-|
mainslounora et	----||-----|-|
nan-pourquant la damoi sel e	------------|-|-----⌫---⌫|
deuintmoutsa geet c ruten g rant sense nsi*	-----|---|--⌫-|-|-⌫--|-|-⌫---|---|-⌫---|
ke toutlamo ienti	-|---||---⌫----|
etpr isoientp orles bienskeonen	-|--⌫------|-⌫-|--|----|-|-|-|
disoit. Maisorksetaistlic ontesde l	------|---|--|-|----|-|-⌫----|--⌫|
S o udanki1g rantdueld e mainede sa m	-⌫-⌫---|--|-⌫---|---|-⌫-⌫----|-|--⌫|
f emmeetdeses	-⌫---|-|-|--|
(fol. 321e)	----|--|-|
prisonski ens isu ntescapé	------|-|---⌫|--⌫-|------|
etretourneau cont edePontiu	-|-------|-|----⌫|-|-----|
kiestoitnr echeüs	-|------|-⌫------|
ensonpais0a	-|--|---|||
gran tpourcessionetm outhonorés c o mmes ireskll estoit	----⌫|----------|-|-⌫--|-------|-⌫-⌫--|-⌫---||-|-----|
2 2 .— Ne demoura gairesapri és keses fius	-⌫-⌫||-|------|-----|----⌫--|-|--|---|
fucheualier set	-|---------⌫|-|
enfistongrant feste.Il	-|---|-|----|-----|-|
fuche ual ierspr eus	-|---⌫---⌫---|--⌫--|
etuaill anse t	-|-----⌫--|-⌫|
uersionXIIIp047	--------------|
ne haute festeli	-|----|----|-|
quen sdePontieufusi ot.i.hauthome	----⌫|-|------|-|-|-|--|---|---|
deNo rmendiec on apeloitmonse g neur Raoulde	-|--⌫------||-|------|-----⌫-⌫---|----|-|
Praiax.Chis	------|---|
Raousa uo itunemoltbele (fol.	----|-⌫--⌫-|--|---|---|----|
214 b ) fi lle.L i quensde	--|-⌫|--⌫---|-⌫|----|-|
Pontieu parlatan tqu	------|----|---⌫|-|
ilfist le mariag edeGui lliames enneueu et	-|---|-|------⌫|-|---⌫-----|-⌫-|----|-|
de safillecarchisRaous n a uoi tplus	-|-|----|--|---|----||-⌫---⌫|---|
doirs. Guilliamelesp ousaetfu sires de	|----|--------||---⌫---|---|----|-|
Praiax.Moltfuli pa isengrantio i eet	------|---|-|-|--⌫-|-|----|--⌫-⌫|-|
leuolentédeDie u .ii. fi ex	-|-------|-|---⌫|---|--⌫-|
desafa mé.	-|-|--⌫---|
Li fiex au	-|---|-|
----------- - ------------- ------	-----------⌫-⌫-------------⌫-----|
ue rsionXIII ( 2)p 047	--⌫--------|-⌫-|-⌫--|
m outamale spreudo nmes	-⌫--|--|--⌫|------⌫---|
biausdonsaspouresc heualierset	----|---|-|-----|-⌫--------|-|
gentiusdam esdel pais et moutfu prisiésetamés	------|---⌫-|--|---|-|---|-|-------|-|----|
deri chesetdep ou re sa	-|--⌫---|-|-|-⌫--⌫--⌫-|
car ilest o itpreu-domet boin s	--|-|---⌫-⌫-|-------|-|----⌫|
cheualier s et hardi set cor t oisetlargesetdebounair es	---------⌫|-|-----⌫|-|---⌫-⌫--|-|-----|-|---------⌫-|
et nemieorg eil leusmais poi ues cuidont	-|-|--|---⌫---⌫---|---|--|---⌫--|---|
çoufugransda mageset moutfuregrete ́sde	---|-|----|--⌫----|-|---|-|-------⌫-|-|
tous.Après	----|-----|
cesteauentu reauin tkeliquens fu	----|------⌫-|----⌫|-|-|----|-|
auneh autef esteet cheu a lierse t a utres	|--|-⌫---|-⌫---|-|----⌫-⌫----|-⌫|-⌫----|
gensauo eclui ettant	---|---⌫-|--|-|---|
keiliu intunshaus	-|-||-⌫--|--|---|
h omet cheualiers uai lla nsde	-⌫-|-|---------|---⌫---⌫-|-|
Normendi ek e on apieloitmonseignou r RaouldesPra iaus. CilRao us	--------⌫|-⌫|-|-------|----------⌫|----|--|---⌫----|--|---⌫-|
a u oitunebie leefillemouttrèsbielee t	-⌫-⌫--|--|---⌫--|----|---|----|----|-⌫|
sage. Liquensparl atant	----|-|----|----⌫|---|
kefamo n-seig norRaoulkesa	--||--⌫------⌫--|----|-|||
ses ami skeilfist lemariage	--|---⌫|-|-|---|-|------|
deG uillaumesonneueuh etd e l a f illemonseig no rRaoul	-|-⌫-------|--|-----|-|-⌫|-⌫|-⌫---|-------⌫--⌫|----|
cariln auoit autr e hoir ke cele fille.	--|-||----|----⌫|---|-|---|-----|
G uillau mesespousal adamo i-sielee tfurent	-⌫------⌫--|------|-⌫|----⌫------|-⌫|-----|
lesnocesfaites mout richementet	--|----|-----|---|--------|-|
puisfu cis	---|-|--|
Guillaumessires dePrai aus. Moutfu1latiere	---------|----|-|----⌫---|---|-||-|----|
etlip aisempaisesans(fol.	-|-|-⌫--|-|---||---|----|
321f)guer re.Mesire i	--|-|----⌫--|-----||
Tiebausfu auoecladameetenotpuis	------|-|----|-|---|-|-|-|---|
.ii.enfans	---|-----|
m alles kipuisfurent	-⌫----|-|---|-----|
preu-doumeetde grantseigno ri e.Li fius lek c onte de	---------|-|-|----|------⌫--⌫-|-|---|--|-⌫---|-|
Pontiudecui1nousauons oïtantd eb ien di re	-----|-|---|---|----|--|---|-⌫|-⌫--|--⌫-|
mor utasséstost	---⌫-|-----|---|
uersionXIII p048	-----------⌫---|
m orutdo ntgr ans	-⌫---|--⌫-|--⌫--|
deu sfufaisetliquen s de	---⌫|-|---|-|-|----⌫|-|
Sai ntPolui uoit.Or f uren tlienfant monsegneurT. enatente	---⌫-|--|--⌫----|-|-⌫----⌫|-|-----|-----------|-------|
d es.ii.contésou	-⌫-|----------|-|
ilparuinrentenlefi n.L a boinedame ues-quien	-|---------|-|-|--⌫-|-⌫|----|---|------|-|
moltg ra nt penitanceetmesir es T.	---|-⌫--⌫-|--------|-|-----⌫-|-|
com moltpreudom.	--|---|-------|
23.—Ore a uint quela fillequi	--||--|-⌫---|--|-|----|--|
d e moureefu auoeclesoud antcruten mol tgran t	-⌫-⌫-----|-|----|-|----⌫--|---|-|---⌫|----⌫|
biaut ée fuapel ee laBeleCetiue.Uns Turs	-----⌫-||-|----⌫-|-|---|------|--|---|
moltu aillanss eruoit lo s oud ant Mala- kins	---|-⌫------|-⌫-----|-|-⌫---⌫--|-----⌫---|
d eBaudases toit ap elés.	-⌫|-----|--⌫---|--⌫-----|
Il regardala beledamoi-seleet le couuoita et dist	-|------|-|---|---------|-|-|-------|-|---|
aus oudant Sire por monseruice auoir a	-|-⌫-----|---|--|--|------|----||
touiors do unésme.—Malaquin	------|--⌫----|--||-------|
f ait li soudans quoi—Si re fait ilse iou	-⌫---⌫-|------|---||--⌫-|---|-|-|--|
losoie dire	|----|---|
------- - ------------ --- ------- -	-------⌫-⌫------------⌫---⌫-------⌫|
uersionXI II (2) p048	---------⌫-|--|---|
apriésdont grans deusf ufaispartou te	------|---|----|---|-⌫|---|--|---⌫-|
latiere. Li quensdeSaint P ol uiuoit encore	-|-----|-|----|-|----|-⌫-|-----|-----|
et furentlifila monseigneur Tie bauthoirde	-|-----|-|---|----------|---⌫---|---|-|
ce s.ii.contésu il	--⌫|---|------||-|
pa ruinrente nla	--⌫-------|-⌫|-|
boine dameuescuien gr an tpenitanceetmo ut	----|---|-----|-|--⌫--⌫|--------|-|--⌫-|
fist de bien	---|-|---|
et d au-mosnes et	-||--------|-|
m esireTi ebausuescui	-⌫----|--⌫----|-----|
commepreudom	----|------|
kilfu etmoutfistdebienta nt	|-|-|-|---|---|-|---|--⌫-|
c omilfu enuie.	-⌫-|-|-|-|---|
23.—O r au intchos eke	--||-⌫|--⌫--|----⌫|-|
la fillekide more efu auo ecl e	-|----|-|--⌫----⌫|-|---⌫-|-⌫|
Soud ansonperecrutenmoutgran t b izuté et	----⌫-|--|---|---|-|---|----⌫|-⌫-----|-|
moutdeui ntsageet fu	---|----⌫-|---|-|-|
a pieleelaBieleCai tru epo urçouque	-⌫-----|-|----|---⌫---⌫|--⌫-|---|--|
semere l auoitlaissieensi	-|---||----|------|---|
comme uousoe ́set auésoï.UnsTursmout	----|---|--⌫-|-|----|---|--|---|---|
u ailla nssig sienr oit	-⌫-----⌫-|-||-----⌫--|
leSouda nMa lakins deB audas e st oit hapiel és.	-|-----⌫|--⌫-----|-|-⌫----|-⌫--⌫--||-----⌫---|
Cil Ma lakins - uitla damoisielecourtoiseetsa geetmou t	--|--⌫-----|-⌫--|-|---------|--------|-|--⌫-|-|---⌫|
oïdebiendirede	--|-|---|---|-|
li s ile couchaen son	-|-⌫|-|-----|-|--|
cueret uintauSoudan seli	---|-|---|-|-----|-|-|
distSirepour mon sier-uicekefaituousaidounés	---|---|---|--|--------|-|---|---|-|------|
moi un don.— Mala kin fait	--|-|---||----⌫--|---|
lis o udansquel— Sirefaitii	-|-⌫-⌫----|---||---|---|-|
sei ou l osoiedire	-|-⌫-||----|---|
porlahautece	--|-|------|
dontio unaim ietant com	---|--⌫||-|-⌫-|---|--|
el e iou dir oie.	--⌫|--|---⌫---|
uersionXIII p049	-----------⌫---|
pourlehautece	---|-|------|
n aimieta ntc om ele	|-|--|--⌫-|-⌫-|--|
iou lediroie.—Dites seürement faitli soudans.—Sirefait	--|-|-------|----|---------|-----|--------|---|---|
illa Bele Cetiueuo strefille.— Malaquinetie	-|-|---|-----|--⌫---|-----||-------|-|-|
leuou s dour aiuolen ti ers.	-|---⌫|----⌫-|-----⌫--⌫---|
Illi do unaetc hil lesp ousa et	-|-|--⌫--|-|-⌫--||---⌫---|-|
------- ------------------------	-------⌫-----------------------|
ue rsio nXII I(2) p049	--⌫----⌫----⌫|--|---|
L is oudans ki	-⌫|-⌫-----|-|
sageses toitetapierche uans li	----|--⌫---|-|--------⌫---|-|
di st D i tesseürement	--⌫-|-⌫-⌫--|---------|
ç ou ke (fo l.322 a)uousuole ́s	--⌫-|-|---⌫-|--|-|---|----⌫-|
dire car iou uo usaim	---|--|--|--⌫-|--|
pri sets e ço uest	---⌫|-|-⌫|---⌫|--|
c osek eioudonnerpuisse sau ue mou nour	-⌫--|-⌫|--|-----|-----|---⌫-||--⌫---|
sachiés uraiementkeuousl	-------|--------|-|---||
aurés.—Sire fai til	------||---|---⌫|-|
bienuoel ke uostrehonorsisoitsa uue	---|---|-|-----|-----||---|--⌫--|
neencontrene uoel iou riens demandermaissil	-|-------|-|---|--|----|-------|---||-|
uous plaistuostr e filleme	---|-----|-----⌫|----|-|
doune ́set	-----⌫-|-|
leuo usre q uier carmout uo lentiersleprend raiafe mme	-|--⌫-|--⌫-⌫---|--|---|--⌫-------|-|-----⌫--||--⌫--|
etespouser ai.Liso udans estutet pensa	-|--------⌫--|-|--⌫----|----|-|----|
keMalakin s	-|-------⌫|
estoitpre use t sages	-----|---⌫-|-⌫|----|
etbienporoitencoreuenira	-|---|-----|-----|----||
grant houn e ureta gran t bienet ke	----|----⌫-⌫-|-||----⌫|---|-|-|
bien iseroitfille emplo ie eseli dist	---||-----|----|-----⌫--⌫|-|-|---|
Malakinparma loyuous maués	------|--|-|--|---||----|
grantcoserequise c ari ou aim moutm a	----|---|------|-⌫-|-⌫-|--|---|-⌫|
fille et plus n ai	----|-|---||-|
d o irs s icommeuoussaué sb ie netu oi rsest	|-⌫--|-⌫|----|---|-----⌫|-⌫--⌫|-|-⌫--⌫-|--|
keeleest neeet e straitedesplushautes	-|--|--|--|-|-⌫------|--|---|-----|
g en s et desplusuaillans	-⌫--⌫|-|--|---|-------|
d e Franc hecar	-⌫|-----⌫-|--|
estfille au comte dePontiu maispor çouke	--|----|-|----|-|-----|---|--|---|-|
uou se st es	---⌫|-⌫--⌫-|
-uai lla nsetmoutbien	----⌫---⌫-|-|---|---|
sauésse ruiriou leuousdonraiuo len tiersse le le	-----|--⌫---|--|-|---|-----|--⌫---⌫----||-⌫-|-|
ueu t s.—Sire	---⌫|-||---|
dis tMalakinsenco ntresau io len téne	---⌫|-------|----⌫---|-|-⌫--⌫---⌫--|-|
-uoeli o uriensfaire.	----|-⌫-⌫|----|-----|
Lisoudans fist apielerla	-|------|---|------|-|
damoisiele. Eleiuint).Mabie l e filledist iliou	----------|--||-----|-|---⌫-⌫|----|---|-|--|
uousaimariees il•uousplaist. —Si re	---|-|-----||-|----|------||--⌫-|
faitelemesp hisirsiestbien	---|--|--|-⌫-----||--|---|
seuou suo lés.Lisouda nsl epr istpar	-|---⌫|--⌫----|-|-----⌫-|-⌫|--⌫--|--|
lamainetdi stM alakin tenés iou le-uous	-|---|-|--⌫-|-⌫-----|-----|--|-|----|
do ins.li lerediiut liement et	--⌫---|-|-|------|------|-|
agran tioieeta	|----⌫|---|-||
g r antiionour	-⌫-⌫--|------|
detoussesamis (fol. 322	-|---|--|---|----|--|
b)et l espous aseloncla lo i sarrasineet	-|-||------⌫|-----|-|--⌫|--------|-|
l e nmenaensonpaisa g rant	|-⌫----|-|--|---||-⌫---|
ioie eta grantiiounour.Lisou dan sle	---|-||----|--------|-|---⌫---⌫|-|
conuoi agrant piece agrantcompaign iede	------⌫|----|----||----|--------⌫-|-|
gentetquantil	---|-|----|-|
l ot conuoietantco mlui plot	|-|------|---|--⌫|--|---|
ilretournaetp rist	-|-------|-|-⌫---|
congiéta s a	-------||-⌫|
uersionXIIIp050	--------------|
mena aso n païsam oltg rant	---||--⌫|----||-⌫--|-⌫---|
ioieetamol t	---|-||---⌫|
gra nt ho u-n euretensicomuér itéstesmoingnede cel efu	---⌫-|--⌫---⌫--|-|---|--|----⌫----|---------|-|---⌫|-|
neele merea uco urtoisSalehadin.	--|-|---|-⌫|--⌫-----|---------|
-- - -- --- -------- ---------------	--⌫-⌫--⌫---⌫--------⌫--------------|
uersionXII I(2)p050	----------⌫|--|---|
sonbaronmais	--|----|---|
granspartiede sagent ia	----|-----|-|-|---|||
en uoiiétpouri au s seru ir ethounoure r .	--⌫------|---|-⌫--⌫|----⌫-|-|--------⌫-⌫|
Malakinsuinten sonpaïseti	-------|---|-|--|----|-||
sieruis et	------|-|
hounourésetrecheüs agrantioie et	---------|-|-------||----|---|-|
a grantho unourde	|----|--⌫----|-|
tousse samis et	---|--⌫|---|-|
ues cuirent ensam ble long eaie ntet	---⌫------|-----⌫--|----⌫----⌫-|-|
lieme ntet o ren tenfans ensi comme l	-----⌫-|-|-⌫---⌫|-----|---|----||
estoireti es-moigne .De celedamekifuapielee la	------|--⌫---------⌫|-|---|---|-|-|------|-|
B ieleC ai tiue fu neelamereau courto isTurc	-⌫---|-⌫--⌫---|-|--|-|---|-|------⌫-|---|
S alehadinkita ntfu preusetsagessi	-⌫-------|-|--⌫-|-|----|-|----|-|
commeuousaue ́s oï	----|---|---⌫-|--|
pluisoursfoi s dire.	--------|---⌫|----|
Laquele dame ot	------|---|-|
.i.uaillantSarrazinet de	--|-------|-------|-|-|
g rant li gnage et lapremièrenui tke il	-⌫---|--⌫----|-|-|--------|---⌫|-|-|
furentens amb l e sienienrerent le	-----|---⌫---⌫-⌫|-|----------|-|
boin roiSa lehadin e tleno rir enttantke	---|--|--⌫------|-⌫|-|--⌫---⌫--|---|-|
mout crut etame nda	---|---|-|---⌫--|
e tke i luinten leage	-⌫|-|-⌫|---|-||---|
keild eut estr e cheualiers. Et i len	-|-|-⌫--|----⌫|----------|-|-⌫|-|
f uel points i	-⌫|-|----|-⌫|
fufais cheualiers alaguis es arrasine.M ais ata nt	-|---|---------||-|----⌫|-⌫--------|-⌫--|---⌫-|
laironsicide lui a parler dus ques aune	------|--|-|--||-----|---⌫---||--|
ke nousenparler o nsetuousdiron s	-|---|-|------⌫-⌫-|-|---|-----⌫|
grantpartiedesa	----|-----|-|-|
uieetdesacheua lerieetretournerons	--|-|-|-|-----⌫----|-|-----------|
laM ulaine.	-|-⌫------|
