Cycom me nc e	-|---⌫--⌫--⌫|
mai nselon	---⌫|----|
leur sde grezetsenu i nd rent	----⌫|--⌫---|-||-|-⌫-⌫--⌫---|
les ungsaulxfenestresl esa ultres	--|---|---|--------|-⌫-|-⌫-----|
enpla ineru e que tant	-|---⌫--|--⌫|--|---|
est oit plainde peu ple dungcosté	---⌫--|----|-|---⌫--||--|-----|
aultrequec	-----|--||
estoitunechose	-----|--|----|
C omment les archiersde laga rdede	-⌫-----|--|-------|-|-|--⌫--|-|
Paris en trer enten granttriumphee t honneur	----|--⌫----⌫--|-|----|-------|-⌫|------|
Tantostar r iu e re ntsix cleronsmoultbien	------|--⌫-⌫--⌫-⌫--⌫-|--|------|----|---|
q uisonnoient sim elo die usemen tque c	-⌫-|--------|-|-⌫---⌫---⌫------⌫|--||
es to it une	--⌫--⌫-|--|
bellechos e d eles ouyr	----|----⌫|-⌫|--|---|
Puisue noitunghom m e d	---|--⌫---|--|---⌫-⌫||
arme smo nté susunggrant cours ierbar déqui port oit	----⌫|--⌫---|--|--|----|-----⌫--|---⌫--|--|----⌫--|
l enseig neet aprè s luyuenoientde ux m ille	|------⌫-|-|-----⌫|--|-------|--⌫-|-⌫---|
archiersbie nmontezet	-------|---⌫|-----|-|
bien e npoi ntquitousauo ienth ocq ue to n sdorfauerie	---|-⌫|---⌫-|--|---|---⌫---|-⌫---⌫--⌫--⌫-⌫||--------|
quemoultfortreluis oientcon t re	--|----|---|------⌫----|---⌫-⌫-|
Espaign e dem anda aceluy	-------⌫|---⌫---||----|
q ui lense ig neportoit	-⌫-||----⌫--⌫-|------|
Parisest oitillec	----|---⌫--|----|
Et i l luy	-|-⌫|--|
responditqu e nen nycecyson tlesarchiersd e	--------|--⌫|---⌫-|---|---⌫|--|-------|-⌫|
sa gardeque ieguide	-|----|--|-|----|
Comment ditler oy mapelezu ous cecyarchier squ i	------|--|-|-⌫-||-----|-⌫--|---|-------⌫|--⌫|
t oussem blent	-⌫--|---⌫----|
es t regransse igneu rs	--⌫-⌫-|----|--⌫-----⌫-|
Dieuditle cappitain e uousdirezbien	---|--|-|---------⌫|---|----|---|
au ltrechoseauant quilsoitarriué	--⌫---|----|----|-|-|---|------|
Sipassao ultremenantse s	-|----|-⌫----|-----|--⌫|
gens l e pet itpas deux adeux	---|-⌫|---⌫-|--|---||---|
enbelle ordonnance	-|----|---------|
faultpasdem andercomment ilzestoientdili gemment re gardezdh ommes	----|--|---⌫----|------|--|-------|----⌫------|--⌫-----||-⌫----|
etfemme s si neussezou y ung seulmot sonner	-|-----⌫|-||-----|--⌫|--|---|--|-----|
tantestoi ent	---|-----⌫--|
en clin s ar egarder	--⌫----⌫||-⌫------|
lesmerueillesqueueoi e nt	--|---------|--|----⌫-⌫-|
Tantost uintungdesheraulxde	------|---|--|--|------|-|
Parisau p alaix dem an d era uroy la	----|-|-⌫----|---⌫--⌫-⌫-|-⌫|--|-|
un ep etiteesglis epour	--⌫|-⌫----|------⌫|---|
youyruespres car	|---|------|--|
uouloitouyrce	------|---|-|
iourpour c equilestoitdimenche	---|---|-⌫|-|-|-----|-------|
Leroy luydit	-|--|--|--|
Mon amy uousaurezto ut	--|--|---|----|--⌫-|
ce queuous sçauriez demander maisie uousprie	-|--|---|--------|-------|---|-|---|---|
que s i bonnement pouezicydem eurerpournousmonstr er	--|-⌫|--------|----|--|---⌫----|---|---|------⌫-|
Iene puisdit lehe r a ulta	-|-|---|--|-|--⌫-⌫-⌫--||
presentmai s ie uou s laisseray	------|---⌫|-|---⌫|--------|
monpagequeleuousmonstre ra	--|---|--|-|---|-------⌫-|
Ilne uiendra pasenc orescar trop	-|-|------|--|---⌫---|--|---|
y adesesgend armes aueni rqueentrerontpremier	||-|--|----⌫----||----⌫|--|--------|------|
Sis enal laet	-||-|--⌫-|-|
commendaaso npagequetoutleurmonstrast	-------||--⌫|---|--|---|---|--------|
L apucelleappella	-⌫|------|------|
lepag e que	-|---⌫|--|
mo ultbienesto ita prins etluy	--⌫--|---|----⌫-|-⌫----|-|--|
demandas onnom	------|-⌫-|--|
Eti lresponditque	-|-⌫|--------|--|
Gabriels appelloit	------||--------|
Gabri elditelle ie uous prie q ue poi nt	-----⌫-|--|---|-|---|---|-⌫-|---⌫-|
dep artezdemo yetueezc yces tuyanneauque ie	---⌫----|-|--⌫|-|---|-⌫|---⌫--|-----|--|-|
uousdo nne	---|--⌫--|
G ran tme rcydamedit le page	-⌫---⌫|--⌫--|---|--|-|---|
Helasmonamy	----|--|--|
Gabriel uiendr a	------|------⌫|
Ma dam oiselledit	-|---⌫------|--|
ilnonpascaril ya	-|--|--|--|-|||
a ueni r premierc esgensdarmes	|----⌫|------|-⌫-|---------|
ditellenesontcepasceulx	--|---|-|---|-|--|----|
i cyquepass ent	-⌫-|--|----⌫--|
lep ag e cenesontq ueses	-|-⌫--⌫|-|-|---|-⌫-|--|
archiersdelau ant gard eque	-------|-||--⌫---⌫----⌫|--|
sontdeuxmilleet aul tant	---|---|----|-|---⌫---|
e nlarrieregarde	-⌫||-----------|
Ienesçaysilzuiendront	-|-|----||--|--------|
aue cqueslesh ommes d	---⌫----|--|-⌫----||
armes ouapre ̀s	----|-|----⌫-|
Lesr oyset	--|-⌫--|-|
lesdamesescoutoie ntlepagedon til zestoient	--|----|---------⌫-|-|---|---⌫|--⌫|-------|
tousesbays	---|-----|
Et commentditle	-|------|--|-|
Arragon uail en quelque	------|-|-|-|------|
guer r equil	----⌫-⌫|-|-|
mainet ant degens darmes	----|-⌫--|-|----⌫-----|
Certesdi tle pagenenn yc arce	-----|--⌫|-|---|----⌫|-⌫-|-|
que sondroit	--|--|----|
i l entretie ntt ouslesi ours	-⌫|--------⌫-|-⌫--|--|-⌫---|
Dieud itleroyc	---|-⌫-|-|--||
es t lapluses trange chosedequoyiamaisouysseparler	--⌫|-|---|--⌫-----|----|-|---|-----|-----|-----|
Comm entilentrasixault res cleron s	----⌫--|-|----|--|----⌫--|------⌫|
queme noientlesarch ier sd e l arr ieregardede	--|--⌫-----|--|----⌫---⌫|-⌫||---⌫--------|-|
Tant os t u indrentau ltres six clerons	----⌫--⌫|-⌫------|--⌫----|--|------|
comme lesaultreset leurcapitai nedeuantqui	----|--|------|-|---|-------⌫-|-----|--|
guido i tles au ltres deuxmille	-----⌫-⌫|--|--⌫----|---|----|
Dieu cedit leroy d	---|-|--|-|--||
Angle t e rre iecro yque ces g ense ntrentpa r	-----⌫-⌫-⌫--|-|---⌫|--|--|-⌫--|-⌫-----|--⌫|
une porteetsortentparlaul tre po ur	--|----|-|------|--||---⌫--|--⌫-|
nousfai reicym user	---|---⌫-|--|-⌫---|
uray ementdit leroy de	----⌫----|--|-|--|-|
Por tug a l ces eroitfineme ntfait	---⌫---⌫-⌫|-|-⌫----|------⌫-|---|
Sienuoya deux	-|-----|---|
quar tie rdulogisde	----⌫---⌫|-|----|-|
Paris quiallere nt	----|--|------⌫-|
toutuisiter	---|------|
Et quanti lzfurentretournez ilzuindrent fai releur	-|----|-⌫-|-----|--------|--|-------|---⌫-|---|
rapor tdece qu ilzauoien tueu	-----⌫|-|-|-|--|------⌫|--|
To usfurent espouuentezcar	--⌫-|-----|----------|--|
tou sceu lxcommeilzdisoientainsicommeilz a rriuo ienton	---⌫|---⌫-|----|--|-------|----|----|--|-⌫-----⌫---|-|
prenoit leurscheuaul x e tse m ectoient enbelle bataille	------|----|-------⌫|-⌫|-|-⌫-------|-|----|-------|
enmoultfiere	-|----|----|
ordonnance	---------|
bienta ntce dit celuy quileraport	---|--⌫-|-|--|----|--|-|-----|
faiso it q uece uo usprenez tantsoit	-----⌫-|-⌫-|-|--⌫-|-----|---|---|
peud enoizeaeulx i lz	--|-⌫|----||---|-⌫-|
sontgen spour oultragertantque	---|---⌫|---|--------|---|--|
uo usestez	--⌫-|----|
este ́b ien regardé neaduizédemectre tant	----⌫|-⌫--|-------|-|------|-|-----|---|
d egense nceste	-⌫|---|-⌫|----|
l epagequ ilaestoitlequel estoit bienduit	-⌫|---|--⌫|-|-----|-----|-----|---|---|
etfaitaen tr eteni rdame set	-|---||--⌫--⌫-----⌫|----⌫|-|
sei gneursca r aultrement	---⌫-----|--⌫|---------|
lac hargededemeurerence lieuil	-|-⌫----|-|-------|-|-|---|-|
neuousen faul t doubter car	-|---|-|----⌫|------|--|
ilzneuiennenticyp o ura ulc un mal	--|-|-------|--|-⌫-⌫-|-⌫---⌫-|--|
nedesplaisir uous faire	-|---------|---|----|
Ettant y a queq uantuousluy feriez	-|---|||--|-⌫---|---|--|-----|
reffuz etil secou r rossoit contre uous	-----|-|-|-|---⌫-⌫------|-----|---|
iauost recite ́ n e	-|----⌫-|----⌫|-⌫|
uousgarantiroit desap uissan ce	---|----------|-|-|-⌫------⌫-|
Or ura yementditleroyd	-|---⌫-----|--|-|--||
Espaigneilsoit	-------|-|---|
le tresbie nuenucargrant ioyeetgrant	-|-------⌫|---|--|----|---|-|----|
h on neurnous fait	-⌫--⌫---|---|---|
Entantpass erentles aul t resdeux millear chi ersque	-|---|----⌫----|--|---⌫-⌫--|---|----|--⌫---⌫--|--|
fo rtfurentregardezdes gens	--⌫-|-----|-------|--|---|
tantdupalaisco mme d e	---|-|-----|--⌫--|-⌫|
Co m mel emaist re	--⌫-⌫-|-⌫|-----⌫-|
Parisentrahon no rablementau ecqles cent	----|----|---⌫--⌫--------|--⌫--|--|---|
pagesd hon neur	----||---⌫---|
lesarchierseur entpassé a rriuau ng be lhommegrantet	--|-------|---⌫--|-----|-⌫----|-⌫-|--⌫|----|----|-|
bien form équi	---|----⌫-|--|
estoituestud un gdrapdor atout	-----|----||--⌫|---||-||---|
u n ggrant bastonensa	-⌫-⌫|----|-----|-|-|
mainsurunemoult	---|--|--|----|
b elle acquenee	-⌫---|-------|
g riseetaprèsluyuenoient les	-⌫---|-|-----|--|-------|--|
centpag e sd honneurde	---|---⌫-⌫||------|-|
Pari st ou sues tus d ung mo ultbeau	----⌫|-⌫--⌫|---⌫--||--|--⌫--|---|
uelour sc ramoisi e t lespourp oinsde	------⌫|-⌫------|-⌫|--|-----⌫---|-|
satinbroché	----|------|
dor m oultric hem onteztoussur cheuaulx grisons	|-|-⌫---|---⌫-|-⌫----|---|--|-------|------|
harneche zdeuelours	--------⌫|-|------|
cramoys icomme les	-------⌫|----|--|
rob es des pag essemezd orfaue riedoreebien espe sse	---⌫-|--|---⌫-|----||------⌫--|----|---|----⌫--|
S iuenoientl eurpetittrain	-⌫|-------|-⌫--|----|----|
m o ul t biena rrengezdeux a deux etles	-⌫-⌫--⌫|---|-⌫------|---||---|-|--|
faiso i tmeru ei lleusement be auueoircar	-----⌫-⌫|----⌫--⌫---------|--⌫-|----|--|
ilz auoienteste zchoisisa l	--|------|----⌫|------|||
esliteet auoient	-----|-|------|
le scheueulxaussiblond ezquefi nor quileurbatoient	--⌫|-------|----|-----⌫-|--|--⌫|-|--|---|-------|
ius ques surleursespaules	---⌫---|--|----|-------|
Bienestoien t	---|-------⌫|
dignes destreregardezet	-----||----|-------|-|
aussiestoient	----|-------|
ilz d e pl usieurset en mai nte smanie res	--|-⌫|--⌫------|-|-|---⌫---⌫|-----⌫--|
Lapucelle cuydoit biendeuray que c e luy	-|------|------|---|-|---|--|-⌫-⌫--|
quia lloit	--|-⌫----|
deu ant lespages futsans nulle doubte	---⌫--|--|----|--|---|----|-----|
Sise l euadebout pour lecu ydersalueret	-|-|-⌫--|-----|---|-|--⌫---|-----|-|
aussifiren tplu sieu rs	----|-----⌫|---⌫----⌫-|
baro nse tda mes	----⌫-|-⌫|--⌫--|
mais lepage quebeaucopsçauoitsenap parceut	---|-|---|--|------|-------||-|--⌫------|
M adamoisellene uousbougez iu sques ie	-⌫|---------|-|---|-----|--⌫----|-|
l euo usdira ycar celuyqueuous	-⌫|--⌫-|----⌫|--|----|--|---|
uoyezlaes t	----|-|--⌫|
lemaistredhosteldenostremaistre	-|------||-----|-|-----|------|
q ui est cestesepmaineen offi ce	-⌫-|--|----|-------|-|----⌫-|
ilzso ntqu atreq ueseru e n t parsepm aines et	--|--⌫-|--⌫---|-⌫-|----⌫-⌫-⌫|--|----⌫----|-|
ilmainelespagesaprès	-|----|--|----|-----|
luypouraller	--|---|----|
ueoircommentleslogi ssonten p oint	----|------|--|----⌫|---|-|-⌫---|
Commentles	------|--|
trompettesde	---------|-|
P arisen trerent auec qmoultbelle compaignie	-⌫---|--⌫------|----⌫|----|----|---------|
ueez cyarri uer unemou ltb ell e c ompaignie	---|-|----⌫--|--|---⌫-|-⌫---⌫|-⌫--------|
aueclest rom petesles que lles furent tantostoyes de	---|--|-⌫---⌫----|---⌫---⌫---|-----|------|---|-|
ce ulxde lauille	--⌫--|-|-|----|
Siestoienttoutes	-|-------|-----|
co uuert esdorfaueri eetlescheuau lx aus syiusquesen	--⌫-----⌫-||--------⌫|-|--|------⌫-|---⌫-|------|-|
terreetestoient douzetrompett es	----|-|-------|----|--------⌫-|
Aprèsuen oit lec a ppit aineq ue	-----|---⌫--|-|-⌫-⌫----⌫---|-⌫-|
portoit unegrant baniere det affetas bleumai s	------|--|----|------|-|-⌫------|---|---⌫|
ilnyauoitnulle sar mes dep eurd estre	-|||----|-----⌫|--⌫--|-|-⌫--||----|
mo nté suru ng beauetmerue i lleux	--⌫---|--|-⌫-|---|-|-----⌫-⌫----|
cheual toutcouuert d ung damasuiolet semé d	-----|---|------||--|----|-----|----||
orfauerie etes toithabillé de	--------|-|--⌫---|-------|-|
mesm escouleurs	----⌫-|-------|
Silecheual estoit	-|-|-----|-----|
fieraussi estoit	---|----|-----|
lema istrequi dessus estoit	-|--⌫----|--|-----|-----|
Etaprèsluyuenoient m illeetcinqcenshommesd	-|-----|--|-------|-⌫---|-|---|---|-----||
a r mesmontez et habillezmoultrichements el	-⌫-⌫--|-----|-|-------|----|--------|-⌫||
ungestoit b i en e n	--|-----|-⌫-⌫-|-⌫|
pointl aultr eestoitencore	----||-----⌫|-----|-----|
Lepagemons troit au x	-|---|----⌫----|--⌫|
r oysetauxdame stout l	-⌫--|-|--|----⌫|---||
estatetordonnanc edon tforts e sm eruei lloient	----|-|---------⌫|---⌫|---||-⌫--⌫-----⌫------|
et biend isoien ttous quil	-|---|-⌫------⌫|---|-|-|
estoitpou r sub iuguera soytou tle	-----|---⌫|---⌫-----||--|---⌫|-|
demeurantdumonde	--------|-|----|
Co m ment legrantescuyer q uepor toi t	--⌫-⌫---|-|----|------|-⌫-|---⌫---⌫|
sonespe ededans	--|----⌫|-----|
lefourreau	-|-------|
toutcouue rtd o rfauerie et	---|-----⌫-||-⌫-------|-|
depierresprecieu ses	-|------|-------⌫--|
granttriumphe	----|-------|
Quant to us les	----|--⌫-|--|
ho mmesdarmesfurentpassezq uelonguementdurerent	--⌫---||----|-----|-----|-⌫-|---------|-------|
apasseruintun g moultbea u	|-----|---|--⌫|----|---⌫|
cheualieruest udung	--------|----⌫||--|
richedra pdorsemé aurebras	----|---⌫||-|----|-|-----|
pierreriequi cheuauchoitung gr ant coursier	--------|--|----------|--|--⌫--|-------|
toutcouuertdemesme ssi	---|------|-|-----⌫|-|
non quela hosseureestoitdeuiolet	--|--|-|-------|-----|-|-----|
La robe dud i ctche ualier t raynoit plus bas	-|---|---⌫-⌫-|---⌫-----|-⌫------|---|--|
quelahosseureduch eu al etestoitfo urre e ladicteh o sseure	--|-|-------|-|--⌫--⌫-|-|-----|--⌫----⌫|------|-⌫-⌫-----|
de rmines moult	|-⌫-----|----|
Cest uyportoi t	----⌫-|------⌫|
une espee deda nsson fourr e au et estoit ledict	--|----|----⌫-|--|-----⌫-⌫-|-|-----|-----|
fourreautoutcouuertde r ichepie rrer iequefo rt	-------|---|------|-|-⌫---|---⌫----⌫-|--|--⌫-|
estincelloitcontrelesoleil	-----------|-----|-|-----|
Lors lepagecriahaultement	---|-|---|---|---------|
tan t quilf utouydes seigneu rs et	---⌫|-|-|-⌫-|--|--|-------⌫-|-|
damesdupalaisen disan t	----|-|-----|-|-----⌫|
O rmadamoiselle ueezlace luy qui	-⌫|-|---------|---|-|--⌫--|--|
portel espe ede	----||----⌫|-|
Certes ilzs eraicy m aintenant	-----|--|-⌫--|--|-⌫--------|
Hel asmonamyregardezbie nacelle	---⌫-|--|--|-------|---⌫||----|
fi n q ue le	--⌫|-⌫-|-|
nousmonstrezde bonneheure	---|-------|-|----|----|
Sifera yieditl epagenen	-|----⌫|-|--|-⌫|---||-|
doubtezpoi n t	------|---⌫-⌫|
ueu uenir sixcensho mmest ou smontez susgrisonsd	--|----|--|---|--⌫---|-⌫--⌫|-----|--|------||
ungpoil etdune sorte etd e semblant d	--|---|-||--|----|-|-⌫|-------||
harnoistoussem ez	------|---|---⌫-|
dorfaueri e toutau long	|--------⌫|---|-|---|
desborstan tque cesto itbellech o se	--|---|---⌫|--||----⌫-|----|--⌫-⌫-|
quede lesu eoir carparde s sus	--|-|--|-⌫---|--|--|--⌫-⌫--|
les croppesdescheuaulxauoitgrossesc am p an es	--|------|--|-------|----|------|-⌫--⌫-⌫--⌫-|
d argen tqui es toientattacheesagrosses	|-----⌫|--|--⌫-----|--------||------|
c haines dargentt outes	-⌫-----||-----|-⌫----|
dorees qui menoien tgrantb ruitetl esseigneurs qui	-----|--|-------⌫|----|-⌫---|-|-⌫-|--------|--|
montez estoientdessusest oienttantbeaulxqu	-----|-------|-----|---⌫----|---|-----|-|
ilz ressem bloient prop rement	--|------⌫------|----⌫-----|
siestoienttous uestuz	-|-------|---|-----|
d ungri che uelours cramoisietpourpoi nsd e satinbroché	|--|--⌫--|------|-------|-|-------⌫-|-⌫|----|------|
dorcommeles p ages qui	|-|----|--|-⌫---|--|
esto ientdeuant pas s e z	----⌫---|-----|---⌫-⌫-⌫|
Siuenoient deuxa deuxen	-|-------|---||---|-|
moult b elleor donnanc e etbien monstroie n tquilz	----|-⌫---|--⌫-------⌫|-|---|---------⌫-⌫|-|--|
estoientgensdegran t	-------|---|-|----⌫|
estatet honneur	----|-|------|
uituenirde loing	--|----|-|----|
Paris siappe llal apuce lleen	----|-|----⌫--|-⌫|----⌫--|-|
ma damoiselle ieme uois acquiter	-|---------|-|-|---|-------|
enue rsuouscarie uousmonstrer ayle plusbel	----⌫-|---|--|-|---|--------⌫-|-|---|--|
cre stienleplus	---⌫----|-|---|
nobleet le plus gracieuxq ue uousueistes oncquesc	----|-|-|---|-------|-⌫-|---|------|------||
Pari smon mais tre	----⌫|--|----⌫--|
Pari s arriuaenlauille	----⌫|-----|-|-|----|
B urgue sen	-⌫-----⌫|-|
grant triumphe	----|-------|
Lors dit lepa ge	---|--|-|--⌫-|
Mad amoiselle regardezl aenbasceluy	-|-⌫--------|-------|-⌫|-|--|----|
quiporteungpetit bastonblancensamainet	--|----|--|----|-----|----|-|-|---|-|
ung co lier	--|--⌫---|
d orau col	|-|-|--|
R egardezcomm ent i l	-⌫------|----⌫--|-⌫|
ales c heueulx	|--|-⌫------|
iaul neslo rdesonc oli ernelu ychan gepoint	----⌫--||-⌫|-|--|-⌫---⌫-|-|--⌫|----⌫-|----|
lacouleurdeses	-|------|-|--|
c heu e ulx	-⌫---⌫-⌫--|
Sifutmoult ioyeusela pucelle des par ol les	-|--|----|------|-|------|--|---⌫--⌫--|
quelepag e	--|-|---⌫|
Sia rriu a	-|-⌫----⌫|
Parismoult richem en t	----|----|------⌫--⌫|
habillé et a l	-------|-|||
entourdelu y auo itq uatre	-----|-|--⌫|---⌫-|-⌫----|
l acq uetzdeu xdeç aetdeux de lah abillez	-⌫---⌫---|---⌫|-|--⌫|-|---|-|-|-⌫------|
Quantlapucellel	----|-|------||
eut apparceuelle	--|-------|---|
de uin tsiro gequ il semb lo itq ue lefeu	--⌫---⌫|-|--⌫-|-|-|----⌫--⌫-|-⌫-|-|--|
l uy sortistduuisaige sifu t	-⌫-|------|-|------|-|--⌫|
toute rauye	----|----|
Etle royde	-|-|--|-|
Nauarrequi	------|--|
bienlapp arceu t	---||---⌫-----⌫|
