domineexaudiorationemmeam	domine exaudi orationem meam
.Silĩsfc̃ssumpellicanosolitudinisfc̃ssumsic̃niticorax	. Silĩs fc̃s sum pellicano solitudinis fc̃s sum sic̃ niticorax
indomicilio.Vigilaui:	in domicilio . Vigilaui : 
fc̃ssumsic̃passer.solitariusintecto	fc̃s sum sic̃ passer . solitarius in tecto
.Totadieexꝓbra.	. Tota die exꝓbra.
mͥini.mei.quilau.me	mͥ ini. mei .  qui lau. me
adũsusmeiurabant.Quiaciñemtanꝙͣ	adũsus me iurabant . Quia ciñem tanꝙͣ
panemman.potũmeumc̃fletumiscebam.A	panem man.  potũ meum c̃ fletu miscebam . A
facieireĩdigna.tue	facie ire ĩdigna. tue
eleuansallisisti	 eleuans allisisti
me.Diesmeisic̃umbradecli.egosic̃	me . Dies mei sic̃ umbra decli.  ego sic̃
feñarui	feñ arui
.Tuãdñeinet̃numꝑmanesmemoriale	. Tu ã dñe in et̃num ꝑmanes  memoriale
tuuminge.	tuum in ge.
ge.Tuex᷑gens	 ge. Tu ex᷑gens
dñemi.syon.tp̃smise.eiusuenit	dñe mi. syon .  tp̃s mise. eius  uenit
tp̃sq̃mplacũuntseruituila.eiust̃re	tp̃s q̃m placũunt serui tui la. eius   t̃re
eiusmiserebunt᷑.Ettimeb̃t	eius miserebunt᷑ . Et timeb̃t
g̃snom̃	g̃s nom̃
tuumdñe.õsreges	tuum dñe .  õs reges
t̃regl̃iamtuam.Quiaedificauitd᷒syon:	t̃re gl̃iam tuam . Quia edificauit d᷒ syon : 
uidebr̃ingl̃iasua.Respexitinor̃onemhumilium:	uidebr̃ in gl̃ia sua . Respexit in or̃onem humilium :
ñsuitcemeoꝝ.Scribant᷑	 ñ suit cem eoꝝ . Scribant᷑
h̃inge.	h̃ in ge.
alt̃appl̃squicre.	alt̃a  ppl̃s qui cre.
lau.dñm.Quiaꝓspexitdeexcelsosc̃osuo.	lau. dñm . Quia ꝓspexit de excelso sc̃o suo .
d᷒decelo	d᷒ de celo
int̃rãaspex̃.Vtaudiretge.cõ.ut	in t̃rã aspex̃ . Vt audiret ge. cõ. ut
sol.filiosinterẽptoꝝ.Etannuntientin	sol. filios interẽptoꝝ . Et annuntient in
syonnom̃dñilaudem	syon nom̃ dñi  laudem
ei᷒inierl̃m.Inꝯueniendoppl̃os	ei᷒ in ierl̃m . In ꝯueniendo ppl̃os
inunũ	in unũ 
regesutser.dñoResponditeiinuiauirtutis	reges ut ser. dño Respondit ei in uia uirtutis
suepau.dier̃meoꝝnuntiamͥNereuocesme	sue pau. dier̃ meoꝝ nuntia mͥ Ne reuoces me
indi.dier̃	in di. dier̃
meoꝝinge.etge.	meoꝝ  in ge. et ge.
annitui.Initio	anni tui . Initio
tudñet̃rãfun.	tu dñe t̃rã fun. 
oꝑamanuumtuar̃s̃tceli.Ipsi	oꝑa manuum tuar̃ s̃t celi . Ipsi
ꝑib̃ttuãꝑmanesõssic̃uestim̃t̃	ꝑib̃t tu ã ꝑmanes  õs sic̃ uestim̃t̃
ueterascent.Etsic̃oꝑtoriummutab̃eos	ueterascent . Et sic̃ oꝑtorium mutab̃ eos 
mu.tuãid̃	mu. tu ã id̃
ipseesannitui	ipse es  anni tui
ñdeficient.Filiiseruoꝝtuoꝝ	ñ deficient . Filii seruoꝝ tuoꝝ
h̃itab̃t.sem̃eoꝝinscl̃mdirigetur:Domine	h̃itab̃t .  sem̃ eoꝝ in scl̃m dirigetur : Domine
exaudiorationemmeam	exaudi orationem meam
etclamormeusad	et clamor meus ad
teueniat.Nonau͛tas	te ueniat . Non au͛tas
faciemtuamameinqua	faciem tuam a me in qua
cumquedietribulorinclinaadmeauremtuã.	cumque die tribulor inclina ad me aurem tuã .
Inquacumque	In quacumque
dieinuocaueroteuelociterexaudime.Quiadefeceruntsicut	die inuocauero te uelociter exaudi me . Quia defecerunt sicut
fumusdies	fumus dies
meietossameasicutcremiumaruerunt	mei et ossa mea sicut cremium aruerunt
.Percussus	. Percussus
sumutfenumetaruitcor	sum ut fenum et aruit cor
meumquiaoblitussum	meum quia oblitus sum
comederepanemmeum	comedere panem meum
.Auocegemitusmeiadhesitosmeumcarnimee	. A uoce gemitus mei adhesit os meum carni mee
.Similisfactussum	. Similis factus sum
pellicanosolitudinisfactussumsicutniticoraxin	pellicano solitudinis  factus sum sicut niticorax in
domicilio.Vigilauietfactus	domicilio . Vigilaui et factus
sumsicutpassersolitari᷒intecto.Totadie	sum sicut passer solitari᷒ in tecto . Tota die
exprobrabantmichiinimicimei⁊	exprobrabant michi inimici mei  ⁊
quilaudabantmeadu͛summe	qui laudabant me adu͛sum me
iurabãt.Quiacineremtamquampanemmanducabam	iurabãt . Quia cinerem tamquam panem manducabam
etpoculum	et poculum
meumcumfletumiscebã.Afacieireet	meum cum fletu miscebã . A facie ire et
indignationistuequiaeleuansallisistime.	indignationis tue  quia eleuans allisisti me .
Diesmeisicutumbradeclinaueruntetegosicutfenum	Dies mei sicut umbra declinauerunt et ego sicut fenum
arui.Tuautemdomineinet͛numꝑmanes⁊memoriale	arui . Tu autem domine in et͛num ꝑmanes ⁊ memoriale
tuumingeneratione	tuum in generatione
etgenerationemTuexurgensmisereberis	et generationem Tu exurgens misereberis
sionquiatempusmiserendieiusquiauenit	sion quia tempus miserendi eius quia uenit
tempus.Quoniamplacuerunt	tempus . Quoniam placuerunt
seruistuis	seruis tuis
lapidesei᷒etterreeiusmiserebuntur.Ettimebuntgentes	lapides ei᷒ et terre eius miserebuntur . Et timebunt gentes
nomentuum	nomen tuum
domineetomnesregesterregloriamtuam	domine et omnes reges terre gloriam tuam
.Quiaedificauitdominussionetuidebiturin	. Quia edificauit dominus sion et uidebi tur in
gloriasua.Respexit	gloria sua . Respexit
inorationem	in orationem
humiliumetnonspreuitprecemeorumScribanturhecingeneratione	humilium et non spreuit precem eorum Scribantur hec in generatione
alteraetpopulusquicreabiturlaudabitdominum.Quia	altera et populus qui creabitur laudabit dominum . Quia
prospexitdeexcelsosanctodominusdecelointerram	prospexit de excelso sancto  dominus de celo in terram
aspexit.Utaudiretgemitusconpeditorumutsolueretfiliosinterremptorum	aspexit .Ut audiret gemitus conpeditorum ut solueret filios interremptorum
.Utannuntietinsionnomendominiet	. Ut annuntiet in sion nomen domini et
laudemeiusinierusalem.Inconueniendopopulosin	laudem eius in ierusalem . In conueniendo populos in
unumetregesut	unum et reges ut
seruiantdomino.Respondit	seruiant domino . Respondit
eiinuiauirtutissuepaucitatemdierummeorumnuntiamichi	ei in uia uirtutis sue paucitatem dierum meorum nuntia michi
.Nereuoces	. Ne reuoces
meindimidiodierummeorumingeneratione	me in dimidio dierum meorum in generatione
⁊generationemannitui.	⁊ generationem anni tui .
Initiotudomineterramfundastiet	Ini tio tu domine terram fundasti et
oꝑamanuumtuarum	oꝑa manuum tuarum
suntceli.Ipsiꝑibunt	sunt celi . Ipsi ꝑibunt
tuautemꝑmaneset	tu autem ꝑmanes et
omnessicustuestimentumueterascent.Etsicutoꝑtoriummutabis	omnes sicust uestimentum ueterascent . Et sicut oꝑtorium mutabis
eos⁊mutabũturtuautemidemip̃ees⁊	eos ⁊ mutabũtur tu autem idem ip̃e es ⁊
annituiñdeficient.Filiiseruorumtuorumhabitabunt	anni tui ñ deficient . Filii seruorum tuorum habitabunt
etsemeneoruminseculum	et semen eorum in seculum
dirigetur.Dñeexaudior̃onẽmeamclamormeus	dirigetur . Dñe exaudi or̃onẽ meam   clamor meus
adteueniat	ad te ueniat
.Nonauertas	. Non auertas
faciemtuama	faciem tuam a
meinquacumqdietribulorinclinaad	me  in quacumq die tribulor inclina ad
meauremtuam	me aurem tuam
.Inquacumqdieinuocau͛o	. In quacumq die inuocau͛o
teuelocit͛	te  uelocit͛
exaudime.Quiadefec͛untsic̃	exaudi me . Quia defec͛unt sic̃
fumusdies	fumus dies
meiossa	mei   ossa
measicutcremiũaruerunt.Percussus	mea sicut cremiũ aruerunt . Percussus
sumutfenũaruitcormeum	sum ut fenũ  aruit cor meum 
quiaoblitussumcomed͛epanem	quia oblitus sum comed͛e panem
meũ.Auocegemitusmei	meũ . A uoce gemitus mei
adhesitosmeũcarnimee.Similis	 adhesit os meũ carni mee . Similis
fc̃ssumpellicano.solitudinisfc̃ssumsicut	fc̃s sum pellicano . solitudinis  fc̃s sum sicut
nicticoraxin	nicticorax in
domicilio.Uigilauifc̃ssumsic̃	domicilio . Uigilaui  fc̃s sum sic̃
passersolitariusintecto.Totadieexprobrabant	passer solitarius in tecto . Tota die exprobrabant
mͥinimicimeiquilaudabãtmeadu͛sus	mͥ inimici mei   qui laudabãt me adu͛sus
meiurabant.Quiacin͛emtanquampanemmanducabam	me iurabant . Quia cin͛em tanquam panem manducabam
etpotummeumcũfletumiscebam	 et potum meum cũ fletu miscebam
.Afacieireet	. A facie ire et
indignacõistue	indignacõis tue
quiaeleuans	 quia eleuans
allisistime	allisisti me
.Diesmei	. Dies mei
sicutumbradeclinau͛unt	sicut umbra declinau͛unt 
egosicutfenũarui.Tuautẽ	 ego sicut fenũ arui . Tu autẽ
dñeinet͛numꝑmanes	dñe in et͛num ꝑmanes  
memorialeituũin	memoriale i tuũ in
gñacõegñacõem	gñacõe  gñacõem
.Tuexurgẽs	. Tu exurgẽs
dñemisereb̃issyon	dñe misereb̃is syon 
quiatp̃smiserendieius	quia tp̃s miserendi eius
uenittp̃s.Quiaplacuerũtseruistuislapideseius	 uenit tp̃s . Quia placuerũt seruis tuis lapides eius
terreeiusmiserebuntur.	  terre eius miserebuntur .
Ettimebuntgentes	Et timebunt gentes
nom̃tuũdñe	nom̃ tuũ dñe  
om̃sregest͛regl̃amtuam.	om̃s reges t͛re gl̃am tuam .
Quiaedificabitdñssyonuidebiturĩ	Quia edificabit dñs syon   uidebitur ĩ
gl̃asua.	gl̃a sua .
Respexitinor̃onemhumiliũñspreuitcemeoꝝ	Respexit in or̃onem humiliũ   ñ spreuit cem eoꝝ
.Scribanturhocĩgñacõealt͛appl̃squi	. Scribantur hoc ĩ gñacõe alt͛a   ppl̃s qui
creabiturlaudabitdñm	creabitur laudabit dñm
.Quiaꝓspexitdeexcelsosãcto	. Quia ꝓspexit de excelso sãcto
suodñsdecelo	suo  dñs de celo
int͛ramaspexit	in t͛ram aspexit
.Utaudiretgemitumꝯpeditoꝝutsolu͛tfiliosint͛emptoꝝ	. Ut audiret gemitum ꝯpeditoꝝ  ut solu͛t filios int͛emptoꝝ
.Utanñtientinsyonnom̃dñilaudem	. Ut anñtient in syon nom̃ dñi   laudem
eiusinirl̃m.	eius in irl̃m .
Inꝯueniendoppl̃osinunũregesut	In ꝯueniendo ppl̃os in unũ   reges ut
seruiantdomino.	seruiant domino .
Responditeiin	Respondit ei in
uiauirtutis	uia uirtutis
suepaucitatẽdierũmeoꝝnunciamͥ	sue  paucitatẽ dierũ meoꝝ nuncia mͥ
.Nereuocesmein	. Ne reuoces me in
dimidiodier̃meoꝝ	dimidio dier̃ meoꝝ 
ingen͛acõgñacõemanni	in gen͛acõ  gñacõem anni
tui.Iniciotudominet͛ram	tui . Inicio tu domine t͛ram
fundastioꝑa	fundasti   oꝑa
manuumtuar̃suntceli.Ip̃iꝑibunttuã	manuum tuar̃ sunt celi . Ip̃i ꝑibunt tu ã
ꝑmanesom̃s	ꝑmanes  om̃s
sicutuestim̃tũuet͛ascent.Etsic̃	sicut uestim̃tũ uet͛ascent . Et sic̃
oꝑtoriũmutabiseosmutabunt᷑tuãidemip̃e	oꝑtoriũ mutabis eos  mutabunt᷑  tu ã idem ip̃e
esannituiñdeficient	es   anni tui ñ deficient
.filiiseruoꝝ	. filii seruoꝝ
tuoꝝh̃itabuntsemeneoꝝinscl̃m	tuoꝝ h̃itabunt   semen eoꝝ in scl̃m
dirigetur.psalmusdauidDñeexaudi	dirigetur . psalmus dauid Dñe exaudi
or̃onemmeam.etclamorm̃sadte	or̃onem meam . et clamor m̃s ad te
ueniat.Nonaũtas	ueniat . Non aũtas
fatiemtuãameinqͣcumqdietribulorinclinaad	fatiem tuã a me in qͣcumq die tribulor inclina ad
meaurẽtuam.	me aurẽ tuam .
Inqͣcumq	In qͣcumq
dieinuocaũo	die inuocaũo
teuelocit͛exaudime.Quiadefec̃unt	te uelocit͛ exaudi me . Quia defec̃unt
sicutfum᷒diesmeietossameasic̃	sicut fum᷒ dies mei et ossa mea sic̃
cremiũaruerũt.Percussussũutfenũ	cremiũ aruerũt . Percussus sũ ut fenũ
⁊aruitcormeũ	⁊ aruit cor meũ
oblitussũcomed̃e	 oblitus sũ comed̃e
panẽmeum.Auocegemit᷒	panẽ meum . A uoce gemit᷒
meiadhesitosmeumcarnimee.Similisfc̃ssũ	mei adhesit os meum carni mee . Similis fc̃s sũ
pellicanosolitud̃isfactussum	pellicano solitud̃is factus sum
sicutnicticoraxin	sicut nicticorax in
domicilio.Vigilauietfact᷒sũ	domicilio . Vigilaui et fact᷒ sũ
sic̃passersolitari᷒intecto.Totadieexꝓbrabãt	sic̃ passer solitari᷒ in tecto . Tota die exꝓbrabãt
mͥinimici	mͥ inimici
mei.etquilaudabant	mei . et qui laudabant
meadũsummeiurabant.Quiaciñemtamqͣmpanem	me adũsum me iurabant . Quia ciñem tamqͣm panem
manducabametpotũmeumcũ	manducabam et potũ meum cũ
fletumiscebam.Afacieireindignatõistuequia	fletu miscebam . A facie ire indignatõis tue quia
heceleuansallisisti	hec eleuans allisisti
me.Diesmeisic̃umbra	me . Dies mei sic̃ umbra
declinauer̃tetego	declinauer̃t et ego
sic̃fenũarui.Tuaũdñeinet̃nũꝑmanes	sic̃ fenũ arui . Tu aũ dñe in et̃nũ ꝑmanes
⁊memorialetuumingñatõe⁊gñatõem.	⁊ memoriale tuum in gñatõe ⁊ gñatõem .
Tuexurg̃nsdñemisereb̃issyonquiatemp᷒miserendieius	Tu exurg̃ns dñe misereb̃is syon quia temp᷒ miserendi eius
uenittemp᷒	 uenit temp᷒
.Q̃mplacũuntseruistuislapideseius⁊t̃reeius	. Q̃m placũunt seruis tuis lapides eius ⁊ t̃re eius
miserebuntur.Ettimebuntg̃snom̃tuũdñe	miserebuntur . Et timebunt g̃s nom̃ tuũ dñe
⁊om̃sregest̃regl̃amtuam.	⁊ om̃s reges t̃re gl̃am tuam .
Quiaedificauitdomin᷒syonet	Quia edificauit domin᷒ syon et
uidebr̃ingl̃asua.Respexitinor̃onemhumiliũ	uidebr̃ in gl̃a sua . Respexit in or̃onem humiliũ
etñspreuit	et ñ spreuit
cemeoꝝ.Scribant᷑hecingñationealteraetppl̃s	cem eoꝝ . Scribant᷑ hec in gñatione altera et ppl̃s
quicreabit᷑laudabitdñmQuiaꝓspexitdeexcelsosc̃osuo	qui creabit᷑ laudabit dñm Quia ꝓspexit de excelso sc̃o suo
dñsdeceloĩt̃ramaspexit.Utaudiret	dñs de celo ĩ t̃ram aspexit . Ut audiret
gemit᷒ꝯpeditoꝝutsolũetfiliosint̃emptoꝝ.	gemit᷒ ꝯpeditoꝝ ut solũet filios int̃emptoꝝ .
Utadnuncientinsyonnomẽdñietlaudemeius	Ut adnuncient in syon nomẽ dñi et laudem eius
inirl̃m.Inconueniendoppl̃osin	in irl̃m . In conueniendo ppl̃os in
unumetreges	unum et reges
uts̃uiant	ut s̃uiant
dño.Respond̃eiinuiauirtutis	dño . Respond̃ ei in uia uirtutis
suepaucitatẽdier̃meoꝝnũtiamͥ.Nereuocesme	sue paucitatẽ dier̃ meoꝝ nũtia mͥ . Ne reuoces me
indimidiodier̃meoꝝĩgeñatõe⁊gñatõem	in dimidio dier̃ meoꝝ ĩ geñatõe ⁊ gñatõem
annitui.Initiotudñet̃rãfundasti	anni tui . Initio tu dñe t̃rã fundasti
etoꝑamanuũ	et oꝑa manuũ
tuarums̃tceli.Ip̃iꝑibũttuaũꝑmaneset	tuarum s̃t celi . Ip̃i ꝑibũt tu aũ ꝑmanes et
om̃ssic̃uestim̃tumueterascẽt.Etsicut	om̃s sic̃ uestim̃tum ueterascẽt . Et sicut
oꝑtoriũmutab̃eos.⁊mutabunt᷑	oꝑtoriũ mutab̃ eos . ⁊ mutabunt᷑
tuaũidemip̃ees⁊	tu aũ idem ip̃e es ⁊
annituiñdeficient.Filii	anni tui ñ deficient . Filii
seruoꝝtuor̃h̃itabunt	seruoꝝ tuor̃ h̃itabunt
etsem̃eoꝝinscl̃mdirigetur.Dñeexaudi	et sem̃ eoꝝ in scl̃m dirigetur . Dñe exaudi
or̃ommeã.	or̃om meã .
clamorm̃sad	 clamor m̃s ad
teueniatNonau͛tasfaciẽ	te ueniat Non au͛tas faciẽ
tuãame.inquacũq	tuã a me . in quacũq
dietribulorinclinaadme	die tribu lor inclina ad me
aurẽtuã.In	aurẽ tuã . In
quacũqdieinuocau͛ote.uelocit͛exaudi	quacũq die inuocau͛o te . uelocit͛ exaudi
meQͥadefecerũt	me Qͥa defecerũt
sic̃fumusdiesm̃i.	sic̃ fumus dies m̃i . 
ossameasic̃	ossa mea sic̃
cremiũaruerũt.Percussussũutfenũ	cremiũ aruerũt . Percussus sũ ut fenũ
aruitcormeũ.quia	 aruit cor meũ . quia
oblitussũcõed̃epanẽmeũ.A	oblitus sũ cõed̃e panẽ meũ . A
uocegemitusm̃i.adhesitos	uoce gemitus m̃i . adhesit os
meũcarnimee	meũ carni mee
.Similisfc̃ssũpellicanosolitud̃is.fc̃s	. Similis fc̃s sũ pellicano solitud̃is . fc̃s
sũsic̃niticoraxindomicilio.Vigilaui	sũ sic̃ niticorax in domicilio . Vigilaui
fc̃ussũ.sic̃passersolitariusintecto	 fc̃us sũ . sic̃ passer solitarius in tecto
.Totadieexꝓbrabãtmichiinimici	. Tota die exꝓbrabãt michi inimici
m̃i.qui	m̃i .  qui
laudabãtmeadu͛sũmeiurabãt.Quiaciñem	laudabãt me adu͛sũ me iurabãt . Quia ciñem
tanqͣmpanẽmanducabã.pocl̃um	tanqͣm panẽ manducabã .  pocl̃um
meumcumfletumiscebam.Afacieireindignationis	meum cum fletu miscebam . A facie ire indignationis
tue.eleuãsallisistime.Dies	tue .  eleuãs allisisti me . Dies
meisic̃umbradeclinaũuntegosic̃	mei sic̃ umbra declinaũunt  ego sic̃
fenũaruiTuãtdñeinet̃nũ	fenũ arui Tu ãt dñe in et̃nũ
ꝑmanesmemoriale	ꝑmanes  memoriale
tuũingñatõegñationẽ.	tuũ in gñatõe  gñationẽ .
Tuexurgẽsmisereberis	Tu exurgẽs misereberis
syon.tp̃smiserẽdieius	syon .  tp̃s miserẽdi eius
.quiauenittp̃s.Quoniãplacũuntseruistuislapides	. quia uenit tp̃s . Quoniã placũunt seruis tuis lapides
eius.t͛reeiusmiserebũtur.Ettimebũtgẽtes	eius .  t͛re eius miserebũtur . Et timebũt gẽtes
nom̃tuumdñe.om̃sregest͛re	nom̃ tuum dñe .  om̃s reges t͛re
gloriãtuã.	gloriã tuã .
Quiaedificauitdñssyon.uidebituringl̃asua	Quia edificauit dñs syon .  uidebitur in gl̃a sua
.Respexitinor̃omhumiliũ.nõ	. Respexit in or̃om humiliũ .  nõ
suitcemeoꝝ.Scribantur	suit cem eoꝝ . Scribantur
hecingñationealt͛a.ppl̃s	hec in gñatione alt͛a .  ppl̃s
quicreabiturlaudabitdñmQuiaꝓspexitde	qui creabitur laudabit dñm Quia ꝓspexit de
excelsosc̃osuo.dñsde	excelso sc̃o suo . dñs de
celoint͛ramaspex̃.Vt	celo in t͛ram aspex̃ . Vt
audiretgemit᷒cõpeditoꝝ.utsolueretfiliosint̃emptoꝝ.	audiret gemit᷒ cõpeditoꝝ . ut solueret filios int̃emptoꝝ .
Vtadnũtiẽtinsyonnom̃dñi.	Vt adnũtiẽt in syon nom̃ dñi .
laudẽeiusinihrl̃m.Incõueniẽdoppl̃osin	 laudẽ eius in ihrl̃m . In cõueniẽdo ppl̃os in
unũ.regesutseruiãtdño.Respõditei	unũ .  reges ut seruiãt dño . Respõdit ei
inuiauirtutissuepaucitatem	in uia uirtutis sue paucitatem
dier̃meoꝝnũtiamͥNereuocesmeindimidiodier̃	dier̃ meoꝝ nũtia mͥ Ne reuoces me in dimidio dier̃
m̃oꝝingñatõegñatõemanni	m̃oꝝ in gñatõe  gñatõem anni
tui.Initiotudñe	tui . Initio tu dñe
t͛ramfundasti.oꝑamanuũtuar̃	t͛ram fundasti .  oꝑa manuũ tuar̃
sũtceli.Ip̃iꝑibũttuãt.	sũt celi . Ip̃i ꝑibũt tu ãt .
om̃sut	 om̃s ut
uestim̃tũueterascẽt.Etpermanessic̃oꝑtoriũ	uestim̃tũ ueterascẽt . Et permanes sic̃ oꝑtoriũ
mutabiseosmutabũtur	mutabis eos  mutabũtur
.tuãtidẽ	. tu ãt idẽ
ip̃eesannituiñdeficiẽt	ip̃e es  anni tui ñ deficiẽt
Filiiseruoꝝtuoꝝh̃itabũtsem̃	Filii seruoꝝ tuoꝝ h̃itabũt  sem̃
eoꝝinscl̃mdirigetur	eoꝝ in scl̃m dirigetur
.Domineexaudior̃onemmeam	. Domine exaudi or̃onem meam 
⁊clamormeusadteueniat	⁊ clamor meus ad te ueniat
.Nonaũtas	. Non aũtas
faciemtuamame	faciem tuam a me 
ĩquacunqdie	ĩ quacunq die
tribulorinclinaad	tribulor inclina ad
meauremtuamInquacumq	me aurem tuam In quacumq
dieinuocauero	die inuocauero
teuelociterexaudime	te  uelociter exaudi me
.Quiadefeceruntsicutfumus	. Quia defecerunt sicut fumus
diesmei⁊ossameasicutcremiũaruerunt	dies mei  ⁊ ossa mea sicut cremiũ aruerunt
.Percussussumsicut	. Percussus sum sicut
fenum⁊aruitcormeumoblitussumcomed̃e	fenum ⁊ aruit cor meum   oblitus sum comed̃e
panemmeum.aA	panem meum . aA
uocegemitusmeiadhesitosmeumcarnimee.	uoce gemitus mei adhesit os meum carni mee .
sSimilisfactus	sSimilis factus
sumpellicanosolitudinisfactussum	sum pellicano solitudinis factus sum
sicutnicticoraxĩdomicilio.vVigilaui⁊fact᷒sumsicut	sicut nicticorax ĩ domicilio . vVigilaui ⁊ fact᷒ sum sicut
passersolitariusĩtecto.Tota	passer solitarius ĩ tecto . Tota
dieexꝓbrabantmͥinimicimei	die exꝓbrabant mͥ inimici mei
⁊quilaudabantmeadũsummeiurabantQuia	 ⁊ qui laudabant me adũsum me iurabant Quia
cineremtanquampanemmanducabam⁊poculum	cinerem tanquam panem manducabam  ⁊ poculum
meumcumfletumiscebamaAfacieireindignationistue	meum cum fletu miscebam aA facie ire indignationis tue 
eleuansallisistime.	 eleuans allisisti me .
Diesmeisicutumbradeclinauerunt⁊ego	Dies mei sicut umbra declinauerunt  ⁊ ego
sicutfenumarui.tTuaut̃dñein	sicut fenum arui . tTu aut̃ dñe in
et̃numꝑmanes⁊memorialetuumĩgñacione	et̃num ꝑmanes  ⁊ memoriale tuum ĩ gñacione
⁊gñacionẽ.tTuexsurgens	⁊ gñacionẽ . tTu exsurgens
misereberissyon	misereberis syon 
temp᷒miserendieiusuenittemp᷒	 temp᷒ miserendi eius  uenit temp᷒
.Q̃mplacueruntseruis	. Q̃m placuerunt seruis
tuislapidesei᷒⁊terre	tuis lapides ei᷒  ⁊ terre
eiusmiserebunturEttimebunt	eius miserebuntur Et timebunt
gentesnom̃tuumdñe⁊om̃s	gentes nom̃ tuum dñe  ⁊ om̃s
regest̃regl̃iamtuam.Quiaedificauit	reges t̃re gl̃iam tuam . Quia edificauit
dñssyon	dñs syon
⁊uidebit᷑	 ⁊ uidebit᷑
ingl̃iasua.Respexitinor̃onemhũilium	in gl̃ia sua . Respexit in or̃onem hũilium
.⁊nõspreuit	. ⁊ nõ spreuit
preceseoꝝScribant᷑h̃ingeneracõnealtera.⁊ppl̃s	preces eoꝝ Scribant᷑ h̃ in generacõne altera . ⁊ ppl̃s
quicreabiturlaudabitdñmQuiaꝓspexitdeexcelsosc̃osuo	qui creabitur laudabit dñm Quia ꝓspexit de excelso sc̃o suo
dñsdeceloint̃ramaspexit.Et	 dñs de celo in t̃ram aspexit . Et
audiretgemit᷒ꝯpeditoꝝutsolueretfiliosint̃emptoꝝ.Et	audiret gemit᷒ ꝯpeditoꝝ  ut solueret filios int̃emptoꝝ . Et
annũcientin	annũcient in
syonnomen	syon nomen
dñi.⁊laudem	dñi . ⁊ laudem
eiusinierl̃m.iInconueniendoppl̃os	eius in ierl̃m . iIn conueniendo ppl̃os
inunũ⁊regesutseruiant	in unũ  ⁊ reges ut seruiant
dñoResponditeiĩuia	dño Respondit ei ĩ uia
uirtutissuepaucitatẽdieꝝmeoꝝnũciamͥ	uirtutis sue  paucitatẽ dieꝝ meoꝝ nũcia mͥ
.Nereuocesmeindimidio	. Ne reuoces me in dimidio
dieꝝmeoꝝingñacione	dieꝝ meoꝝ  in gñacione
⁊geñacionemannitui.Iniciotudñe	⁊ geñacionem anni tui . Inicio tu dñe
t̃ramfundasti⁊oꝑamanuũtuaꝝs̃tceliIp̃i	t̃ram fundasti  ⁊ oꝑa manuũ tuaꝝ s̃t celi Ip̃i
