P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
officio [q1Kb]seru a tu ro, ut,siu iolate[r1Kb] castitatis apudipsumfa cinushereat,deportati onep lectatur[a1Kb], atque uniuersee iusfa c ulta tesfisciui ribus[ b1Kb]uindicentur ,qu amuis[c 1Kb]e ampenamdebueritsustin er e, quamraptori[ d 1Kb ]le gesimpo nunt.	------|-|---|----⌫-⌫--⌫--|--|-|-⌫-----|-|---|---------|---|----|--⌫----|------|---------⌫--|-⌫-------|-|---||----|-------|-⌫--|--⌫-⌫----⌫--|----|--⌫----|-⌫|---|-----------⌫|--⌫----|-|---|-⌫-|----|-------|------⌫--⌫-|---|------|-⌫|---⌫|--⌫--|----⌫----|
INTER PRETATIO.	-----⌫--------|
Ubi pr imum [g1 Kb]p uelle subtuto re uiuente sa dannosperuenerint nuptiales,etqui cumquepetitorac cesse rit,n onpriuspue lla[h 1Kb]iungatur, nisi uirginitasillius, quod at ut oreseruata s it, fueritapprobata [i1Kb] .	--|--⌫---|-|-⌫--|-⌫----|--|----⌫-|-------⌫|-⌫|----|----------|---------|-|---⌫-----|------|--⌫-----⌫---|-⌫-|----|---⌫--|-|---|--------|---|---------|------|---||-⌫--⌫--|------|-⌫--|-----|--------|-|---||
DE IUREFISCI.	-|---|-----|
Con st ant inusA.	---⌫--⌫---⌫---|-|
adD ometium DracontiumMagistrump riuaterei Africe.	-|-⌫------|---------|--------|-⌫-----|--|------|
Cumfisc us lit empatiaturautinfera t[l1 Kb] ,annisp at i um add et ermina ndamc aussamspect arioportet,q uiahocadinstruendum sa tis est, et diutius nonoportetp riuator um[m1Kb]sine fisci em olu mentafatigari .	--|----⌫-|---⌫-|-------|--|------⌫|-|-⌫--||---|--⌫--⌫-⌫-|-|-⌫--⌫------⌫---|-⌫-----|-----⌫--|-------|-⌫--|--|-|----------|--⌫--|---|-|------|--|------|-⌫-------⌫-|-|---|---|----|--⌫---⌫----|--------⌫|
DECUSTODIA REORU M.	-|-------|-----⌫-|
Constantinu sA.	-----------⌫|-|
ad Florent iu mRationa lem.	-|-------⌫--⌫|-------⌫---|
In qua c um quecausa reoe xhibito,siueaccusa tore x istat,siu epublice[o1Kb] sollicitudiniscura p rodux erit [p 1Kb], stati mdebetquestio fieri,utnoxi uspuniatur,i nnocensabsol uatur;	-|---⌫-⌫--⌫--|----|--|-⌫-------|---|------⌫--|-⌫-⌫-----|---⌫|------|-|---|-------------|---|-⌫-----⌫---|-|---||-----⌫|----|------|-----|-|----⌫-|--------|-⌫------|-----⌫-----|
Quod siaccusator a beritad t empus , autsoc ioru m pre sentianece ssari auidea tur,id quidemdebetquamce lerrimeproc u rar i.	---|-|--------|-⌫----|-|-⌫-----⌫|--|---⌫----⌫|---⌫-----|----⌫-----⌫|-----⌫---|-|-----|----|---|--⌫------|----⌫-⌫---⌫-|
Intereau iroexhibitononferreas[a1Kb]m a nicaset inherentesossibusmitti[b1Kb]oportet,sed pro lixioresc at e nas[c1 Kb],utet cruciatiod esitetpermanea tf ida[d1Kb] cust o dia.	------|-⌫--|-------|--|------|-|---|-⌫-⌫----|-|---------|------|----|-|---|-------|--|---⌫-------|-⌫--⌫-⌫--|-|-⌫--||-|-|--------|-⌫---|-|--------⌫|-⌫--|-|---|----⌫-⌫---|
Necuerose disi ntime tenebraspatidebebi tinclus us, sedusurpatal uceuege ta ri[e1Kb],et,ubinoxgeminaueritcus todiam,uestibuliscarcerumetsalu br i busloci sr ecipi,a creuertente it er umdie,adprimumsoliso rtum, illico adpublicumlumeneduci,nepenis carcer isperimatur.	--|---|--⌫--|-⌫----|-------|---|------⌫|------⌫--|--|-------|-⌫--|----⌫--⌫-|-|---||--|--|--|----------|---⌫------|---------|-------|-|----⌫--⌫-⌫--|----⌫|-⌫-----|-⌫|---------|--⌫--⌫-|---|-|-----|----|-⌫----|-----|-|-------|----|-----|-|----|------⌫-|---------|
quod innocentibus miserumnoxiisn on sati sseu erum essecognoscitu r [f1Kb] .	---|-----------|------|-----|-⌫-|----⌫|---⌫---|---|----------⌫|-|---||
Il lud etiam obseruabitur,utnequehis,qui stratorumfunguntur officio,nequeministriseorum liceat[g1K b]crudelitatemsua maccus atoribus uendere,e t i nnoc entesintracarcerums ep ta letho da re, autsubtractosaudientie long a tabec o nsumere .	--⌫--|----|------------|-|----|---|--|--------|--------|-------|----|--------|----|-----|-|--⌫-|-----------|---⌫|-----⌫-------|-------|-⌫|-⌫----⌫----|----|-------|-⌫--⌫-|----|--⌫--|--|---------|--------|----⌫|---|-⌫-⌫-------⌫|
DE APP ELLATIONIBUS.	-|---⌫------------|
Const antinusA.	-----⌫------|-|
a dCri spinu m[m1Kb].	-⌫|---⌫-----⌫|-|---||
Si quisper abse ntiam nominatu s [n1Kb ]adpr ouoc a tionisauxili umcu currerit,exeodiein terponend eappel lat ionis duorumme nsium [ o1Kb]temporae icomputandasunt,exquo contra secele brata mnominationemdidici ssem onst rauer it.	-|---|--|----⌫----|--------⌫|-|---⌫|-|--⌫----⌫-⌫-----|------⌫-|--⌫--------|-|-|--|--⌫---------⌫|-----⌫---⌫----|-----|--⌫----|-⌫|---|------|-⌫|---------|----|-|--|-----|-|----⌫-----⌫|-----------|------⌫--|-⌫----⌫-----⌫--|
Nampr esenti,quifactamnominati o nemcognouit,eta ppellare uoluerit ,statimdebe t duorummensiumspatium [a 1Kb]com putari.	--|--⌫------|--|-----|--------⌫-⌫--|--------|-|-⌫-------|--------⌫|-----|----⌫|-----|------|------|-|---|---⌫------|
DE CLER ICIS.	-|----⌫----|
Constantinus A.	-----------|-|
adBassum [d 1Kb]P f.	-|-----|-|---|-⌫-|
Cumconsti tutio emis sa[e1Kb ]precipiat n ullumdeincep sde curionemu e lexdecu rioneprogenitumueletiamin structumido neis facultatibusatque obeundis publicismu nerib usoppor tu num adclericorumnomenobsequiu m quecon fuge re,sed eosd eceteroindefu nc torum dunta xatclericorumlocasurrogari,qu ifortunatenu es,neque muneribusciuilibus[f1Kb]t en eanturob stricti: cognouimus,il losetiaminquietari[g 1Kb] , quiantelegispromulgatio nem[h1Kb]cle ricoru mseconsortiosoc iauerint.	--|------⌫----|----⌫-|-|---⌫|--------|-⌫----|-------⌫|--⌫-------|-⌫-⌫|-|----⌫----|---------|--|----|--⌫-------|---⌫---|-----------|----|-------|-------|--⌫-----⌫-|-----⌫--⌫--|-|---------|----|--------⌫-⌫--|---⌫----⌫--|--|--|-⌫|-----|-|----⌫--⌫----|-----⌫--|---------|---|---------|--⌫|------|----⌫--|----|--------|--------|-|---|-⌫--⌫-----|--⌫-------|----------|--⌫--|----|---------|-|---||--|---|----|-----------⌫--|-|---|---⌫------⌫|-|--------|---⌫--------|
Ideoquepr ecipimus,hisa bomni molestia libe ratis,illo s, qui postlege mlatam o bs equiapublicadecl inantes adclerico rum numerum conf ugerunt, proculab eocorp ore segregato s,curieordinibusquei1Kb]restituietciui libus obs equiis inser uire.	------|--⌫--------|--|-⌫|---|-------|----⌫-----|----⌫-|--|---|----⌫|----|-⌫--⌫----|------|----⌫------|-|-------⌫--|------|----⌫-------|-----|-|-|----⌫--|---------⌫-|----|-----------||---|-------|-|----⌫----|---⌫-----|-----⌫----|
DEERRORIBU SADuO CATORUM[m 1Kb].	-|--------⌫|----⌫------|-|---||
ConstantinusA.	-----------|-|
Furio [n1Kb]Feli ci [o1Kb].	----|-|---|----⌫-|-|---||
Aduocatorum errore si n [p1K b]com pe t entiiudiciolitigatoribusnonpr e iudicant .	----------|------⌫|-⌫|-|--⌫-|---⌫--⌫-⌫---|------|------------|--|--⌫-⌫--------⌫|
u[q1Kb] kalend.	|-|---|------|
INTERP R ETATIO.	------⌫-⌫------|
DEME TALLIS ETMETALLARIIS [y 1Kb] .	-|--⌫-----|-|----------|-|---||
C onstan tinu sA .	-⌫------⌫----⌫|-⌫|
ad Ma ximumR ationalemAfrice.	-|--⌫----|-⌫--------|------|
S ecando rummarmorum e xqu ibuscumquemetallisuo l entibustribuimus facultate m.	-⌫------⌫--|-------|-⌫|--⌫---------|-------|--⌫-⌫------|--------|---------⌫-|
itaut, qu i cedere metallu matqueex eofacerequodc umque decreuerin t, etiamdistr ahend i hab ean tli b e rampo testatem.	--|--|--⌫|-----|-------⌫|----|-|-|-----|-----⌫----|----------⌫-|----|-----⌫-----⌫|---⌫---⌫|--⌫-⌫-⌫--|--⌫--------|
DE OF FICIOPROCONSULISETLEGATI.	-|--⌫----|----------|-|------|
Constantinu s.	-----------⌫-|
AelianoProconsuli Africe[ b 1Kb] .	------|---------|-----|-⌫|---||
Le gatinon s olum ciuile s,sed et[c1Kb]crimi nales caussasaudiant,ita ut,sisententiaminreosferendamperuiderint[ d 1Kb ] ,ad proconsuleseostransmitter enonmore ntur [e1Kb] :ab omnibusenimiudicibushocobseru ario port e t, ut,sup putatotemporec ompetenti, quo nece ss a r iacaussecriminal is[f1Kb]instructiopoterit ad hiberi, matura muel nocenspenam, uelabsolutioneminnocen sconsequatur .	--⌫---|--|-⌫---|------⌫-|--|-|-|---|-----⌫----|------|-------|--|--|-|---------|-|---|-------|----------|-⌫|---⌫||-|----------|--|-----------⌫|--|----⌫---|-|---||-|------|---|--------|--|------⌫--|-⌫----⌫-⌫-|--|---⌫-----|------|-⌫---------|--|----⌫--⌫-⌫-⌫-|-----|--------⌫-|-|---|---------|------|--⌫------|------⌫|--|-----|-----|--|-----------|-------⌫|-----------⌫|
D E uETERANIS.	-⌫|---------|
C onsta nt inus A .	-⌫-----⌫--⌫---|-⌫|
ad uniuer sos uet eranos.	-|------⌫--|---⌫------|
ueterani iux t anostrum prece ptum uaca ntesterrasacc ipiant,easq uepe rpe tuohabeantimmunes.	-------|---⌫-⌫|------|-----⌫---|----⌫---|-----|---⌫------|----⌫-|--⌫---⌫--|------|-------|
et[ h1Kb] ad emenda rurinecessaria pe cunie innummo[i1Kb]uigint i quinque mill iafollium consequa ntur ,boum quoque par,etfr u gumpromisc uarummodios centum.	-|-⌫|---|-|-----|---|---------|--⌫----|-|----|-|---|------⌫|------|----⌫-|------|--------⌫----⌫|---|-----|---|-|--⌫-⌫--|-------⌫----|-----|------|
Q uiautem[i 1Kb]negotiigerendihabuerituolupt atem,huiccentumf ollium s ummamimmune m h a bere permittimus.	-⌫-|----|-|---|------|------|-------|------⌫----|---|-----|-⌫-----|-⌫----|------⌫|-⌫-⌫---|-----------|
Preter ho s ergo,quiuel domiciliisuelnegoti isdetinentur,omnes qui uacatis et n ullumneg otiumg eritis,nei nopialaboretis,ad hoc remediumd ebetiscon c urrere [k1K b].	-----|--⌫|----|--|--|---------|--|------⌫-|----------|----|--|------|-|-⌫----|---⌫----|-⌫------|-|-⌫----|---------|-|--|-------|-⌫-----|---⌫-⌫-----|-|--⌫-||
DE FAMOSISLIBE LLIS.	-|------|----⌫----|
Consta ntinusA.	------⌫-----|-|
ad Ianuarinum[c1Kb ]Agentemuic ariamprefecturam[d1Kb].	-|---------|-|---⌫|------|---⌫----|----------|-|---||
Utaccu satori bus patient iap rebenda e st,si que mpe rsequi in iu diciouolunt,itafam osi slibell is fide shabenda nonest, necsupe rhisadnostra mscientiamrefer endum,c umeosdem libellosfl ammi sprotinusconducat aboleri ,qu oruma uct or[e 1Kb ] nullusexsistit.	-|----⌫------⌫--|-------⌫-|-⌫------|-⌫--|-|---⌫|--⌫-----|-|--⌫----|------|--|---⌫---⌫|------⌫-|----⌫|------|--|---|--|----⌫|--|-|------⌫|--------|-----⌫-----|-⌫-|-----|-------|--⌫----⌫|-------|-------|-------⌫|--⌫---|-⌫---⌫-|-|---⌫|-----|--------|
DEPAGANIS,SACRIF ICIISETTEMPLIS[f 1K b].	-|-------|------⌫----|-|------|-|--⌫-||
ConstantinusA .	-----------|-⌫|
adMaximum[g1Kb].	-|------|-|---||
Siq uid [h1Kb]depalat ionostroau tcete ris operibus publici s degustatum ful gore[i1Kb]essec onstiterit,retentomoreuet erisobseruantie,quisportendat,abharuspicibus [i1K b]requiretu r, etdi ligentissime scripturak 1 Kb]collect aadnostra m sci entiamrefera tur :ceteris e tiamusurpande h uiusc onsuetud inisl icentiatribuenda[l 1Kb],d umm odosacrificiisdomest icisabs ti neant[m1Kb], quespecia literprohibitasunt §1.	-|-⌫--|-|---|-|-----⌫-|-----|--⌫|----⌫--|-------|-------⌫|---------|---⌫---|-|---|---|-⌫----------|------|---|---⌫---|-----------|---|---------|-|-----------|-|--⌫-|---------⌫-|-|--⌫-----------|--------||-⌫--|-------⌫|-|------⌫|---⌫-----|------⌫---⌫|------|-⌫---|--------|-⌫---|-⌫--------⌫---|-⌫------|--------|-|---||-⌫---⌫--|----------|------⌫---|---⌫--⌫----|-|---||--|------⌫----|--------|---||-|
E am autemdenuntiat ionematquei nte rpretat ion em,quedetactuam phi theatriscriptaes t ,dequa adHeraclianumtribunumetmagistrum of fic iorumscripseras,adnos sciasesseperlat um [n 1Kb] .	-⌫-|----|---------⌫----|----|-⌫---⌫-------⌫---⌫--|--|-|----|--⌫---⌫------|------|--⌫-⌫|-|--|-|----------|-------|-|--------|--⌫---⌫----|----------|-|--|----|---|------⌫-|-|---||
D E CASTRENSIOMN IU MPAL ATINORUM PECULIO .	-⌫|--------|---⌫--⌫|---⌫-------|-------⌫|
Constantinu sA.	-----------⌫|-|
adSeuerumP.	-|------|-|
Om ne sPalatinos, q u osEdi cti nos triiamdudumce rtapriui legiasuperfundunt,rem,s iquam , d uminPa lationostromota ntur, uel parcimonia propria qu esierint,uel donis nostris fuerintc onsecuti: utcastre nsepecu lium haberepr eci pimus.	--⌫--⌫|---------|-⌫-⌫-|---⌫--|---⌫--|-------|--⌫--|-----⌫----|------------|---|-⌫|----⌫|-⌫-|-|--⌫----|-----|----⌫----|--|---------|------|--⌫--------|--|----|------|------|-⌫--------|-|------⌫--|----⌫---|-----|--⌫---⌫-----|
Quidenimta m excastrisest,quamquodnobisconscii s ,acprope s ubco nspec tibus nostrisaquiritur.	---|---|--⌫|-|------|---|---|---|----|-------⌫-⌫|-|----|-⌫-|--⌫-----⌫----|------|---------|
Sed nec alie nisunt apulue re etla borec astro rum, quisignanostracomitantur, quipre st o sunt semperactibus,quosinten tos,eter uditos studiis, itinerumprolixitas,et expedition umdifficultasexerc et.	--|--|----⌫-|---||-----⌫-|-|--⌫---|-⌫-----⌫---|--|----|-----|----------|--|---⌫--⌫|---|-----|-------|---|-----⌫---|-|--⌫-----|-------|-------|----------|-|----------⌫-|----------|-----⌫--|
Ideo q uePal atininostri,quipriuilegi isEdictiutipotueru nt , pe c ulia suaprecipu a retin eant:que dumin palat ionostro constituti sunt,a u tlabore proprio,autdonatione nostraquesi erint.	----⌫-⌫-|---⌫----|------|--|---------⌫-|-----|--|-------⌫--⌫|--⌫-⌫---|--|-------⌫|-----⌫----|--|--|-|-----⌫-|-----|---------|----|-⌫-⌫|-----|-------|--|--------|-----|-----⌫-----|
Anno D omini 321.	---|-⌫----|---|
CrispoII et C onstan tinoIIC ess.	-----|-|-|-⌫------⌫---|-|-⌫---|
DEIUDICIIS [b1Kb].	-|-------|-|---||
Constan tinus A.	-------⌫----|-|
adMaximum[c1Kb].	-|------|-|---||
Iudicant e moporte tcunctarimari etord inem re rum plenainquisiti one disc u tere, int errogandiacp ropon endiad iic iendiq ue[d1Kb]patientiapre ditaab eo [ e1Kb]:u t, ubiactiopar tium[f 1Kb ]limitata[g1 Kb] sit [h 1Kb],conten t i onesnonoccurs uiudicis,sedsati etat ealtercant ium m etascompresserint[ i1Kb], sepiusrequiratur,etcrebrainte rrogation eiudicisfrequente tur[i1Kb] , num[k1Kb]quidno ui [ l1Kb]resideat,quodannectiall egationibusini udici aria contentione[m 1Kb]co nueniat.	--------⌫-⌫|------⌫|-----|-----|-|---⌫---|--⌫--|----|---------⌫--|----⌫-⌫----|---⌫--------|-|-⌫-----⌫---|--⌫---⌫------⌫-|-|---|--------|---⌫---|-|-|-⌫|---||-⌫-|--|----|---⌫---|-|---⌫|-------|-|-⌫--|--|-|---||------⌫-⌫-⌫---|--|------⌫|-------|--|----⌫----⌫|---------⌫--|-⌫---|------------|-⌫|---||-----|----------|-|-----|----⌫---------⌫|------|---------⌫--|-|---||--|-|---|---|--⌫-|-⌫|---|--------|---|------|---⌫----------|-|-⌫-----⌫---|----------|-|---|--⌫-------|
cumad[n1 Kb]alterutrum[o1Kb]hocp roficiat ,siuedefiniendasitcaussaperiudicem, s iuead nostram scien tiamre ferenda[p1Kb ] .	--|-|-|-⌫--|---------|-|---|--|-⌫--------⌫|---|---------|--|-----|--|-------|-⌫--|-|------|-----⌫---|--⌫------|-|---⌫||
Necadnosmittaturaliquid,quodplenainstructioneindigea t [a1Kb] .	--|-|--|-------|-------|---|----|-----------|-------⌫|-|---||
INTE RPRETATIO.	----⌫---------|
Iudexcumcaussamaudi r ec e p erit, litigatorumass ertionesuelre spo nsiones patienteraccipia tet omniaplen adiscussione pe rquirat.	----|--|------|----⌫-⌫|-⌫-⌫-⌫----|----------|---⌫-------|--|--⌫---⌫------|--------|-------⌫|-|----|----⌫|----------|--⌫-------|
Constantinus.	------------|
adMaxi mum Pf.	-|----⌫--|--|
Eum,quis ciensiu dic io adesse neglexerit,ut contumac emind e x mulctabit .	---|--|-⌫----|--⌫---⌫-|-----|----------|-|--------⌫-|---⌫-⌫|---------⌫|
DEAPPELLA TIONIBUS.	-|-------⌫--------|
Co nstant inusA.	--⌫------⌫---|-|
ad Maxim um.	-|-----⌫-||
Postalia:Nemoin refutationealiquid co nge rat, quod asserereintentioneneglexerit [s 1K b].	---|----|---|-|----------|------|--⌫---⌫---|---|-------|---------|---------|-|--⌫-||
Quod quidemsepefit industria, si,quod quispr obaripossedesperet,inpresentidisceptationediss imu let,certus,s eesse reuincen du m,sico mm entitia et fictas uggesserit.	---|-----|---|--|---------|--|---|---|--⌫----|----|--------|-|-------|------------|----⌫---⌫---|------|-⌫|---|--------⌫--⌫-|-|--⌫--⌫------|-|----|-⌫----------|
P ro pte rqu odcogietiam singulo s oportebi tadproferendainiu dicio uniue rsa, [i 1Kb]q ueadsubstan tiam a1Kb]litigiiprofic er e arbit rantur, atqu eea ration eurge ri,utsc iantsibiex a uctor i tat elegis istiu sn onl icere refutat o riistalealiq uid i ngerer e b1Kb],quodapudiud icemnonausifuerintpublicare?	-⌫--⌫---⌫|--⌫-|---|----|-------⌫|--------⌫|-|---------|-|--⌫----|-----⌫---|-|---|-⌫-|-|-------⌫---||---|------|------⌫--⌫|-----⌫------|----⌫|-|------⌫|----⌫--|-|--⌫---|---|-|-⌫-----⌫-⌫---⌫|----|-----⌫|-⌫-|-⌫----|-------⌫-⌫---|---|----⌫--|-⌫------⌫||---||---|---|---⌫---|--|---|------|---------|
Namsi plena,u t iubem us,as sertioperlitigatoreminiudiciis exs era tur, et integr ainstructioinconsulti[c 1Kb]ord inemconfera tur, stabitr atumac fidele,quodiudicianostraresc ripse rint ,neq ueullus querimonieloc us da biturnec [d1Kb]occasiosupplicandi,utco nuellilabefactariqueiubeam us,que ad relatio n emeius sanx imus, quineque ueran eq ueuniu ers asuggessit.	--|-|-----|-⌫|-----⌫--|--⌫-----|--|----------|-|-------|---⌫---⌫---|-|------⌫|---------|-|-------|-|---|---⌫---|-------⌫---|-----|-⌫---|-|------|---|------|-----|----⌫-----⌫----⌫|---⌫-|----|---------|---⌫-|--⌫----|--|-|---|------|-----------|-|--⌫-----|-------------|------⌫--|--|-|-------⌫-⌫-|---|----⌫----|--|----|---|-⌫--⌫-|----⌫---⌫|---------|
Omnesigiturpartium allegationes,actau ni uersa scriptura rumqueexe mplaomniumdirig antur.	----|-----|------|------------|---|-⌫--⌫----|---------⌫-----|---⌫---|-----|-----⌫-----|
Qu o dcumuniuersosiudices,tu m[e1Kb] prec i pue sublimitatemtua m,quico gnitionib usnostramuicemr e presen tas ,s eruareconueniet.	--⌫-⌫|--|--------|-------|--⌫|-|---|----⌫-⌫--|-----------|---⌫-|--|--⌫---------⌫-|------|----|-⌫-⌫------⌫---⌫|-⌫-----|---------|
Saneet i amexeoquerim oni elitiganti u moriuntur,quod auobis,qui imag inem principalisdisceptationis accipitis[f1K b ],a ppella t ionum adminic ularespuuntur.	---|--⌫-⌫-|-|-|------⌫---⌫|---------⌫-⌫|--------|---||-----|--|----⌫---|----------|-------------|--------|-|--⌫-⌫||-⌫------⌫-⌫----|-------⌫--|----------|
