PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
Hic di misit [ h1Kb]omnicler o rogamunam,etadluminaria ap ostol or umet sa ncte Mari eadPresepesol.	--|--⌫----|-⌫|---|---|----⌫|----|----|-|-|--------|--⌫-----⌫--⌫-|-|--⌫---|----⌫|-|------|---|
SAN CTUS L EO II.	---⌫---|-⌫-|--|
[7Kb][ Altase rr a,Ant oniu s:104K b] [Binius, Seuerinus;	----|-⌫------⌫--⌫-|---⌫----⌫-|----⌫-|-------|---------|
147Leo,nationeSiculus,e xp atrePaulo,sedi tmensesdece m,di esseptem[a1Kb]e tdecem.	--|---|------|-------|-⌫|-⌫---|-----|----⌫|-----|----⌫-|--⌫-|-----|-|---|-⌫|-----|
148[e1Kb ]Hicsuscepitsanctamsextamsynodum,queperDeiprouide ntia m nuperin regiaurbece lebrataest,G recoe loquio conscr iptam, exse quente ac residentepiissimo et clement iss imoma gnoprincipeConstantinointra regalepa latiu mei us qu od ap pellatur Tr ul lus,si mulquecumeolegatisedi sapost oliceetduopa triarche,id o stConstantinopoli tanusetAnti oche nus,atquecentumqui nquaginta episcopi;	--|-|---⌫|--|-------|------|-----|-------|--|--|--|-------⌫----⌫|----|-|----|---|--⌫------|---|-⌫---|-⌫-----|------⌫-----|----⌫-----|-|--------|-------|-|-------⌫---⌫--|--⌫--|-------|----------|----|-----|--⌫-----⌫|--⌫-|--⌫-|--⌫-------|--⌫--⌫---|--⌫-----|--|-|-----|----⌫|-----⌫----|-|--|--⌫--------|-|-⌫-|---------------⌫----|-|----⌫----⌫---|----|-----|---⌫--------|--------|
inquaetcondemnati suntCyrus,S er gius,H onoriuse tPyrrh us,Paulus etPetrus ,necn onet Macariuscum dis c ipulosuo Stephano,sed etPolychronius ,nouusSimo n ,qui un am uolunt at emeto perationem inDomino IesuChrist odixer untuelpredicaueru nt ,autquiden uopredicaturifuerintaut defensauerint.	-|--|-|---------|---|-----|-⌫--⌫----|-⌫------|-⌫|-----⌫--|-----|-|------⌫|----⌫-|-|-------|--|---⌫-⌫----|--|--------|--|-|------------⌫|----|----⌫-⌫|--|--⌫-|------⌫--⌫-|-|-⌫---------|-|-----|---|------⌫|-----⌫--|--|-----------⌫--⌫|--|--|---⌫-|----------|------|--|-------------|
Sedut etnuncdueuoluntates etoper ationesipsiusdispens ato ris C hristiet Saluator i sDeinostridicantur,s icut eadems yno dusstudiosissi meinL atinum tran slat ade clarat .	--|-|-|---|--|---------|-|----⌫------|-----|-------⌫---⌫--|-⌫-----|-|--------⌫-⌫|--|-----|--------|-⌫---|----|-⌫---⌫--|-----------⌫-|-|-⌫-----|----⌫----⌫|--⌫------⌫|
149 Huius temp oribus percurrented iual iiussion ec lemen tis simiprincipis,rest it utaestEccles iaRauennatis [k1 Kb] s ubordinationesedisapostolice,utdefunct oarchiepiscop o, quielectusfuit iu xta antiquam c onsuet udi nem inciuitatemRomana mueniator d ina nd us[l1 Kb].	--|----|----⌫-----|----------|-⌫----⌫|-------⌫|-⌫-----⌫---⌫---|---------|----⌫--⌫--|--|------⌫-|---------|-|-⌫--|-⌫-|----------|----|----------|-|-------⌫|------------⌫-|--|------|---|--⌫--|-------|-⌫------⌫---⌫--|-|--------|------⌫|-----|--⌫-⌫---⌫--⌫-|-|-⌫--||
H icfecitconstitutum, q uodarchiuo Ecclesiecontinetur, utqui ordinatus fueritar chiepiscopusnulla consu etudine pro usu p allii,aut diuer sisof fici isEccle siep ersoluerede b ea t,sedet neMauriquondamepiscopia nniuersitasau t agendace lebretur[m 1Kb ].	-⌫-|----|-----------|-⌫--|------|-------|----------|-|--|--------|-----|--⌫-----------|----|-----⌫------|--|--|-⌫-----|--|-----⌫--|--⌫----⌫-|-----⌫--|-⌫--------|--⌫-⌫--⌫-|--|-|-|----|------|-------|-⌫----------|--⌫|-----|--⌫-------|-|---⌫||
15 Huius temp oribusdiedecima sexta mensis Aprilis,indi ctio neun dec im a,lunaeclipsimpertulit.	-|----|----⌫-----|--|-----|----|-----|-------|----⌫----⌫-|--⌫---⌫--⌫-|---|-------|--------|
Post Cenam Domininoctepenetotainsanguin eouu ltuelaborau i t,etnisipost gallicantumcepi tpaul atim de limpi dareetin s uum re uer tirespect um[a1Kb] .	---|----|-----|----|---|---|-|-------⌫-|--⌫--|--------⌫-⌫-|-|---|---|----|-----|----⌫|----⌫---|--⌫-----⌫---|-|-|-⌫--|--⌫---⌫-|-------⌫-|-|---||
Hic fecitordina tion e m unampermensem Iunii[b1Kb] dieu icesima sep tima:presbyterosn ouem, dia cono stres, epis copos pe rd iuer salocanumerouigin titres.	--|----|------⌫----⌫-⌫|---|--|-----|----|-|---|--|-⌫------|---⌫----|----------|-⌫----|---⌫----⌫|----|----⌫----|--⌫|-⌫----⌫-|---|-----|-----⌫-|----|
SAN CT USBENEDICTUSIIANNO CH RISTI684, CONST.	---⌫--⌫-|---------|-|---|--⌫----|---|-----|
[5Kb ][B encinus:4 Kb ] [Binius,Seuerinus;	----⌫|--⌫-------|-⌫--⌫|-------|---------|
151Benedictus,natio neR oma nus,expatreI oanne,sedit mensesdecem[a1Kb] ,di esduodeci m .	--|----------|-----⌫-|-⌫---⌫---|-|----|-⌫-----|----|-----|----|-|---||--⌫-|-------⌫-⌫|
Hicabineunteetat esuaEcc l esiemilitauit,atque sesicin diuin isScripturis et cantilenaapuerili et ate e tinpresbyterii digni tateexhibuit,ut decetuir um suonomine dignum, inqu o uere supernebenedic tionisgratiaredundau it,etnomine parite r eto pe ribus ,ut di gnus ad pontif iciiregimenperueniret.	--|-|------|----⌫|--|---⌫-⌫---|---------|----|-|--|-|-----⌫-|---------|-|--------||------|--⌫--|-⌫|-|----------|-----⌫---|--------|-|----|---⌫-|--|-----|------|-|--⌫|---|------|-------⌫-----|-----|--------⌫--|-|-----|------⌫|-|-⌫--⌫-----⌫|-|--⌫---|-|------⌫---|------|----------|
152Hic eccl esiambeatiPe triapo stoli,sedet beatiLaurentiimartyris, queappellat urLucine,restaurauit.	--|--|----⌫----|----|--⌫--|---⌫-----|--|-|----|--------|--------|--|--------⌫-|------|-----------|
I temquein ecc lesiabeat i ualentiniuiaFlaminia fecitcooper torium superalt are cu m clauiset fast ellis[c 1Kb] , etincircuitu palergium[d1 Kb]chrysoclauu mpretiosissimum.	-⌫-----|-|---⌫----|----⌫|--------|--|-------|----|------⌫-----|----|---⌫--|--⌫|-----|-|----⌫----|-|---||-|-|-------|--------|-|-⌫--|-----------⌫|--------------|
Simil iter etin ecclesiabeateMariead Martyre s aliudcoopertoriumpo rphyreticumcum cruc eetgemmulis quatuorchrysoclauo s,etincir cui tupalergium dehol oserico pulch errimum,n ecnonetin titulosup r ascri ptoLucin ealium coope rto rium ornatum holose ricum.	-----⌫---|-|-|-------|----|----|-|-------⌫|----|-----------|--⌫----------|--|----⌫|-|-------|------|-----------⌫-|-|-|---⌫---⌫-|--------|-|---⌫------|-----⌫-------|-⌫----|-|-|-----|---⌫-⌫-----⌫--|-----⌫|----|-----⌫---⌫---|------|------⌫-----|
153H i csu sc epi td i ualesiu ssio nescle mentissim iConstantinimagnip rincipisaduenerabil emcler um , etpopu lum, atquefelicissimumexercitum Romaneciuitatis, perqua s co ncessit, ut*persona, quielectus f ueri ta d sede map ostolicam,euest igio absq uetarditat epontifexordinetur.	--|-⌫-⌫|--⌫--⌫---⌫|-⌫-⌫----|--⌫----⌫--|---⌫---------⌫|----------|----|-⌫-------|-|---------⌫-|----⌫--⌫|-|----⌫---|----|-----------|--------|-----|---------|--|---⌫|--⌫-------|-||-------|--|------|-⌫----⌫|-⌫|----⌫|--⌫---------||----⌫---|----⌫-|--------⌫|-------|---------|
Hicunac u mcleroet exercitususc epitmallones[e1Kb] capillorum domniIustinianietHerac lei,filiorumcle menti ssimiprinc ipis,simuletiussio nem perquamsignificat eosdem capillosdirexisse.	--|--|-⌫-⌫|----|-|-------|----⌫---|-------|-|---|---------|----|---------|-|-----⌫---|-------|---⌫-----⌫----|-----⌫----|----|-|------⌫--|--|---|---------|-----|-------|---------|
Huius tem poribusappar u it ste llanoctu iuxtaui gilias[f 1Kb] per die mcel oserenoin terNat iu itatem Dominiet Theop ha niamomn imodo obumbrata,uel utilunasubnube.	----|---⌫------|-----⌫-⌫-|---⌫--|----|----|--⌫-----|-|---|--|---⌫|---⌫|-----|--⌫--|---⌫--⌫-----|-----|-|-----⌫--⌫---|---⌫----|---------|---⌫--|---|--|----|
Itemque menseFebruario, postnatalesan ctiualen tin iin die aboccasu exi itstella meridie, eti npartesorientisdeclinauit .	------|----|---------|---|-----|---⌫--|-----⌫---⌫|-|--|-|-----|---⌫-|-----|-------|-|-⌫|-----|-------|----------⌫|
PosthecmonsBebius[ g1Kb],quiest inCampania ,mense M arti oeructa uitper diem,etomnialoca circum quaquepre puluerecineris illius exterminatasunt.	---|--|---|-----|-⌫|---||--|--|-|--------⌫|----|-⌫----⌫|------⌫--|--|----|-|----|---|------⌫-----|--|------|------|-----|----------|----|
IOANN ESu.	-----⌫-|-|
[5Kb] [ Altase rra,Antoni us:33Kb] [ Bencin us:5K b][Bi nius, S euerinus;	----|-⌫------⌫---|------⌫--|----|-⌫------⌫--|--⌫-|---⌫----|-⌫--------|
154 I oannes , nationeS yru s,ex prouinciaAntiochia,expatreCy r iaco ,seditannumunum,diesnouem[ a1Kb] .	--|-⌫------⌫|------|-⌫---⌫-|-|--------|---------|-|----|--⌫-⌫----⌫|----|----|----|---|----|-⌫|---||
uir u al destrenuu s,atquescientiapredi t us,etomnimodomoder atus.	--|-⌫--⌫-|-------⌫-|----|-------|-----⌫-⌫--|-|-------|-----⌫----|
Hicpostmultorump o ntificumtempora ,uelannorum, i uxtaprisca mconsu etud ine magener al itate ineccl esiaSaluatori s,queappella turCo nstantiniana,el ectusest,a tqueexindein episcopio[b 1Kb] introductus.	--|---|-------|-⌫-⌫-------|-------⌫|--|-------|-⌫---|------⌫|-----⌫----⌫---⌫||-----⌫--⌫----|-|----⌫---|---------⌫-|--|-------⌫--|--⌫------------|--⌫----|---|-⌫---|-----|-|--------|-|---|-----------|
Hic,dum essetdiaco nus,missus estasancte memo rieAgathonepa pa inre gi amurbemcum aliis sacerd otibu s,repres entanslocum apos tolicesedi sin sanct asextasynodo, queperD ei p rouidenti amibidem cong r egatauelcelebrataest.	---|--|----|-----⌫---|-----|--||-----|----⌫--|-------|--⌫-|-|--⌫--⌫-|----|--|----|------⌫-----⌫-|------⌫-----|----|----⌫-----|----⌫|-|-----⌫|----|------|--|--|-⌫-|-⌫---------⌫-|-----|----⌫-⌫----|--|--------|---|
1 55 Huiustemporibusregnauitd om nusIustin ianusAu gustus,def uncto pa treinitiomensisSeptembris,indict.	-⌫-|----|---------|-------|-⌫--⌫--|------⌫----|--⌫------|---⌫----|--⌫--|-----|-----|----------|------|
Quiclementis simusprinceps Dominoa uxiliante pacemcon sti tu it cumnec dice ndagenteSa r a cenorumde cennioterramariq ue .	--|---------⌫----|-------|-----|-⌫--------|----|---⌫---⌫--⌫-|--|--|----⌫--|----|--⌫-⌫-⌫------|--⌫-----|----|-----⌫--⌫|
SedetprouinciaAfrica subi ugata estR oma no impe r io atque restaurata .	--|-|--------|-----|----⌫----|--|-⌫---⌫-|----⌫-⌫-|----|----------⌫|
Hic postmultorumannorumc urricula,pr opt ertransgre ssionemord inationisEcclesieTurritan e[a 1Kb],quam sineauctoritateponti ficisfeceratCitonatus ar chie pi sco pus Car alitanus,proeoquo dantiqui tus ordinatio fuitsedisa po stolice,etad temp u sco ncessafuerati p sa [b1Kb ]ordin atioeidemEcclesie.	--|---|-------|------|-⌫--------|--⌫---⌫-|--------⌫------|---⌫--------|-------|--------⌫|-|---||---|---|----------|-----⌫----|------|--------|--⌫----⌫--⌫---⌫--|---⌫--------|--|-|---⌫|-------⌫--|--------|---|----|-⌫--⌫-------|-|-|----⌫-⌫|--⌫-----|-----|-⌫-⌫-|-|---⌫|-----⌫---|----|--------|
Postmo du mprot erui afacientearchie piscoporumperpre c eptapontificumabeadem ordin ationesuspensi sunt,iuxta determina ti onem san cte memorieMartini pape.	------⌫--⌫|----⌫----⌫|-------|------⌫---------|--|---⌫-⌫---|---------|-|----|-----⌫-----|-------|----|----|---------⌫--⌫---|---⌫--|------|------|----|
[7Kb ][Be ncinus:4Kb][ Binius,Se uerinus;	----⌫|---⌫------|---|-⌫------|--⌫-------|
156C onon oriun dus e x patreTracesio[ a1Kb],educatusapu d Siciliam,postmod u mRomamueniens eid emE ccl esiem ilitansa dpresbyteriih on ore mdeuenit.	--|-⌫---|-----⌫--|-⌫|----|-------|-⌫|---||-------|---⌫|--------|-------⌫-⌫|----|------|---⌫-|-⌫---⌫---|-⌫------|-⌫|----------|-⌫--⌫---⌫|-------|
S ed itme nsesu ndec im,die suigintitres.	-⌫--⌫-|--⌫---|-⌫----⌫--|---⌫|------|----|
Incu iuselectio nedumadepiscopatumquere retur, non minimaco nten tiofac ta est,eoquodcle rusin Petru marchipresbyteru mi ntendebat.	-|--⌫--|-------⌫-|--|-|----------|-----⌫-----|--|-----|--⌫----⌫--|---⌫-|---|-|---|---⌫--|-|-----⌫|---------------⌫|-⌫---------|
