Etuocetube	Et uoce tube
Deusultioñd᷒d̃sultioñlib͛eegit	Deus ultioñ d᷒ d̃s ultioñ lib͛e egit
Exaltarequiiudicast̃ramredde	Exaltare qui iudicas t̃ram redde
retributionemsuꝑbisVsqͦ:pcc̃oresdñeusqqͦpcc̃oresgl̃iabunt᷑Affabũt᷑	retributionem suꝑbis Vsqͦ: pcc̃ores dñe usqqͦ pcc̃ores gl̃iabunt᷑ Affabũt᷑ 
loq̃nturiniquitatemloq̃nturom̃squi	loq̃ntur iniquitatem loq̃ntur om̃s qui
oꝑant᷑iniusticiamPopulumtuumdñehumiliaũunt	oꝑant᷑ iniusticiam Populum tuum dñe humiliaũunt 
h͛editatemtuãuexaũuntViduamaduenamint̃fec̃ũtpuppillos	h͛editatem tuã uexaũunt Viduam  aduenam int̃fec̃ũt  puppillos
occider̃tEtdix̃untñuidebitd᷒necintelligetd̃s	occider̃t Et dix̃unt ñ uidebit d᷒ nec intelliget d̃s
iacobIntelligitequiinsipientesinppͦ	iacob Intelligite qui insipientes in ppͦ
stultialiqñsapiteQvi	 stulti aliqñ sapite Qvi
plantauitauremñaudietautqui	plantauit aurem ñ audiet aut qui
finxitocl̃mñꝯsid̃atQvicorripitg̃sñarguet	finxit ocl̃m ñ ꝯsid̃at Qvi corripit g̃s ñ arguet 
quidocethoĩemscĩam	qui docet hoĩem scĩam
Dñsscitcogitationeshoĩmqͦniamuanes̃tBeatush̃oꝙ̃	Dñs scit cogitationes hoĩm qͦniam uane s̃t Beatus h̃o ꝙ̃
tuerudierisdñe	tu erudieris dñe
delege	 de lege
tuadocueriseumEtmitiges	tua docueris eum Et mitiges
eiadiebmalis	ei a dieb malis
donecfodianturpcc̃orifouea	donec fodiantur pcc̃ori fouea
Qviañrepelletdo᷒plebemsuam	Qvia ñ repellet do᷒ plebem suam 
h̃editatemsuamñd̃elinquetQvoadusqiusticia	h̃editatem suam ñ d̃elinquet Qvoadusq iusticia
ꝯũtaturiniudicium	ꝯũtatur in iudicium 
quiiuxtaillamõsquirectosũtcordeQvis	qui iuxta illam õs qui recto sũt corde Qvis
ꝯsurgetmͥadũsusmalignantesautquisstabitmecum	ꝯsurget mͥ adũsus malignantes aut quis stabit mecum
adũsusoꝑantes	adũsus oꝑantes
iniquitatemNisid᷒adiuuitmepaulominush̃itass	iniquitatem Nisi  d᷒ adiuuit me paulo minus h̃itass
ininfernoaĩameaSidicebammot᷒ẽpes	in inferno aĩa mea Si dicebam mot᷒ ẽ pes
meusmĩatuadñeadiuuabat	meus mĩa tua dñe adiuuabat
meScd̃mml̃titudinemdoloꝝ	me Scd̃m ml̃titudinem doloꝝ
meoꝝincordemeoꝯsolationes	meoꝝ in corde meo ꝯsolationes
tueletificaũuntaĩammeamNvnqͥdadherettͥ	tue letificaũunt aĩam meam Nvnqͥd adheret tͥ
sedesiniquitatisqͥfingislaboreminceptoCaptabuntinaĩam	sedes iniquitatis qͥ fingis laborem in cepto Captabunt in aĩam
iustisanguineminnocentemꝯdempnab̃tEtfc̃sẽmͥd᷒	iusti  sanguinem innocentem ꝯdempnab̃t Et fc̃s ẽ mͥ d᷒
inrefugiũd̃sm̃s	in refugiũ  d̃s m̃s
inadiutoriumspeimeeEtreddetill̃iniquitatem	in adiutorium spei mee Et reddet ill̃ iniquitatem
ipsoꝝinmalitiaeoꝝdisꝑdet	ipsoꝝ  in malitia eoꝝ disꝑdet
eosdisꝑdet	eos disꝑdet
illosd᷒d̃snr̃lauscanticiipsi	illos d᷒ d̃s nr̃ laus cantici ipsi
dauidUeniteexultemusdño	dauid Uenite exultemus dño
iubilem᷒deosalutarinr̃o	iubilem᷒ deo salutari nr̃o
Preoccupemusfaciemeiusinꝯfõneinpsalmisiubilemus	Preoccupemus faciem eius in ꝯfõne  in psalmis iubilemus
eiQͫd̃smagnus	ei Qͫ d̃s magnus
d᷒rexmagnussuꝑom̃s	d᷒  rex magnus suꝑ om̃s
deosQvia	deos Qvia
inmanueius	in manu eius
suntom̃sfinest̃realtitudinesmontiumipsius	sunt om̃s fines t̃re  altitudines montium ipsius
s̃tQͫipsiusẽmareipsefecit	s̃t Qͫ ipsius ẽ mare  ipse fecit
illudsiccaman᷒	illud  sicca man᷒
eiusformaũuntVeniteadorem᷒ꝓcidamusañd̃m	eius formaũunt Venite adorem᷒  ꝓcidamus añ d̃m
plorem᷒coramdñoquifecitnos	plorem᷒ coram dño qui fecit nos
ipseẽd᷒d̃snr̃Et	 ipse ẽ d᷒ d̃s nr̃ Et
nosppl̃spascueeiusouesmanus	nos ppl̃s pascue eius  oues manus
eiusHodiesiuocemeiusaudieritisnoliteobdurare	eius Hodie si uocem eius audieritis nolite obdurare
cordaur̃aSic̃inirritationeẜdiemtemptationeimsin	corda ur̃a Sic̃ in irritatione ẜ diem temptationeims in
desertoIbitemp.pr̃esur̃iꝓbaũunt	deserto Ibi temp. pr̃es ur̃i ꝓbaũunt 
uideruntoꝑameaQvadragintaannis	uiderunt oꝑa mea Qvadraginta annis
offensusfuigñationiillidixisꝑhi	offensus fui gñationi illi  dixi sꝑ hi
errantcordeEtistiñcognoũuntuiasmeasquib	errant corde Et isti ñ cognoũunt uias meas quib
iurauiinirameasiintrabuntinrequiem	iuraui in ira mea si intrabunt in requiem
meamqñdom᷒	meam qñ dom᷒
edificabaturp᷒captiuitatemCantatedñocanticumnouum	edificabatur p᷒ captiuitatem Cantate dño canticum nouum
cantatedñoõist̃raCantatedño	cantate dño õis t̃ra Cantate dño 
bñdicitenõieiusannuntiate	bñdicite nõi eius annuntiate
dedieĩdiemsalutareeiusAnnuntiateint̃g̃s	de die ĩ diem salutare eius Annuntiate int̃ g̃s
gl̃iameiusinõibppl̃is	gl̃iam eius in õib ppl̃is
mirabiliaeiusQ̃mmagnusd᷒laudabil̃nimist̃ribil̃	mirabilia eius Q̃m magnus d᷒  laudabil̃ nimis t̃ribil̃
ẽsr̃õsdeos	ẽ sr̃ õs deos
Q̃mõsdiigentiũdemoniad᷒ãcelosfecitConfõ	Q̃m õs dii gentiũ demonia d᷒ ã celos fecit Confõ
pl̃critudoinꝯspectueius	 pl̃critudo in ꝯspectu eius
sc̃imoniamagnificentiainsc̃ificationeeius	sc̃imonia  magnificentia in sc̃ificatione eius
Affertedñopr̃iegentiumaffertedñogl̃iam	Afferte dño pr̃ie gentium afferte dño gl̃iam 
honoremafferte	honorem afferte
dñogl̃iamnõieiusTollite	dño gl̃iam nõi eius Tollite
hostiasintroiteinatriaeiusadoratedñmin	hostias  introite in atria eius adorate dñm in
atriosc̃oeiusCommoueat᷑afacieeiusuniũsaterra	atrio sc̃o eius Commoueat᷑ a facie eius uniũsa terra
diciteĩgentibd᷒	dicite ĩ gentib  d᷒
regnauitEt·H·correxitorbemt̃requiñꝯmouebr̃iudicabit	regnauit Et·H· correxit orbem t̃re qui ñ ꝯmouebr̃ iudicabit
ppl̃osinequitateLetenturceliexultetterraꝯmoueaturmare	ppl̃os in equitate Letentur celi  exultet terra ꝯmoueatur mare
plenitudoeiusgaudebuntcampiõiaqueineis	 plenitudo eius gaudebunt campi  õia que in eis
suntNvncexultab̃tõialignasiluar̃afaciedñi	sunt Nvnc exultab̃t õia ligna siluar̃ a facie dñi 
uenitqm̃	uenit qm̃
uenitiudicaret̃rãIvdicabitorbemt̃reinequitateppl̃os	uenit iudicare t̃rã Ivdicabit orbem t̃re in equitate  ppl̃os
inũitatesua	in ũitate sua
ps̃d̃dqñt̃raei᷒restituta	ps̃ d̃d qñ t̃ra ei᷒ restituta
estDñsregnauitexultett̃ra	est Dñs regnauit exultet t̃ra
letenturinsulemulte	letentur insule multe
Nvbescaligoincircuituei᷒iusticiaiudiciũcorrectio	Nvbes  caligo in circuitu ei᷒ iusticia  iudiciũ correctio
sediseiusIgnisañip̃mcedinflammabit	sedis eius Ignis añ ip̃m ced  inflammabit
incircuitu	in circuitu
inimicoseiusAllux̃untfulg̃aeiusorbit̃reuidit	inimicos eius Allux̃unt fulg̃a eius orbi t̃re uidit
ꝯmotaẽt̃raMontessic̃cera	 ꝯmota ẽ t̃ra Montes sic̃ cera
flux̃untafaciedñiafaciedñiõist̃ra	flux̃unt a facie dñi a facie dñi õis t̃ra
Annuntiaũuntceliiusticiam	Annuntiaũunt celi iusticiam
eiusuideruntõsppͥgl̃iameius	eius  uiderunt õs ppͥ gl̃iam eius
Confundant᷑õsquiadorant	Confundant᷑ õs qui adorant
sculptiliaquigl̃iantur	sculptilia  qui gl̃iantur
insimulacͥssuisAdorateeumõsangelieius	in simulacͥs suis Adorate eum õs angeli eius
audiuitletataẽ	audiuit  letata ẽ
syonEtexultaũuntfilieiude	syon Et exultaũunt filie iude
p̃piudiciatuadñeQ̃mtud᷒altissimussr̃	p̃p iudicia tua dñe Q̃m tu d᷒ altissimus sr̃
õemt̃ramnimisexaltatusessr̃õs	õem t̃ram nimis exaltatus es sr̃ õs
deosQui	deos Qui
diligitisdñmoditemalum	diligitis dñm odite malum
custod̃aĩassc̃oꝝsuoꝝdemanupcc̃oris	custod̃ aĩas sc̃oꝝ suoꝝ de manu pcc̃oris
lib̃abiteosLuxortaẽiustorectis	lib̃abit eos Lux orta ẽ iusto  rectis
cordeleticiaLetaminiiusti	corde leticia Letamini iusti
indñoꝯfiteminimemorie	in dño  ꝯfitemini memorie
sc̃ificationiseiusps̃dauidCantatedñocantic̃nouum	sc̃ificationis eius ps̃ dauid Cantate dño cantic̃ nouum
mirabiliafecitSaluauit	 mirabilia fecit Saluauit
sibidexterãeius	sibi dexterã eius 
brachiumsc̃meiusNotumfecitd᷒salutaresuuminꝯspectu	brachium sc̃m eius Notum fecit d᷒ salutare suum in ꝯspectu
gentiumreuelauit	gentium reuelauit
i᷒ticiamsuamRecordat᷒ẽmĩesueũitatis	i᷒ticiam suam Recordat᷒ ẽ mĩe sue  ũitatis
suedomui	sue domui
isr̃lVider̃tõst̃minit̃resalutare	isr̃l Vider̃t õs t̃mini t̃re salutare
deinr̃i	dei nr̃i
Iubilatedñoõist̃ra	Iubilate dño õis t̃ra
cantateexultate	cantate  exultate 
psallitePsallitedñoincythara	psallite Psallite dño in cythara
incythara	in cythara
etuocepsalmiintubisductilibuocetube	et uoce psalmi in tubis ductilib  uoce tube
corneeIubilateinꝯspecturegis	cornee Iubilate in ꝯspectu regis
dñimoueat᷑mareplenitudoeius	dñi moueat᷑ mare  plenitudo eius
orbist̃rar̃etqui	orbis t̃rar̃ et qui
h̃itantineogl̃a	h̃itant in eo gl̃a
plaudentmanus	plaudent manus
simulmontesexultab̃ta	simul montes exultab̃t a
ꝯspectudñiueñiudicaret̃ramIudicabit	ꝯspectu dñi  ueñ iudicare t̃ram Iudicabit
orbemt̃rar̃	orbem t̃rar̃
iniusticiappl̃osinequitatensps̃d̃d	in iusticia  ppl̃os in equitate ns ps̃d̃d
Dñsregnauitirascant᷑	Dñs regnauit irascant᷑
ppͥquisedessr̃	ppͥ qui sedes sr̃
cherubinmoueat᷑t̃raDñsinsyonmagnusexcelsus	cherubin moueat᷑ t̃ra Dñs in syon magnus  excelsus
sr̃õsppl̃os	sr̃ õs ppl̃os
Confiteanturnõi	Confiteantur nõi
tuomagnoqm̃t̃ribilesc̃m	tuo magno qm̃ t̃ribile  sc̃m
ẽhonorregisiudiciumdiligit	ẽ  honor regis iudicium diligit
Tuꝑastidirectionesiudiciumiusticiam	Tu ꝑasti directiones iudicium  iusticiam
iniacobtufecistiExaltaredñmd̃mnr̃m	in iacob tu fecisti Exaltare dñm d̃m nr̃m 
adoratescabellumped̃ei᷒qm̃sc̃mẽMoyses	adorate scabellum ped̃ ei᷒ qm̃ sc̃m ẽ Moyses
aaronin	 aaron in
sac̃dotibeius	sac̃dotib eius 
samuelint̃eosqͥinuocantnom̃	samuel int̃ eos qͥ inuocant nom̃
eiusInuocabant	eius Inuocabant
dñmipseexaudiebateosincolumpna	dñm  ipse exaudiebat eos in columpna
nub̃loq̃bat᷑	nub̃ loq̃bat᷑
adeosCustodiebanttestimoniaeiusceptum	ad eos Custodiebant testimonia eius  ceptum
ꝙded̃ill̃Dñed̃snr̃tu	ꝙ ded̃ ill̃ Dñe d̃s nr̃ tu
exaudiebaseosd̃stuꝓpitiusfuistieisulciscensinõs	exaudiebas eos d̃s tu ꝓpitius fuisti eis ulciscens in õs
adinuentioneseoꝝ	adinuentiones eoꝝ
Exaltatedñmd̃mnr̃madorate	Exaltate dñm d̃m nr̃m  adorate
inmontesc̃oeiusqm̃sc̃sd᷒d̃snr̃Iubilate	in monte sc̃o eius qm̃ sc̃s d᷒ d̃s nr̃ Iubilate
deoõis	deo õis
t̃raseruitedñoin	t̃ra seruite dño in
leticiaIntroiteinꝯspectueiusin	leticia Introite in ꝯspectu eius in
exultationeScitoteqm̃d᷒ipseẽd̃s	exultatione Scitote qm̃ d᷒ ipse ẽ d̃s
ipsefecitnossiipsinos	ipse fecit nos  si ipsi nos
Populuseiusouespascueei᷒introiteportaseiusin	Populus eius  oues pascue ei᷒ introite portas eius in
ꝯfessioneatͥaeius	ꝯfessione atͥa eius
inhymnis	in hymnis
ꝯfiteminiilliLaudatenom̃eiusqm̃	ꝯfitemini illi Laudate nom̃ eius qm̃
suauisẽd᷒inet̃nummĩaeiususq	suauis ẽ d᷒ in et̃num mĩa eius  usq
ingñationegñationemũitasei᷒	in gñatione  gñationem ũitas ei᷒
ps̃ipsid̃dmiscd̃iam	ps̃ ipsi d̃d miscd̃iam
iudiciumcantabo	iudicium cantabo
tͥdñePsallamintelligaminuia	tͥ dñe Psallam  intelligam in uia
immaculataqñueniesadmeerambulabamin	immaculata qñ uenies ad me erambulabam in
innocentiacordismeiinmediodomusmeeNon	innocentia cordis mei in medio domus mee Non
ꝓponebamañoculosmeos	ꝓponebam añ oculos meos
reminiustamfacientesuaricationesodiuiNonadhesitmͥcor	rem iniustam facientes uaricationes odiui Non adhesit mͥ cor
prauumdeclinantema	prauum declinantem a
meñcognoscebam	me ñ cognoscebam
Detrahentemsecretoꝓximosuoh̃c	Detrahentem secreto ꝓximo suo h̃c
ꝑsequebarSuꝑbooculo	ꝑsequebar Suꝑbo oculo
insaciabilicordecumhocñ	 insaciabili corde cum hoc ñ
edebamOculimei	edebam Oculi mei
adfidelest̃reutsedeantmec̃ambulansin	ad fideles t̃re ut sedeant mec̃ ambulans in
uiaimmaculatahicmͥministrabatNonhĩtabitin	uia immaculata hic mͥ ministrabat Non hĩtabit in
mediodom᷒	medio dom᷒
meequifacitsuꝑbiãqui	mee qui facit suꝑbiã qui
loq̃riniqͣñdirexitin	loq̃r iniqͣ ñ direxit in
ꝯspectuocl̃oꝝmeoꝝInmatutinoint̃ficiebamõspeccatorest̃reut	ꝯspectu ocl̃oꝝ meoꝝ In matutino int̃ficiebam õs peccatores t̃re ut
disꝑd̃emde	disꝑd̃em de
ciuitatedñiõsoꝑantesiniquitatemor̃opauꝑiscumarguetur⁊	ciuitate dñi õs oꝑantes iniquitatem or̃o pauꝑis cum arguetur ⁊
coramdñoeffuditprecesDñeexaudi	coram dño effudit preces Dñe exaudi
or̃onẽmeamclamorm̃sad	or̃onẽ meam  clamor m̃s ad
teueniat	te ueniat
Nonaũtasfaciẽ	Non aũtas faciẽ
tuamameinquac̃qdietribulorinclinaad	tuam a me in quac̃q die tribulor inclina ad
meauremtuamInquac̃qdieinuocaũoteuelocit̃	me aurem tuam In quac̃q die inuocaũo te uelocit̃
exaudimeQuiadefe.sic̃fum᷒	exaudi me Quia defe. sic̃ fum᷒
diesmeiossameasic̃cre.arũunt	dies mei  ossa mea sic̃ cre. arũunt
Percussussumutfeñaruitcor	Percussus sum ut feñ  aruit cor
meumoblit᷒sumcomed̃epanẽmeũ	meum  oblit᷒ sum comed̃e panẽ meũ
Auocegemitusmeiadhesit	A uoce gemitus mei adhesit
osmeumcarnimeeSilĩs	os meum carni mee Silĩs
fc̃ssumpellicanosolitudinisfc̃ssum	fc̃s sum pellicano solitudinis fc̃s sum
sic̃niticorax	sic̃ niticorax
indomicilioVigilauifc̃ssum	in domicilio Vigilaui  fc̃s sum
sic̃passersolitariusintectoTotadie	sic̃ passer solitarius in tecto Tota die
exꝓbra.mͥini.meiquilau.me	exꝓbra. mͥ ini. mei  qui lau. me
adũsusmeiurabantQuiaciñemtanꝙͣ	adũsus me iurabant Quia ciñem tanꝙͣ
panemman.potũmeum	panem man.  potũ meum
c̃fletumiscebamAfacie	c̃ fletu miscebam A facie
ireĩdigna.tueeleuansallisistimeDiesmeisic̃	ire ĩdigna. tue  eleuans allisisti me Dies mei sic̃
umbradecli.egosic̃feñ	umbra decli.  ego sic̃ feñ
aruiTuãdñeinet̃numꝑmanesmemorialetuum	arui Tu ã dñe in et̃num ꝑmanes  memoriale tuum
inge.ge.Tuex᷑gensdñe	in ge.  ge. Tu ex᷑gens dñe
mi.syontp̃s	mi. syon  tp̃s
mise.eius	mise. eius 
uenittp̃sq̃mplacũuntseruitui	uenit tp̃s q̃m placũunt serui tui
la.eiust̃reeiusmiserebunt᷑Ettimeb̃tg̃snom̃	la. eius  t̃re eius miserebunt᷑ Et timeb̃t g̃s nom̃
tuumdñeõs	tuum dñe  õs
regest̃regl̃iamtuamQuiaedificauitd᷒	reges t̃re gl̃iam tuam Quia edificauit d᷒
syonuidebr̃ingl̃iasua	syon  uidebr̃ in gl̃ia sua
Respexitinor̃onemhumilium	Respexit in or̃onem humilium 
ñsuitcemeoꝝScribant᷑h̃inge.	ñ suit cem eoꝝ Scribant᷑ h̃ in ge.
alt̃appl̃squicre.	alt̃a  ppl̃s qui cre.
lau.dñm	lau. dñm
Quiaꝓspexit	Quia ꝓspexit
deexcelsosc̃osuod᷒deceloin	de excelso sc̃o suo d᷒ de celo in
t̃rãaspex̃	t̃rã aspex̃
Vtaudiretge.cõ.utsol.filiosinterẽptoꝝ	Vt audiret ge. cõ. ut sol. filios interẽptoꝝ
Etannuntientinsyonnom̃	Et annuntient in syon nom̃
dñilaudemei᷒in	dñi  laudem ei᷒ in
ierl̃mInꝯueniendoppl̃osinunũregesut	ierl̃m In ꝯueniendo ppl̃os in unũ  reges ut
ser.dñoResponditeiinuiauirtutissue	ser. dño Respondit ei in uia uirtutis sue
pau.dier̃meoꝝnuntiamͥNereuoces	pau. dier̃ meoꝝ nuntia mͥ Ne reuoces
meindi.dier̃meoꝝ	me in di. dier̃ meoꝝ
inge.etge.annituiInitiotudñet̃rã	in ge. et ge. anni tui Initio tu dñe t̃rã
fun.oꝑamanuumtuar̃s̃tceliIpsiꝑib̃t	fun.  oꝑa manuum tuar̃ s̃t celi Ipsi ꝑib̃t
tuãꝑmanesõssic̃uestim̃t̃ueterascentEt	tu ã ꝑmanes  õs sic̃ uestim̃t̃ ueterascent Et
sic̃oꝑtoriummutab̃eosmu.tuãid̃ipse	sic̃ oꝑtorium mutab̃ eos  mu. tu ã id̃ ipse
esannituiñdeficient	es  anni tui ñ deficient
Filiiseruoꝝtuoꝝh̃itab̃tsem̃	Filii seruoꝝ tuoꝝ h̃itab̃t  sem̃
eoꝝinscl̃mdirigeturps̃ipsid̃d	eoꝝ in scl̃m dirigetur ps̃ ipsi d̃d
Benedicaĩameadñoõia	Benedic aĩa mea dño  õia
q̃intͣmes̃tnõisc̃oeiusb̃ndic	q̃ intͣ me s̃t nõi sc̃o eius b̃ndic
aĩamea	aĩa mea
dominonoli	domino  noli
obliuisciõsretributioneseiusQuiꝓpitiat᷑õibiniquitatib	obliuisci õs retributiones eius Qui ꝓpitiat᷑ õib iniquitatib
tuisquisanatõsinfirmitatestuasQuiredimitdeint̃itu	tuis qui sanat õs infirmitates tuas Qui redimit de int̃itu
uitamtuamquicoronattein	uitam tuam qui coronat te in
mĩaetmiserõnib	mĩa et miserõnib
Quirepletin	Qui replet in
bonisdesid̃iumtuumrenouabiturutaquileiuuent᷒tua	bonis desid̃ium tuum renouabitur ut aquile iuuent᷒ tua
Faciensmĩasd᷒iudicium	Faciens mĩas d᷒  iudicium
õibiniuriampatientibVotasfecituiassuas	õib iniuriam patientib Votas fecit uias suas
moysifiliisisr̃luoluntatessuasMiseratormisericorsd᷒	moysi filiis isr̃l uoluntates suas Miserator  misericors d᷒
longanim᷒mult̃misericorsNonĩꝑpetuum	longanim᷒  mult̃ misericors Non ĩ ꝑpetuum
irascet᷑nin	irascet᷑ n in
et̃numꝯminabit᷑Nonẜpcc̃anr̃a	et̃num ꝯminabit᷑ Non ẜ pcc̃a nr̃a
fecitnob̃nẜiniquitatesnr̃asretribuitnob̃Q̃mẜ	fecit nob̃ n ẜ iniquitates nr̃as retribuit nob̃ Q̃m ẜ
altitudinemcelia	altitudinem celi a
t̃racorroborauitmĩamsuãsr̃	t̃ra corroborauit mĩam suã sr̃
tim̃tesseQuant̃distatort᷒	tim̃tes se Quant̃ distat ort᷒
aboccidẽtelongefecitanob̃iniquitates	ab occidẽte longe fecit a nob̃ iniquitates
nr̃asqm̃omiseret᷑p̃rfilioꝝ	nr̃as qm̃o miseret᷑ p̃r filioꝝ
misertusẽd᷒timentib	misertus ẽ d᷒ timentib
seqm̃ipse	se qm̃ ipse
cognouitfigm̃tũnr̃m	cognouit figm̃tũ nr̃m
Recordat᷒ẽqm̃puluissum᷒h̃osic̃	Recordat᷒ ẽ qm̃ puluis sum᷒ h̃o sic̃
feñdieseiustanqͣmflosagri	feñ dies eius tanqͣm flos agri
sicefflorebitq̃msp̃sꝑtͣnsibitinillo	sic efflorebit q̃m sp̃s ꝑtͣnsibit in illo
ñsubsistetñ	 ñ subsistet  ñ
cognoscamplius	cognosc amplius
locumsuummĩaãdñiabet̃no	locum suum mĩa ã dñi ab et̃no
usqinet̃numsuꝑtim̃tes	 usq in et̃num suꝑ tim̃tes
eumEtmemoressuntmandatoꝝipsiusadfaciend̃eadñs	eum Et memores sunt mandatoꝝ ipsius ad faciend̃ ea dñs
inceloparauit	in celo parauit
sedemsuamregnumipsiusõib	sedem suam  regnum ipsius õib
dñabr̃b̃ndicitedñoõsangelieius	dñabr̃ b̃ndicite dño õs angeli eius
potẽtesuirtutefacientesũbumilliusadaudiendam	potẽtes uirtute facientes ũbum illius ad audiendam
uocemsermoñeiusb̃ndicitedñoõsuirtuteseius	uocem sermoñ eius b̃ndicite dño õs uirtutes eius
ministrieiusqui	ministri eius qui
facitisuoluntatemeiusb̃ndicitedñoõiaoꝑaei᷒	facitis uoluntatem eius b̃ndicite dño õia oꝑa ei᷒
inõiloco	in õi loco
dñationeseiusbñdicaĩameadominops̃d̃db̃ndicaĩameadño	dñationes eiusbñdic aĩa mea domino ps̃d̃d b̃ndic aĩa mea dño
dñed̃sm̃s	dñe d̃s m̃s
magnificatusesuehem̃t̃confõnemdecorem	magnificatus es uehem̃t̃ confõnem  decorem
induistiamictusluĩesic̃uestim̃tumExtendenscelum	induisti amictus luĩe sic̃ uestim̃tum Extendens celum
sic̃pellẽqui	sic̃ pellẽ qui
tegisaquissr̃ioraeiusQuiponis	tegis aquis sr̃iora eius Qui ponis
nubemascensumtuumquiambulassr̃pennasuentoꝝQui	nubem ascensum tuum qui ambulas sr̃ pennas uentoꝝ Qui
facitangelostuossp̃sministros	facit angelos tuos sp̃s  ministros
tuosignemurentemQuifundastit̃ramsr̃	tuos ignem urentem Qui fundasti t̃ram sr̃
stabilitatemsuamñinclinabr̃inscl̃mscl̃iAbyssussic̃uestim̃t̃	stabilitatem suam ñ inclinabr̃ in scl̃m scl̃i Abyssus sic̃ uestim̃t̃
amictuseiussr̃	amictus eius sr̃
montesstab̃taq̃Ab	montes stab̃t aq̃ Ab
increpationetuafugientauocetonitruituiformidab̃t	increpatione tua fugient a uoce tonitrui tui formidab̃t
Ascend̃tmontes	Ascend̃t montes 
descend̃tcampiinloc̃ꝙ̃	descend̃t campi in loc̃ ꝙ̃
fundastieisTerminũposuisti	fundasti eis Terminũ posuisti
ꝙ̃ñtͣnsg̃dient᷑nꝯũtenturoꝑire	ꝙ̃ ñ tͣnsg̃dient᷑ n ꝯũtentur oꝑire
t̃ramQuiemittisfontesinꝯuallib	t̃ram Qui emittis fontes in ꝯuallib
int̃mediummontiumꝑtͣnsib̃taq̃Potab̃tõs	int̃ medium montium ꝑtͣnsib̃t aq̃ Potab̃t õs
bestieagri	bestie agri
expectab̃tonagri	expectab̃t onagri
insitisua	in siti sua
Suꝑeauolucrescelih̃itab̃t	Suꝑ ea uolucres celi h̃itab̃t
inmediopetraꝝdab̃tuoces	in medio petraꝝ dab̃t uoces
Ligansmõtesdesuꝑioribsuis	Ligans mõtes de suꝑiorib suis
defructuoꝑumtuoꝝsatiabr̃t̃ra	de fructu oꝑum tuoꝝ satiabr̃ t̃ra
Producensfeñiumentis	Producens feñ iumentis
h̃bamseruitutihoĩmEteducaspanẽde	 h̃bam seruituti hoĩm Et educas panẽ de
t̃rauinumletificetcor	t̃ra  uinum letificet cor
hõisEtexhylaretfacieminoleopanis	hõis Et exhylaret faciem in oleo  panis
corhõisꝯfirmetSaturabunt᷑lignacampi	cor hõis ꝯfirmet Saturabunt᷑ ligna campi
cedrilibani	 cedri libani
quasplantauitillic	quas plantauit illic
passeresnidificab̃tHerodii	passeres nidificab̃t Herodii
domusduxẽeoꝝmontesexcelsiceruispetrarefugiumerinacis	domus dux ẽ eoꝝ montes excelsi ceruis petra refugium erinacis
Fecitlunamintp̃esolcogno	Fecit lunam in tp̃e sol cogno
Eti᷒ticiailli᷒infiliosfilioꝝhiisqͥseruant	Et i᷒ticia illi᷒ in filios filioꝝ hiis qͥ seruant
testam̃ei᷒uit	testam̃ ei᷒ uit
occasumsuumPosuistitenebrasfc̃aẽnox	occasum suum Posuisti tenebras  fc̃a ẽ nox
inipsaꝑtͣnsib̃t	in ipsa ꝑtͣnsib̃t
õsbestie	õs bestie
silueCatulileoñrugientes	silue Catuli leoñ rugientes
utrapiantq̃rantadeo	ut rapiant  q̃rant a deo
escamsͥOrt᷒ẽsol	escam sͥ Ort᷒ ẽ sol
congͤgatisuntincubilibsuisconlocabunt᷑Exibith̃o	 congͤgati sunt  in cubilib suis conlocabunt᷑ Exibit h̃o
