fecitconstantin᷒	fecit constantin᷒
ĩscociadebonaꝓsapiaexpatredubtocho	ĩ scocia de bona ꝓsapia ex patre dubtocho
matrebrocaꝓgehec	 matre broca ꝓgehec
asuapuericiabonaꝝ	a sua puericia bonaꝝ
rerumstudiisinoleuitpudicicieac	rerum studiis inoleuit pudicicie ac
sobrietatiintentasemꝑdebonisadmeliora	sobrietati intenta semꝑ de bonis ad meliora
crescebatetabipapuellarietate	crescebat et ab ipa puellari etate
uirtutũsignis	uirtutũ signis
extititadmirandaCũ	extitit admiranda Cũ
enĩamatresuatrãsmissa	enĩ a matre sua trãsmissa
eẽtutdeuaccaꝝlacte	eẽt ut de uaccaꝝ lacte
butirumcõgregaretetadpondusredderetsicutalie	butirum cõgregaret et ad pondus redderet sicut alie
puelleĩillisregionibfac̃esolebãt	puelle ĩ illis regionib fac̃e solebãt
heciamtũcuirgohospitalismagisuolẽsobediredeo	hec iam tũc uirgo hospitalis magis uolẽs obedire deo
ꝙͣhõibpauꝑibhospitib᷒tamlacꝙͣbutirum	ꝙͣ hõib pauꝑib  hospitib᷒ tam lac ꝙͣ butirum
largit᷑distribuerecepitEtcumtp̃saduenissetut	largit᷑ distribuere cepit Et cum tp̃s aduenisset ut
om̃sredderentfructumuaccaꝝ	om̃s redderent fructum uaccaꝝ
cooꝑatriceseiusmonstraueruntoꝑasuacõpletaUentumestadbrigidam	cooꝑatrices eius monstrauerunt oꝑa sua cõpleta Uentum est ad brigidam
utredderetopussuũQuenonhabensquid	ut redderet opus suũ Que non habens quid
redderettotũpauꝑib᷒erogauerattimorematrispauidatotamse	redderet  totũ pauꝑib᷒ erogauerat timore matris pauida totam se
cõINnominedominiamen	cõ IN nomine domini amen
Pateatuniuersis	Pateat uniuersis
sensinstrumẽtumpublicuminspecturisq̃dannodñimillesimo	sens instrumẽtum publicum inspecturis q̃d anno dñi millesimo
trecentesimotͥcesimoseptimodieuicesimasextamensis	trecentesimo tͥcesimo septimo die uicesima sexta mensis
IuniiindictõnequintaPontificat᷒sanctissimiinxp̃o	Iunii indictõne quinta Pontificat᷒ sanctissimi in xp̃o
pr̃isacdñinr̃idñibñdicti	pr̃is ac dñi nr̃i dñi bñdicti
sacͦsancteRomaneacuniuersaliseccesũmipontificisxiianno	sacͦsancte Romane ac uniuersalis ecce sũmi pontificis xii anno
t̃cioapd̃monasteriumsancti	t̃cio apd̃ monasterium sancti
petͥdecult᷑acenom̃ordinissanctibñdicticapitulo	petͥ de cult᷑a cenom̃ ordinis sancti bñdicti capitulo
ꝓuincialiAllatummonast̃ioꝝmonachoꝝnigroꝝꝓuincie	ꝓuinciali Allatum monast̃ioꝝ monachoꝝ nigroꝝ ꝓuincie
rothomageñetturoneñauct̃eapl̃icacongregatofuitinmei	rothomageñ et turoneñ auct̃e apl̃ica congregato fuit in mei
infrascriptipublicinotariiettestiumsubscriptoꝝsenciaexꝑte	infrascripti publici notarii et testium subscriptoꝝ sencia ex ꝑte
ueñabiliumpatrumdñoꝝd̃igr̃amaiorismoͣst̃iituroñetsancti	ueñabilium patrum dñoꝝ d̃i gr̃a maioris moͣst̃ii turoñ et sancti
florenciidesalmuroaudegaueñdioc̃	florencii de salmuro audegaueñ dioc̃
adidꝑsedemapl̃icamspecialr̃deputatoꝝabAgnelli	ad id ꝑ sedem apl̃icam specialr̃ deputatoꝝ ab Agnelli
debentimmolariquiaagnusfuturus	debent immolari quia agnus futurus
ẽcrucifigiquitollitpcc̃amundiSoues	ẽ crucifigi qui tollit pcc̃a mundi S oues
ululãtmr̃esquiaagnosꝑduntsñ	ululãt mr̃es quia agnos ꝑdunt sñ
uocebalantesGrandemartiriũcrudelespectaculũlc̃vͣEximiturmachera	uoce balantes Grande martiriũ crudele spectaculũ lc̃ vͣ Eximitur machera
nullaint̃uenͭ	 nulla int̃uenͭ
c̃aSolastridetinuidiacũquinatusẽnullifaciat	c̃a Sola stridet inuidia cũ qui natus ẽ nulli faciat
uiolenciãSouescernimusmr̃es	uiolenciã S oues cernimus mr̃es
quesuꝑantagnos	que suꝑant agnos
lugentesUoxinramaauditaẽploratus	lugentes Uox in rama audita ẽ ploratus 
ululatusmagnus	ululatus magnus
pignorasuntnõcreditasedcreatanõdepositasedexposita	pignora sunt nõ credita sed creata nõ deposita sed exposita
testisẽipan᷑aquepugnabat	testis ẽ ipa n᷑a que pugnabat
inmr̃escũtyrãn᷒iactaretĩfãteslc̃vͣ	in mr̃es cũ tyrãn᷒ iactaret ĩfãtes lc̃ vͣ
MatercrinescapitisdissipabatqueornamentũcapitisamͭtebatQuantismodis	Mater crines capitis dissipabat que ornamentũ capitis amͭtebat Quantis modis
infantẽuolebatabscondere	infantẽ uolebat abscondere 
ipeseinfantuluspublicabatNesciebat	ipe se infantulus publicabat Nesciebat
tac̃e,quiaciamineternuAmen	tac̃e , quia ciam in eternu Amen
AmenExplicitor̃osc̃i	Amen Explicit or̃o sc̃i
ambrosiiquedicit᷑antemissamOrateprohenricopauꝑe	ambrosii que dicit᷑ ante missam Orate pro henrico pauꝑe
clericoquicõpleuit	clerico qui cõpleuit
hũclibrumAnnodñiMͦcccͦ	hũc librum Anno dñi Mͦ cccͦ
xlͦviiiͦIncrastinofesti	xlͦ viiiͦ In crastino fe sti
bt̃imartinihyemalisProdñoludowico	bt̃i martini hyemalis Pro dño ludowico
decanometñeccl̃ierigritaꝝ	decano metñ eccl̃ie rigritaꝝ
GetuloꝝqpassimuagantiumNelittoraꝗinfecundas̃t	Getuloꝝq passim uagantium Ne littora ꝗ infecunda s̃t
p᷑pura&	p᷑pura &
muriceefficass̃isadtingendum&ubiqq̃ĩtinxereclarissima	murice efficass̃is ad tingendum & ubiq q̃ ĩtinxere clarissima
Reliqͣestoramauritanięext̃ior&	Reliqͣ est ora mauritanię ext̃ior &
ĩfinẽsuifastigãtisseafricęnouissimusangulusiisdem	ĩ finẽ sui fastigãtis se africę nouissimus angulus iisdem
opibussminusdiuesCęt̃um	opibus s minus diues Cęt̃um
soloditiõ&ad̃oestfertilisutfrugũgñanõ	solo ditiõ & ad̃o est fertilis ut frugũ gña nõ
cũserant᷑modobenignissimeꝓcreet	cũ serant᷑ modo benignissime ꝓcreet
sq̃damꝓfũdat&̃notahicAntheus	s q̃dam ꝓfũdat &̃ nota hic Antheus
regnassedicit᷑Etsignũq̃dfabulęprorsusõnditurclaꝝ	regnasse dicit᷑ Et signũ q̃d fabulę prorsus õnditur claꝝ
collismodicusresupinihõis	collis modicus resupini hõis
imagĩeiacẽtisilliusutĩcolęferũttumulusUndeuͥaliqͣ	imagĩe iacẽtis illius ut ĩcolę ferũt tumulus Unde uͥ aliqͣ
ꝑserupta	ꝑs erupta
estsolentimbressꝑgi&doneceffossarepleant᷑	est solent imbres sꝑgi & donec effossa repleant᷑
euẽiunthoĩumꝑssiluas	euẽiunt hoĩum ꝑs siluas
freq̃ntãtminusꝙͣquosm̃odiximusuagi	freq̃ntãt minus ꝙͣ quos m̃o diximus uagi
ꝑsĩurbibusagũtqͣꝝutĩt̃ꝑuasopulẽtissimęh̃nt᷑	ꝑs ĩ urbibus agũt qͣꝝ ut ĩt̃ ꝑuas opulẽtissimę h̃nt᷑
proculamariGilodanoDulbritaniaꝓpiusautemsola&	procul a mari Gilodano Dulbritania ꝓpius autem sola &
lixiofluminilimoꝓximaUltraestcolonia&	lixio flumini limo ꝓxima Ultra est colonia &
fluuiusGnaEtundeinitiumfecimus	fluuius Gna Et unde initium fecimus
Ampelusiaĩnostrũiamfretum	Ampelusia ĩ nostrũ iam fretum
uergensꝓmontoriũoꝑishuius	uergens ꝓmontoriũ oꝑis huius
atatlanticilittoristerminus	at atlantici littoris terminus
ΤέλοςXXIIIIAprilis1450AntheusAntheitulusGNAfl	Τέλος XXIIII Aprilis 1450 Antheus Anthei tu lus GNA fl
Ampelusiarenturinanesaliquefuissequefurtieẽntexcicatesic	Ampelusia rentur inanes alique fuisse que furti eẽnt excicate sic
tuet̃sicq̃dscribes	tu et̃ sic q̃d scribes
scribitotm̃	scribito tm̃
nefurtũcessationisquesimilevideasUaldeeĩmi	ne furtũ cessationis que simile videas Ualde eĩ mi
semꝑetueraetdulcia	semꝑ et uera et dulcia
tuisepl̃is	tuis epl̃is
nũcianturAmanosetualeQuintusCiceroTironisuo	nũciantur Ama nos et uale Quintus Cicero Tironi suo
sal̃p.dicit	sal̃ p. dicit
MIrificauimi	MIrificaui mi
uerberationemcessatiõisepl̃adedistiNamquefraterꝑtiusꝑscripserat	uerberationem cessatiõis epl̃a dedisti Nam que frater ꝑtius ꝑscripserat
uerecondiauet	uerecondia u et
proꝑationeeãtusineassensioneuterantde	proꝑatione eã tu sine assensione ut erant de
mescripsisti	me scripsisti
etmaximecoss.designatisquosegopẽitusnoui	et maxime coss. designatis quos ego pẽitus noui
libidinũetlangoriseteffeminatissimi	libidinũ et langoris et effeminatissimi
ãiplenosquiubiagubernaculisrecesẜintmaxĩuabuniuerso	ãi plenos qui ubi a gubernaculis recesẜint maxĩu ab uniuerso
naufragioꝑiculũestIncredibileestqueegoillosscioappoĩtis	naufragio ꝑiculũ est Incredibile est que ego illos scio appoĩtis
gallorucastrisĩestiuisfecissequosille	galloru castris ĩ estiuis fecisse quos ille
latroubialiquidfirmiusfuitsocietateuitiorũdelinietRes	latro ubi aliquid firmius fuit societate uitiorũ deliniet Res
estauttribunicisconsiliisminuendaNam	est aut tribunicis consiliis minuenda Nam
istiduouixsuntdigniquibusalteriCossutiͣnarumtabernarum	isti duo uix sunt digni quibus alteri Cossutiͣnarum tabernarum
fundamentacredasTeutdixifere	fundamenta credas Te ut dixi fere
celerisEgouosadIIIIkl̃uidebotuosqoculoset	celeris Ego uos ad IIII kl̃ uidebo tuosq oculos et
siteuenies	si te uenies
ĩmedioforo	ĩ medio foro
uideodissamabor.MeamaUale	uideo dissamabor . Me ama Uale
LXVDeoGratiasAmen1450ciscentisdomini	LXV Deo Gratias Amen 1450 ciscentis domini
iniutãneceminterfectus&huicmaiorutroqhanibalimperatorAmilcaris	iniutã necem interfectus & huic maior utroq hanibal imperator Amilcaris
filiussucceditsiquidẽresgestasutriusqsuꝑgressusuniuersamhyspaniãdomuit	filius succedit siquidẽ res gestas utriusq suꝑgressus uniuersam hyspaniã domuit
Inderomanisillatobelloytaliam	Inde romanis illato bello ytaliam
ꝑannossexdecimuariiscladibusfatigauit	ꝑ annos sexdecim uariis cladibus fatigauit
CumintereaRomanimissisinhyspaniaScipionibusprimopoenosprouincia	Cum interea Romani missis in hyspania Scipionibus primo poenos prouincia
expuleruntposteacũipsishyspanis	expulerunt postea cũ ipsis hyspanis
grauiabellagesserunt	grauia bella gesserunt
Necpriusꝑdomiteprouincieiugumq	Nec prius ꝑdomite prouincie iugumq
hyspaniaccipere	hyspani accipere
potueruntꝙͣCesarAugustusperdomito	potuerunt ꝙͣ Cesar Augustus perdomito
orbeuictriciaad	orbe uictricia ad
eosarmatranstulitpopulumqferumacbarbarumlegibusadcultiorem	eos arma transtulit populumq ferum ac barbarum legibus ad cultiorem
uiteusumtraductum	uite usum traductum
informãprouincieredegitDEO	in formã prouincie redegit DEO
GRATIASHISPANIIUSTINIXXXXIIIIorUOLUMINUMTROGIPOMPEI	GRATIAS HISPANI IUSTINI XXXXIIIIor UOLUMINUM TROGI POMPEI
ABREVIATORISLIBEREXPLICITScriptumpermedominicũMacth̃ide	ABREVIATORIS LIBER EXPLICIT Scriptum per me dominicũ Macth̃i de
ReatemanuꝓͥaREATEMCCCCLIII	Reate manu ꝓͥa REATE MCCCCLIII
IIIIkl̃Maii	IIII kl̃ Maii
RISSIMUMIMPERATOREM	RISSIMUM IMPERATOREM
ACILLUSTRISSIMUMPRINCIPEMCOMITEMFRANCISCUMSFORTIAMVICECOMITEMFrancisciAleardiueronẽsis	AC ILLUSTRISSIMUM PRINCIPEM COMITEM FRANCISCUM SFORTIAM VICECOMITEM Francisci Aleardi ueronẽsis
laudatioNONdubito	laudatio NON dubito
foreꝑmultosPrincepsillustrissimequirerumtuarũ	fore ꝑ multos Princeps illustrissime qui rerum tuarũ
magnitudinemadmiratipręstanti	magnitudinem admirati pręstanti
ingeniouiri	ingenio uiri
litteriset	litteris et
monumentissuiseasmandareetillustrareconabunturpartimutgratiam	monumentis suis eas mandare et illustrare conabuntur partim ut gratiam
tuãquamuelsũmisopibusuelamplissĩsdiuitiis	tuã quam uel sũmis opibus uel amplissĩs diuitiis
meritoanteponantfaciliuscõsequantur	merito anteponant facilius cõsequantur
Partimutintuisrebusmendandisuelingenia	Partim ut in tuis rebusmendandis uel ingenia
suaexerceantuelintecollaudandomateriamnacticopiosissimam	sua exerceant uel in te collaudando materiam nacti copiosissimam
nomensuumquoq.ĩmortalitatitransmittantDeniq.nõincideret&uox	nomen suum quoq. ĩmortalitati transmittant Deniq. nõ incideret & uox
indeerupit&sanguissicutdocetOuidi᷒driadesuõ	inde erupit & sanguis sicut docet Ouidi᷒ driades uõ
s̃tquęĩterarboreshabitanthocaut̃adsuꝑioraꝑtinet	s̃t quę ĩter arbores habitant hoc aut̃ ad suꝑiora ꝑtinet
quędixeratmixtislustrabomenalanimphisNeccarmina	quę dixerat mixtis lustrabo menala nimphis Nec carmina
uobisipaplacẽt	uobis ipa placẽt 
dixeratcarminapastorissiculimodulaborauenaIpsę	dixerat carmina pastoris siculi modulabor auena Ipsę
rursuscõceditesiluęꝑꝑ	rursus cõcedite siluę ꝑꝑ
illudIammihiꝑrupesvideorlucosqsonãtesNec	illud Iam mihi ꝑ rupes videor lucosq sonãtes Nec
sifrigorib.mediuebrũqbibamusmanifestehoc	si frigorib. mediu ebrũq bibamus manifeste hoc
dicitamor̃secarer̃nõposse	dicit amor̃ se carer̃ nõ posse
Necsiebrum	Nec si ebrum
Tracięfluuiũmediisfrigorib.bibatnecestib.	Tracię fluuiũ mediis frigorib. bibat nec estib.
nimiisfiuntĩardẽtiꝓuinciadicit	nimiis fiunt ĩ ardẽti ꝓuincia dicit
aut̃hocẜmphisicos	aut̃ hoc ẜm phisicos
quimorbosautaꝯtrariisautasimilib.asserũt	qui morbos aut a ꝯtrariis aut a similib. asserũt
possedepelli	posse depelli
SitionasqniuesSitonmonsẽtracięlibercorticis	Sitionasq niues Siton mons ẽ tracię liber corticis
parsĩteriorUersemurpascamushecsat	pars ĩterior Uersemur pascamus hec sat
eritIamadmusasloquitur	erit Iam ad musas loquitur
gracilifiscellãtexit	gracili fiscellã texit
ibiscoacsidiceretnisi	ibisco ac si diceret nisi
hacreoccupat᷒minimecanerẽallegoricosaut̃significat	hac reoccupat᷒ minime canerẽ allegoricos aut̃ significat
secõposuissehunc	se cõposuisse hunc
libellũtenuissimostiloquãtum	libellũ tenuissimo stilo quãtum
uerenououiridissesubicitalnusAmoinquitGallũsed	uere nouo uiridis se subicit alnus Amo inquit Gallũ sed
latentersicutarborescrescũt	latenter sicut arbores crescũt
namoꝑatioistahocsignificatꝑꝑcęsarẽEt	nam oꝑatio ista hoc significat ꝑꝑ cęsarẽ Et
frugib.umbrę	frugib. umbrę
quãtomagishõib.uñ&̃ĩgeorgicis&auris	quãto magis hõib. uñ &̃ ĩ georgicis & auris
optatifp	optati f p
uItedomũSaturęuenithesꝑusitecapellęuerecũdese	u Ite domũ Saturę uenit hesꝑus ite capellę uerecũde se
capellaꝝdicitpastorẽ.i.uilissimoꝝanimaliuNambuccolica	capellaꝝ dicit pastorẽ .i. uilissimoꝝ animaliu Nam buccolica
scribẽsdebuitsedicer̃boum	scribẽs debuit se dicer̃ boum
eẽpastorẽsuitãsãogãtiamultimũse	eẽ pastorẽ s uitãs ãogãtiam ultimũ se
uoluiteẽprincipẽĩ	uoluit eẽ principẽ ĩ
scribẽdisbuccolicisfinisUiterbiiMͦCCCCLVmẽs̃maiiN.V	scribẽdis buccolicis finis Uiterbii MͦCCCCLV mẽs̃ maii N. V
pont̃MͦsedẽteEgoAngl̃us	pont̃ Mͦ sedẽte Ego Angl̃us
scarponi᷒scolarishũclibrũscripsiDeuassano	scarponi᷒ scolaris hũc librũ scripsi De uassano
scilicortañdioc̃cepitq̃iasonihocordinetͣdiditꝯseruanda	scilic ortañ dioc̃ cepit q̃ iasoni hoc ordine tͣdidit ꝯseruanda
Detͣditõe	De tͣditõe
Rerũadincãtand̃INpͥmis	Rerũ ad incãtand̃ IN pͥmis
tͣdiditeiquãd̃ymaginẽargenteãꝙͣdixit	tͣdidit ei quãd̃ ymaginẽ argenteã ꝙͣ dixit
esseꝑincantatõemnodos	esse ꝑ incantatõem nodos 
ml̃tiartificiiũtutecõstructamq̃adũsusincantatõesiãfc̃as	ml̃ti artificii ũtute cõstructam q̃ adũsus incantatões iã fc̃as
ẽualdepotissĩacassansuidel	ẽ ualde potissĩa cassans uidel
q̃fc̃aIam	q̃ fc̃a Iam
sũt&eoꝝ	sũt & eoꝝ
uotiuaexpulsionefinaliRepellensDehacgͥiasonẽsͨinstͧxit	uotiua expulsione finali Repellens De hac gͥ iasonẽ sͨ instͧxit
uteãcaute	ut eã caute
supͣsedeferatnãadũsusincantatõesqͣslualerese	supͣ se deferat nã adũsus incantatões qͣsl ualere se
scietuociuoꝝincantatõisuiribanl̃latisScd̃o	sciet uociuoꝝ incantatõis uirib anl̃latis Scd̃o
sͥtradidͭ	sͥ tradidͭ
cui᷒dãumguẽtiodoriferimedicamẽquoip̃mliuire	cui᷒dã umguẽti odoriferi medicamẽ quo ip̃m liuire
suasitasẜensineoũtutẽineẽutadũsus	suasit asẜens in eo ũtutẽ ineẽ ut adũsus
ꝯflãmasualde	ꝯflãmas ualde
ualeatextingatincendia⁊om̃eꝙh̃tpotenciãꝯburendiincessa	ualeat extingat incendia ⁊ om̃e ꝙ h̃t potenciã ꝯburendi incessa
fumositateResoluatDem̃ꝙͣdãanulũsͥdeditinquotalis	fumositate Resoluat Dem̃ ꝙͣdã anulũ sͥ dedit in quo talis
ũtutũlapiserat	ũtutũ lapis erat
inclususutq̃cũquenenacorriꝑẽt	inclusus ut q̃cũq uenena corriꝑẽt
corũnocum̃ta	corũ nocum̃ta
Repelleret⁊ꝙͣ	Repelleret ⁊ ꝙͣ
ueneniRabiesꝑfusaforsaninfic̃etuelutabaqͥs	ueneni Rabies ꝑfusa forsan infic̃et uelut ab aqͥs
innãdequa	in nã de qua
illũinstuxitut	illũ instuxit ut
ꝙͣpͥmũꝑueniretadboueslicoreillo	ꝙͣ pͥmũ ꝑueniret ad boues licore illo
ineoꝝora	in eoꝝ ora
ꝑfund̃et	ꝑfund̃et 
crebrisasꝑsionibirroraretInlicoreẽillohancineẽ	crebris asꝑsionib irroraret In licore ẽ illo hanc ineẽ
uirtutẽasẜuntutꝙͣpͥmũ	uirtutẽ asẜunt ut ꝙͣ pͥmũ
orabouminfũderent᷑exabillouelutq̃duiscosoglutino	ora boum infũderent᷑ ex ab illo uelut q̃d uiscoso glutino
sͨꝯpactaꝯstring̃ent᷑	sͨ ꝯpacta ꝯstring̃ent᷑
ĩunũꝙeoꝝaꝑtura	ĩ unũ ꝙ eoꝝ aꝑtura
nõtamdifficilis	nõ tam difficilis
ꝙͣimpossibiliseẽtinillissͨde	ꝙͣ impossibilis eẽt in illis  sͨ de
singl̃issuccessiuemedeaIasonẽdiligent̃instͧxitMedeagͥ	singl̃is successiue medea Iasonẽ diligent̃ instͧxit Medea gͥ
suisinstructionibdoctrinissͨdemũfinẽimposuitetdata	suis instructionib  doctrinis sͨ demũ finẽ imposuit et data
iasonilicentiaRecedẽdiañ	iasoni licentia Recedẽdi añ
dieicõminãtislucisaduent̃Iasonindecretãsͥ	diei cõminãtis lucis aduent̃ Iason in decretã sͥ
CamerãfurtiuispassibseRecepitInsurgẽtegͥ	Camerã furtiuis passib se Recepit Insurgẽte gͥ
Roseisaurorasplendorib	Roseis aurora splendorib
etsoleaureolucemodica	et sole aureo luce modica
Cacumĩamontiũillustranteiasonfutiuo	Cacumĩa montiũ illustrante iason futiuo
surgitathalamoin	surgit a thalamo in
comitiauidel	comitia uidel
h̃culissuoꝝ	h̃culis  suoꝝ 
oetisRegisadiuitsoliũ	oetis Regis adiuit soliũ
inquoipe	in quo ipe
Rexiamse	Rex iam se
Receꝑatml̃toꝝastantichoraulepalliotyriantino	Receꝑat ml̃toꝝ astanti choraule pallio tyriantino
quoilleuelutspolionobilitatisexultatmesalenomẽ	quo ille uelut spolio nobilitatis exultat mesale nomẽ
uxõisiamꝗdlineaspetitaᷤegyptoloquarQuidtyroet	uxõis iam ꝗd lineas petitaᷤ egypto loquar Quid tyro et
sydonatenuitateꝑlucidaᷤmicãtespũpuraplumãdidifficultateꝑ	sydona tenuitate ꝑ lucidaᷤ micãtes pũpura plumãdi difficultate ꝑ
nobilesdõatisũ	nobiles dõati sũ
atrabatitisbiripetitidonatibiricanussiniafricaneopesinscenaripri᷒	atrabatitis biri petiti donati biri canussini africane opes inscenari pri᷒
uiseEthecquideidcĩcoegoĩlitterasretuliꝙ	uise Et hec quide idcĩco ego ĩ litteras retuli ꝙ
futuroseditões	futuros editões
pudõetang̃etne	pudõe tang̃et ne
pr̃imoniasuaproscriptislegitimis	pr̃imonia sua pro scriptis legitimis
hr̃dib᷒mimisetbalteõib.deputarẽtHabemiamicemeũmim᷒	hr̃dib᷒ mimis et balteõib. deputarẽt Habe mi amice meũ mim᷒
ꝙegoutsepe	ꝙ ego ut sepe
dixinõeloquiẽtiecausa	dixi nõ eloquiẽtie causa
sedcũiositatis	sed cũiositatis
inlumẽEdidi	in lumẽ Edidi
idcipueagẽsutsiꝗseloquẽs	id cipue agẽs ut siꝗs eloquẽs
uelletfc̃aprĩcipureẜaremateriã	uellet fc̃a prĩcipu reẜare materiã
nõreꝗuir̃eth̃iturosmeoslibellosministroseloquiitequeso	nõ reꝗuir̃et h̃ituros meos libellos ministros eloquii te queso
sisꝯtẽtusnosq.sic	sis ꝯtẽtus nosq. sic
uoluissescriberemeli᷒ꝙͣpotuissecontẽdas	uoluisse scribere meli᷒ ꝙͣ potuisse contẽdas
FeLiCiTerAm̃	Fe Li Ci Ter Am̃
ExpliciteuiteDiuersoꝝPrĩcipũEtTyrãnoꝝAdiuo	Explicite uite Diuersoꝝ Prĩcipũ Et Tyrãnoꝝ A diuo
AdrianousqadNum̃ianum	Adriano usq ad Num̃ianum
FeliciterUt̃eFelixScript᷒fuitsubMillĩo	Feliciter Ut̃e Felix Script᷒ fuit sub Millĩo
cccͦLVIdemensefebr̃Et	cccͦ LVI de mense febr̃ Et
scripsiteum	scripsit eum
Frat̃ioh̃esdeCampagnolaRegiñdioc̃DeoG̃asAm̃Am̃	Frat̃ ioh̃es de Campagnola Regiñ dioc̃ Deo G̃as Am̃ Am̃
am̃PErcorrermiglioraqqOmaila	am̃ PEr correr miglior aqq Omai la
nauicelladelmioinChelasciadietroasemar	nauicella del mio in Che lascia dietro a se mar
Ecanterodiquelsecondo	E cantero di quel secondo
Ouel'umanospiritosipurE	Oue l ' umano spirito si pur E
disaliraddiodiuentadeMaquila	di salir a ddio diuenta de Ma qui la
mortapoesiriOsante	morta poesi ri O sante
musepoi	muse poi
cheuost	che uost
Equicaliope	E qui caliope
alquantosurSeghuitandoel	alquanto sur Seghuitando el
miocantoconquel	mio canto con quel
sonodichuilepicchemiseresentirolocolpo	sono di chui le picche misere sentiro lo colpo
talchedesperarꝑdonoDolcecolord'orientalzaphiro	tal che desperar ꝑdono Dolce color d ' oriental zaphiro
Ches'acolgeuanelserenoaspectoDilaerpuroinsino	Che s ' acolgeua nel sereno aspecto Dilaer puro insino
alprimo	al primo
giroAgliocchimeiricominciodilectotostoch	giro Agli occhi mei ricomincio dilecto tosto ch
'iouscidel'auramortaChe	' io usci de l ' aura morta Che
m'auiacontristatigli	m ' auia contristati gli
occhie'lpLobelpianetached	occhi e ' l p Lo bel pianeta che d
'amarconfortaFaceuatuctoriderl	' amar conforta Faceua tucto rider l
'orienteUelandoei	' oriente Uelando ei
pescich'eraminsua	pesci ch ' eram in sua
scortREuerendediscretõnis	scort REuerende discretõnis
dñomagr̃ohugonicantuariensisdñippͤnuncioinanglia	dño magr̃o hugoni cantuariensis dñi ppͤ nuncio in anglia
fraterNicolaustreueth	frater Nicolaus treueth
orRecõmendatõnehũiliReũenciã⁊honoremAntiquitataliq̃dexordiumsiue	or Recõmendatõne hũili Reũenciã ⁊ honorem Antiquitat aliq̃d exordium siue
ꝑcreationẽutcatholiciseuꝑIuno	ꝑ creationẽ ut catholici seu ꝑ Iuno
flagrationesseudiluuiasicutplatonici	flagrationes seu diluuia sicut platonici
noneodẽ	non eodẽ
eãualloIntercet̃osaut̃	eã uallo Inter cet̃os aut̃
maiorisuetustatisassertoresĩuẽsac̃dotibinsignẽint̃septẽsapientes	maioris uetustatis assertores ĩuẽ sac̃dotib insignẽ int̃ septẽ sapientes
SolonẽinstrucmeoSaimurbemegipciacãoctomilibannoꝝ	Solonẽ instruc meo Saim urbem egipciacã octo milib annoꝝ
tũcsteathenaꝝꝓcessitcondiciomilleãnis	tũc ste athenaꝝ ꝓcessit condicio mille ãnis
sml̃toantiquiorhiisfingit᷑	s ml̃to antiquior hiis fingit᷑
gensegcian᷒	gens eg cian᷒
inꝓlogoastronomiesue	in ꝓlogo astronomie sue
quiipolibrorari᷒inuenit᷑exꝑsona	qui ipo libro rari᷒ inuenit᷑ ex ꝑsona
sap̃ieꝑ	sap̃ie ꝑ
assentuiguisseSedhũcantiquitatispositionẽuelutfabulosisfitaugustin᷒	assent uiguisse Sed hũc antiquitatis positionẽ uelut fabulosis fit augustin᷒
deciuitatedeilibro	de ciuitate dei libro
12mononsolũquiaueritatisacrescͥpturedisso	12mo non solũ quia ueritati sacre scͥpture disso
hystoriisgrecoꝝquiint̃mũdi	hystoriis grecoꝝ qui int̃ mũdi
sapientesanteRomanos	sapientes ante Romanos
habitis̃tclarioresnimẽtadeclarãtdiscrepareꝙͣ	habiti s̃t clariores nimẽta declarãt discrepare ꝙͣ
pl̃imũĩueniturQuãdissonãciãdeclarãssancdocetquomͦut	pl̃imũ ĩuenitur Quã dissonãciã declarãs sanc docet quomͦ ut
liquetexquadã	liquet ex quadã
epl̃aquã	epl̃a quã
MatrisueOlimpiadiAlexandern	Matri sue Olimpiadi Alexander n
rioꝝRegnoascribũtegipciiannoꝝ5000ampli᷒	rioꝝ Regno ascribũt egipcii annoꝝ 5000 ampli᷒
cuigreci	cui greci
nõultra1300aittuqab	nõ ultra 1300 ait tuq ab
eod̃t̃minosuesumant	eod̃ t̃mino sue sumant
cõputatõnispͥncipiũ	cõputatõnis pͥncipiũ
uidelabexordioregni	uidel ab exordio regni
BENEDICTUSep̃usẜuus	B ENEDICTUS ep̃us ẜuus
ẜuorumdeiUeñfr̃iEp̃oMagaloñsalt̃	ẜuorum dei Ueñ fr̃i Ep̃o Magaloñ salt̃
⁊apl̃icã	⁊ apl̃icã
bñDudumadaudientiamnr̃iapl̃atusꝑuenitꝑlate	bñ Dudum ad audientiam nr̃i apl̃atus ꝑuenit ꝑlate
quodꝓeoꝙ	quod ꝓ eo ꝙ
inCastrodebrixiacoMagaloñdioc̃adtuam	in Castro de brixiaco Magaloñ dioc̃ ad tuam
Magal̃eccam&dilc̃mfiliũnobilemuirũRaymundumpetri	Magal̃ eccam & dilc̃m filiũ nobilem uirũ Raymundum petri
Militemdñm	Militem dñm
Agauteiusd̃dioc̃	Agaut eiusd̃ dioc̃
cõiterꝑtinẽteperquosdamiudic̃	cõiter ꝑtinẽte per quosdam iudic̃
secular̃cur̃cõisecceacnobil̃dictoꝝcontͣquadam	secular̃ cur̃ cõis ecce ac nobil̃ dictoꝝ contͣ quadam
Michaelemgaut͛ie	Michaelem gaut͛ie
etEmẽgardamdecarnic̃ac	et Emẽgardam de carnic̃ ac
